OBJECTID;NAME;ITEM_NUMBER;TYPE_LICHTMAST;YEAR_OF_CONSTRUCTION;EIGENAAR;HOOGTE_LICHTPUNT;STATUS_LICHTMAST;DATE_MODIFIED;BEHEERDER_OMS;STRAATNAAM_LICHTMASTNR;X;Y;LONG;LAT
1334;0013;0013;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0013;77748.496100001;456586.822099999;4.259919702011982;52.092140627169094
7979;0014;0014;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0014;77734.4860999994;456587.3521;4.259715180470069;52.09214343470257
7168;0015;0015;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0015;77727.7600999996;456589.527100001;4.2596165573479485;52.092162041704704
8105;0016;0016;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0016;77716.9441;456582.965100002;4.259460242643169;52.092101561625405
5425;0017;0017;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0017;77714.9721000008;456573.919100002;4.259433522246354;52.09201999344913
3390;0018;0018;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0018;77705.4191000015;456568.941100001;4.2592952758942575;52.09197392427343
7024;0019;0019;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0019;77699.5421000011;456559.954100002;4.259211570115518;52.091892340971775
5778;0020;0020;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0020;77692.6680999994;456571.2161;4.259108727776463;52.091992588184496
5651;0021;0021;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0021;77681.5300999992;456574.741099998;4.258945429132705;52.0920227103599
36790;0022;0022;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0022;77675.7401000001;456585.053100001;4.258858616544622;52.092114571482824
