;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9540 - EZ specifiek;Eindtotaal
Gebrs van Aarle B.V.;;;1;;1
Geostick Self-Adhesive Labels;1;;;;1
Gezondheidscentrum voor Pluimvee B.V.;;;;1;1
GGN van Mastrigt & Partners;;;;3;3
Giesko B.V.;;;1;;1
Go Vapour;;;1;;1
Goessens Wijnimport B.V.;;;1;;1
Golden Naturals;;;1;;1
Good Nuts Holland B.V.;;;1;;1
Groothandel Ustaca B.V.;;;1;;1
Groothandelsonderneming Vers-Ned;;;1;;1
H.J. Duifhuizen B.V.;;;1;;1
Handelmij. M.J. Pronk B.V.;;;1;;1
Handelsonderneming Kara Enschede;;;1;;1
Handelsonderneming Moormann Goor B.V.;;;1;;1
Handelsonderneming Neeskens B.V.;;;1;;1
Hanos Eindhoven B.V.;;;1;;1
Healthy choice;;;1;;1
Hela Thissen B.V.;;;1;;1
Hempstead Halide;1;;;;1
Henk van Walderveen en Zonen B.V.;;;1;;1
Hettich Benelux B.V.;1;1;;;2
Heupink & Bloemen Tabak B.V.;;;1;;1
Heuschen & Schrouff Orient. Foods Trad. B.V.;;;1;;1
Heuver Den Ham B.V.;;;;1;1
Hitma Instrumentatie B.V.;1;;;;1
Hoa-An Venlo B.V.;;;1;;1
Hoek-Agro B.V.;;;1;;1
Hoeksche Hoeve B.V.;;;1;;1
Hoeve Nekum Maastricht;;;1;;1
Hokkai Suisan B.V.;;;;1;1
Holland Paling B.V.;;;1;;1
Holland Produce B.V.;;;1;;1
Hollander Barendrecht B.V.;;;1;;1
Hoogendijk Import Export B.V.;;;1;;1
Hoogland Vis B.V.;;;1;;1
Hoogvliet;;;1;;1
Horecagroothandel Asiatico B.V.;;;1;;1
Horizon Natuurvoeding B.V.;;;1;;1
Horticoop B.V.;1;;;;1
Huma Nutriënts B.V.;;;1;;1
Ibrahim Vlees Centrum B.V.;;;1;;1
IG Impex B.V.;;;1;;1
illumina Netherlands B.V.;2;4;;;4
Imagic Bildverarbeitung AG;;3;;;3
Impex Dermatologie;;;1;;1
Import- en Exportonderneming 'Amboina' B.V.;;;1;;1
IMScience B.V.;1;;;;1
Inside Polarisation;;;;1;1
Instrument Solutions Benelux B.V.;1;;;;1
Integrated DNA Technologies;1;;;;1
Interscience B.V.;;5;;;5
Islamitische Slagerij Ibrahim B.V.;;;1;;1
Isogen Life Science B.V.;2;;;;2
J. Barbé B.V.;;;1;;1
J.H. List;;;1;;1
J.H. Ritmeester B.V.;1;;;;1
J.P. Verwijs Import-Export B.V.;;;1;;1
Jacob Hooy & Co. B.V.;;;1;;1
Jager Holland B.V.;;;1;;1
Jan de Geus en Zn. B.V.;;;1;;1
Jan Linders B.V.;;;1;;1
Jan Zandbergen World-Wide Quality in Meat;;;1;;1
Jmj Rijst & Rijsttafelproducten;;;1;;1
Joannusmolen B.V.;;;1;;1
John W. Hock Company;1;;;1;1
Jos Boone B.V.;;;;1;1
Jumbo Supermarkt;;;1;;1
Junior Fruit B.V.;;;1;;1
Jupiter Group Europe B.V.;;;1;;1
K. ten Have Koffiebrand. en Theepakkerij B.V.;;;1;;1
K. v.d. Spijk en Zn. Amsterdam B.V.;;;1;;1
K. v.d. Spijk en Zn. IJsselmuiden B.V.;;;1;;1
Kamphof Veetransport;;;;1;1
Keyence International (Belgium) NV/SA;;1;;;1
Kinderspel;;;1;;1
King Nuts & Raaphorst;;;1;;1
Klaas & Co B.V.;;;1;;1
Klaas de Poel B.V.;;;1;;1
Koas Foods B.V.;;;1;;1
Koffie Partners B.V.;;;1;;1
Koman's Vishandel B.V.;;;1;;1
Koninklijke Euroma B.V.;;;1;;1
Koninklijke Fabrieken Posthumus B.V.;;;;2;2
Koppejan Noten B.V.;;;1;;1
Kossen Boten Oudesluis B.V.;;;;1;1
KOYI Fruit B.V.;;;1;;1
Kreko B.V.;1;;;;1
Krijn Verwijs Yerseke B.V.;;;1;;1
Landewyck Tabak Holland B.V.;;;1;;1
Landwinkel Coöperatie BA;;;1;;1
Lasaulec B.V.;;;1;;1
Lefort Engineering SAS;1;;;;1
Lehmann & Troost B.V.;;;1;;1
Leica Microsystems B.V.;;2;;;2
Lekko B.V.;1;;;;1
LGC Standards GmbH;1;;1;;1
Life Technologies International B.V.;2;;;;2
Lintjeshof Runderen B.V.;;;;1;1
LOEWE Biochemica GmbH;1;;;;1
Logicx;;;;1;1
Luiten Food;;;1;;1
Makro Zelfbedieningsgroothandel;;;1;;1
Malhi Import Export B.V.;;;1;;1
Mammoet Groente & Fruit;;;1;;1
Manutan B.V.;1;;1;1;1
Marni Fruit;;;1;;1
Marschee B.V.;;;1;;1
Mattisson Healthcare B.V.;;;1;;1
Maxima Seafood B.V.;;;1;;1
MBF Savannah B.V.;;;1;;1
Mediaproducts B.V.;1;;;;1
Mediterra;;;1;;1
Meetwinkel B.V.;1;;;;1
Meledi B.V.;;;1;;1
Mercer (Nederland) B.V.;;;;1;1
Mettler-Toledo B.V.;1;2;;;2
Migro-Hal Trading B.V.;;;1;;1
Mij. v. Oestercult. Eensgezindh. Yerseke B.V.;;;1;;1
Minigrip;3;;;1;3
Mix Food B.V.;;;1;;1
Modderman Fabricage B.V.;;;1;;1
Mole 't Lam;;;1;;1
Molen Prins van Oranje Amb. Graanmaald. B.V.;;;1;;1
Mooijer-Volendam B.V.;;;1;;1
MS NOISE FRANCE;;1;;;1
Murko Seafood B.V.;;;1;;1
NAK;;;3;;3
Naktuinbouw;;;;6;6
Nanhoe Holding B.V.;;;1;;1
Naproz B.V.;;;1;;1
National Veterinary Institute;;;1;;1
Natudis Nederland B.V.;;;1;;1
Natural History Museum;;;;1;1
Nature's Pride B.V.;;;1;;1
NBS Scientific B.V.;1;;;;1
Neogen Europe Ltd.;1;;;;1
NHBS;1;;;;1
Noepa Impex;;;1;;1
Nortec Constructiebouw;;;;1;1
Nova Vitae B.V.;;;1;;1
Novolab NV;1;;;;1
O. Smeding en Zoon B.V.;;;1;;1
Odin Groothandel B.V.;;;1;;1
Op het Gevoel;;;1;;1
OptiGene Limited;1;;;;1
Organic Flavour Company B.V.;;;1;;1
OTC Organics B.V.;;;1;;1
Oxford Nanopore Technologies Ltd;1;;;;1
Oxoid;2;;;;2
P. Bestebreurtje B.V.;1;;;;1
Paardekooper;1;;;;1
Parts & Accessories Traders (Pat) Europe B.V.;;;1;;1
Patisserie Jack Heesen B.V.;;;1;;1
PerkinElmer Nederland B.V.;;5;;;5
Phenomenex B.V.;1;;;;1
PHEROBANK B.V.;2;;;;2
Plant-Print, Diagnostics, SL;1;;;;1
PLASTIC DESIGN by Ru58 B.V.;1;;;;1
Plus Retail B.V.;;;1;;1
Poeliersbedrijf Cuno Moormann en Zonen B.V.;;;1;;1
Poiesz Supermarkten B.V.;;;1;;1
Poisson & Cuisine - Fresh Quality Fish B.V.;;;1;;1
Poly Temp Scientific;;1;;;1
Post Workboats B.V.;;;;3;3
Promega Benelux B.V.;1;;;;1
Pronk Hollandvis B.V.;;;1;;1
Public Health England;;;1;;1
Qiagen Benelux B.V.;3;;;;3
Qrackers B.V.;;;1;;1
Qualiplante SAS;1;;;;1
Quartel Modelbouw B.V.;1;;;;1
R.B.A. Frijlink thodn de Gelderse IJzerhandel;1;;1;;1
Rappange Verzekeringen B.V.;;;;1;1
REMONDIS Gevaarlijk Afval vestiging A'foort;;;;1;1
Rendac Son B.V.;;;;2;2
Renewi Nederland B.V.;;;;1;1
Rhumveld Winter & Konijn B.V.;;;1;;1
Rijstgroothandel Van Geest B.V.;;;1;;1
Roche Diagnostics Nederland B.V.;1;;;;1
Roelofsen Horeca Groothandel B.V.;;;1;;1
Roveg Fruit B.V.;;;1;;1
Rungis B.V.;;;1;;1
Rustenburg Groothandel B.V.;;;1;;1
S.C. van Ravenswaaij;;;1;;1
Sanbio B.V.;1;;;;1
Sanvir groenten import/export;;;1;;1
Sartorius Lab Instruments GmbH&Co. KG;1;;;;1
Schepens Verhuur B.V.;2;;;;2
Schipper Automatisering;1;;;;1
Schmidt Zeevis Rotterdam B.V.;;;1;;1
Seafood Centre B.V.;;;1;;1
SecurCash Nederland B.V.;;;;1;1
SEDIAG SAS;1;;;;1
SensEthique Lifestyle Instituut B.V.;;;1;;1
Serhat Impex Velp B.V.;;;1;;1
SGS Nederland B.V.;;;1;;1
Shimadzu Benelux;1;2;;;2
Sigarenhandel Piet van Kuijk;;;1;;1
Sigma-Aldrich Chemie N.V.;1;;;;1
Silletti;;;1;;1
Simon Levelt B.V.;;;1;;1
Sin Wah Foods B.V.;;;1;;1
Sligro B.V.;;;1;;1
Smart Trade Group B.V.;;;1;;1
Smoke4Fun B.V.;;;1;;1
Snijders Hammerlit;1;1;;;2
Sous Fresh B.V.;;;1;;1
South American Food Express B.V.;;;1;;1
SoyBeanCompany B.V.;;;1;;1
Spar Holding B.V.;;;1;;1
Spot B.V.;;;1;;1
Staay Food Group;;;1;;1
Staay-Hispa B.V.;;;1;;1
State General Laboratory;;;1;;1
Stella Fietsen B.V.;;;1;;1
Stichting Derdengelden Hoeberechts Advocaten;;;;1;1
Stichting Merita;;;;5;5
Stichting Vogelrevalidatiecentrum Zundert;;;;1;1
Stolp International B.V.;;;1;;1
Strijbosch B.V.;;;2;;2
Sunda B.V.;;;1;;1
Sushi Ran B.V.;;;1;;1
Sushi Time Catering B.V.;;;1;;1
T.G.C. Trading B.V.;;;1;;1
Takara Bio Europe SAS;1;;;;1
Target Food Supply;;;1;;1
TC Meet- en Regeltechniek B.V.;1;;;;1
Technical University of Denmark;;;1;;1
Technische Unie;1;;1;;1
Tema Fine Foods B.V.;;;1;;1
Tempcontrol Industr. Electronic Products B.V.;1;;;;1
TEN HAVE Change Management B.V.;;;;1;1
TerraSana Natuurvoeding B.V.;;;1;;1
Test Veritas;;;1;;1
TestQual;;;1;;1
TEVEL techniek B.V.;1;;;;1
TFC Holland B.V.;;;1;;1
Today Trading Company B.V.;;;1;;1
Tramex Nederland B.V.;;;;;
Trenton B.V.;;;;1;1
Trust Krediet Beheer (TKB);;;;1;1
Tsantos Import Export B.V.;;;1;;1
Tuana Kruiden B.V.;;;1;;1
Tuincentrum De Oude Tol B.V.;;;1;;1
Tuinderij Vers B.V.;;;1;;1
Tura Food B.V.;;;1;;1
Tur-Ned. International Trading B.V.;;;1;;1
Udea B.V.;;;1;;1
UEG Holland B.V.;;;1;;1
Unidex B.V.;;;1;;1
V.O.F. De Hoogheerlijkheid;;;1;;1
V.O.F. Harrie Goesten;;;1;;1
V.O.F. Van Beekum en Zonen;;;1;;1
vaccinatiecentrum.nl B.V.;;;;1;1
Van Altena Groothandel in Levensmiddelen B.V.;;;1;;1
Van Appeven Fruitsappen;;;1;;1
Van Belzen B.V.;;;1;;1
Van Bommel FAUNAWERK;;;;1;1
Van de Weerd's Autobedrijf Bennekom B.V.;1;;;;1
Van der Lem Groothandel B.V.;;;1;;1
Van der Voorst Klimaatbeheersing;;;;1;1
Van Doorn Groothandel Amsterdam B.V.;;;1;;1
Van Geest International B.V.;;;1;;1
Van Olphen Viande Select B.V.;;;1;;1
Van Ooijen Citrus B.V.;;;1;;1
Van Putt Metaalbewerking;1;;;;1
Van Rees B.V.;;;1;;1
Van Valen B.V.;;;1;;1
Van Wieren Watersport;;;;1;1
Van Zelst Automaten B.V.;;;1;;1
VanDerEng B.V.;1;;;;1
Vanka-Kawat Import en Export B.V.;;;1;;1
Varuvo B.V.;;;1;;1
VDLV Holland;;;1;;1
Vehgro B.V.;;;1;;1
Veltman Vis Service B.V.;;;1;;1
Verbruggen Bedrijfswageninrichting;;;;1;1
Verdi Import B.V.;;;1;;1
Vereecken Fruitkwekerij;;;1;;1
Verstegen Spices & Sauces B.V.;;;1;;1
Versto B.V.;;;1;;1
Versunie B.V.;;;1;;1
Veterinair Kenniscentrum Bergen op Zoom;;;;1;1
vetwork B.V.;;;;8;8
VHC Jongens B.V.;;;1;;1
Viking Life-Saving Equipment B.V.;;;;1;1
Vink Kunststoffen B.V.;1;;;;1
Vis- & Vleeshandel G&B Yerseke;;;1;;1
Vishandel Van As Zeeland B.V.;;;1;;1
Vishandel VD 119 B.V.;;;1;;1
Viskwekerij Neeltje Jans B.V.;;;1;;1
Vitaal Europe;;;1;;1
Vitamax B.V.;;;1;;1
ViTiV B.V.;;;1;;1
Vlees Groothandel Asya Laagraven B.V.;;;1;;1
Vleesbedrijf Bolscher B.V.;;;1;;1
VNK Verenigde Nederl. Kruidendrogerijen B.V.;;;1;;1
Voets Specialiteiten;;;1;;1
Vojacek Négociant en Vins B.V.;;;1;;1
Vroegop Windig;;;1;;1
VWR International B.V.;6;2;1;;6
W & A Fish B.V.;;;1;;1
W. Dijk Holding B.V.;;;1;;1
W. Karsten;;;1;;1
W. Kok-Spaarndam B.V.;;;1;;1
W.G. den Heijer & Zn. B.V.;;;1;;1
Wafelspecialist Vegter B.V.;;;1;;1
Webecos B.V.;;;1;;1
WEIDELCO B.V.;;;1;;1
Welte Transport B.V.;;;;1;1
Wessels Grootverbruik B.V.;;;1;;1
Westfalen Gassen Nederland B.V.;2;;;;2
Westland Mushrooms B.V.;;;1;;1
WGM B.V.;;;1;;1
Wij'n Gaard op Tiendeveen;;;1;;1
Wijngaard De Frysling;;;1;;1
Wijnhandel Léon Colaris B.V.;;;1;;1
Wildkamp B.V.;1;;;;1
Wilkofruit;;;1;;1
WIV-ISP;;;1;;1
www.basboernoten.nl;;;1;;1
Xenos B.V.;;;1;;1
Xerox (Nederland) B.V.;;;;2;2
Y & O.B.V.;;;1;;1
Yama Products B.V.;;;1;;1
Yarafood B.V.;;;1;;1
YEX B.V.;;;1;;1
Zalmhuis Steur B.V.;;;1;;1
Z-Company B.V.;;;1;;1
Zensations B.V.;;;1;;1
Zethof Olie en Gashandel;1;;;;1
Zorgboodschap B.V.;;;1;;1
Zoutewelle Import B.V.;;;1;;1
Zwick GmbH & Co. KG;1;;;;1
ZZ Fruit B.V.;;;1;;1
Eindtotaal;7;7;4;9;10
