FID,gebied,ribbelnr,jaar,utm_etrs89,utm_etrs_1,gdb_geomattr_data,shape
ribbelnummers_vaargeulen.18,AGO,7,TM2009,508627.5022,5760409.6174,,POINT (508627.5022 5760409.6174)
ribbelnummers_vaargeulen.19,AGO,8,TM2009,508522.503,5760029.6202,,POINT (508522.50299999956 5760029.620200001)
ribbelnummers_vaargeulen.20,AGO,9,TM2009,508117.506,5760344.6179,,POINT (508117.50600000005 5760344.617900001)
ribbelnummers_vaargeulen.21,AGO,10,TM2009,508102.5061,5759499.6242,,POINT (508102.50600000005 5759499.6241999995)
ribbelnummers_vaargeulen.22,AGO,11,TM2009,506447.5184,5761349.6104,,POINT (506447.5184000004 5761349.610400001)
ribbelnummers_vaargeulen.23,AGO,12,TM2009,506757.5161,5761019.6129,,POINT (506757.51609999966 5761019.6129)
ribbelnummers_vaargeulen.24,AGO,13,TM2009,507067.5138,5759919.6211,,POINT (507067.51379999984 5759919.621099999)
ribbelnummers_vaargeulen.25,AGO,14,TM2009,507177.5129,5759109.6271,,POINT (507177.51290000044 5759109.6271)
ribbelnummers_vaargeulen.26,AGO,15,TM2009,506397.5187,5759734.6225,,POINT (506397.5186999999 5759734.6225000005)
ribbelnummers_vaargeulen.27,AGO,16,TM2009,506037.5214,5759209.6264,,POINT (506037.52139999997 5759209.6263999995)
ribbelnummers_vaargeulen.28,AGO,17,TM2009,506692.5165,5757164.6416,,POINT (506692.5164999999 5757164.6415)
ribbelnummers_vaargeulen.29,AGO,18,TM2009,505692.5239,5757244.641,,POINT (505692.5239000004 5757244.641000001)
ribbelnummers_vaargeulen.30,AGM,19,TM2009,501957.5516,5759714.6226,,POINT (501957.5515999999 5759714.6227)
ribbelnummers_vaargeulen.31,AGM,20,TM2009,501267.5568,5758164.6342,,POINT (501267.55680000037 5758164.634199999)
ribbelnummers_vaargeulen.32,AGM,21,TM2009,500587.5618,5756989.6429,,POINT (500587.56180000026 5756989.642899999)
ribbelnummers_vaargeulen.33,AGM,22,TM2009,500352.5635,5756174.649,,POINT (500352.56350000016 5756174.649)
ribbelnummers_vaargeulen.34,AGM,22A,TM2009,499857.5672,5756719.6449,,POINT (499857.5672000004 5756719.6449)
ribbelnummers_vaargeulen.35,AGM,23,TM2009,500977.5589,5755539.6537,,POINT (500977.5588999996 5755539.6537)
ribbelnummers_vaargeulen.36,KV,24,TM2009,499347.571,5756229.6486,,POINT (499347.57100000046 5756229.648600001)
ribbelnummers_vaargeulen.37,KV,25,TM2009,499932.5666,5755459.6543,,POINT (499932.56659999955 5755459.6543000005)
ribbelnummers_vaargeulen.38,KV,26,TM2009,499817.5675,5755069.6572,,POINT (499817.5674999999 5755069.657199999)
ribbelnummers_vaargeulen.39,KV,27,TM2009,499077.573,5754664.6602,,POINT (499077.57299999986 5754664.6602)
ribbelnummers_vaargeulen.40,KV,28,TM2009,498277.5789,5754514.6613,,POINT (498277.5789000001 5754514.6613)
ribbelnummers_vaargeulen.41,KV,29,TM2009,498897.5743,5753859.6662,,POINT (498897.57430000044 5753859.666099999)
ribbelnummers_vaargeulen.42,KV,30,TM2009,498552.5769,5753499.6689,,POINT (498552.57689999975 5753499.6689)
ribbelnummers_vaargeulen.43,KV,31,TM2009,498307.5787,5753089.6719,,POINT (498307.5787000004 5753089.6719)
ribbelnummers_vaargeulen.44,NHN,32,TM2009,496452.5925,5759429.6247,,POINT (496452.59250000026 5759429.6247000005)
ribbelnummers_vaargeulen.45,NHN,32A,TM2009,496022.5956,5759374.6252,,POINT (496022.59559999965 5759374.6252)
ribbelnummers_vaargeulen.46,NHN,33,TM2009,495807.5972,5759219.6263,,POINT (495807.5971999997 5759219.6263)
ribbelnummers_vaargeulen.47,NHN,33A,TM2009,495687.5981,5759299.6257,,POINT (495687.59810000006 5759299.625700001)
ribbelnummers_vaargeulen.48,KV,34,TM2009,494157.6095,5755369.6549,,POINT (494157.60950000025 5755369.6548999995)
ribbelnummers_vaargeulen.49,KV,34A,TM2009,493787.6123,5754629.6604,,POINT (493787.61230000015 5754629.6603999995)
ribbelnummers_vaargeulen.50,KV,35,TM2009,493127.6172,5754044.6648,,POINT (493127.61730000004 5754044.664799999)
ribbelnummers_vaargeulen.51,KV,36,TM2009,493807.6121,5753659.6677,,POINT (493807.61209999956 5753659.6677)
ribbelnummers_vaargeulen.52,KV,37,TM2009,491987.6257,5751389.6845,,POINT (491987.62569999974 5751389.6844999995)
ribbelnummers_vaargeulen.53,KV,38,TM2009,492027.6254,5750674.6899,,POINT (492027.62540000025 5750674.6899)
ribbelnummers_vaargeulen.54,NHM,39,TM2009,486937.6632,5751159.6861,,POINT (486937.66309999954 5751159.6861000005)
ribbelnummers_vaargeulen.55,NHM,40,TM2009,485807.6717,5750324.6923,,POINT (485807.67169999983 5750324.692299999)
ribbelnummers_vaargeulen.56,NHM,41,TM2009,486312.6679,5750009.6947,,POINT (486312.66789999977 5750009.694700001)
ribbelnummers_vaargeulen.57,NHM,42,TM2009,487327.6604,5749909.6955,,POINT (487327.6604000004 5749909.695499999)
ribbelnummers_vaargeulen.58,NHM,43,TM2009,487587.6584,5749819.6961,,POINT (487587.6584000001 5749819.6961)
ribbelnummers_vaargeulen.59,NHM,44,TM2009,484317.6828,5749314.6998,,POINT (484317.6827999996 5749314.6998)
ribbelnummers_vaargeulen.60,KV,45,TM2009,496317.5935,5751604.683,,POINT (496317.5935000004 5751604.683)
ribbelnummers_vaargeulen.61,KV,45A,TM2009,496517.592,5751539.6835,,POINT (496517.5920000002 5751539.683499999)
ribbelnummers_vaargeulen.62,NHZ,46,TM2009,484232.6834,5748059.7092,,POINT (484232.68340000045 5748059.7092)
ribbelnummers_vaargeulen.63,NHM,47,TM2009,483257.6907,5749514.6983,,POINT (483257.69070000015 5749514.6983)
ribbelnummers_vaargeulen.64,NHM,48,TM2009,483027.6923,5749869.6956,,POINT (483027.6923000002 5749869.695599999)
ribbelnummers_vaargeulen.65,TW,49,TM2009,462457.8476,5722804.897,,POINT (462457.8476 5722804.897)
ribbelnummers_vaargeulen.66,TW,50,TM2009,462757.8454,5722434.8998,,POINT (462757.8454 5722434.899800001)
ribbelnummers_vaargeulen.67,NHN,51,TM2009,490952.6333,5755334.6551,,POINT (490952.6333999997 5755334.655099999)
ribbelnummers_vaargeulen.68,NHN,55,TM2009,486307.6678,5754409.6619,,POINT (486307.66779999994 5754409.661900001)
ribbelnummers_vaargeulen.69,NHZ,56,TM2009,481247.7057,5746729.719,,POINT (481247.7056999998 5746729.7190000005)
ribbelnummers_vaargeulen.70,AGO,57,TM2009,512647.4724,5760164.6191,,POINT (512647.4724000003 5760164.619100001)
ribbelnummers_vaargeulen.71,AGO,58,TM2009,509667.4945,5760319.6181,,POINT (509667.49450000003 5760319.618100001)
ribbelnummers_vaargeulen.72,AGO,59,TM2009,507852.5079,5761069.6125,,POINT (507852.5078999996 5761069.612500001)
ribbelnummers_vaargeulen.73,NHN,60,TM2009,494407.6076,5757874.6363,,POINT (494407.60759999976 5757874.636399999)
ribbelnummers_vaargeulen.74,AGW,61,TM2009,496942.5888,5758469.6319,,POINT (496942.5888 5758469.631899999)
ribbelnummers_vaargeulen.75,KV,62,TM2009,499237.5718,5754264.6632,,POINT (499237.57180000003 5754264.6632)
ribbelnummers_vaargeulen.76,KV,63,TM2009,497737.583,5752504.6763,,POINT (497737.58299999963 5752504.6763)
ribbelnummers_vaargeulen.77,KV,64,TM2009,497502.5847,5756029.65,,POINT (497502.58469999954 5756029.65)
ribbelnummers_vaargeulen.78,KV,65,TM2009,495527.5994,5752054.6796,,POINT (495527.5993999997 5752054.6796)
ribbelnummers_vaargeulen.79,KV,66,TM2009,494947.6037,5753939.6656,,POINT (494947.60369999986 5753939.6656)
ribbelnummers_vaargeulen.80,KV,67,TM2009,493332.6157,5752629.6753,,POINT (493332.61569999997 5752629.6753)
ribbelnummers_vaargeulen.81,KV,68,TM2009,492852.6192,5752619.6754,,POINT (492852.6191999996 5752619.6754)
ribbelnummers_vaargeulen.82,KV,69,TM2009,493577.6139,5751254.6856,,POINT (493577.61390000023 5751254.6855999995)
ribbelnummers_vaargeulen.83,KV,70,TM2009,493482.6146,5750494.6912,,POINT (493482.61450000014 5750494.691199999)
ribbelnummers_vaargeulen.84,NHM,71,TM2009,485932.6707,5752119.679,,POINT (485932.67069999967 5752119.679)
ribbelnummers_vaargeulen.85,TW,72,TM2009,463962.8362,5724084.8875,,POINT (463962.8361999998 5724084.887499999)
ribbelnummers_vaargeulen.86,KV,73,TM2009,494307.6085,5751324.685,,POINT (494307.6085000001 5751324.6850000005)
ribbelnummers_vaargeulen.87,TW,74,TM2009,461407.8555,5722769.8971,,POINT (461407.8554999996 5722769.8971)
ribbelnummers_vaargeulen.88,TW,75,TM2009,459317.8713,5720409.9147,,POINT (459317.87129999977 5720409.914799999)
ribbelnummers_vaargeulen.89,KV,76,TM2009,490242.6387,5750109.6941,,POINT (490242.6387 5750109.6941)
ribbelnummers_vaargeulen.90,AGW,77,TM2009,499627.5689,5757209.6413,,POINT (499627.5689000003 5757209.6412)
ribbelnummers_vaargeulen.91,AGM,78,TM2009,501857.5524,5758654.6305,,POINT (501857.5524000004 5758654.6305)
ribbelnummers_vaargeulen.92,NHM,79,TM2009,485792.6718,5749204.7007,,POINT (485792.67179999966 5749204.7007)
ribbelnummers_vaargeulen.93,AGW,80,TM2009,496257.5939,5758474.6319,,POINT (496257.59389999975 5758474.631999999)
ribbelnummers_vaargeulen.94,AGW,81,TM2009,497987.5811,5757569.6386,,POINT (497987.58110000007 5757569.638599999)
ribbelnummers_vaargeulen.95,NHM,82,TM2009,483802.6865,5752609.6752,,POINT (483802.68649999984 5752609.6752)
ribbelnummers_vaargeulen.96,NHM,84A,TM2009,486347.6676,5752419.6767,,POINT (486347.6676000003 5752419.6767)
ribbelnummers_vaargeulen.97,KV,85,TM2009,492342.623,5753299.6703,,POINT (492342.6229999997 5753299.670299999)
ribbelnummers_vaargeulen.98,NHM,86,TM2009,491057.6326,5753194.6711,,POINT (491057.6326000001 5753194.6712)
ribbelnummers_vaargeulen.99,NHM,86A,TM2009,490752.6348,5753689.6674,,POINT (490752.6347000003 5753689.667400001)
ribbelnummers_vaargeulen.100,KV,89,TM2009,494977.6035,5750689.6898,,POINT (494977.6035000002 5750689.6899)
ribbelnummers_vaargeulen.101,NHN,90,TM2009,490177.6391,5755689.6525,,POINT (490177.63910000026 5755689.6525)
ribbelnummers_vaargeulen.102,NHM,91,TM2009,481757.7018,5748824.7034,,POINT (481757.7017999999 5748824.703400001)
ribbelnummers_vaargeulen.103,NHM,92,TM2009,486127.6693,5750949.6877,,POINT (486127.6693000002 5750949.6877)
ribbelnummers_vaargeulen.104,NHM,93,TM2009,486697.665,5750729.6893,,POINT (486697.66500000004 5750729.6894000005)
ribbelnummers_vaargeulen.105,NHN,94,TM2009,491397.63,5754064.6646,,POINT (491397.6299999999 5754064.6646)
ribbelnummers_vaargeulen.106,NHM,95,TM2009,487867.6563,5751764.6816,,POINT (487867.6562999999 5751764.681600001)
ribbelnummers_vaargeulen.107,NHM,96,TM2009,486882.6637,5749864.6958,,POINT (486882.6637000004 5749864.695800001)
ribbelnummers_vaargeulen.108,KV,97,TM2009,499447.5702,5755609.6532,,POINT (499447.5701000001 5755609.6532000005)
ribbelnummers_vaargeulen.109,KV,98,TM2009,494632.606,5754664.6602,,POINT (494632.6059999997 5754664.6602)
ribbelnummers_vaargeulen.110,AGW,99,TM2009,493817.612,5755749.6521,,POINT (493817.61199999973 5755749.6521000005)
ribbelnummers_vaargeulen.111,KV,100,TM2009,492572.6214,5751804.6815,,POINT (492572.6213999996 5751804.681500001)
ribbelnummers_vaargeulen.112,KV,101,TM2009,494637.606,5751259.6856,,POINT (494637.6059999997 5751259.6855999995)
ribbelnummers_vaargeulen.113,NHM,102,TM2009,483447.6893,5749104.7013,,POINT (483447.68929999974 5749104.701300001)
ribbelnummers_vaargeulen.114,AGM,106,TM2009,501667.5538,5757369.6401,,POINT (501667.55370000005 5757369.6401)
ribbelnummers_vaargeulen.115,AGO,107,TM2009,504767.5308,5760829.6143,,POINT (504767.53079999983 5760829.6143)
ribbelnummers_vaargeulen.116,AGO,108,TM2009,509022.4992,5758604.6308,,POINT (509022.4992000004 5758604.630899999)
ribbelnummers_vaargeulen.117,AY,AY01,2012,554487.5,5813337.5,,POINT (554487.5 5813337.5)
ribbelnummers_vaargeulen.118,AY,AY02,2012,554912.5,5812437.5,,POINT (554912.5 5812437.5)
ribbelnummers_vaargeulen.119,AY,AY03,2012,553187.5,5812137.5,,POINT (553187.5 5812137.5)
ribbelnummers_vaargeulen.120,AY,AY04,2012,554512.5,5811887.5,,POINT (554512.5 5811887.5)
ribbelnummers_vaargeulen.121,AY,AY05,2012,551487.5,5811437.5,,POINT (551487.4999000002 5811437.5)
ribbelnummers_vaargeulen.122,AY,AY06,2012,553637.5,5811412.5,,POINT (553637.5 5811412.5)
ribbelnummers_vaargeulen.123,AY,AY07,2012,554512.5,5811362.5,,POINT (554512.5 5811362.5)
ribbelnummers_vaargeulen.124,AY,AY08,2012,554912.5,5810987.5,,POINT (554912.5 5810987.5001)
ribbelnummers_vaargeulen.125,AY,AY09,2012,549612.5,5810612.5,,POINT (549612.5 5810612.5)
ribbelnummers_vaargeulen.126,AY,AY10,2012,551237.5,5812062.5,,POINT (551237.5 5812062.5)
ribbelnummers_vaargeulen.127,AY,AY11,2012,555062.5,5812912.5,,POINT (555062.5 5812912.5)
ribbelnummers_vaargeulen.128,EG,EG4057,2012,522187.5,5758812.5,,POINT (522187.5 5758812.5)
ribbelnummers_vaargeulen.129,KV,KV01,2012,500062.5,5755387.5,,POINT (500062.49990000017 5755387.5)
ribbelnummers_vaargeulen.130,KV,KV02,2012,498687.5,5753512.5,,POINT (498687.5 5753512.5)
ribbelnummers_vaargeulen.131,KV,KV03,2012,491762.5,5752387.5,,POINT (491762.5 5752387.5)
ribbelnummers_vaargeulen.132,NHN,NH01,2012,495887.5,5759187.5,,POINT (495887.5 5759187.5)
ribbelnummers_vaargeulen.133,NHZ,NH02,2012,484162.5,5748112.5,,POINT (484162.5 5748112.5)
ribbelnummers_vaargeulen.134,NHM,NH03,2012,486212.5,5750012.5,,POINT (486212.49990000017 5750012.5)
ribbelnummers_vaargeulen.135,AY,AY04,2013,554487,5811912,,POINT (554487 5811912)
ribbelnummers_vaargeulen.136,AY,AY03,2013,554712,5813212,,POINT (554712 5813212)
ribbelnummers_vaargeulen.137,AY,AY02,2013,549562,5811337,,POINT (549562 5811337)
ribbelnummers_vaargeulen.138,AY,AY05,2013,554912,5810987,,POINT (554912 5810987.0001)
ribbelnummers_vaargeulen.139,EG,EG01,2013,527206.6205,5759530.197,,POINT (527206.6205000002 5759530.197000001)
ribbelnummers_vaargeulen.140,EG,EG02,2013,531912,5760187,,POINT (531912 5760187)
ribbelnummers_vaargeulen.141,EG,EG03,2013,533116.4714,5760444.4666,,POINT (533116.4714000002 5760444.466600001)
ribbelnummers_vaargeulen.142,EG,EG06,2013,539532.3391,5759332.6977,,POINT (539532.3391000004 5759332.697699999)
ribbelnummers_vaargeulen.143,EG,EG04,2013,534779.7998,5760006.8119,,POINT (534779.7998000002 5760006.811899999)
ribbelnummers_vaargeulen.144,EG,EG05,2013,535587,5759812,,POINT (535587 5759812)
ribbelnummers_vaargeulen.145,EG,EG08,2013,545837,5762137,,POINT (545837 5762137)
ribbelnummers_vaargeulen.146,EG,EG07,2013,543937,5761887,,POINT (543937 5761887)
