FID,mirtnr,mirtnrid,project,omschr,locatie,onderwerp,gebied,fase,ministerie,besluit,startreal,oplevering,f_mln,gdb_geomattr_data,shape
mirt2018_point_mirtnr.12,533,53302,SmartWayZ.NL: InnovA58,KP. St. Annabosch, ,Hoofdwegen,Zuid-Nederland,Planuitwerking,IenW,2020,2021,2022-2024,405,,POINT (114192.35709999874 394438.5155000016)
mirt2018_point_mirtnr.13,533,53301,SmartWayZ.NL: InnovA58,KP. Galder, ,Hoofdwegen,Zuid-Nederland,Planuitwerking,IenW,2020,2021,2022-2024,405,,POINT (110386.67500000075 393227.67920000106)
mirt2018_point_mirtnr.14,668,66801,PHS: Rijswijk - Rotterdam,Rijswijk, ,Spoorwegen personen,Zuidwest-Nederland,Realisatie,IenW, ,2017-2018,2023-2024,10,,POINT (81757.79600000009 450656.56599999964)
mirt2018_point_mirtnr.15,668,66802,PHS: Rijswijk - Rotterdam,Rotterdam, ,Spoorwegen personen,Zuidwest-Nederland,Realisatie,IenW, ,2017-2018,2023-2024,10,,POINT (91858.9908999987 437794.2670000009)
mirt2018_point_mirtnr.16,676,67602,A15 Papendrecht – Sliedrecht,Sliedrecht-Oost, ,Hoofdwegen,Zuidwest-Nederland,Planuitwerking,IenW,2018,2018,2018-2020,15,,POINT (114959.07999999821 426174.96489999816)
mirt2018_point_mirtnr.17,676,67601,A15 Papendrecht – Sliedrecht,Papendrecht, ,Hoofdwegen,Zuidwest-Nederland,Planuitwerking,IenW,2018,2018,2018-2020,15,,POINT (108499.22199999914 428058.5133000016)
mirt2018_point_mirtnr.18,605,60501,A2 Het Vonderen-Kerensheide,KP. Kerensheide, ,Hoofdwegen,Zuid-Nederland,Planuitwerking,IenW,2018,2022,2025-2027,265,,POINT (183116.91120000184 330928.39550000057)
mirt2018_point_mirtnr.19,605,60502,A2 Het Vonderen-Kerensheide,KP. ’t Vonderen, ,Hoofdwegen,Zuid-Nederland,Planuitwerking,IenW,2018,2022,2025-2027,265,,POINT (190094.7206000015 348555.12970000133)
mirt2018_point_mirtnr.20,507,50701,A1 Apeldoorn-Azelo,KP. Azelo, ,Hoofdwegen,Oost-Nederland,Realisatie,IenW,2018,2018-2024,2020-2028,429,,POINT (244343.43879999965 481156.6933999993)
mirt2018_point_mirtnr.21,596,59601,Gebiedsontwikkeling Ooijen-Wanssum,Ooijen, ,Waterveiligheid,Zuid-Nederland,Realisatie,IenW,2016,2017,2020-2023,210,,POINT (208136.6587000005 391458.195700001)
mirt2018_point_mirtnr.22,596,59602,Gebiedsontwikkeling Ooijen-Wanssum,Wanssum, ,Waterveiligheid,Zuid-Nederland,Realisatie,IenW,2016,2017,2020-2023,210,,POINT (202637.4250999987 394405.31340000033)
mirt2018_point_mirtnr.23,441,44103,A12/A15 Ressen - Oudbroeken (ViA15),KP. Oudbroeken, ,Hoofdwegen,Oost-Nederland,Planuitwerking,IenW,2017,2019,2021-2023,835,,POINT (200350.74289999902 440847.5744000003)
mirt2018_point_mirtnr.24,441,44102,A12/A15 Ressen - Oudbroeken (ViA15),KP. Valburg, ,Hoofdwegen,Oost-Nederland,Planuitwerking,IenW,2017,2019,2021-2023,835,,POINT (181189.95169999823 435586.99130000174)
mirt2018_point_mirtnr.25,441,44101,A12/A15 Ressen - Oudbroeken (ViA15),KP. Ressen, ,Hoofdwegen,Oost-Nederland,Planuitwerking,IenW,2017,2019,2021-2023,835,,POINT (188030.3924999982 434356.3093000017)
mirt2018_point_mirtnr.26,527,52703,Afsluitdijk,Stevinsluizen, ,Waterveiligheid,Noordwest-Nederland,Realisatie,IenW, ,2018,2022,921,,POINT (132111.1447999999 549361.4530999996)
mirt2018_point_mirtnr.27,527,52702,Afsluitdijk,Kornwerderzand, ,Waterveiligheid,Noordwest-Nederland,Realisatie,IenW, ,2018,2022,921,,POINT (151656.21840000153 565155.697900001)
mirt2018_point_mirtnr.28,527,52701,Afsluitdijk,Lorentzsluizen, ,Waterveiligheid,Noordwest-Nederland,Realisatie,IenW, ,2018,2022,921,,POINT (151118.17529999837 565152.0375000015)
mirt2018_point_mirtnr.29,399,39901,Breda Centraal (t.b.v. Nieuw Sleutelproject),Breda Station NS,Breda,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW, ,2012,2007-2018,114,,POINT (112918.86199999973 400888.4232000001)
mirt2018_point_mirtnr.30,372,37201,"Regionet, fase 1",Hilversum,Gooilijn,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2006,2007-2020,177,,POINT (141145.03830000013 470601.52380000055)
mirt2018_point_mirtnr.31,372,37202,"Regionet, fase 1",Krommenie-Assendelft,Zaanlijn,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2006,2007-2020,177,,POINT (112506.82860000059 500922.8319000006)
mirt2018_point_mirtnr.32,372,37203,"Regionet, fase 1",Wormerveer,Zaanlijn,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2006,2007-2020,177,,POINT (114636.0614 500327.6592999995)
mirt2018_point_mirtnr.33,224,22406,HOV-net Zuid-Holland Noord,Utrecht CS, ,Regionale/lokale infrastructuur,Zuidwest-Nederland,Realisatie,IenW, ,2009,2021,205,,POINT (136001.34659999982 455787.3548000008)
mirt2018_point_mirtnr.34,101,10104,Traject Oost,Utrecht CS, ,Spoorwegen personen,Oost-Nederland,Realisatie,IenW, , ,divers,235,,POINT (136001.34659999982 455787.3548000008)
mirt2018_point_mirtnr.35,371,37101,"Utrecht Centraal (t.b.v. Nieuw Sleutelproject, VINEX)",Utrecht CS, ,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2007/2009,2016/2019,467,,POINT (136001.34659999982 455787.3548000008)
mirt2018_point_mirtnr.36,95,9502,"Vleuten - Geldermalsen (inclusief Randstadspoor, fase 1)",Vleuten, ,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW,2002,vanaf 2003,vanaf 2005,914,,POINT (129254.8013000004 457250.3200000003)
mirt2018_point_mirtnr.37,95,9501,"Vleuten - Geldermalsen (inclusief Randstadspoor, fase 1)",Geldermalsen, ,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW,2002,vanaf 2003,vanaf 2005,914,,POINT (147022.20699999854 432709.34910000116)
mirt2018_point_mirtnr.38,532,53201,Rotterdamsebaan,KP Ypenburg, ,Regionale/lokale infrastructuur,Zuidwest-Nederland,Realisatie,IenW, ,2013,2020,309,,POINT (83872.78049999848 451151.83879999816)
mirt2018_point_mirtnr.39,595,59501,Ombouw Amstelveenlijn (hoogwaardige tramverbinding),Leidseplein, ,Regionale/lokale infrastructuur,Noordwest-Nederland,Planuitwerking,IenW,2014/2015,2018,2020,77,,POINT (120595.65199999884 486323.2897000015)
mirt2018_point_mirtnr.40,595,59502,Ombouw Amstelveenlijn (hoogwaardige tramverbinding),Westwijk, ,Regionale/lokale infrastructuur,Noordwest-Nederland,Planuitwerking,IenW,2014/2015,2018,2020,77,,POINT (117118.08579999954 475843.7479000017)
mirt2018_point_mirtnr.41,595,59503,Ombouw Amstelveenlijn (hoogwaardige tramverbinding),Binnenhof, ,Regionale/lokale infrastructuur,Noordwest-Nederland,Planuitwerking,IenW,2014/2015,2018,2020,77,,POINT (119098.85159999877 479646.22630000114)
mirt2018_point_mirtnr.42,595,59504,Ombouw Amstelveenlijn (hoogwaardige tramverbinding),Amstel, ,Regionale/lokale infrastructuur,Noordwest-Nederland,Planuitwerking,IenW,2014/2015,2018,2020,77,,POINT (122987.48360000178 484439.0430999994)
mirt2018_point_mirtnr.43,595,59505,Ombouw Amstelveenlijn (hoogwaardige tramverbinding),"Amsterdam Zuid, WTC", ,Regionale/lokale infrastructuur,Noordwest-Nederland,Planuitwerking,IenW,2014/2015,2018,2020,77,,POINT (120011.01929999888 483607.25979999825)
mirt2018_point_mirtnr.44,145,14503,Noord - Zuidlijn,"Amsterdam Zuid, WTC", ,Regionale/lokale infrastructuur,Noordwest-Nederland,Realisatie,IenW, ,2003,2018,1186,,POINT (120011.01929999888 483607.25979999825)
mirt2018_point_mirtnr.45,145,14502,Noord - Zuidlijn,Amsterdam CS, ,Regionale/lokale infrastructuur,Noordwest-Nederland,Realisatie,IenW, ,2003,2018,1186,,POINT (121844.7575000003 487941.4913999997)
mirt2018_point_mirtnr.46,145,14501,Noord - Zuidlijn,Buikslotermeer, ,Regionale/lokale infrastructuur,Noordwest-Nederland,Realisatie,IenW, ,2003,2018,1186,,POINT (124075.96819999814 490591.8194999993)
mirt2018_point_mirtnr.47,224,22405,HOV-net Zuid-Holland Noord,Leiden CS, ,Regionale/lokale infrastructuur,Zuidwest-Nederland,Realisatie,IenW, ,2009,2021,205,,POINT (93057.53959999979 464615.245099999)
mirt2018_point_mirtnr.48,224,22404,HOV-net Zuid-Holland Noord,Noordwijk Boulevard, ,Regionale/lokale infrastructuur,Zuidwest-Nederland,Realisatie,IenW, ,2009,2021,205,,POINT (89752.48189999908 473482.84010000154)
mirt2018_point_mirtnr.49,224,22403,HOV-net Zuid-Holland Noord,Katwijk Boulevard, ,Regionale/lokale infrastructuur,Zuidwest-Nederland,Realisatie,IenW, ,2009,2021,205,,POINT (87029.18769999966 468883.19619999826)
mirt2018_point_mirtnr.50,224,22402,HOV-net Zuid-Holland Noord,Alphen a/d Rijn Station NS, ,Regionale/lokale infrastructuur,Zuidwest-Nederland,Realisatie,IenW, ,2009,2021,205,,POINT (105168.95279999822 459603.04560000077)
mirt2018_point_mirtnr.51,224,22401,HOV-net Zuid-Holland Noord,Gouda Station NS, ,Regionale/lokale infrastructuur,Zuidwest-Nederland,Realisatie,IenW, ,2009,2021,205,,POINT (108160.49599999934 447893.6882000007)
mirt2018_point_mirtnr.52,110,11001,Lekkanaal: 3e kolk Beatrixsluis en verbreding kanaalzijde/uitbreiding ligplaatsen,Pr. Beatrixsluizen, ,Hoofdvaarwegen,Noordwest-Nederland,Realisatie,IenW, ,2016,2019,409,,POINT (135932.08399999887 447358.01900000125)
mirt2018_point_mirtnr.53,106,10602,Verbeteren vaargeul IJsselmeer (Amsterdam - Lemmer),Amsterdam, ,Hoofdvaarwegen,Noordwest-Nederland,Realisatie,IenW, ,1997,deeltraject 3: voor eind 2016,12,,POINT (126435.00409999862 487506.86030000076)
mirt2018_point_mirtnr.54,106,10601,Verbeteren vaargeul IJsselmeer (Amsterdam - Lemmer),Lemmer, ,Hoofdvaarwegen,Noordwest-Nederland,Realisatie,IenW, ,1997,deeltraject 3: voor eind 2016,12,,POINT (176203.185899999 539134.0667999983)
mirt2018_point_mirtnr.55,373,37301,A27 Houten-Hooipolder,KP. Lunetten, ,Hoofdwegen,Zuid-Nederland,Planuitwerking,IenW,2017,2019,2023-2025,1263,,POINT (138362.25439999998 451936.2063000016)
mirt2018_point_mirtnr.56,373,37302,A27 Houten-Hooipolder,KP. Hooipolder, ,Hoofdwegen,Zuid-Nederland,Planuitwerking,IenW,2017,2019,2023-2025,1263,,POINT (120186.79989999905 411060.75670000166)
mirt2018_point_mirtnr.57,126,12601,"Maasroute, modernisering fase 2",Hedel, ,Hoofdvaarwegen,Zuid-Nederland,Realisatie,IenW,2002,2005,2018,719,,POINT (146173.85770000145 417389.05260000005)
mirt2018_point_mirtnr.58,126,12602,"Maasroute, modernisering fase 2",Eijsden, ,Hoofdvaarwegen,Zuid-Nederland,Realisatie,IenW,2002,2005,2018,719,,POINT (177539.22080000117 309972.69790000096)
mirt2018_point_mirtnr.59,412,41201,N18 Varsseveld - Enschede,N18 Varsseveld, ,Hoofdwegen,Oost-Nederland,Realisatie,IenW,2013/2014,2016,2018,446,,POINT (227703.93980000168 440597.92880000174)
mirt2018_point_mirtnr.60,412,41202,N18 Varsseveld - Enschede,N18 Enschede, ,Hoofdwegen,Oost-Nederland,Realisatie,IenW,2013/2014,2016,2018,446,,POINT (254003.61569999903 469466.3647999987)
mirt2018_point_mirtnr.61,316,31601,Bovenloop IJssel (IJsselkop tot Zutphen),IJsselkop, ,Hoofdvaarwegen,Oost-Nederland,Planuitwerking,IenW, , ,2026-2028,36,,POINT (193969.73710000142 440323.6400000006)
mirt2018_point_mirtnr.62,467,46701,Verruiming vaarweg Eemshaven - Noordzee,Eemshaven, ,Hoofdvaarwegen,Noord-Nederland,Realisatie,IenW,2014,2016,2017,30,,POINT (251356.57660000026 608707.4618999995)
mirt2018_point_mirtnr.63,103,10301,"Vaarweg Lemmer - Delfzijl, fase 1",Delfzijl, ,Hoofdvaarwegen,Noord-Nederland,Realisatie,IenW, ,2e deel: 2002,2017,284,,POINT (258770.42210000008 594272.7917000018)
mirt2018_point_mirtnr.64,103,10302,"Vaarweg Lemmer - Delfzijl, fase 1",Lemmer, ,Hoofdvaarwegen,Noord-Nederland,Realisatie,IenW, ,2e deel: 2002,2017,284,,POINT (176203.185899999 539134.0667999983)
mirt2018_point_mirtnr.65,446,44601,Capaciteitsuitbreiding ligplaatsen Amsterdam - Lemmer,Oranjesluizen, ,Hoofdvaarwegen,Noordwest-Nederland,Planuitwerking,IenW, , ,2025-2027,6,,POINT (125965.9475999996 488264.00890000165)
mirt2018_point_mirtnr.66,446,44602,Capaciteitsuitbreiding ligplaatsen Amsterdam - Lemmer,Houtribsluizen, ,Hoofdvaarwegen,Noordwest-Nederland,Planuitwerking,IenW, , ,2025-2027,6,,POINT (157467.0447999984 504487.26359999925)
mirt2018_point_mirtnr.67,446,44603,Capaciteitsuitbreiding ligplaatsen Amsterdam - Lemmer,Lemmer, ,Hoofdvaarwegen,Noordwest-Nederland,Planuitwerking,IenW, , ,2025-2027,6,,POINT (176203.185899999 539134.0667999983)
mirt2018_point_mirtnr.68,468,46801,"Vaarweg Lemmer - Delfzijl, fase 2",Delfzijl, ,Hoofdvaarwegen,Noord-Nederland,Planuitwerking,IenW,2017,2019,2023-2025,102,,POINT (258770.42210000008 594272.7917000018)
mirt2018_point_mirtnr.69,468,46802,"Vaarweg Lemmer - Delfzijl, fase 2",Lemmer, ,Hoofdvaarwegen,Noord-Nederland,Planuitwerking,IenW,2017,2019,2023-2025,102,,POINT (176203.185899999 539134.0667999983)
mirt2018_point_mirtnr.70,460,46003,A27/A1 Utrecht Noord - knooppunt Eemnes - aansluiting Bunschoten-Spakenburg,KP. Rijnsweerd, ,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2014,2017,2018-2020,349,,POINT (139503.95899999887 455981.0067999996)
mirt2018_point_mirtnr.71,460,46002,A27/A1 Utrecht Noord - knooppunt Eemnes - aansluiting Bunschoten-Spakenburg,KP. Eemnes, ,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2014,2017,2018-2020,349,,POINT (144862.46049999818 471558.5982000008)
mirt2018_point_mirtnr.72,460,46001,A27/A1 Utrecht Noord - knooppunt Eemnes - aansluiting Bunschoten-Spakenburg,KP. Hoevelaken, ,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2014,2017,2018-2020,349,,POINT (157813.26619999856 465286.55420000106)
mirt2018_point_mirtnr.73,560,56003,A28/A1 Knooppunt Hoevelaken,KP. Rijnsweerd, ,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2019,2021,2023-2025,763,,POINT (139503.95899999887 455981.0067999996)
mirt2018_point_mirtnr.74,560,56002,A28/A1 Knooppunt Hoevelaken,KP. Eemnes, ,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2019,2021,2023-2025,763,,POINT (144862.46049999818 471558.5982000008)
mirt2018_point_mirtnr.75,560,56001,A28/A1 Knooppunt Hoevelaken,KP. Hoevelaken, ,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2019,2021,2023-2025,763,,POINT (157813.26619999856 465286.55420000106)
mirt2018_point_mirtnr.76,580,58001,A1 Beekbergen - Apeldoorn Zuid,Afr. Apeldoorn Zuid, ,Hoofdwegen,Oost-Nederland,Realisatie,IenW,2015,2016,2017,32,,POINT (195473.86580000073 465380.69150000066)
mirt2018_point_mirtnr.77,580,58002,A1 Beekbergen - Apeldoorn Zuid,KP. Beekbergen, ,Hoofdwegen,Oost-Nederland,Realisatie,IenW,2015,2016,2017,32,,POINT (198449.57239999995 466828.05680000037)
mirt2018_point_mirtnr.78,506,50601,N35 Zwolle - Wijthmen,Wijthmen, ,Hoofdwegen,Oost-Nederland,Realisatie,IenW,2015,2017,2018,48,,POINT (208667.0097000003 500303.79129999876)
mirt2018_point_mirtnr.79,572,57204,Quickscan Decentraal Spoor: Oost-Nederland,Kampen, ,Spoorwegen personen,Oost-Nederland,Planuitwerking,IenW, , ,2011-2020,35,,POINT (191200.40249999985 508180.43829999864)
mirt2018_point_mirtnr.80,572,57203,Quickscan Decentraal Spoor: Oost-Nederland,Zwolle, ,Spoorwegen personen,Oost-Nederland,Planuitwerking,IenW, , ,2011-2020,35,,POINT (202876.49320000038 502115.65989999846)
mirt2018_point_mirtnr.81,572,57202,Quickscan Decentraal Spoor: Oost-Nederland,Arnhem, ,Spoorwegen personen,Oost-Nederland,Planuitwerking,IenW, , ,2011-2020,35,,POINT (190215.07820000127 444180.4404999986)
mirt2018_point_mirtnr.82,572,57201,Quickscan Decentraal Spoor: Oost-Nederland,Doetinchem, ,Spoorwegen personen,Oost-Nederland,Planuitwerking,IenW, , ,2011-2020,35,,POINT (217462.3599999994 441501.35660000145)
mirt2018_point_mirtnr.83,572,57205,Quickscan Decentraal Spoor: Oost-Nederland,Winterswijk, ,Spoorwegen personen,Oost-Nederland,Planuitwerking,IenW, , ,2011-2020,35,,POINT (246259.90239999816 442982.9252999984)
mirt2018_point_mirtnr.84,572,57206,Quickscan Decentraal Spoor: Oost-Nederland,Zuthpen, ,Spoorwegen personen,Oost-Nederland,Planuitwerking,IenW, , ,2011-2020,35,,POINT (210177.33949999884 462134.1303999983)
mirt2018_point_mirtnr.85,572,57207,Quickscan Decentraal Spoor: Oost-Nederland,Amersfoort, ,Spoorwegen personen,Oost-Nederland,Planuitwerking,IenW, , ,2011-2020,35,,POINT (153915.6788999997 462815.43030000106)
mirt2018_point_mirtnr.86,572,57208,Quickscan Decentraal Spoor: Oost-Nederland,Ede, ,Spoorwegen personen,Oost-Nederland,Planuitwerking,IenW, , ,2011-2020,35,,POINT (174547.82829999924 448870.55040000007)
mirt2018_point_mirtnr.87,101,10103,Traject Oost,Arnhem CS, ,Spoorwegen personen,Oost-Nederland,Realisatie,IenW, , ,divers,235,,POINT (190215.07820000127 444180.4404999986)
mirt2018_point_mirtnr.88,101,10101,Traject Oost,Duitse grens, ,Spoorwegen personen,Oost-Nederland,Realisatie,IenW, , ,divers,235,,POINT (206641.8209999986 435028.1028999984)
mirt2018_point_mirtnr.89,101,10102,Traject Oost,Driebergen NS, ,Spoorwegen personen,Oost-Nederland,Realisatie,IenW, , ,divers,235,,POINT (146282.36470000073 453010.3440999985)
mirt2018_point_mirtnr.90,547,54701,"A7 Zuidelijke Ringweg Groningen, fase 2",KP. Julianaplein, ,Hoofdwegen,Noord-Nederland,Realisatie,IenW,2014,2016,2019-2021,681,,POINT (233703.12139999866 580275.4549000002)
mirt2018_point_mirtnr.91,547,54702,"A7 Zuidelijke Ringweg Groningen, fase 2",KP. Europaplein, ,Hoofdwegen,Noord-Nederland,Realisatie,IenW,2014,2016,2019-2021,681,,POINT (235260.9182999991 581206.9441)
