TITEL;STRAAT;PLAATS;LOCATIEOMSCHRIJVING;WEBSITE;FOTO;X;Y;LONG;LAT;COUNTER
BIESIEKLETTE;Palaceplein 1;Den Haag;;https://www.biesieklette.nl/stallingen/;;79456.56;458958.92;4.284313927288245;52.11369399887146;37
BIESIEKLETTE;Plein;Den Haag;geschatte locatie;https://www.biesieklette.nl/stallingen/;;81541.39;455205.19;4.315555090587024;52.080240989888416;38
Buurtstalling Den Haag;HEELSUMSTRAAT 34;Den Haag;;;;79108.873;453995.461;4.280343711003565;52.06904142432236;39
Buurtstalling Den Haag;MARNIXSTRAAT 55A;Den Haag;;;;79819.82;454990.349;4.290491743427166;52.078079183542954;40
Buurtstalling Den Haag;GEVERS DEYNOOTWEG 970;Den Haag;is dezelfde als Palaceplein 1;;;79421.527;459008.24;4.2837916098407725;52.11413243369213;41
BIESIEKLETTE;Raamstraat 2;Den Haag;;https://www.biesieklette.nl/stallingen/;;81138.395;454769.571;4.30977132106681;52.07627256989624;42
BIESIEKLETTE;Rijnstraat;Den Haag;geschatte locatie;https://www.biesieklette.nl/stallingen/;;82091.01;455260.54;4.323560035442227;52.08081105256289;43
Buurtstalling Den Haag;GONDELSTRAAT 29;Den Haag;;;;79016.19;458146.556;4.2780671733109115;52.106333257589185;44
BIESIEKLETTE;Spui 68;Den Haag;;https://www.biesieklette.nl/stallingen/;;81572.508;454892.298;4.316076322436624;52.07743322556861;45
BIESIEKLETTE;Strandweg 10;Den Haag;;https://www.biesieklette.nl/stallingen/;;77955.196;457601.978;4.262705815262967;52.10129259444214;46
BIESIEKLETTE;Strandweg 14;Den Haag;geschatte locatie;https://www.biesieklette.nl/stallingen/;;78786.97;458465.96;4.274650382233212;52.10917208954158;47
Buurtstalling Den Haag;STRANDWEG 189;Den Haag;geschatte locatie;;;;;3.313557719096825;47.97476586753134;48
BIESIEKLETTE;Zwarte Pad;Den Haag;geschatte locatie;https://www.biesieklette.nl/stallingen/;;79990.82;459531.02;4.29198639881855;52.11890797851896;49
Buurtstalling Den Haag;ABRIKOZENSTRAAT 207;Den Haag;;;;77347.154;453915.331;4.254672292584954;52.068077085233305;50
Buurtstalling Den Haag;FRAMBOZENSTRAAT 16;Den Haag;;;;77471.263;453964.63;4.256470832524943;52.06853750817976;51
Buurtstalling Den Haag;OKKERNOOTSTRAAT 82;Den Haag;;;;77481.969;453329.124;4.256771249687727;52.06282792914532;52
Buurtstalling Den Haag;SINAASAPPELSTRAAT 165;Den Haag;;;;77034.895;453832.968;4.2501378016959475;52.067293042808174;53
BIESIEKLETTE;Voldersgracht 42;Den Haag;;https://www.biesieklette.nl/stallingen/;;81445.582;454798.552;4.314245305666774;52.076573905136485;54
Buurtstalling Den Haag;VAN KINSBERGENSTRAAT 5;Den Haag;;;;80157.403;455287.91;4.295350187863442;52.08079902057837;55
Buurtstalling Den Haag;HARDERWIJKSTRAAT 2;Den Haag;;;;79319.571;453632.596;4.283496608121656;52.0658092898595;56
Buurtstalling Den Haag;harderwijkstraat 36A;Den Haag;;;;79339.96;453596.261;4.283801956660763;52.06548554277065;57
BIESIEKLETTE;Stellenboschplein;Den Haag;Onbekende locatie;https://www.biesieklette.nl/stallingen/;;;;3.313557719096825;47.97476586753134;58
Buurtstalling Den Haag;;Den Haag;;;;;;4.27455722444164;52.10555498701405;59
