Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;6-ICT
Instituut Voor Duurzame Mobiliteit;;;;;;;;1;1
Intermax;;1;;;;1;;1;2
Intersafe Groeneveld;;;;;;;1;;1
Intrum Justitia;;1;;;;;;;1
I-Projects B.V.;;;;;1;;;;1
IS Group (vh Nxs Internet);;;;;;5;;1;5
IS Interned Services Groep;;;;;;1;;1;1
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);;;;6;2;;;4;6
ITAQ Interim Professionals;;;;;2;;;;2
ITsec Security Services;;;;;2;;;;2
iWelcome;;;;;2;2;;2;3
iXware Nederland;;;;;;;;1;1
JSR Multidesign;;;;;;;;1;1
Jungle Minds;;;;;;;;2;2
Kantoorverzorging Verhallen en Jansen;;1;;;;;;;1
KG Nederland B.V.;;;;;;1;;1;1
Knowledge Plaza;;;;;2;;;;2
Kodision;;;;;;2;;1;2
Koelgroep Dorenbos;;;;;;1;;;1
Koninklijke Fabr. Posthumus (PS Groep);;;;;1;;;;1
KPN (incl. Getronics, PTT Telecom);;1;;;;7;6;3;7
L&M Software;;;;;1;;;;1
Lead Solutions B.V.;;;;;1;;;2;2
Leaseplan Nederland;;;;;;2;;;2
Lexmark International (incl. Perceptive Software);;;;;;;;1;1
Lumidee Headset Company;;1;;;;;;;1
Maakum;1;;;;;;;;1
Madison Gurkha;;;;;;;;2;2
Marnecs Management;;;;;1;;;3;3
MaxFax;;1;;;;;;;1
MB Safety;;1;;;;;1;;2
Mediaan/ABS;;;;;2;;;5;5
Metis IT;;;;2;;;;7;7
Mettler-Toledo;;1;;;;;;;1
Microsoft (incl. Technet);;;;;5;;;3;5
Misco Solutions (vh SCC Services);;3;;;3;7;1;3;7
Mondial Movers;;;;;;;1;2;2
Moniker;;;;;;;;1;1
Multitask Ict;;;;;;;;1;1
Narwal Innovatie;1;;;;;;;;1
Nawwara;;;;;;;;1;1
NCOI Nederlands Commercieel Opleidingsinstituut (incl. NedFac, ISES, ISBW, Bestuursacademie Nederland);;;;;;;;2;2
Nederland ICT;;;;;2;;;;2
Netbiz;1;;;;;;;;1
Netrex Internet Solutions;;;;;;;;2;2
Network Innovations (vh 2connect-IT);;;;;;;1;;1
NewTelco;;;;;;;1;;1
Niscayah Stanley Security Nederland;;;;;;3;1;3;4
NLtronics;;1;;;;;;;1
Nováccent Group;;;;;;;;2;2
NS - Spoorwegen Nederlandse;;;;;;;1;;1
Ogone (incl. Ingenico);;;;;1;1;;;1
Oldenburger Automatisering;;;;;1;;;;1
Onsight Solutions;;2;;;3;2;;;4
OpenSesame ICT;;;;;2;;;;2
Optelec Nederland;;1;;;;;;1;1
Oracle;;;;;8;;;5;8
Orcavoice;;;;;;;1;;1
Ordina (incl. Be Value, Clockwork);;;;3;5;2;;7;7
Paragin;;;;;3;1;;;3
Paralax;;;;;;;;2;2
PBLQ (HEC, ROI, Zenc);;;;;;;;3;3
PDA Technologies Center;;1;;;;;;;1
Perfect View;;;;;4;;;;4
Planon;;;;;5;;;2;5
Plein 10A (Rozee, Millers Restaurant);;;;;;;;1;1
PQR;;7;2;;7;5;1;2;7
Prolocation;;;;;2;4;;;4
Protinus It;;6;2;;5;3;2;3;7
Qi Ict;;;;;;3;;;3
Q-Ray;;;;;;;;2;2
Quovadis Trustlink;;;;1;3;1;;1;3
Rave-cruitment;;;;;;;;1;1
RCM Products;;;;;;;2;;2
Real Enterprise Solutions Nederland;;;;;1;;;;1
Reasonnet;;;;;;2;;;2
Repromat;;;;;;1;;1;1
Reqor Data Company B.V.;;;;;;;;1;1
Ricoh Groep (incl. Nashuatec, NRG);;;;;;;1;1;1
Ritom Beveiligingstechniek;;;;;;;;1;1
Roessingh Diensten Groep;1;;;;;;;;1
Rohde & Schwarz Nederland;;;;;;;4;;4
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);;;;;;1;;;1
SAP Nederland;;;;;4;;;;4
Satcomm;;;;;;;1;;1
Saval;;;;;;1;;;1
Scansys Vision;;;;;;;;1;1
Schiphol Telematics;;;;;;;2;;2
Schippers IT;;;;;1;;;;1
Scholten Awater & Partners;;7;4;;4;6;2;4;7
Schoonderbeek Installatie;;;;;;1;;;1
Sectra Communications;;;;;2;;;;2
Securelink Nederland;;;;;2;;;;2
Sendrata;;;;;;2;;2;3
Sentia;;;;;;1;;;1
SIG Software Improvement Group (incl. Portfolio Management);;;;;;;;3;3
Sira Consulting;;;;;;;;3;3
Skardahl B.V.;;;;;;;;1;1
SLTN (vh Inter Access);;;;;4;;;5;6
Small Connection;;;;;;1;;;1
Smart Documents (incl. High Concept Software Development);;;;;;;;1;1
Smidswater;;;;;1;1;;2;3
SMT Simple Management Technology;;;;;3;;;;3
SoftwareOne;;3;;7;8;5;;4;9
Sogeti Nederland;;;;3;4;;;7;7
Solyne;;;;;;;;2;2
Square Information Systems;;;;;2;;;;2
Staples (incl. Advantage, Corporate Express);;1;;;;;;;1
Starlims Netherlands;;;;;2;;;3;4
Statsconsult (vh Cosinus computing);;;;;2;;;;2
STB Automatisering & Advies;;;;;;;;1;1
Studiodet Grafische Vormgeving;;;;;;;;1;1
Surfmarket (vh surfdiensten);;;;;;;3;;3
Surveymonkey.com;;;;;1;;;;1
SVS ICT;;1;;;;;;;1
T&M Systems;;;;;;;1;;1
T&T Compet&T;;;;2;2;2;;2;3
Taller Events;1;;;;;;;;1
Tangelo Software (vh Cumquat Information Technology);;;;;2;;;5;5
Tangram Automatisering;;;;;2;;;1;2
TCN SIG Telehousingexploitatie;;;;;;6;;2;6
Teamsupport Creating Together;;;;;;;;1;1
TecFocus B.V.;;;;;;;;4;4
Technet Group;;;;;;;1;;1
Tele2 (incl. Versatel, BBeyond);;;;;2;;7;;7
Telecom Paper;;;;;2;;;;2
Teleknowledge Call Center Solutions;;;;;2;;;;2
Telepage Solutions;;;;;;;1;;1
Tele'Train;;;;;;;;1;1
Telindus (incl. ISIT, 2-Store);;;;;2;;;;2
Tentoo (incl. Directors Cast & Crew);;;;;1;;;;1
Testwerk B.V.;;;;;;;;1;1
The MathWorks;;;;;2;;;;2
Thomson Reuters;;;;;2;;;;2
Thornstein Groep;;;;;;;;3;3
Tinqwise;;;;;;2;;;2
T-Mobile Netherlands;;;;;;;1;;1
TNO;;;;;1;;;;1
Topdesk;;;;;2;;;1;2
Total Identity, Total Public;;;;;;;;1;1
Toyota (incl. Louwman);;;;;;;1;;1
Triple P Nederland;;;;;3;3;3;2;4
TWS Technologies;;;;;;;1;;1
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);;;;;;;;2;2
Unisys Nederland;;;;;4;;;2;4
Uselab;;;;;4;;;;4
Verheul Communicatie;;;;;;;;1;1
Vevida;;;;;;1;;2;2
Viadesk;2;;;;2;;;;3
Vicrea Solutions;;;;;;;;5;5
View Archiefspecialisten;;;;;1;;;;1
Vitasys (incl. FastWell Office Automation);;;;;2;;;;2
VKA Verdonck Klooster & Associates;;;;;;;;3;3
Vodafone (incl. Libertel);;1;;;;;7;1;7
Vosko Communications;;;;1;;2;;;2
Vrieservice;;;;;;;1;;1
Webservices.nl;;;;;;1;;1;2
Wedomedia;1;;;;;;;;1
Westfort;;;;;;;1;;1
Xerox;;1;6;;4;;;2;6
Xillio;;;;;;;;1;1
Xolphin;;;;;1;;;;1
XS4ALL Internet;;;;;;;2;;2
Ymor E-Services;;;;;;;;2;2
Zet Solutions;;1;;;2;1;;1;2
Zinnig Journalistiek;;;;;;;;1;1
ZyLAB Benelux;;;;;2;;;;2
Eindtotaal;2;8;9;7;10;9;8;9;11
