Stembureau_naam;Stembureau_nummer;Stembureau_adres;Stembureau_plaats;CDA;PvdA;SP;VVD;PVV;GL;CU;D66;PvdD;SGP;NwNed;TON;MenS;HeelN;P één;blanc;Pirat;Geldig;Blanco;Ongeldig;Oproep
18 Zorgcentrum De Linde;18;Bankastraat 158;Dordrecht;102;234;118;160;144;116;69;81;14;40;0;7;3;0;0;0;1;1089;2;1;1240
19 Kerkgebouw Pinkstergemeente;19;Noordendijk 262;Dordrecht;74;138;66;215;116;52;27;59;13;9;0;4;2;0;0;1;1;777;1;2;1366
20 Vrije school;20;Dubbelmondestraat 1;Dordrecht;63;194;113;93;137;96;61;52;26;32;0;1;7;0;2;0;1;878;0;4;1225
22 School de Repelaer;22;Standhasenstraat 47;Dordrecht;95;193;97;149;187;103;74;86;13;74;0;6;5;0;0;0;0;1082;1;1;1371
25 Buurthuis Staart-West;25;Maasstraat 25;Dordrecht;17;107;60;60;78;28;19;23;10;8;2;3;2;0;1;0;2;420;0;0;834
26 Wantijschool;26;Maasstraat 204;Dordrecht;34;104;79;55;113;35;20;21;16;10;0;5;1;0;1;0;2;496;0;0;792
27 School de Regenboog;27;Volkerakweg 60;Dordrecht;72;147;114;92;160;32;25;26;9;16;0;5;1;0;0;0;0;699;0;1;1237
29 Woon- en Zorgcentr. Merwelanden;29;Haringvlietstraat 515;Dordrecht;119;189;108;104;208;28;26;28;8;5;0;5;1;0;1;0;0;830;0;2;1233
30 Zorgcentrum Thureborgh;30;Mauritsweg 157;Dordrecht;66;178;117;73;110;83;42;53;20;39;0;5;3;0;1;0;1;791;1;5;1369
33 Soc. Cultureel Centrum Aksa;33;Willem de Zwijgerlaan 1;Dordrecht;38;208;92;52;144;33;15;44;8;10;0;3;2;1;0;1;0;651;0;2;1227
34 Weizigtschool;34;Johan Willem Frisostraat 39;Dordrecht;25;166;53;34;158;34;9;27;11;2;0;6;2;0;0;0;0;527;2;1;1071
36 Gebouw Dorswedo;36;Brouwersdijk 4;Dordrecht;91;194;126;113;253;56;68;59;27;39;0;6;1;0;0;0;2;1035;0;1;1273
37 Prins Bernhardschool;37;Willaertstraat 2;Dordrecht;74;146;95;140;258;44;66;30;19;27;1;6;0;0;0;1;1;908;0;2;1424
38 Het Weizigt NMC;38;Van Baerleplantsoen 30a;Dordrecht;60;138;105;123;121;59;48;46;11;19;0;6;0;0;0;0;1;737;1;1;1386
39 Julianakerk;39;Mauritsweg 286;Dordrecht;27;199;98;55;101;38;36;31;7;69;0;0;0;0;0;2;0;663;0;6;966
42 De Koloriet/De Fontein;42;Matthijs Marisstraat 33;Dordrecht;42;239;99;66;194;56;40;27;17;15;0;8;3;0;0;1;4;811;0;2;1279
44 De Koloriet/De Mondriaan;44;Jacob Marisstraat 80;Dordrecht;26;175;68;54;130;43;13;19;6;7;0;0;0;0;0;0;0;541;0;3;1331
50 School De Albatros;50;Douwe Aukesstraat 1;Dordrecht;49;216;94;44;200;39;27;14;7;6;0;1;1;0;0;0;0;698;3;3;1195
51 Buurthuis de Boei;51;Sportlaan 5;Dordrecht;6;60;16;18;201;7;9;8;3;0;0;0;1;0;0;2;0;331;0;0;1039
52 Wielborgh, het Waterwiel;52;Admiraalsplein 700;Dordrecht;56;228;114;76;178;48;34;32;12;15;1;4;1;0;0;0;0;799;5;3;1278
54 Wooncentrum Watersteijn;54;M.H. Trompweg 382, ingang achterzijde;Dordrecht;77;121;45;200;112;27;21;49;17;20;0;2;0;0;0;0;1;692;1;1;967
55 Mercure Hotel;55;Rijksstraatweg 30;Dordrecht;46;46;46;134;75;15;16;18;5;22;0;3;2;0;0;0;0;428;0;0;609
60 Wooncentrum de Klockelaer;60;Tak van Poortvlietstr., ing. 1 - 137;Dordrecht;77;213;97;87;187;33;24;32;15;13;0;6;2;1;0;1;2;790;1;3;1140
61 J.F. Kennedyschool;61;Bosstraat 1;Dordrecht;57;156;72;91;151;32;28;19;12;8;0;6;1;0;0;0;2;635;1;6;1103
"63 Kerk De Verrezen Christus""""";63;Slotemaker de Bruïnestraat 1;Dordrecht;54;181;108;72;137;43;28;34;16;11;0;7;2;0;2;0;0;695;1;4;1317
64 Kerk van de Nazarener;64;Talmaweg 121;Dordrecht;28;85;56;29;66;21;21;12;7;3;0;3;1;0;0;0;0;332;1;4;980
65 Verzorgingshuis Vijverhof;65;Henri Polakstraat 7;Dordrecht;48;199;82;65;137;33;22;22;16;9;0;4;1;0;0;1;3;642;1;2;1048
66 Zorgcentrum Vreedonk;66;Vreedonklaan 2;Dordrecht;109;83;47;87;72;25;67;28;5;76;0;1;0;0;0;0;3;603;0;1;741
70 Bewonersver. 't Trefpunt;70;Planetenlaan 16A;Dordrecht;122;182;93;198;168;49;46;34;10;18;0;3;3;0;1;0;0;927;0;1;1232
71 Dep J.F. Kennedyschool;71;Eddingtonweg 3;Dordrecht;114;185;105;85;166;58;41;37;15;73;0;8;1;1;2;0;0;891;1;3;1232
72 Cultureel Centrum Sterrenburg;72;Dalmeyerplein 10;Dordrecht;71;159;99;60;133;33;31;23;9;15;1;1;2;0;0;0;0;637;2;3;1130
73 Wielborgh, het Sterrenwiel;73;Dalmeyerplein 80;Dordrecht;127;256;97;67;131;51;32;39;18;25;0;9;1;0;0;0;1;854;0;5;917
74 Verpleegtehuis Sterrenlanden;74;Minnaertweg 4;Dordrecht;146;181;105;218;158;78;53;45;16;29;0;7;4;0;1;1;2;1044;3;0;1391
75 Polyanderschool;75;Atmosfeerstraat 34;Dordrecht;96;180;120;88;166;27;64;29;16;77;1;1;1;0;0;0;2;868;1;0;1374
76 School De Driehoek;76;Driehoek 41;Dordrecht;93;203;106;211;152;46;45;71;23;16;0;7;3;0;0;0;0;976;1;0;1431
77 School De Sterrekijker;77;Boogschutter 71;Dordrecht;98;170;100;220;181;56;48;57;10;10;0;5;0;0;0;1;1;957;3;0;1332
78 School De Keerkring;78;Ockenburg 44;Dordrecht;66;176;96;182;185;45;25;62;15;2;0;3;5;0;2;1;1;866;1;0;1293
81 Ontmoetingskerk;81;Slangenburg 3;Dordrecht;93;245;143;344;205;74;48;106;21;14;0;12;3;1;0;1;0;1310;2;1;1429
82 School De Meridiaan;82;Kinkelenburg 19;Dordrecht;98;186;109;274;194;62;26;82;15;7;0;4;1;0;1;0;0;1059;2;1;1404
83 School Het Kristal Dependance;83;Zuilenburg 68;Dordrecht;55;128;77;117;144;35;31;25;16;5;0;1;1;0;0;0;0;635;0;0;1323
84 School Het Kristal;84;Heimerstein 36;Dordrecht;89;185;139;268;222;65;110;87;17;18;1;6;6;0;0;1;2;1216;0;0;1438
90 Verzorgingshuis Dubbelmonde (extra);90;Koningstraat 290;Dordrecht;48;45;32;95;40;25;14;29;8;20;0;2;2;0;0;0;0;360;0;1;0
91 Verzorgingshuis Dubbelmonde;91;Koningstraat 290;Dordrecht;177;149;58;216;113;36;71;52;8;45;0;3;1;0;0;1;1;931;1;1;1449
93 De Rank;93;Dubbelsteynlaan West 70;Dordrecht;189;223;104;250;171;49;73;60;17;80;0;5;0;0;0;1;0;1222;1;0;1432
94 Verpleeghuis Het Parkhuis;94;Haaswijkweg Oost 69A;Dordrecht;143;134;105;237;157;45;52;57;14;30;0;2;1;0;0;0;0;977;5;0;1328
95 De Rank;95;Dubbelsteynlaan West 70;Dordrecht;121;131;58;202;141;27;50;45;16;43;0;7;1;0;0;1;1;844;0;1;1153
96 Peuterspeelzaal De Kladderkatjes;96;Eikenlaan 25;Dordrecht;165;149;75;262;155;63;51;73;12;51;0;5;4;1;0;0;1;1067;0;0;1408
97 Wooncentrum De Gravenhorst;97;Vijverlaan 1002;Dordrecht;180;179;84;315;194;50;61;45;6;40;0;6;3;0;1;1;1;1166;1;2;1502
98 Centrum De Hoop;98;Provincialeweg 122;Dordrecht;137;78;27;534;144;36;116;63;10;42;1;2;0;0;0;0;3;1193;0;0;1469
101 School De Griffioen;101;Rudyard Kipling-erf 123;Dordrecht;48;122;98;82;107;36;21;38;11;7;0;5;3;0;0;1;0;579;1;2;1403
102 Oranje Nassauschool;102;Selma Lagerlöf-erf 166;Dordrecht;90;225;133;183;256;80;55;51;18;26;0;6;4;1;0;2;1;1131;0;5;1171
103 Peuterspeelzaal Kabouter-erfje;103;Henriëtte Roland Holst-erf 134;Dordrecht;76;193;186;197;242;68;76;63;9;40;0;6;6;2;0;1;1;1166;2;2;1383
104 Geert Grooteschool;104;van den Broek-erf 3;Dordrecht;92;180;104;216;162;56;69;59;23;13;0;11;0;0;0;1;2;988;1;1;1204
105 Geert Grooteschool;105;van den Broek-erf 7;Dordrecht;75;124;106;192;136;50;28;50;9;7;0;7;1;0;0;0;0;785;0;1;1029
106 Wielborgh, het Polderwiel;106;Dudok-erf 58;Dordrecht;182;281;150;249;226;60;49;78;23;16;1;10;2;0;0;1;2;1330;0;3;837
107 Lokalencomplex;107;Mina Krüseman-erf 470;Dordrecht;48;114;91;145;130;38;34;38;13;21;0;4;2;0;0;0;1;679;1;0;1368
108 Lokalencomplex;108;Mina Krüseman-erf 470;Dordrecht;49;101;82;78;133;34;50;27;8;13;0;3;1;0;0;1;1;581;0;0;1419
109 Kandelaarkerk;109;Van Eesterenplein 230;Dordrecht;43;67;22;85;68;19;24;16;9;7;0;3;0;0;0;0;0;363;0;0;633
110 Speeltuin Stadspolders;110;Meranti 50;Dordrecht;78;154;91;180;142;40;35;37;7;15;0;7;2;0;1;0;0;789;0;0;1342
111 School De Bever;111;Chico Mendesring 188;Dordrecht;116;169;102;411;224;73;46;91;23;4;0;5;3;0;1;0;2;1270;2;2;1494
112 Johan Frisoschool Dependance;112;Chico Mendesring 821;Dordrecht;71;164;104;302;207;64;45;67;13;20;0;5;0;0;0;0;6;1068;0;2;1459
200 Stationsgebouw;200;Stationsplein 2;Dordrecht;53;140;82;114;43;123;31;85;10;15;0;0;0;0;0;0;6;702;4;0;0
210 Alb. Schweitzerzhs, Dordtwijk;210;Alb. Schweitzerplaats 25;Dordrecht;26;69;32;66;52;39;16;35;6;11;0;2;0;0;0;1;0;355;0;2;0
220 Kantine v.v. Emma (extra);220;Sportpark bij Halmaheiraplein;Dordrecht;7;23;26;37;25;6;11;6;2;0;0;1;0;0;0;0;0;144;0;0;0
