;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9530 - DEF specifiek;Eindtotaal
Anchor Men;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Andes B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;4
Andes Meettechniek B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
André Holding B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Andrevo Naaimachines B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Anemoon;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anemoon Bloemen;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AngioDynamics Netherlands B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Angst+Pfister B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AniCura Dierenziekenhuis Breda B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AniCura Dierenziekenhuis Drechtstreek B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anies-art;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Animo B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anixter Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Anker & Kompas;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ankersmid Process B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anlag International B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Anna bakt;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anna Events;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anna Vastgoed Beheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
anoniem_DEF_1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_100;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1000;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1001;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1002;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;1
anoniem_DEF_1004;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1005;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1006;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1007;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1008;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1009;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_101;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1010;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
anoniem_DEF_1013;5;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;7
anoniem_DEF_1014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1015;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
anoniem_DEF_1016;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1017;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1018;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1019;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_102;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1020;1;;;1;7;1;2;;;1;2;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;7
anoniem_DEF_1021;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1022;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1023;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1026;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1027;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1028;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;3
anoniem_DEF_1029;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_103;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1030;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1031;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
anoniem_DEF_1033;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1034;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
anoniem_DEF_1036;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1037;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1038;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1039;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_104;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1041;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1042;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
anoniem_DEF_1044;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5
anoniem_DEF_1046;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2
anoniem_DEF_1047;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1048;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1049;;;;1;;1;1;;;2;1;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;2
anoniem_DEF_105;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1050;;;;;;1;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1051;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
anoniem_DEF_1053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1054;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1055;;;1;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1056;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1057;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1059;;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2
anoniem_DEF_106;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1060;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1061;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1062;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1064;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1065;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1066;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
anoniem_DEF_1068;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;1
anoniem_DEF_107;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1070;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1071;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1072;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1073;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1074;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1075;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2
anoniem_DEF_1076;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1077;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1078;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1079;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_108;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1080;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
anoniem_DEF_1081;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1082;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1083;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1085;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1086;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1087;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1088;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1089;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
anoniem_DEF_1090;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1091;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
anoniem_DEF_1092;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1093;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1094;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1095;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1096;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1097;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1098;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1099;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;2
anoniem_DEF_11;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_110;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1100;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1101;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1102;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1104;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1105;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1106;;;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1107;;;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1108;;;;;;5;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
anoniem_DEF_1109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
anoniem_DEF_111;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1111;;;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1112;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1113;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1114;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1115;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
anoniem_DEF_1117;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1118;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1119;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_112;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1120;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
anoniem_DEF_1121;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1122;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1123;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1124;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1126;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1127;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1128;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1129;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;6
anoniem_DEF_113;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1130;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1131;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1132;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
anoniem_DEF_1133;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1134;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
anoniem_DEF_1136;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1137;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1138;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1139;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1140;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1141;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1142;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1143;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1144;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;4
anoniem_DEF_1146;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1147;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1148;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
anoniem_DEF_1149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1150;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1151;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2
anoniem_DEF_1153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1154;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1155;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1156;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1157;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1158;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1159;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_116;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
anoniem_DEF_1161;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
anoniem_DEF_1163;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1165;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1166;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1167;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1168;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1169;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_117;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1170;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;6
anoniem_DEF_1171;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;1
anoniem_DEF_1173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1174;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1175;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1176;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1177;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1178;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1179;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_118;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anoniem_DEF_1181;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1182;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
anoniem_DEF_1183;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;4
anoniem_DEF_1185;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1186;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1187;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1188;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1189;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_119;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1190;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1191;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1
anoniem_DEF_1193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1194;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7
anoniem_DEF_1196;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
