"Gemeente","Jaar","Periode","Beleidsprogramma","Organisatie","Subsidie beschikt","Bekostigd uit rijksinkomsten","Wettelijke taak","Globaal overzicht gesubsidieerde activiteiten"
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","Stichting Aanzet","21.920,00","ja","nee","Project 'Voorleesplezier'."
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","Stichting Aanzet","24.373,50","ja","ja","VVE activiteiten."
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","Wijzer in Opvang","29.672,33","ja","ja","Aanbieden van VVE activiteiten om doorgaande ontwikkel lijn met het onderwijs te garanderen."
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","KomKids Kinderopvang BV","48.171,00","ja","ja","Reguliere peuterspeelplaatsen, VVE peuterspeelplaatsen, 3e en 4e dagdeel, VVE vergoeding."
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","UN1EK Kinderopvang BV  ","53.240,00","ja","nee","Activiteiten in het kader van opbrengstgericht werken."
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","UN1EK Kinderopvang BV  ","88.979,00","ja","nee","Compensatie overheadkosten peuterspeelzalen."
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","Wijzer in Opvang","379.295,00","ja","ja","Peuterspeelzaalwerk en VVE voor periode januari 2016 - juli 2016."
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","Royal Steensma B.V.","525.000,00","Bijdrage van de MRDH","nee","Voorbereidende activiteiten van testcenter FIA conform de bij de aanvraag bij het MRDH ingediende projectplan."
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Stichting Vrienden van de Voggel","4.000,00","nee","nee","Welzijnssubsidie: activiteiten voor inwoners van de gemeente Vlaardingen met een verstandelijke beperking."
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Kinderopvang Mundo / Mamacafﾂ Vlaardingen","4.467,00","nee","nee","Welzijnssubsidie: bijdrage in de kosten voor organisatie van het Mamacafﾂ in Vlaardingen als laagdrempelige ontmoetingsplek voor kersverse ouders en hun kinderen in de leeftijd van 0-4 jaar."
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Stichting Humanitas","5.341,00","nee","nee","Welzijnssubsidie: 4 buddytrajecten met als doel begeleiding van ernstig zieke mensen door vrijwilligers. Hierdoor wordt de draagkracht van de zieken vergroot en kunnen ze langer en/of beter zelfstandig functioneren."
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Bureau Halt","7.875,00","nee","nee","Preventieve activiteiten zoals vuurwerkvoorlichting."
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Stichting Schuldhulpmaatjes Vlaardingen","15.000,00","nee","nee","Het bieden van begeleiding aan 50 inwoners van Vlaardingen bij de aanpak van schulden."
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Slachtofferhulp Nederland - Regio Zuidwest","15.454,00","nee","ja","Voornaamste activiteit is de opvang na een delict, verkeersongeval,  calamiteit. Politie is verplicht deze opvang te bieden."
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Vereniging Humanitas, afdeling nieuwe waterweg noord","19.418,00","nee","nee","Opzet en coﾔrdinatie van netwerk schuldhulppreventie in de Westwijk in Vlaardingen."
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Argos Zorggroep","22.500,00","nee","nee","Argos Mobiel"
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Zonnehuisgroep Vlaardingen","64.361,00","ja","ja","Deelname met 0,56 en 0,45 FTE in de sociale wijkteams Vlaardingen. "
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Cooperatie VlaardingenWerkt","67.353,00","nee","nee","Het realiseren van een inzamel- en distributiepunt ten behoeve van vluchtelingen die zich in Vlaardingen vestigen. Subsidieperiode tot en met 31 december 2016."
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Stichting Argos Zorggroep","80.625,00","ja","ja","Deelname in de sociale wijkteams met 1,25 FTE."
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Careyn DWO - NWN BV","103.489,00","ja","ja","Deelname met 1,56 FTE in de sociale wijkteams. "
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","GGZ Delfland  ","121.091,00","ja","ja","Deelname in de sociale wijkteams met 1,78 FTE. "
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Stichting Pameijer","166.904,00","ja ","ja","Deelname in de wijkteams met 2.53 FTE."
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","Stichting Elckerlyc","170.000,00","nee","nee","Opvang en begeleiding in de voorziening plusvoorziening maatschappelijke opvang (vervolgmogelijkheid na opvang binnen de dak- en thuislozen opvang De Elementen)."
"Vlaardingen",2016,"Q1","Programma Sociaal Domein","MEE Zuid-Holland Noord","765.000,00","ja","ja","Deelname in de 4 wijkteams, zowel voor jeugd als volwassenen t.b.v. het bieden van onafhankelijke cliﾉntondersteuning."
"Vlaardingen",2016,"Q1","Programma Sport en Recreatie","Stichting Federatie Broekpolder","9.105,00","Projectsubsidie Provincie Zuid Holland","nee","Organisatie van openbare natuurwandelingen. Organisatie van speciale wandelingen voor ouderen, gezinnen en gehandicapten met als thema's foodwalks, rolstoelwandelingen, knutselwandelingen."
"Vlaardingen",2016,"Q1","Programma Sport en Recreatie","Stichting Vlaardingen in Beweging","10.052,00","Projectsubsidie Provincie Zuid Holland","nee","Trainingen en cursussen voor professionele begeleiders, familieleden en vrijwilligers met als doel het vergroting van kennis en vaardigheden op het gebied van fietsen voor ouderen (en begeleiders)."
"Vlaardingen",2016,"Q1","Programma Sport en Recreatie","Stichting YETS Foundation","14.950,00","nee","nee","Activiteiten in het kader van voorkomen van maatschappelijke uitval onder kwetsbare jongeren (12-18 jaar) door deelnemers intensief te ondersteunen in hun sociaal-emotionele, cognitieve en gedragsmatige ontwikkeling door middel van sportactiviteiten."
"Vlaardingen",2016,"Q1","Programma Groen en Milieu","Agrarische Natuurvereniging Vockestaert","6.000,00","nee","nee","Welzijnssubsidie: lessen bij de boer over melkveehouderij, over de voedselketen, over natuur en milieu op en rond de boerderij. "
