Ministerie;Leverancier ;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
BZ;Triple Blue;;;;1;;;;1
BZ;Troje Training en Theater;;;1;;;;;1
BZ;TwynstraGudde Adviseurs;;;1;;;;;1
BZ;Vanberkel Professionals Holding B.V.;;;1;;;;;1
BZ;WITh Accountants B.V.;;;1;;;;1;1
BZ;XpatCoach;;1;;;;;;1
BZK;&Maes B.V.;;;1;;;;;1
BZK;.FABRIC;;1;4;;;;;4
BZK;7 Ditches TV B.V.;;2;;;;;;2
BZK;A-Advies B.V.;;;2;;;;;2
BZK;ABF Research B.V.;;;7;;;;;7
BZK;ABT B.V.;;;2;;;;;2
BZK;Achttienribbe Advocatuur;;;3;;;;;3
BZK;ACL Media;;1;;;;;;1
BZK;Adviesbureau Overheidshuisvesting;;1;1;;;;;1
BZK;AEVES B.V.;2;;;;;;;2
BZK;Afdeling Buitengewone Zaken;;;2;;;;;2
BZK;Agents of Change;;;2;;;;;2
BZK;AK Media;;1;;;;;;1
BZK;AKD N.V.;;;2;;;;;2
BZK;Akro Consult B.V.;;;1;;;;;1
BZK;Albron Nederland B.V.;;1;;;;;;1
BZK;Algemene Stichting Welzijn Appingedam;;;1;;;;;1
BZK;Alice Pley Search B.V.;;;2;;;;;2
BZK;alt8;;;1;;;;;1
BZK;Alt-Tab Bedrijfsondersteuning;;;1;;;;;1
BZK;Ambiënt Advies B.V.;;;1;;;;;1
BZK;Amsterdam School of Real Estate B.V.;;2;;;;;;2
BZK;Andersson Elffers Felix;;2;7;;;;;7
BZK;AnnA - Annebregje Snijders architects;;2;;;;;;2
BZK;Anna Vastgoed Beheer B.V.;;1;;;;;;1
BZK;ANNE Adviseurs voor Noord Oost Nederland;;;2;;;;;2
BZK;Anneline Van Der zon Work Environment Insights;;;1;;;;;1
BZK;Anoniem_BZK_108;;;;;1;;;1
BZK;Anoniem_BZK_111;;;;;1;;;1
BZK;Anoniem_BZK_136;;;2;;;;;2
BZK;Anoniem_BZK_138;;1;;;;;;1
BZK;Anoniem_BZK_142;;;1;;;;;1
BZK;Anoniem_BZK_146;;;3;;;;;3
BZK;Anoniem_BZK_220;;;2;;;;;2
BZK;Anoniem_BZK_224;;;1;;;;;1
BZK;Anoniem_BZK_229;;;1;;;;;1
BZK;Anoniem_BZK_231;;2;;;;;;2
BZK;Anoniem_BZK_232;;1;;;;;;1
BZK;Anoniem_BZK_239;;;1;;;;;1
BZK;Anoniem_BZK_24;;;;;2;;;2
BZK;Anoniem_BZK_261;;;2;;;;;2
BZK;Anoniem_BZK_29;;1;;;;;;1
BZK;Anoniem_BZK_299;;;2;;;;;2
BZK;Anoniem_BZK_332;;;1;;;;;1
BZK;Anoniem_BZK_335;;;;;1;;;1
BZK;Anoniem_BZK_345;;1;;;;;;1
BZK;Anoniem_BZK_346;;;6;;;;;6
BZK;Anoniem_BZK_385;;1;;;;;;1
BZK;Anoniem_BZK_409;;1;;;;;;1
BZK;Anoniem_BZK_414;;;3;;;;;3
BZK;Anoniem_BZK_43;;;2;;;;;2
BZK;Anoniem_BZK_430;;;2;;;;;2
BZK;Anoniem_BZK_441;;;2;;;;;2
BZK;Anoniem_BZK_442;;;2;;;;;2
BZK;Anoniem_BZK_445;;;2;;;;;2
BZK;Anoniem_BZK_449;;;1;;;;;1
BZK;Anoniem_BZK_48;;;3;;;;;3
BZK;Anoniem_BZK_49;;;2;;;;;2
BZK;Anoniem_BZK_53;;;2;;;;;2
BZK;Anoniem_BZK_79;;1;;;;;;1
BZK;Anoniem_BZK_8;;;2;;;;;2
BZK;Anoniem_BZK_93;;;;;1;;;1
BZK;Anoniem_BZK_95;;;;;1;;;1
BZK;Antea Nederland B.V.;;;5;;;;;5
BZK;AP+E;;1;;;;;;1
BZK;APG Service Partners B.V.;;4;1;;;;1;4
BZK;APPM Management Consultants B.V.;;;3;;;;;3
BZK;ARCADIS Nederland B.V.;;;5;;;;;5
BZK;Archipunt B.V.;;;2;;;;;2
BZK;Architectenbureau Veldhoen/Plugge;;;1;;;;;1
BZK;Argaleo B.V.;;;2;;;;;2
BZK;Asset Health Dynamics B.V.;;;1;;;;;1
BZK;Astrid van Assen;;1;;;;;;1
BZK;At Osborne B.V.;;2;3;;;;;4
BZK;Atelier Lennart van Dijk;;1;;;;;;1
BZK;Atlas voor Gemeenten B.V.;;;2;;;;;2
BZK;Atos Nederland B.V.;;;2;;;;;2
BZK;Auxilium B.V.;;3;;;;;;3
BZK;AVB Language Group B.V.;;1;;;;;;1
BZK;AWVN;;;1;;;;;1
BZK;Barzilay & Ferwerda;;1;;;;;;1
BZK;BBA Binnenmillieu B.V.;;;2;;;;;2
BZK;BedrijfsMotivaties B.V.;;1;;;;;;1
BZK;Benelux Bikes;;1;;;;;;1
BZK;Bento Presentaties;;2;;;;;;2
BZK;Berenschot B.V.;;;5;;;;;5
BZK;Berenschot Groep B.V.;;;5;;;;;5
BZK;berte daan landschap;;1;;;;;;1
BZK;Best Secretariaat;;;1;;;;;1
BZK;BICL (NL) B.V.;;;3;;;;;3
BZK;Bijker Advies;;;1;;;;;1
BZK;BKB;;3;;;;;;3
BZK;Blauw Research B.V.;;;2;;;;;2
BZK;Blueyard Coöperatief U.A.;;;2;;;;;2
BZK;BMC Advies B.V.;;2;2;;;;;2
BZK;BMC Implementatie B.V.;;;2;;;;;2
BZK;BNA AMSTERDAM;;;2;;;;;2
BZK;Bouw Beter;;;2;;;;;2
BZK;Bouwwise!;;2;;;;;;2
BZK;Bovengronds Landschapsarchitectuur;;;2;;;;;2
BZK;brainbay B.V.;;;2;;;;;2
BZK;Brandwacht Huren B.V.;;2;;;;;;2
BZK;BreakPoint Consulting;;2;;;;;;2
BZK;Bridgeman B.V.;;1;;;;;;1
BZK;Brink Management/Advies;;;5;;;;;5
BZK;Brummelkamp Onderzoek voor de Publieke Sector;;;2;;;;;2
BZK;BuildingLabel Projects B.V.;1;;;;;;;1
BZK;BURA urbanism B.V.;;1;;;;;;1
BZK;Bureau Dijk;;;1;;;;;1
BZK;Bureau Documentatie Bouwwezen B.V.;;1;;;;;;1
BZK;Bureau Maaiveld;;1;;;;;;1
BZK;Bureau Marinke van 't Hoff;;;2;;;;;2
BZK;Bureau Waardenburg B.V.;;;1;;;;;1
BZK;Buro Boudier;;;2;;;;;2
BZK;BUSBA;;;2;;;;;2
BZK;BVH Ruimte B.V.;;;3;;;;;3
BZK;BVR Adviseurs Sted. Ontwik. en Manag. B.V.;;;3;;;;;3
BZK;bygg architecture;;2;;;;;;2
BZK;BySpeech;;;2;;;;;2
BZK;Canast B.V.;;;2;;;;;2
BZK;CAOP;;2;1;;;;;2
BZK;Capgemini Nederland B.V.;;;1;;;6;;6
BZK;Cardan Technobility B.V.;;;1;;;;;1
BZK;Carthago ICT;;;;;;2;;2
BZK;Cebeon Centr. Beleidsadviserend Onderz. B.V.;;;7;;;;;7
BZK;Cees Advocaten N.V.;;;;;1;;;1
BZK;Cendris Customer Contact B.V.;;;5;;;;;5
BZK;Centralpoint Nijmegen B.V.;;;1;;;;;1
BZK;Centric;;;3;;;;;3
BZK;Centrum voor Civiliseren en Innoveren;;;2;;;;;2
BZK;CENTURIO B.V.;;2;;;;;;2
BZK;Chasse Executive Search B.V.;;;3;;;;;3
BZK;Clingendae Advocaten;;;1;;;;;1
BZK;CO-efficiënt;;;2;;;;;2
BZK;Cognizant Technology Solutions Benelux B.V.;;;1;;;;;1
BZK;Colibri Advies B.V.;;;1;;;;;1
BZK;commongrounds;;1;;;;;;1
BZK;COMPAREX Nederland B.V.;;;3;;;3;;4
BZK;Connected Worlds B.V.;;;2;;;;;2
BZK;Considerati B.V.;;;4;;1;;;4
BZK;Consonant Coaching & Training;;1;;;;;;1
BZK;Constructief Tegendenken - Strategisch Advies;;;1;;;;;1
BZK;Coöperatie Cirkelstad U.A.;;1;;;;;;1
BZK;Coprose;;;1;;;;;1
BZK;Cratos Risk B.V.;;2;2;;;;;2
BZK;Creapolis Media;;;1;;;;;1
BZK;Croon advocaten N.V.;;;1;;;;;1
BZK;Customeyes B.V.;;;2;;;;;2
BZK;De Architectenwerkgroep Tilburg (DAT);;;2;;;;;2
BZK;De Argumentenfabriek Groep B.V.;;;3;;;;;3
BZK;de Boer Ruimtelijk Advies;;;3;;;;;3
BZK;De Energiebespaarders B.V.;;;4;;;;;4
BZK;De Externe Voorzitter;;1;;;;;;1
BZK;De Galan Groep B.V.;;;2;;;;;2
BZK;de Haas advies duurzaam gebouwde omgeving;;;2;;;;;2
BZK;De Staffing Groep Nederland B.V.;;;2;;;;;2
BZK;De Tuinderij;;1;;;;;;1
BZK;De Voort Advocaten - Mediators;;;;;1;;;1
BZK;De Zwarte Hond Groningen B.V.;;;2;;;;;2
BZK;De Zwarte Hond Rotterdam B.V.;;;4;;;;;4
BZK;Decisio B.V.;;;2;;;;;2
BZK;DEFACTO Architectuur en Stedenbouw;;;2;;;;;2
BZK;delirious projects;;;2;;;;;2
BZK;Deloitte Consulting B.V.;;;4;;;;;4
BZK;Deloitte Group Support Center B.V.;;;3;;;;;3
BZK;DGMR Bouw B.V.;;2;4;;;;;4
BZK;DGMR Industrie Verkeer en Milieu B.V.;;;2;;;;;2
BZK;Doff Onderzoek, Onderwijs en Advies;;;2;;;;;2
BZK;Dr. Hilda Verwey-Jonker Instituut;;;4;;;;;4
BZK;Drip For Drip;;1;;;;;;1
BZK;DSP-Groep B.V.;;;3;;;;;3
BZK;DuneWorks B.V.;;;2;;;;;2
BZK;Dura Vermeer Divisie Infra B.V.;;1;;;;;;1
BZK;Dutch Consultancy Group B.V.;;;;;;3;;3
BZK;Duurzaam Gebouwd B.V.;;1;;;;;;1
BZK;Duwtje B.V.;;;2;;;;;2
BZK;DWA B.V.;;2;;;;;;2
BZK;E. van Baarle B.V.;;1;;;;;;1
BZK;Econed Veiligheid en Milieu;;;2;;;;;2
BZK;Economisch Bureau Amsterdam EBA;;;3;;;;;3
BZK;Ecorys B.V.;;;5;;;;;5
BZK;ECORYS Nederland B.V.;;;2;;;;;2
BZK;EDG Educatieve Distributie B.V.;;;4;;;;;4
BZK;Effectory Holding B.V.;;;2;;;;;2
BZK;Elycio Vertalers;;1;;;;;;1
BZK;EMMA Communicatie B.V.;;;2;;;;;2
BZK;Enneüs;;;2;;;;;2
BZK;Entopic B.V.;;;1;;;;;1
BZK;ENVIR Advocaten B.V.;;1;;;;;;1
BZK;EPAM Consulting;;;;;;5;;5
BZK;Erasmus Centre for Urban;;;2;;;;;2
BZK;Ergatis B.V.;;1;;;;;;1
BZK;Ergo B.V.;;;1;;;;;1
BZK;Esri Nederland;;2;3;;;;;3
BZK;Estheticon;;;1;;;;;1
BZK;Ethics & Compliance Man. & Cons. (ECMC);;;1;;;;;1
BZK;European Dynamics S.A.;;;1;;;;;1
BZK;EVV Projecten B.V.;;;2;;;;;2
BZK;Exellior B.V.;;;1;;;;;1
BZK;F I N K;;2;;;;;;2
BZK;F. Milikowski;;;1;;;;;1
BZK;Fakton B.V.;;;4;;;;;4
BZK;Fakton Consultancy B.V.;;;2;;;;;2
BZK;Feddes/Olthof Landschapsarchitecten B.V.;;;2;;;;;2
BZK;Federatie Ruimtelijke Kwaliteit;;;2;;;;;2
BZK;Fikr Consultancy;;;2;;;;;2
BZK;Finance Ideas B.V.;;;3;;;;;3
BZK;First Consulting B.V.;;8;;;;;;8
BZK;Flanderijn B.V.;;;;;1;;;1
BZK;Flux Landscape Architecture B.V.;;1;;;;;;1
BZK;Formatique;;2;;;;;;2
BZK;Fortune Factory B.V.;;1;;;;;;1
BZK;Francisca Rosner, Art and the City;;1;;;;;;1
BZK;Frozen Rockets B.V.;;;2;;;;;2
BZK;Fugro NL Land B.V.;;;2;;;;;2
BZK;Future Communication Consultants B.V.;;;2;;;;;2
BZK;Future Insight Group B.V.;;;2;;;;;2
BZK;Futures in flux;;;1;;;;;1
BZK;Gartner Nederland B.V.;;4;5;;;;;6
BZK;Gbned;;;2;;;;;2
BZK;gBOU B.V.;;;2;;;;;2
BZK;Generation Energy B.V.;;;4;;;;;4
BZK;Genootschap Onze Taal;;;;1;;;;1
BZK;Geodan B.V.;;;2;;;;;2
BZK;Geregeld;;;;;2;;;2
BZK;get the laugh flow;;1;;;;;;1
BZK;Glacier Sustainability Advice;;2;3;;;;;3
BZK;Global Project Performance;;1;1;;;;;1
BZK;Goed Gebouw;;;3;;;;;3
BZK;Good Work Company B.V.;;;1;;;;;1
BZK;Goudappel Coffeng B.V.;;;2;;;;;2
BZK;Green Rock Consulting B.V.;;;2;;;;;2
BZK;Groeimanagers B.V.;;2;;;;;;2
BZK;Groene Bij;;;1;;;;;1
BZK;Groninger Bodem Beweging;;;;;1;;;1
BZK;Gubernum;;;2;;;;;2
BZK;GW Cross Media B.V.;;;;1;;;;1
BZK;H.K. Business & Advisory Services B.V.;;;4;;;;;4
BZK;H+N+S B.V.;;;2;;;;;2
