FID,datummutatie,naammuteerder,bron,status,genormeerd,type,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,objectcode,kerendehoogte,capaciteit,profielurl,opmerkingen,gdb_geomattr_data,shape
gemaal_legger.11,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Onbekend,Gemaal Kreekrak,ZD,Schelde-Rijn verbinding,49D-400-01,,-97,42.5,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/49D-400-01.html,,,"MULTIPOLYGON (((75029.23000000045 383529.62099999934, 75030.59299999848 383529.0179999992, 75030.89499999955 383529.7039999999, 75031.27100000158 383529.5379999988, 75032.22199999914 383532.6620000005, 75065.91000000015 383517.8139999993, 75064.59800000116 383514.2710000016, 75065.91200000048 383513.69000000134, 75078.375 383508.1779999994, 75086.69399999827 383504.4990000017, 75086.44799999893 383503.80700000003, 75068.63399999961 383511.73800000176, 75064.89699999988 383513.3929999992, 75064.36100000143 383513.62999999896, 75056.83399999887 383493.2899999991, 75056.03200000152 383493.61400000006, 75056.35700000077 383494.45600000024, 75051.4840000011 383496.59099999815, 75051.13699999824 383495.7809999995, 75049.41800000146 383496.48600000143, 75049.75200000033 383497.28400000185, 75045.02499999851 383499.3770000003, 75044.70800000057 383498.62000000104, 75043.01099999994 383499.29100000113, 75043.36699999869 383500.19099999964, 75038.67100000009 383502.2410000004, 75038.30099999905 383501.41099999845, 75036.62099999934 383502.0560000017, 75036.97599999979 383502.9679999985, 75032.21200000122 383505.0859999992, 75031.87099999934 383504.22300000116, 75030.23000000045 383504.8990000002, 75030.54199999943 383505.7490000017, 75025.64799999818 383507.88500000164, 75025.28400000185 383507.05700000003, 75024.52299999818 383507.3779999986, 75027.48200000077 383517.09600000083, 75025.56599999964 383517.9239999987, 75025.8740000017 383518.62000000104, 75017.50200000033 383522.3200000003, 75019.49300000072 383526.8260000013, 75020.46200000122 383529.0170000009, 75019.46799999848 383529.38800000027, 75018.47899999842 383527.1810000017, 75018.33100000024 383527.23099999875, 75019.29199999943 383529.4140000008, 75020.72199999914 383532.6629999988, 75019.11600000039 383533.3440000005, 75007.88800000027 383538.21400000155, 74998.74399999902 383542.1790000014, 74986.11199999973 383547.743999999, 74986.44000000134 383548.3830000013, 74996.13699999824 383544.1400000006, 75008.16800000146 383538.8720000014, 75016.62000000104 383535.1710000001, 75022.11800000072 383532.76399999857, 75029.23000000045 383529.62099999934)), ((75034.07600000128 383534.3660000004, 75065.96299999952 383520.29100000113, 75067.17100000009 383522.936999999, 75068.05900000036 383522.4820000008, 75094.0309999995 383521.69299999997, 75102.72100000083 383521.50400000066, 75106.66899999976 383521.45899999887, 75107.17000000179 383521.4530000016, 75107.14900000021 383520.84800000116, 75093.82800000161 383521.1259999983, 75087.88599999994 383521.2490000017, 75067.6409999989 383521.79199999943, 75067.61699999869 383521.73699999973, 75065.9290000014 383517.8599999994, 75032.25400000066 383532.7019999996, 75033.88899999857 383536.5610000007, 75033.33799999952 383537.1420000009, 75025.89900000021 383544.9970000014, 75015.36800000072 383555.76000000164, 75006.57899999991 383564.743999999, 75006.90100000054 383565.05099999905, 75011.15700000152 383560.90399999917, 75015.60300000012 383556.307599999, 75034.37240000069 383537.2170000002, 75035.05299999937 383536.90199999884, 75034.07600000128 383534.3660000004)), ((75022.83199999854 383505.96400000155, 75023.82400000095 383505.8729999997, 75024.49199999869 383507.3370000012, 75025.30900000036 383506.9910000004, 75025.67500000075 383507.8189999983, 75030.47899999842 383505.72199999914, 75030.16600000113 383504.87099999934, 75031.89900000021 383504.1570000015, 75032.23999999836 383505.01999999955, 75036.91200000048 383502.94200000167, 75036.55600000173 383502.02699999884, 75038.32699999958 383501.34699999914, 75038.69700000063 383502.17599999905, 75043.30299999937 383500.1649999991, 75042.9459999986 383499.26399999857, 75044.73600000143 383498.5549999997, 75045.05099999905 383499.30999999866, 75049.68699999899 383497.2580000013, 75049.35200000182 383496.45899999887, 75051.1640000008 383495.71599999815, 75051.51000000164 383496.5249999985, 75056.29300000146 383494.4279999994, 75055.96700000018 383493.5850000009, 75056.81700000167 383493.2430000007, 75056.16200000048 383491.6220000014, 75056.79500000179 383491.05000000075, 75074.80200000107 383474.77800000086, 75076.61499999836 383473.0929999985, 75083.41899999976 383466.7679999992, 75083.04500000179 383466.32499999925, 75080.88899999857 383468.1479999982, 75078.98900000006 383469.99500000104, 75076.33300000057 383472.30799999833, 75055.91200000048 383490.8814000003, 75054.5175999999 383491.4200000018, 75055.39299999923 383493.3493999988, 75051.24560000002 383495.192400001, 75050.34699999914 383493.34800000116, 75048.15100000054 383494.27800000086, 75048.95540000126 383496.1713999994, 75044.78040000051 383497.98160000145, 75043.94299999997 383496.131000001, 75041.77360000089 383497.0480000004, 75042.50400000066 383498.92500000075, 75038.35099999979 383500.8220000006, 75037.56300000101 383498.99760000035, 75035.37099999934 383499.88599999994, 75036.11699999869 383501.6730000004, 75032.02059999853 383503.5870000012, 75031.10500000045 383501.69900000095, 75028.93100000173 383502.6579999998, 75029.74599999934 383504.5689999983, 75025.52499999851 383506.3944000006, 75024.7126000002 383504.5379999988, 75023.52899999917 383505.0443999991, 74994.8900000006 383507.7259999998, 74991.7340000011 383508.0610000007, 74986.8909999989 383508.41600000113, 74986.94099999964 383509.2170000002, 74995.04100000113 383508.6090000011, 74995.25699999928 383508.5879999995, 75012.28400000185 383506.9270000011, 75022.83199999854 383505.96400000155)))"
gemaal_legger.12,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Onbekend,Krammer gemaal laag bekken,ZD,Oosterschelde,43C-002-06,,-99,34.5,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/43C-002-06.html,,,"POLYGON ((70082.07299999893 408495.5949999988, 70073.43200000003 408492.9050000012, 70039.03599999845 408482.1950000003, 70038.06399999931 408481.8920000009, 70034.61899999902 408492.95699999854, 70043.75699999928 408495.8040000014, 70078.625 408506.66000000015, 70079.28500000015 408506.86499999836, 70082.73000000045 408495.7989999987, 70082.07299999893 408495.5949999988))"
gemaal_legger.13,2014-10-13T00:00:00,Fugro,Regionaal: ZD,Vastgesteld,1,Nog in te winnen,Gemaal Krammer Jachtensluizen,ZD,Oosterschelde,43C-002,,-99,8.4,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/43C-002_1.html,"2 x een horizontale onderwaterpomp. Type OPH140. Capaciteit: 2 x 4,2 m3/sec.  Info uit Ontwerpnota Krammersluizen.",,"POLYGON ((70085.02699999884 409217.51199999824, 70085.6099999994 409199.98600000143, 70087.43299999833 409200.02699999884, 70087.44299999997 409199.56799999997, 70085.69099999964 409199.51000000164, 70085.62299999967 409199.5080000013, 70085.2509999983 409199.49599999934, 70062.56100000069 409198.7470000014, 70059.89499999955 409198.65900000185, 70057.18299999833 409198.5700000003, 70048.0940000005 409198.368999999, 70048.04399999976 409199.6889999993, 70048.12000000104 409199.9290000014, 70048.23800000176 409200.11499999836, 70048.48299999908 409200.15100000054, 70049.06300000101 409200.1730000004, 70050.68600000069 409200.2259999998, 70050.44399999827 409208.1939999983, 70048.22100000083 409208.15100000054, 70047.97300000116 409208.1790000014, 70047.77199999988 409208.3839999996, 70047.64900000021 409208.6400000006, 70047.59800000116 409208.90399999917, 70047.24700000137 409209.08999999985, 70047.5859999992 409209.94900000095, 70058.11199999973 409210.2270000018, 70057.89900000021 409216.6099999994, 70063.08399999887 409216.7820000015, 70085.02699999884 409217.51199999824))"
gemaal_legger.14,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Gemaal Reijdtsgraaf,ZN,Maas,60A-320-01,0F97E4E3-1CF6-46D3-9407-D930152B7931,-99,0.2,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/60A-320-01.html,,,"POLYGON ((183612.3590000011 339306.01199999824, 183607.5080000013 339305.4299999997, 183607.28299999982 339305.40300000086, 183606.82499999925 339309.22199999914, 183612.16800000146 339309.87900000066, 183612.61400000006 339306.04199999943, 183612.3590000011 339306.01199999824))"
gemaal_legger.15,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Gemaal Born,ZN,Julianakanaal,60A-001-05,,-99,12,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/60A-001-05.html,,,"POLYGON ((183690.30700000003 338582.9230000004, 183687.22800000012 338558.48900000006, 183679.19299999997 338559.4759999998, 183675.5159999989 338559.9270000011, 183675.6009999998 338560.5929999985, 183675.6499999985 338560.9530000016, 183675.90100000054 338562.9140000008, 183673.9210000001 338563.2749999985, 183674.90399999917 338570.69099999964, 183675.96799999848 338578.72199999914, 183677.88800000027 338578.4629999995, 183678.87099999934 338586.15199999884, 183678.92300000042 338586.55799999833, 183690.6099999994 338585.1169999987, 183690.30700000003 338582.9230000004))"
gemaal_legger.16,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Gemaal Maasbracht,ZN,Julianakanaal,58C-002-05,,-99,9,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/58C-002-05.html,,,"POLYGON ((189525.87099999934 350403.4479999989, 189526.03299999982 350403.006000001, 189527.4609999992 350399.11300000176, 189527.61100000143 350399.16800000146, 189529.86499999836 350400.0009999983, 189531.06899999827 350396.75, 189528.78400000185 350395.90900000185, 189528.6160000004 350395.84800000116, 189511.74700000137 350389.64499999955, 189498.59099999815 350384.80700000003, 189495.96499999985 350391.9510000013, 189495.66200000048 350392.7740000002, 189497.5249999985 350393.45899999887, 189501.51999999955 350394.9279999994, 189525.73200000077 350403.8280000016, 189525.87099999934 350403.4479999989))"
gemaal_legger.17,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Gemaal Sluis IV,ZN,Wilhelminakanaal - Amertak,51A-002-01,,-99,-99,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/51A-002-01_1.html,Buiten gebruik,,"POLYGON ((142441.72800000012 389900.9820000008, 142433.35700000077 389900.8839999996, 142433.26199999824 389909.0240000002, 142441.6330000013 389909.1220000014, 142441.72800000012 389900.9820000008))"
gemaal_legger.18,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Gemaal Sluis II,ZN,Wilhelminakanaal - Amertak,44G-350-01,,-99,-99,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/44G-350-01_1.html,Buiten gebruik,,"POLYGON ((127570.82800000161 401022.28400000185, 127568.20499999821 401023.9210000001, 127566.13699999824 401025.2019999996, 127570.28799999878 401031.8999999985, 127572.31899999827 401030.6409999989, 127575.16099999845 401028.86199999973, 127577.52400000021 401027.375, 127573.37299999967 401020.6860000007, 127570.82800000161 401022.28400000185))"
gemaal_legger.19,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Centrifugaal,Gemaal Heumen,ZN,Maas-Waalkanaal,"NM4.EG.L.1,6.ov",,-97,6,"https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/NM4.EG.L.1,6.ov.html",,,"POLYGON ((187025.64299999923 420031.6090000011, 187022.66699999943 420030.37099999934, 187022.40799999982 420030.25499999896, 187021.75299999863 420029.9609999992, 187022.8740000017 420027.4670000002, 187024.61899999902 420023.5879999995, 187021.69200000167 420022.2749999985, 187011.6160000004 420017.7479999997, 187004.8759999983 420014.7199999988, 187003.2100000009 420013.97100000083, 187002.78299999982 420014.9230000004, 187001.19299999997 420018.4620000012, 186999.3359999992 420017.6469999999, 186997.6799999997 420021.1099999994, 186997.43400000036 420021.6229999997, 186997.12099999934 420022.27899999917, 186996.8449999988 420022.8579999991, 186998.22800000012 420023.4849999994, 187000.6710000001 420024.5940000005, 187001.01000000164 420023.83900000155, 187003.9530000016 420025.16800000146, 187003.6169999987 420025.91600000113, 187004.52199999988 420026.3220000006, 187004.8599999994 420025.56799999997, 187007.55200000107 420026.77699999884, 187006.89600000158 420028.08300000057, 187007.38899999857 420028.3049999997, 187020.2490000017 420034.08900000155, 187020.43100000173 420033.631000001, 187020.80999999866 420032.8680000007, 187021.15100000054 420033.0229999982, 187021.5460000001 420033.2030000016, 187021.76000000164 420033.30099999905, 187022.90799999982 420030.8299999982, 187025.19099999964 420031.7729999982, 187024.62799999863 420033.0089999996, 187027.99700000137 420034.54300000146, 187027.34099999815 420035.9510000013, 187027.65799999982 420036.09899999946, 187028.46299999952 420034.37099999934, 187025.08999999985 420032.8350000009, 187025.64299999923 420031.6090000011))"
gemaal_legger.20,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Gemaal Panheel,ZN,Kanaal Wessem-Nederweert,58C-001-06,41327364-0E8E-45C9-BACE-6435C4E0B283,24.5,6,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/58C-001-06.html,,,"POLYGON ((188122.98200000077 354085.4679999985, 188120.2199999988 354079.76399999857, 188120.93100000173 354079.1570000015, 188121.27600000054 354077.6579999998, 188121.09800000116 354075.79300000146, 188120.2340000011 354073.4470000006, 188118.64200000092 354071.4479999989, 188116.8669999987 354069.9979999997, 188115.63699999824 354069.47399999946, 188114.41099999845 354069.55000000075, 188113.63899999857 354069.80700000003, 188110.24500000104 354062.8509999998, 188109.1719999984 354063.9930000007, 188111.1330000013 354068.02699999884, 188105.18499999866 354070.91800000146, 188104.83799999952 354070.22199999914, 188104.75600000098 354070.0549999997, 188101.08900000155 354071.9059999995, 188098.96799999848 354067.6460000016, 188089.38500000164 354073.63699999824, 188090.6339999996 354076.35599999875, 188093.1950000003 354075.30900000036, 188093.4530000016 354075.9129999988, 188093.5 354076.0219999999, 188092.37799999863 354076.5399999991, 188093.32200000063 354078.6959999986, 188093.99500000104 354081.20899999887, 188091.25200000033 354081.47100000083, 188087.47700000182 354082.2270000018, 188083.07299999893 354083.3299999982, 188079.43499999866 354084.55000000075, 188076.65900000185 354085.7729999982, 188074.6790000014 354086.6779999994, 188074.95199999958 354087.2879999988, 188076.94200000167 354086.4129999988, 188079.688000001 354085.2030000016, 188083.26999999955 354084.0009999983, 188087.62999999896 354082.91000000015, 188091.35399999842 354082.1649999991, 188094.061999999 354081.9059999995, 188095.42399999872 354081.83900000155, 188099.50600000098 354081.6469999999, 188102.12200000137 354081.69000000134, 188104.8830000013 354087.3359999992, 188104.51700000092 354087.51300000027, 188104.86899999902 354088.2960000001, 188104.5249999985 354088.46400000155, 188107.5700000003 354094.7100000009, 188095.39299999923 354100.5859999992, 188085.1710000001 354105.5789999999, 188085.19200000167 354105.625, 188085.21200000122 354105.6700000018, 188085.17599999905 354105.875, 188085.09200000018 354106.3680000007, 188085.0460000001 354106.63699999824, 188084.65799999982 354108.8999999985, 188085.74799999967 354108.4389999993, 188089.63800000027 354106.6020000018, 188115.6009999998 354093.97399999946, 188119.4840000011 354092.15199999884, 188118.8449999988 354091.0480000004, 188125.89499999955 354087.4629999995, 188127.17799999937 354086.8590000011, 188122.98200000077 354085.4679999985))"
gemaal_legger.21,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Gemaal het Rietje,ZN,Kanaal Wessem-Nederweert,"WR10.KG.-.3,8.vh",DA478C75-C10F-4BAE-AFB4-8763FF2BAEB4,-99,-99,"https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/WR10.KG.-.3,8.vh.html",,,"POLYGON ((187280.87909999862 354553.6110999994, 187279.08210000023 354552.81109999865, 187278.23409999907 354554.67909999937, 187280.02109999955 354555.4470999986, 187280.87909999862 354553.6110999994))"
gemaal_legger.22,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Niet van toepassing,Gemaal Hagesteinsche uiterwaard,ON,Pannerdensch Kanaal - Nederrijn - Lek,Niet van toepassing,3F18C2FC-B77F-4EC9-A8A5-013022C3492C,-99,-99,,,,"POLYGON ((135131.6090000011 445736.0170999989, 135129.7740000002 445735.4360000007, 135129.19509999827 445737.3211000003, 135131.0562000014 445737.8601000011, 135131.6090000011 445736.0170999989))"
gemaal_legger.23,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N20a,WNZ,Noordwaard,44B-138-01,60561CB2-62C2-44E6-BEC3-CBB33DFFAF83,-99,-99,,,,"POLYGON ((117572.87970000133 421916.6678000018, 117572.38599999994 421916.47459999844, 117571.43079999834 421916.1009000018, 117571.09279999882 421917.0306000002, 117570.63379999995 421918.29300000146, 117572.03799999878 421918.82019999996, 117572.12350000069 421918.0764000006, 117572.33940000087 421917.34980000183, 117572.60489999875 421917.0146000013, 117572.87970000133 421916.6678000018))"
gemaal_legger.24,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N20a,WNZ,Noordwaard,44B-138-01,F13586E4-8682-4C09-8AD7-B46DDDF3094A,-99,-99,,,,"POLYGON ((115173.13960000128 419623.76900000125, 115171.70930000022 419618.18569999933, 115170.31740000099 419618.5423000008, 115168.44669999927 419619.02160000056, 115166.48420000076 419619.52430000156, 115166.21790000051 419619.59259999916, 115167.64820000157 419625.1757999994, 115169.70910000056 419624.6477999985, 115170.00389999896 419624.57229999825, 115171.48790000007 419624.19209999964, 115171.62090000138 419624.1581000015, 115173.13960000128 419623.76900000125))"
gemaal_legger.25,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N18b,WNZ,Noordwaard,44B-134-01,849584FE-211A-4030-AA36-0044B62CF463,-99,-99,,,,"POLYGON ((117611.0214000009 421845.1708999984, 117611.52829999849 421843.56819999963, 117609.96669999883 421843.1079999991, 117609.98739999905 421843.9483000003, 117609.80629999936 421844.67770000175, 117609.71110000089 421844.7901000008, 117609.31969999894 421845.2520000003, 117609.97940000147 421845.47520000115, 117610.83370000124 421845.76419999823, 117611.0214000009 421845.1708999984))"
gemaal_legger.26,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N20a,WNZ,Noordwaard,44B-138-01,3A32382D-9F7E-4A18-A80C-8D9EE5620E94,-99,-99,,,,"POLYGON ((117578.52320000157 421918.85649999976, 117577.77710000053 421918.5592, 117577.13129999861 421918.3018999994, 117576.90060000122 421918.89930000156, 117576.29050000012 421920.47890000045, 117577.76260000095 421921.0086000003, 117577.8161999993 421920.22260000184, 117577.90439999849 421919.96599999815, 117578.04289999977 421919.5628999993, 117578.52320000157 421918.85649999976))"
gemaal_legger.27,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Trafogemaal TG21,WNZ,Noordwaard,44B-122-01,82AEC8D7-59CF-4A2F-B4CB-B8F1A9279DD5,-99,-99,,,,"POLYGON ((113893.57669999823 420000.58309999853, 113892.35810000077 419999.4375, 113890.93120000139 420000.94209999964, 113892.14990000054 420002.08769999817, 113893.57669999823 420000.58309999853))"
