WKT,id,buurtcode,straatnaam,type,soort,e_type,aantal
"POLYGON ((119904.54 490046.09,119906.3 490040.85,119903.89 490040.03,119902.13 490045.27,119904.54 490046.09))","119904490043",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119906.3 490040.85,119908.07 490035.6,119905.66 490034.79,119903.89 490040.03,119906.3 490040.85))","119906490038",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119905.45 490356.74,119903.84 490361.49,119906.38 490362.33,119907.98 490357.6,119905.45 490356.74))","119906490360",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119907.04 490352.0,119905.45 490356.74,119907.98 490357.6,119909.58 490352.86,119907.04 490352.0))","119908490355",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119908.64 490347.27,119907.04 490352.0,119909.58 490352.86,119911.18 490348.13,119908.64 490347.27))","119909490350",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119910.24 490342.53,119908.64 490347.27,119911.18 490348.13,119912.79 490343.4,119910.24 490342.53))","119911490345",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119911.84 490337.8,119910.24 490342.53,119912.79 490343.4,119914.39 490338.66,119911.84 490337.8))","119912490341",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119914.39 490338.66,119915.99 490333.93,119913.44 490333.05,119911.84 490337.8,119914.39 490338.66))","119914490336",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119921.15 490310.4,119919.23 490316.09,119921.73 490316.91,119921.94 490316.29,119923.64 490311.25,119921.15 490310.4))","119921490314",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119923.06 490304.73,119921.15 490310.4,119923.64 490311.25,119925.56 490305.58,119923.06 490304.73))","119923490308",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119925.56 490305.58,119927.48 490299.91,119924.98 490299.03,119924.25 490301.2,119923.06 490304.73,119925.56 490305.58))","119925490302",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119934.21 490271.74,119932.64 490276.33,119935.17 490277.19,119936.72 490272.59,119934.21 490271.74))","119935490274",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119935.78 490267.15,119934.21 490271.74,119936.72 490272.59,119938.27 490267.99,119935.78 490267.15))","119936490270",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119938.32 489880.36,119938.09 489877.44,119935.56 489877.68,119935.79 489880.56,119938.32 489880.36))","119937489879",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119935.79 489880.56,119936.27 489886.62,119938.8 489886.42,119938.32 489880.36,119935.79 489880.56))","119937489883",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119936.27 489886.62,119936.35 489887.68,119936.74 489892.57,119939.27 489892.37,119938.8 489886.42,119936.27 489886.62))","119938489889",B10a,Archangelkade,Langs,FISCAAL,,1
