Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Carthago ICT;;;;;;2;;2
CGI Nederland B.V.;;;;;;4;;4
Cinnamon Interactive B.V.;;;;;;1;;1
Cloud Seven B.V.;;;2;;;;;2
COMPAREX Nederland B.V.;3;;2;;;6;;6
Con-c B.V.;;;5;;;;;5
Congruence B.V.;;;1;;;;;1
ControlSolutions International B.V.;;;;;;2;;2
Coöperatie Exploitatie Bouwcampus UA;3;;;;;;;3
Croon advocaten N.V.;2;;;;;;;2
Customeyes B.V.;;;1;;;;;1
CvdB-advies;;;1;;;;;1
DeGraaf ICT;;1;;;;;;1
DEKRA Certification B.V.;;;;;;;1;1
Deloitte Consulting B.V.;;;4;;;;;4
Dignitas Mediation & Conflict Management;;;1;;;;;1
Direct Students B.V.;;;1;;;;;1
Doorsprong;;;1;;;;;1
Dotweb Systems B.V.;;;;;;3;;3
DPI Animation House B.V.;;;;1;;;;1
DynaVision B.V.;;;2;;;;;2
Ebbinge & Company International Holding B.V.;;;1;;;;;1
Ecogroen B.V.;;;2;;;;;2
Ecorys B.V.;;1;;;;;;1
Eindhoven Airport N.V.;;;1;;;;;1
ER&ES Consult;;;1;;;;;1
Ernst & Young Belastingadviseurs LLP;3;;;;;;;3
Esri Nederland;;;1;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;1;;;;;;;1
ezCompany B.V.;;;1;;;;;1
F. Haverkamp Holding B.V.;;2;;;;;;2
Fakton B.V.;;;3;;;;;3
FC Coaching;;;1;;;;;1
Fokker Aircraft Services B.V.;;;1;;;;;1
Franke Interim Management B.V.;;;2;;;;;2
Frehe Dolce Far Niente Holding B.V.;1;;;;;;;1
Frisse Blikken ondernemen met talent B.V.;;;;2;;;;2
Geofox-Lexmond B.V.;;;2;;;;;2
Geurts Civiele Techniek;;;4;;;;;4
Ghijsens Advies B.V.;;;1;;;;;1
GITP Training & Opleiding B.V.;;;2;;;;;2
Gloudemans;;;2;;;;;2
Granny's Corner;1;;;;;;;1
Hampshire Hotel Management B.V.;1;;;;;;;1
Harry van Zon B.V.;;1;;;;;;1
HaskoningDHV Nederland B.V.;;;3;;;;;3
Heijmans Nederland B.V.;2;;;;;;;2
Holding Beheermaatschappij Ropeni B.V.;1;;;;;;;1
HSK Interventie B.V.;;1;;;;;;1
ICOP B.V.;2;;;;;;;2
ICP Nederland B.V.;;;2;;;;;2
Ingenieursbureau 'Oranjewoud' III B.V.;;;2;;;;;2
InnoValor B.V.;;;2;;;;;2
Innovatieman;;;;;;;1;1
Innovention Change Management B.V.;;3;;;;;;3
Intelligence Group B.V.;;;1;1;;;;1
Interpulse Automatisering B.V.;;;;;;1;;1
Intexso Adviesbureau B.V.;;;1;;;;;1
J.L.A. van den Boogaard;;;1;;;;;1
J.P. van der Leeden;;;1;;;;;1
Jaarbeurs B.V.;1;;;;;;;1
Jan Montijn Beheer B.V.;;;2;;;;;2
Janoq B.V.;1;;;;;;;1
JAVO Consultancy;;1;;;;;;1
JonkersenKo;;1;;;;;;1
Keper Infra Advies B.V.;;;1;;;;;1
Kessels & Smit Something B.V.;;;1;;;;;1
Knippenberg Coachend Interim Management;;2;;;;;;2
KPMG Advisory N.V.;;;2;;;;;2
Kragten B.V.;;;4;;;;;4
Lagerweij & Partner Consultants B.V.;;;1;;;;;1
Leadingwise;1;;;;;;;1
Leeuwendaal Advies B.V.;;;1;;;;;1
Lengersdorf;;;1;;;;;1
Lineair Bouwmanagement;;;2;;;;;2
Lloyd's Register Nederland B.V.;2;;;;;;;2
Maarten Hillenaar B.V.;;1;;;;;;1
Management Centrum Partners B.V.;;;1;;;;;1
Mare Holland B.V.;;;2;;;;;2
Marketresponse Nederland B.V.;;;2;;;;;2
Marosel B.V.;;;;;;4;;4
Maximum Alliances B.V.;;;;2;;;;2
Médoc Management Consulting;;;1;;;;;1
Mercuri Urval B.V.;;;1;;;;;1
Metri B.V.;;4;;;;;;4
Meyburg;;;3;;;;;3
Michiel G.J. Smit Redactie en journalistiek;1;;;;;;;1
Millers;1;;;;;;;1
M-Makelaars Noord B.V.;;;2;;;;;2
M-Makelaars Zuid B.V.;;;1;;;;;1
Motus B.V.;2;;;;;;;2
Mts van Summeren en van Aaken;;;1;;;;;1
MW & V;;;1;;;;;1
My Cubes B.V.;;;1;;;;;1
NDC mediagroep B.V.;;;1;;;;;1
Nederlands Debat Instituut Holding B.V.;;;1;;;;;1
Nederlandse Vereniging;1;;;;;;;1
Netcreators B.V.;2;;1;;;;;2
Netprofiler B.V.;;;1;;;;;1
Neuf & Associates B.V.;1;;;;;;;1
Obex B.V.;;;1;;;;;1
OmnicomMediaGroup Nederland B.V.;;;;3;;;;3
Ordina N.V.;;;2;;;;;2
Ordina Technologie & Competenties B.V.;;;;;;2;;2
P.C. van der Heijde Management B.V.;1;;;;;;;1
PALMBOUT Urban Landscapes B.V.;;;2;;;;;2
Partner in Leiderschap;;;1;;;;;1
PBLQ B.V.;;;1;;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;3;;2;;5;;;5
Perfectview;;;;;;1;;1
Peutz B.V.;;;1;;;;;1
Phoenix Opleidingen;;;1;;;;;1
Phyleon B.V.;;;1;;;;;1
Pieters Bouwtechniek Utrecht B.V.;;;1;;;;;1
Pink Elephant Business Intelligence B.V.;;;;;;2;;2
Planon Building Management B.V.;;;1;;;;;1
Plein 9 A B.V.;1;;;;;;;1
Point 42 B.V.;;;2;;;;;2
POSG Professionals B.V.;;;4;;;;;4
PQR B.V.;;;;;;3;;3
Pricewaterhousecoopers Advisory N.V.;2;;;;;;;2
Protinus IT B.V.;;;;;;3;;3
Provada B.V.;2;;;;;;;2
Public Partners B.V.;;1;;;;;;1
R. van Marrewijk;;;1;;;;;1
RAI Amsterdam B.V.;1;;;;;;;1
Rambo Invest B.V.;;;1;;;;;1
Regas IP B.V.;;;;;;1;;1
Rodenburg Makelaars;;;1;;;;;1
RONT Management Consultants B.V.;;;1;;;;;1
Root B.V.;2;;;;;;;2
RPS advies- en ingenieursbureau;;;1;;;;;1
RPS Analyse B.V.;;;1;;;;;1
Russell en Bakker B.V.;;;1;;;;;1
's Gravenhof Zutphen B.V.;1;;;;;;;1
S.O.S. Freelance;;2;;;;;;2
Sabel Communicatie B.V.;;;2;4;;;;4
Scholten Awater B.V.;;;;;;3;;3
Significant B.V.;;;;;;;1;1
Sogeti Nederland B.V.;;;;;;7;;7
Solid Sense B.V.;;;1;;;;;1
Sprengers Advocaten;1;;;;;;;1
St.stg. Ver. v. Zoogdierk. en Zoogdierbesch.;;;1;;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;2;;1;;;;;2
Stg. Kenniscentrum Center People & Buildings;;;2;;;;;2
Stg. Standaardbestek Burg.- en Utiliteitsbouw;2;;;;;;;2
Stichting Accessibility;;;1;;;;;1
Stichting Administratiekantoor LTP;;;1;;;;;1
Stichting Amsterdam School of Real Estate;2;;;;;;;2
Stichting Beheer Synagoge;1;;;;;;;1
Stichting Brabantse Milieufederatie;;;1;;;;;1
Stichting Bureau Documentatie Bouwwezen;1;;;;;;;1
Stichting Buurtschap Heimolen;;;1;;;;;1
Stichting De Bouwcampus;5;;;;;;;5
Stichting Holland Property Plaza;2;;;;;;;2
Stichting Instituut voor Bouwrecht;2;;;;;;;2
Stichting ISSO;;;1;;;;;1
Stichting Milieuplatform Leeuwarden;;;1;;;;;1
Stichting SBRCURnet;3;;1;;;;;3
Stichting VUmc;;;;;2;;;2
SVC SchoolvoorCoaching B.V.;;;1;;;;;1
Svenon;;1;;;;;;1
Sweegers en de Bruijn B.V.;;;4;;;;;4
Tecis;;2;;;;;;2
The Resources Factory B.V.;;;3;;;;;3
TNO B.V.;;;4;;;;;4
Total Identity;1;;;;;;;1
TRConsult B.V.;;;1;;;;;1
Troostwijk Real Estate B.V.;1;;;;;;;1
Turner;2;;;;;;;2
Uneto-VNI;;1;;;;;;1
United People B.V.;;;2;;;;;2
Unzip Holding B.V.;;2;;;;;;2
UvA Cafe de Krater;2;;;;;;;2
v. Rossum Raadgev. Ingenieurs Amsterdam B.V.;;1;;;;;;1
Valsplat B.V.;;;;2;;;;2
Van den Bijtel Ecologisch Onderzoek;;;2;;;;;2
Van der Linden-van Giersbergen B.V.;;;3;;;;;3
Van Lanschot Nannenga Naus Rentmeesters;;;1;;;;;1
Van Ledden Infra B.V.;;;1;;;;;1
Van Nistelrode Holding B.V.;;;1;;;;;1
Ventoux Advocaten B.V.;;;;;1;;;1
Verdonck, Klooster & Associates B.V.;;;3;;;;;3
Vereniging Gelderse Natuur en Milieufederatie;;;1;;;;;1
Verhoeven en Leenders Beheer B.V.;;;3;;;;;3
Vhiva B.V.;1;;;;;;;1
Vigier Infra Projecten B.V.;;;3;;;;;3
Vitruvius Consultancy B.V.;;;2;;;;;2
W. Koster;;;1;;;;;1
Webhelp Nederland;2;;;;;;;2
Werkplaats 54;;2;;;;;;2
Wester IJ-Dock C.V.;;1;;;;;;1
WHR Installatie-adviseurs Breda B.V.;;;2;;;;;2
Witteveen+Bos;;;2;;;;;2
Eindtotaal;7;6;7;5;5;8;2;9
