OBJECTID,KVDKRHOO,KVDBREED,KVDLENGT,XXXMATER,KWKDATUM,OSMOMSCH,IWS_LEGGERSTATUS,KVDIDENT,OBJECTID_1,KVDIDENT_1,ONDERHOUDSPLICHTIGE_1,ONDERHOUDSVERPLICHTING_1,ONDERHOUDSPLICHTIGE_2,ONDERHOUDSVERPLICHTING_2,Shape__Length
30,,,,98,,Vaste dam,1,BW.00-PKD3,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.71337078995089
31,,,,,,Vaste dam,1,VR.00-PKD136,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.989746287874
32,,,,98,,Vaste dam,1,AD.00-PKD1,,,Aangeland,Gewoon en buitengewoon en constructie,,,8.614241993769
33,,,,98,,Vaste dam,1,SP.00-PKD180,,,Aangeland,Gewoon en buitengewoon en constructie,,,22.2063747363934
34,,,,98,,Vaste dam,1,AD.00-PKD10,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.93259850481157
35,,,,,,Vaste dam,1,KV.00-PKD150,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.53745149117002
36,,,,,,Vaste dam,1,VR.00-PKD209,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98939675741339
37,,,,,,Vaste dam,1,RA.00-PKD203,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.94992537921178
38,,,,,,Vaste dam,1,RA.00-PKD120,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99006252493184
39,,,,,2013,Vaste dam,1,V366,,,Houder vergunning,Gewoon en buitengewoon en constructie,,,11.9190982030457
40,,,,,,Vaste dam,1,VR.00-PKD17,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.9889541993456
41,,,,,2000,Vaste dam,1,V368,,,Aangeland,Gewoon en buitengewoon en constructie,,,15.222213364339
42,,,,,,Vaste dam,1,RV.00-PKD42,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.30958942029449
43,,,,,2013,Vaste dam,1,V378,,,Aangeland,Gewoon en buitengewoon en constructie,,,7.41717769230404
44,,,,,,Vaste dam,1,RA.00-PKD56,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.7484921733352
45,,,,,,Vaste dam,1,VR.10.72-PKD19,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.9889493917577
46,,,,,,Vaste dam,1,WM.00-PKD123,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.9895386559289
47,,,,,,Vaste dam,1,RB.00-PKD30,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.52786140554822
48,,,,,,Vaste dam,1,RB.00-PKD33,,,Aangeland,Gewoon en buitengewoon en constructie,,,2.62727373970267
49,,,,,,Vaste dam,1,RB.00-PKD32,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.270884080004
50,,,,,,Vaste dam,1,RB.00-PKD31,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.30871225907314
51,,,,,,Vaste dam,1,RB.00-PKD29,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.54956513534315
52,,,,,,Vaste dam,1,RB.00-PKD28,,,Aangeland,Gewoon en buitengewoon en constructie,,,2.97392726996415
53,,,,,,Vaste dam,1,RB.00-PKD26,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.73661953413012
54,,,,,,Vaste dam,1,RB.00-PKD25,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.28029922691305
55,,,,,,Vaste dam,1,RB.00-PKD24,,,Aangeland,Gewoon en buitengewoon en constructie,,,2.90444349245661
56,,,,,,Vaste dam,1,RB.00-PKD23,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.02862638438683
57,,,,,,Vaste dam,1,RB.00-PKD20,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.10447361987657
58,,,,,,Vaste dam,1,RB.00-PKD19,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99033666328745
59,,,,,,Vaste dam,1,RB.00-PKD18,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99013627107512
60,,,,,,Vaste dam,1,RB.00-PKD16,,,Aangeland,Gewoon en buitengewoon en constructie,,,1.85132722880674
61,,,,,,Vaste dam,1,RB.00-PKD10,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.14381476824381
62,,,,,,Vaste dam,1,RB.00-PKD8,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98953865588782
63,,,,,,Vaste dam,1,RB.00-PKD7,,,Aangeland,Gewoon en buitengewoon en constructie,,,8.14081548396303
64,,,,,,Vaste dam,1,VR.00-PKD204,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98897063928126
65,,,,,,Vaste dam,1,VR.00-PKD200,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98895179188039
66,,,,,,Vaste dam,1,VR.00-PKD205,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99004609189755
67,,,,,,Vaste dam,1,RB.00-PKD71,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.22126423362055
68,,,,,,Vaste dam,1,RB.00-PKD73,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.12864805265918
69,,,,,,Vaste dam,1,RB.00-PKD77,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.3117374503113
70,,,,,,Vaste dam,1,RB.00-PKD22,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98977033588265
71,,,,,,Vaste dam,1,RB.00-PKD78,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.7215823974125
72,,,,,,Vaste dam,1,RB.00-PKD27,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98964086858992
73,,,,,,Vaste dam,1,RB.00-PKD81,,,Aangeland,Gewoon en buitengewoon en constructie,,,54.9198029368199
74,,,,,,Vaste dam,1,RB.00-PKD35,,,Aangeland,Gewoon en buitengewoon en constructie,,,54.2302037667031
75,,,,,,Vaste dam,1,RB.00-PKD36,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99029217419108
76,,,,,,Vaste dam,1,RB.00-PKD47,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98977033588265
77,,,,,,Vaste dam,1,RB.00-PKD57,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.01217352650213
78,,,,,,Vaste dam,1,KO.70-PKD2,,,Gemeente,Gewoon en buitengewoon en constructie,,,9.18164194417569
79,,,,,,Vaste dam,1,VR.15.254-PKD124,,,Railinfratrust B.V.,Gewoon en buitengewoon en constructie,,,2.31743227548668
80,0.05,3,7.4,,,Vaste dam,1,VO.10-PKD47,,,Aangeland,Gewoon en buitengewoon en constructie,,,7.21107069317966
81,,,,,,Vaste dam,1,KO.00-PKD7,,,Gemeente,Gewoon en buitengewoon en constructie,,,12.4197119325344
82,,,,,,Vaste dam,1,SZ.00-PKD3,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.77328075279012
83,,,,,,Vaste dam,1,KV.00-PKD101,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.28441957987941
84,,,,,,Vaste dam,1,PS.00-PKD15,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.80997746925399
85,,,,,,Vaste dam,1,GA.00-PKD16,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.9621026776635
86,,,,,,Vaste dam,1,GA.00-PKD19,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.44419834651736
87,,,,,,Vaste dam,1,GA.00-PKD186,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.07018635802
88,,,,,,Vaste dam,1,RB.00-PKD36A,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.95484278916716
89,,,,,,Vaste dam,1,GA.00-PKD29,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.69360019561293
90,,,,,,Vaste dam,1,GA.00-PKD39,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.5178027059172
91,,,,,,Vaste dam,1,GA.00-PKD40,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.57431386780004
92,,,,,,Vaste dam,1,RB.00-PKD15A,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.12193514384865
93,,,,,,Vaste dam,1,SD.21-PKD10,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.58669399686609
94,,,,,,Vaste dam,1,MW.35.12-PKD31,,,Aangeland,Gewoon en buitengewoon en constructie,,,9.66656746010476
95,,,,,,Vaste dam,1,MW.35.4-PKD32,,,Aangeland,Gewoon en buitengewoon en constructie,,,8.02193937881391
96,,,,,,Vaste dam,1,RB.00-PKD37,,,Aangeland,Gewoon en buitengewoon en constructie,,,0.747010707398112
97,,,,,,Vaste dam,1,KV.00-PKD151,,,Aangeland,Gewoon en buitengewoon en constructie,,,7.39006743691775
98,,,,,,Vaste dam,1,KV.00-PKD153,,,Aangeland,Gewoon en buitengewoon en constructie,,,14.5038898951611
99,,,,,,Vaste dam,1,RB.00-PKD90,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.85433890724637
100,,,,,,Vaste dam,1,MB.00-PKD209,,,Aangeland,Gewoon en buitengewoon en constructie,,,1.83955800433184
101,,,,,,Vaste dam,1,RB.00-PKD92,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.0598701098314
102,,,,,,Vaste dam,1,RB.00-PKD93,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.51887836353624
103,,,,,,Vaste dam,1,SZ.170.4-PKD1,,,Aangeland,Gewoon en buitengewoon en constructie,,,7.34807050411546
104,,,,,,Vaste dam,1,OK-PKD35,,,Waterschap,Gewoon en buitengewoon en constructie,,,0.758445084324365
105,,,,,,,1,VD40104,,,Waterschap,Geheel onderhoud,,,5.75651128619584
106,,,,,,,1,VD40105,,,Waterschap,Geheel onderhoud,,,1.28641844542323
107,,,,,,,1,40424,,,Waterschap,Geheel onderhoud,,,12.7138177233799
108,,,,,,Vaste dam,1,VR.00-PKD214,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98947091433923
109,,,,,,Vaste dam,1,VR.00-PKD215,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98991983954163
110,,,,,,Vaste dam,1,DV.215.112-PKD5,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.42184485791317
111,,,,,,Vaste dam,1,OK.00-PKD33,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.9902549050218
112,,,,,,Vaste dam,1,OK.00-PKD34,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99052862982174
113,,5,11,36,2014,Vaste dam,1,V404,,,Natuurmonumenten,Gewoon en buitengewoon en constructie,,,11.4913341073791
114,,,,,,Vaste dam,1,BV.00-PKD34,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.99341556679296
115,,,,,,Vaste dam,1,BV.00-PKD33,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.07694818435129
116,,,,,,Vaste dam,1,BV.00-PKD35,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.93445657872655
117,,,,,,Vaste dam,1,PKD9,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.91883932566628
118,13.55,2,46,36,2014,Natuurlijke drempel,1,V408,,,Staatsbosbeheer,Gewoon en buitengewoon en constructie,,,46.9304982859145
119,,2,6,36,2016,Vaste dam,1,V405,,,Waterschap,Gewoon en buitengewoon en constructie,,,4.14519138882615
120,10.32,5,7.5,36,2016,Vaste dam,1,V406,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.8477316399796
121,11.58,2,95,36,2014,Natuurlijke drempel,1,V409,,,Staatsbosbeheer,Gewoon en buitengewoon en constructie,,,283.255152024028
122,12.62,2,56,36,2014,Natuurlijke drempel,1,V410,,,Natuurmonumenten,Gewoon en buitengewoon en constructie,,,56.4929114531919
123,10.7,2,97,36,2014,Natuurlijke drempel,1,V411,,,Natuurmonumenten,Gewoon en buitengewoon en constructie,,,97.1753082461238
124,11.77,2,28,36,2014,Natuurlijke drempel,1,V412,,,Natuurmonumenten,Gewoon en buitengewoon en constructie,,,28.0665439194605
125,11.31,2,58,36,2014,Natuurlijke drempel,1,V413,,,Natuurmonumenten,Gewoon en buitengewoon en constructie,,,58.4190327507703
126,11.39,2,94,36,2014,Vaste dam,1,V414,,,Natuurmonumenten,Gewoon en buitengewoon en constructie,,,288.038326146579
127,11.02,2,94,36,2014,Natuurlijke drempel,1,V415,,,Natuurmonumenten,Gewoon en buitengewoon en constructie,,,359.873431477958
128,11.2,2,31,36,2014,Natuurlijke drempel,1,V416,,,Natuurmonumenten,Gewoon en buitengewoon en constructie,,,30.8727704643306
129,10.95,2,31,36,2014,Natuurlijke drempel,1,V417,,,Natuurmonumenten,Gewoon en buitengewoon en constructie,,,30.9081909407383
130,10.33,2,58,36,2014,Natuurlijke drempel,1,V418,,,Natuurmonumenten,Gewoon en buitengewoon en constructie,,,57.8493576158519
131,8.63,2,17,36,2014,Natuurlijke drempel,1,V419,,,Natuurmonumenten,Gewoon en buitengewoon en constructie,,,17.2758088048209
132,,,,,,Vaste dam,1,DV.70.32-PKD12,,,Aangeland,Gewoon en buitengewoon en constructie,,,72.9928373835929
133,7.4,0.5,31,36,2016,Natuurlijke drempel,1,V421,,,Natuurmonumenten,Gewoon en buitengewoon en constructie,,,32.0602410655507
134,,,,,,Vaste dam,1,SD.00-PKD8,,,Aangeland,Gewoon en buitengewoon en constructie,,,2.36292971387539
135,,,,,,Vaste dam,1,SZ.70-PKD1,,,Gemeente,Gewoon en buitengewoon en constructie,,,7.16415669710993
136,,,,,,Vaste dam,1,RB.00-PKD86,,,Aangeland,Gewoon en buitengewoon en constructie,,,2.88867195453096
137,,,,,,,1,PKD42024,,,Aangeland,Geheel onderhoud,,,10.3880336661338
138,,5.3,10,36,,Vaste dam,1,V436,,,Aangeland,Gewoon en buitengewoon,,,10.3162696758793
139,,,,,,Vaste dam,1,KK.310-PKD10,,,Waterschap,Gewoon en buitengewoon en constructie,,,0.502264774348207
140,,,,98,,Vaste dam,1,GA.15.24-PKD93,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.79285139673824
141,,,,,,Vaste dam,1,VR.00-PKD208,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98939675737634
142,,,,,,Vaste dam,1,VR.00-PKD210,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98939675741339
143,,,,,,Vaste dam,1,VR.00-PKD211,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98939675741339
144,,,,,,Vaste dam,1,VR.10.60-PKD32,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.989318593882
145,,,,,,Vaste dam,1,V146,,,Aangeland,Gewoon en buitengewoon en constructie,,,7.75349759851853
146,,,99,,,Vaste dam,1,V155,,,Aangeland,Gewoon en buitengewoon en constructie,,,8.35851709302319
147,,2,5,99,,Vaste dam,1,V144,,,Aangeland,Gewoon en buitengewoon en constructie,,,10.3081475039626
148,,,,,,Vaste dam,1,V147,,,Aangeland,Gewoon en buitengewoon en constructie,,,9.12406581428728
149,,,,,,Vaste dam,1,V148,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.32278577746196
150,,5.5,7,99,,Vaste dam,1,V149,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.57584671418175
151,,,,,,Vaste dam,1,V150,,,Aangeland,Gewoon en buitengewoon en constructie,,,9.72679627910275
152,,,,,,Vaste dam,1,V151,,,Aangeland,Gewoon en buitengewoon en constructie,,,7.80150357285541
153,,,,,,Vaste dam,1,V152,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.58947404343034
154,,,,,,Vaste dam,1,V153,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.56888377180371
155,,5.5,5.5,99,,Vaste dam,1,V156,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.17347754412027
156,,5,10,99,,Vaste dam,1,V158,,,Aangeland,Gewoon en buitengewoon en constructie,,,9.8351452463639
157,,,,,,Vaste dam,1,V159,,,Aangeland,Gewoon en buitengewoon en constructie,,,11.4882338493572
158,,,,,,Vaste dam,1,V160,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.71552266200752
159,,,,,,Vaste dam,1,V161,,,Aangeland,Gewoon en buitengewoon en constructie,,,9.18134205806449
160,,4,10,99,,Vaste dam,1,V163,,,Aangeland,Gewoon en buitengewoon en constructie,,,9.05920581470925
161,,2.5,9.5,99,,Vaste dam,1,V165,,,Aangeland,Gewoon en buitengewoon en constructie,,,9.12241305789598
162,,2.5,6,99,,Vaste dam,1,V166,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.79968124485978
163,,,,,,Vaste dam,1,V167,,,Aangeland,Gewoon en buitengewoon en constructie,,,10.1352121328744
164,,,,,,Vaste dam,1,V168,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.60306119785577
165,,,,,,Vaste dam,1,V170,,,Aangeland,Gewoon en buitengewoon en constructie,,,11.1019494233449
166,,,,,,Vaste dam,1,V171,,,Aangeland,Gewoon en buitengewoon en constructie,,,7.44701584610661
167,,,,,,Vaste dam,1,RB.00-PKD68,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.11140522107399
168,,,,,,Vaste dam,1,RB.00-PKD6,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.46100664086151
169,,,,,,Vaste dam,1,RB.00-PKD70,,,Aangeland,Gewoon en buitengewoon en constructie,,,1.35762510918351
170,,,,,,Vaste dam,1,RB.00-PKD69,,,Aangeland,Gewoon en buitengewoon en constructie,,,2.14295344405466
171,,,,,,Vaste dam,1,RB.00-PKD66,,,Aangeland,Gewoon en buitengewoon en constructie,,,2.51397377737585
172,,,,,,Vaste dam,1,VO.00-PKD54,,,Aangeland,Gewoon en buitengewoon en constructie,,,13.0082785928961
173,,,,,,Vaste dam,1,VO.00-PKD53,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.96070911624317
174,,,,,,Vaste dam,1,VO.00-PKD59,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98876537871613
175,,,,,,Vaste dam,1,VO.00-PKD60,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99016632746062
176,,,,,,Vaste dam,1,VR.00-PKD36,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99000360762984
177,,,,,,Vaste dam,1,VR.00-PKD37,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98915944932408
178,,,,,,Vaste dam,1,VR.00-PKD26,,,Gemeente,Gewoon en buitengewoon en constructie,,,4.98872047945341
179,,,,,,Vaste dam,1,VR.00-PKD25,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98872047941484
180,,,,,,Vaste dam,1,VR.00-PKD13,,,Gemeente,Gewoon en buitengewoon en constructie,,,4.98966491961215
181,,,,,,Vaste dam,1,RA.00-PKD115,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.96729076299907
182,,,,,,Vaste dam,1,RA.00-PKD145,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.50985731602074
183,,,,,,Vaste dam,1,RA.00-PKD114,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.35901262116617
184,,,,,,Vaste dam,1,RA.00-PKD113,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.21652011636938
185,,,,,,Vaste dam,1,RA.00-PKD112,,,Aangeland,Gewoon en buitengewoon en constructie,,,54.4312396927677
186,,,,,,Vaste dam,1,RA.00-PKD82,,,Aangeland,Gewoon en buitengewoon en constructie,,,11.2874515116177
187,,,,,,Vaste dam,1,RA.00-PKD83,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98912136679206
188,,,,,,Vaste dam,1,RA.00-PKD84,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98960519339516
189,,,,,,Vaste dam,1,RA.00-PKD80,,,Aangeland,Gewoon en buitengewoon en constructie,,,15.3293904475149
190,,,,,,Vaste dam,1,RA.00-PKD81,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.99578787127299
191,,,,,,Vaste dam,1,RA.00-PKD79,,,Aangeland,Gewoon en buitengewoon en constructie,,,2.54445720216964
192,,,,,,Vaste dam,1,RA.00-PKD78,,,Aangeland,Gewoon en buitengewoon en constructie,,,2.67439356185773
193,,,,,,Vaste dam,1,RA.00-PKD199,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.40362321898969
194,,,,98,,Vaste dam,1,SW.20.89-PKD4,,,Waterschap,Gewoon en buitengewoon en constructie,,,15.7112354158011
195,,,,98,,Vaste dam,1,SW.20.87-PKD5,,,Waterschap,Gewoon en buitengewoon en constructie,,,12.6350325408171
196,,,,98,,Vaste dam,1,SW.20.83-PKD7,,,Waterschap,Gewoon en buitengewoon en constructie,,,14.2432159680726
197,,,,98,,Vaste dam,1,SW.20.59-PKD8,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.65659688818808
198,,,,98,,Vaste dam,1,SW.20.57-PKD9,,,Waterschap,Gewoon en buitengewoon en constructie,,,4.87142477701135
199,,,,,,Vaste dam,1,RB.00-PKD43,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.01087536721369
200,,,,,,Vaste dam,1,RB.00-PKD40,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.92900504602936
201,,,,,,Vaste dam,1,RB.00-PKD41,,,Aangeland,Gewoon en buitengewoon en constructie,,,7.50543666108538
202,,,,,,Vaste dam,1,RB.00-PKD42A,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.97863488622634
203,1.93,5,16,36,2017,,1,V426,,,Aangeland,Gewoon en buitengewoon en constructie,,,16.0807169939633
204,,1.5,10,36,,Vaste dam,1,V422,,,Aangeland,Gewoon en buitengewoon en constructie,,,9.99221787325295
205,0.89,7,10,,2017,,1,V424,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.66932474955911
206,1.97,6.4,35,36,2017,Vaste dam,1,V425,,,Aangeland,Gewoon en buitengewoon en constructie,,,35.6094128906606
207,,,,,,Vaste dam,1,VR.00-PKD14A,,,Gemeente,Gewoon en buitengewoon en constructie,,,4.98966491690945
208,,,,,,Vaste dam,1,VR.00-PKD18,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98981442352632
209,,,,,,Vaste dam,1,VR.00-PKD137,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98876537952559
210,,,,,,Vaste dam,1,VR.00-PKD54,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99007815607587
211,,,,,,Vaste dam,1,VR.00-PKD53,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99004609193614
212,,,,,,Vaste dam,1,VR.00-PKD134,,,Gemeente,Gewoon en buitengewoon en constructie,,,4.99017674873285
213,,,,,,Vaste dam,1,VR.00-PKD138,,,Gemeente,Gewoon en buitengewoon en constructie,,,4.98969377628277
214,,,,,,Vaste dam,1,VR.00-PKD156,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99015069707692
215,,,,,,Vaste dam,1,VR.00-PKD193,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98948093762676
216,,,,,,Vaste dam,1,VR.15.620-PKD192,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99036071052043
217,,,,,,Vaste dam,1,VR.00-PKD178,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98914862473313
218,,,,,,Vaste dam,1,VR.00-PKD177,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98851360480931
219,,,,,,Vaste dam,1,VR.00-PKD179,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98870724581178
220,,,,,,Vaste dam,1,VR.00-PKD181,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98990060003316
221,,,,,,Vaste dam,1,VR.00-PKD180,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98940477493048
222,,,,,,Vaste dam,1,VR.00-PKD46,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98966692259985
223,,,,,,Vaste dam,1,VR.00-PKD7,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98909691126415
