FID,cte,datum,dtm,eignam,gradenhoek,hecto,layer,omschr,thema,themb,se_anno_cad_data
dtb2000_2000_2007_punt.34,B0305,2003-01-16T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.35,B0305,2003-01-16T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.36,B0305,2003-01-16T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.37,B0305,2003-01-16T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.38,B0305,1998-05-05T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.39,B0305,2005-04-02T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.40,B0305,2006-05-02T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.41,B0305,2006-05-02T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.42,B0305,2006-05-02T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.43,B0305,2002-04-02T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.44,B0305,2002-04-02T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.45,B0305,2006-05-02T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.46,B0305,2006-05-02T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.47,B0305,2006-05-02T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.48,B0305,2006-05-02T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.49,B0305,2006-05-02T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.50,B0309,2000-05-05T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.51,B0309,2000-05-05T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.52,B0309,2000-05-05T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.53,B0309,2000-05-05T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.54,B0309,2000-05-05T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.55,B0309,2000-05-05T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.56,B0309,1999-03-29T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.57,B0309,1999-03-29T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.58,B0309,2000-05-14T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.59,B0309,2000-05-14T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.60,B0309,2000-05-14T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.61,B0309,2000-05-14T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.62,B0309,2000-05-14T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.63,B0309,2000-05-14T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.64,B0309,2000-05-14T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.65,B0309,1998-05-05T00:00:00,N, ,0, ,1,brandstofpomp,bp, ,
dtb2000_2000_2007_punt.66,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.67,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.68,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.69,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.70,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.71,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.72,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.73,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.74,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.75,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.76,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.77,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.78,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.79,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.80,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.81,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.82,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.83,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.84,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.85,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.86,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.87,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.88,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.89,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.90,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.91,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.92,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.93,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.94,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.95,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.96,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.97,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.98,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.99,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
dtb2000_2000_2007_punt.100,B0335,2000-04-01T00:00:00,N, ,0, ,1,pijler,pijler, ,
