FID,NITG,INTERN_NR,DATUM_MIN_MAX,MV_TOV_NAP,FILTERSTELLING_TOV_NAP,OPMERKINGEN,MONITORINGNETWERK,EIGENAAR_CONTACTPERSOON,GRONDWATERSTANDEN_TNO_JANEE,GRONDWATERSTANDEN_TNO_LINK,META_DATA_TNO_LINK,GRONDWATERSTANDEN_NMG_JANEE,GRONDWATERSTANDEN_NMG,WION_JANEE,GEOMETRIE
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bee,B40C0407,-,1976 t/m 1984,9.96000004,"F1: -8,04 tot -9,04 F2: -48,84 tot -49,84",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0407"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0407"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (188240 433760)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bef,B40C0414,-,1977 t/m 2008,8.47000027,"F1: 3,47 tot 2,47 F2: -7,53 tot -8,53 F3: -33,53 tot -34,53 F4: -49,53 -50,53 F5: -70,53 tot -71,53",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0414"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0414"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (184710 435500)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bf0,B40C0421,-,1977 t/m 2008,7.67000008,"F1: -1,33 tot -3,33 F2: -32,33 tot -34,33 F3: -89,33 tot -9133 F4: -129,33 tot -131,33",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0421"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0421"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (180240 435270)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bf1,B40C0439,-,1981 t/m 2009,9.01000023,"F1: 5,48 tot 4,48 F2: -3,67 tot -4,67 F3: -26,57 tot -27,57",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0439"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0439"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (187475 436745)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bf2,B40C0454,-,1983 t/m 1999,12.01000023,"F1: 2,01  tot1 F2: -2,09 tot -40,9 F3: -13,99 tot -15,99",Monitoring peilbuis van Waterwingebied,Monitoring Waterwinning,Vitens,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0454"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0454"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (186860 428472)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bf3,B40C0456,-,1984 t/m 2008,22.10000038,"F1: 4,10 tot 2,10 F2: -4,90 tot -6,90 F3: -32,90 tot -34,90",Monitoring peilbuis van Waterwingebied,Monitoring Waterwinning,Vitens,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0456"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0456"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (187690 425300)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bf4,B40C0457,-,1984 t/m 1999,21.26000023,"F1: 5,66 tot 3,66 F2: -3,84 tot -5,84 F3: -30,34 tot -32,34",Monitoring peilbuis van Waterwingebied,Monitoring Waterwinning,Vitens,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0457"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0457"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (186800 425300)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bf5,B40C0474,-,1986 t/m 2008,12.17000008,"F1: 3,67 tot -4,33 F2: -25,83 tot -40,83 F3: -54,83 tot -64,83",Monitoring peilbuis van Waterwingebied,Monitoring Waterwinning,Vitens,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0474"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0474"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (187020 428730)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bf6,B40C0475,-,1986 t/m 2008,13.88000011,"F1: 0,88 tot -5,12 F2: -9,12 tot -35,12",Monitoring peilbuis van Waterwingebied,Monitoring Waterwinning,Vitens,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0475"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0475"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (187080 428840)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bf7,B40C0476,-,1986 t/m 2008,14.68999958,"F1: 2,69 tot -5,31 F2: -20,31 tot -27,31 F3: -47,31 tot -64,31",Monitoring peilbuis van Waterwingebied,Monitoring Waterwinning,Vitens,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0476"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0476"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (187200 428990)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bf8,B40C0477,-,1986 t/m 2008,13.09000015,"F1: 5,09 tot -2,91 F2: -22,91 tot -32,91 F3: -55,91 tot -66,91",Monitoring peilbuis van Waterwingebied,Monitoring Waterwinning,Vitens,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0477"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0477"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (187370 429020)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bf9,B40C0478,-,1986 t/m 1999,21.34000015,"F1: 4,34 tot -5,66 F2: -10,66 tot -19,66 -F3: 23,66 tot -35,66",Monitoring peilbuis van Waterwingebied,Monitoring Waterwinning,Vitens,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0478"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0478"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (187542 428812)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bfa,B40C0479,-,1986 t/m 1999,28.46999931,"F1: 6,47 tot 1,47 F2: 43,53 tot -18,53 F3: -42,53 tot -55,53",Monitoring peilbuis van Waterwingebied,Monitoring Waterwinning,Vitens,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0479"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0479"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (187579 428520)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bfb,B40C3395,M8,,23.29999924,"F1: 4,3-3,3; F2: - 23,7 tot -24,7",-,Diepe peilbuis (geen monitoring),"Gemeente Nijmegen, Bureau Bodem en Water, (PE, SB) 024-3299637",nee,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C3395"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C3395"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,ja,POINT (186241 427319)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bfc,B40C3394,Meeuse_acker,,9,peilbuis/boring tbv KWO,,Diepe peilbuis (geen monitoring),Aliantie voortgezet onderwijs,nee,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C3394"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C3394"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,ja,POINT (183440 427700)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bfd,B40C3380,M8,Geen monitoring grondwaterstand,0,,,,,,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C3380"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C3380"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,POINT (186811 425992)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bfe,B40C3382,pbB,Geen monitoring grondwaterstand,12.5,,Ashendene grondwateronderzoek,Diepe peilbuis (geen monitoring),bedrijf: Ashendene,nee,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C3382"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C3382"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,ja,POINT (184680 426000)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bff,B40C3383,pbA,Geen monitoring grondwaterstand,12.5,,Ashendene grondwateronderzoek,Diepe peilbuis (geen monitoring),bedrijf: Ashendene,nee,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C3383"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C3383"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,ja,POINT (184820 426000)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_c00,B40C3384,pb1,Geen monitoring grondwaterstand,9.5,,Neerbosch en omgeving,Diepe peilbuis (geen monitoring),"Gemeente Nijmegen, Bureau Bodem en Water, (SB), 024-3299637",nee,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C3384"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C3384"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,ja,POINT (184671 427257)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_c01,B40C3385,pb2,Geen monitoring grondwaterstand,16,,Neerbosch en omgeving,Diepe peilbuis (geen monitoring),"Gemeente Nijmegen, Bureau Bodem en Water, (SB), 024-3299637",nee,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C3385"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C3385"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,ja,POINT (185583 427278)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_c02,B40C3386,pb3,Geen monitoring grondwaterstand,11.5,,Neerbosch en omgeving,Diepe peilbuis (geen monitoring),"Gemeente Nijmegen, Bureau Bodem en Water, (SB), 024-3299637",nee,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C3386"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C3386"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,ja,POINT (185318 425440)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_c03,B40C3387,pb4,Geen monitoring grondwaterstand,22,,Neerbosch en omgeving,Diepe peilbuis (geen monitoring),"Gemeente Nijmegen, Bureau Bodem en Water, (SB), 024-3299637",nee,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C3387"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C3387"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,ja,POINT (185911 426260)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_c04,B40C3388,pb5,Geen monitoring grondwaterstand,18.20000076,,Neerbosch en omgeving,Diepe peilbuis (geen monitoring),"Gemeente Nijmegen, Bureau Bodem en Water, (SB), 024-3299637",nee,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C3388"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C3388"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,ja,POINT (185188 426923)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_c05,B40C3389,pb6,Geen monitoring grondwaterstand,10,,Neerbosch en omgeving,Diepe peilbuis (geen monitoring),"Gemeente Nijmegen, Bureau Bodem en Water, (SB), 024-3299637",nee,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C3389"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C3389"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,ja,POINT (185305 427497)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_c06,B40C3526,P7,2011 tot heden,10.14999962,"F1: 6,9 tot 5,9 F2: 1,15 tot 0,15",Monitoring peilbuis Dijkteruglegging Lent,Monitoringnetwerk Dijkteruglegging,"Gemeente Nijmegen, Ingenieursbureau, Ontwerp en Advies, (TA, AZ) 024-3299331",ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C3526"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C3526"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"<A HREF=""http://145.11.60.41/imap/multimedia/"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",ja,POINT (187969 431903)
