objectid,identificatie,type_bedrijf,validatiecode,locatie,woonplaats,gemeente
110,000220-bedrijven,bedrijven,000220,Heilaar-noord,Breda,Breda
112,000420-bedrijven,bedrijven,000420,Hazeldonk,Breda,Breda
120,000560-kantoren,kantoren,000560,Chasseveld,Breda,Breda
122,000840-detailhandel,detailhandel,000840,Bisschopshoeve,Breda,Breda
125,000440-kantoren,kantoren,000440,Princenhagelaan-zuid,Breda,Breda
134,000250-bedrijven,bedrijven,000250,Steenakker - B,Breda,Breda
135,000260-bedrijven,bedrijven,000260,Goeseelsstraat,Breda,Breda
139,001060-gemengd kantoren / bedrijven,gemengd kantoren / bedrijven,001060,Slingerweg/Tramsingel,Breda,Breda
143,000160-bedrijven,bedrijven,000160,Baarschot,Breda,Breda
144,000430-detailhandel,detailhandel,000430,Krogten-zuid - D,Breda,Breda
146,000510-kantoren,kantoren,000510,Kemelstede,Breda,Breda
147,000460-kantoren,kantoren,000460,Ettensebaan - K,Breda,Breda
155,000090-bedrijven,bedrijven,000090,De Lind/Logtenburg,Prinsenbeek,Breda
160,000500-onderwijs,onderwijs,000500,Claudius Prinsen - kantorenpark,Breda,Breda
162,000150-bedrijven,bedrijven,000150,Charles Petitweg,Breda,Breda
163,001190-kantoren,kantoren,001190,Bouvignelaan 5,Breda,Breda
164,000680-kantoren,kantoren,000680,Werkdonken - K,Breda,Breda
165,001250-kantoren,kantoren,001250,Gr. Engelbertlaan 75,Breda,Breda
178,000810-detailhandel,detailhandel,000810,De Burcht,Breda,Breda
179,000290-bedrijven,bedrijven,000290,Antiloopstraat,Breda,Breda
182,000790-detailhandel,detailhandel,000790,Valkeniersplein,Breda,Breda
185,000630-kantoren,kantoren,000630,Spoorbuurt,Breda,Breda
186,000111-detailhandel,detailhandel,000111,Achter Emer - D,Breda,Breda
187,000670-kantoren,kantoren,000670,Ginnekenweg-zuid - K,Breda,Breda
188,001160-kantoren,kantoren,001160,Zorgvlietstraat 491,Breda,Breda
195,001310-kantoren,kantoren,001310,Watertoren,Breda,Breda
196,001000-detailhandel,detailhandel,001000,Ginnekenweg-zuid - D,Breda,Breda
198,000950-detailhandel,detailhandel,000950,Steenakker - D,Breda,Breda
206,000870-detailhandel,detailhandel,000870,Dorpstraat,Breda,Breda
210,000710-detailhandel,detailhandel,000710,Heksenwiel,Breda,Breda
214,000650-kantoren,kantoren,000650,Baronielaan,Breda,Breda
215,000380-bedrijven,bedrijven,000380,Druivenstraat - B,Breda,Breda
218,000210-bedrijven,bedrijven,000210,Ettensebaan - B,Breda,Breda
225,001080-kantoren,kantoren,001080,Fatimastraat 5,Breda,Breda
230,000080-bedrijven,bedrijven,000080,Van der Reitstraat,Breda,Breda
232,001210-kantoren,kantoren,001210,Burg. De Manlaan 2,Breda,Breda
245,000900-detailhandel,detailhandel,000900,Binnenstad,Breda,Breda
246,000040-bedrijven,bedrijven,000040,Mathenessenstraat,Breda,Breda
247,000740-detailhandel,detailhandel,000740,Tuinzigt,Breda,Breda
250,000730-detailhandel,detailhandel,000730,Prinsenbeek centrum,Breda,Breda
251,000100-bedrijven,bedrijven,000100,Hoogeind,Breda,Breda
253,001180-kantoren,kantoren,001180,Overakkerstraat 90,Breda,Breda
258,001030-gemengd kantoren / bedrijven,gemengd kantoren / bedrijven,001030,Kievitsloop-Paardeweide,Breda,Breda
259,000920-detailhandel,detailhandel,000920,Dr. Struyckenplein,Breda,Breda
261,000960-detailhandel,detailhandel,000960,Oosterhoutseweg/Heistraat - D,Teteringen,Breda
263,000110-bedrijven,bedrijven,000110,Achter Emer,Breda,Breda
267,000590-kantoren,kantoren,000590,St. Ignatiusstraat,Breda,Breda
271,000990-detailhandel,detailhandel,000990,Breepark - D,Breda,Breda
277,000850-detailhandel,detailhandel,000850,De Berg,Breda,Breda
282,000690-detailhandel,detailhandel,000690,Scheperij,Breda,Breda
283,000530-kantoren,kantoren,000530,Nieuwe Kadijk,Breda,Breda
287,000520-kantoren,kantoren,000520,Bergschot,Breda,Breda
289,000930-detailhandel,detailhandel,000930,Belcrum - D,Breda,Breda
292,001260-zorg,zorg,001260,Hoeveneind 3,Teteringen,Breda
295,000910-detailhandel,detailhandel,000910,Haagdijk-Haagweg,Breda,Breda
298,001280-kantoren,kantoren,001280,Julianalaan 1,Breda,Breda
303,000180-bedrijven,bedrijven,000180,Belcrum - B,Breda,Breda
305,000860-detailhandel,detailhandel,000860,Baliëndijk,Breda,Breda
306,001010-gemengd detailhandel / kantoren,gemengd detailhandel / kantoren,001010,Stadionkwartier - GD,Breda,Breda
310,000320-bedrijven,bedrijven,000320,Rithmeester Park - B,Breda,Breda
311,000270-bedrijven,bedrijven,000270,Bagvenpark,Breda,Breda
319,000580-kantoren,kantoren,000580,Stadionkwartier - K,Breda,Breda
322,000230-bedrijven,bedrijven,000230,Greenery,Breda,Breda
330,000120-bedrijven,bedrijven,000120,Hintelaken,Breda,Breda
336,000770-detailhandel,detailhandel,000770,Langendijk,Breda,Breda
340,000890-detailhandel,detailhandel,000890,Boschstraat,Breda,Breda
341,000490-kantoren,kantoren,000490,Bijster,Breda,Breda
346,000410-bedrijven,bedrijven,000410,Werkdonken - B,Breda,Breda
350,001110-kantoren,kantoren,001110,Liesboslaan 8,Breda,Breda
351,000310-bedrijven,bedrijven,000310,IABC,Breda,Breda
352,000750-detailhandel,detailhandel,000750,Princenhage centrum,Breda,Breda
355,000020-bedrijven,bedrijven,000020,Moleneind-west,Breda,Breda
360,000980-detailhandel,detailhandel,000980,Willem-Alexanderplein,Teteringen,Breda
361,001150-kantoren,kantoren,001150,Doenradestraat 50,Breda,Breda
362,001070-gemengd kantoren / bedrijven,gemengd kantoren / bedrijven,001070,Rithmeester Park - GK,Breda,Breda
364,000010-bedrijven,bedrijven,000010,Aardenhoek,Breda,Breda
366,000800-detailhandel,detailhandel,000800,Jorisstraat,Breda,Breda
369,000370-bedrijven,bedrijven,000370,Moleneind-oost - B,Breda,Breda
372,001050-bedrijven,bedrijven,001050,Digit Parc,Breda,Breda
375,000240-bedrijven,bedrijven,000240,Emer-zuid,Breda,Breda
377,000640-kantoren,kantoren,000640,Parkstraat,Breda,Breda
379,000830-detailhandel,detailhandel,000830,Brabantplein,Breda,Breda
388,000140-bedrijven,bedrijven,000140,Hero,Breda,Breda
394,001020-gemengd detailhandel / kantoren,gemengd detailhandel / kantoren,001020,Nieuw Ginnekenstraat - Ginnekenweg-noord,Breda,Breda
397,000070-bedrijven,bedrijven,000070,Fatimastraat,Breda,Breda
