Rijlabels;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Julo Systeemwanden en Kantoorinr. B.V.;2;;;;2
Kalkhoven Beveiliging B.V.;1;;;;1
Kees Leijen & Zoon Olieprodukten;;1;;;1
KEMA Nederland B.V.;;4;;;4
Kemkens Gasservice B.V.;1;;;;1
Kennis- en Adviescentrum Dierplagen;1;;;;1
Kenter;1;1;;;1
Keyprocessor B.V.;1;;;;1
KHZ Internationale Verhuizers;;;1;;1
King Wall;1;;;;1
Kiwa Technology;;3;;;3
Klaas van Ommen Beregeningstechniek;1;;;;1
Klimaatservice Holland B.V.;1;;;;1
Koelplan Airconditioning Noord West B.V.;1;;;;1
Koeman en Bijkerk B.V.;1;;;;1
Koet Tuin- en Boomzorg;2;;;;2
Kongsberg Maritime Holland B.V.;;;;6;6
Krinkels B.V.;3;;;;3
Kuiper Bouw B.V.;2;;;;2
Labolutions B.V.;;;;1;1
Lagemaat Sloopwerken B.V.;4;;;;4
Landustrie Sneek B.V.;1;;;;1
Lasaulec B.V.;;;;1;1
Leemans Speciaalwerken B.V.;1;;;;1
Leylines B.V.;1;;;;1
Liander N.V.;3;7;;;7
Liandon B.V.;1;1;;;1
LievenseCSO Milieu B.V.;1;;;;1
Liftinstituut B.V.;1;;;;1
Linde Gas Cryoservices B.V.;;1;;;1
Livetime Productions B.V.;;1;;;1
Logicx Berging B.V.;1;;;;1
Lomans Capelle B.V.;1;;;;1
Loodgiet.- & Inst.bedr. M. Schroevers B.V.;1;;;;1
Loodgietersbedrijf Klepper B.V.;1;;;;1
Loonbedrijf Kleyweg B.V.;1;;;;1
Luke Bouwman B.V.;2;;;;2
M. Spreeuwenberg-A. Spreeuwenberg-Jenniskens;1;;;;1
Maars Projecten B.V.;1;;;;1
Maatschap H. van der Veen & J. de Vries;;;;1;1
Maatschap Van der Valk Woudstra;1;;;;1
Maatschap voor Communicatie;;1;1;;1
Madeko Office Solution B.V.;1;;;;1
Manutan B.V.;2;;;;2
Martens Havenontvangstinst. Vlissingen B.V.;1;;;;1
MatInspired;1;;;;1
Meerkerk Houtbouw B.V.;;;;1;1
Meesterschilders Friesland B.V.;1;;;;1
Metrohm Nederland B.V.;;;;1;1
Mettler-Toledo B.V.;;;;2;2
Millipore;1;;;2;2
Milu B.V.;1;;;;1
Mirabelle Horeca Exploitatie B.V.;;1;;;1
MK2 Audiovisueel Verhuur B.V.;1;;;;1
Monkey Town Purmerend B.V.;1;;;;1
Monsdal Limburg Zuid B.V.;2;;;;2
Mourik Groot-Ammers B.V.;;;;7;7
Mts Kievit;2;;;;2
MWH;1;;;;1
N.V. Kabeltelevisie Noord-Oost Friesland;1;;;;1
N.V. Nuon Warmte;;2;;;2
N.V. PWN Waterleidingbedrijf Noord-Holland;;3;;;3
N.V. Rendo;;1;;;1
N.V. Waterbedrijf Groningen;;1;;;1
N.V. Waterleidingmaatschappij Drenthe;;1;;;1
Nancy Klomp Watersnijtechniek B.V.;2;;;;2
NBB Beheer B.V.;2;;;;2
Nelen & Schuurmans B.V.;;2;;;2
NIBA Bleskensgraaf;2;;;;2
NIC Best Deal B.V.;1;;;;1
Nieuw Ammervelde;1;;;;1
Norisk Keymanagement B.V.;1;;;;1
Notra B.V.;;;;2;2
Oasen N.V.;;1;;;1
OBN Ongedierte Bestrijding Nederland B.V.;1;;;;1
Odink & Koenderink B.V.;1;;;;1
Oesterbaai B.V.;2;;;;2
Officenter Maastricht B.V.;1;;;;1
P. Muller Fotografie;1;;;;1
Parkstad Installatie Techniek & More;1;;;;1
PB Elektra;1;;;;1
PBT Beveiligingsgroep B.V.;1;;;;1
PCP B.V.;;;;1;1
Pels Rijcken & Droogleever Fortuijn N.V.;1;;;;1
Pino Evenementen & Congressen B.V.;1;;;;1
Plaveka Interieurs B.V.;1;;;;1
Polvo B.V.;1;;;;1
PPI-Management;2;;;;2
Presentatie Techniek Holland B.V.;1;;;;1
Primagaz Nederland B.V.;1;2;;;2
Protinus IT B.V.;1;;;6;6
Quality Services Inspection (QSI) B.V.;1;;;;1
Rasenberg Infra B.V.;;;;4;4
Recool B.V.;1;;;;1
Recycling Kampen Beheer B.V.;;;;4;4
Recycling Kampen Containers en Transport B.V.;1;;;;1
Regio Noord-Oost;;4;;;4
Reitsma Reclame;1;;;;1
Rentokil pest control;2;;;;2
Repos Graveer- en Freestechniek;1;;;;1
Restaurant Schietbaan Europoort C.V.;;;;2;2
Restaurant Te Koop;1;;;;1
Rijksvastgoedbedrijf;;3;;;3
Rijngas B.V.;;1;;;1
Robert Winterink Tuinonderhoud;2;;;;2
ROHDE & GRAHL B.V.;1;;;3;3
Roompot Service B.V.;;1;;;1
Rotterdam Airport B.V.;1;;;;1
Rovato Techniek B.V.;1;;;;1
Roztan;1;;;;1
RPS advies- en ingenieursbureau;2;;;;2
Rris;3;;;;3
RRS Nederland B.V.;1;;;;1
S+B Rotterdam B.V.;;;;1;1
Sake Zittema Saneringen;2;;;;2
Salverda Bouw B.V.;1;;;4;4
Schildersbedrijf Donker;1;;;;1
Schiphol Real Estate B.V.;;;;2;2
Schmidt Watertechniek B.V.;1;;;;1
Schürgers Sleutelservice V.O.F.;1;;;;1
Search Milieu;2;;;;2
Securitas Beveiliging B.V.;3;;;;3
Security Beheer B.V.;1;;;;1
Security Monitoring Centre;1;;;;1
Service Team Nederland B.V.;1;;;;1
Shurgard Self-Storage Nieuwegein;;;;1;1
Signa Terra B.V.;3;;;;3
Sita Recycling Services;1;;;;1
Sleutelspecialist Delft;1;;;;1
Slopen en Saneren B.V.;2;;;;2
Spark B.V.;1;;;;1
SPIE Nederland B.V.;;1;;;1
Sprangers Bouwbedrijf B.V.;;;;5;5
Spruit Kantoor en Projectadvies;;;;1;1
Spyke Security B.V.;4;;;;4
Square Four B.V.;;;;4;4
Staelduinsebos Groenspecialisten;1;;;;1
Stam & Co Infratechniek B.V.;2;;;;2
Starfoto B.V.;1;;;;1
Stedin;1;7;;;7
Stedin Infradiensten B.V.;2;2;;;3
Stedin Meetbedrijf B.V.;1;2;;;2
Streetfurniture Montage B.V.;1;;;;1
Strukton Worksphere;5;;;1;5
Stulz Groep B.V.;1;;;;1
Sun Solutions B.V.;;1;;;1
Sunshine Design;1;;;;1
SV Logistic Services B.V.;1;;;;1
Swanenberg Handelsonderneming B.V.;3;;;2;4
Sweco Holdco B.V.;4;;;3;4
Sweco Nederland;2;;;;2
Sysmex Nederland B.V.;;;;1;1
T.O.D. Nijkamp B.V.;1;;;;1
Tappan Communicatie B.V.;;1;;;1
Tasman Properties C.V.;;;;2;2
Tauw B.V.;2;;;;2
TechniCo Installatietechniek B.V.;3;;;;3
Technisch Buro Nijkamp B.V.;2;;;;2
Technische Unie B.V.;2;;;;2
Telder Bouw en Industrie B.V.;1;;;;1
Telegrootgebruik B.V.;4;;;4;5
TES Install.techn. Service & Onderhoud B.V.;2;;;;2
Tes Installatietechniek Utiliteit B.V.;2;;;;2
Thermo Fisher Scientific B.V.;;;;3;3
Thyzo B.V.;1;;;;1
TON Projectstoffering B.V.;1;;;;1
Top Movers Nederland B.V.;7;;2;;7
TRAAS Ongediertebestrijding;1;;;;1
Transportbedrijf J. van Oorschot;;;1;;1
Transportbedrijf P.A. Van Rooyen B.V.;1;;;;1
Trenton B.V.;;2;;;2
Trigion Beveiligingstechniek B.V.;1;;;;1
TVE Reclameproducties B.V.;1;;;;1
Twynstra Gudde Huisvesting, Vastgoe;4;;;;4
Twynstra Gudde Interim Management B.V.;3;;;;3
Tyco Fire and Security Nederland B.V.;1;;;;1
U-Conto;;3;;;3
Unica Installatietechniek;3;;;;3
Unica Security B.V.;1;;;;1
Uniper Benelux N.V.;;9;;;9
UTS Van der Lee/Cors De Jongh B.V.;;;2;;2
V.A. Burg Schildersbedrijf B.V.;1;;;;1
v.d. Velden Rioleringsbeh. 's-Hertogenb. B.V.;1;;;;1
V.O.F. A. Prop Beplantingswerken;2;;;;2
V.O.F. Hoveniersbedrijf Erik Verhoef;1;;;;1
V.O.F. Loonbedrijf A. Verhoef;1;;;;1
V.O.F. Transportbedrijf G.L. de Haan;;;1;;1
Van den Berg Installateurs;2;;;;2
Van der Hoek Brandwerende Applicaties B.V.;2;;;;2
Van der Kolk B.V.;1;;;;1
Van der Velde Brandpreventie;1;;;;1
Van der Velden Rioleringsbeheer Nijmegen B.V.;2;;;;2
Van Dijk Employment Services;4;;;;4
Van Doorn Geldermalsen B.V.;1;;;;1
Van Dorp installaties B.V.;;;;6;6
Van Galen Installatietechniek;;;;2;2
Van Ginkel Oost Nederland B.V.;1;;;;1
Van Kats Machines B.V.;1;;;;1
Van Oort Bodemonderzoek B.V.;1;;;;1
van Schoor Aviation Infra Techniek;1;;;;1
Van Vliet Sloopwerken B.V.;5;;;;5
Van Vuuren Elektrotechniek B.V.;2;;;;2
Vandervalk+Degroot;1;;;;1
Vandervelde Protection B.V.;1;;;;1
VanDoClean B.V.;;;;1;1
VBH Nederland B.V.;1;;;;1
Veldhoen Zonwering B.V.;1;;;;1
Vendingland B.V.;1;;;;1
Veolia Gebouwenbeheer B.V.;2;;;;2
Ver. v. Corp. Real Estate Manag. Execut.;1;;;;1
Verboon Groen & GWW B.V.;2;;;;2
Verenig. Dakbedekk.branche Nederland Vebidak;1;;;;1
Vereniging Parkmanagement Buitenvaart;1;;;;1
Verwey Vastgoed Management;2;;;4;4
Videotronic Infosystems Nederland B.V.;1;;;2;2
VINCI Facilities;2;;;;2
Vis en Chips;1;;;;1
Visafslag Stellendam B.V.;;1;;;1
Visveiling Urk;;1;;;1
Vitens N.V.;;3;;;3
Vloerenbedrijf Het Zuiden B.V.;2;;;;2
VolkerInfra - Vaarwegen Zeeuwse Delta;1;;;;1
Vonk Garage- Schade- & Reinigingsapparatuur;1;;;;1
Waddenrecreatiebedrijf 'Neptunus';1;1;;;1
Wagensveld Hoveniers;1;;;;1
Waterkracht B.V.;1;;;;1
Waternet;;1;;;1
WEKA Business Media B.V.;1;;;;1
Wema Tijdelijke Ruimte B.V.;;;;3;3
Weststrate;1;;;;1
Wits Vastgoedonderhoud Nederland B.V.;1;;;;1
Witteveen+Bos;2;;;;2
Wolter & Dros Maastricht Airport;1;;;;1
Woonsfeer B.V.;1;;;;1
WorkSphere;1;;;;1
WorkWire B.V.;3;;;;3
Y-con Beheer B.V.;2;;;;2
Zandbeek Eindhoven;;1;;;1
Zonwering-Nederland B.V.;1;;;;1
Eindtotaal;9;10;3;9;11
