FID,vrt_code,vrtnaam,haven_vaar,meetpunt,breedte,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
zwaaiplaats.34,076a,Industriehaven te Hoogeveen,,1.9,60,,13778,,,POINT (52.72870000099999 6.491300002000003)
zwaaiplaats.35,150h,Haven van Waalwijk,,0.873,125,,13926,,,POINT (51.70459999899998 5.056899998000006)
zwaaiplaats.36,018,A.G. Wildervanckkanaal,,9.236,80,,13984,,,POINT (53.0847 6.874499999000022)
zwaaiplaats.37,226a,Vaartsche Rijn en Oude Gracht,,1.162,44,,14122,,,POINT (52.07270000099999 5.118900000999986)
zwaaiplaats.38,043,Kuinder of Tjonger,,30.18,,,14519,,,POINT (52.988099999999974 6.199799999999982)
zwaaiplaats.39,104,Merwedekanaal (bezuiden de Lek),,3.871,55,,14589,,,POINT (51.97199999899999 5.079100002000018)
zwaaiplaats.40,094b,Creilervaart,,6.714,55,,14828,,,POINT (52.76089999800001 5.664099998999973)
zwaaiplaats.41,001b1,Oosterhornhaven,,4.518,200,,15650,,,POINT (53.298599998999975 6.9959999989999915)
zwaaiplaats.42,229d,"Toegangsgeul, Arkervaart en haven van Nijkerk",,3.2,108,,15792,,,POINT (52.232999999000015 5.474800001999995)
zwaaiplaats.43,043,Kuinder of Tjonger,,27.381,,,15815,,,POINT (52.97700000200001 6.162500001000012)
zwaaiplaats.44,232,Hoge Vaart,,26.69,60,,16322,,,POINT (52.35779999900001 5.493299997999998)
zwaaiplaats.45,228,Eem en havens van Amersfoort,,1.961,73,,17023,,,POINT (52.17040000100002 5.364599999000006)
zwaaiplaats.46,082,Zijkanaal naar Almelo van de Twenthekanalen,,8.322,90,,17272,,,POINT (52.31260000200001 6.6329000000000065)
zwaaiplaats.47,233c,Zijkanaal A en de haven van Beverwijk (De Pijp),,1.827,110,,17298,,,POINT (52.475900002 4.662399999999991)
zwaaiplaats.48,202,Vaarweg Noordzeekanaal-Spaarne-Kagerplassen,,23.458,50,,17638,,,POINT (52.271799999999985 4.574200001000008)
zwaaiplaats.49,856,Industriehaven Loven,,1.505,100,,17722,,,POINT (51.58100000000002 5.112700000000018)
zwaaiplaats.50,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,20.539,80,,18481,,,POINT (52.02079999799997 6.1308999990000075)
zwaaiplaats.51,013,"Winschoterdiep, Rensel en havens te Winschoten",,18.869,100,,18643,,,POINT (53.16239999999999 6.840399998999999)
zwaaiplaats.52,013a,Drentsche Diep en Zuidlaardermeer naar Zuidlaren,,11.633,20,,18666,,,POINT (53.09760000199998 6.691100000999995)
zwaaiplaats.53,232,Hoge Vaart,,9.345,90,,18874,,,POINT (52.344599999000025 5.284699998999997)
zwaaiplaats.54,234,Noordhollandsch Kanaal,,54.156,70,,18998,,,POINT (52.73770000000002 4.687299999999993)
zwaaiplaats.55,233,"Noordzeekanaal, Afgesloten-IJ en Buiten-IJ",,17.168,150,,19730,,,POINT (52.41620000099999 4.855099998000014)
zwaaiplaats.56,003a,Oosterhamrikkanaal,,0.815,20,,19849,,,POINT (53.228999998000006 6.574799999999982)
zwaaiplaats.57,136a,Nieuwe Haven te Goes,,0.794,60,,20747,,,POINT (51.511300000999995 3.892900000999987)
zwaaiplaats.58,202,Vaarweg Noordzeekanaal-Spaarne-Kagerplassen,,21.4,40,,21148,,,POINT (52.28590000000003 4.5916000010000175)
zwaaiplaats.59,849,Nieuwe Haven te Veghel,,0.813,80,,21671,,,POINT (51.6105 5.519299998999998)
zwaaiplaats.60,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,25.006,95,,22493,,,POINT (52.206799999 6.528299998000023)
zwaaiplaats.61,083,Oude IJssel,,14.529,50,,23028,,,POINT (51.952 6.286899999000013)
zwaaiplaats.62,083,Oude IJssel,,15.716,80,,23612,,,POINT (51.94260000100002 6.2943000010000105)
zwaaiplaats.63,095,Urkervaart,,6.32,55,,25184,,,POINT (52.677099999000006 5.681499998999982)
zwaaiplaats.64,124,Amertak en Wilhelminakanaal,,60.981,70,,25325,,,POINT (51.505499999999984 5.4979999999999905)
zwaaiplaats.65,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,18.526,125,,25672,,,POINT (52.17099999999999 6.453600000999984)
zwaaiplaats.66,124,Amertak en Wilhelminakanaal,,30.569,65,,26290,,,POINT (51.557000000000016 5.1121000009999875)
zwaaiplaats.67,244d,Wieringerwerfvaart,,1.732,50,,26704,,,POINT (52.82260000000002 5.003199998000014)
zwaaiplaats.68,020a,Havenkanaal en haven van Assen,,4.26,78,,26718,,,POINT (53 6.573100001)
zwaaiplaats.69,094a,Ruttensevaart,,3.5,30,,26810,,,POINT (52.800900001 5.697700000999987)
