Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financi�n;Eindtotaal
de Boer Ruimtelijk Advies;;;2;;;;;2
De investeringsmaatschappij;;;2;;;;;2
De Voort Advocaten - Mediators;;;;;2;;;2
Devim Management B.V.;;;2;;;;;2
Dgi Dak & Gevel Ingenieurs B.V.;;2;;;;;;2
Diederik Samsom;;;2;;;;;2
Dipartimento Di Informatica Universita Torino;;;;;;2;;2
DPA Sustainability B.V.;;;2;;;;;2
DUIDT;;;2;;;;;2
E. van Baarle B.V.;;2;;;;;;2
EMC Advies B.V.;;;2;;;;;2
EMMA Communicatie B.V.;;;2;;;;;2
Fede;;;2;;;;;2
Flowq Human Capital Research;;;2;;;;;2
FunGeert;;;2;;;;;2
gBOU B.V.;;2;;;;;;2
Harm de Jong - Strategie & Ontwikkeling;;;2;;;;;2
Holding D. Sijmons B.V.;;;2;;;;;2
Homo Faber;;;2;;;;;2
HRD-group Business;;;2;;;;;2
IJKX;;;2;;;;;2
In gesprek;;2;;;;;;2
Inprocess Consultants B.V.;;;2;;;;;2
Inst. for Hous. and Urban Devel. Stud. B.V.;;;2;;;;;2
Instituut Maatschappelijke Innovatie;;;2;;;;;2
Instituut voor Wijsbegeerte B.V.;;2;;;;;;2
Intelligence Group B.V.;;;2;;;;;2
Ir. Mechtild Linssen, adv. in de v.h.v. B.V.;;;2;;;;;2
IRES;;;2;;;;;2
Ivo Broekhuizen Communicatie;;;;2;;;;2
jskwadraat;;;2;;;;;2
KAW architecten en adviseurs 1;;;2;;;;;2
Kieskompas B.V.;;;2;;;;;2
Kirin Konsult;;;2;;;;;2
Kirkman Company B.V.;;;2;;;;;2
KokxDeVoogd B.V.;;;2;;;;;2
KPMG Audit;;;2;;;;;2
Kunstlinie Almere Flevoland (KAF);;2;;;;;;2
La Jupe Sauvage;;;2;;;;;2
LANDSADVOCAAT DE;;2;;;;;;2
Laos Landschapsarchitecten B.V.;;;2;;;;;2
LBP Sight B.V.;;;2;;;;;2
Leeuwendaal;;;2;;;;;2
Levenswerken;;;2;;;;;2
Libertas Investments B.V.;;2;;;;;;2
Ligthart Advies B.V.;;;2;;;;;2
Loo Van Eck B.V.;;;;;;2;;2
Lysias Advies B.V.;;;2;;;;;2
M. Fernhout B.V.;;;2;;;;;2
Marjolein Nagel Commun. Management & Advies;;2;;;;;;2
MatZwart;;;;2;;;;2
Metabolic B.V.;;;2;;;;;2
Metier Academy Benelux B.V.;;;2;;;;;2
Meurs HRM;;;;2;;;;2
MIXST urbanisme;;;2;;;;;2
M-SUS;;;2;;;;;2
MusT;;;2;;;;;2
My Cubes B.V.;;;2;;;;;2
N.O. voor toegep.-natuurwetensch. onderz. TNO;;;2;;;;;2
N.V. Nederlandsch Octrooibureau;;;2;;;;;2
Ned. ICT, V.b. Inf.techn., Telec.&aanv. sect.;;;;;;2;;2
Nederlands Certificatie Instituut;;2;;;;;;2
Nieman Raadgevende Ingenieurs B.V.;;;2;;;;;2
ONE 15 B.V.;;;2;;;;;2
PBT Consult B.V.;;;2;;;;;2
People make Senze B.V.;;;2;;;;;2
Provada B.V.;;2;;;;;;2
Qidos B.V.;;;2;;;;;2
RAI Amsterdam B.V.;;2;;;;;;2
Rebel Economics & Transactions B.V.;;;2;;;;;2
Rebel Energy B.V.;;;2;;;;;2
Rebel Strategy & Development B.V.;;;2;;;;;2
Rebel Strategy & Finance B.V.;;;2;;;;;2
RebelGroup Executives B.V.;;;2;;;;;2
Rooshorst B.V.;;;2;;;;;2
Rosa Peek;;;2;;;;;2
Rosa Stapel;;;2;;;;;2
Security Service Ommeren B.V.;;;2;;;;;2
SoftwareONE B.V.;;;2;;;;;2
Solvinity;;;;;;2;;2
Sprengers Advocaten;;1;;;2;;;2
Sticht. Administr.kant. BGH Participaties;;;2;;;;;2
Stichting Arq;;;2;;;;;2
Stichting Bewaarder Oostpoort;;;2;;;;;2
Stichting DecentraalBestuur.nl;;;2;;;;;2
Stichting Economisch Instituut voor de Bouw;;;2;;;;;2
Stichting Het Groene Brein;;;2;;;;;2
Stichting Instituut voor Bouwrecht;;;2;;;;;2
Stichting MOVISIE;;;2;;;;;2
Stichting Vitavalley;;;2;;;;;2
Studio EMM;;;2;;;;;2
Studio Marco Vermeulen B.V.;;;2;;;;;2
Styrax;;;2;;;;;2
Task Engineering & Projectmanagement B.V.;;2;;;;;;2
TIBN Technisch Beheer & Onderhoud B.V.;;2;;;;;;2
Ticketguard B.V.;;2;;;;;;2
TriamFloat B.V.;;;2;;;;;2
Unisys Nederland N.V.;;2;;;;;;2
UrbanBoost;;;2;;;;;2
Urhahn Urban Design B.V.;;;2;;;;;2
Van den Boogaard Diversity Training B.V.;;;2;;;;;2
Vereniging Deltametropool;;;2;;;;;2
Verhaallijnen;;;2;;;;;2
WaboAdvies Vaassen B.V.;;;2;;;;;2
Werkplaats erfgoed;;;2;;;;;2
Wethoudersvereniging;;;2;;;;;2
WING Process Consultancy B.V.;;;2;;;;;2
Wolfgang Ebbers Research & Consultancy;;;2;;;;;2
Wolfskuil B.V;;;2;;;;;2
WVScongres;;;2;;;;;2
ADConsultancy;;3;;;;;;3
Alten Nederland B.V.;;;;;;3;;3
APPM Management Consultants B.V.;;;3;;;;;3
BMC Advies B.V.;;;3;;;;;3
Bosch en Slabbers Den Haag B.V.;;;3;;;;;3
Brink Management/Advies;;;3;;;;;3
CE Delft;;;3;;;;;3
Centralpoint Holding B.V.;;;2;;;2;;3
Cirsfid University of Bologna;;;;;;3;;3
De Zwarte Hond Rotterdam B.V.;;;3;;;;;3
Decisio B.V.;;;3;;;;;3
Designmine B.V.;;3;;;;;;3
Dialogic Innovatie & Interactie B.V.;;;3;;;;;3
Ecorys B.V.;;;3;;;;;3
Effectory B.V.;;;3;;;;;3
Ernst & Young LLP;;;3;;;;;3
Ferro Explore B.V.;;;3;;;;;3
Gartner Nederland B.V.;;;3;;;;;3
Generation Energy B.V.;;;3;;;;;3
Geodan B.V.;;;3;;;;;3
GFK Panel Services Benelux;;;3;;;;;3
Goed Gebouw;;;3;;;;;3
Heijmans Utiliteit;;3;;;;;;3
Improven B.V.;3;;;;;;;3
Juris B.V.;;;3;;;;;3
PBLQ B.V.;;;3;;;;;3
PDC Informatie Architectuur B.V.;;;3;;;;;3
Perdu communicatie;;;3;;;;;3
Pricewaterhousecoopers Advisory N.V.;;3;;;;;;3
Proof Adviseurs B.V.;;;3;;;;;3
Protinus IT B.V.;;;;;;3;;3
Regioplan Beleidsonderzoek B.V.;;;3;;;;;3
Stg. Kenniscentrum Center People & Buildings;;;3;;;;;3
Vastgoedmanagement Nederland (VGM NL);;;3;;;;;3
AMI Maastricht;;4;;;;;;4
anoniem 297;;;4;;;;;4
APG Service Partners B.V.;;3;1;;;;2;4
Auxilium B.V.;;4;;;;;;4
BMC Management B.V.;;;;4;;;;4
Ernst & Young Accountants LLP;4;;;;;;;4
Fakton B.V.;;;4;;;;;4
HaskoningDHV Nederland B.V.;;;4;;;;;4
IDO Research;;;4;;;;;4
Kantar Netherlands B.V.;;;4;;;;;4
Kompanen B.V.;;;4;;;;;4
KPMG Advisory N.V.;;2;4;;;;;4
Marosel B.V.;;4;;;;;;4
Ordina Nederland B.V.;;;;;;4;;4
Ortec Finance B.V.;;;4;;;;;4
Panteia B.V.;;;4;;;;;4
Pels Rijcken & Droogleever Fortuijn N.V.;2;3;;;2;;;4
Posad B.V.;;;4;;;;;4
POSG Professionals B.V.;;4;;;;;;4
Public Partners B.V.;;4;;;;;;4
Rigo;;;4;;;;;4
Sira Consulting B.V.;;;4;;;;;4
SLTN IT Professionals B.V.;;;;;;4;;4
Stichting De Bouwcampus;;4;;;;;;4
Stichting SEO Economisch Onderzoek;;;4;;;;;4
Stichting Waag Society;;;4;;;;;4
Tele'Train Education II B.V.;;;4;;;;;4
Unzip Holding B.V.;;4;;;;;;4
USG Marketing & Communications;;;;4;;;;4
Vanberkel Interim Professionals B.V.;;;4;;;;;4
Vanberkel Professionals Holding B.V.;;;4;;;;;4
www.ictloket.nl;;4;;;;;;4
Andersson Elffers Felix;;;5;;;;;5
Atos Nederland B.V.;;;5;;;;;5
Bureau voor Overheidscommunicatie B.V.;;;;5;;;;5
Cebeon Centr. Beleidsadviserend Onderz. B.V.;;;5;;;;;5
COMPAREX Nederland B.V.;;;2;;;4;;5
H.K. Business & Advisory Services B.V.;;;5;;;;;5
IDEMIA The Netherlands B.V.;;;5;;;;;5
Ordina Business Consulting & Solutions B.V.;;;;;;5;;5
Regas IP B.V.;;;;;;5;;5
Stichting NIVRE Calamiteiten & Projecten;;;5;;;;;5
Trots Consultancy & Detachering B.V.;;;5;;;;;5
Verdonck, Klooster & Associates B.V.;;;5;;;;;5
ABF Research B.V.;;;6;;;;;6
ARCADIS Nederland B.V.;;;6;;;2;;6
Berenschot Groep B.V.;;;6;;;;;6
BuildingLabel B.V.;;;6;;;;;6
Capgemini Nederland B.V.;;2;;;;6;;6
Dutch Consultancy Group B.V.;;;;;;6;;6
EPAM Consulting;;;;;;6;;6
Pricewaterhousecoopers N.V.;;;6;;;;;6
Significant B.V.;;;6;;;;;6
Stipp B.V.;;;;;;6;;6
Sogeti Nederland B.V.;;;;;;7;;7
Textinfo B.V.;;;;;;7;;7
Eindtotaal;4;7;9;6;4;9;2;10
