Leveranciers;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Entopic B.V.;;;1;;;;1
ER;;;1;;;;1
Ergo B.V.;;1;;;;;1
Ernst & Young Actuarissen B.V.;1;1;;;;;1
'Evangelisch Centrum Europoort';;1;;;;;1
Expertise Centrum Samenleving;;2;;;;;2
Expo Display Service;;;1;;;;1
F19 Projecten B.V.;;;2;;;;2
Ferro Explore B.V.;;;2;;;;2
FIZZ reclame + communicatie;;3;;;;;3
Fletcher Hotel Exploitaties B.V.;;1;;;;;1
FNV Formaat (Opleidingen & Advies);;2;;;;;2
FNV Formaat B.V.;2;;;;;;2
Fotogeniek;;;1;;;;1
Fotografie : Paul Voorham;1;;1;;;;1
Fotografie Hielco Kuipers;;;1;;;;1
Fotografie Nienke Elenbaas;;;1;;;;1
Fotopersbureau Hendriksen/Valk;;;1;;;;1
Gemaco B.V.;;;1;;;;1
Gerechtsdeurw.kant. Buik en Van der Horst;;1;;;;;1
GFK Panel Services Benelux;;2;;;;;2
Griffel & Bok;;;2;;;;2
H.J. van Twillert V.O.F.;;1;;;;;1
H.J.M. Zonderland Fotografie;;;1;;;;1
Halime Yarba;;1;;;;;1
Happy Copy B.V.;;1;;;;;1
Hardeman Isolatie B.V.;;1;;;;;1
Heijmans Wegen B.V.;;1;;;;;1
Henri Bloem's Wijnkoperij;;;1;;;;1
Het Kookplein;;1;;;;;1
Het Notuleercentrum B.V.;;;1;;;;1
High Five Health Promotion B.V.;1;;;;;;1
Hogeschool Utrecht;;2;;;;;2
Hollandse Hoogte B.V.;;;1;;;;1
Hoopstede Exploitatie B.V.;;1;;;;;1
House of Sports;;;1;;;;1
Huibregtsen Training & Advies;;1;;;;;1
Huyer deurwaarder en incasso;;1;;;;;1
Ideeaanzee B.V.;;;1;;;;1
Impalko Nederland B.V.;;1;;;;;1
Imtech Nederland B.V.;;2;;;;;2
In2Content B.V.;;1;2;;;;2
in60seconds;;1;;;;;1
Integron B.V.;;2;;;;;2
InterConnect Services B.V.;;;1;;;;1
Interned Services;;;1;;;;1
Intersafe Groeneveld B.V.;;;1;;;;1
Ipsos B.V.;;3;;;;;3
Ivo Broekhuizen Communicatie;;;1;;;;1
IZI Solutions B.V.;;2;2;;;;2
J. van den Tooren Beheer B.V.;;1;;;;;1
Jaarbeurs B.V.;;1;2;;;;2
Jacques Handelé Antwoorden en Vragen;;1;;;;;1
Jilster B.V.;;;1;;;;1
Jumbo Supermarkten;;1;;;;;1
JWT Rotterdam B.V.;;;2;;;;2
Kick Smeets Fotografie;;;1;;;;1
Klip B.V.;;1;;;;;1
Klusman.Com B.V.;;7;7;;;;7
Kooiker Installatie B.V.;;1;;;;;1
Kooy Insulation B.V.;;1;;;;;1
Kropman Installatietechniek;;1;;;;;1
KSG B.V.;;;1;;;;1
Kuik & Partn. Gerechtsdeurw. & Inc.bur. B.V.;;1;;;;;1
KWS Infra B.V.;;1;;;;;1
Laheij Gespreksleiding;1;2;;;;;2
Landelijk Werkverband Praktijkonderwijs;;3;;;;;3
LAVA;;2;;;;;2
LifeGuard Academy B.V.;2;;;;;;2
Linja Logistics;;1;;;;;1
Lokaal Centraal;;2;;;;;2
Loohuis Installatietechnieken;;1;;;;;1
Lummus Technology Heat Transfer B.V.;;2;;;;;2
M & I /Partners B.V.;;2;;;;;2
M. Dooper;;;1;;;;1
Maatschap voor Communicatie;;;3;;;;3
Mad Multimedia;;2;;;;;2
Madurodam B.V.;;2;;;;;2
Mammoni Koken + Eten;;;1;;;;1
Manonne Make Up & Hair;;;1;;;;1
Marijke Vromans Communicatieadvies & Teksten;;;1;;;;1
Marlies Dijkstra Communicatie;;;2;;;;2
Martijn Beekman Fotografie;;;1;;;;1
Massage in Bedrijf;;;1;;;;1
Maters & Hermsen Journalistiek B.V.;;;4;;;;4
Media Info Groep B.V.;;;1;;;;1
Mediavrouw;;;1;;;;1
Mett;1;1;;;;;1
Mitsubishi Nederland B.V.;;1;;;;;1
Monier B.V.;;1;;;;;1
Monique Speelman Communicatie;;;2;;;;2
More Balls Than Most B.V.;1;;;;;;1
Motivaction International B.V.;;2;;;;;2
MYbusinessmedia B.V.;;;1;;;;1
Nationale Beeldbank B.V.;;;1;;;;1
Neopost;1;;;;;;1
NIVO Plus;;1;;;;;1
Noise B.V.;;;4;;;;4
Noordzij-Brielle B.V.;;1;;;;;1
Odrada Ontwerp & Organisatie;;;1;;;;1
Onder Ogen B.V.;;1;;;;;1
Onderzoeksbureau Labyrinth B.V.;;3;;;;;3
Optima Forma B.V.;;;2;;;;2
OSAGE communicatie en ontwerp;;;4;;;;4
Panteia B.V.;;7;;;;;7
PaulBlok.Com B.V.;2;;1;;;;2
Pels Rijcken & Droogleever Fortuijn N.V.;;2;;;;;2
Peter Scholten Holding B.V.;;3;;;;;3
Phil Nijhuis Fotografie;;;1;;;;1
Pondres Direct Mail B.V.;;;1;;;;1
Porter Novelli B.V.;1;5;2;;;;5
Pricewaterhousecoopers N.V.;2;2;;;;;2
PromAction B.V.;;;1;;;;1
PromoSnoepje;;;1;;;;1
Public Partners B.V.;;2;;;;;2
Radar Groep B.V.;;2;;;;;2
Radium Foam B.V.;;1;;;;;1
RAI Holding B.V.;;;1;;;;1
Rail OK B.V.;;1;;;;;1
RauwCC B.V.;;;1;;;;1
Ravestein & Zwart Bedrijfscommunicatie B.V.;;;1;;;;1
Red Mountain Creative Production B.V.;;;1;;;;1
Reed Business B.V.;;;1;;;;1
Regioplan Beleidsonderzoek B.V.;;6;;;;;6
REGIOPLAN ONDERZOEK,ADVIES,INF;;3;;;;;3
Reijrink Aannemersbedrijf B.V.;;1;;;;;1
Rendement Uitgeverij B.V.;;;2;;;;2
Retro Inkasso B.V.;;1;;;;;1
Robin Utrecht Fotografie;1;;2;;;;2
RONT Management Consultants B.V.;;;1;;;;1
Roorda Reclamebureau B.V.;;;3;;;;3
Rousant Zoutkamp B.V.;;1;;;;;1
Rozatekst;;;2;;;;2
Sanoma Digital The Netherlands B.V.;;;1;;;;1
Sardes B.V.;;3;;;;;3
SBLplus Schoonmaak B.V.;;1;;;;;1
Schaap Deventer B.V.;;1;;;;;1
Schouten & Nelissen Groep B.V.;1;;;;;;1
Scripta Media B.V.;;;2;;;;2
Sen Productions;;2;;;;;2
SGS Nederland B.V.;1;;;;;;1
Significant B.V.;;3;;;;;3
SMST Designers & Constructors B.V.;;1;;;;;1
Sociaal Economisch OndeRzoek Rotterdam B.V.;;2;;;;;2
Sodexo Nederland B.V.;;;1;;;;1
Soundfocus B.V.;;;1;;;;1
Speakers Academy Special Projects B.V.;1;;;;;;1
Spekmen Productions;;1;;;;;1
Spinner B.V.;;1;;;;;1
SPITZ congres & event B.V.;;;3;;;;3
Sportimpuls.nl B.V.;;2;;;;;2
Sranang B.V.;;1;;;;;1
St. Dona Daria Centrum Vrouwen/Emancip. R'dam;;2;;;;;2
St. Philadelphia Zorg;;1;;;;;1
Staalbouw Mook B.V.;;1;;;;;1
Stg. Amsterdams-Leidse Onderzoekssamenwerking;;1;;;;;1
Stg. Begeleid. van het Onderwijs in Amsterdam;;2;;;;;2
Stg. Expert.centr. Ber.onderw. (Stg. ecbo);;1;;;;;1
Stg. Ned. Inst. v. Onderz. van de Gezondh.zrg;;1;;;;;1
Stg. ProDemos - Huis voor dem. en rechtsstaat;;2;;;;;2
Stg. Routerings (Int.)Nat. Informatiestromen;;2;;;;;2
Stg. Steunfonds Vluchtelingen Organisaties;;2;;;;;2
Sticht. Ruimte voor Onderwijs en Kinderopvang;;2;;;;;2
Stichting Accessibility;;;1;;;;1
Stichting Achmea rechtsbijstand;;1;;;;;1
Stichting Aids Fonds - Soa Aids Nederland;;;2;;;;2
Stichting AOVVT;;1;;;;;1
Stichting Augeo;;2;;;;;2
Stichting Codename Future;;2;;;;;2
Stichting FairWork;;4;;;;;4
Stichting Korrelatie;;1;;;;;1
Stichting MOVISIE;;2;;;;;2
Stichting Nederlands Migratie Instituut;;7;;;;;7
Stichting SEO Economisch Onderzoek;;6;;;;;6
Stichting Steunfonds Blijf Groep;;2;;;;;2
Stichting Young Advisory Group;;2;;;;;2
StrateGis Groep B.V.;;2;;;;;2
Studio A Mediamelange;;;2;;;;2
Studio-OOK;;;1;;;;1
Sturingsadvies;;2;;;;;2
syncreon Netherlands B.V.;;1;;;;;1
Taalstrategie;;;1;;;;1
Tamara Madern Advies;;1;;;;;1
Tappan Communicatie B.V.;;2;3;;;;4
TeamJOS B.V.;;;1;;;;1
Teka Groep B.V.;;;1;;;;1
The Early Warning Company;;1;;;;;1
The Oddshop B.V.;;;4;;;;4
theFactor.e B.V.;;1;3;;;;3
THNK Innovation B.V.;;3;;;;;3
Thuring Fotografie;;;1;;;;1
ThyssenKrupp Liften B.V.;;1;;;;;1
Tint, Buro voor Grafische Vormgeving;;1;2;;;;2
TMG Landelijke Media B.V.;;1;;;;;1
TNO International Agencies B.V.;1;2;;;;;2
Total Identity;;;1;;;;1
Triquanta Web Solutions B.V.;;;1;;;;1
Tuhuteru & Partners B.V.;;2;;;;;2
V&D Vlaardingen;;1;;;;;1
V.L. van Wieringen Advocaat;;1;;;;;1
Van Arkel Gerechtsdeurwaarders;;1;;;;;1
Van de Bunt Management B.V.;;3;;;;;3
van der Hel Advocaten;;1;;;;;1
Van Hulzen Public Relations B.V.;;;1;;;;1
Van Kooten Advocaten N.V.;;1;;;;;1
Van Mill Fotografie;;;1;;;;1
Van Seggelen & Partners Gerechtsdeurwaarders;;1;;;;;1
Van Straalen De Vries Transport B.V.;;1;;;;;1
Van Vlier Media B.V.;;;2;;;;2
Vandoornehuiskes en Partners B.V.;;4;;;;;4
Veldkamp Marktonderzoek B.V.;;;4;;;;4
Vellance B.V.;;;1;;;;1
Verdonck, Klooster & Associates B.V.;;2;;;;;2
Vereniging van Fondsen in Nederland-Fin.;;2;;;;;2
Vink Bouw Nieuwkoop B.V.;;1;;;;;1
Vlechtersbedrijf Akkoord B.V.;;1;;;;;1
Vocas Trainingen;;1;;;;;1
Vodafone Libertel B.V.;;;2;;;;2
Vodafone winkel;;;1;;;;1
Vrienden van Amphia;;;1;;;;1
Vroom Funderingstechnieken B.V.;;1;;;;;1
Wagenborg Nedlift;;1;;;;;1
Wiefferink B.V.;;1;;;;;1
Wij van 010;;;2;;;;2
Xerox (Nederland) B.V.;;;1;;;;1
YOUnite Coaching Training Consulting;;1;;;;;1
Zasja;;3;;;;;3
anoniem;;1;1;;;;2
Eindtotaal;4;9;7;1;4;1;9
