FID,jaar,type_ws,hoofdgeb,gebied,locatie,gdb_geomattr_data,shape
steilrand_maas_2009.11,2009,Rivieren,Maas,Zandmaas,Ooijen,,"LINESTRING (208870.3299999982 391481.77800000086, 208869.23900000006 391482.0639999993, 208868.41299999878 391481.8770000003, 208867.9840000011 391481.3839999996, 208867.55799999833 391481.02600000054, 208866.7419999987 391481.23000000045, 208865.5080000013 391481.98800000176, 208864.4549999982 391482.48999999836, 208863.58700000122 391482.40900000185, 208863.17300000042 391482.2419999987, 208862.28400000185 391482.3900000006, 208860.78799999878 391481.73999999836, 208859.63100000098 391482.26300000027, 208858.21599999815 391482.90300000086, 208856.0780000016 391484.26199999824, 208854.5399999991 391486.6790000014, 208853.03599999845 391488.0469999984, 208852.22899999842 391490.1339999996, 208850.23600000143 391490.83100000024, 208847.4849999994 391497.6730000004, 208847.3209999986 391500.98000000045, 208848.0080000013 391504.2719999999)"
steilrand_maas_2009.12,2009,Rivieren,Maas,Zandmaas,Ooijen,,"LINESTRING (208892.6719999984 391457.6330000013, 208892.1240000017 391458.49599999934, 208891.94900000095 391459.4059999995, 208891.5799999982 391459.84099999815, 208890.98000000045 391460.90100000054, 208890.66800000146 391461.40199999884, 208889.01799999923 391462.9549999982, 208888.55700000003 391463.90199999884, 208888.10200000182 391464.25, 208887.6959999986 391464.3770000003, 208887.28400000185 391464.86400000006, 208886.84200000018 391466, 208886.83100000024 391466.5020000003, 208887.30799999833 391466.9539999999, 208887.51700000092 391467.20699999854, 208886.99399999902 391467.6970000006, 208886.6719999984 391468.42599999905, 208886.48600000143 391469.31700000167, 208886.6649999991 391470.2109999992, 208887.08700000122 391470.8740000017, 208887.63800000027 391471.15100000054)"
steilrand_maas_2009.13,2009,Rivieren,Maas,Zandmaas,Ooijen,,"LINESTRING (208908.12299999967 391438.03400000185, 208909.97800000012 391435.41800000146, 208911.5450000018 391432.3440000005, 208912.17300000042 391431.98800000176, 208913.17300000042 391430.625, 208913.1719999984 391429.67599999905, 208913.50499999896 391429.05999999866, 208914.6700000018 391428.1240000017, 208915.36800000072 391427.8830000013, 208915.7650000006 391427.3260000013, 208915.9549999982 391426.6220000014, 208916.5859999992 391426.37999999896, 208917.26700000092 391425.2470000014, 208918.76199999824 391425.09899999946, 208919.27100000158 391424.4840000011, 208919.78500000015 391424.38599999994, 208920.41000000015 391424.63500000164, 208921.11800000072 391424.3999999985, 208922.29100000113 391423.62000000104, 208922.74799999967 391423.30999999866, 208922.97800000012 391422.5940000005, 208923.28799999878 391422.19000000134, 208924.26399999857 391421.7410000004, 208925.2419999987 391421.5850000009, 208926.55799999833 391421.5370000005)"
steilrand_maas_2009.14,2009,Rivieren,Maas,Zandmaas,Aijen,,"LINESTRING (200288.23600000143 399160.6030000001, 200288.78599999845 399161.7419999987, 200288.31700000167 399162.47100000083, 200289.2340000011 399163.29100000113, 200288.77899999917 399164.2899999991, 200288.93499999866 399164.9600000009, 200288.86100000143 399165.7710000016, 200288.9059999995 399166.311999999, 200288.44700000063 399167.58900000155, 200288.55600000173 399168.1579999998, 200288.99599999934 399168.7650000006, 200289.09600000083 399169.5300000012, 200288.90399999917 399170.1620000005, 200288.87000000104 399170.58900000155, 200288.95699999854 399171.2879999988, 200289.0460000001 399171.93400000036, 200289.0450000018 399172.6240000017, 200289.1799999997 399173.3539999984, 200289.29399999976 399173.99599999934, 200289.563000001 399175.3920000009, 200289.7800000012 399176.6499999985, 200290.0009999983 399177.9360000007)"
steilrand_maas_2009.15,2009,Rivieren,Maas,Zandmaas,Aijen,,"LINESTRING (200293.60799999908 399201.8909999989, 200293.2950000018 399202.5520000011, 200293.35700000077 399203.35599999875, 200294.1889999993 399205.5329999998, 200294.50499999896 399206.7960000001, 200294.59099999815 399207.6649999991, 200294.34099999815 399208.35599999875, 200294.15399999917 399208.8280000016, 200294.2190000005 399209.09099999815, 200294.59299999848 399209.2710000016, 200294.936999999 399209.5159999989, 200294.90199999884 399209.9270000011, 200294.6550000012 399210.39400000125, 200294.57400000095 399210.8370000012, 200294.7659999989 399211.96499999985, 200294.875 399212.44999999925, 200295.27299999818 399213.01399999857, 200295.77699999884 399214.0540000014, 200295.80099999905 399214.5379999988, 200295.60300000012 399215.18400000036, 200296.89600000158 399216.40199999884, 200297.3759999983 399216.83399999887, 200297.48699999973 399217.68499999866)"
steilrand_maas_2009.16,2009,Rivieren,Maas,Zandmaas,Aijen,,"LINESTRING (200288.5159999989 399151.1460000016, 200287.97100000083 399150.7470000014, 200287.35700000077 399149.9279999994, 200287.7650000006 399148.6490000002, 200287.59699999914 399147.98999999836, 200287.5009999983 399147.20800000057, 200287.7899999991 399145.9459999986, 200288.03799999878 399145.19200000167, 200287.6649999991 399144.12000000104, 200287.51399999857 399143.5069999993, 200287.73000000045 399143.04100000113, 200287.8449999988 399142.57400000095, 200287.5709999986 399141.5399999991, 200287.79300000146 399140.55700000003, 200287.58100000024 399140.0949999988, 200287.14499999955 399139.64499999955, 200287.14400000125 399139.1790000014, 200286.92399999872 399138.58100000024, 200286.80000000075 399137.5069999993, 200285.76799999923 399136.5390000008, 200285.87000000104 399135.40199999884, 200287.04300000146 399135.6039999984, 200287.4450000003 399135.31799999997, 200287.32699999958 399135.0700000003, 200286.87700000033 399134.8530000001, 200286.5450000018 399134.51399999857, 200286.44999999925 399133.561999999, 200286.6860000007 399133.03599999845, 200286.78799999878 399131.5240000002, 200286.6559999995 399130.4699999988, 200287.15399999917 399129.54399999976, 200287.1090000011 399128.7870000005, 200286.52899999917 399127.54100000113, 200286.25299999863 399126.3440000005, 200286.4219999984 399125.9789999984, 200286.83199999854 399125.8819999993, 200287.23699999973 399125.8599999994, 200287.22800000012 399125.4450000003, 200286.92399999872 399124.9780000001, 200286.53700000048 399124.58999999985, 200286.37999999896 399124.09099999815, 200286.26999999955 399123.55900000036, 200286.38800000027 399123.2030000016, 200286.51399999857 399122.5940000005, 200286.54100000113 399122.0009999983, 200286.29899999872 399121.40100000054, 200286.28200000152 399120.34600000083, 200286.06700000167 399119.688000001, 200285.64600000158 399119.3920000009, 200285.24300000072 399119.4079999998, 200284.82600000128 399118.8500000015, 200284.77600000054 399118.5399999991, 200284.73900000006 399117.83199999854, 200285.13199999928 399116.8979999982, 200284.81500000134 399116.1079999991, 200284.39499999955 399115.23800000176)"
steilrand_maas_2009.17,2009,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194504.65799999982 411584.0639999993, 194504.47800000012 411582.8579999991, 194504.6339999996 411582.2749999985, 194504.5469999984 411581.813000001, 194504.32200000063 411581.4219999984, 194504.39400000125 411580.79199999943, 194504.7969999984 411579.7960000001, 194504.97300000116 411578.98900000006, 194505.50600000098 411578.6499999985, 194505.875 411577.7250000015, 194507.28400000185 411574.95899999887, 194507.38500000164 411574.3509999998, 194507.7650000006 411573.34899999946, 194507.8200000003 411572.6649999991, 194507.89499999955 411571.98699999973, 194508.29399999976 411571.3049999997, 194508.51399999857 411570.42599999905)"
steilrand_maas_2009.18,2009,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194853.5709999986 410002.1790000014, 194852.84200000018 410001.34699999914, 194852.61100000143 409999.60500000045, 194852.3200000003 409999.26099999994, 194852.01399999857 409998.63699999824, 194851.03200000152 409996.67500000075, 194850.4699999988 409993.86300000176, 194850.36899999902 409991.4290000014, 194850.25200000033 409990.26099999994, 194849.71799999848 409989.006000001, 194849.71499999985 409988.25400000066, 194849.83199999854 409987.71499999985, 194850.43100000173 409987.1970000006, 194850.51999999955 409985.62900000066, 194850.78299999982 409985.20699999854, 194850.4600000009 409984.0179999992, 194850.42500000075 409983.2950000018, 194850.65399999917 409982.68499999866, 194850.5159999989 409980.73600000143, 194850.74300000072 409980.3280000016, 194850.9530000016 409979.4070000015, 194851.05600000173 409978.2509999983, 194851.48299999908 409977.3599999994, 194852.1499999985 409976.47199999914, 194853.37700000033 409974.7349999994)"
steilrand_maas_2009.19,2009,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194873.4450000003 409356.0949999988, 194873 409353.1739999987, 194872.86100000143 409351.5639999993, 194872.60300000012 409349.51199999824, 194872.13699999824 409348.2729999982, 194871.92500000075 409347.38699999824, 194872.13100000098 409345.73699999973, 194871.7349999994 409345.3770000003, 194871.61499999836 409344.73699999973, 194871.52600000054 409344.2580000013, 194871.56599999964 409342.881000001, 194871.75299999863 409342.14499999955, 194872.20600000024 409342.01000000164, 194872.64799999818 409341.5789999999, 194872.811999999 409340.313000001, 194872.92399999872 409339.5219999999, 194873.375 409337.84699999914, 194873.12700000033 409336.7280000001, 194872.6649999991 409336.1070000008, 194872.50400000066 409335.0080000013, 194872.2749999985 409334.13800000027, 194871.9699999988 409333.2670000009, 194872.4910000004 409331.9629999995, 194872.26900000125 409331.1700000018, 194872.4360000007 409330.48699999973, 194872.436999999 409329.5520000011, 194873.01700000092 409328.4789999984, 194872.7259999998 409327.1570000015, 194872.66899999976 409326.4239999987, 194872.47199999914 409325.9789999984, 194872.25499999896 409325.48900000006, 194872.14299999923 409324.4789999984, 194872.31799999997 409323.19299999997, 194872.561999999 409322.5069999993)"
steilrand_maas_2009.20,2009,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194874.52299999818 409701.3990000002, 194873.9600000009 409699.7039999999, 194873.1649999991 409697.77699999884, 194872.66099999845 409696.5560000017, 194872.8280000016 409693.1270000003, 194873.13599999994 409690.3920000009, 194874.18299999833 409689.81500000134, 194874.7890000008 409688.2829999998, 194875.17399999872 409687.19000000134, 194874.65799999982 409686.4600000009, 194873.76700000092 409686.25, 194873.20899999887 409685.5329999998, 194872.7340000011 409682.368999999)"
