FID,aanlegjaar,type,soortnaam_lat,soortnaam_ned,categorie,geometrie
O10002_Bomenkaart_OD.514,1980,Straat- / laanboom,Fraxinus excelsior 'Altena',Es,Boom,MULTIPOINT ((177667.297 504594.305))
O10002_Bomenkaart_OD.515,1980,Straat- / laanboom,Fraxinus excelsior 'Altena',Es,Boom,MULTIPOINT ((177657.079 504596.64))
O10002_Bomenkaart_OD.516,2007,Straat- / laanboom,Acer platanoides 'Emerald Queen',Esdoorn,Boom,MULTIPOINT ((176697.605 505612.531))
O10002_Bomenkaart_OD.517,1990,Straat- / laanboom,Populus alba,Witte abeel,Boom,MULTIPOINT ((176398.469 503418.107))
O10002_Bomenkaart_OD.518,1989,Straat- / laanboom,Acer platanoides 'Cleveland',Esdoorn,Boom,MULTIPOINT ((178049.159 502294.59))
O10002_Bomenkaart_OD.519,1992,Straat- / laanboom,Pyrus calleryana 'Chanticleer',Peer,Boom,MULTIPOINT ((176677.73 503247.261))
O10002_Bomenkaart_OD.520,1994,Knotboom,Salix alba,Wilg,Boom,MULTIPOINT ((176348.129 503418.99))
O10002_Bomenkaart_OD.521,1992,Straat- / laanboom,Acer platanoides 'Cleveland',Esdoorn,Boom,MULTIPOINT ((177100.799 502896.42))
O10002_Bomenkaart_OD.522,1980,Solitaire boom,Salix alba 'Tristes',Treur wilg,Boom,MULTIPOINT ((177680.532 504558.836))
O10002_Bomenkaart_OD.523,1997,Straat- / laanboom,Acer platanoides 'Columnare',Esdoorn,Boom,MULTIPOINT ((175843.757 504790.533))
O10002_Bomenkaart_OD.524,1970,Straat- / laanboom,Platanus acerifolia,Plataan,Boom,MULTIPOINT ((178136.674 503477.906))
O10002_Bomenkaart_OD.525,1991,Straat- / laanboom,Tilia tomentosa,Linde,Boom,MULTIPOINT ((177004.068 502613.39))
O10002_Bomenkaart_OD.526,1991,Solitaire boom,Sorbus intermedia 'Brouwers',Lijsterbes,Boom,MULTIPOINT ((177330.429 502901.53))
O10002_Bomenkaart_OD.527,1997,Straat- / laanboom,Alnus glutinosa 'Pyramidalis',Els,Boom,MULTIPOINT ((176951.391 505168.875))
O10002_Bomenkaart_OD.528,1988,Straat- / laanboom,Quercus cerris,Moseik,Boom,MULTIPOINT ((177707.688 504650.01))
O10002_Bomenkaart_OD.529,1997,Solitaire boom,Salix alba 'Chermesina',Wilg,Boom,MULTIPOINT ((177004.676 505009.679))
O10002_Bomenkaart_OD.530,2014,Straat- / laanboom,Liquidambar styraciflua 'Stared',Amberboom,Boom,MULTIPOINT ((175682.872 505272.299))
O10002_Bomenkaart_OD.531,2014,Straat- / laanboom,Liquidambar styraciflua 'Stared',Amberboom,Boom,MULTIPOINT ((175675.139 505297.842))
O10002_Bomenkaart_OD.532,1989,Solitaire boom,Corylus colurna,Hazelaar,Boom,MULTIPOINT ((177352.879 502476.6))
O10002_Bomenkaart_OD.533,1989,Solitaire boom,Corylus colurna,Hazelaar,Boom,MULTIPOINT ((177357.399 502465.52))
O10002_Bomenkaart_OD.534,1999,Solitaire boom,Acer platanoides 'Columnare',Esdoorn,Boom,MULTIPOINT ((178005.065 505302.079))
O10002_Bomenkaart_OD.535,2008,Straat- / laanboom,Tilia europaea 'Pallida' type Lappen,Koningslinde,Boom,MULTIPOINT ((175493.274 505522.878))
O10002_Bomenkaart_OD.536,2013,Straat- / laanboom,Ulmus 'Rebona',Iep,Boom,MULTIPOINT ((177991.293 502252.912))
O10002_Bomenkaart_OD.537,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175466.027 502965.767))
O10002_Bomenkaart_OD.538,2005,Straat- / laanboom,Malus hupehensis,Appel,Boom,MULTIPOINT ((177757.846 503231.533))
O10002_Bomenkaart_OD.539,2011,Straat- / laanboom,Populus canad. 'Robusta',Canadapopulier,Boom,MULTIPOINT ((176477.517 505556.704))
O10002_Bomenkaart_OD.540,1999,Solitaire boom,Quercus robur 'Fastig. Koster',Zuileik,Boom,MULTIPOINT ((176889.604 506377.116))
O10002_Bomenkaart_OD.541,2006,Straat- / laanboom,Acer platanoides 'Olmsted',Esdoorn,Boom,MULTIPOINT ((176225.17 505449.281))
O10002_Bomenkaart_OD.542,2003,Solitaire boom,Fagus sylvatica 'Dawyck Gold',Beuk,Boom,MULTIPOINT ((176984.282 506108.951))
O10002_Bomenkaart_OD.543,1998,Straat- / laanboom,Acer campestre 'Queen Elizabeth',Veldesdoorn,Boom,MULTIPOINT ((176613.714 505300.386))
O10002_Bomenkaart_OD.544,2008,Straat- / laanboom,Acer campestre 'Queen Elizabeth',Veldesdoorn,Boom,MULTIPOINT ((175902.172 505500.137))
O10002_Bomenkaart_OD.545,1997,Solitaire boom,Tilia cordata 'Rancho',Kleinbladige linde,Boom,MULTIPOINT ((176922.616 504879.946))
O10002_Bomenkaart_OD.546,1999,Solitaire boom,Quercus robur 'Fastig. Koster',Zuileik,Boom,MULTIPOINT ((177047.927 506279.93))
O10002_Bomenkaart_OD.547,1985,Straat- / laanboom,Populus canadensis 'Robusta',Canadapopulier,Boom,MULTIPOINT ((178266.219 504066))
O10002_Bomenkaart_OD.548,1985,Straat- / laanboom,Populus canadensis 'Robusta',Canadapopulier,Boom,MULTIPOINT ((178291.799 504187.84))
O10002_Bomenkaart_OD.549,1990,Straat- / laanboom,Alnus cordata,Els,Boom,MULTIPOINT ((178074.699 504428.11))
O10002_Bomenkaart_OD.550,1998,Solitaire boom,Ulmus 'Plantijn',Iep,Boom,MULTIPOINT ((177347.906 505004.046))
O10002_Bomenkaart_OD.551,1994,Straat- / laanboom,Platanus acerifolia,Plataan,Boom,MULTIPOINT ((178465.581 505240.941))
O10002_Bomenkaart_OD.552,1975,Straat- / laanboom,Tilia vulgaris,Linde,Boom,MULTIPOINT ((177766.661 503583.067))
O10002_Bomenkaart_OD.553,1990,Straat- / laanboom,Tilia vulgaris,Linde,Boom,MULTIPOINT ((177650.861 503613.634))
O10002_Bomenkaart_OD.554,2009,Straat- / laanboom,Fraxinus ornus 'Obelisk',Pluimes,Boom,MULTIPOINT ((175644.557 505291.738))
O10002_Bomenkaart_OD.555,1994,Straat- / laanboom,Platanus acerifolia,Plataan,Boom,MULTIPOINT ((178453.657 505164.577))
O10002_Bomenkaart_OD.556,1998,Solitaire boom,Ulmus 'Plantijn',Iep,Boom,MULTIPOINT ((177231.974 505028.206))
O10002_Bomenkaart_OD.557,2011,Straat- / laanboom,Celtis australis,Netelboom,Boom,MULTIPOINT ((178032.756 503944.633))
O10002_Bomenkaart_OD.558,1974,Straat- / laanboom,Acer pseudopl. 'Negenia',Esdoorn,Boom,MULTIPOINT ((178133.419 504880.09))
O10002_Bomenkaart_OD.559,1995,Straat- / laanboom,Acer campestre,Veldesdoorn,Boom,MULTIPOINT ((177855.884 504475.568))
O10002_Bomenkaart_OD.560,1995,Solitaire boom,Acer campestre,Veldesdoorn,Boom,MULTIPOINT ((177650.154 504395.862))
O10002_Bomenkaart_OD.561,1997,Straat- / laanboom,Fraxinus excelsior 'Geessink',Es,Boom,MULTIPOINT ((176890.459 506155.896))
O10002_Bomenkaart_OD.562,1998,Solitaire boom,Amelanchier arborea 'Robin Hill',Krentenboompje,Boom,MULTIPOINT ((176380.997 504562.978))
O10002_Bomenkaart_OD.563,1990,Straat- / laanboom,Quercus robur,Zomereik,Boom,MULTIPOINT ((177618.646 503725.893))
O10002_Bomenkaart_OD.564,1994,Straat- / laanboom,Tilia euchlora,Linde,Boom,MULTIPOINT ((176206.3 502875.74))
O10002_Bomenkaart_OD.565,1989,Straat- / laanboom,Tilia cordata,Kleinbladige linde,Boom,MULTIPOINT ((177723.243 502723.774))
O10002_Bomenkaart_OD.566,2000,Straat- / laanboom,Quercus robur,Zomereik,Boom,MULTIPOINT ((175597.838 503544.783))
O10002_Bomenkaart_OD.567,2004,Lei- / vormboom,Carpinus betulus,Haagbeuk,Boom,MULTIPOINT ((176152.926 505237.168))
O10002_Bomenkaart_OD.568,2004,Straat- / laanboom,Alnus spaethii 'Spaeth',Els,Boom,MULTIPOINT ((176358.433 505222.951))
O10002_Bomenkaart_OD.569,2004,Lei- / vormboom,Acer saccharinum 'Pyramidale',Esdoorn,Boom,MULTIPOINT ((175767.769 505248.49))
O10002_Bomenkaart_OD.570,1989,Lei- / vormboom,Acer campestre 'Elsrijk',Veldesdoorn,Boom,MULTIPOINT ((177639.601 502575.105))
O10002_Bomenkaart_OD.571,1998,Straat- / laanboom,Tilia cordata 'Bohlje',Kleinbladige linde,Boom,MULTIPOINT ((176634.981 504750.291))
O10002_Bomenkaart_OD.572,2005,Solitaire boom,Populus canescens,Grauwe abeel,Boom,MULTIPOINT ((176392.575 504337.472))
O10002_Bomenkaart_OD.573,1997,Straat- / laanboom,Liquidambar styraciflua,Amberboom,Boom,MULTIPOINT ((175909.513 504917.791))
O10002_Bomenkaart_OD.574,2005,Solitaire boom,Platanus acerifolia,Plataan,Boom,MULTIPOINT ((177941.762 503438.227))
O10002_Bomenkaart_OD.575,2003,Solitaire boom,Prunus 'Umineko',Sierkers,Boom,MULTIPOINT ((177843.352 503730.914))
O10002_Bomenkaart_OD.576,1980,Straat- / laanboom,Tilia vulgaris,Linde,Boom,MULTIPOINT ((177514.837 504458.204))
O10002_Bomenkaart_OD.577,1978,Solitaire boom,Sorbus intermedia 'Brouwers',Lijsterbes,Boom,MULTIPOINT ((178318.235 503538.844))
O10002_Bomenkaart_OD.578,1985,Knotboom,Salix babylonica 'Umbraculifera',Wilg,Boom,MULTIPOINT ((177642.021 502825.055))
O10002_Bomenkaart_OD.579,1999,Solitaire boom,Quercus robur 'Fastig. Koster',Zuileik,Boom,MULTIPOINT ((176881.887 506375.028))
O10002_Bomenkaart_OD.580,1989,Solitaire boom,Malus toringo,Sierappel,Boom,MULTIPOINT ((177526.769 502625.56))
O10002_Bomenkaart_OD.581,2004,Solitaire boom,Aesculus hippocastanum 'Baumannii',Kastanje,Boom,MULTIPOINT ((177621.606 504251.156))
O10002_Bomenkaart_OD.582,2004,Lei- / vormboom,Aesculus hippocastanum 'Baumannii',Kastanje,Boom,MULTIPOINT ((177648.518 504244.253))
O10002_Bomenkaart_OD.583,1980,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175501.375 503170.82))
O10002_Bomenkaart_OD.584,2000,Straat- / laanboom,Fraxinus excelsior 'Diversifolia',Es,Boom,MULTIPOINT ((177795.468 503938.315))
O10002_Bomenkaart_OD.585,2012,Straat- / laanboom,Tilia cordata 'Dila',Kleinbladige linde,Boom,MULTIPOINT ((177859.041 505510.524))
O10002_Bomenkaart_OD.586,2011,Straat- / laanboom,Fraxinus excelsior 'Altena',Es,Boom,MULTIPOINT ((177580.164 503583.052))
O10002_Bomenkaart_OD.587,2012,Straat- / laanboom,Tilia cordata 'Dila',Kleinbladige linde,Boom,MULTIPOINT ((177829.336 505484.231))
O10002_Bomenkaart_OD.588,2012,Straat- / laanboom,Tilia cordata 'Dila',Kleinbladige linde,Boom,MULTIPOINT ((177741.353 505303.361))
O10002_Bomenkaart_OD.589,2005,Straat- / laanboom,Sorbus aria,Meelbes,Boom,MULTIPOINT ((176875.425 503641.669))
O10002_Bomenkaart_OD.590,1992,Straat- / laanboom,Tilia plat. 'Delft',Grootbladige linde,Boom,MULTIPOINT ((176565.649 503023.08))
O10002_Bomenkaart_OD.591,1983,Straat- / laanboom,Platanus acerifolia,Plataan,Boom,MULTIPOINT ((177055.388 503848.656))
O10002_Bomenkaart_OD.592,2000,Straat- / laanboom,Tilia plat. 'Delft',Grootbladige linde,Boom,MULTIPOINT ((176634.079 502910.45))
O10002_Bomenkaart_OD.593,2000,Straat- / laanboom,Tilia plat. 'Delft',Grootbladige linde,Boom,MULTIPOINT ((176542.059 502936.03))
O10002_Bomenkaart_OD.594,1996,Straat- / laanboom,Fraxinus americana,Amerikaanse es,Boom,MULTIPOINT ((176733.889 503311.65))
O10002_Bomenkaart_OD.595,1975,Straat- / laanboom,Populus tremula,Ratelpopulier,Boom,MULTIPOINT ((178509.001 505729.405))
O10002_Bomenkaart_OD.596,1997,Lei- / vormboom,Catalpa bignonioides 'Nana',Trompetboom,Boom,MULTIPOINT ((178054.157 504156.3))
O10002_Bomenkaart_OD.597,2005,Straat- / laanboom,Pyrus calleryana 'Chanticleer',Peer,Boom,MULTIPOINT ((177746.379 502878.72))
O10002_Bomenkaart_OD.598,1970,Straat- / laanboom,Tilia vulgaris,Linde,Boom,MULTIPOINT ((177768.656 504020.807))
O10002_Bomenkaart_OD.599,2011,Straat- / laanboom,Prunus serrulata 'Sunset Boulevard',Japanse kers,Boom,MULTIPOINT ((176782.401 505012.001))
O10002_Bomenkaart_OD.600,2003,Lei- / vormboom,Robinia pseudoacacia 'Umbraculifera,Bolacacia,Boom,MULTIPOINT ((176294.85 502957.11))
O10002_Bomenkaart_OD.601,2008,Straat- / laanboom,Robinia pseudoacacia 'Bessoniana',Acacia,Boom,MULTIPOINT ((178453.614 504520.966))
O10002_Bomenkaart_OD.602,1980,Knotboom,Salix alba,Wilg,Boom,MULTIPOINT ((177612.779 504593.15))
O10002_Bomenkaart_OD.603,2017,Boomgroep boom,Amelanchier arborea 'Robin Hill',Krentenboompje,Boom,MULTIPOINT ((174815.432 505750.601))
O10002_Bomenkaart_OD.604,2011,Straat- / laanboom,Tilia cordata 'Greenspire',Kleinbladige linde,Boom,MULTIPOINT ((175067.552 505465.841))
O10002_Bomenkaart_OD.605,2011,Straat- / laanboom,Tilia cordata 'Greenspire',Kleinbladige linde,Boom,MULTIPOINT ((175008.597 505459.9))
O10002_Bomenkaart_OD.606,2018,Straat- / laanboom,Tilia cordata 'Rancho',Kleinbladige linde,Boom,MULTIPOINT ((173255.232 509126.45))
O10002_Bomenkaart_OD.607,2017,Boomgroep boom,Acer campestre,Veldesdoorn,Boom,MULTIPOINT ((174853.958 505419.819))
O10002_Bomenkaart_OD.608,2009,Straat- / laanboom,Gleditsia triacanthos 'Skyline',Valse christusdoorn,Boom,MULTIPOINT ((175540.796 505393.865))
O10002_Bomenkaart_OD.609,2018,Straat- / laanboom,Pyrus communis 'Conference',Peer,Boom,MULTIPOINT ((172678.682 508601.264))
O10002_Bomenkaart_OD.610,2014,Straat- / laanboom,Liquidambar styraciflua 'Stared',Amberboom,Boom,MULTIPOINT ((175536.4 505448.803))
O10002_Bomenkaart_OD.611,2019,Solitaire boom,Gleditsia triacanthos 'Skyline',Valse christusdoorn,Boom,MULTIPOINT ((176886.732 503620.366))
O10002_Bomenkaart_OD.612,2015,Straat- / laanboom,Tilia europaea,Hollandse linde,Boom,MULTIPOINT ((172313.281 509098.647))
O10002_Bomenkaart_OD.613,2019,Straat- / laanboom,Parrotia persica 'Vanessa',Parrotia,Boom,MULTIPOINT ((175588.127 496064.446))
O10002_Bomenkaart_OD.614,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((169792.234 496333.506))
O10002_Bomenkaart_OD.615,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((169291.439 496028.958))
O10002_Bomenkaart_OD.616,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((170515.923 496868.71))
O10002_Bomenkaart_OD.617,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((173135.243 498886.75))
O10002_Bomenkaart_OD.618,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175023.653 501899.799))
O10002_Bomenkaart_OD.619,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175010.961 501927.883))
O10002_Bomenkaart_OD.620,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174694.68 501164.83))
O10002_Bomenkaart_OD.621,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174820.355 501407.992))
O10002_Bomenkaart_OD.622,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175235.757 502471.25))
O10002_Bomenkaart_OD.623,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175192.72 502367.631))
O10002_Bomenkaart_OD.624,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174710.585 501203.479))
O10002_Bomenkaart_OD.625,1975,Straat- / laanboom,Populus nigra,Zwarte populier,Boom,MULTIPOINT ((181568.891 505747.635))
O10002_Bomenkaart_OD.626,1975,Straat- / laanboom,Populus nigra,Zwarte populier,Boom,MULTIPOINT ((181448.461 505712.816))
O10002_Bomenkaart_OD.627,1975,Straat- / laanboom,Populus nigra,Zwarte populier,Boom,MULTIPOINT ((181300.984 505670.093))
O10002_Bomenkaart_OD.628,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175374.986 502807.447))
O10002_Bomenkaart_OD.629,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175230.28 502458.305))
O10002_Bomenkaart_OD.630,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175026.814 501966.454))
O10002_Bomenkaart_OD.631,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175085.597 502108.576))
O10002_Bomenkaart_OD.632,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175139.385 502238.33))
O10002_Bomenkaart_OD.633,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175385.557 502833.495))
O10002_Bomenkaart_OD.634,0,Straat- / laanboom,Populus nigra,Zwarte populier,Boom,MULTIPOINT ((181457.761 505715.555))
O10002_Bomenkaart_OD.635,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174989.484 501876.275))
O10002_Bomenkaart_OD.636,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174892.793 501643.439))
O10002_Bomenkaart_OD.637,1995,Knotboom,SALIX,Wilg,Boom,MULTIPOINT ((186385.444 501326.483))
O10002_Bomenkaart_OD.638,1995,Solitaire boom,Betula,Berk,Boom,MULTIPOINT ((186486.343 501666.701))
O10002_Bomenkaart_OD.639,1975,Boomgroep boom,Populus,Populier,Boom,MULTIPOINT ((186126.114 500628.202))
O10002_Bomenkaart_OD.640,1995,Knotboom,SALIX,Wilg,Boom,MULTIPOINT ((186372.26 501333.448))
O10002_Bomenkaart_OD.641,0,Boomgroep boom,SALIX,Wilg,Boom,MULTIPOINT ((186369.773 501342.403))
O10002_Bomenkaart_OD.642,1975,Boomgroep boom,Populus,Populier,Boom,MULTIPOINT ((186119.612 500566.833))
O10002_Bomenkaart_OD.643,1975,Boomgroep boom,Populus,Populier,Boom,MULTIPOINT ((186095.19 500550.063))
O10002_Bomenkaart_OD.644,2010,Solitaire boom,Acer pseudoplatanus 'Bruchem',Esdoorn,Boom,MULTIPOINT ((175391.244 504757.563))
O10002_Bomenkaart_OD.645,2010,Solitaire boom,Acer pseudoplatanus 'Bruchem',Esdoorn,Boom,MULTIPOINT ((175371.726 504755.378))
O10002_Bomenkaart_OD.646,1990,Straat- / laanboom,Taxodium distichum,Moerascypres,Boom,MULTIPOINT ((178259.794 504429.014))
O10002_Bomenkaart_OD.647,2009,Straat- / laanboom,Corylus colurna,Boomhazelaar,Boom,MULTIPOINT ((177741.088 503671.804))
O10002_Bomenkaart_OD.648,2004,Straat- / laanboom,Salix alba,Schietwilg,Boom,MULTIPOINT ((175981.214 504980.322))
O10002_Bomenkaart_OD.649,2014,Straat- / laanboom,Prunus maackii 'Amber Beauty',Kers,Boom,MULTIPOINT ((177391.037 502746.941))
O10002_Bomenkaart_OD.650,2013,Solitaire boom,Malus trilobata,Appel,Boom,MULTIPOINT ((177985.886 502416.957))
O10002_Bomenkaart_OD.651,2013,Straat- / laanboom,Alnus incana 'Laciniata',Els,Boom,MULTIPOINT ((175557.646 496642.953))
O10002_Bomenkaart_OD.652,2013,Straat- / laanboom,Alnus incana 'Laciniata',Els,Boom,MULTIPOINT ((175582.429 496714.913))
O10002_Bomenkaart_OD.653,2013,Straat- / laanboom,Alnus spaethii,Els,Boom,MULTIPOINT ((175602.835 496766.783))
O10002_Bomenkaart_OD.654,1997,Solitaire boom,Liquidambar styraciflua,Amberboom,Boom,MULTIPOINT ((171975.689 508933.078))
O10002_Bomenkaart_OD.655,2003,Boomgroep boom,Parrotia persica 'Vanessa',Parrotia,Boom,MULTIPOINT ((172300.951 507961.883))
O10002_Bomenkaart_OD.656,2015,Straat- / laanboom,Tilia cordata 'Greenspire',Kleinbladige linde,Boom,MULTIPOINT ((176479.21 505060.87))
O10002_Bomenkaart_OD.657,2013,Straat- / laanboom,Tilia cordata 'Greenspire',Kleinbladige linde,Boom,MULTIPOINT ((175852.09 504973.296))
O10002_Bomenkaart_OD.658,2014,Straat- / laanboom,Tilia cordata 'Greenspire',Kleinbladige linde,Boom,MULTIPOINT ((176460.294 505076.099))
O10002_Bomenkaart_OD.659,2014,Straat- / laanboom,Tilia cordata 'Greenspire',Kleinbladige linde,Boom,MULTIPOINT ((176022.426 504961.053))
O10002_Bomenkaart_OD.660,2014,Straat- / laanboom,Tilia cordata 'Greenspire',Kleinbladige linde,Boom,MULTIPOINT ((176490.953 505136.268))
O10002_Bomenkaart_OD.661,2013,Solitaire boom,Ulmus 'Sapporo Autumn Gold',Iep,Boom,MULTIPOINT ((173379.252 509152.924))
O10002_Bomenkaart_OD.662,2013,Solitaire boom,Alnus incana 'Laciniata',Els,Boom,MULTIPOINT ((171981.47 509551.476))
O10002_Bomenkaart_OD.663,2013,Solitaire boom,Alnus incana 'Laciniata',Els,Boom,MULTIPOINT ((172045.373 509573.768))
O10002_Bomenkaart_OD.664,2013,Solitaire boom,Alnus incana 'Laciniata',Els,Boom,MULTIPOINT ((172069.15 509587.95))
O10002_Bomenkaart_OD.665,2013,Solitaire boom,Betula pendula 'Laciniata',Berk,Boom,MULTIPOINT ((176829.997 496637.291))
O10002_Bomenkaart_OD.666,2013,Solitaire boom,Sophora japonica,Honingboom,Boom,MULTIPOINT ((176603.44 496623.923))
O10002_Bomenkaart_OD.667,2013,Straat- / laanboom,Alnus spaethii,Els,Boom,MULTIPOINT ((175314.887 505738.219))
O10002_Bomenkaart_OD.668,2014,Straat- / laanboom,Fraxinus penns. 'Summit',Zachte es,Boom,MULTIPOINT ((176854.761 502960.675))
O10002_Bomenkaart_OD.669,2015,Straat- / laanboom,Betula pubescens,Zachte berk,Boom,MULTIPOINT ((176076.326 503231.688))
O10002_Bomenkaart_OD.670,2014,Straat- / laanboom,Quercus palustris,Moeraseik,Boom,MULTIPOINT ((175192.368 505866.345))
O10002_Bomenkaart_OD.671,2014,Straat- / laanboom,Betula nigra 'Heritage',Zwarte berk,Boom,MULTIPOINT ((175214.825 505764.495))
O10002_Bomenkaart_OD.672,2014,Straat- / laanboom,Betula nigra 'Heritage',Zwarte berk,Boom,MULTIPOINT ((175259.405 505738.328))
O10002_Bomenkaart_OD.673,1970,Straat- / laanboom,Tilia vulgaris,Linde,Boom,MULTIPOINT ((175648.417 496334.936))
O10002_Bomenkaart_OD.674,2012,Straat- / laanboom,Alnus incana 'Laciniata',Els,Boom,MULTIPOINT ((175855.663 505268.978))
O10002_Bomenkaart_OD.675,2012,Straat- / laanboom,Betula pendula,Berk,Boom,MULTIPOINT ((175856.169 505339.829))
O10002_Bomenkaart_OD.676,2012,Straat- / laanboom,Alnus incana,Els,Boom,MULTIPOINT ((175861.088 505306.23))
O10002_Bomenkaart_OD.677,2012,Straat- / laanboom,Betula pendula,Berk,Boom,MULTIPOINT ((175854.957 505331.163))
O10002_Bomenkaart_OD.678,2012,Knotboom,Salix alba 'Belders',Wilg,Boom,MULTIPOINT ((173078.673 508973.348))
O10002_Bomenkaart_OD.679,2012,Boomgroep boom,Alnus spaethii 'Spaeth',Els,Boom,MULTIPOINT ((173000.144 509039.475))
O10002_Bomenkaart_OD.680,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174357.223 500383.136))
O10002_Bomenkaart_OD.681,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174317.364 500239.825))
O10002_Bomenkaart_OD.682,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174444.22 500574.245))
O10002_Bomenkaart_OD.683,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174328.338 500319.592))
O10002_Bomenkaart_OD.684,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174241.168 500128.8))
O10002_Bomenkaart_OD.685,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174389.434 500398.759))
O10002_Bomenkaart_OD.686,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174293.36 500243.44))
O10002_Bomenkaart_OD.687,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174560.508 500781.553))
O10002_Bomenkaart_OD.688,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((174555.178 500828.929))
O10002_Bomenkaart_OD.689,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((171436.257 497648.08))
O10002_Bomenkaart_OD.690,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((171779.254 497908.809))
O10002_Bomenkaart_OD.691,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((170984.802 497236.185))
O10002_Bomenkaart_OD.692,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((170540.549 496858.957))
O10002_Bomenkaart_OD.693,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((171404.121 497591.838))
O10002_Bomenkaart_OD.694,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((171638.451 497776.283))
O10002_Bomenkaart_OD.695,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((172738.931 498590.373))
O10002_Bomenkaart_OD.696,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((170979.953 497262.129))
O10002_Bomenkaart_OD.697,1995,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((172350.256 498302.625))
O10002_Bomenkaart_OD.698,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((171336.848 497535.146))
O10002_Bomenkaart_OD.699,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((169345.05 496061.636))
O10002_Bomenkaart_OD.700,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((172510.79 498421.656))
