FID,aanlegjaar,type,soortnaam_lat,soortnaam_ned,categorie,geometrie
O10002_Bomenkaart_OD.81,1994,Knotboom,Salix alba 'Chermesina',Wilg,Boom,MULTIPOINT ((176128.641 503286.206))
O10002_Bomenkaart_OD.82,2000,Straat- / laanboom,Quercus robur,Zomereik,Boom,MULTIPOINT ((176052.934 503760.586))
O10002_Bomenkaart_OD.83,1999,Solitaire boom,Quercus robur 'Fastig. Koster',Zuileik,Boom,MULTIPOINT ((177319.579 506132.166))
O10002_Bomenkaart_OD.84,2004,Solitaire boom,Carpinus betulus 'Frans Fontaine',Haagbeuk,Boom,MULTIPOINT ((177894.489 502808.64))
O10002_Bomenkaart_OD.85,1980,Straat- / laanboom,Robinia pseudoacacia 'Bessoniana',Acacia,Boom,MULTIPOINT ((177829.97 503861.48))
O10002_Bomenkaart_OD.86,1985,Straat- / laanboom,Populus canadensis 'Robusta',Canadapopulier,Boom,MULTIPOINT ((178032.563 505757.398))
O10002_Bomenkaart_OD.87,1985,Straat- / laanboom,Acer platanoides 'Emerald Queen',Esdoorn,Boom,MULTIPOINT ((178202.419 502741.43))
O10002_Bomenkaart_OD.88,1980,Straat- / laanboom,Fraxinus excelsior 'Altena',Es,Boom,MULTIPOINT ((178289.432 504465.639))
O10002_Bomenkaart_OD.89,2004,Solitaire boom,Metasequoia glyptostroboides,Moerascypres,Boom,MULTIPOINT ((176454.437 505216.757))
O10002_Bomenkaart_OD.90,2004,Straat- / laanboom,Tilia cordata 'Bohlje',Kleinbladige linde,Boom,MULTIPOINT ((176254.434 505104.415))
O10002_Bomenkaart_OD.91,2008,Straat- / laanboom,Ginkgo biloba 'Princeton Sentry',Japanse notenboom,Boom,MULTIPOINT ((175489.223 505105.43))
O10002_Bomenkaart_OD.92,1969,Straat- / laanboom,Populus canadensis 'Robusta',Canadapopulier,Boom,MULTIPOINT ((178776.093 505611.87))
O10002_Bomenkaart_OD.93,1980,Straat- / laanboom,Acer pseudopl. 'Negenia',Esdoorn,Boom,MULTIPOINT ((177840.465 504888.834))
O10002_Bomenkaart_OD.94,1994,Straat- / laanboom,Platanus acerifolia,Plataan,Boom,MULTIPOINT ((178483.856 505317.815))
O10002_Bomenkaart_OD.95,1980,Straat- / laanboom,Robinia pseudoacacia 'Bessoniana',Acacia,Boom,MULTIPOINT ((178458.669 504545.1))
O10002_Bomenkaart_OD.96,1980,Straat- / laanboom,Robinia pseudoacacia 'Bessoniana',Acacia,Boom,MULTIPOINT ((178429.889 504408.94))
O10002_Bomenkaart_OD.97,1985,Straat- / laanboom,Populus canadensis 'Robusta',Canadapopulier,Boom,MULTIPOINT ((178184.333 505651.953))
O10002_Bomenkaart_OD.98,1998,Straat- / laanboom,Populus canadensis 'Robusta',Canadapopulier,Boom,MULTIPOINT ((178041.53 505752.972))
O10002_Bomenkaart_OD.99,1997,Straat- / laanboom,Populus canadensis 'Robusta',Canadapopulier,Boom,MULTIPOINT ((178369.967 504652.225))
O10002_Bomenkaart_OD.100,1990,Straat- / laanboom,Alnus cordata,Els,Boom,MULTIPOINT ((178275.957 504399.002))
O10002_Bomenkaart_OD.101,2015,Lei- / vormboom,Robinia pseudoacacia 'Umbraculifera,Bolacacia,Boom,MULTIPOINT ((176688.467 505191.531))
O10002_Bomenkaart_OD.102,1980,Straat- / laanboom,Fraxinus excelsior,Es,Boom,MULTIPOINT ((177567.97 504411.478))
O10002_Bomenkaart_OD.103,1994,Straat- / laanboom,Tilia europaea 'Pallida',Koningslinde,Boom,MULTIPOINT ((176162.609 503049.96))
O10002_Bomenkaart_OD.104,1989,Straat- / laanboom,Acer platanoides 'Emerald Queen',Esdoorn,Boom,MULTIPOINT ((177474.589 502572.34))
