Leveranciers;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
In2Content B.V.;;;;;;2;2
Incassobureau Plaggemars;;1;;;;;1
Infinity;;;;;;2;2
ING Commercial Cards;;1;;;;1;1
INGRADO;;1;;;;;1
International Card Services B.V.;;1;;;;;1
Internedservices;;;;;;1;1
Into The Tune;;1;;;;;1
IPMA - NL;;1;;;;;1
IPMA Certificering B.V.;;1;;;;;1
Iris Broersma Erfgoedzorg;;;;;;1;1
Ivo Broekhuizen Communicatie;;;;;;1;1
J. Stapel;;;;;1;;1
J.C. Hemmes VT;;1;;;;;1
J.F. van Boeckel;;;;;;1;1
J.J.A.Knoest;;;1;;;;1
J.J.G. van Leeuwen;;;;;;1;1
Jaarbeurs B.V.;;;;;;1;1
Jachmin Pinedo Productions;;;;;;1;1
Jan Willem Franken;;;;;1;;1
Jasperse producties;;;;;;1;1
JJ Creative;;;;;;1;1
Joep Buijs;;;;;1;;1
John Nurminen Prima;;;;;2;;2
Josje Deekens Fotografie;;;;;;1;1
Julian Ross Translator;;;1;;;1;1
Just Marie;;;;;1;;1
Kai Dieho Camera;;;;;;1;1
Karen Polder;;;;;;1;1
Kiss The Frog B.V.;;;;;;2;2
Klomp Bizzprint B.V.;;;;1;;;1
Knag;;1;;;;;1
Kon. Ned. Veren. van Informatieprofessionals;;1;;;;;1
Kon. Nl. Genootsch. voor Gesl.- en Wapenkunde;;1;;;;;1
Kon. Verenig. van Archivarissen in Nederland;;1;;;1;;1
Koninklijk Nederlands Historisch Genootschap;;1;;;;;1
Koro Print;;;;;;1;1
KPN B.V.;;;;;1;;1
Kuijpers t.h.o.d.n. Run2Day Den Haag;;;;;1;;1
Kuilder, E.;;;;;;1;1
L.A. de Moor;;;;;;1;1
LEDvertiser.nl B.V.;;;;;;1;1
Leenheer, P;;;;;;1;1
Leukeleu B.V.;;;;;;1;1
Lexis Nexis Benelux BV;;1;;;;;1
Lieve d'Hont;;;;;;1;1
Linschoten-Vereeniging;;1;;;;;1
LNR Globalcom B.V.;;;;;;1;1
Logicworks BV;;;;;;1;1
Loopbaanvisie Kloosterhof;;1;;;;;1
Luckies of London Ltd;;;;;;1;1
Lucrees van Groningen;;;;;;1;1
M.A. Dolman;;;;;;1;1
M.H.G.M. van Fessem;;;;1;;;1
Maarten van der Meer;;;;;1;;1
Macro B.V.;;2;;;;;2
Magenta Communicatieprojecten B.V.;;1;;;;;1
Mainpress B.V.;;3;;;;;3
Mainpress BV;;1;;;;;1
Management Media B.V.;;1;;;;;1
MANU2U;;;;;1;;1
MarcelisDékavé B.V.;;1;;;;;1
Marie Baarspul;;;;;;1;1
Marijke Bovens;;;;;;1;1
Maritiem Museum Rotterdam;;;;;;1;1
Marjon van den Broek Visagie;;;;;;1;1
Martijn Beekman Fotografie;;;;;;1;1
Martina, P.;;;;;;1;1
Maters en Hermsen bedrijfsjournalis;;;;;;1;1
Maureen Cuisine;;;;;1;;1
Maypress;;;;;;1;1
Media Info Groep B.V.;;;;;;1;1
Mediamento;;;;;1;;1
Mediawerf;;1;;;;;1
M-Effect;;;;;;2;2
Merel Huisink;;;;;;1;1
Metalet B.V.;;;;;;1;1
Metropolisfilm Post-Production B.V.;;;;;;1;1
Mijnwerk, tekst & redactie;;;;;;1;1
Moby Dick;;1;;;;;1
Murray Media C.V.;;1;;;;;1
Museum Boerhaave;;;;;;1;1
Museum Rotterdam;;;;;;1;1
N. Naaktgeboren;;;;;;1;1
N200.Com B.V.;;;;;1;;1
Naaijkens, E.;;;;;;1;1
nai010 uitgevers/publishers;;;;;;1;1
Nancy Jouwe;;;;;1;;1
Nanette de Jong Fotografie;;;;;;2;2
Nassau Uitvaartgroep;;;;;;1;1
Nationaal Monumentencongres;;;;;2;;2
NATIONAAL ONDERWIJSMUSEUM;;;;;;1;1
National Bureau of;;1;;;;;1
National Bureau of Economic Research;;1;;;;;1
National Gallery of Australia;;;;;;1;1
Nationale Beeldbank;;;;;;1;1
NDC mediagroep B.V.;;1;;;;1;2
Nederl. Ber.ver. voor Contractmanagement;;1;;;;;1
Nederl. Vereniging Amateurtheaterbibliotheek;;1;;;;;1
Nederland. Vereniging voor Aanbestedingsrecht;;1;;;;;1
Nederlands Fotogenootschap;;1;;;;;1
Nederlands Openluchtmuseum;;;;;1;;1
Nederlandse Vereniging voor wetgeving;;1;;;;;1
Nederlandse Vereniging voor Zeegeschiedenis;;1;;;;;1
NEVI-Purspective B.V.;;1;;;;;1
NLJUG B.V.;;1;;;;;1
NOS;;;;;;1;1
NVE;;1;;;;;1
NVS-NVL schooldecanen, loopbaanbegel.;;1;;;;;1
OGZ B.V.;;;;;;1;1
Onderzoek Nederland Publicaties BV;;1;;;;;1
ONE Business B.V.;;1;;;;;1
ONLYHUMAN BV;;;;;;2;2
Ontwerpwerk B.V.;;;;;;2;2
Op het puntje;;;;;;1;1
Optima Forma;;;;;;1;1
Orakel BVBA;;;;;;1;1
P D C Informatie Architectuur;;;;;;1;1
Papieren Spiegel;;;;;1;;1
Papieren Tijger Beheer B.V.;;1;;;;;1
Paradies Licht;;;;;;2;2
PBLQ B.V.;;2;;;;;2
Pelsdonk;;;;;;1;1
Performa Uitgeverij B.V.;;1;;;;;1
Periplus Archeomare BV;;;;;;1;1
Persbureau Zwolle;;;;1;;;1
Peter Tetteroo Media B.V.;;;;;;2;2
Pharus;;;;;;1;1
Piet Hoevenaars Belettering;;;;;;1;1
Piket Glas B.V.;;;;;;1;1
PKMvR heritage research consultancy;;;;;;1;1
Plein 9 A B.V.;;;;;1;;1
Poldervondsten B.V.;;1;;;;;1
PR-Dashboard;;1;;;;;1
Printxpress;;;;;;1;1
Prof. dr. A.A. van Stipriaan Lu�scius;;;;;1;;1
Professional Strategies;;;;;1;;1
Prosu Media Producties;;1;;;;;1
Public Cinema;;;;;;1;1
Publiek Denken;;;;;;1;1
Puijk, B.M.A.;;1;;;;;1
PvIB: Platform voor informatiebeveiliging;;1;;;;;1
Qubicx B.V.;;;;;;1;1
R. Nasr;;;;;;1;1
R.J.M. Adam;;;;;;1;1
Ram�n Middelkoop Design;;;;;;1;1
RaphaÃ«l Rijntjes;;;;;;1;1
Rechtnet B.V.;;1;;;;;1
ReChurch;;;;;;2;2
Reggie Baay;;;;;1;;1
Rendement Uitgeverij BV;;1;;;;;1
Res Nova, Culturele Kennisbemiddeling;;;;;;1;1
Resatec B.V.;;;;;;1;1
Restruct Web;;;;;;1;1
Riboglas Glashandel B.V.;;;;;;1;1
RIQ software development B.V.;;;;;;1;1
Ruben Jorksveld;;;;;;1;1
Ruben Schipper fotografie VOF;;;;;;1;1
Ruimtevolk;;;;;;2;2
Ruiter, mw. J.A. de;;;;;;1;1
Ruud de Voijs;;;;;1;;1
S. Lovegrove;;;;;;1;1
S. Wurnig;;1;;;;;1
Saba Roads & Construction BV;;;;;1;;1
Sabel Communicatie;;;;;;1;1
SC Carservice;;1;;;;;1
Schnater, T.;;;;;1;;1
SchoonProducties;;;;;1;;1
SDB Media B.V.;;;;;;1;1
SDU Uitgevers BV;;1;;;;;1
Sectra Communications BV;;1;;;;;1
Security Press B.V.;;1;;;;;1
Serge Technau fotografie;;;;;;2;2
Shootmedia;;;;;;1;1
Simen Brunia;;;;;;1;1
Simone de Groot beeldend kunstenaar;;;;;1;;1
SlimWerk;;;;;1;;1
Spekmen Productions;;;;;1;;1
Springer Media B.V.;;1;;;;;1
StadscafÃ© De Observant;;;;;1;;1
Star Project b.v.;;;;;1;;1
Staveren, E. van;;;;;;1;1
Steenbok Beheer B.V.;;1;;;;;1
SteenhuisMeurs Vennebroek B.V.;;;;;1;;1
Stg. Kennisinst. Cultuuredu. en Amateurkunst;;;;;1;;1
Stg. Maandblad voor Acc. en Bedrijfseconomie;;1;;;;;1
Stg. Monum. of The Dutch West India Comp.;;;;;1;;1
Stg. ter bevordering v.d. Podiumkunst in Ned.;;1;;;;;1
Stg. tot Beheer Museum Boijmans Van Beuningen;;;;;;1;1
Stichting A.I.E.S.E.C.-Groningen;;1;;;;;1
Stichting Administratiekantoor BIS;;;;;1;;1
Stichting Administratiekantoor Mobypicture;;;;2;;;2
Stichting Amersfoort in C;;;;;1;;1
Stichting Beheer Derdengeleden i-ee;;;;;;1;1
Stichting CLUB GEWALT;;;;;;1;1
Stichting De Rots;;;;;;1;1
Stichting De Schrijverscentrale;;;;;1;;1
Stichting De Snuffelmuis;;1;;;;;1
Stichting DOMunder;;;;;1;;1
Stichting Dutch Creative Residency Network;;;;;;1;1
Stichting Educatie Studio;;;;;1;;1
Stichting Eureducation;;;;;;1;1
Stichting Groniek;;;;;;1;1
Stichting het Rijksmuseum;;;;;1;;1
Stichting Histor. Sluizen en Stuwen Nederland;;;;;;1;1
Stichting Historische Interieurs A'dam;;;;;;1;1
Stichting Landschapstriënnale;;;;;2;;2
Stichting Leidschrift;;1;;;;;1
Stichting Marketing Groningen;;;;2;;;2
Stichting Metaaltijdenonderzoek;;;;;1;;1
Stichting Migratierecht Nederland;;1;;;;;1
Stichting Museum Drachten;;;;;1;;1
Stichting Museum Tromp's Huys;;;;;;1;1
Stichting Nationaal Comit� 4 en 5 mei;;;;;1;;1
Stichting Natuurprojecten Liempde;;;;;;1;1
Stichting Openbare Bibliotheek Almere;;;;;;1;1
Stichting Philia;;;;;1;;1
Stichting Rabarber;;;;;;1;1
Stichting Reuvens;;;;;1;;1
Stichting Spaarnestad Photo;;;;;;1;1
Stichting Stimulering Onderwijsjour;;1;;;;;1
Stichting Stoomhoutzagerij Nahuis;;;;;1;;1
Stichting The Hague Marketing Bureau;;;;1;;1;1
Stichting Verduurzaming Musea;;;;;;1;1
Stiggelbout Slagwerk;;;;;;1;1
Stoffeerderij Mostert;;;;;;1;1
STS B.V.;;1;;;;;1
Studio Buitenhof 5;;;;;;2;2
Studio Flek;;;;;;2;2
Studio Nieuwe Weide;;;;;1;1;1
Studio Tint;;;;;;2;2
Switch Adv.bur., Studie en beroepsloopbaan;;;;;;1;1
T.I.D.;;;;;;1;1
Taffijn-Context;;;;;;1;1
Tapes Amsterdam B.V.;;;;;;1;1
Tapir B.V.;;;;;;1;1
Tasty Lemon B.V.;;;;;1;;1
Tegenwind Grafisch Ontwerpburo;;;;;;1;1
Teksten voor musea;;;;;;1;1
Telegraaf Media Groep N.V.;;1;;;;;1
Ten Brink Uitgevers B.V.;;1;;;;;1
The Green Land B.V.;;;;;2;;2
The Meetplant B.V.;;;;;1;;1
Thea van den Heuvel;;;;;;1;1
Thieme Meulenhoff BV;;1;;;;;1
Thijss;;1;;;;;1
Things To Make And Do B.V.;;;;;;1;1
Thomas Dresscher;;;;;;1;1
Tijmen Lohmeijer;;;;;;1;1
Tintelingen B.V.;;;;1;;;1
TMG Landelijke Media B.V.;;1;;;;;1
TRConsult B.V.;;;;;1;;1
Trouw B.V.;;1;;;;;1
Trouw BV;;1;;;;;1
Turnaround Communicatie;;;;;;1;1
Uitgeverij Paris B.V.;;1;;;;;1
Uitgeverij Spiegel Historiael B.V.;;;;;;1;1
Uitgeverij Verloren B.V.;;1;;;;;1
uNiek-Design;;;;;;1;1
Vakmedianet BouwCommunities B.V.;;1;;;;;1
Vakmedianet Management B.V.;;1;;;;;1
Valerie Kuypers Fotografie;;;;;;1;1
Van der Kroft's Party Rental;;;;;;1;1
Van der Sprong Service;;;;;;1;1
Van Stockum Boekverkopers;;1;;1;;;1
Vecon;;1;;;;;1
Ver. voor Klachtrecht in de publieke sector;;1;;;;;1
Vereniging Hogescholen;;1;;;;;1
Vereniging Leraren Opleiders Nederland;;1;;;;;1
Vereniging Nederland Filantropieland;;1;;;;;1
Vereniging voor Overheidsmanagement;;1;;;;;1
Verschueren, M;;;;;;1;1
Verus, Ver. v. katholiek en christ. onderwijs;;1;;;;;1
Viadesk BV;;1;;;;;1
Videm Communicatie;;;;;;2;2
Villa Augustus B.V.;;;;;;1;1
Virtumedia;;1;;;;;1
Virtumedia B.V.;;;;;;1;1
Vitam;;;;;;1;1
Vogels, M.;;;;;;1;1
Vonhof Video;;;;;;1;1
VOS/ABB;;1;;;;;1
Vr. vh Conc.geb. eh Koninkl, Conc.gebouwork.;;;;1;;;1
Vrij & Visie B.V.;;;;;;1;1
Vrolijk Scheveningen;;;;;;1;1
Vromans Design;;;;;;2;2
Webstate BV;;;;;;1;1
Werve van den, P.;;;;1;;;1
Wesseling Banket B.V.;;;;;1;;1
Wijmans, W.;;;;;;2;2
Wijz werkt!;;;;;;2;2
Wilkens c.s.;;;1;;;;1
Wim van der Ende;;;;;;1;1
Wolters Kluwer Nederland;;1;;;;;1
Wouter van der Sar Photography;;;;;;2;2
Xerox (Nederland) B.V.;;;;1;1;5;5
Zwaan Printmedia;;;;;;1;1
Eindtotaal;2;4;1;3;4;7;7
