FID,soort_kuns,globalid,codebpn,disk_beh_o,districtna,objectnaam,objecttype,nummer,risicoaand,materiaal,status,beheersreg,contract,opmerking,info1,info2,info3,info4,info5,stichtings,muteerder,mutatie,geobron,hoofdwater,watersyste,watersys_1,subcat,zijde,km,element,beheerder,eigenaar,onderhoude,monument,se_anno_cad_data,gdb_geomattr_data,shape
kunstwerk_punt.14,30,{47DBB5D5-3AE5-4A15-A206-BA115D097A93},"109A.KA.-.971,664",44B-002-01,WNZ Z,Meerpaal 4 van 7 loswal binnenzijde Spieringsluis,Meerpaal, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-03-25T00:00:00,DTB,Rijn-Maasmonding,Middendeel,109A,KA,-,971.664,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (112028.10300000012 421227.0689999983)
kunstwerk_punt.15,30,{D8445D3C-BDA0-425F-A591-D1984E88C3DF},"109A.KA.-.971,665",44B-002-01,WNZ Z,Meerpaal 5 van 7 loswal binnenzijde Spieringsluis,Meerpaal, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-03-25T00:00:00,DTB,Rijn-Maasmonding,Middendeel,109A,KA,-,971.665,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (112035.01900000125 421223.38800000027)
kunstwerk_punt.16,30,{FD1846CF-924D-427B-A18C-F8FB49161AA9},"109A.KA.-.971,666",44B-002-01,WNZ Z,Meerpaal 6 van 7 loswal binnenzijde Spieringsluis,Meerpaal, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-03-25T00:00:00,DTB,Rijn-Maasmonding,Middendeel,109A,KA,-,971.666,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (112041.96200000122 421219.52800000086)
kunstwerk_punt.17,30,{AAB4E275-3D5C-43DC-8B09-3647A98460D2},"109A.KA.-.971,667",44B-002-01,WNZ Z,Meerpaal 7 van 7 loswal binnenzijde Spieringsluis,Meerpaal, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-04-09T00:00:00,DTB,Rijn-Maasmonding,Middendeel,109A,KA,-,971.667,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (112048.95800000057 421215.7270000018)
kunstwerk_punt.18,30,{C7A3A0C8-35E2-4C48-84C4-A66A57277A0F},"109C.KA.-.7,017",44B-003-01,WNZ Z,Tuigsteiger Ottersluis Nieuwe Merwede zijde,Meerpaal, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109C,KA,-,7.017,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (111935.50899999961 422777.40900000185)
kunstwerk_punt.19,30,{29644342-4989-4BC5-9A1D-D40C09EC46BA},"109C.KA.-.7,018",44B-003-01,WNZ Z,Tuigsteiger Ottersluis Nieuwe Merwede zijde,Meerpaal, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109C,KA,-,7.018,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (111939.67599999905 422771.6339999996)
kunstwerk_punt.20,30,{51CE78E8-1CD6-414C-9546-E8F5038CD620},"109C.KA.-.7,019",44B-003-01,WNZ Z,Tuigsteiger Ottersluis Nieuwe Merwede zijde,Meerpaal, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109C,KA,-,7.019,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (111943.52600000054 422766.01900000125)
kunstwerk_punt.21,35,{3BD983AF-F73C-45BD-B181-E14CD91A16B2},"109C.KM.-.7,051",44B-003-01,WNZ Z,Ducdalf 1 Buitenhoofd Ottersluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109C,KM,-,7.051,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (111969.1400000006 422790.48000000045)
kunstwerk_punt.22,35,{0EC13883-40BA-4C51-B9B8-0E5B84BB8EFA},"109C.KM.-.7,061",44B-003-01,WNZ Z,Ducdalf 2 Buitenhoofd Ottersluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109C,KM,-,7.061,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (111978.75699999928 422779.25)
kunstwerk_punt.23,35,{B10D705D-ABE9-4895-9E7D-AA0EE41522AF},"109C.KM.-.7,071",44B-003-01,WNZ Z,Ducdalf 3 Buitenhoofd Ottersluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109C,KM,-,7.071,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (111988.26000000164 422768.04300000146)
kunstwerk_punt.24,35,{4F99412E-8043-4938-99CA-A1726AF9679C},"109C.KM.-.7,081",44B-003-01,WNZ Z,Ducdalf 4 Buitenhoofd Ottersluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109C,KM,-,7.081,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (111997.96999999881 422757.0229999982)
