FID,GML_ID,ID,CODE,NAAM,LAT,LON,ACTIEF,PLAATSNAAM,RDX,RDY,GEMEENTE,WIJK,PLAATS,HUISNUMMERS,POSTCODE,STRAAT,AANDUIDING,BOUWJAAR,LEVENSDUUR,VERVANGJAAR,FOTO,DD_BIJGEWERKT,GEOMETRIE
SPL_SPEELPLEKKEN.75576,Speelplekken.fid--26bbd5c6_18613012ba5_5202,75576,00.07,Muchterplaats,51.84820722,5.86664543,true,Nijmegen Centrum,188035.39,428957.02,Nijmegen,00 Benedenstad,Nijmegen Centrum,41,6511TX,Muchterplaats,Binnenterrein,2009,10,2019,https://www.absweb.nu/Fotos/gemeentenijmegen/75576/JPEG_20220706_082950_5248343617641037639.jpg,2023-02-03,POINT (188035.39 428957.02)
SPL_SPEELPLEKKEN.75577,Speelplekken.fid--26bbd5c6_18613012ba5_5203,75577,00.08,Karthuizerhof,51.84932903,5.8568181,true,Nijmegen Centrum,187357.45,429077.4,Nijmegen,00 Benedenstad,Nijmegen Centrum,4,6511ZD,Karthuizerhof,Voormalige veemarkt,2009,10,2019,https://www.absweb.nu/Fotos/gemeentenijmegen/75577/JPEG_20230102_095359_2451887377665646924.jpg,2023-02-03,POINT (187357.45 429077.4)
SPL_SPEELPLEKKEN.75578,Speelplekken.fid--26bbd5c6_18613012ba5_5204,75578,00.09,Vinkengas,51.849213,5.86214777,true,Nijmegen Centrum,187724.76,429066.88,Nijmegen,00 Benedenstad,Nijmegen Centrum,7,6511WC,Vinkengas,Oude Haven 112 achterkant,2005,15,2020,https://www.absweb.nu/Fotos/gemeentenijmegen/75578/JPEG_20220706_081119_4954902168337271073.jpg,2023-02-03,POINT (187724.76 429066.88)
SPL_SPEELPLEKKEN.75579,Speelplekken.fid--26bbd5c6_18613012ba5_5205,75579,00.11,Lutherseplaats,51.849404,5.864182,true,Nijmegen Centrum,187864.78,429089.05,Nijmegen,00 Benedenstad,Nijmegen Centrum,10,6511VN,Lutherseplaats,Ingang Vischmarkt,2007,15,2022,https://www.absweb.nu/Fotos/gemeentenijmegen/75579/JPEG_20220706_082045_1428018404279533782.jpg,2023-02-03,POINT (187864.78 429089.05)
SPL_SPEELPLEKKEN.75580,Speelplekken.fid--26bbd5c6_18613012ba5_5206,75580,00.12,Oude Haven sportplaats (MV),51.849787,5.861032,true,Nijmegen Centrum,187647.46,429130.24,Nijmegen,00 Benedenstad,Nijmegen Centrum,88,6511XE,Oude Haven,Achter keermuur ,2010,15,2025,https://www.absweb.nu/Fotos/gemeentenijmegen/75580/JPEG_20220706_072021_8906457026115955216.jpg,2023-02-03,POINT (187647.46 429130.24)
SPL_SPEELPLEKKEN.75571,Speelplekken.fid--26bbd5c6_18613012ba5_5207,75571,00.05,Kloosterhof,51.848848,5.859257,true,Nijmegen Centrum,187525.84,429024.98,Nijmegen,00 Benedenstad,Nijmegen Centrum,13,6511WZ,Kloosterhof,Ingang Observantenplaats,2009,10,2019,https://www.absweb.nu/Fotos/gemeentenijmegen/75571/JPEG_20220706_071323_7338341712552396500.jpg,2023-02-03,POINT (187525.84 429024.98)
SPL_SPEELPLEKKEN.75804,Speelplekken.fid--26bbd5c6_18613012ba5_5208,75804,00.13,Eiermarkt sportplaats (EV),51.847454,5.866844,true,Nijmegen Centrum,188049.63,428873.31,Nijmegen,00 Benedenstad,Nijmegen Centrum,14,6511TL,Eiermarkt,Dak Parkeergarage,2003,20,2023,https://www.absweb.nu/Fotos/gemeentenijmegen/75804/JPEG_20220706_084117_7094771348672205868.jpg,2023-02-03,POINT (188049.63 428873.31)
SPL_SPEELPLEKKEN.75859,Speelplekken.fid--26bbd5c6_18613012ba5_5209,75859,00.00,Papengas zwembadje sportplaats (EV),51.848434,5.860041,true,Nijmegen Centrum,187580.16,428979.27,Nijmegen,00 Benedenstad,Nijmegen Centrum,10,6511WT,Papengas,Oude Weeshuis,2006,12,2018,https://www.absweb.nu/Fotos/gemeentenijmegen/75859/JPEG_20220706_071156_9049733220663182103.jpg,2023-02-03,POINT (187580.16 428979.27)
SPL_SPEELPLEKKEN.75572,Speelplekken.fid--26bbd5c6_18613012ba5_520a,75572,01.02,Kronenburgerpark,51.845756,5.858543,true,Nijmegen Centrum,187478.88,428680.66,Nijmegen,01 Centrum,Nijmegen Centrum,,6511BE,Kronenburgerpark,Naast dierenweide,2006,20,2026,https://www.absweb.nu/Fotos/gemeentenijmegen/75572/JPEG_20220706_065546_3958044268756905328.jpg,2023-02-03,POINT (187478.88 428680.66)
SPL_SPEELPLEKKEN.189667,Speelplekken.fid--26bbd5c6_18613012ba5_520b,189667,01.13,Gedeputeerdenplaats Stadhuis informatietafel,51.84694345,5.86561922,true,Nijmegen Centrum,187965.61,428815.95,Nijmegen,01 Centrum,Nijmegen Centrum,,,Burgstraat,,,0,,https://www.absweb.nu/Fotos/gemeentenijmegen/189667/3.JPG,2023-02-03,POINT (187965.61 428815.95)
SPL_SPEELPLEKKEN.166146,Speelplekken.fid--26bbd5c6_18613012ba5_520c,166146,01.02,Hunnerpark,51.8469057,5.8730574,true,Nijmegen Centrum,188478.17,428815.15,Nijmegen,01 Centrum,Nijmegen Centrum,,,Hunnerpark,,,0,,,2023-02-03,POINT (188478.17 428815.15)
SPL_SPEELPLEKKEN.75573,Speelplekken.fid--26bbd5c6_18613012ba5_520d,75573,02.11,Ir. Weverstraat Sportplaats (EV),51.83416443,5.85745067,true,Nijmegen Oost,187411.95,427390.57,Nijmegen,02 Bottendaal,Nijmegen Oost,2,6512JS,Ir. Weverstraat,Semmelinckstraat,2008,15,2023,https://www.absweb.nu/Fotos/gemeentenijmegen/75573/JPEG_20220621_135638_4846972506784723918.jpg,2023-02-03,POINT (187411.95 427390.57)
SPL_SPEELPLEKKEN.75790,Speelplekken.fid--26bbd5c6_18613012ba5_520e,75790,02.12,Stephanustuin / het Kraaiennest Stichting,51.83707815,5.85487615,true,Nijmegen Oost,187232.42,427713.59,Nijmegen,02 Bottendaal,Nijmegen Oost,94,6512HX,St. Stephanusstraat,St. Stephanusstraat ,2005,15,2020,https://www.absweb.nu/Fotos/gemeentenijmegen/75790/JPEG_20221005_073129_5090105657370010062.jpg,2023-02-03,POINT (187232.42 427713.59)
SPL_SPEELPLEKKEN.75581,Speelplekken.fid--26bbd5c6_18613012ba5_520f,75581,02.01,Dulckenstraat van,51.83893335,5.85786642,true,Nijmegen Oost,187437.17,427921.31,Nijmegen,02 Bottendaal,Nijmegen Oost,29,6512DS,van Dulckenstraat ,van Dulckenstraat 29 binnenterrein,2004,14,2018,https://www.absweb.nu/Fotos/gemeentenijmegen/75581/JPEG_20220621_144058_6304082234489583630.jpg,2023-02-03,POINT (187437.17 427921.31)
SPL_SPEELPLEKKEN.75582,Speelplekken.fid--26bbd5c6_18613012ba5_5210,75582,02.02,Willem Barentzstraat,51.83724925,5.85712287,true,Nijmegen Oost,187387.14,427733.62,Nijmegen,02 Bottendaal,Nijmegen Oost,15,6512HN,Willem Barentzstraat,Ingang Stephanusstraat,2004,14,2018,https://www.absweb.nu/Fotos/gemeentenijmegen/75582/JPEG_20220621_142922_6585252785621022786.jpg,2023-02-03,POINT (187387.14 427733.62)
SPL_SPEELPLEKKEN.75583,Speelplekken.fid--26bbd5c6_18613012ba5_5211,75583,02.04,Karel Doormanstraat 1,51.83580912,5.85705082,true,Nijmegen Oost,187383.21,427573.37,Nijmegen,02 Bottendaal,Nijmegen Oost,1,6512JJ,Karel Doormanstraat,Achter huisnummer 1,2009,10,2019,https://www.absweb.nu/Fotos/gemeentenijmegen/75583/JPEG_20220621_140511_8968581252896674705.jpg,2023-02-03,POINT (187383.21 427573.37)
SPL_SPEELPLEKKEN.75585,Speelplekken.fid--26bbd5c6_18613012ba5_5213,75585,02.06,Willem Barentzstraat 14,51.83775673,5.85729433,true,Nijmegen Oost,187398.59,427790.16,Nijmegen,02 Bottendaal,Nijmegen Oost,14,6512GA,Willem Barentzstraat,Achter huisnummer 14 ,2004,20,2024,https://www.absweb.nu/Fotos/gemeentenijmegen/75585/JPEG_20220621_143538_5354979201537714883.jpg,2023-02-03,POINT (187398.59 427790.16)
SPL_SPEELPLEKKEN.75586,Speelplekken.fid--26bbd5c6_18613012ba5_5214,75586,02.09,Karel Doormanstraat 2,51.8364045,5.8572137,true,Nijmegen Oost,187394.01,427639.68,Nijmegen,02 Bottendaal,Nijmegen Oost,2,6512JJ,Karel Doormanstraat,Achter huisnummer 2,2004,20,2024,https://www.absweb.nu/Fotos/gemeentenijmegen/75586/JPEG_20220621_140948_6628769647939033606.jpg,2023-02-03,POINT (187394.01 427639.68)
SPL_SPEELPLEKKEN.75587,Speelplekken.fid--26bbd5c6_18613012ba5_5215,75587,03.04,Palembangstraat deels sportplaats (EV),51.83515545,5.86555013,true,Nijmegen Oost,187969.48,427504.47,Nijmegen,03 Galgenveld,Nijmegen Oost,22,6524LD,Palembangstraat,Palembangstraat / Atjehstraat,2004,20,2024,https://www.absweb.nu/Fotos/gemeentenijmegen/75587/JPEG_20220629_144122_4737249335587981489.jpg,2023-02-03,POINT (187969.48 427504.47)
SPL_SPEELPLEKKEN.75588,Speelplekken.fid--26bbd5c6_18613012ba5_5216,75588,03.05,Prof. de Langen Wendelsstraat,51.8328086,5.8682587,true,Nijmegen Oost,188157.89,427244.6,Nijmegen,03 Galgenveld,Nijmegen Oost,1,6524PZ,Professor de Langen Wendelsstraat,Wendelsstraat,2006,18,2024,https://www.absweb.nu/Fotos/gemeentenijmegen/75588/JPEG_20220623_143048_1901752517170500641.jpg,2023-02-03,POINT (188157.89 427244.6)
SPL_SPEELPLEKKEN.75850,Speelplekken.fid--26bbd5c6_18613012ba5_5217,75850,03.02,Oude Groenewoudseweg,51.83173407,5.8607776,true,Nijmegen Oost,187643.02,427121.67,Nijmegen,03 Galgenveld,Nijmegen Oost,276,6524WZ,Oude Groenewoudseweg,Langs spoorlijn,2006,15,2021,https://www.absweb.nu/Fotos/gemeentenijmegen/75850/JPEG_20230126_085417_5778898809532689197.jpg,2023-02-03,POINT (187643.02 427121.67)
SPL_SPEELPLEKKEN.75846,Speelplekken.fid--26bbd5c6_18613012ba5_5218,75846,03.01,Klein Heijendaal basisschool,51.83111182,5.86931203,true,Nijmegen Oost,188231.75,427056.31,Nijmegen,03 Galgenveld,Nijmegen Oost,1-3,6524NP,Prof. Huijbersstraat,Klein Heijendaal schoolplein,2006,15,2021,https://www.absweb.nu/Fotos/gemeentenijmegen/75846/JPEG_20220623_140705_1296039630517067150.jpg,2023-02-03,POINT (188231.75 427056.31)
SPL_SPEELPLEKKEN.75891,Speelplekken.fid--26bbd5c6_18613012ba5_5219,75891,03.03,Montessorischool deels sportplaats (MV),51.83478753,5.8691466,true,Nijmegen Oost,188217.63,427465.17,Nijmegen,03 Galgenveld,Nijmegen Oost,6,6524SL,Heijendaalseweg,Heijendaalseweg 6,2008,10,2018,https://www.absweb.nu/Fotos/gemeentenijmegen/75891/JPEG_20220121_133431_1997821107531296896.jpg,2023-02-03,POINT (188217.63 427465.17)
SPL_SPEELPLEKKEN.75901,Speelplekken.fid--26bbd5c6_18613012ba5_521a,75901,03.06,Javaplein Jeu de boulesbaan,51.83257588,5.8610753,true,Nijmegen Oost,187662.93,427215.46,Nijmegen,03 Galgenveld,Nijmegen Oost,10,6524MP,Javaplein,Javaplein,2008,10,2018,https://www.absweb.nu/Fotos/gemeentenijmegen/75901/JPEG_20220712_134009_4508310941713368347.jpg,2023-02-03,POINT (187662.93 427215.46)
SPL_SPEELPLEKKEN.112180,Speelplekken.fid--26bbd5c6_18613012ba5_521b,112180,03.07,Molukkenstraat Jeu de Boulesbaan,51.83349963,5.86507237,true,Nijmegen Oost,187937.76,427320.03,Nijmegen,03 Galgenveld,Nijmegen Oost,3,6524NN,Molukkenstraat,Achter appartementen bij vijver,2017,20,2037,https://www.absweb.nu/Fotos/gemeentenijmegen/112180/JPEG_20220712_133536_8480586734364152366.jpg,2023-02-03,POINT (187937.76 427320.03)
SPL_SPEELPLEKKEN.75892,Speelplekken.fid--26bbd5c6_18613012ba5_521c,75892,04.16,Daalseweg,51.83512252,5.87944767,true,Nijmegen Oost,188927.37,427507.2,Nijmegen,04 Altrade,Nijmegen Oost,366,6523CB,Daalseweg,Daalseweg,2008,10,2018,https://www.absweb.nu/Fotos/gemeentenijmegen/75892/JPEG_20220623_082741_9095021635995980808.jpg,2023-02-03,POINT (188927.37 427507.2)
SPL_SPEELPLEKKEN.75843,Speelplekken.fid--26bbd5c6_18613012ba5_521d,75843,04.07,Hobbemaplein sportplaats (EV),51.839157,5.8751877,true,Nijmegen Oost,188630.75,427954.07,Nijmegen,04 Altrade,Nijmegen Oost,14,6521LJ,Hobbemastraat,Hobbemaplein,2005,15,2020,https://www.absweb.nu/Fotos/gemeentenijmegen/75843/JPEG_20220713_100820_3997697327465079353.jpg,2023-02-03,POINT (188630.75 427954.07)
SPL_SPEELPLEKKEN.75825,Speelplekken.fid--26bbd5c6_18613012ba5_521e,75825,04.02,Truus Mastpark (EV),51.83681595,5.87389567,true,Nijmegen Oost,188543.45,427693.02,Nijmegen,04 Altrade,Nijmegen Oost,40,6521EH,Bachstraat,Bachstraat op terrein voormalig zwembad,2005,15,2020,https://www.absweb.nu/Fotos/gemeentenijmegen/75825/JPEG_20220713_083819_5143476313979845139.jpg,2023-02-03,POINT (188543.45 427693.02)
SPL_SPEELPLEKKEN.75826,Speelplekken.fid--26bbd5c6_18613012ba5_521f,75826,04.03,Julianapark skatepark sportplaats (EV),51.83827482,5.86884323,true,Nijmegen Oost,188194.15,427853.01,Nijmegen,04 Altrade,Nijmegen Oost,5,6521AD,Julianapark,Julianapark,2004,15,2019,https://www.absweb.nu/Fotos/gemeentenijmegen/75826/JPEG_20220713_085740_5290350258446093724.jpg,2023-02-03,POINT (188194.15 427853.01)
SPL_SPEELPLEKKEN.75829,Speelplekken.fid--26bbd5c6_18613012ba5_5220,75829,04.06,Beijensstraat sportplaats (EV) Jeu de Boules,51.8400796,5.87196253,true,Nijmegen Oost,188407.79,428055.22,Nijmegen,04 Altrade,Nijmegen Oost,53,6521EB,Beijensstraat,Ingang Daalseweg 100,2005,20,2025,https://www.absweb.nu/Fotos/gemeentenijmegen/75829/JPEG_20220713_093642_234143757094023843.jpg,2023-02-03,POINT (188407.79 428055.22)
SPL_SPEELPLEKKEN.75799,Speelplekken.fid--26bbd5c6_18613012ba5_5221,75799,04.08,Gorisstraat sportplaats (EV),51.83710133,5.87043072,true,Nijmegen Oost,188304.43,427723.18,Nijmegen,04 Altrade,Nijmegen Oost,46,6521CK,Gorisstraat,Pingpong plaats,2005,15,2020,https://www.absweb.nu/Fotos/gemeentenijmegen/75799/JPEG_20220713_085437_7679455576089036332.jpg,2023-02-03,POINT (188304.43 427723.18)
SPL_SPEELPLEKKEN.75805,Speelplekken.fid--26bbd5c6_18613012ba5_5222,75805,04.14,Jozef Israelstraat,51.83850975,5.8798892,true,Nijmegen Oost,188955.25,427884.25,Nijmegen,04 Altrade,Nijmegen Oost,12,6521MS,Jozef Israelstraat,Jozef Israelstraat,2003,15,2018,https://www.absweb.nu/Fotos/gemeentenijmegen/75805/JPEG_20230116_110937_2107170261501364897.jpg,2023-02-03,POINT (188955.25 427884.25)
SPL_SPEELPLEKKEN.75589,Speelplekken.fid--26bbd5c6_18613012ba5_5223,75589,04.01,"Daalseweg, bij kerkhof",51.83973683,5.87270878,true,Nijmegen Oost,188459.47,428017.43,Nijmegen,04 Altrade,Nijmegen Oost,108 A,6521GP,Daalseweg,"Daalseweg,bij kerkhof",2021,10,2031,https://www.absweb.nu/Fotos/gemeentenijmegen/75589/JPEG_20220713_093904_7681924726872389804.jpg,2023-02-03,POINT (188459.47 428017.43)
SPL_SPEELPLEKKEN.75591,Speelplekken.fid--26bbd5c6_18613012ba5_5224,75591,04.10,Poeyenstraat,51.840843,5.87272882,true,Nijmegen Oost,188460.03,428140.51,Nijmegen,04 Altrade,Nijmegen Oost,8,6521GW,Poeyenstraat,Naast huisnummer 8 ingang Daalsehof,2004,15,2019,https://www.absweb.nu/Fotos/gemeentenijmegen/75591/JPEG_20220713_094453_1230325278066136242.jpg,2023-02-03,POINT (188460.03 428140.51)
SPL_SPEELPLEKKEN.75592,Speelplekken.fid--26bbd5c6_18613012ba5_5225,75592,04.04,Stenenkruisstraat/ park,51.84066335,5.86846417,true,Nijmegen Oost,188166.27,428118.57,Nijmegen,04 Altrade,Nijmegen Oost,13,6521AC,Stenenkruisstraat/ park,Stenenkruisstraat/park,2005,15,2020,https://www.absweb.nu/Fotos/gemeentenijmegen/75592/JPEG_20220713_092530_5896917574603937147.jpg,2023-02-03,POINT (188166.27 428118.57)
