Ministerie;Leveranciers;9010 - GWW;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9410 - Lokale belastingen - waterschapslasten;9500 - AZ specifiek;9520 - BZK Specifiek;9530 - DEF specifiek;9540 - EZ Specifiek;9550 - FIN specifiek;9560 - I&M specifiek;9570 - OCW specifiek;9580 - SZW specifiek;9590 - V&J specifiek;9600 - VWS Specifiek;Eindtotaal
BZK;Bouwbedrijf Van der Kolk Emmeloord B.V.;;;;;;;;;3;;;;;;;;;3
BZK;Bouwburo Vitruvius B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Bouwgroep Peters B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bouwonderneming Jager B.V.;;;;;;;;;4;;;;;;;;;4
BZK;BouwRisk;;;;;;;;;2;;;;;;;;;2
BZK;Breedveld & Schroder;;;;;;;;;3;;;;;;;;;3
BZK;Breman Service Rotterdam B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Breuers & Cobelens;;;;;;;;;1;;;;;;;;;1
BZK;Breure B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Brink Groep B.V.;;;;;;;;;;2;;;;;;;;2
BZK;Broekema Nielsen Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Brondool B.V.;;;;;;;;;1;;;;;;;;;1
BZK;BügelHajema Adviseurs B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Buijs Glaswerken B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Buller & Rijnbeek Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Bunsing B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bureau De Wit B.V.;;;;;;;;;1;;;;;;;;;1
BZK;bureau ZWIRT;;;;;;;;;4;;;;;;;;;4
BZK;Burgers Van der Wal B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Burgy Bouwbedrijf B.V.;;;;;;;;;4;;;;;;;;;4
BZK;Buro Bentheimer;;;;;;;;;2;;;;;;;;;2
BZK;Buro voor Bouwkunde Theo de Haan B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Buro voor Visuele Communicatie Bvvc;;;;;;;;;3;;;;;;;;;3
BZK;Camelot Vastgoedbeheer B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Carex Beheer B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Centraal Bureau voor Genealogie;;;;;;;;;1;;;;;;;;;1
BZK;Certa Legal Group B.V.;;;;;;;;;1;;;;;;;;;1
BZK;CIB Centraal InkoopBureau B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Cintegro;;;;;;;;;1;;;;;;;;;1
BZK;Clercx Claassen Leenders Netwerk Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;C-Mark B.V.;;;;;;;;;1;1;;;;;;;;1
BZK;Cofely West Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Commissie van Beheer Rijkskantorengebouw Hanzeland;;;;;;;;;1;;;;;;;;;1
BZK;Croes Bouwtechnisch Ingenieursbureau B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Croon advocaten N.V.;;;;;;;;;2;;;;;;;;;2
BZK;Croon Elektrotechniek B.V.;;;;;;;;;4;;;;;;;;;4
BZK;CSO Adviesbureau voor Milieu-Onderzoek;;;;;;;;;5;;;;;;;;;5
BZK;Cultuurtechniek H.G. van Dorresteijn B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Dakdekkersbedrijf Verkoelen Weert B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Dalhuisen Olie B.V.;;;;;;;;;1;;;;;;;;;1
BZK;de Baarnse notarissen;;;;;;;;;1;;;;;;;;;1
BZK;De Culturele Zaak;;;;;;;;;2;;;;;;;;;2
BZK;De Groenmakers B.V.;;;;;;;;;1;;;;;;;;;1
BZK;De Kabath Vastgoedbescherming B.V.;;;;;;;;;2;;;;;;;;;2
BZK;De Koepel integraal beheer V.O.F.;;;;;;;;;2;;;;;;;;;2
BZK;De Kunstrijders;;;;;;;;;1;;;;;;;;;1
BZK;De Lange & Kortland Netwerk Notarissen B.V.;;;;;;;;;1;;;;;;;;;1
BZK;De Meeuw Oirschot B.V.;;;;;;;;;2;;;;;;;;;2
BZK;de Persgroep Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;De Roock Interieurbouw;;;;;;;;;1;;;;;;;;;1
BZK;De Ruiter Makelaarshuis;;;;;;;;;1;;;;;;;;;1
BZK;De Schrijver B.V.;;;;;;;;;1;;;;;;;;;1
BZK;De Sleutelspecialist;;;;;;;;;1;;;;;;;;;1
BZK;De Tijd Notariaat B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Dé Vastgoedbeschermer B.V.;;;;;;;;;1;;;;;;;;;1
BZK;De Vlieg Techniek B.V.;;;;;;;;;1;;;;;;;;;1
BZK;De Waard & Wagener Notariskantoor B.V.;;;;;;;;;1;;;;;;;;;1
BZK;De Zeeuwse Alliantie;;;;;;;;;1;;;;;;;;;1
BZK;Debuco Advies B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Deerns Nederland B.V.;;;;;;;;;4;;;;;;;;;4
BZK;DELTA Comfort B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Delta Netwerkbedrijf B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Deltacare B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Denkstof;;;;;;;;;2;;;;;;;;;2
BZK;Deurwaarderskantoor IJzerman Kampen;;;;;;;;;1;;;;;;;;;1
BZK;Dgi Dak & Gevel Ingenieurs B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Diemer Notariaat Kroes+Mokkum;;;;;;;;;1;;;;;;;;;1
BZK;Dijkstra Bedrijfsmakelaardij B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Divider B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Doetinchem Parket B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Doggen;;;;;;;;;1;;;;;;;;;1
BZK;Dolmans Landscaping Noord;;;;;;;;;1;;;;;;;;;1
BZK;Donker Inspecties;;;;;;;;;3;;;;;;;;;3
BZK;Donker Inspecties B.V.;;;;;;;;;3;;;;;;;;;3
BZK;Doornebal Interieurs B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Doornse Oranjerie;;;;;;;;;1;;;;;;;;;1
BZK;Dozon B.V.;;;;;;;;;1;;;;;;;;;1
BZK;DPI Animation House B.V.;;;;;;;;;1;;;;;;;;;1
BZK;driejuni tekst en fotografie;;;;;;;;;1;;;;;;;;;1
BZK;DTZ Zadelhoff;;;;;;;;;4;;;;;;;;;4
BZK;Duijvelaar Pompen;;;;;;;;;1;;;;;;;;;1
BZK;Duresta Real Estate Solutions B.V.;;;;;;;;;1;;;;;;;;;1
BZK;DuretTrip Notarissen N.V.;;;;;;;;;1;;;;;;;;;1
BZK;Dusseldorp Groep B.V.;;;;;;;;;1;;;;;;;;;1
BZK;E & L Notarissen Breda B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Easy2send;;;;;;;;;1;;;;;;;;;1
BZK;Eco Toilet B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Ecologica B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Econsultancy;;;;;;;;;1;;;;;;;;;1
BZK;ECORYS Nederland B.V.;;;;;;;;;3;;;;;;;;;3
BZK;Efectis Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Eijsbouts Fabriek van Torenuurwerken B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Else.com;;;;;;;;;2;;;;;;;;;2
BZK;Eneco Services B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Eneco Zakelijk;;;;;;;;;4;;;;;;;;;4
BZK;Enexis B.V.;;;;;;;;;1;1;;;;;;;;1
BZK;Engels Conference Center B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Envita Almelo B.V.;;;;;;;;;6;;;;;;;;;6
BZK;er wonen;;;;;;;;;1;;;;;;;;;1
BZK;Essent Energiediensten B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Euroclean Schoonmaakdiensten;;;;;;;;;1;;;;;;;;;1
BZK;Eurofins ALTIC B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Eurosafe Solutions B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Evides N.V.;;;;;;;;;1;;;;;;;;;1
BZK;Fa. Gebr. Van der Lee;;;;;;;;;2;;;;;;;;;2
BZK;Facility Service;;;;;;;;;1;;;;;;;;;1
BZK;Falck Prevention B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Feddes/Olthof Landschapsarchitecten B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Fewiro Wijchen B.V.;;;;;;;;;1;;;;;;;;;1
BZK;File2share B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Fin2ition B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Firma Rhebergen;;;;;;;;;1;;;;;;;;;1
BZK;Firma Van Es Boomverzorging;;;;;;;;;2;;;;;;;;;2
BZK;FMA-Nillesen Bedrijfsadviseurs;;;;;;;;;2;;;;;;;;;2
BZK;FMT Vastgoed Beheer;;;;;;;;;1;;;;;;;;;1
BZK;Fokkema Linssen;;;;;;;;;1;;;;;;;;;1
BZK;GDF SUEZ Energie Nederland N.V.;;;;;;;;;1;;;;;;;;;1
BZK;Gebr. Bonenkamp Groep B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Geelink Mechanisatie B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Geleijns Hoveniers;;;;;;;;;2;;;;;;;;;2
BZK;Geofox-Lexmond B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Gerco Brandpreventie B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Gerrits & Van Gulick Notarissen c.s. Uden;;;;;;;;;1;;;;;;;;;1
BZK;Geschenkbezorgen.nl B.V.;;;;;;;;;1;;;;;;;;;1
BZK;GGN Van Mastrigt & Partners;;;;;;;;;1;;;;;;;;;1
BZK;Glas in Lood Atelier Domstad;;;;;;;;;1;;;;;;;;;1
BZK;Glashandel Koelewijn B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Grand Hotel De l'Empereur;;;;;;;;;1;;;;;;;;;1
BZK;GreenFocus B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Groeneveld Riooltechniek B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Groenewegen + Partners;;;;;;;;;1;;;;;;;;;1
BZK;Grondslag Milieukundig Adviesbureau;;;;;;;;;4;;;;;;;;;4
BZK;Grontmij Nederland B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Guliker's Gas- en Oliehandel B.V.;;;;;;;;;2;;;;;;;;;2
BZK;H.O.D. Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;H4a Groen B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Haarhuis Generatoren B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Hageman Installatietechniek V.O.F.;;;;;;;;;1;;;;;;;;;1
BZK;Hall4 B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Hamaland Advies;;;;;;;;;2;;;;;;;;;2
BZK;HaskoningDHV Nederland B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Havenbedrijf IJmuiden;;;;;;;;;1;;;;;;;;;1
BZK;HeadFirst B.V.;;;;;;;;;4;;;;;;;;;4
BZK;Hedibouw;;;;;;;;;2;;;;;;;;;2
BZK;Heggers Interieurbouw & Projecten;;;;;;;;;2;;;;;;;;;2
BZK;Heidstra Meesterschilder;;;;;;;;;1;;;;;;;;;1
BZK;Heijligers Installaties B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Heijmans Utiliteit;;;;;;;;;4;;;;;;;;;4
BZK;Heinen Tuincentrum B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Hendriks Asbestsanering B.V.;;;;;;;;;3;;;;;;;;;3
BZK;Heras Ridderkerk;;;;;;;;;1;;;;;;;;;1
BZK;Hermans & Schuttevaer Notarissen N.V.;;;;;;;;;1;;;;;;;;;1
BZK;Hermans Schilderwerk;;;;;;;;;1;;;;;;;;;1
BZK;Herruer Grond- Weg- en Waterbouw;;;;;;;;;3;;;;;;;;;3
BZK;Het Mooie Werk;;;;;;;;;1;;;;;;;;;1
BZK;Hoekstra & Partners Notarissen;;;;;;;;;2;;;;;;;;;2
BZK;Hofstede Bedrijfshuisvesting B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Hoogesteijn & Potma Notariaat;;;;;;;;;1;;;;;;;;;1
BZK;Hooijer Milieu B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Hopmann Liftservice;;;;;;;;;1;;;;;;;;;1
BZK;Hospice Het Alteveer;;;;;;;;;1;;;;;;;;;1
BZK;HP Vastgoed B.V.;;;;;;;;;2;;;;;;;;;2
BZK;HS Brandbeveiliging;;;;;;;;;1;;;;;;;;;1
BZK;Huenges Wajer & Joosten Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Huijbregts Notarissen B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Huitink Media;;;;;;;;;2;;;;;;;;;2
BZK;Hunink en Holtrigter Bedr. Makel. V.O.F.;;;;;;;;;2;;;;;;;;;2
BZK;Hutter Veiligheid B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Hydra Group B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Ibis B.V.;;;;;;;;;1;;;;;;;;;1
BZK;IDDS Infra B.V.;;;;;;;;;3;;;;;;;;;3
BZK;IJsseloevers Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;IMI Aero-Dynamiek B.V.;;;;;;;;;5;;;;;;;;;5
BZK;Imtech Building Services;;;;;;;;;1;;;;;;;;;1
BZK;Imtech Industrial Services;;;;;;;;;4;;;;;;;;;4
BZK;Inbo;;;;;;;;;3;;;;;;;;;3
BZK;Ingenieursbureau Broomans B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Insektokill Ratmuka Groep;;;;;;;;;1;;;;;;;;;1
BZK;Inspectrum;;;;;;;;;1;;;;;;;;;1
BZK;Inspectrum B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Installatiebedrijf Hoogenboom Brielle B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Installatiebedrijf Jonkers V.O.F.;;;;;;;;;1;;;;;;;;;1
BZK;Installatiebedrijf Van der Hoop;;;;;;;;;1;;;;;;;;;1
BZK;Installatietechniek Hilversum;;;;;;;;;1;;;;;;;;;1
BZK;Integrex;;;;;;;;;3;;;;;;;;;3
BZK;Interveste Beheer B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Intrum Justitia B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Invoned Apeldoorn B.V.;;;;;;;;;1;;;;;;;;;1
BZK;ISO120;;;;;;;;;1;;;;;;;;;1
BZK;ITN Installatietechniek B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Jansma en Van Dijk B.V.;;;;;;;;;4;;;;;;;;;4
BZK;Jongste Projectmanagement & Advies;;;;;;;;;2;;;;;;;;;2
BZK;Jurriëns;;;;;;;;;3;;;;;;;;;3
BZK;Kammeraad & Strijk Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Kasteel Oud-Poelgeest B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Kemper en van Twist Diesel B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Kersten & Wilhelm Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Kieback & Peter Nederland B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Kienhuishoving N.V.;;;;;;;;;2;;;;;;;;;2
BZK;Kindt & Biesbroeck Vastgoed B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Klappe Makelaardij o.z.;;;;;;;;;1;;;;;;;;;1
BZK;Koelewijn Bronbemalingen B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Koenders Multi Care;;;;;;;;;1;;;;;;;;;1
BZK;Koetsenruyter Makelaardij B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Kok Tuinmachines;;;;;;;;;1;;;;;;;;;1
BZK;Kondor Wessels Amsterdam B.V.;;;;;;;;;4;;;;;;;;;4
BZK;Kone B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Kone Gevelliftinstallaties;;;;;;;;;1;;;;;;;;;1
BZK;Koninklijke Wegener N.V.;;;;;;;;;;1;;;;;;;;1
BZK;Kooijman Lambert Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Koole B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Koppelaar Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;KPMG Advisory N.V.;;;;;;;;;3;;;;;;;;;3
BZK;KPN B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Kragten B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Kranendonk Schilders B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Krans Helmig Stuijt Netwerk Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Krinkels B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Kummeling B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Kurk & Jacobs notarissen;;;;;;;;;1;;;;;;;;;1
BZK;LAgroup B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Leeuwesteijn B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Leurs en Zn. Hoveniersbedrijf;;;;;;;;;1;;;;;;;;;1
BZK;Liander N.V.;;;;;;;;;5;;;;;;;;;5
BZK;Lifoka Kopie en Print B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Ligne Netwerk Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Limes Netwerk Notarissen;;;;;;;;;3;;;;;;;;;3
BZK;Lokaal Werk;;;;;;;;;1;;;;;;;;;1
BZK;Loodgieterbedrijf Ansems B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Loodgietersbedrijf Wisman B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Loyens & Loeff N.V.;;;;;;;;;2;;;;;;;;;2
BZK;Luitjes B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Lyreco Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Maaldrink Vermeulen Grooss;;;;;;;;;1;;;;;;;;;1
BZK;Maatschap Kroes & Partners;;;;;;;;;2;;;;;;;;;2
BZK;Madri Install Service B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Maro Brandbeveiliging;;;;;;;;;1;;;;;;;;;1
BZK;Mauritshuis;;;;;;;;;2;;;;;;;;;2
BZK;Meer Makelaar;;;;;;;;;1;;;;;;;;;1
BZK;MeerVaart Notarissen B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Mees Ruimte & Milieu;;;;;;;;;3;;;;;;;;;3
BZK;Meijling & Sarneel Notarissen;;;;;;;;;2;;;;;;;;;2
BZK;Mercer (Nederland) B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Merkx Vugts & Vlemmix Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Metesco Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;MH Projects;;;;;;;;;1;;;;;;;;;1
BZK;Middleton Valuation Advisory;;;;;;;;;2;;;;;;;;;2
BZK;Milieu Service Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;M-Makelaars Noord B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Mostert De Winter B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Motus;;;;;;;;;4;;;;;;;;;4
BZK;Mous Waterbeheer B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Mulhuijzen B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Multisticker;;;;;;;;;1;;;;;;;;;1
BZK;MWH;;;;;;;;;2;;;;;;;;;2
BZK;MWH B.V.;;;;;;;;;1;;;;;;;;;1
BZK;N.V. Het Havengebouw Amsterdam;;;;;;;;;1;;;;;;;;;1
BZK;N.V. PWN Waterleidingbedrijf Noord-Holland;;;;;;;;;1;;;;;;;;;1
BZK;N.V. Waterbedrijf Groningen;;;;;;;;;1;;;;;;;;;1
BZK;N.V. Zeeland Seaports;;;;;;;;;2;;;;;;;;;2
BZK;Nadorp Makelaars Holding B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Nassau/Indus Deur B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Natuurvol Tuinen en Wonen;;;;;;;;;2;;;;;;;;;2
BZK;NDC mediagroep B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Nellok;;;;;;;;;1;;;;;;;;;1
