Rijlabels;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
BusPartners Amersfoort;;1;1
C. Bos en Zonen Beheer B.V.;;1;1
Car Cool Center;;1;1
Carbouw;;1;1
Carglass B.V.;;1;1
Carrier Transicold, Vego Trans;;1;1
Carrosserie Akkermans B.V.;;3;3
Cartal Schagen;;1;1
Caru Containers Verhuur B.V.;;1;1
CELECTRIC B.V.;;1;1
CHS Special Products B.V.;;3;3
Complete Store Van Dijk B.V.;;2;2
Connexxion Tours B.V.;;7;7
Conrad Electronic Benelux B.V.;;1;1
DAF Trucks N.V.;;1;1
De Kampeermarkt B.V.;;1;1
De Molen Banden B.V.;;1;1
De Vier Gewesten B.V.;;2;2
De Vlas Transport B.V.;;1;1
Deba Bedrijfswagens Bergen op Zoom B.V.;;1;1
Dem B.V.;;1;1
DFDS Seaways IJmuiden B.V.;;2;2
DHL International B.V.;;2;2
Dhollandia Nederland B.V.;;1;1
Dibo Nederland B.V.;;1;1
Dijssel B.V.;;2;2
DNM International B.V.;;4;4
Dometic Benelux B.V.;;1;1
Dräger Nederland B.V.;;1;1
Dronk Bedrijfswagen-Onderdelen B.V.;;1;1
DRV Special Products;;1;1
E.B. Bredow Hydraulick Heerhugowaard B.V.;;1;1
E.B.O. van Weel;;2;2
Eberca B.V.;;1;1
EE Devices B.V.;;2;2
Eenzet Handelsonderneming B.V.;;1;1
EHM Hotel Almere Exploitatiemaatschappij B.V.;1;;1
Eijsink Afrekensystemen B.V.;;1;1
Ematra Truck Repair & Improvement;;3;3
E-Milers Group B.V.;;2;2
Eriks B.V.;;1;1
Esve B.V.;;1;1
Eurocross Assistance Netherlands B.V.;;2;2
Euromaster Bandenservice;;2;2
Exide Technologies B.V.;;1;1
Exploitatiemaatschappij Hotel Stakenberg B.V.;1;;1
Explora Werkplaatsinrichting B.V.;;1;1
Federal Express Nederland;;1;1
Firma Baard;;1;1
Flanderijn en v. Eck Gerechtsdeurwaard. B.V.;;1;1
Fliteline B.V.;;7;7
Forward Support Trading B.V.;;7;7
FRL-Group B.V.;;1;1
Garage De Muynck;;2;2
Gebben Motoren B.V.;;1;1
Gebr. Ferwerda B.V.;;1;1
Gelissen Paardentransport B.V.;;1;1
Gemco Mobile Services B.V.;;1;1
Gomes Noord-Holland B.V.;;1;1
Gomes Warmenhuizen;;2;2
Groenendijk Bedrijfskleding B.V.;;1;1
Gulf Bunkering B.V.;;3;3
H. de Vries Reinigingsapparatuur B.V.;;1;1
Hako B.V.;;1;1
Handelsonderneming Dirks B.V.;;1;1
Harbers Trucks Barneveld B.V.;;3;3
Harbers Trucks Veenendaal B.V.;;1;1
Hatz-Nederland B.V.;;1;1
Havik Auto;;1;1
HBI Bedrijfswageninrichters;;1;1
Hebi Bedrijfswageninrichting B.V.;;1;1
Heijtech B.V.;;1;1
Heliflight B.V.;;2;2
Heliflight Holland B.V.;;1;1
Hendriks Lottum;;1;1
Hertz;;1;1
Holland Inbouw;;2;2
Hollandse Telecommunicatie Maatschappij;;1;1
Hotel-Café-Restaurant 'West-End' Expl. B.V.;2;;2
Hugen Maintenance for Aircraft B.V.;;1;1
IceSolutions;;1;1
INDI;;1;1
Interflon Holland B.V.;;1;1
Intimus International Netherlands B.V.;;1;1
ITS Hendrion B.V.;;2;2
Iveco Nederland B.V.;;6;6
J. en v. Coevorden;;1;1
J.A.M. de Rijk B.V.;;6;6
Jan de Wit Autocars N.V.;;4;4
JCB;;4;4
Jean Heybroek B.V.;;1;1
Jonker CarrosserieÃ«n B.V.;;1;1
JS Laadtechniek B.V.;;1;1
Jungheinrich Nederland B.V.;;3;3
K.I.G. Heerenveen B.V.;;1;1
Kegama Automat. t.h.o.d.n. Brezan Automat.;;1;1
Kenbri Fire Fighting B.V.;;3;3
Koks After Sales B.V.;;1;1
Koninklijke PostNL B.V.;;5;5
Kooning Schiphol B.V.;;1;1
Kwint B.V.;;1;1
L&S Specials B.V.;;1;1
Laco Zaandam B.V.;;1;1
Leaseplan Nederland N.V.;;8;8
Lemmens Motorsport;;1;1
Louwman & Parqui B.V.;;1;1
Louwman Amsterdam West;;2;2
Louwman Dealerbedrijven Brabant B.V.;;1;1
Loyalty Makers B.V.;;1;1
M.S. De Vries en Zonen B.V.;;1;1
Mabo-Lifting Nederland B.V.;;1;1
Machinefabriek J. van Geffen;;5;5
Maison van den Boer B.V.;2;;2
Manutan B.V.;;1;1
Marine Trading & Services B.V.;;1;1
Medictaxi B.V.;;1;1
Mercedes-Benz Alphen a/d Rijn;;1;1
Mercedes-Benz Cars Nederland B.V.;;3;3
Mercedes-Benz Dealer Bedrijven B.V.;;2;2
Mercedes-Benz Roelofarendsveen;;1;1
Mobile Information Services B.V.;;7;7
Mobility ID B.V.;;7;7
Modul-System B.V.;;2;2
Motoport Echt B.V.;;1;1
Motoport Hippolytushoef;;1;1
Motor Centrum West B.V.;;2;2
Motor en scootercentrum Bos;;1;1
Motrac Intern Transport B.V.;;2;2
Moving Intelligence B.V.;;1;1
Multi-Post Mail Systems B.V.;;1;1
Munters Netherlands B.V.;;1;1
Nijwa Groep B.V.;;1;1
Nijwa Rijssen;;2;2
Noorderpoort;;1;1
Numatic International B.V.;;1;1
Omnimark B.V.;;1;1
Orange Blue Terminals B.V.;;5;5
P&O North Sea Ferries B.V.;;1;1
Paracentrum Texel B.V.;;1;1
Park-line B.V.;;1;1
Partycentrum 'Het Witte Paard' B.V.;1;;1
Peinemann Heftrucks B.V.;;7;7
PEMAR Technische Groothandel B.V.;;1;1
Pijnappel Aanhangwagens B.V.;;1;1
Polymax Industrietechniek B.V.;;1;1
Pon Dealer B.V.;;1;1
Pon's Automobielhandel B.V.;;2;2
Pricewaterhousecoopers Accountants N.V.;;4;4
Profile Tyrecenter Abi Soest B.V.;;1;1
Profile Tyrecenter Truck Europe N.V.;;1;1
Profile Tyrecenter-Friese Bandenservice;;1;1
Protempo B.V.;;1;1
Ram Mobile Data (Netherlands) B.V.;;1;1
Randstad;;4;4
Rederij Wadden Transport;;2;2
Robetex;;1;1
ROGAM Bedrijfswagens B.V.;;1;1
Ruys Handelsvereniging B.V.;;1;1
Scania Nederland B.V.;;2;2
Schiphol Nederland B.V.;;3;3
Schiphol Real Estate B.V.;;1;1
Schot Verticaal Transport B.V.;;1;1
Schotpoort Connect B.V.;;7;7
Schouten Tiel B.V.;;1;1
Schouten Utrecht B.V.;;2;2
Seko Benelux B.V.;;5;5
SGS Nederland B.V.;;1;1
Simako BDM Apeldoorn B.V.;;1;1
Sixt B.V.;;5;5
Smeets M.B. Eindhoven B.V.;;2;2
Spijkstaal International B.V.;;1;1
Stago BNL B.V.;;1;1
Stam Aanhangwagens B.V.;;1;1
Steder Group B.V.;;2;2
Stena Line Scandinavia AB;;4;4
Stern Auto B.V.;;3;3
SternRent B.V.;;6;6
Stevens Auto-Elektron. en Diesel/Hydr. V.O.F.;;1;1
Sticht. Behoud Cultureel Erfgoed Abdij Rolduc;1;;1
Stichting Blue Sky Aerial Services;;1;1
Stichting Vliegwerk Seppe;;2;2
Stimag B.V.;;1;1
T&T Mobility;;1;1
T.C.V. Truck Cleaning Veghel;;1;1
Takel- en Taxibedrijf Grootveld B.V.;;1;1
Tankstation Drok B.V.;;1;1
Taxibedrijf Van der Wijst;;4;4
Technisch Bureau Magema B.V.;;1;1
Technische Centrale;;2;2
Technische Unie B.V.;;1;1
Terberg Specials B.V.;;1;1
Thermo King Transportkoeling B.V.;;1;1
TIP Trailer Services Netherlands B.V.;;4;4
TNT Express Nederland B.V.;;5;5
Tobias Fiscaal;;1;1
Toplight Chartering;;7;7
Topmoto B.V.;;1;1
Toyota Material Handling Nederland B.V.;;2;2
Transposafe Systems;;1;1
Trim-Line of Holland B.V.;;1;1
Truckland Heerhugowaard;;1;1
Truckland Noord-Holland B.V.;;2;2
TTS Swifterbant;;2;2
UAS Baarn;;4;4
Unique Nederland B.V.;;1;1
Van Berkel ®;;2;2
Van Breemen Onroerend Goed B.V.;;2;2
Van Hooft Bedrijfswagen Veghel B.V.;;2;2
Van Mossel West B.V.;;1;1
Van Poelgeest Autoschade B.V.;;2;2
Van Poelgeest Hilversum B.V.;;3;3
Van Tilburg-Bastianen B.V.;;1;1
Van Tilburg-Bastianen DAF B.V.;;4;4
Van Vlastuin Taxi B.V.;;1;1
Van Vliet TechSupport B.V.;;1;1
Vanderkooij Telecommunicatie B.V.;;2;2
VanDoClean B.V.;;1;1
VDL Bus & Coach Service FRY-ZHN B.V.;;1;1
VDL Bus Venlo B.V.;;3;3
Veekro Bedrijfswagens;;3;3
Veldhuizen B.V.;;1;1
Verbrugge Marine B.V.;;2;2
Verbrugge Zeeland Terminals B.V.;;3;3
Vervaet-van Weele B.V.;;1;1
Veth Automotive B.V.;;2;2
Visser B.V.;;2;2
Vloerglijders B.V.;;1;1
Volvo Truck Center Almere;;2;2
Washplan-Ned.;;1;1
Weda B.V.;;1;1
Wensink;;1;1
Wensink Assen;;1;1
Wensink Automotive B.V.;;2;2
Werklust Holland B.V.;;1;1
Wiba Zevenaar B.V.;;2;2
Wiegel Transport Equipment B.V.;;1;1
Worldmeetings.com B.V.;2;;2
Wurth Elektronik Nederland B.V.;;2;2
Z.A.M. Zeister Automobiel Maatschappij B.V.;;1;1
Zuideind;;1;1
Stern Auto;;1;1
CARU Containers B.V.;;1;1
Bakker Bedrijfswagens Amersfoort;;2;2
Breur IJzerhandel Vlietlaan B.V.;;1;1
Maritech Marine B.V.;;1;1
Autec Hefbruggen B.V.;;1;1
Harry Meijer B.V.;;1;1
Automobielbedrijf Stoomberg B.V.;;1;1
Masta Aanhangwagens V.O.F.;;1;1
PAK Aanhangwagens B.V.;;1;1
BAS Groep B.V.;;1;1
Smart Tacho Solutions B.V.;;1;1
Secutax Moerdijk B.V.;;1;1
Heinen & Hopman Installaties B.V.;;1;1
Rüttchen Automotive, vest. bedr.auto's Breda;;1;1
Klaver Tweewielers;;1;1
MS de Vries;;1;1
MYbusinessmedia B.V.;;1;1
Albers Zeilmakerij B.V.;;1;1
Rhenus Air B.V.;;8;8
'De Tijd' Bedrijfskleding;;1;1
Bandorama B.V.;;1;1
Gaasbeek;;1;1
Engbers Motors B.V.;;1;1
Hydrauliekservice Utrecht B.V.;;1;1
Aebi Schmidt Nederland B.V.;;1;1
MAN Nederland Dealer B.V.;;4;4
VDL Bus Chassis B.V.;;1;1
Munckhof Taxi B.V.;;1;1
Webasto Thermo & Comfort Benelux;;1;1
Autobedrijf Nijsingh B.V.;;2;2
Twisk Truck Service Alkmaar;;1;1
El.-Techn. Bur. De Jong & Zn. Leiden B.V.;;1;1
Oostveen Klusmarkt B.V.;;1;1
RÃ¼ttchen Automotive, vest. bedr.auto's Breda;;1;1
Al-Ko Kober B.V.;;1;1
Autobedrijf Nieuwendijk Badhoevedorp B.V.;;1;1
Wagenborg Nedlift;;7;7
Invoned Apeldoorn B.V.;;1;1
v.d. Linden v. Sprankhuizen Bedrijfsw. B.V.;;1;1
Golden Arrow Olieproducten Amsterdam B.V.;;2;2
Vereniging van Automobieltechnici ATC;;1;1
Cannock Chase Public;;1;1
Total Care Wagon Management B.V.;;3;3
Van der Werf Jelsum B.V.;;1;1
Titan Containers B.V.;;2;2
Auto Muntstad Zeist;;1;1
Traktiebatterijen Nederland B.V.;;1;1
Oasis Data & Document Management Neth. B.V.;;1;1
Autobedrijf Hooymans B.V.;;3;3
Wassink Autogroep;;1;1
Schouten Spijkenisse B.V.;;1;1
Wensink Apeldoorn;;1;1
E.T. Euro Trade Nederland B.V.;;1;1
Aanhangwagen Centrum Eindhoven B.V.;;1;1
Breeland B.V.;;1;1
Baan Twente B.V.;;1;1
G.S. Meppel B.V.;;1;1
Broos Revisie B.V.;;1;1
A.B.F. Bearings;;1;1
Qlean-tec B.V.;;1;1
Nooteboom Trailer Service B.V.;;1;1
Wagenborg Agencies B.V.;;4;4
Wagon Care B.V.;;7;7
Heating Group International B.V.;;1;1
Rior, Industrie- en Handelsonderneming B.V.;;1;1
Triorep B.V.;;1;1
M.G. Dassen Beheer B.V.;;1;1
Mainport Container Services B.V.;;1;1
Antonisen B.V.;;6;6
Athlon Car Lease Nederland B.V.;;2;2
Kraakman Perfors B.V.;;1;1
B.V. Motor-Parts Etten-Leur;;1;1
Broekman Eemshaven Services B.V.;;4;4
anoniem 2824;;1;1
anoniem 2828;;1;1
Eindtotaal;5;11;11
