;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Geospatial Media and Communications B.V.;;;;;1;;;;;1
Gerco de Ruijter;;;;;;;1;;;1
Geschiedkundige Vereniging Oranje-Nassau;;;;;;;;1;;1
Gispen Kantoorinrichting;;;1;;;;7;;;7
Glasatelier Oud Rijswijk B.V.;;;;;;;1;;;1
Glasblazerij De Oude Horn B.V.;;;;;;;1;;;1
Goedhart Bouwmarkt Delft B.V.;;;;;;;;1;;1
Goedman Kunstenaarsbenodigdheden;;;;;;;1;;;1
Good Conditions B.V.;;;;;;;;1;;1
Gorter Advisie;;;;;;;;3;;3
Grafisch Buro van Erkelens B.V.;;;;;2;;;;;2
Grandcafé De Wens B.V.;1;;;;;;;;;1
Grand-café Stefano's;1;;;;;;;;;1
Groenendijk Bedrijfskleding B.V.;;;;;;;;1;;1
Groepsdynamica Expert;1;;;;;;;;;1
Groote Sociëteit Haagsche Club-Plaats Royaal;;;;;1;;;;;1
Grootmakers vormgeving-belettering-full color;;;;;;;1;;;1
Gulinski & de Baar kant. & proj.inricht. B.V.;1;;;;;;;;;1
H.U. Günes t.h.o.d.n. SPAR City Korte Poten;;;;;1;;;;;1
Hagisto;;;;;;;2;;;2
Hans Tak;;;;;;;;1;;1
Hans van der Meer;;;;;;;2;;;2
Havengebouw Amsterdam B.V.;1;;;;;;;;;1
HBL Online B.V.;;;;;;;;1;;1
Health2Work B.V.;;;;;;;;1;;1
HekonValentijn;;;;;;;;1;;1
Helicon Conservation Support B.V.;;;;;1;;;;;1
Hennekes Special Seating B.V.;;;;;;;2;;;2
Henri Culinair;1;;;;;;;;;1
Het Kookplein;1;;;;;;1;;;1
Het Muntgebouw-Utrecht B.V.;1;;;;;;;;;1
Het Nederlands Openluchtmuseum;1;;;;;;;;;1
Het Pleidooi;1;;;;;;;;;1
Het Stempel No. 539 B.V.;;;;;;;;1;;1
High Security International B.V.;;;;;;;;1;;1
HMM Wasservice;;;2;;;;;;;2
Hoeve Kromwijk;1;;;;;;;;;1
Holding Beheermaatschappij Ropeni B.V.;1;;;;;;;;;1
Hollandse Hoogte B.V.;;;;;1;;;;;1
Hollandspoor Geluidsstudio;;;;;;;;1;;1
Hooghiemstra & Partners B.V.;;;;;2;;;;;2
Hotel Boschhuis;1;;;;;;;;;1
Hotel Contact B.V.;1;;;;;;;;;1
Hotel Groningen-Hoogkerk B.V.;2;;;;;;;;;2
Hotel Rotterdam-Blijdorp B.V.;1;;;;;;;;;1
Hotel-Café-Restaurant De Gouden Leeuw;1;;;;;;;;;1
Hotel-Café-Restaurant Haarhuis;1;;;;;;;;;1
Hotels van Oranje B.V.;1;;;;;;;;;1
House of Lords B.V.;1;;;;;;;;;1
ICTRecht Groningen;;;;;;;2;;;2
ID Ware International B.V.;;2;;;;;;;;2
ID Wear B.V.;;;;;;;;1;;1
IdeeVersa B.V.;;;;2;;;;;;2
Igluu B.V.;1;;;;;;;;;1
Igo-Post B.V.;;;;;;;;1;;1
IHC Holland B.V.;;;;;;;2;;;2
Images by Ilvy;;;;;;;1;;;1
Imke Frijters B.V.;;;;;;;;2;;2
Imming Logistics Fine Art B.V.;;;;1;;;;;;1
In Pace B.V.;1;;;;;;;;;1
Ingeborg Scheffers;;;;;;;1;;;1
Initial;;;4;;;;;;;4
InnoValor B.V.;;;;;4;;;;;4
Innovero Software Solutions B.V.;;;;;1;;;;;1
Inspiratie op Locatie B.V.;1;;;;;;;;;1
Interparking Nederland B.V.;;;;;;;;1;;1
Interval B.V.;;1;;;;;;;;1
Intimus International Netherlands B.V.;;;;;;;;1;;1
ISS Integrated Facility Services B.V.;1;;;;;;;1;;1
ISSOS B.V.;;;;;;;1;;;1
ItaQ;;;;;2;;;;;2
Ivo Zomerschoe;;;;;;;1;;;1
J.V. s. Instructies;;2;;;;;;;;2
JAARBEURS UTRECHT;;;;;;;;2;;2
Jeroen Bosch;;;;;;;1;;;1
Jeroen Evertz;;;;;;;1;;;1
Jeroen Molenaar/Atelier v. kunst, ontw./arch.;;;;;;;1;;;1
Jeroen Wand;;;;;;;1;;;1
Jólan van der Wiel ontwerp en realisatie;;;;;;;2;;;2
Jong Europe B.V.;;;;;;;;1;;1
Jongkind Meubelmaker, Inter./Tentoonst.bouw;;;;;;;1;;;1
Joor It;;;;;1;;;;;1
JR's Cuisine;1;;;;;;;;;1
Kantar Netherlands B.V.;4;;;;2;;;;;4
Karen Sargsyan;;;;;;;1;;;1
Kasteel Oud-Poelgeest B.V.;1;;;;;;;;;1
Kees van de Veen;;;;;;;1;;;1
Keizer Culinair B.V.;;;;;;;;1;;1
Key-Quality B.V.;;1;;;;;;;;1
Kidsgigant B.V.;;;;;;;1;;;1
KIM Plus Delta B.V.;;;;;;;;1;;1
King Arthur B.V.;;;;;;;1;;;1
Kirsten Langmuur Graf. en Interactie Ontwerp;;;;;1;;;;;1
Klarna B.V.;;;;;;;;1;;1
Klimbie Public Affairs;;;;;1;;;;;1
Koen Taselaar;;;;;;;1;;;1
Koning & Hartman B.V.;;1;;;;;;;;1
Koninklijk Instituut van Ingenieurs;1;;;;;;;;;1
Koninklijke PostNL B.V.;;;;1;;;;;;1
Koninklijke van der Most B.V.;;;;;1;;;4;;4
KonSEPt foar teksten;;1;;;;;;;;1
Kookeshi;;;;;;;;1;;1
Korte Poten 1-3 B.V.;1;;;;;;;;;1
Kortmann Art Packers & Shippers B.V.;;;;1;;;;;;1
KPN B.V.;;;;;2;;;;;2
KraakHelder Mediaproducties en Journalistiek;1;;;;;;;;;1
Kristel's Fashion B.V.;;;;;;;;1;;1
Kroesulting;;;;;2;;;;;2
Kruizinga B.V.;;;;;;;;1;;1
Kuijsten BeroepsKleding;;;;;;;;1;;1
Kunst.nl B.V.;;;;;;;2;;;2
Kunstwacht B.V.;;;;;;;2;;;2
Kwaliteitsstichting Mediators;;;;;;;;1;;1
La Lanterna;1;;;;;;;;;1
Laarhoven design International B.V.;;;;;;;;1;;1
LANDSADVOCAAT DE;;;;;;;;1;;1
Landstede;1;;;;;;;;;1
Lars van den Brink Photography;;;;;;;1;;;1
Lasaulec Emmen;;;;;;;;4;;4
Laurence Aegerter;;;;;;;1;;;1
LDC Repro;;;;;1;;;1;;1
Ldld (Ligthart Douane & Logistieke Diensten);;;;;;;1;;;1
Leaseplan Nederland N.V.;;;;;;;;;1;1
Leger des Heils Welzijns- en Gezondheidszorg;;;;;;;;1;;1
Lennarts & de Bruijn;;;;;;;1;;;1
Lex Lijstenmakerij;;;;;;;1;;;1
Lexima Reinecker Vision B.V.;;;;;1;;;;;1
Liesbeth Piena;;;;;;;1;;;1
Lijn, lijf & jij;;;;;;;;1;;1
Linguist Link Europe;;2;;;;;;1;;2
Linnenatwork B.V.;;;;;;;;1;;1
Ljs Automatisering B.V.;;;;;;;;1;;1
Lloyd's Register Nederland B.V.;;;;;;;;1;;1
Louise te Poele;;;;;;;2;;;2
LouwersHanique B.V.;;;;;;;1;;;1
LTP Holding B.V.;;;;;;;;1;;1
Lumineux;;;;;;;;1;;1
Luuk Schröder;;;;;;;1;;;1
Lyreco;;;;;;;;3;;3
Lyreco Nederland B.V.;;;;;;;;1;;1
Maaike Engels;;;;;;;1;;;1
Maas International B.V.;2;;;;;;;;;2
Maasdam Groep B.V.;;;;;;;6;;;6
Maasmond B.V.;;;;;;;3;;;3
Machinefabriek Hamminga B.V.;;;;1;;;;;;1
Madurodam B.V.;2;;;;;;;;;2
Mainpress B.V.;;;;;4;;;1;;4
Maison van den Boer B.V.;1;;;;;;;;;1
Management Drives Netherlands B.V.;;1;;;;;;;;1
Manutan B.V.;;;;;1;;1;2;;2
Mariënhof Amersfoort B.V.;1;;;;;;;;;1
Marjolein Rothman;;;;;;;2;;;2
Martin Roemers;;;;;;;1;;;1
Mathijs Labadie Fotografie;;;;;;;1;;;1
Maxilia B.V.;;;;;1;;;1;;1
MBG Benelux;;1;;;;;;;;1
MDX communicatie;1;;;;;;;;;1
Meet & Connect Tilburg B.V.;1;;;;;;;1;;1
Meetingselect B.V;2;;;;;;;;1;2
Meetingselect B.V.;7;1;;;;;2;2;;7
Melitta Professional Coff. Sol. Benelux B.V.;1;;;;;;;;;1
Merford Acoustic Materials B.V.;;;;;;;2;;;2
Merlijn Passier Productions;;;;;;;2;;;2
Messe München GMBH;;;;;;;;1;;1
Mettler-Toledo B.V.;;;;1;;;;;;1
Mike Bink Fotografie;;;;;;;1;;;1
Miko Veldkamp;;;;;;;1;;;1
Millers;1;;;;;;;;;1
MinderMoeilijk;;;;;;;;2;;2
Ministerie van Financiën;;;;;;;;1;;1
Mischa Appel;;;;;;;1;;;1
Moduli Print B.V.;;;;;2;;;;;2
Mr. F.J.M.G. Haffmans Kunst en Antiekhandel;;;;;;;;1;;1
Multi-Post Mail Systems B.V.;;;;2;;;;;;2
MultiVlaai Retail B.V.;;;1;;;;;;;1
Munckhof Regie;;;;1;;;;;;1
Munckhof Reizen B.V.;;;;1;;;;;;1
MyMicro Group B.V.;;;;;;;;1;;1
N.V. Nederlandsch Octrooibureau;;;;;2;;;;;2
Nationaal Gevangenismuseum;1;;;;;;;;;1
Nauta Security Storage B.V.;;3;;;;;;;;3
Ned. Ver. Voor Tuin En Landschapsarchitectuur;;;;;1;;;;;1
Nederlandse Stichting voor Verlichtingskunde;;;;;1;;;;;1
Neopost;;;;2;;;;;;2
Netcreators B.V.;;;;;;;;1;;1
NH Den Haag;1;;;;;;;;;1
Nieuwe of Litteraire Sociëteit De Witte;;;;;1;;;;;1
NLingenieurs;;;;;;;;1;;1
Norisk Keymanagement B.V.;;1;;;;;;;;1
Northwave B.V.;;;;;3;;;;;3
NSD International NL B.V.;;;;;;;;1;;1
Nsecure B.V.;;;;;;;2;;;2
NWC Events B.V.;1;;;;;;;;;1
Office Athletes B.V.;;;;;;;;1;;1
Office Deals;;;;;;;;1;;1
Office Depot B.V.;;;;;2;;;4;;4
Office Depot International;;;;;;;;2;;2
Office Team Hoekschewaard;;;;;;;;1;;1
Olivier Middendorp Fotografie;;;;;1;;;;;1
Onlinestempels;;;;;;;;1;;1
Onlinestempels.nl;;;;;;;;1;;1
Optelec Nederland B.V.;;;;;;;;1;;1
Optima Forma B.V.;;;;;;;;2;;2
Oranje Schaar;;;;;;;;1;;1
Organisatie Groep Zuid (O.G.Z.) B.V.;1;;;;;;;;;1
Ottenhome B.V.;;;;;;;;1;;1
P & Projects B.V.;;;;;;;;1;;1
Paagman Den Haag B.V.;;;;;1;;;1;;1
Palmette B.V.;1;;;;;;;;;1
Panteia B.V.;;;;4;;;;;;4
Papyrus B.V.;;;;;;;;1;;1
Papyrus Groep Nederland B.V.;;;;;1;;;5;;5
PATboard B.V.;;;;;;;;1;;1
Patisserie & Chocolaterie Lindeboom;1;;;;;;;;;1
Paul van Elk;;;;;1;;;;;1
PCS Europe;;;1;;;;;;;1
PEBE Beheer Soest B.V.;;;;;;;;1;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;1;;;;;1
People & Print Group;;;;;1;;;;;1
Perticas;1;;;;;;;;;1
PGW Advies;;1;;;;;;;;1
Pieterson Limited;;;;;2;;;;;2
Pinkcube B.V.;;;;;;;;1;;1
Pino Evenementen & Congressen B.V.;;;;;1;;;;;1
Plaatwerk, Fotografen;;;;;1;;;;;1
Plan@office Dordrecht B.V.;;;;;;;1;;;1
Plein 19 Den Haag B.V.;1;;;;;;;;;1
Plein 9 A B.V.;1;;;;;;1;1;;1
Polvo B.V.;;2;;;;;;;;2
POSG Holding B.V.;;2;;;;;;;;2
PP100 B.V.;1;;;;;;;;;1
Pré Consultants B.V.;;;2;;;;;;;2
Presence Translate & Interact B.V.;;;;;;;;1;;1
Printerette;;;;;1;;;1;;1
progressiv;;2;;;;;;;;2
promo2000;;;;;;;;1;;1
PromTeg B.V.;;2;;;;;;;;2
Propertynl B.V.;;;;;1;;;;;1
Protinus IT B.V.;;;;;;;;3;;3
Provada B.V.;1;;;;;;;;;1
Public Space Media B.V.;;;;;1;;;;;1
Qirion B.V.;;;;;;;2;;;2
Questionmarkgroup B.V.;2;1;2;;;;;;;3
R.E.C. Real Estate Consulting;;;;;;;2;;;2
RAD Refinish Autopoets & Detailing B.V.;;;1;;;;;;;1
RAI Amsterdam B.V.;1;;;;;;;;;1
Randstad Uitzendbureau;;2;;;;;;;;2
REACon B.V.;;;;;;;1;;;1
Reclameland BV;;;;;;;;1;;1
Regeldat;1;;;;;;;;;1
Regioplan Beleidsonderzoek B.V.;;;;;2;;;;;2
Reisswolf Nederland B.V.;;;;;;2;;1;;2
Renewi Nederland B.V.;;;;;;2;;;;2
Rentokil pest control;;;1;;;;;;;1
Restaurant De Basiliek B.V.;1;;;;;;;;;1
Restaurant Samen B.V.;1;;;;;;;;;1
Restauratie Atelier Oude Delft;;;;;;;1;;;1
Restauratieatelier Marjan de Visser;;;;;;;1;;;1
Retulp Custom B.V.;;;;;;;;1;;1
Rianne Groen Projects;;;;;;;1;;;1
Rijksvastgoedbedrijf;;;;1;;;;;;1
RM Holding B.V.;;;;;;;2;;;2
Rob Bouwman;;;;;;;1;;;1
Rob Vrijen;;;;;;;1;;;1
Robert Boon Holding;;;;;;;;1;;1
Robert Clarijs;;;;;;;2;;;2
Roel Dijkstra Persfotografie;;;;;;;;1;;1
Rollema Transport B.V.;;;;;;;1;;;1
Röntgen Technische Dienst B.V.;;1;;;;;;;;1
Roosje Klap;;;;;;;2;;;2
Royaal Security Services B.V.;;8;;;;;;;;8
RRS Nederland B.V.;;;1;;;;;;;1
Rubberprint B.V.;;;;;;;;1;;1
Rutger de Vries / Perongeluk;;;;;;;1;;;1
Ruys Handelsvereniging B.V.;;;;1;;;;;;1
SAIT B.V.;;1;;;;;;;;1
Sander Wassink;;;;;;;1;;;1
Saver N.V.;;;1;;;;;;;1
SchotB;1;;;;;;;;;1
Schut-Copex B.V.;;;;2;;;;;;2
Scrumartikelen;;;;;;;;1;;1
Scrumartikelen.nl;;;;;;;;1;;1
Securitas Beveiliging B.V.;;9;;;;;;;;9
Security Monitoring Centre;;1;;;;;;;;1
Selecta Netherlands B.V.;7;;;;;;;;;7
Sensz B.V.;1;;;;;;;;;1
Shuttel B.V.;;;;;;;;4;;4
SignPlan B.V.;;;;;;;4;;;4
Silverbeij B.V.;;;;;;;;1;;1
Sira Consulting B.V.;;;;;3;;;;;3
SITA National Sales;;;;;;4;;;;4
Sligro B.V.;;;;;;;;1;;1
SMELT Europe;;1;;;;;;1;;1
Smits Van Burgst Beveiliging B.V.;;;;;;;1;;;1
Sodexo Altys B.V.;1;;;;;;;;;1
SolBeach B.V.;1;;;;;;;;;1
Solits B.V.;;;;;;;1;;;1
SoloProtect B.V.;;2;;;;;;;;2
Speakers Academy®;1;;;;;;;;;1
Speed Identity AB;;;;1;;;;;;1
SPG Netherlands B.V.;;;;1;;;;;;1
SPITZ congres & event B.V.;;;;;;3;;3;;4
Sporttainment Center De Uithof B.V.;1;;;;;;;;;1
Stadsvilla Sonsbeek B.V.;1;;;;;;;;;1
Staples Nederland B.V.;3;;;;1;;;1;;3
Star Project;;;;;;;;1;;1
Steef Wildenbeest;;;;;;;1;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;1;;;;;;;;;1
Stg. Kenniscentrum Center People & Buildings;;;;;;;2;;;2
Stg. Recreatiecomplex Nieuwe Haven Witte Raaf;1;;;;;;;;;1
Stg. Service Centrum Auteurs & Nabur. rechten;;;;4;;;;;;4
Stichting Administratiekantoor Sdu Publishing;1;;;;;;;;;1
Stichting Arta;;;;;1;;;;;1
Stichting Bibliotheek Zuid-Kennemerland;;;;;;;;1;;1
Stichting Career Vision;;;;;1;;;;;1
Stichting de Baak;;;;;;;;1;;1
Stichting DeLaMar Theater;;;;;;;;1;;1
STICHTING HET NUTSHUIS;;;;;;;1;;;1
Stichting Holland Property Plaza;;;;;;;;1;;1
Stichting Internat. Perscentrum 'Nieuwspoort';2;;;;;;;;;2
Stichting Ipse de Bruggen;1;;;;;;;;;1
Stichting Kafkabrigade;;;;;1;;;;;1
Stichting Kunst & Cultuurhuis Cinetol;1;;;;;;;;;1
Stichting Lusthof-XL;1;;;;;;;;;1
Stichting Plint;;;;;;;1;;;1
Stichting Privacy by Design;;;;;;;2;;;2
STICHTING PRODEMOS;;;;1;;;;;;1
Stichting SEO Economisch Onderzoek;;;;;;;;2;;2
Stichting SETUP;;;;;;;;2;;2
Stichting Videma;;;;3;;;;;;3
Stichting Vrienden Nationaal Militair Museum;;;;;;;;;1;1
Stichting Waag Society;2;;;;;;;;;2
Stills B.V.;;;;;1;;;;;1
Stomerij Panda;;;;;;;;2;;2
