Kenteken,Carrosserie volgnummer,Carrosserie klasse volgnummer,Voertuigklasse,Voertuigklasse omschrijving
03BJD1,1,1,3,Klasse III
03BJP3,1,1,3,Klasse III
03BJR1,1,1,2,Klasse II
03BJS2,1,1,3,Klasse III
03BKF6,1,1,1,Klasse I
03BKF7,1,1,1,Klasse I
03BKG2,1,1,1,Klasse I
03BKL8,1,1,B,Klasse B
03BKP9,1,1,3,Klasse III
03BKR2,1,1,3,Klasse III
03BKS5,1,1,3,Klasse III
03BKZ1,1,1,1,Klasse I
03BLL5,1,1,3,Klasse III
03BLN1,1,1,1,Klasse I
03BLN9,1,1,1,Klasse I
03BLR1,1,1,1,Klasse I
03BLZ9,1,1,1,Klasse I
03BNB4,1,1,3,Klasse III
03BND4,1,1,B,Klasse B
03BND9,1,1,B,Klasse B
03BNK8,1,1,1,Klasse I
03BNN3,1,1,3,Klasse III
03BNR3,1,1,3,Klasse III
03BNS2,1,1,3,Klasse III
03BPB3,1,1,1,Klasse I
03BPD3,1,1,1,Klasse I
03BPF2,1,1,1,Klasse I
03BPJ9,1,1,3,Klasse III
03BPV3,1,1,1,Klasse I
03BPV6,1,1,1,Klasse I
03BPV7,1,1,1,Klasse I
03BPX3,1,1,1,Klasse I
03BPZ7,1,1,B,Klasse B
03BPZ8,1,1,1,Klasse I
03BPZ9,1,1,1,Klasse I
03BRB2,1,1,1,Klasse I
03BRB3,1,1,1,Klasse I
03BRB4,1,1,1,Klasse I
03BRS8,1,1,1,Klasse I
03BRT2,1,1,3,Klasse III
03BRV6,1,1,1,Klasse I
03BSL8,1,1,1,Klasse I
03BST1,1,1,1,Klasse I
03BSX7,1,1,2,Klasse II
03BTH1,1,1,B,Klasse B
03MB85,1,1,3,Klasse III
04BDG9,1,1,1,Klasse I
04BDH7,1,1,1,Klasse I
04BDH9,1,1,1,Klasse I
04BGB2,1,1,B,Klasse B
04BGN6,1,1,1,Klasse I
04BHB2,1,1,3,Klasse III
04BHB4,1,1,3,Klasse III
04BHP6,1,1,1,Klasse I
04BHP7,1,1,1,Klasse I
04BHR2,1,1,1,Klasse I
04BHR5,1,1,1,Klasse I
04BHV9,1,1,2,Klasse II
04BHX3,1,1,2,Klasse II
04BJB5,1,1,3,Klasse III
04BJF2,1,1,3,Klasse III
04BJG6,1,1,3,Klasse III
04BJL6,1,1,3,Klasse III
04BJS2,1,1,3,Klasse III
04BJS4,1,1,1,Klasse I
04BJZ3,1,1,A,Klasse A
04BKF6,1,1,1,Klasse I
04BKF7,1,1,1,Klasse I
04BKS8,1,1,3,Klasse III
04BKZ1,1,1,1,Klasse I
04BLD9,1,1,1,Klasse I
04BLF3,1,1,1,Klasse I
04BLN1,1,1,1,Klasse I
04BLS7,1,1,3,Klasse III
04BLT9,1,1,3,Klasse III
04BLZ6,1,1,3,Klasse III
04BLZ9,1,1,1,Klasse I
04BNF4,1,1,3,Klasse III
04BNG4,1,1,3,Klasse III
04BNS2,1,1,3,Klasse III
04BNV2,1,1,1,Klasse I
04BPB1,1,1,1,Klasse I
04BPF2,1,1,1,Klasse I
04BPJ9,1,1,3,Klasse III
04BPS7,1,1,3,Klasse III
04BPV3,1,1,1,Klasse I
04BPV6,1,1,1,Klasse I
04BPV7,1,1,1,Klasse I
04BPX3,1,1,1,Klasse I
04BPZ8,1,1,1,Klasse I
04BPZ9,1,1,1,Klasse I
04BRB2,1,1,1,Klasse I
04BRB3,1,1,1,Klasse I
04BRB4,1,1,3,Klasse III
04BRB7,1,1,1,Klasse I
04BRH6,1,1,2,Klasse II
04BRJ9,1,1,1,Klasse I
04BRS8,1,1,1,Klasse I
04BRV5,1,1,1,Klasse I
04BRV6,1,1,1,Klasse I
04BRZ6,1,1,3,Klasse III
04BSJ1,1,1,B,Klasse B
04BST1,1,1,1,Klasse I
04BST2,1,1,3,Klasse III
04VB71,1,1,3,Klasse III
05BDG9,1,1,1,Klasse I
05BDH7,1,1,1,Klasse I
05BDH9,1,1,1,Klasse I
05BDR6,1,1,2,Klasse II
05BGN6,1,1,1,Klasse I
05BHB3,1,1,3,Klasse III
05BHK8,1,1,3,Klasse III
05BHP6,1,1,1,Klasse I
05BHP7,1,1,1,Klasse I
05BHR4,1,1,1,Klasse I
05BHR5,1,1,1,Klasse I
05BHV9,1,1,2,Klasse II
05BHX2,1,1,1,Klasse I
05BHX3,1,1,2,Klasse II
05BJG6,1,1,3,Klasse III
05BJH7,1,1,2,Klasse II
05BJS2,1,1,3,Klasse III
05BJS4,1,1,1,Klasse I
05BJV3,1,1,A,Klasse A
05BKF7,1,1,1,Klasse I
05BKG2,1,1,1,Klasse I
05BLD9,1,1,1,Klasse I
05BLF3,1,1,1,Klasse I
05BLT9,1,1,3,Klasse III
05BLZ6,1,1,B,Klasse B
05BNB8,1,1,3,Klasse III
05BNF4,1,1,3,Klasse III
05BNG1,1,1,3,Klasse III
05BNP5,1,1,1,Klasse I
05BNR4,1,1,1,Klasse I
05BNS9,1,1,3,Klasse III
05BNT1,1,1,1,Klasse I
05BNV2,1,1,1,Klasse I
05BNX5,1,1,1,Klasse I
05BNZ5,1,1,B,Klasse B
05BNZ9,1,1,3,Klasse III
05BPB1,1,1,1,Klasse I
05BPD2,1,1,1,Klasse I
05BPJ3,1,1,1,Klasse I
05BPK2,1,1,1,Klasse I
05BPP9,1,1,1,Klasse I
05BPV7,1,1,1,Klasse I
05BPX3,1,1,1,Klasse I
05BPZ8,1,1,1,Klasse I
05BPZ9,1,1,1,Klasse I
05BRB2,1,1,1,Klasse I
05BRB3,1,1,1,Klasse I
05BRB7,1,1,1,Klasse I
05BRV5,1,1,1,Klasse I
05BRV6,1,1,1,Klasse I
05BSJ7,1,1,3,Klasse III
05BSP1,1,1,1,Klasse I
05BTB3,1,1,3,Klasse III
05BTF2,1,1,3,Klasse III
06AB51,1,1,3,Klasse III
06BDG9,1,1,1,Klasse I
06BDH7,1,1,1,Klasse I
06BDH9,1,1,1,Klasse I
06BGF5,1,1,3,Klasse III
06BGN6,1,1,1,Klasse I
06BGR5,1,1,1,Klasse I
06BGV3,1,1,3,Klasse III
06BHB3,1,1,3,Klasse III
06BHV9,1,1,2,Klasse II
06BHX2,1,1,1,Klasse I
06BHX3,1,1,2,Klasse II
06BHZ9,1,1,B,Klasse B
06BJG6,1,1,3,Klasse III
06BJK4,1,1,B,Klasse B
06BJL1,1,1,3,Klasse III
06BJN5,1,1,3,Klasse III
06BJS4,1,1,1,Klasse I
06BJT3,1,1,1,Klasse I
06BKF7,1,1,1,Klasse I
06BKJ3,1,1,3,Klasse III
06BKS8,1,1,3,Klasse III
06BKZ1,1,1,1,Klasse I
06BLN6,1,1,1,Klasse I
06BLZ9,1,1,1,Klasse I
06BND6,1,1,3,Klasse III
06BNF4,1,1,3,Klasse III
06BNG2,1,1,3,Klasse III
06BNT1,1,1,1,Klasse I
06BNV1,1,1,1,Klasse I
06BNV2,1,1,1,Klasse I
06BNV5,1,1,3,Klasse III
06BNX5,1,1,1,Klasse I
06BNZ3,1,1,1,Klasse I
06BPB3,1,1,1,Klasse I
06BPH3,1,1,1,Klasse I
06BPK2,1,1,1,Klasse I
06BPV3,1,1,1,Klasse I
06BPZ8,1,1,1,Klasse I
06BPZ9,1,1,1,Klasse I
06BRB2,1,1,1,Klasse I
06BRB7,1,1,1,Klasse I
06BRJ8,1,1,1,Klasse I
06BRV5,1,1,1,Klasse I
06BRV6,1,1,1,Klasse I
06BST1,1,1,1,Klasse I
06BST5,1,1,3,Klasse III
06BSX3,1,1,3,Klasse III
06BTN8,1,1,A,Klasse A
06BTR3,1,1,3,Klasse III
06BTS8,1,1,3,Klasse III
07BDG9,1,1,1,Klasse I
07BDH7,1,1,1,Klasse I
07BDR6,1,1,2,Klasse II
07BHB3,1,1,3,Klasse III
07BHG6,1,1,3,Klasse III
07BHP6,1,1,1,Klasse I
07BHR4,1,1,1,Klasse I
07BHR5,1,1,1,Klasse I
07BHX2,1,1,2,Klasse II
07BHX3,1,1,2,Klasse II
07BJD1,1,1,3,Klasse III
07BJG6,1,1,3,Klasse III
07BJZ4,1,1,1,Klasse I
07BKF7,1,1,1,Klasse I
07BKJ3,1,1,3,Klasse III
07BKV7,1,1,B,Klasse B
07BLB3,1,1,3,Klasse III
07BLN1,1,1,1,Klasse I
07BLN2,1,1,1,Klasse I
07BLP6,1,1,B,Klasse B
07BLZ9,1,1,1,Klasse I
07BNF9,1,1,3,Klasse III
07BNP5,1,1,1,Klasse I
07BNR4,1,1,1,Klasse I
07BNT3,1,1,1,Klasse I
07BNV1,1,1,1,Klasse I
07BNX5,1,1,1,Klasse I
07BPB1,1,1,1,Klasse I
07BPB3,1,1,1,Klasse I
07BPD2,1,1,1,Klasse I
07BPH3,1,1,1,Klasse I
07BPV7,1,1,1,Klasse I
07BPZ8,1,1,1,Klasse I
07BPZ9,1,1,1,Klasse I
07BRB2,1,1,1,Klasse I
07BRN9,1,1,B,Klasse B
07BRV5,1,1,1,Klasse I
07BRV6,1,1,1,Klasse I
07BST1,1,1,1,Klasse I
08BDG9,1,1,1,Klasse I
08BDR6,1,1,1,Klasse I
08BFT3,1,1,3,Klasse III
08BGB4,1,1,2,Klasse II
08BGN6,1,1,1,Klasse I
08BHB2,1,1,3,Klasse III
08BHG6,1,1,3,Klasse III
08BHP6,1,1,1,Klasse I
08BHP7,1,1,1,Klasse I
08BHR5,1,1,1,Klasse I
08BHS5,1,1,1,Klasse I
08BHV5,1,1,3,Klasse III
08BHV9,1,1,2,Klasse II
08BHX2,1,1,1,Klasse I
08BHX3,1,1,2,Klasse II
08BJD1,1,1,3,Klasse III
08BJF2,1,1,3,Klasse III
08BJG6,1,1,3,Klasse III
08BJS4,1,1,1,Klasse I
08BKF7,1,1,1,Klasse I
08BLN1,1,1,1,Klasse I
08BLN9,1,1,1,Klasse I
08BLP3,1,1,1,Klasse I
08BLZ9,1,1,1,Klasse I
08BNF9,1,1,3,Klasse III
08BNJ6,1,1,3,Klasse III
08BNK8,1,1,1,Klasse I
08BNL8,1,1,1,Klasse I
08BNR4,1,1,1,Klasse I
08BNT1,1,1,1,Klasse I
08BNV2,1,1,1,Klasse I
08BNX5,1,1,1,Klasse I
08BNZ3,1,1,1,Klasse I
08BPB1,1,1,1,Klasse I
08BPH3,1,1,1,Klasse I
08BPJ9,1,1,3,Klasse III
08BPV3,1,1,1,Klasse I
08BPV7,1,1,1,Klasse I
08BPZ8,1,1,1,Klasse I
08BPZ9,1,1,1,Klasse I
08BRB2,1,1,1,Klasse I
08BRB3,1,1,1,Klasse I
08BRB4,1,1,3,Klasse III
08BRV5,1,1,1,Klasse I
08BRV6,1,1,1,Klasse I
08BSH4,1,1,A,Klasse A
08BSK7,1,1,1,Klasse I
08BST1,1,1,1,Klasse I
08BSV2,1,1,3,Klasse III
08BTP4,1,1,3,Klasse III
09BDG9,1,1,1,Klasse I
09BDH9,1,1,1,Klasse I
09BGD7,1,1,B,Klasse B
09BGN6,1,1,1,Klasse I
09BHB3,1,1,3,Klasse III
09BHB7,1,1,3,Klasse III
09BHD9,1,1,B,Klasse B
09BHF7,1,1,3,Klasse III
09BHG6,1,1,3,Klasse III
09BHK1,1,1,3,Klasse III
09BHV9,1,1,2,Klasse II
09BHX3,1,1,2,Klasse II
09BHX5,1,1,1,Klasse I
09BJD1,1,1,3,Klasse III
09BJG6,1,1,3,Klasse III
09BJH1,1,1,2,Klasse II
09BJH9,1,1,3,Klasse III
09BJP5,1,1,3,Klasse III
09BJS4,1,1,1,Klasse I
09BJV3,1,1,A,Klasse A
09BJZ4,1,1,1,Klasse I
09BKF7,1,1,1,Klasse I
09BKG2,1,1,1,Klasse I
09BKX9,1,1,3,Klasse III
09BKZ1,1,1,1,Klasse I
09BLF3,1,1,1,Klasse I
09BLL5,1,1,1,Klasse I
09BLP4,1,1,2,Klasse II
09BLZ9,1,1,1,Klasse I
09BNR4,1,1,1,Klasse I
09BNV1,1,1,1,Klasse I
09BNV2,1,1,1,Klasse I
09BNX5,1,1,1,Klasse I
09BPB1,1,1,1,Klasse I
09BPK9,1,1,3,Klasse III
09BPV3,1,1,1,Klasse I
09BPZ8,1,1,1,Klasse I
09BPZ9,1,1,1,Klasse I
09BRB2,1,1,1,Klasse I
09BRV6,1,1,1,Klasse I
09BSK7,1,1,1,Klasse I
09BSL8,1,1,1,Klasse I
09BSR8,1,1,3,Klasse III
09BST1,1,1,1,Klasse I
09BSZ7,1,1,B,Klasse B
1000ZZ,1,1,A,Klasse A
1001ZZ,1,1,A,Klasse A
1002ZZ,1,1,A,Klasse A
10BDG9,1,1,1,Klasse I
10BDH9,1,1,1,Klasse I
10BDR6,1,1,2,Klasse II
10BFB6,1,1,3,Klasse III
10BFZ7,1,1,3,Klasse III
10BGB4,1,1,2,Klasse II
10BGG9,1,1,1,Klasse I
10BHB3,1,1,3,Klasse III
10BHB7,1,1,3,Klasse III
10BHD5,1,1,3,Klasse III
10BHG6,1,1,3,Klasse III
10BHP2,1,1,1,Klasse I
10BHR4,1,1,1,Klasse I
10BHR5,1,1,1,Klasse I
10BHT3,1,1,2,Klasse II
10BHV5,1,1,2,Klasse II
10BHV8,1,1,1,Klasse I
10BHV9,1,1,2,Klasse II
10BHX3,1,1,2,Klasse II
10BHX5,1,1,1,Klasse I
10BJD1,1,1,3,Klasse III
10BJG6,1,1,3,Klasse III
10BJK9,1,1,3,Klasse III
10BJP5,1,1,1,Klasse I
10BJS4,1,1,1,Klasse I
10BJT5,1,1,B,Klasse B
10BKF4,1,1,1,Klasse I
10BKF7,1,1,1,Klasse I
10BKG2,1,1,1,Klasse I
10BKL5,1,1,3,Klasse III
10BKR7,1,1,3,Klasse III
10BKZ1,1,1,1,Klasse I
10BLF3,1,1,1,Klasse I
10BLL5,1,1,1,Klasse I
10BLN1,1,1,1,Klasse I
10BLN6,1,1,1,Klasse I
10BLP6,1,1,3,Klasse III
10BLZ9,1,1,1,Klasse I
10BNB2,1,1,3,Klasse III
10BNB4,1,1,3,Klasse III
10BNF9,1,1,3,Klasse III
10BNL1,1,1,3,Klasse III
10BNL8,1,1,1,Klasse I
10BNR4,1,1,1,Klasse I
10BNT1,1,1,1,Klasse I
10BNZ3,1,1,1,Klasse I
10BPB1,1,1,1,Klasse I
10BPH3,1,1,1,Klasse I
10BPP6,1,1,B,Klasse B
10BPV3,1,1,1,Klasse I
10BPV7,1,1,1,Klasse I
10BPZ8,1,1,1,Klasse I
10BPZ9,1,1,1,Klasse I
10BRB2,1,1,1,Klasse I
10BRB3,1,1,1,Klasse I
10BRG4,1,1,3,Klasse III
10BRJ8,1,1,1,Klasse I
10BRR8,1,1,B,Klasse B
10BRV6,1,1,1,Klasse I
10BSJ7,1,1,3,Klasse III
10BSJ8,1,1,1,Klasse I
10BSN9,1,1,3,Klasse III
11BDH9,1,1,1,Klasse I
11BDR6,1,1,1,Klasse I
11BFZ7,1,1,3,Klasse III
11BGG9,1,1,B,Klasse B
11BHB3,1,1,3,Klasse III
11BHB7,1,1,3,Klasse III
11BHD5,1,1,3,Klasse III
11BHF7,1,1,3,Klasse III
11BHN3,1,1,3,Klasse III
11BHP7,1,1,1,Klasse I
11BHR5,1,1,1,Klasse I
11BHS5,1,1,1,Klasse I
11BHT3,1,1,2,Klasse II
11BHV5,1,1,2,Klasse II
11BHV8,1,1,1,Klasse I
11BHX5,1,1,1,Klasse I
11BJD1,1,1,3,Klasse III
11BKD4,1,1,1,Klasse I
11BKF4,1,1,1,Klasse I
11BKF7,1,1,1,Klasse I
11BKF8,1,1,1,Klasse I
11BKG2,1,1,1,Klasse I
11BKS7,1,1,3,Klasse III
11BLL5,1,1,1,Klasse I
11BLN1,1,1,1,Klasse I
11BLT5,1,1,3,Klasse III
11BLT7,1,1,1,Klasse I
11BLX2,1,1,3,Klasse III
11BNK8,1,1,1,Klasse I
11BNT3,1,1,1,Klasse I
11BNV1,1,1,1,Klasse I
11BNV2,1,1,1,Klasse I
11BNX5,1,1,1,Klasse I
11BPB1,1,1,1,Klasse I
11BPH3,1,1,1,Klasse I
11BPJ9,1,1,3,Klasse III
11BPV3,1,1,1,Klasse I
11BPZ8,1,1,1,Klasse I
11BPZ9,1,1,1,Klasse I
11BRB4,1,1,3,Klasse III
11BSG9,1,1,3,Klasse III
11BSK7,1,1,1,Klasse I
11BSR7,1,1,3,Klasse III
11BSR8,1,1,3,Klasse III
11BSV6,1,1,1,Klasse I
12BDG9,1,1,1,Klasse I
12BDH9,1,1,1,Klasse I
12BGB4,1,1,3,Klasse III
12BGL5,1,1,3,Klasse III
12BGN6,1,1,1,Klasse I
12BHB3,1,1,3,Klasse III
12BHP2,1,1,1,Klasse I
12BHP6,1,1,1,Klasse I
12BHR4,1,1,1,Klasse I
12BHR5,1,1,1,Klasse I
12BHT3,1,1,2,Klasse II
12BHV5,1,1,2,Klasse II
12BHV8,1,1,1,Klasse I
12BHX3,1,1,2,Klasse II
12BHX5,1,1,1,Klasse I
12BJD1,1,1,3,Klasse III
12BJL8,1,1,3,Klasse III
12BJS4,1,1,1,Klasse I
12BKD4,1,1,1,Klasse I
12BKF4,1,1,1,Klasse I
12BKF7,1,1,1,Klasse I
12BKF8,1,1,1,Klasse I
12BKR2,1,1,3,Klasse III
12BKZ1,1,1,1,Klasse I
12BLF3,1,1,1,Klasse I
12BLL6,1,1,1,Klasse I
12BLN1,1,1,1,Klasse I
12BLP9,1,1,3,Klasse III
12BLR1,1,1,1,Klasse I
12BLT7,1,1,1,Klasse I
12BLZ8,1,1,1,Klasse I
12BNF9,1,1,3,Klasse III
12BNG1,1,1,3,Klasse III
12BNJ8,1,1,3,Klasse III
12BNP1,1,1,2,Klasse II
12BNT1,1,1,1,Klasse I
12BNV1,1,1,1,Klasse I
12BNV2,1,1,1,Klasse I
12BNV5,1,1,3,Klasse III
12BNX3,1,1,3,Klasse III
12BNX5,1,1,1,Klasse I
12BNZ3,1,1,1,Klasse I
12BNZ9,1,1,2,Klasse II
12BPB1,1,1,1,Klasse I
12BPJ7,1,1,3,Klasse III
12BPV7,1,1,1,Klasse I
12BPZ8,1,1,1,Klasse I
12BPZ9,1,1,1,Klasse I
12BRB2,1,1,1,Klasse I
12BRB4,1,1,3,Klasse III
12BSK7,1,1,1,Klasse I
12BST1,1,1,1,Klasse I
12BSV6,1,1,3,Klasse III
12BTF2,1,1,3,Klasse III
12BTV4,1,1,3,Klasse III
12BTV6,1,1,A,Klasse A
13BDG9,1,1,1,Klasse I
13BDH9,1,1,1,Klasse I
13BFF2,1,1,3,Klasse III
13BGH5,1,1,1,Klasse I
13BGX9,1,1,B,Klasse B
13BHB3,1,1,3,Klasse III
13BHD3,1,1,3,Klasse III
13BHP2,1,1,1,Klasse I
13BHP6,1,1,1,Klasse I
13BHT3,1,1,2,Klasse II
13BHV5,1,1,2,Klasse II
13BHV8,1,1,1,Klasse I
13BHX1,1,1,1,Klasse I
13BHX3,1,1,2,Klasse II
13BHZ3,1,1,3,Klasse III
13BJD1,1,1,3,Klasse III
13BJL8,1,1,3,Klasse III
13BJR4,1,1,3,Klasse III
13BKD4,1,1,1,Klasse I
13BKF4,1,1,1,Klasse I
13BKF6,1,1,1,Klasse I
13BKF7,1,1,1,Klasse I
13BKF8,1,1,1,Klasse I
13BKF9,1,1,1,Klasse I
13BKG2,1,1,1,Klasse I
13BKG9,1,1,B,Klasse B
13BKN4,1,1,3,Klasse III
13BKP6,1,1,3,Klasse III
13BKX1,1,1,3,Klasse III
13BKX7,1,1,3,Klasse III
13BKZ1,1,1,1,Klasse I
13BLF3,1,1,1,Klasse I
13BLL5,1,1,1,Klasse I
13BNG9,1,1,3,Klasse III
13BNK1,1,1,B,Klasse B
13BNN1,1,1,B,Klasse B
13BNR2,1,1,B,Klasse B
13BNS4,1,1,3,Klasse III
13BNV1,1,1,1,Klasse I
13BNX3,1,1,3,Klasse III
13BNX5,1,1,1,Klasse I
13BPB1,1,1,1,Klasse I
13BPF5,1,1,3,Klasse III
13BPH4,1,1,A,Klasse A
13BPV7,1,1,1,Klasse I
13BPZ2,1,1,3,Klasse III
13BPZ8,1,1,1,Klasse I
13BPZ9,1,1,1,Klasse I
13BRB2,1,1,1,Klasse I
13BRB3,1,1,1,Klasse I
13BRJ9,1,1,1,Klasse I
13BRR9,1,1,3,Klasse III
13BRV5,1,1,3,Klasse III
13BRZ6,1,1,1,Klasse I
13BTF4,1,1,3,Klasse III
13BTR3,1,1,3,Klasse III
1419FB,1,1,3,Klasse III
14BBR5,1,1,3,Klasse III
