Ministerie;Handelsnaam;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
BZK;7AM B.V.;;;;;;;;1;1
BZK;Aces Direct B.V;;;;;;;;1;1
BZK;Adobe;;;;1;;;;;1
BZK;Amazon;;1;;;;;;;1
BZK;Analys.io b.v.;;;;;;;;1;1
BZK;Angi Studio B.V.;;;;;;;;1;1
BZK;anoniem 121;;;;;;;;1;1
BZK;anoniem 370;;;1;;;;;;1
BZK;anoniem 378;;;;;1;;;;1
BZK;anoniem 390;;;;;;;;1;1
BZK;anoniem 391;;;;;;;;1;1
BZK;anoniem 401;;;;;;;1;;1
BZK;anoniem 402;;;;;;;;1;1
BZK;anoniem 408;;;;;;;;1;1
BZK;anoniem 419;;;;;;;;1;1
BZK;Antalis B.V.;;;;;1;;;;1
BZK;Apple;;1;;;;;;;1
BZK;Apro Consulting Services B.V.;;;1;;;;;;1
BZK;Archidat B.V.;;;;;1;;;;1
BZK;Asp4all Hosting B.V.;;;;;;1;;;1
BZK;Atlassian;;;;1;;;;;1
BZK;Avex B.V.;;1;;;;;;;1
BZK;Axians;;;;1;1;;;;1
BZK;B.i.T. Netherlands B.V.;;;;;;;;1;1
BZK;Babel B.V.;;;1;;;;;;1
BZK;Backup Transport & Depot Services B.V.;;;1;;;;;;1
BZK;BAM Bouw en Techniek B.V.;;;;;;;;1;1
BZK;Banketbakkerij Boheemen;;;;;;;;1;1
BZK;Bart Hoogveld beeldredactie & Fotografie;;;;;;;;1;1
BZK;BCN B.V.;;;1;;;;;;1
BZK;Beachclub Twins;;;;;;;;1;1
BZK;Belstore.Com B.V.;;;;;;;1;;1
BZK;Beter Horen;;1;;;;;;;1
BZK;Big Data Value Center;;;;;;;;1;1
BZK;Bimforce Projects B.V.;;;1;;;;;;1
BZK;Bleyenberg;;;;;;;;1;1
BZK;BlueBerry Media B.V.;;;;;;;;1;1
BZK;bol.com B.V.;;;;;;;1;1;1
BZK;Brocade Communications Switzerland Sàrl;;;;;;;;1;1
BZK;BroekHuizenWirtz;;;;;;;;1;1
BZK;Budgetronics;;;;;;;1;1;1
BZK;Bumicom Telecommunicatie B.V.;;;;;;1;;;1
BZK;Bureau Zuidema Learning Solutions B.V.;;;1;;;;;;1
BZK;BURGER, J.;;;1;;;;;;1
BZK;Business Openers;;;;;;;;1;1
BZK;BWS Consulting B.V.;;;;;;;;1;1
BZK;Cabinet Office;;;;;;;;1;1
BZK;Cambrium B.V.;;;;;;;1;;1
BZK;Cannock Chase;;;;;;;1;;1
BZK;Center for internet Security. inc;;;;1;;;;;1
BZK;Central Point Software;;;;;;;;1;1
BZK;CERRIX B.V.;;;;;;;;1;1
BZK;CertifyPoint BV;;;;;;;;1;1
BZK;Circle Software Group B.V.;;;;;;;;1;1
BZK;Claranet Benelux B.V.;;;;;1;;;1;1
BZK;CoCo Tech;;;;1;;;;;1
BZK;CompLions;;;;;1;;;1;1
BZK;Coney Analytix;;;;;1;;;;1
BZK;Content Kings B.V.;;;;;;;;1;1
BZK;Coöperatieve vereniging OpenGeoGroep UA;;;;1;;;;;1
BZK;Coosto B.V.;;;;1;;;;;1
BZK;CPS- GmbH;;;;;;;;1;1
BZK;CRP B.V.;;;;;;1;;;1
BZK;Customer Revolution B.V.;;;;;;;;1;1
BZK;Dalosy Projecten B.V.;;;;1;;;;;1
BZK;Data Amplified;;;;;;;;1;1
BZK;De Groen Advisering;;;;;;1;;;1
BZK;De Holland Winkel.nl;;;;;;;;1;1
BZK;De Horeca Academie Zakelijk BV;;;;;;;;1;1
BZK;De Redactie;;;;;;;;1;1
BZK;De Zilveren Vosch vergader-en congresaccomodatie;;;;;;;;1;1
BZK;DesktoptoWork B.V.;;;;1;;;;;1
BZK;DGMR Software B.V.;;;;1;;;;;1
BZK;Digicelgroup - Antilliano por N.V.;;;;;;;1;;1
BZK;Digicelgroup - New Millenium Telecom;;;;;;;1;;1
BZK;Driebit Hosting B.V.;;;;1;;;;;1
BZK;DROG;;;;;;;;1;1
BZK;Drooms AG;;;;;1;;;;1
BZK;Drukwerkdeal.nl;;;;;;;;1;1
BZK;DSA ICT Services & Software BV;;;;;1;;;;1
BZK;Duett B.V.;;;;1;1;;;;1
BZK;DVLOP-IT;;;;;;;;1;1
BZK;easy2rent B.V.;;;;;;1;;;1
BZK;Easydus B.V.;;;;1;;;;;1
BZK;Eenhoorn Meeting Center;;;;;;;;1;1
BZK;Effect Business Events B.V.;;;;;;;;1;1
BZK;Elgersma Mediaproducties;;;;;;;;1;1
BZK;Elsevier Business Information;;;;1;;;;;1
BZK;EM Group Nederland B.V. (VEGA);;;;;;;;1;1
BZK;European Biometrics Group;;;;;;;;1;1
BZK;Evention Inc.;;;;;1;;;;1
BZK;Evolve B.V.;;;;1;;;;;1
BZK;Explore-IT B.V.;;;;;1;;;;1
BZK;Faasen Advies;;;;;;;;1;1
BZK;Facilion B.V.;;;;1;;;;;1
BZK;Falcon.io ApS;;;;;1;;;;1
BZK;FastSpring B.V.;;1;;;;;;;1
BZK;Firma Beukeveld;;;;;;;;1;1
BZK;Fletcher Hotels Leidschendam;;;;;;;;1;1
BZK;Fortes Solutions B.V.;;;;;1;;;1;1
BZK;Fox-IT B.V.;;;;;;1;;;1
BZK;Fsprg.UK;;1;;;;;;;1
BZK;Gemnet B.V.;;;;;;;1;;1
BZK;Greenonline B.V.;;;;;;;1;;1
BZK;GW Cross Media B.V.;;;;1;;;;;1
BZK;GW Crossmedia;;;;;;;;1;1
BZK;Hans Roggen Fotografie;;;;;;;;1;1
BZK;Hans Vos Advies;;;;;;;;1;1
BZK;Health2Work;;1;;;;;;;1
BZK;Hilti Nederland B.V.;;;;1;;;;;1
BZK;Hodac B.V.;;;1;;;;;;1
BZK;Holding Beheermaatschappij Ropeni B.V.;;;;;;;;1;1
BZK;Hollandse Hoogte;;;;;;;;1;1
BZK;Hollandse Hoogte B.V.;;;;;1;;;;1
BZK;HP Nederland B.V.;;;1;;;;;;1
BZK;Human Concept V.O.F.;;;;;;;;1;1
BZK;i2a2 Interim proffessional en advies;;;;;;;;1;1
BZK;iBabs B.V.;;;;1;;;;;1
BZK;Ideoma Intelligent Systems B.V.;;;;1;;;;;1
BZK;In2Content B.V.;;;;;;;;1;1
BZK;In60Seconds;;;;;;;;1;1
BZK;Infiniwing;;;;1;;;;;1
BZK;Infoprojects;;;;1;;;;1;1
BZK;Informed Products B.V.;;;;;1;;;;1
BZK;ING Corparate Card;;;;1;;;;;1
BZK;InsightsWorld B.V.;;;;1;1;;;;1
BZK;Intelec Systems B.V.;;;1;;;;;;1
BZK;Intermax Holding B.V.;;;;;;;;1;1
BZK;Intermax outsourcing;;;;;1;;;1;1
BZK;Internedservices;;;;;;;1;1;1
BZK;Interpulse Automatisering B.V.;;;;;;1;;;1
BZK;Involon B.V.;;;;1;;;;;1
BZK;iQibt B.V.;;;;;;;;1;1
BZK;Iris-International;;;;1;;;;;1
BZK;IS Group BV;;;;;;1;;;1
BZK;IT Management Group;;;;;;;;1;1
BZK;Key Music Nederland B.V.;;1;;;;;;;1
BZK;Klantenservice Federatie;;;;;;;;1;1
BZK;KPN Consulting B.V.;;;;;;;1;;1
BZK;KPN XL;;;;;;1;;;1
BZK;Kransen IT;;;;;1;;;;1
BZK;Lean Six Sigma College B.V.;;;1;;;;;;1
BZK;Leapfrog B.V.;;;1;;;;;;1
BZK;LevelUp Group;;;;1;;;;;1
BZK;LinkedIn Ireland Limited;;;;;1;;;;1
BZK;Ljs Automatisering B.V.;;;;1;;;;;1
BZK;Load Impact;;;;;1;;;;1
BZK;Lyreco Nederland B.V.;;1;;;;;;;1
BZK;M & I /Partners B.V.;;;;;;;;1;1
BZK;Madurodam B.V.;;;;;;;;1;1
BZK;Mainpress Bv;;;;;;;;1;1
BZK;MatchMark;;;;;;;;1;1
BZK;MathAlex;;;;;;;;1;1
BZK;MatZwart;;;1;;;;;;1
BZK;Maxd'Oro B.V.;;;;;1;;;;1
BZK;MD-kwadraat;;;;;;;;1;1
BZK;Memory Online B.V.;;;;;1;;;;1
BZK;Messagebird;;;;;;;1;;1
BZK;Messagebird B.V.;;;;;;;1;;1
BZK;Mett;;;;1;;;;;1
BZK;Meurs HRM;;;;1;1;;;;1
BZK;mhasmo B.V.;;;;;;;;1;1
BZK;Ministery of Justice of the republic of Croatia;;;;;;;;1;1
BZK;MK-Trading;;1;;;;;;1;1
BZK;MMM Interactieve Communicatie;;;;;1;;;;1
BZK;Mollie Roadtripp;;;;1;;;;;1
BZK;Mproof Beheer B.V.;;;;;;;;1;1
BZK;MSI Services B.V.;;;;1;;;;;1
BZK;Museum voor Communicatie;;;;;;;;1;1
BZK;myBrand;;;1;;;;;;1
BZK;Nationale Beeldbank B.V.;;;;;;;;1;1
BZK;Nauta Security Storage B.V.;;;;;;1;;;1
BZK;NCC Group Escrow Europe B.V.;;;1;;;;;;1
BZK;Netprofiler B.V.;;;;;;;;1;1
BZK;Network Operations B.V.;;;;;1;;;;1
BZK;Networking4all B.V.;;;;1;1;;;;1
BZK;New Babylon Meeting Center B.V.;;;;;;;;1;1
BZK;NH Den Haag;;;;;;;;1;1
BZK;Nota Bene B.V.;;;;;1;;;;1
BZK;Notificare BV;;;;1;;;;;1
BZK;NSD International NL B.V.;;;1;;;;;;1
BZK;Odyssee B.V.;;;;1;;;;;1
BZK;Office Depot B.V.;;1;;;;;;;1
BZK;Omnext B.V.;;;;;1;;;;1
BZK;Onderzoeksbureau GBNED;;;;;;;;1;1
BZK;Onesto Automatisering;;;;1;;;;;1
BZK;Open Preservation Foundation;;;;;;;;1;1
BZK;Oracle Benelux Usergroups;;;;1;;;;;1
BZK;Orcavoice B.V.;;;;;;;1;;1
BZK;Ordina Beheer & Outsourcing;;;1;;;;;;1
BZK;Othersight;;;;;;;;1;1
BZK;Paralax B.V.;;;;;1;;;;1
BZK;PC-koning;;;;;;;;1;1
BZK;People make Senze B.V.;;;;;;;;1;1
BZK;Pink Elephant Business Intelligence B.V.;;;;;1;;;;1
BZK;Postcode.NL B.V.;;;;1;;;;;1
BZK;Powerling;;;;;;;;1;1
BZK;PPT Solutions;;;;;;;;1;1
BZK;Previder;;;;1;;;;;1
BZK;Prezi Inc.;;;;1;;;;;1
BZK;Prisma Groep B.V.;;;1;;;;;;1
BZK;Promio;;;;;;;;1;1
BZK;Promopodium B.V.;;;;;;;;1;1
BZK;Protagonist.nl;;;;;;;;1;1
BZK;Publiek Denken;;;;;;;;1;1
BZK;Pullman Hotels en Resorts;;;;;;;;1;1
BZK;QMS;;;;;;;;1;1
BZK;Quint Wellington Redwood Nederland B.V.;;;1;;;;;;1
BZK;Quizworks B.V.;;;;;1;;;;1
BZK;R.E.D. Systemen B.V.;;;1;;;;;;1
BZK;RAS Partycatering en Services BV;;;;;;;;1;1
BZK;ReadSpeaker B.V.;;;;;1;;;;1
BZK;Regas IP B.V.;;;;;1;;;;1
BZK;Repromat B.V.;;;;1;;;;;1
BZK;Retriever Media Informatie B.V.;;;;;;;1;;1
BZK;RIPE NCC;;;;;;1;;1;1
BZK;RIS Consultancy B.V;;;;;;;;1;1
BZK;Runner Transport System BV;;;;;;;;1;1
BZK;Scan Sys B.V.;;;;;1;;;;1
BZK;Sdu Uitgevers B.V.;;;;;1;;;;1
BZK;Secury Products;;1;;;;;;;1
BZK;SGOA;;;;;;;;1;1
BZK;SHARP Electronics Benelux B.V.;;1;1;;;;;;1
BZK;SharpCloud;;;;;;;;1;1
BZK;Snelle Vliet Touringcars B.V.;;;;;;;;1;1
BZK;Softcrow Trusted Electronic Services B.V.;;;;1;;;;;1
BZK;SoftwareONE BV;;;;;;;;1;1
BZK;Solvinity B.V.;;;;;1;;;;1
BZK;Sportsdesign Utrecht B.V.;;;;;;;;1;1
BZK;Spotler Nederland B.V.;;;;;1;1;;;1
BZK;Spring Media;;;;1;;;;;1
BZK;Staples Nederland B.V.;;;1;;;;;;1
BZK;STB Automatisering & Advies B.V.;;;;1;;;;;1
BZK;Stedin;;;1;;;;;;1
BZK;Sticht. Centr. For Int. Legal Cooperation;;;1;;;;;;1
BZK;Sticht. Internet Domeinregistratie Nederland;;;;1;1;;;;1
BZK;Stichting Beheer Derdengelden X Pact;;;;;;;;1;1
BZK;Stichting Pleio;;;;;;;;1;1
BZK;Stichting Simplerinvoicing;;;;;;;;1;1
BZK;Stichting Waag Society;;;;;;;;1;1
BZK;Studio Ribberink Reklame;;;;;;;;1;1
BZK;Sumatra Software B.V.;;;;;1;;;;1
BZK;Survey Monkey;;;;1;;;;;1
BZK;SurveyMonkey;;;;;1;;;;1
BZK;Talmundo Netherlands B.V.;;;;;1;;;;1
BZK;Tapas en Mezzes;;;;;;;;1;1
BZK;TCR group;;;;;;;;1;1
BZK;Team Biesbosch B.V.;;;;;;;;1;1
BZK;Technosoft B.V.;;;;1;;;;;1
BZK;Telecom Service Leek B.V.;;;;;;;1;;1
BZK;TelefonischOverleg.NL;;;;;;;1;;1
BZK;Telekom Deutschland GmbH;;;;;;;1;;1
BZK;Telfort Zakelijk B.V.;;;;;;;1;;1
BZK;The Omni Group;;;;1;;;;;1
BZK;The Right Productions;;;;1;;;;;1
BZK;Tie Nederland B.V.;;;;;;;;1;1
BZK;Tilaa.com;;;;;;;;1;1
BZK;TimeTell B.V.;;;;;1;;;;1
BZK;T-Mobile Netherlands B.V.;;;;;;;1;;1
BZK;TomTom Telematics Sales B.V.;;;;;1;;;;1
BZK;Topgeschenken Nederland B.V.;;;;;;;;1;1
BZK;Transposafe;;;;;;;;1;1
BZK;TruQu B.V.;;;;1;;;;;1
BZK;T-Wise B.V.;;;;1;;;;;1
BZK;Two Kings B.V.;;;;1;;;;;1
BZK;Uitleg & Tekst;;;;;;;;1;1
BZK;UniCarriers Netherlands B.V.;;1;1;;;;;;1
BZK;Valori High Performance Maintenance B.V.;;;;;;;;1;1
BZK;Van der Valk Apeldoorn de Cantharel;;;;;;;;1;1
BZK;Van slobbe;;;;;;;;1;1
BZK;Van Zijderveld;;;;;;;;1;1
BZK;VCD CSS;;;;;1;;;;1
BZK;VCK Travel B.V.;;;;;;;;1;1
BZK;Ventis B.V.;;;;;;;;1;1
BZK;Verizon Nederland B.V.;;;;;1;;1;;1
BZK;vertalen.nl;;;;;;;;1;1
BZK;Vijfhart IT-Opleidingen;;;;;;;;1;1
BZK;Visma Software B.V.;;;;;1;;;;1
BZK;Vitasys B.V.;;;;1;;;;;1
BZK;VNSG Diensten B.V.;;;1;;;;;;1
BZK;Volker Wessels Telecom Infratechniek B.V.;;;;;;;1;;1
BZK;WebEx Communications B.V.;;;;;1;;;;1
BZK;Webservices.nl B.V.;;;;;1;;;;1
BZK;willy's snackbar;;;;;;;;1;1
BZK;Xing Events;;;;;;;;1;1
BZK;XS4ALL Internet B.V.;;;;;;;1;;1
BZK;Yubi Key;;1;;;;;;;1
BZK;Yume interactive B.V.;;;;;;;;1;1
BZK;Yune Creative Content Company;;;;;;;;1;1
BZK;Zebedeus;;;;;;;;1;1
BZK;Zendesk Inc;;;;;1;;;;1
BZK;Zendesk, Inc;;;;;1;;;;1
BZK;Ziggo Services B.V.;;;;;;;1;;1
BZK;Ziggo Zakelijk Services B.V.;;;;;;1;1;;1
BZK;ZijSpreekt;;;;;;;;1;1
BZK;Zoloo;;;;;;;;1;1
DEF;50PlusIT B.V.;;;;;;;;1;1
DEF;A. van Helden Relatiegeschenken B.V.;;1;;;;;;;1
DEF;ACES Direct B.V.;;1;;;;;;;1
DEF;Administratiekantoor Kroese;;;;;;;1;;1
DEF;Airo Flex;;;;;;;1;;1
DEF;All Music Publishing B.V.;;1;;;;;;;1
DEF;Alternate Computerversand Nederland;;;;;;1;;;1
DEF;Anixter Nederland B.V.;;1;1;;;1;;;1
DEF;anoniem 1016;;1;;;;;;;1
DEF;anoniem 1027;;;;;;;1;;1
DEF;anoniem 1105;;;;;;;1;;1
DEF;anoniem 1120;;;;;;;1;;1
DEF;anoniem 1149;;;;;;;1;;1
DEF;anoniem 1193;;;;;;;1;;1
DEF;anoniem 1253;;;;1;;;;;1
DEF;anoniem 1296;;;;;;1;;;1
DEF;anoniem 1315;;;;;;;1;;1
DEF;anoniem 1333;;;;;;;1;;1
DEF;anoniem 1393;;;;;;;1;;1
DEF;anoniem 1396;;;;;;1;;;1
DEF;anoniem 1426;;1;;;;;;;1
DEF;anoniem 1569;;;;;;;1;;1
DEF;anoniem 1573;;;;;;;1;;1
DEF;anoniem 161;;;;;;;1;;1
DEF;anoniem 1617;;;;;;;1;;1
DEF;anoniem 1631;;;;;;1;;;1
DEF;anoniem 1667;;;;;;1;;;1
DEF;anoniem 1763;;;;;;;1;;1
DEF;anoniem 1771;;;;;;;1;;1
DEF;anoniem 1872;;;;;;;1;;1
DEF;anoniem 1895;;;;;;;1;;1
DEF;anoniem 1911;;;;;;;1;;1
DEF;anoniem 1972;;;;;;1;;;1
DEF;anoniem 2214;;;;;;;1;;1
DEF;anoniem 2294;;1;;;;;;;1
DEF;anoniem 2487;;;;;;;1;;1
DEF;anoniem 2566;;;;;;1;;;1
DEF;anoniem 2612;;;;;;1;;;1
DEF;anoniem 2613;;;;;;;1;;1
DEF;anoniem 2674;;;;;;;1;;1
DEF;anoniem 280;;1;;;;;;;1
DEF;anoniem 2830;;1;;;;;;;1
DEF;anoniem 346;;;;;;;1;;1
DEF;anoniem 366;;;;;;;1;;1
DEF;anoniem 367;;;;;;;1;;1
DEF;anoniem 395;;;;;;;1;;1
DEF;anoniem 433;;1;;;;;;;1
DEF;anoniem 434;;;;;;;1;;1
DEF;anoniem 443;;;;;;;1;;1
DEF;anoniem 585;;1;;;;;;;1
DEF;anoniem 612;;;;;;;1;;1
DEF;anoniem 629;;;;;;;1;;1
DEF;anoniem 636;;;;;1;;;;1
DEF;anoniem 643;;;;;;;1;;1
DEF;anoniem 645;;;;;;;1;;1
DEF;anoniem 647;;;;;;;1;;1
DEF;anoniem 649;;;;;;;1;;1
DEF;anoniem 650;;;;1;;;;;1
DEF;anoniem 660;;;;1;;;;;1
DEF;anoniem 661;;;;;;;1;;1
DEF;anoniem 663;;;;;;;1;;1
DEF;anoniem 664;;;;;;;1;;1
DEF;anoniem 665;;;;;;;1;;1
DEF;anoniem 688;;;;;;;1;;1
DEF;anoniem 873;;1;;;;;;;1
DEF;anoniem 933;;1;;;;;;;1
DEF;Antratek Electronics;;;;;;;1;;1
DEF;B.V. Algemeen Nederlands Persbureau ANP;;1;;;;;;;1
DEF;B.V. Ru'58;;1;;;;;;;1
DEF;Baghouse;;;1;;;;;;1
DEF;Bax-shop.nl B.V.;;;;;;1;;;1
DEF;Begra Magazijninrichting;;1;;;;;;;1
DEF;Bemet International B.V.;;;;;;1;;;1
DEF;BenN B.V.;;;;;;;;1;1
DEF;Blancco (Software) Netherlands B.V.;;;;1;;;;;1
DEF;BLW-Luchttechniek;;1;;;;;;;1
DEF;BouwXP;;1;;;;;;;1
DEF;Btsoftware B.V.;;;;;1;;;;1
DEF;Bumicom Telecommunicatie B.V.;;;;;;1;;;1
DEF;Bunzl Verpakkingen Arnhem B.V.;;1;;;;;;;1
DEF;Bysky B.V.;;1;;;;;;;1
DEF;Caiway;;1;;;;;;;1
DEF;CameraNU.nl;;1;;;;;;;1
DEF;Capgemini N.V.;;;;;;;1;;1
DEF;Car Cool Center;;1;;;;;;;1
DEF;CareFusion Netherlands 238 B.V.;;;;;1;;;;1
DEF;CBABenelux;;;;;1;;;;1
DEF;Centix B.V.;;;;;;1;;;1
DEF;Centralpoint Amstelveen B.V.;;1;;;1;;1;;1
DEF;Challenge Coins;;;;;;;1;;1
DEF;Color Wood Photo B.V.;;1;;;;;;;1
DEF;Company Fits B.V.;;;1;;;;;;1
DEF;Computer Business Applications B.V.;;;;;;1;;;1
DEF;Cutting Service Benelux B.V.;;;;1;;1;;;1
DEF;De Sleutelspecialist Van den Acker;;1;;;;;;;1
DEF;Delta International Uniformuitrustingen B.V.;;;;;;;1;;1
DEF;Dematic;;;;;;1;;;1
DEF;Digitale Checklisten;;;;;;;1;;1
DEF;Document House Beuningen;;;;;;;1;;1
DEF;DRAGT;;;;;;;1;;1
DEF;Dymospecialist;;;;;;;1;;1
DEF;E.Novation B.V.;;;;;1;;;;1
DEF;'EDS';;;;;;;1;;1
DEF;Elektor International Media B.V.;;;;;;;1;;1
DEF;Elektro-Rama;;;;;;;1;;1
DEF;Eleshop B.V.;;;;;;;1;;1
DEF;Elsto-Boekholt-Dynatec B.V.;;1;;;;;;;1
DEF;Emka Nederland B.V.;;1;;;;;;;1
DEF;Eszet Data B.V.;;1;;;;;;;1
DEF;Euport B.V.;;1;;;;;;;1
DEF;F&L Media B.V.;;;;;;;1;;1
DEF;Fabory Nederland;;1;;;;;;;1
DEF;Farnell (Netherlands) B.V.;;1;;;;;1;;1
DEF;Fifo Color B.V.;;1;;;;;;;1
DEF;Fofic;;1;;;;;;;1
DEF;Foto Konijnenberg B.V.;;1;;;;;;;1
DEF;Gilde Main B.V.;;;;;1;;;;1
DEF;Global Knowledge Network Netherlands B.V.;;;;;;;;1;1
DEF;Govers Den Helder;;;;;;;1;;1
DEF;Gravure '85;;;;;;;1;;1
DEF;Hamshop;;1;;;;;;;1
DEF;Hartman Direct B.V.;;1;;;;;;;1
DEF;Health2Work B.V.;;;;;;;1;;1
DEF;HippoLine B.V.;;;;;1;;;;1
DEF;Hollandse Hoogte B.V.;;1;;;;;;;1
DEF;HTF Electronics;;1;;;;;;;1
DEF;Hulkenberg B.V.;;1;;;;;;;1
DEF;Huto Machines B.V.;;1;;;;;;;1
DEF;iBabs B.V.;;;;1;;;;;1
DEF;ID Ware International B.V.;;1;;;;;;;1
DEF;Impulse Info Systems;;;;;1;;;;1
DEF;In2Content B.V.;;1;;;;;;;1
DEF;Incontrol Management Consultants B.V.;;;;;1;;;;1
DEF;Infinity Consultancy B.V.;;;;;;;1;;1
DEF;Informatique Computers & Componenten;;;;;;;1;;1
DEF;Infraconcepts Netherlands B.V.;;1;;;;;;;1
DEF;Inmarsat Solutions B.V.;;;;;;;1;;1
DEF;International Numbering Plans B.V.;;;;;;;1;;1
DEF;Internedservices;;;;;;;1;;1
DEF;Inventic;;1;;;;;;;1
DEF;Jungheinrich Nederland B.V.;;;1;;;;;;1
DEF;KantoorExpert Groep;;;;;;;1;;1
DEF;Keyprocessor B.V.;;;;;;1;;;1
DEF;Kiwi Electronics B.V.;;;;;;;1;;1
DEF;Knapzak Benelux B.V.;;1;;;;;;;1
DEF;Kobatt Benelux B.V.;;;;;;;1;;1
DEF;Koffer- en Lederwarenfabriek Lejan B.V.;;;;;;;1;;1
DEF;Koning & Hartman B.V.;;;;;;1;;;1
DEF;KPN Corporate Market;;;;;;;1;;1
DEF;Kruizinga B.V.;;1;;;;;;;1
DEF;Leica Microsystems B.V.;;;;;1;;;;1
DEF;Logistiekconcurrent;;1;;;;;;;1
DEF;Maastricht Aachen Airport B.V.;;;;;;;1;;1
DEF;Marsman;;1;;;;;;;1
DEF;Master Nederland B.V.;;1;;;;;;;1
DEF;Mastermate Brinkman B.V.;;1;;;;;;;1
DEF;MB Ulvenhout B.V.;;1;;;;;;;1
DEF;Minkels B.V.;;;;;;1;;;1
DEF;Mitutoyo Nederland B.V.;;;;;;1;;;1
DEF;MP2 Automatisering B.V.;;;;;;;1;;1
DEF;N.O.D. Netwerk Onderzoek Diensten V.O.F.;;1;;;;;;;1
DEF;Newton Technisch Bureau B.V.;;1;;;;;;;1
DEF;Nilfisk B.V.;;1;;;;;;;1
DEF;NMS National Multiple Services B.V.;;;;;;;1;;1
DEF;Norisk Keymanagement B.V.;;;;;;1;;;1
DEF;Odin Software Ontwikkeling;;;;;;1;;;1
DEF;Office Team Hoekschewaard;;1;;;;;;;1
DEF;ONS Fiber Parts & Tools B.V.;;;;;;1;;;1
DEF;Oracle Nederland;;;;;1;;;;1
DEF;Orcavoice B.V.;;;;;;1;1;;1
DEF;Ordina Business Consulting & Solutions B.V.;;;;;;1;;;1
DEF;Orlaco Products B.V.;;1;;;;;;;1
DEF;Oud Verhuur B.V.;;;;;;;1;;1
DEF;Parasoft Netherlands B.V.;;;;1;;;;;1
DEF;People & Print Group;;1;;;;;;;1
DEF;PM Komponenten B.V.;;;;;;1;;;1
DEF;Portbase B.V.;;;;1;;;;;1
DEF;Presentation Partner B.V.;;;;;;1;;;1
DEF;PrintTec B.V.;;1;;;;;;;1
DEF;Procyon Networks B.V.;;;;;;;1;;1
DEF;Profitap HQ B.V.;;1;;;;;;;1
