AreaManagerId,AreaId,StartDateSpecifications,Capacity,EndDateSpecifications,ChargingPointCapacity,DisabledAccess,MaximumVehicleHeight,LimitedAccess
1641,1641_CPMAA,20190926120501,100,,0,,0,N
80,80_CPGOUT,20200606123259,52,,0,0,0,N
2486,518_MARK,20191114130617,62,,0,0,190,N
363,363_PIET,20200720143443,400,,0,,210,N
80,80_CPWIRD,20200606122543,35,,0,0,0,N
928,928_HBWEG,20201102162720,170,,0,,0,N
1949,1949_PRMAN,20191219114943,15,,0,0,0,N
243,243_HOUT,20161103130215,450,,2,0,210,N
230,230_EVEND,20211213110939,580,,0,,0,N
590,590_CPPAO,20200110090930,54,,0,,0,N
243,243_P17,20161108114429,81,,0,0,0,N
34,34_BROOK,20201106125725,419,,2,0,190,N
58,58_CPDOK,20150601000000,40,20991231235959,0,0,0,
141,141_JAVA,20171102154031,345,,0,0,210,N
34,34_URCA,20190513132906,301,,2,0,0,N
230,230_EVENA,20211213103734,200,,0,,0,N
230,230_PRHAR,20191121121502,149,,0,0,0,N
230,230_CPHAR,20191121121449,33,,0,0,0,N
861,861_CPVEL,20200110133420,36,,0,0,0,N
546,546_PRSCH,20191119141254,195,,0,0,0,N
603,603_PRRIJ,20150601000000,48,,0,1,0,
230,230_EVENC,20211213110422,500,,0,,0,N
34,34_P1,20190513110651,262,,0,0,0,N
268,268_EIERM,20161115110127,350,,4,0,190,N
141,141_RIET,20191219111230,8,,0,0,0,N
321,321_KRUI,20141101000000,1060,20991231235959,0,0,200,
268,268_MOLPDK,20161115110651,350,,0,0,240,N
230,230_OUDEV,20211213111420,528,,0,,0,N
2449,599_VLAG,20141101000000,340,20991231235959,0,0,260,
299,299_MAS,20161116161219,340,,0,0,205,N
546,546_CPWIL,20191114115552,53,,0,0,0,N
281,PVS,20161208155551,0,,0,0,0,N
546,546_PRLAM,20191119141403,36,,0,0,0,N
513,SECTOR_4,20200110090511,370,,2,0,0,N
513,SECTOR_5,20200110085952,165,,0,0,0,N
230,230_SCHOO,20211213113613,456,,0,,0,N
74,84050,20150601000000,200,,0,1,0,
74,74_CPTJA,20150601000000,20,,0,0,0,
74,74_PRAKK,20150601000000,20,,0,0,0,
74,74_CPAKK,20150601000000,20,,0,0,0,
74,74_CPHEE,20150601000000,40,,0,0,0,
74,74_CPCEN,20150601000000,140,,0,0,0,
74,74_CPZUI,20150601000000,40,,0,0,0,
484,484_PARAD,20170211145250,48,,0,0,190,N
484,484_CPGEM,20150601000000,30,20991231235959,0,0,0,
484,484_CAST,20170211141109,742,,0,1,200,N
484,484_AARHOF,20170211140510,365,,0,0,200,N
484,484_BOSPAR,20170211151254,182,,0,0,0,N
484,484_CPNIE,20150601000000,16,20991231235959,0,0,0,
484,484_AARPL,20170211140822,165,,0,1,0,N
230,230_EVENB,20211213105907,230,,0,,0,N
513,SECTOR_6,20200110085648,150,,0,0,0,N
2461,518_PARK,20200221092416,570,,4,1,190,N
505,505_GEZO,20201216152630,630,,0,0,240,N
2449,398_DEKA,20141101000000,124,20991231235959,0,1,210,
2461,622_HOOG,20200221082348,423,,0,1,195,N
505,505_ENER,20201216144211,320,,0,0,200,N
2461,622_BADHST,20200221082405,92,,2,1,200,N
505,505_VEE,20201216154237,560,,0,0,200,N
34,34_P10,20190513131501,381,,2,0,0,N
2582,P10_FAIROA,20200225093832,185,,0,0,0,N
381,381_DEOL,20141101000000,251,20991231235959,0,0,190,
2001,482_PAPOOS,20171122082547,31,,0,0,0,N
153,153_HERM,20201105092314,290,,0,0,200,N
2582,P1_AIRPBN,20200225141316,1375,,0,0,0,N
2582,P1A_AIRPBN,20200225141108,203,,0,0,0,N
