Leveranciers;9301 - Laboratoriumonderzoek;9500 - AZ specifiek;9520 - BZK Specifiek;9-Dienstspecifiek
Groningen Airport Eelde;;;1;1
Grontmij;;;2;2
Guliker's Gas- en Oliehandel;;;1;1
H4A Bouw & Infra;;;1;1
Hageman Installatietechniek;;;1;1
Hamaland Advies;;;1;1
Hartevelt Bedrijfs Diensten;;;1;1
Hedibouw;;;2;2
Hendriks Asbestsanering B.V.;;;2;2
Herruer Grond- Weg- en Waterbouw;;;2;2
Herstelling Gooi en Vechtstreek Stichting;;;3;3
Het Havengebouw Amsterdam;;;1;1
Het Notarieel;;;1;1
Heuvelman Schoonmaakbedrijf;;;2;2
HOD Nederland;;;1;1
Hoekstra & Partners Notarissen;;;1;1
Hofsteenge en Wesseling Notarissen;;;1;1
Holland & van der Woude Notarissen;;;1;1
Hoogenboom Installatiebedrijf;;;2;2
Hopmann Liftservice;;;1;1
Huijbregts Notarissen;;;2;2
Hunneman Milieu - Advies;;;1;1
Hydragroep;;;2;2
Ijzerman Kampen Deurwaarderskantoor;;;1;1
Imprima (Nederland);;;2;2
Imtech (incl. Radio Holland, Bostec);;;5;5
Inbo Adviseurs Stedenbouwkundigen;;;1;1
Infrasoil;;;4;4
Inspectrum;;;1;1
Installatie Techniek Zeeland;;;1;1
Installatietechniek Hilversum;;;2;2
Interveste Beheer;;;1;1
IOB Ingenieursburo;;;2;2
ITN Installatietechniek;;;1;1
Jansen Venneboer;;;1;1
Jongste Projectmanagement & Advies;;;1;1
Jonkers Installatiebedrijf;;;2;2
Jurriëns Bouw, Onderhoud, Noord;;;1;1
Klappe Makelaardij;;;1;1
Knook Totaal Techniek B.V;;;2;2
Kone Liften, Deursystemen;;;2;2
KPN (incl. Getronics, PTT Telecom);;;1;1
Kreeft Bouwbedrijf;;;1;1
Kummeling;;;3;3
Lagerweij & Partners;;;1;1
Leijs & Partners;;;1;1
Leurs en Zn Hoveniersbedrijf;;;1;1
Lexis Notarissen De Wolden Bewind;;;1;1
Liander;;;5;5
Liftinstituut;;;1;1
Ligne Netwerk Notarissen;;;1;1
Lingewaerd Notarissen;;;1;1
Loyens & Loeff;;;5;5
Lubbers Bakkerij;;;1;1
LUIJTEN  SCHILDERSBEDRIJF;;;1;1
Lyreco Nederland (vh Ahrend Office Products);;;1;1
Madri Install Service;;;1;1
Mauritshuis;;;1;1
Maxx Vastgoed;;;1;1
Mees Ruimte & Milieu;;;2;2
Mercer;;;1;1
Metis Notarissen;;;1;1
Milieu Service Nederland;;;1;1
Mostart & Timmermans;;;1;1
Mous Waterbeheer;;;4;4
Natuurvol  Tuinen;;;1;1
Nespresso Nederland;;;1;1
Nieuwenhuijse Arends;;;2;2
Noordam Grondwatertechniek;;;1;1
Noorderkwartier;;;1;1
Notariaat Statenhaghe;;;1;1
Notariskantoor Jansen;;;1;1
Notariskantoor Stigter;;;1;1
Notariskantoor van Dongen;;;1;1
Notariskantoor van Duin;;;1;1
Notarissencombinatie;;;1;1
NPK Design B.V.;;;2;2
Nuon Business;;;1;1
Nysingh Advocaten-Notarissen;;;1;1
Oasen;;;1;1
OK Gas;;;1;1
Omega Bliksembeveiliging;;;1;1
OTHEC Electronica;;;1;1
Pels Rijcken & Droogleever Fortuijn (incl. De Landsadvocaat);;;5;5
Poel Bosbouwartikelen;;;1;1
Polderman Loonbedrijf;;;2;2
Posthuma & Schutte Netwerk Notarissen;;;1;1
Pranger-Rosier Installaties;;;1;1
Primagaz Nederland;;;2;2
Prorail;;;1;1
PVU Gerechtsdeurwaarders;;;1;1
PWN Waterleidingbedrijf Noord-Holland;;;2;2
Ramkema Makelaardij;;;1;1
Regardz (incl. Iassociate);;;2;2
Regus;;;2;2
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;;1;1
Rijksmuseum Amsterdam;;;1;1
Riool Techniek Kraggenburg;;;1;1
Roseboom Aannemersbedrijf;;;1;1
RPS Advies- en Ingenieursbureau (incl. Analyse, Bcc);;;1;1
Ruigrok/Netpanel;;;1;1
SAB Arnhem;;;1;1
Sagro;;;1;1
Schepers & Van Nunen Netwerk Notaris;;;2;2
Schindler Liften;;;1;1
Schotte;;;3;3
Securitas (incl. Data en Archief, Telematics, Direct, Alert Teleservices, Meldkamer MG, MPL Beveiligingsdiensten);;;3;3
Siemens Nederland;;;2;2
Sign Force;;;1;1
Sita;;;1;1
Smeba Brandbeveiliging;;;1;1
Smelt Advies Coaching & Selectie;;;1;1
Sosef Schilderwerken;;;2;2
Spier en Hazenberg Notarissen;;;2;2
Spijker;;;4;4
Stedin (vh Eneco Netbeheer, Mdds);;;5;5
Stichting ATA;;;1;1
Stichting Thebe;;;1;1
Stoffenhal Betty B.V.;;;1;1
Stuijt & Ploeg;;;1;1
Tauw;;;3;3
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);;;4;4
Team2 Advies;;;1;1
TECHNO TELEMATICA BV;;;3;3
Technolab;2;;;2
Technoproject;;;3;3
The Ascent;;;1;1
Thermos Technisch Beheer Utrecht;;;3;3
Tiggelman Notariaat;;;1;1
Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard);;;3;3
Trip Advocaten en Notarissen;;;1;1
Troostwijk Vastgoed Verkoop B.V.;;;1;1
Tyco Integrated Fire & Security (incl. ADT Fire & Security);;;1;1
UPC Nederland;;;1;1
URA;;;1;1
Value in Parking B.V.;;;2;2
Van Den Berg Machines;;;1;1
Van der Valk & Swart Notarissen;;;1;1
Van der Waal & Partners;;;2;2
Van Dijk De Jongh Notarissen;;;1;1
Van Dorp Installaties, Service Equipe, Prolux;;;1;1
Van Eijk Infra en Milieutechniek;;;4;4
Van Gansewinkel;;;1;1
Van Gastel Notarissen;;;1;1
Van Gelder Aannemingsmaatschappij;;;1;1
Van Goor Schuurman Notarissen;;;1;1
Van Hussen Kock van Puijenbroek;;;1;1
Van Loenen Milieu;;;1;1
Van Oort Bodemonderzoek;;;1;1
Van Riemsdijk Verhuizingen;;;1;1
Van Rumpt Specialisten;;;1;1
Van Voskuijlen & Koekkoek;;;1;1
Van Weeghel Doppenberg Kamps;;;1;1
Verhaegen & Verhaegen;;;1;1
Vermeulen Benthuizen Aannemingsbedrijf;;;2;2
Verzijl Notarissen;;;1;1
Vitens;;;4;4
Vonk Schilders;;;2;2
VVE Beheer;;;1;1
VZB Vastgoed;;;1;1
VZBI - Vereniging Zelfbescherming Bedrijven en Inrichting;;;1;1
Wareco Ingenieurs;;;2;2
Warmtebouw Utrecht;;;2;2
Waterbedrijf Groningen;;;1;1
Wijngaarde;;;3;3
Wintertaling Advocaten;;;1;1
Wits Noord;;;3;3
Witteveen+Bos Raadgevende Ingenieurs;;;3;3
WMD Waterleidingmaatschappij Drenthe;;;2;2
Worksphere - Stork en Strukton;;;2;2
Xerox;;;1;1
Xylem Water Solution (incl. ITT Water);;;1;1
Zeeland Seaports;;;1;1
Zon en Scherm;;;1;1
Eindtotaal;2;2;8;8
