verkiezing;cbs_gemeentecode;gemeente;cbs_wijkcode;wijknaam;cbs_buurtcode;buurtnaam;bag_referentienummer_stembureau;stembureau_naam;Water Natuurlijk;VVD;CDA;Partij van de Arbeid (P.v.d.A.);Partij voor de Dieren;Waterschap@inwonersbelangen;ChristenUnie;AWP niet politiek, wel deskundig;Staatkundig Gereformeerde Partij (SGP);50PLUS;stembureau_x;stembureau_y;latitude;longitude;wijk_x;wijk_y;wijk_latitude;wijk_longitude;buurt_x;buurt_y;buurt_latitude;buurt_longitude;woonplaats;nr_stembureau
WS2019-HDSR;G1904;Stichtse Vecht;WK190402;Breukelen;BU19040215;Breukelen Midden;0311100000006233;OBS De Regenboog;2;0;4;2;1;0;1;0;0;3;128553;465327;52.17546;5.00057;128474;464502;52.17546;5.00057;128455;465128;52.16803;4.99478;Breukelen;25
WS2019-HDSR;G1904;Stichtse Vecht;WK190402;Breukelen;BU19040207;Breukelen Noord;0311100000000392;Wijkcentrum Over-Noord;1;0;1;0;0;0;0;0;0;0;128395;465938;52.18094;4.99821;128474;464502;52.18094;4.99821;128585;465966;52.16803;4.99478;Breukelen;26
WS2019-HDSR;G1904;Stichtse Vecht;WK190404;Nieuwer Ter Aa;BU19040402;Nieuwer Ter Aa;0311100000009107;Dorpshuis Ons Genoegen;2;0;1;1;1;3;1;1;2;0;127187;466958;52.19005;4.98047;126827;468176;52.19005;4.98047;127200;467025;52.20098;4.75099;Nieuwer Ter Aa;27
WS2019-HDSR;G1904;Stichtse Vecht;WK190405;Kockengen;BU19040505;Kockengen Dorp;0311100000001259;Brandweerkazerne;93;83;230;27;48;39;83;23;94;14;125506;462305;52.14814;4.95629;125075;462783;52.14814;4.95629;125124;462389;52.15242;4.49960;Kockengen;28
WS2019-HDSR;G1904;Stichtse Vecht;WK190405;Kockengen;BU19040505;Kockengen dorp;0311100000009480;Verzorgingshuis Overdorp;124;79;221;35;66;55;144;26;91;34;125107;462324;52.14829;4.95046;125075;462783;52.14829;4.95046;125124;462389;52.15242;4.49960;Kockengen;29
WS2019-HDSR;G1904;Stichtse Vecht;WK190403;Loenen aan de Vecht;BU19040308;Driehoven;0329100000000524;Verzorgingstehuis 't Kampje;0;0;0;0;0;0;0;0;0;0;129885;469043;52.20892;5.01977;129821;470621;52.20892;5.01977;129845;469198;52.22310;5.18718;Loenen aan de Vecht;31
WS2019-HDSR;G1904;Stichtse Vecht;WK190408;Nigtevecht;BU19040804;Nigtevecht Dorp;0329100000004162;Dorpshuis Nigtevecht;0;0;0;1;0;0;0;0;0;0;130381;476256;52.27377;5.02650;130778;476086;52.27377;5.02650;130493;476340;52.27225;5.32329;Nigtevecht;32
WS2019-HDSR;G1904;Stichtse Vecht;WK190406;Vreeland;BU19040603;Vreeland Dorp;0329100000006066;Dorpshuis Vreeland;0;0;0;0;0;0;0;0;2;0;130699;471413;52.23025;5.03151;131009;472276;52.23025;5.03151;130746;471543;52.23802;5.35990;Vreeland;33
WS2019-HDSR;G1904;Stichtse Vecht;WK190410;Loenersloot;BU19041003;Loenersloot Dorp;0329100000003287;Montessorischool Loenersloot;0;0;0;0;0;0;0;0;0;0;128634;471361;52.22969;5.00129;128305;470615;52.22969;5.00129;128569;471370;52.22297;4.96537;Loenersloot;34
WS2019-HDSR;G1904;Stichtse Vecht;WK190403;Loenen aan de Vecht;BU19040310;Loenen Dorpskern;0329100000000655;Cultureel Centrum 't Web;0;0;0;0;0;0;0;0;0;0;130159;469202;52.21036;5.02376;129821;470621;52.21036;5.02376;128746;470350;52.22310;5.18718;Loenen aan de Vecht;35
