OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,AZIMUT,BRON,REF_PAALINSTALLATIE_PUIC,REF_OVERWEG_PUIC,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,X,Y,LATITUDE,LONGITUDE,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT
11,e7943f31-ecb8-426f-8867-116e9e3785b0,,60,Bestaand,,,Arcadis,31b6a315-e957-49c7-8286-2239e88a463e,200282d8-8683-4ff3-8873-6d9b030ee680,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,39.90061,"39,900610",-4.453024,"-4,453024",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,Gelderse Vallei,29,167902.407,475326.955,52.2658144,5.57621088,Putten,PT,PPLG
12,e8f84043-1e1e-433f-ae5a-e618ed6456f8,,60,Bestaand,,,Arcadis,494e4cdf-ad24-4aad-9544-cd83e6de27c2,200282d8-8683-4ff3-8873-6d9b030ee680,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,39.916715,"39,916715",6.358962,"6,358962",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,Gelderse Vallei,29,167921.255,475332.448,52.26586332,5.57648719,Putten,PT,PPLG
13,3c72959a-f935-4872-9d74-32e8782ee3b7,,60,Bestaand,,,Arcadis,052b371a-a51e-4cce-a254-184e499cc6e2,23851cb1-8d48-421c-b3bb-10d26f163736,Apd-Dv,Apeldoorn - Deventer ,023,,23,023__,Apeldoorn - Deventer,3.430188,"3,430188",5.820821,"5,820821",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,IJsselstreek,31,197911.944,470232.915,52.21851061,6.01515527,Apeldoorn - Deventer,APD-DV,Vrije baan
14,14b6aa6c-1cb1-48db-8958-c12c04ea07e2,,60,Bestaand,,0,Arcadis,2efa9ea0-074f-4255-b9b7-0e9bb2929844,9e18d48f-e2f9-49b8-8d8b-29a88dbdf55f,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,0.864926,"0,864926",-2.238517,"-2,238517",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,201717.269,501198.018,52.4964867,6.07514042,Zwolle Rangeerterrein,ZLR,NCBG
15,a0398245-ab36-4ea6-a695-2c8d002dba2d,,60,Bestaand,,0,Arcadis,4cbe8dbe-e9c8-4701-8b6b-4ddc5180cacd,9e18d48f-e2f9-49b8-8d8b-29a88dbdf55f,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,0.876678,"0,876678",-18.037837,"-18,037837",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,201707.054,501215.214,52.49664211,6.07499242,Zwolle Rangeerterrein,ZLR,NCBG
16,16f1041d-20da-4523-b3e4-39dccf278c85,,60,Bestaand,,,Arcadis,8e3c843f-23be-4ac7-bdc6-cb281f66b171,bdd543f7-1c3e-4561-88ca-1f5621c6785d,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,604,b,604,604_b,Hattemerbroek,83.019401,"83,019401",-7.364061,"-7,364061",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,Gelderland,33,199438.726,499724.369,52.4834331,6.04139386,'t Harde - Hattemerbroek Aansl.,HDE-HTBA,Vrije baan
17,87506dde-3c81-49e3-8202-65ee040e88cb,,60,Bestaand,,0,Arcadis,d6b6f66f-3df1-4bd9-a5af-7bfa08c2aaee,fb541f4a-92e2-44d6-9b63-f6a929291973,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.672453,"1,672453",12.888464,"12,888464",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,201934.73,501979.473,52.50349083,6.07845231,Zwolle Rangeerterrein,ZLR,NCBG
18,67367cef-aa87-4fdc-8a44-433b74702f04,,60,Bestaand,,0,Arcadis,e9ca45e9-c98a-4e8e-a753-4c791e8a9662,fb541f4a-92e2-44d6-9b63-f6a929291973,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.591857,"1,591857",7.469091,"7,469091",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,201909.376,501902.623,52.50280238,6.07806812,Zwolle Rangeerterrein,ZLR,NCBG
19,6701e4d6-304f-44ed-a8c9-736df1817356,,60,Bestaand,,0,Arcadis,725a5569-3b2e-46ea-8e09-78a0696b137b,a67ec9df-8d9f-4fde-b2ee-d7cde371bc75,Zl-Lw,Zwolle - Leeuwarden ,602,b,602,602_b,Herfte Aansl.,77.543017,"77,543017",5.941809,"5,941809",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,206375.644,502563.014,52.50833553,6.14394162,Zwolle - Dedemsvaart,ZL-DDV,Vrije baan
20,9a199e3d-39b5-4b20-aa7c-c08935a06d14,,60,Bestaand,,,Arcadis,35712057-be77-406d-ac75-613611703231,0082ce26-1d9c-4e4b-af74-6038bcc5b5c7,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,10.095128,"10,095128",-7.539452,"-7,539452",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,176819.085,571450.562,53.12937097,5.713181,Mantgum,MG,PPLG
21,2364e5b5-a76e-4b3c-9cd1-0a7691893460,,60,Bestaand,,,Arcadis,7ac19ed7-5281-4f16-914b-03751a3c717c,5aa9633b-de41-4afb-913f-150f87721558,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,15.62892,"15,628920",4.66123,"4,661230",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,175050.331,566201.281,53.08227118,5.68643091,Sneek Noord - Mantgum,SKND-MG,Vrije baan
22,43ef4451-27f0-4b20-b38f-689f37d18c21,,60,Bestaand,,,Arcadis,0effd97e-5cf1-426c-ab75-b93b12916ec6,5aa9633b-de41-4afb-913f-150f87721558,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,15.621678,"15,621678",-3.915265,"-3,915265",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,175060.777,566205.485,53.08230857,5.68658706,Sneek Noord - Mantgum,SKND-MG,Vrije baan
23,753c4f81-b120-4aa4-ac4e-d85529b1a0dc,,60,Bestaand,,,Arcadis,00eea49b-4415-4bb3-9fbe-ced3c9c90d25,1bf55571-9396-477e-a092-e3c1ab3fbc36,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,10.733935,"10,733935",4.302119,"4,302119",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,176606.764,570846.726,53.12395366,5.70996856,Mantgum,MG,PPLG
24,3fac4035-9c3e-4b8c-959f-8db043b836f8,,60,Bestaand,,,Arcadis,b4f72784-0448-402b-b43f-5fd81edb4c85,1bf55571-9396-477e-a092-e3c1ab3fbc36,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,10.719984,"10,719984",-3.335913,"-3,335913",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,176618.465,570857.499,53.12405,5.71014407,Mantgum,MG,PPLG
25,e7ce222d-bade-4577-b5fd-034e2624446a,,60,Bestaand,,,Arcadis,ff39d329-8cb0-4e1d-b3e9-11b6b31d82fb,a0aea24e-bf29-4213-96eb-a0662e42adec,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,5.702362,"5,702362",-3.411043,"-3,411043",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,178212.167,575617.953,53.16675918,5.73429349,Mantgum - Leeuwarden,MG-LW,Vrije baan
26,0b1efb3c-c9bd-4b5d-a825-4c80af9d1766,,60,Bestaand,,,Arcadis,2104ba80-90bf-4103-8479-1d582d1b9b5a,0c709f60-9747-45cb-94db-c63f2e5aeb91,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,1.038823,"1,038823",1.361426,"1,361426",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,157489.614,575964.059,53.17036609,5.42443625,Harlingen,HLG,PPLG
27,0b407139-e806-4ffe-8c7d-2f9e22b6d5da,,60,Bestaand,,,Arcadis,ae71c406-08db-49bc-8fc1-d589f227329c,9ac4e932-01c6-46da-a45c-fc088cbac17a,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,1.267523,"1,267523",6.248904,"6,248904",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,157717.89,575975.186,53.17046496,5.42784996,Harlingen,HLG,PPLG
28,70b581ea-907e-4c50-ba1d-aec2605584cd,,60,Bestaand,,,Arcadis,0f95feb3-5cfa-4101-a270-2e12ac8b6e3e,9ac4e932-01c6-46da-a45c-fc088cbac17a,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,1.25596,"1,255960",-5.364983,"-5,364983",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,157705.424,575985.846,53.17056081,5.42766363,Harlingen,HLG,PPLG
29,339a822b-4da0-4cb0-aa66-3710dd61da6b,,60,Bestaand,,,Arcadis,2a1eb3d2-4864-45b3-b784-235f60f7f524,9ac4e932-01c6-46da-a45c-fc088cbac17a,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,1.272007,"1,272007",-5.19031,"-5,190310",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,157721.461,575986.945,53.17057061,5.42790346,Harlingen,HLG,PPLG
30,7eef946d-8259-4022-b66d-c5c5400b63c5,,60,Bestaand,,,Fugro,d4a2696d-a8b6-4c47-a5ac-9520d7b0d062,0e96270f-7730-442e-8f87-7f86e859dae1,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,93.257505,"93,257505",6.744808,"6,744808",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,106254.565,424392.846,51.80603708,4.68042044,Dordrecht,DDR,PPLG
31,ee835542-8577-41a7-a85a-f672ef229016,,60,Bestaand,,,Fugro,6851239d-66e8-44f2-ac66-6cc0828d35c6,0e96270f-7730-442e-8f87-7f86e859dae1,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,93.268384,"93,268384",-6.177334,"-6,177334",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,106241.43,424382.176,51.80594004,4.68023151,Dordrecht,DDR,PPLG
32,5b444bba-11c6-44dc-b6c3-70dd055a9373,,60,Bestaand,,,Fugro,ad11338e-0548-45bf-88d1-9bc56f67c6ca,0e96270f-7730-442e-8f87-7f86e859dae1,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,93.277744,"93,277744",5.088623,"5,088623",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,106234.282,424394.991,51.80605459,4.68012607,Dordrecht,DDR,PPLG
33,e03a7476-a1d7-48ab-abdb-4baffeafc940,,60,Bestaand,,,Fugro,a94eefd5-5ba8-475c-992c-2a074bdb084c,6d14c7a5-d14d-4284-b63b-2da9f951a21d,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,92.664527,"92,664527",-5.557284,"-5,557284",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,106835.056,424270.011,51.80498346,4.68885369,Dordrecht,DDR,PPLG
34,c0578623-3011-48c2-bb2b-b89006f2f2d3,,60,Bestaand,,,Fugro,586cfa98-c916-494d-aa7f-0356852a07e1,63ae3d59-78e0-44df-9991-0a2728d0204f,Ut-Btl,Utrecht Centraal - Boxtel ,117,,117,117__,Lunetten - Geldermalsen,21.835494,"21,835494",-5.409119,"-5,409119",ProRail,Zuid,Z,BAAN,Betuwe,320,Geldermalsen,22,145685.034,436383.21,51.9158602,5.25181172,Lekbrug Aansl. - Geldermalsen,LEK-GDM,Vrije baan
35,b6ff9100-36b3-48be-a327-ca4c5401199e,,60,Bestaand,,,Fugro,7f120b19-35b9-485e-91ec-7340e5c3faf1,dd7677a0-a759-4fcf-ac0c-c6aa0c6c02d2,Ut-Btl,Utrecht Centraal - Boxtel ,513,a,513,513_a,Geldermalsen,24.766746,"24,766746",7.722324,"7,722324",ProRail,Zuid,Z,BAAN,Betuwe,320,Geldermalsen,22,146765.084,433669.33,51.89148422,5.26757485,Geldermalsen,GDM,PPLG
36,4e64811c-07c4-42e9-bcfc-2212a495b2f8,,60,Bestaand,,,Fugro,eddafe67-62b0-4677-8f0e-13c8acff7653,dd7677a0-a759-4fcf-ac0c-c6aa0c6c02d2,Ut-Btl,Utrecht Centraal - Boxtel ,513,a,513,513_a,Geldermalsen,24.776383,"24,776383",-5.278567,"-5,278567",ProRail,Zuid,Z,BAAN,Betuwe,320,Geldermalsen,22,146780.107,433663.301,51.89143025,5.26779323,Geldermalsen,GDM,PPLG
37,fe704fe1-d710-4780-b3da-ffce3ce00c7d,,60,Bestaand,,,Fugro,e153bbb6-54f5-41fe-977b-869f5b23e904,de7963cb-9c4e-420d-9ad3-3ee0172bbd19,Ut-Btl,Utrecht Centraal - Boxtel ,666,a,666,666_a,Meteren Aansl.,27.129821,"27,129821",5.084161,"5,084161",ProRail,Zuid,Z,BAAN,Betuwe,320,Geldermalsen,22,147043.171,431378.618,51.87089874,5.27166747,Meteren Aansl.,MTNA,PPLG
38,f8d74102-dfb0-4689-a637-be453fcdad63,,60,Bestaand,,,Fugro,34bc9ff9-033c-4e4a-9c00-bd8e19b58fbb,ab92f168-cd6f-46c0-bdb2-e5a67778ae5d,Vet-Mtn,Verschau (D) - Maastricht Noord ,521,b,521,521_b,Schin op Geul,22.131849,"22,131849",2.703686,"2,703686",ProRail,Zuid,Z,BAAN,Limburg,340,Maastricht,26,189065.569,318587.022,50.85609719,5.87096645,Schin op Geul,SOG,NCBG
39,9f1513fc-3578-4c4a-82a9-317faa8174f4,,60,Bestaand,,,Fugro,186a138d-b0ee-4a68-a84d-49aa8eff466b,ab92f168-cd6f-46c0-bdb2-e5a67778ae5d,Vet-Mtn,Verschau (D) - Maastricht Noord ,521,b,521,521_b,Schin op Geul,22.131727,"22,131727",-4.620881,"-4,620881",ProRail,Zuid,Z,BAAN,Limburg,340,Maastricht,26,189063.769,318579.921,50.85603347,5.87094022,Schin op Geul,SOG,NCBG
40,259b350e-ca39-40df-bb7a-b7c81d878006,,60,Bestaand,,,Fugro,f668f090-b65d-4b9c-af41-0054014fece8,68c556a0-d39f-4981-bb9a-d801821c65d3,Vet-Mtn,Verschau (D) - Maastricht Noord ,521,b,521,521_b,Schin op Geul,22.142638,"22,142638",10.935131,"10,935131",ProRail,Zuid,Z,BAAN,Limburg,340,Maastricht,26,189057.346,318597.782,50.8561944,5.87085069,Schin op Geul,SOG,PPLG
41,9293c062-97fe-4d3f-894b-9decc91ee087,,60,Bestaand,,,Arcadis,c02ee807-6d8c-42be-8062-4ee293b88508,36bd94f1-2289-4a04-a936-86288a1b2397,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,1.967586,"1,967586",3.713503,"3,713503",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,158418.507,576031.505,53.17096699,5.43832755,Harlingen,HLG,PPLG
42,8d43da41-8159-4777-a1ca-9db6935f199c,,60,Bestaand,,,Arcadis,44dcbde1-89e0-4a16-ac81-233221d8ff1b,36bd94f1-2289-4a04-a936-86288a1b2397,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,1.970436,"1,970436",-3.289946,"-3,289946",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,158420.861,576038.698,53.17103161,5.43836283,Harlingen,HLG,PPLG
43,187e966d-92ed-4386-8973-a354ca0df2d0,,60,Bestaand,,,Arcadis,6e428ff7-3881-4f7a-b02c-a25f10f00c63,519a3018-fb48-4007-95c5-1de018256939,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,3.569478,"3,569478",3.678763,"3,678763",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,160016.817,576148.835,53.17200865,5.46223072,Harlingen - Franeker,HLG-FN,Vrije baan
44,74dc978d-5105-4915-b11a-aedd6eee9bc0,,60,Bestaand,,,Arcadis,b328e73a-57f6-4ff4-ad1a-af5538ca30ba,519a3018-fb48-4007-95c5-1de018256939,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,3.563903,"3,563903",-4.060252,"-4,060252",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,160010.654,576156.149,53.17207443,5.46213866,Harlingen - Franeker,HLG-FN,Vrije baan
45,532675cf-1318-47b8-b000-8c4791dc814a,,60,Bestaand,,,Arcadis,b079135f-46af-421e-8aba-0d20f7c3629e,c82eed53-c713-42a6-944e-f2d8267596d8,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,18.329612,"18,329612",3.522411,"3,522411",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,174193.059,563638.227,53.05927123,5.6734857,Sneek Noord - Mantgum,SKND-MG,Vrije baan
46,ce3d585e-31f4-4e73-9837-22f09436567e,,60,Bestaand,,,Arcadis,09e4c9fb-6d99-48cf-b250-c3faaac7241a,1dcceb0f-d6dc-40a5-a1ea-f473fffd76f9,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,20.506795,"20,506795",-3.396931,"-3,396931",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,173507.65,561569.11,53.04070229,5.66314444,Sneek Noord,SKND,PPLG
47,c1b135c1-c55a-4359-9791-fc0d65486247,,60,Bestaand,,,Arcadis,79cf484b-ee46-4ef0-a6f4-b06227aab3a7,1dcceb0f-d6dc-40a5-a1ea-f473fffd76f9,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,20.502684,"20,502684",4.996688,"4,996688",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,173501.011,561575.674,53.0407615,5.66304583,Sneek Noord,SKND,PPLG
48,5a00dfa6-0c80-4cf7-a551-cb8ad2aa8d7d,,60,Bestaand,,,Arcadis,33b2db60-21aa-4eca-8b0f-e6729d2a4cf1,1dcceb0f-d6dc-40a5-a1ea-f473fffd76f9,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,20.490921,"20,490921",-4.624859,"-4,624859",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,173513.884,561583.741,53.04083354,5.66323821,Sneek Noord,SKND,PPLG
49,f4050b19-7ce1-4c21-9814-e76f88271d55,,60,Bestaand,,,Arcadis,c7a0166a-c4a3-4436-953b-535d1f06d4b7,77c8d913-fcd6-43ab-8285-ee5de05a53e7,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,13.216285,"13,216285",4.643037,"4,643037",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,175817.632,568492.746,53.10283261,5.69802902,Sneek Noord - Mantgum,SKND-MG,Vrije baan
50,8cb3e2a8-2244-4a3f-8978-e93cb9d91cfc,,60,Bestaand,,,Arcadis,c32c3641-8010-4518-af86-672868834b3b,77c8d913-fcd6-43ab-8285-ee5de05a53e7,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,13.203023,"13,203023",-5.086194,"-5,086194",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,175831.068,568502.314,53.10291807,5.69823024,Sneek Noord - Mantgum,SKND-MG,Vrije baan
51,a338ccef-b6e1-4c0c-801c-6ea724ca0aef,,60,Bestaand,,,Arcadis,77ee2540-cbf7-4ff9-81d8-525c786b69f9,d6375651-e12d-480d-97ba-49c8929d1703,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,6.988002,"6,988002",3.935144,"3,935144",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,177797.285,574400.815,53.15584026,5.72800371,Mantgum - Leeuwarden,MG-LW,Vrije baan
52,30aaa5a6-13ec-489a-bb77-c3038ce98203,,60,Bestaand,,,Arcadis,8ee68cbb-4ec6-47c3-9776-26fa095d821e,d6375651-e12d-480d-97ba-49c8929d1703,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,6.974985,"6,974985",-3.137587,"-3,137587",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,177808.129,574410.89,53.15593033,5.72816653,Mantgum - Leeuwarden,MG-LW,Vrije baan
53,fd5385ba-e9d0-4c5f-9bf5-d59bdd2aba91,,60,Bestaand,,,Arcadis,f6c6aa6f-3f14-44c8-bb66-007d8fea6981,f68ca9ce-2270-4c81-be8c-9b67005eea5e,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,0.948563,"0,948563",3.981309,"3,981309",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,157398.852,575956.291,53.17029671,5.42307894,Harlingen,HLG,PPLG
