FID,datummutatie,naammuteerder,bron,status,genormeerd,type,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,objectcode,doorstroomoppervlakte,profielurl,opmerkingen,stakeholders,afwijking,gdb_geomattr_data,shape
duiker_lijn_legger.13,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uiterwaard KRW Bentickswelle (noord),ON,IJssel,"YS3.KZ.L.982,822.--",E1832BB2-DE24-47D5-93FC-72282B855FBD,0,,,,0,,"LINESTRING (197730.45199999958 502824.30799999833, 197738.05799999833 502822.5700000003)"
duiker_lijn_legger.14,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uiterwaard KRW Bentickswelle (zuid),ON,IJssel,"YS3.KZ.L.982,532.--",86BDAF00-91CE-4C12-9BD2-BA961B6150D1,0,,,,0,,"LINESTRING (197977.14699999988 502596.686999999, 197977.0538999997 502596.76619999856, 197976.0084999986 502597.65520000085, 197975.26900000125 502598.2840999998, 197972.58729999885 502600.5647, 197970.87469999865 502602.02109999955, 197970.30270000175 502602.5075000003, 197969.4919999987 502603.1970000006)"
duiker_lijn_legger.15,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uiterwaard KRW Bentickswelle (noord),ON,IJssel,"YS3.KZ.L.982,514.--",62EF899E-6B20-4E9C-8E5C-8A5D7F4D12B3,0,,,,0,,"LINESTRING (198145.8289999999 502489.98900000006, 198145.68710000068 502490.07189999893, 198143.96350000054 502491.0786000006, 198139.1537999995 502493.8876999989, 198137.20919999853 502495.0234000012)"
duiker_lijn_legger.16,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uiterwaard KRW Bentickswelle (west),ON,IJssel,"YS3.KZ.L.983,338.--",F79614A3-475D-49C2-B073-32A7801FA526,0,,,,0,,"LINESTRING (197458.8289999999 503448.41099999845, 197458.747299999 503449.9312000014, 197458.7060999982 503450.69779999927, 197458.27070000023 503458.8040000014, 197458.2164000012 503459.8150999993, 197458.15799999982 503460.90199999884)"
duiker_lijn_legger.17,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uiterwaard KRW Bentickswelle (oost),ON,IJssel,"YS3.KZ.L.983,339.--",52CA3CBD-685A-4DE7-BCA2-D3C5F7FDE8DD,0,,,,0,,"LINESTRING (197460.28200000152 503448.4750000015, 197460.22929999977 503449.75279999897, 197460.19810000062 503450.50979999825, 197459.8482999988 503458.99069999903, 197459.8103 503459.91230000183, 197459.76399999857 503461.03500000015)"
duiker_lijn_legger.18,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Nieuw duiker Onderdijksche Waard,ON,IJssel,"YS3.KZ.L.990,150.--",EF7111FF-E490-420C-A075-81313A4ED305,0,,,,0,,"LINESTRING (193638.4919999987 504040.62900000066, 193645.37590000033 504038.7353999987, 193646.0315000005 504038.5549999997, 193647.25939999893 504038.21719999984, 193647.87099999934 504038.0489999987)"
duiker_lijn_legger.19,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Nieuw duiker Scherenwelle en Koppelerwaard,ON,IJssel,"YS3.KZ.R.990,390.--",DBFB95E2-3CFC-4805-AD79-04AFC45CBAD2,0,,,,0,,"LINESTRING (193847.84099999815 504277.19900000095, 193836.45149999857 504279.88980000094, 193834.63599999994 504280.31870000064, 193830.4530000016 504281.30700000003)"
duiker_lijn_legger.20,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Amerongensche Bovenpolder,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL2.KZ.R.917,370.--",5201BA9C-1F59-4806-ACE3-013322699E21,0,,,,0,,"LINESTRING (161231.46950000152 444380.7311999984, 161231.51669999957 444380.7082000002, 161234.86450000107 444379.07499999925, 161237.27639999986 444377.8984000012, 161238.1101000011 444377.49170000106, 161241.06309999898 444376.05110000074, 161242.56159999967 444375.32009999827, 161242.63329999894 444375.28510000184)"
duiker_lijn_legger.21,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Stokebrandsweerd,ON,IJssel,"YS1.KZ.R.925,830.--",4DD5FDC2-9D41-4842-8DB7-B3BA6CE65A09,0,,,,0,,"LINESTRING (209724.55700000003 459759.0529999994, 209751.55099999905 459751.1169999987)"
duiker_lijn_legger.22,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Vreuderijkerwaard & Westenholte,ON,IJssel,"YS3.KZ.R.980,950.--",17E6DB5D-BD8B-4A92-859A-028205348F06,0,,,,0,,"LINESTRING (199625.84540000185 502232.21979999915, 199642.71269999817 502187.90199999884)"
duiker_lijn_legger.23,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Keizers- en Stobbenwaard,ON,IJssel,"YS2.KZ.R.948,210.--",603559AA-4150-4A65-A248-7967F5676025,0,,,,0,,"LINESTRING (205210.33410000056 476250.3541000001, 205200.48310000077 476257.3359999992)"
duiker_lijn_legger.24,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Olsterwaarden,ON,IJssel,"YS2.KZ.R.956,720.--",ADB087DE-E734-4555-AF13-589572730C70,0,,,,0,,"LINESTRING (203771.5009999983 483621.64400000125, 203768.94900000095 483617.95600000024)"
duiker_lijn_legger.25,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Olsterwaarden,ON,IJssel,"YS2.KZ.R.956,670.--",016E2FC2-CF1F-4CBE-A6C9-6B8790FD4AD7,0,,,,0,,"LINESTRING (203741.8599999994 483563.44200000167, 203747.73699999973 483560.756000001)"
duiker_lijn_legger.26,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Oenerdijker- en Weelsumerwaarden,ON,IJssel,"YS2.KZ.L.961,125.--",31C69EB2-1C58-4496-8326-7B510286F359,0,,,,0,,"LINESTRING (201456.12000000104 487511.3500000015, 201455.91000000015 487499.1339999996)"
duiker_lijn_legger.27,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Oenerdijker- en Weelsumerwaarden,ON,IJssel,,B09D92CE-B725-4360-ACF6-07CA23F9E8DE,0,,,,0,,"LINESTRING (203358.35799999908 491346.81599999964, 203369.4690000005 491347.46599999815)"
duiker_lijn_legger.28,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Oenerdijker- en Weelsumerwaarden,ON,IJssel,,04B18A99-75EA-490E-89D3-26FFE6D1C340,0,,,,0,,"LINESTRING (203365.90100000054 491414.61300000176, 203356.0399999991 491414.00400000066)"
duiker_lijn_legger.29,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker KRW Bentickswelle (noordelijke),ON,IJssel,"YS3.KZ.L.982,165.--",420B91C3-2C70-458E-AA9E-D38721AE1741,0,,,,0,,"LINESTRING (198354.17599999905 502378.4679999985, 198355.05169999972 502378.03920000046, 198358.57440000027 502376.31439999864, 198364.38850000128 502373.46759999916, 198367.6325000003 502371.8792999983, 198368.27789999917 502371.56329999864)"
duiker_lijn_legger.30,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker strangen Wilpse klei,ON,IJssel,,177A7D36-961A-4C48-89D2-5C0C6400EF4D,0,,,,0,,"LINESTRING (208838.52270000055 465720.12099999934, 208827.59310000017 465726.2366999984)"
duiker_lijn_legger.31,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker strangen Wilpse klei,ON,IJssel,,F6719B59-56C8-411B-BB26-EFB487AB96FD,0,,,,0,,"LINESTRING (208382.8071999997 465786.2089000009, 208376.8599999994 465794.20149999857)"
duiker_lijn_legger.32,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker strangen Wilpse klei,ON,IJssel,,C66DEC2E-AB44-465F-A6F6-5F4D3DB94510,0,,,,0,,"LINESTRING (208471.8973999992 465877.9395999983, 208465.45340000093 465886.4567999989)"
duiker_lijn_legger.33,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Westerveld,ON,Zwarte Water,"ZW2.KZ.R.5,670.--",DF334467-FE47-4D81-9FBE-9C83F63C450A,0,,,,0,,"LINESTRING (203072.86499999836 507807.9789999984, 203053.16000000015 507811.41099999845)"
duiker_lijn_legger.34,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Genneger en Holter Buitenland,ON,Zwarte Water,"ZW2.KZ.R.7,260.--",4BBD8CC1-A62B-447F-99F1-ACE10B0118CE,0,,,,0,,"LINESTRING (203597.3669999987 509267.686999999, 203585.8990000002 509270.3920000009)"
duiker_lijn_legger.35,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Roebollige Hoek,ON,Zwarte Water,"ZW2.KZ.L.12,205.--",3E2E7AF6-F4B0-49D3-BCDF-33BE0143C02A,0,,,,0,,"LINESTRING (202809.03700000048 513472.04199999943, 202815.24799999967 513474.04399999976)"
duiker_lijn_legger.36,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Drutensche Waarden West,ON,Boven-Rijn - Waal,"BR2.KZ.L.908,305.--",68DBD93F-E018-44EC-BD85-EBE04B955A3A,0,,,,0,,"LINESTRING (165336.93070000038 433526.3746000007, 165359.93980000168 433524.53390000015)"
duiker_lijn_legger.37,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,WNZ,Brabantsche Biesbosch,109A.KZ.-.965.511,EC7FE089-2B07-487F-A7F9-B8C1CF429932,0,,,,0,,"LINESTRING (116723.39809999987 421107.5364000015, 116723.86939999834 421116.0089999996, 116724.08549999818 421119.8931000009, 116724.71389999986 421131.19000000134, 116725.14460000023 421138.93140000105, 116725.37070000172 421142.9965999983)"
duiker_lijn_legger.38,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,WNZ,Brabantsche Biesbosch,109A.KZ.-.965.512,8195DE34-CBE6-4764-B635-294BB9FD13E9,0,,,,0,,"LINESTRING (116717.42119999975 421106.0731000006, 116719.02499999851 421114.85880000144, 116719.75129999965 421118.83729999885, 116721.84980000183 421130.3328000009, 116723.32009999827 421138.38650000095, 116724.14620000124 421142.9118999988)"
duiker_lijn_legger.39,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,WNZ,Brabantsche Biesbosch,109A.KZ.-.965.96,7C1B5D26-D10A-443C-BA23-4274BFB2AF80,0,,,,0,,"LINESTRING (116334.0476000011 420930.4437999986, 116330.15239999816 420933.80959999934, 116327.34439999983 420936.23600000143, 116320.95600000024 420941.7562999986, 116315.88690000027 420946.13650000095, 116309.89440000057 420951.3147, 116309.63699999824 420951.53709999844)"
duiker_lijn_legger.40,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Poldergemaal,WNZ,Brabantsche Biesbosch,109A.KZ.-.965.11,7BB8A4FC-7833-4FCC-9833-6AE11905B185,0,,,,0,,"LINESTRING (116107.25800000131 420720.3344999999, 116108.33850000054 420719.30310000107, 116109.2292000018 420718.4528999999, 116112.91809999943 420714.9316999987, 116120.98319999874 420707.23310000077)"
duiker_lijn_legger.41,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,WNZ,Brabantsche Biesbosch,109A.KZ.-.965.95,56C158D1-5050-4E25-B4F5-E90DCADEDC3E,0,,,,0,,"LINESTRING (116337.41340000182 420935.5331000015, 116333.11320000142 420938.25129999965, 116329.97049999982 420940.2377999984, 116324.87590000033 420943.4582000002, 116324.10319999978 420943.9466000013, 116322.87849999964 420944.7206999995, 116317.32519999892 420948.23099999875, 116311.04360000044 420952.20160000026, 116310.57299999893 420952.49909999967)"
duiker_lijn_legger.42,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.300.ov,2F5BEF28-4FE1-4ED9-8A76-3BF647166233,0,,,,0,,"LINESTRING (151621.74659999833 416094.7300999984, 151633.93510000035 416102.96020000055)"
duiker_lijn_legger.43,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.800.ov,E5874A6E-B4F1-48BA-ADB1-7D8C7F8D061A,0,,,,0,,"LINESTRING (151441.0610000007 416518.95899999887, 151445.28979999945 416521.2536999993)"
duiker_lijn_legger.44,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.500.ov,B66AED68-262F-443D-9B99-CA39D8D26B85,0,,,,0,,"LINESTRING (151566.9600000009 416210.0460000001, 151562.59070000052 416208.3332000002)"
duiker_lijn_legger.45,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.800.ov,61C88319-BDF6-47A2-9087-D620D162F64F,0,,,,0,,"LINESTRING (151455.03400000185 416498.22100000083, 151451.1559999995 416496.4310000017)"
duiker_lijn_legger.46,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.100.ov,CC1F8ABB-D308-40DA-985B-B8D20B45353E,0,,,,0,,"LINESTRING (151692.2263999991 415871.0491999984, 151704.80640000105 415873.9648000002)"
duiker_lijn_legger.47,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.600.ov,D3E7D447-D751-4E0A-9F82-71B148AD1793,0,,,,0,,"LINESTRING (151500.01900000125 416380.5460000001, 151503.75780000165 416381.66970000044)"
duiker_lijn_legger.48,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Sifon,Gemaal Het Rietje,ZN,Kanaal Wessem-Nederweert,WR10.KZ.-.3.9.--,C6B9B1EA-AE25-46EC-93C6-4AAC5D59AB5F,0,,,,0,,"LINESTRING (187273.06500000134 354551.39499999955, 187382.8500000015 354633.9620000012)"
duiker_lijn_legger.49,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.300.ov,4CC28ACC-4E32-4D91-B8B6-5072F0353D36,0,,,,0,,"LINESTRING (151613.3066000007 416091.18890000135, 151617.26289999858 416092.7448000014)"
duiker_lijn_legger.50,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.300.ov,5BB8DC71-1708-455D-AE12-B95B8F2C4DFE,0,,,,0,,"LINESTRING (151626.75789999962 416068.32290000096, 151622.79030000046 416066.6041000001)"
duiker_lijn_legger.51,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.600.ov,FBC215CF-C67B-428B-8564-051F2711C3CC,0,,,,0,,"LINESTRING (151532.75580000132 416295.561999999, 151528.1948999986 416293.7426000014)"
duiker_lijn_legger.52,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.300.ov,8239EC7C-F084-4AAC-93C6-7CC8C93FC526,0,,,,0,,"LINESTRING (151631.2509999983 416070.2082999982, 151644.29360000044 416074.99280000106)"
duiker_lijn_legger.53,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.100.ov,D32C019A-18CA-4BB9-B2AB-77D318A852D5,0,,,,0,,"LINESTRING (151686.8874000013 415869.7659999989, 151682.62889999896 415868.61300000176)"
duiker_lijn_legger.54,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.000.ov,47ADD6C8-80F2-4B6F-9F0A-0AC79A1E4443,0,,,,0,,"LINESTRING (151696.3500000015 415802.12999999896, 151700.6559999995 415802.8289999999)"
duiker_lijn_legger.55,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maximakanaal,BK01.KZ.R.6.000.ov,96DD9971-624C-4600-9BF8-95F72B83F130,0,,,,0,,"LINESTRING (151705.13309999928 415803.6997000016, 151719.36349999905 415806.0920000002)"
duiker_lijn_legger.56,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Noordwaard,WNZ,Brabantsche Biesbosch,,39634B53-2DA7-4E98-AEAF-54368167FD8B,0,,,,0,,"LINESTRING (114753.32149999961 419669.38479999825, 114781.85280000046 419661.9587999992)"
duiker_lijn_legger.57,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Brabantsche Biesbosch,"109A.KZ.-.963,951",E941F552-42E3-4FF6-915E-44EA3E9539ED,0,,,,0,,"LINESTRING (117610.22780000046 421844.940200001, 117601.87579999864 421862.9305000007)"
duiker_lijn_legger.58,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Brabantsche Biesbosch,,3856EE9A-C8E3-46B5-9D51-112D4D56498A,0,,,,0,,"LINESTRING (117760.56659999862 421926.20710000023, 117760.13740000129 421925.7307999991, 117757.09299999848 421922.3522000015, 117750.98829999939 421915.5775000006, 117748.91759999841 421913.2795000002, 117748.85770000145 421913.2129999995)"
duiker_lijn_legger.59,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Brabantsche Biesbosch,"109A.KZ.-.964,82",BF564B49-BB67-4F71-AE4F-EE3E9E302D31,0,,,,0,,"LINESTRING (117461.53009999916 422127.1297999993, 117456.16220000014 422143.33260000125)"
duiker_lijn_legger.60,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Brabantsche Biesbosch,"109A.KZ.-.964,83",28CC4E5F-30C5-48B6-AEC8-6FC0A7EDB8D4,0,,,,0,,"LINESTRING (117572.04320000112 421917.02050000057, 117572.38599999994 421916.47459999844, 117573.2452000007 421915.10660000145, 117577.90459999815 421907.68780000135, 117579.60390000045 421904.98209999874, 117579.69619999826 421904.83520000055)"
duiker_lijn_legger.61,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Brabantsche Biesbosch,"109A.KZ.-.965,113",5148EF44-F4C3-4727-8CA2-64794E4AD92F,0,,,,0,,"LINESTRING (116900.92460000142 421290.74069999903, 116901.24210000038 421289.3561999984, 116904.39770000055 421275.5967000015, 116904.75869999826 421274.02259999886)"
duiker_lijn_legger.62,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Brabantsche Biesbosch,"109A.KZ.-.964,86",9E107425-5FEE-4D10-9884-4C5F42582A01,0,,,,0,,"LINESTRING (117503.68070000038 421840.28730000183, 117503.85179999843 421840.44220000133, 117508.91829999909 421845.02980000153, 117513.92210000008 421849.56060000136, 117517.98299999908 421853.2375999987, 117518.15639999881 421853.39460000023)"
duiker_lijn_legger.63,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Brabantsche Biesbosch,"109A.KZ.-.964,88",8A6603D3-0453-4358-83CA-0D8B90718C50,0,,,,0,,"LINESTRING (117517.38120000064 421854.3957000002, 117517.19810000062 421854.29679999873, 117512.51089999825 421851.7644000016, 117506.0289000012 421848.2624000013, 117500.40980000049 421845.22670000046, 117500.12350000069 421845.0720000006)"
duiker_lijn_legger.64,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Brabantsche Biesbosch,"109A.KZ.-.964,84",0F90D3A3-6A6C-4E63-A47C-42189C863007,0,,,,0,,"LINESTRING (117580.76680000126 421905.2457999997, 117580.7221999988 421905.4444999993, 117580.02450000122 421908.55139999837, 117578.11100000143 421917.07250000164, 117577.77710000053 421918.5592, 117577.54659999907 421919.58570000157)"
duiker_lijn_legger.65,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Brabantsche Biesbosch,"109A.KZ.-.965,411",79D9D748-B910-444E-8346-2BA13C2CE119,0,,,,0,,"LINESTRING (117225.8823999986 421568.39550000057, 117226.2087999992 421568.3216999993, 117226.30779999867 421568.2993000001, 117234.03000000119 421566.55260000005, 117241.95030000061 421564.76110000163, 117251.61630000174 421562.5747999996, 117255.06489999965 421561.7947999984, 117259.60979999974 421560.76680000126, 117259.87040000036 421560.7078000009)"
duiker_lijn_legger.66,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Brabantsche Biesbosch,"109A.KZ.-.965,331",B97CE744-2A0E-4EBD-B08B-98C7A602E76F,0,,,,0,,"LINESTRING (117600.75569999963 421862.61719999835, 117600.79809999838 421862.3542000018, 117601.31540000066 421859.15740000084, 117601.77809999883 421856.2822000012, 117602.38300000131 421852.53449999914, 117602.69200000167 421850.620099999, 117603.02629999816 421848.54850000143, 117603.82440000027 421843.60350000113, 117603.95089999959 421842.8200000003)"
duiker_lijn_legger.67,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Noordwaard,WNZ,Brabantsche Biesbosch,"109A.KZ.-.965,5113",CA4F3AFE-19FE-49BB-8F98-746276EC7137,0,,,,0,,"LINESTRING (116172.79030000046 420406.3894000016, 116177.45010000095 420389.89240000024)"
duiker_lijn_legger.68,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Brabantsche Biesbosch,"109A.KZ.-.964,89",2D9C8B45-4547-48A7-B418-038BAAE1B853,0,,,,0,,"LINESTRING (117565.42689999938 421935.26949999854, 117558.0588000007 421950.54949999973)"
duiker_lijn_legger.69,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Brabantsche Biesbosch,,D13C1700-F447-476F-8B8E-02E050BCE003,0,,,,0,,"LINESTRING (117649.27109999955 421877.5302999988, 117654.30939999968 421861.3792999983)"
