FID,vrt_code,vrtnaam,haven_vaar,meetpunt,doorv_hoog,ref_vlak,hoogte_t_n,opmerking,bhr_naam,bhr_afdeli,bhr_type,bhr_be_adr,bhr_b_plts,bhr_postad,bhr_pos_pc,bhr_p_plts,bhr_tel_nr,bhr_fax_nr,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
hoogspanningsleiding.12,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,41.894,,NAP,33.3,"Hoogte: KP+17,30m=NAP+33,30m. ",Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,3282,,,POINT (52.2509 6.757599997999989)
hoogspanningsleiding.13,013a,Drentsche Diep en Zuidlaardermeer naar Zuidlaren,,0.577,,KP,16.4,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,3324,,,POINT (53.17949999899997 6.658300000999986)
hoogspanningsleiding.14,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,36.488,,NAP,38.8,"SP+32,88m=NAP+38,88m / lijn tussen mastnrs. 10 en 11.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,3338,,,POINT (51.951599999999985 5.643700000000024)
hoogspanningsleiding.15,013a,Drentsche Diep en Zuidlaardermeer naar Zuidlaren,,11.103,,KP,12,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,3347,,,POINT (53.10000000100001 6.69799999899999)
hoogspanningsleiding.16,150i1,Kerkvaart naar Waspik of Kerkvaartschehaven,,0.185,,NAP,30.2,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,3501,,,POINT (51.70490000000001 4.943999997999981)
hoogspanningsleiding.17,083,Oude IJssel,,8.877,,NAP,25,"Hoogte: SP+15,00m=NAP+25,00m.",,,,,,,,,,,,3613,,,POINT (51.9837 6.235399998999981)
hoogspanningsleiding.18,094e,Enservaart,,8.324,,KP,7.4,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,3938,,,POINT (52.645399999000006 5.813099998999974)
hoogspanningsleiding.19,017,"Westerwoldsche Aa, Veendiep, B.L.Tijdenskanaal en Ruiten Aa Kanaal",,0.393,,KP,12,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,3950,,,POINT (53.149599998999975 7.12990000100001)
hoogspanningsleiding.20,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,43.192,,SP,21.8,"Hoogte: SP+21,85m=NAP+42,65m.",nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,4782,,,POINT (51.163400002 5.896299999000007)
hoogspanningsleiding.21,222,"Bullewijk, Waver, Winkel, Vinkeveensche Plassen, Geuzensloot, Angstel en Nieuwe Wetering",,14.848,,KP,15.2,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,5148,,,POINT (52.214699998000015 4.9906999990000145)
hoogspanningsleiding.22,150c1,Verlengde Oude Maas,,2.721,,SP,23.2,"SP+23,20m=NAP+44m.",nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,5155,,,POINT (51.125999998 5.858899999000016)
hoogspanningsleiding.23,022a,Nauwe Greuns,,3.123,,KP,30.1,,,,,,,,,,,,,5171,,,POINT (53.184599999 5.836100000999977)
hoogspanningsleiding.24,086a,Overijsselsche Vecht,,26.261,,MP,16,"MP+16,0m=NAP+15,60m. 110 kV lijn tussen mastnrs. 14 en 15.",Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,5487,,,POINT (52.521499999000014 6.168499999000005)
hoogspanningsleiding.25,129,Schelde-Rijnverbinding,,26.6,28,KP,28,,nv Delta Nutsbedrijven,,ET,Poelendaelesingel 10,Middelburg,Postbus 5048,4330 KA,Middelburg,0118-692111,,,5668,,,POINT (51.43180000000001 4.233699999999999)
hoogspanningsleiding.26,083,Oude IJssel,,22.208,,NAP,38.5,"Hoogte SP+26,10m=NAP+38,50m / lijn tussen mastnrs. 36 en 37.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,6149,,,POINT (51.90790000200002 6.364899999999977)
hoogspanningsleiding.27,225,Amsterdam-Rijnkanaal,,42,22.4,KP,22.4,,nv Remu,,ET,Nijverheidsweg 15,Utrecht,Postbus 8888,3503 SG,Utrecht,030-2975911,,,6195,,,POINT (52.04930000000002 5.105999999000005)
hoogspanningsleiding.28,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,44.534,23.3,SP,23.3,"Hoogte: SP+23,35m=NAP+44,15m.",Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,6238,,,POINT (51.168799999999976 5.912900001000025)
hoogspanningsleiding.29,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,116.907,,NAP,58,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,6252,,,POINT (51.8895 4.668900001999987)
hoogspanningsleiding.30,019,Vaarweg Veendam-Stadskanaal-Ter Apel,,8.525,,KP,20.4,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,6505,,,POINT (53.041499998000006 6.86719999799999)
hoogspanningsleiding.31,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,42.648,,NAP,40.8,380 kV lijn tussen mastnrs. 249 en 250.,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,6602,,,POINT (51.898300000000006 5.644400001000008)
hoogspanningsleiding.32,022,Van Harinxmakanaal,,6.1,,KP,30.1,,,,,,,,,,,,,6706,,,POINT (53.179099999000016 5.500700000999984)
hoogspanningsleiding.33,210,"Schie-Schiekanaal, Noorderkanaal, Rotte, Hennipsloot en Ringvaart van de Zuidplaspolder",,16.423,,BP,10,,,,,,,,,,,,,6715,,,POINT (52.011300000999995 4.573899998999991)
hoogspanningsleiding.34,124,Amertak en Wilhelminakanaal,,2.708,,NAP,28.3,,,,,,,,,,,,,6877,,,POINT (51.68829999899998 4.835800000000006)
hoogspanningsleiding.35,232,Hoge Vaart,,52.227,,NAP,19.6,"Hoogte: KP+24,80m=NAP+19,60m / lijn tussen mastnrs. 65 en 66.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,7163,,,POINT (52.49749999900001 5.761199999999974)
hoogspanningsleiding.36,103b,Rijnhaven van Wageningen,,0.785,,NAP,37.9,"SP+31,97m = NAP+37,97m / lijn tussen mastnrs. 20 en 21.",Tennet,,ET,Utrechtseweg 310 ,Arnhem ,Postbus 718 ,6812 AR,Arnhem ,026-3731111,,,7311,,,POINT (51.959299999999985 5.653999999000007)
hoogspanningsleiding.37,224,"Heinoomsvaart, Geer, Bijleveld, Groote Heijcop, Kerkvaart en Danne",,10.051,,KP,14.8,,,,,,,,,,,,,7361,,,POINT (52.170799999999986 4.988499998999998)
hoogspanningsleiding.38,115,Hartelkanaal,,19.129,48.9,NAP,48.9,,Tennet,,ET,Utrechtseweg 310 ,Arnhem ,Postbus 718 ,6812 AR,Arnhem ,026-3731111,,,7576,,,POINT (51.93760000200001 4.104300000000023)
hoogspanningsleiding.39,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,112.947,,NAP,28.2,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,8456,,,POINT (52.58309999900001 5.864899999999977)
hoogspanningsleiding.40,006,"Vaarwegen in de stad Groningen, Reitdiep en Lauwersmeer",,13.26,,KP,30,Tussen mastnrs. 33 en 34.,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,9340,,,POINT (53.29109999899998 6.503400001999978)
hoogspanningsleiding.41,123,Kanaal Wessem-Nederweert,,13.673,,KP,28.6,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,9405,,,POINT (51.25629999900002 5.777699999999982)
hoogspanningsleiding.42,231,Lage Vaart,,28.695,,NAP,18.6,"Hoogte: KP+24,80m=NAP+18,60m  / lijn tussen mastnrs. 62 en 63.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,9669,,,POINT (52.51029999899998 5.552700001999995)
hoogspanningsleiding.43,233,"Noordzeekanaal, Afgesloten-IJ en Buiten-IJ",,28.538,,MP,65,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,9973,,,POINT (52.36980000099999 4.983600002000003)
hoogspanningsleiding.44,126d,Mark-Vlietkanaal en havens van Roosendaal,,3.299,,KP,29,,,,,,,,,,,,,10322,,,POINT (51.566100000999995 4.446699998999975)
hoogspanningsleiding.45,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,90.4,20,KP,20,,,,,,,,,,,,,10375,,,POINT (51.16090000000003 5.608100001000025)
hoogspanningsleiding.46,222a1,Gein,,1.336,,KP,15,,Particulier,,PART,,,,,,,,,10633,,,POINT (52.294100001000004 5.009100000999979)
hoogspanningsleiding.47,130,Kanaal van Gent naar Terneuzen met de Zijkanalen en havens,,8.367,,KP,56,,Electrabel (B),,ET,,,,,,,,,10662,,,POINT (51.14079999900002 3.7769999989999974)
hoogspanningsleiding.48,093,Zwanendiep en Vollenhoverkanaal,,6.313,,MP,38,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,10737,,,POINT (52.67720000100002 5.935699999000008)
hoogspanningsleiding.49,109,Vaarweg Spijkerboor-Werkendam,,5.995,,NAP,40.5,,,,,,,,,,,,,11173,,,POINT (51.761300000999995 4.85949999799999)
hoogspanningsleiding.50,131,Westerschelde,,19.76,,NAP,73,,,,,,,,,,,,,11454,,,POINT (51.34670000199998 4.255800001000011)
hoogspanningsleiding.51,234,Noordhollandsch Kanaal,,29.35,,KP,40,,,,,,,,,,,,,11594,,,POINT (52.556100000000015 4.7859999980000225)
hoogspanningsleiding.52,094,Lemster- en Zwolsevaart,,19.734,,KP,13.1,,,,,,,,,,,,,11833,,,POINT (52.70809999900001 5.824000001000002)
hoogspanningsleiding.53,137,Kanaal door Zuid-Beveland,,7.097,,NAP,49,,nv Delta Nutsbedrijven,,ET,Poelendaelesingel 10,Middelburg,Postbus 5048,4330 KA,Middelburg,0118-692111,,,11842,,,POINT (51.46799999799998 4.006200001000025)
hoogspanningsleiding.54,227,Vecht,,41.295,,KP,32.4,,,,,,,,,,,,,12077,,,POINT (52.322400000000016 5.063800000000015)
hoogspanningsleiding.55,060,Lemmer - Delfzijl,,6.4,30,KP,30,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,12414,,,POINT (53.22089999899998 6.123899999999992)
hoogspanningsleiding.56,043c,Schipsloot,,1.1,,KP,20,,,,,,,,,,,,,12674,,,POINT (52.896600001000024 5.931299998999975)
hoogspanningsleiding.57,129,Schelde-Rijnverbinding,,34.1,33.2,KP,33.2,,Electrabel (B),,ET,,,,,,,,,12676,,,POINT (51.374600000999976 4.27320000200001)
hoogspanningsleiding.58,013,"Winschoterdiep, Rensel en havens te Winschoten",,1.121,,KP,48.3,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,12697,,,POINT (53.21200000099998 6.600400001000025)
hoogspanningsleiding.59,027,Vaarweg van de Slenk (Lauwersmeer) naar Leeuwarden,,21.745,,KP,30.1,,,,,,,,,,,,,12967,,,POINT (53.32099999899998 5.974300001000017)
hoogspanningsleiding.60,126,Mark en Dintel,,25.988,,KP,29.3,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,13117,,,POINT (51.61010000099998 4.499899997999989)
hoogspanningsleiding.61,231b,Larservaart,,9.674,,NAP,10.6,"Hoogte: KP+16,80m=NAP+10,60m / lijn tussen mastnrs. 161 en 162.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,13247,,,POINT (52.416499998000006 5.585499997999989)
hoogspanningsleiding.62,224,"Heinoomsvaart, Geer, Bijleveld, Groote Heijcop, Kerkvaart en Danne",,9.79,,KP,14.8,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,13269,,,POINT (52.16959999900001 4.985900000000015)
hoogspanningsleiding.63,108b1,Roode Vaart of Zevenbergsche Haven,,4.461,,KP,27.4,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,13302,,,POINT (51.66519999899998 4.608399997999982)
hoogspanningsleiding.64,201,Vaarweg vanaf de Oude-Wetering via Leiden en Delft naar Rotterdam,,13.014,,KP,42.6,,Tennet,,ET,Utrechtseweg 310 ,Arnhem ,Postbus 718 ,6812 AR,Arnhem ,026-3731111,,,13322,,,POINT (52.17069999900002 4.515000000999976)
hoogspanningsleiding.65,003c,Hoendiep,,5.5,,KP,30,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,13353,,,POINT (53.21249999899999 6.418099998999992)
hoogspanningsleiding.66,115a,Dintelhaven,,0.347,,NAP,20.9,,,,,,,,,,,,,13739,,,POINT (51.93499999900001 4.143899999999974)
hoogspanningsleiding.67,232,Hoge Vaart,,5.581,,NAP,19.6,"Hoogte: KP+24,80m=NAP+19,60m.",nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,13942,,,POINT (52.37330000100002 5.25569999999999)
hoogspanningsleiding.68,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,52.121,,SP,27.4,"Hoogte: SP+27,40m=NAP+41.50m.",Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,14561,,,POINT (51.22150000200003 5.97890000000001)
hoogspanningsleiding.69,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,133.31,,NAP,41.3,"Hoogte: SP+33,85m=NAP+41,35m / lijn tussen mastnrs. 52 en 53.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,14684,,,POINT (51.758400000999984 5.836199998999973)
hoogspanningsleiding.70,237,Zijkanaal D en Nauernasche Vaart,,1.958,,KP,18.3,,,,,,,,,,,,,14754,,,POINT (52.44700000099999 4.756299999000021)
hoogspanningsleiding.71,227d,Muidertrekvaart,,3.279,,KP,22.1,,,,,,,,,,,,,14856,,,POINT (52.33329999799997 5.025699998999983)
hoogspanningsleiding.72,131,Westerschelde,,3.854,,NAP,73,,,,,,,,,,,,,15022,,,POINT (51.24250000000001 4.343600001000027)
hoogspanningsleiding.73,130,Kanaal van Gent naar Terneuzen met de Zijkanalen en havens,,9.171,,KP,52,,Electrabel (B),,ET,,,,,,,,,15207,,,POINT (51.147500001000026 3.781300000999977)
hoogspanningsleiding.74,130,Kanaal van Gent naar Terneuzen met de Zijkanalen en havens,,8.473,,KP,56,,Electrabel (B),,ET,,,,,,,,,15715,,,POINT (51.141700000000014 3.7776000019999856)
hoogspanningsleiding.75,227g,'s-Gravelandsevaart,,3.308,,KP,99.9,,,,,,,,,,,,,15782,,,POINT (52.27490000099999 5.1118000000000166)
hoogspanningsleiding.76,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,11.16,26.8,KP,26.8,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,15913,,,POINT (51.68030000099998 5.3720000010000035)
hoogspanningsleiding.77,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,17.479,,NAP,35,"Hoogte: KP+25,05m=NAP+35,05m / lijn tussen mastnrs. 13 en 14.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,16004,,,POINT (52.16690000099999 6.440000000999987)
hoogspanningsleiding.78,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,38.485,24.8,KP,24.8,,,,,,,,,,,,,16442,,,POINT (51.126300000000015 5.865400001000012)
hoogspanningsleiding.79,013,"Winschoterdiep, Rensel en havens te Winschoten",,0.958,,KP,48.3,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,16458,,,POINT (53.213500001 6.599899999999991)
hoogspanningsleiding.80,129,Schelde-Rijnverbinding,,27.2,32.8,KP,32.8,,nv Delta Nutsbedrijven,,ET,Poelendaelesingel 10,Middelburg,Postbus 5048,4330 KA,Middelburg,0118-692111,,,16546,,,POINT (51.426300000000026 4.2346)
hoogspanningsleiding.81,022a,Nauwe Greuns,,3.098,,KP,30.1,,,,,,,,,,,,,16565,,,POINT (53.18439999999998 5.836100000999977)
hoogspanningsleiding.82,221,Weespertrekvaart,,8.873,,KP,21,,,,,,,,,,,,,16665,,,POINT (52.30530000099998 5.011900000000026)
hoogspanningsleiding.83,063,Sneekertrekvaart of Zwette,,0.4,,KP,19.8,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,16669,,,POINT (53.18380000100001 5.764600001000019)
hoogspanningsleiding.84,009,Boterdiep,,0.999,,KP,18.9,,,,,,,,,,,,,16806,,,POINT (53.24630000100001 6.577300001000026)
hoogspanningsleiding.85,083,Oude IJssel,,10.357,,NAP,25.6,"Hoogte: SP+15,65m=NAP+25,65m / lijn tussen mastnrs. 102 en 103.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,16856,,,POINT (51.974699999999984 6.250500000999978)
hoogspanningsleiding.86,232a,Vaarweg van de Hoge Vaart via Almere-Stad naar Lange Wetering,,7.814,,PP,8.5,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,17227,,,POINT (52.363400001 5.225200001000019)
hoogspanningsleiding.87,227d,Muidertrekvaart,,2.212,,KP,15.4,,,,,,,,,,,,,17330,,,POINT (52.332699999 5.041200000999993)
hoogspanningsleiding.88,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,68.893,28.1,KP,28.1,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,17352,,,POINT (51.269799999999975 5.738899998000022)
hoogspanningsleiding.89,129c,"Zandvlietsluis, Vaarweg door",,2.921,,BP,70.9,,Electrabel (B),,ET,,,,,,,,,17409,,,POINT (51.35000000100001 4.2589000020000185)
hoogspanningsleiding.90,060,Lemmer - Delfzijl,,36,23,KP,23,,,,,,,,,,,,,17949,,,POINT (53.26029999899998 6.476599998999973)
hoogspanningsleiding.91,225,Amsterdam-Rijnkanaal,,7.088,,KP,20.4,Tussen mast nrs 90 en 91.,nv Remu,,ET,Nijverheidsweg 15,Utrecht,Postbus 8888,3503 SG,Utrecht,030-2975911,,,18032,,,POINT (52.3347 5.011999998000022)
hoogspanningsleiding.92,065,Bolswardertrekvaart,,0.532,,KP,19.8,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,18462,,,POINT (53.182799999 5.686900001000026)
hoogspanningsleiding.93,102a,Bakkerskil,,2.039,,NAP,32,,Tennet,,ET,Utrechtseweg 310 ,Arnhem ,Postbus 718 ,6812 AR,Arnhem ,026-3731111,,,18601,,,POINT (51.898800000999984 4.598700001999987)
hoogspanningsleiding.94,012,"Slochterdiep, Afwateringskanaal van Duurswold, Schildmeer en Groeve (zuidelijk gedeelte)",,16.859,,KP,16.1,380/220 kV lijn tussen mastnrs. 36 en 37.,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,18788,,,POINT (53.292599998000014 6.840100001999986)
hoogspanningsleiding.95,109a,Ruigt of Reugt,,3.687,,NAP,29,,,,,,,,,,,,,18896,,,POINT (51.75790000000001 4.800999998999998)
hoogspanningsleiding.96,108b1,Roode Vaart of Zevenbergsche Haven,,4.521,,KP,28.5,,,,,,,,,,,,,18933,,,POINT (51.66470000100003 4.608299999999986)
hoogspanningsleiding.97,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,216.786,,NAP,41,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,19138,,,POINT (51.713500001 4.841200001999994)
hoogspanningsleiding.98,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,38.6,25,KP,25,,,,,,,,,,,,,19303,,,POINT (51.12730000200003 5.8660999979999815)
hoogspanningsleiding.99,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,116.495,,NAP,56,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,19711,,,POINT (51.89050000200001 4.674500000000023)
hoogspanningsleiding.100,231,Lage Vaart,,30.987,,NAP,18.6,"Hoogte: KP+24,80m=NAP+18,60m / lijn tussen mastnrs. 96 en 97.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,20079,,,POINT (52.51370000100002 5.585800000000006)
hoogspanningsleiding.101,037b,Boorne,,2.584,,KP,19.8,,,,,,,,,,,,,20279,,,POINT (53.06529999899999 5.818500001000018)
hoogspanningsleiding.102,150c,Maas van Wessem naar Ohe en Laak,,8.7,24.7,SP,24.7,"Doorvaarthoogte: SP+24,70m=NAP+45,50m.",,,,,,,,,,,,20316,,,POINT (51.121399999000005 5.814900000000023)
hoogspanningsleiding.103,020,Noord-Willemskanaal,,3.958,,KP,7.8,110 kV lijn,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,20426,,,POINT (53.022100002 6.567600001000017)
hoogspanningsleiding.104,111,Oude Maas,,23.224,,NAP,45,,Tennet,,ET,Utrechtseweg 310 ,Arnhem ,Postbus 718 ,6812 AR,Arnhem ,026-3731111,,,20521,,,POINT (51.84250000100002 4.378800001000002)
hoogspanningsleiding.105,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,114.537,,NAP,43,,,,,,,,,,,,,20786,,,POINT (51.823100001 4.715100001999986)
hoogspanningsleiding.106,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,28.381,41.3,NAP,41.3,150 kV lijn tussen mastnrs. 1 en 2.,nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,21149,,,POINT (51.85990000100003 5.837699998000005)
hoogspanningsleiding.107,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,48.2,25.7,KP,25.7,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,21256,,,POINT (51.436500002 5.694499999000016)
hoogspanningsleiding.108,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,32.108,,NAP,27.5,"Hoogte: KP+17,55m=NAP+27,55m. ",Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,21570,,,POINT (52.23200000100002 6.621800001999986)
