FID,DATUM,VAN_KNPNR,NAAR_KNPNR,STRENGNR,STRENGTYPE,AFVOERTYPE,JAAR,JAAR_RECON,MATERIAAL,VORM,VANBOBPEIL,NARBOBPEIL,BREEDTE,HOOGTE,BODEMBRDT,LENGTE,INSPECTIE,JAARVERV_INDICATIE,DD_BIJGEWERKT,GEOMETRIE
BOR_RIO_LEIDINGEN.1899,2022-11-09,11533,11534,1,vuil,gescheiden,1966,1966,beton,rond,5.09,5,300,300,130,45.63,2013-09-27,2038,2023-02-01,"LINESTRING (183941.267 424538.978, 183933.018 424494.101)"
BOR_RIO_LEIDINGEN.1900,2022-11-09,11533,11960,1,vuil,gescheiden,1966,1966,beton,rond,5.09,5.18,300,300,130,46.33,2013-09-27,2023,2023-02-01,"LINESTRING (183941.267 424538.978, 183949.851 424584.508)"
BOR_RIO_LEIDINGEN.1901,2022-11-09,11534,11536,1,vuil,gescheiden,1966,1966,beton,rond,6.1,6.03,300,300,130,31.58,2013-09-30,2083,2023-02-01,"LINESTRING (183933.018 424494.101, 183927.141 424463.063)"
BOR_RIO_LEIDINGEN.1902,2022-11-09,11534,11964,1,vuil,gescheiden,1966,1966,beton,rond,5.5,5.7,300,300,130,53.62,2013-09-30,2083,2023-02-01,"LINESTRING (183933.018 424494.101, 183985.672 424483.969)"
BOR_RIO_LEIDINGEN.1903,2022-11-09,11535,11537,1,regen,gescheiden,1966,1966,beton,rond,6.32,6.45,300,300,130,40.77,2013-09-25,2083,2023-02-01,"LINESTRING (183929.841 424486.55, 183922.622 424446.44)"
BOR_RIO_LEIDINGEN.1904,2022-11-09,11536,11538,1,vuil,gescheiden,1966,1966,beton,rond,6.03,5.96,300,300,130,32.04,2013-09-30,2058,2023-02-01,"LINESTRING (183927.141 424463.063, 183921.286 424431.557)"
BOR_RIO_LEIDINGEN.1905,2022-11-09,11538,11539,1,vuil,gescheiden,1966,1966,beton,rond,5.96,5.9,300,300,130,45.45,2019-06-04,2029,2023-02-01,"LINESTRING (183921.286 424431.557, 183936.099 424388.58)"
BOR_RIO_LEIDINGEN.1906,2022-11-09,11539,11540,1,vuil,gescheiden,1966,1966,beton,rond,5.9,5.83,300,300,130,27.42,2013-09-30,2083,2023-02-01,"LINESTRING (183936.099 424388.58, 183946.004 424363.023)"
BOR_RIO_LEIDINGEN.1907,2022-11-09,11539,11549,1,vuil,gescheiden,1966,1966,beton,rond,5.9,5.95,300,300,130,48.34,2019-06-04,2029,2023-02-01,"LINESTRING (183936.099 424388.58, 183891.211 424370.621)"
BOR_RIO_LEIDINGEN.1908,2022-11-09,11540,12023,1,vuil,gescheiden,1966,1966,beton,rond,5.83,5.73,300,300,130,48.02,2013-10-01,2058,2023-02-01,"LINESTRING (183946.004 424363.023, 183962.993 424318.111)"
BOR_RIO_LEIDINGEN.1909,2022-11-09,11540,12026,1,vuil,gescheiden,1966,1966,beton,rond,5.83,5.86,300,300,130,32.82,2013-10-01,2058,2023-02-01,"LINESTRING (183946.004 424363.023, 183976.675 424374.727)"
BOR_RIO_LEIDINGEN.1910,2022-11-09,11541,11542,1,regen,gescheiden,1966,1966,beton,rond,6.35,6.45,300,300,130,27.62,2013-09-19,2058,2023-02-01,"LINESTRING (183930.679 424358.632, 183922.183 424384.892)"
