Leveranciersnaam;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
EVAC Medical;;1;;;;;1;;;1
Falck Prevention B.V.;;1;;;;;;;;1
Fire-Control B.V.;;1;;;;;;;;1
Flash Rental Services B.V.;;2;;;;;;;;2
Fonq.nl B.V.;;;;;;;1;1;;1
Frama Nederland;;;;;;;;1;;1
Gove B.V.;;;;;;;2;;;2
Grapefish;;;;;2;;;;;2
Haco Zoetermeer B.V.;;;;;;;1;;;1
Hafo B.V.;;;;;1;;;;;1
Hagisto;;;;;;;1;;;1
Handboekbinderij Bronsgeest-Habi;;;;;1;;;;;1
Handelshuis RenÃ© Toebak;;;;;;;;1;;1
HANOS Den Haag - Delft;2;;;;;;;;;2
Hectas Facility Services C.V.;;;5;;;;;;;5
Het NIC B.V.;1;;;;;;;;;1
Het Textielhuis Nobbenhuis;;;;;;;1;;;1
Hirschmann Multimedia B.V.;;;;;;;1;;;1
Holland Catering Specialisten Loc. Woudestein;4;;;;;;;;;4
HOLLANDinrichters B.V.;;;;;;;1;;;1
House of Lords B.V.;1;;;;;;;;;1
ImPressed druk & print;;;;;1;;;;;1
Inbraakpreventie 'M.I.B.' B.V.;;1;;;;;;;;1
ING Bank N.V.;;;;1;1;;;;;1
Initial B.V.;;;2;;;1;;;;2
Intenz Gezondheidsplan B.V.;;1;;;;;;;;1
Intercept;;;1;;;;;;;1
Interieur Corner B.V.;;;;;;;2;;;2
Interwabo B.V.;;;;;;;1;;;1
Intimus International Netherlands B.V.;;;;;;;;1;;1
Intrum Justitia Nederland B.V.;;;;;;;;;1;1
Jura Nederland B.V.;;;;;;;1;;;1
Karisma B.V.;;;;1;;;;;;1
KLM Health Services B.V.;;2;;;;;;;;2
Koninklijke PostNL B.V.;;;;1;;;;;;1
Koninklijke van der Most B.V.;;;;;1;;;;;1
Kruizinga B.V.;;;;;;;;1;;1
Kunst.nl B.V.;;;;;;;2;;;2
Lagro Waalwijk B.V.;;;;;;;1;;;1
LampVision B.V.;;;;;;;1;;;1
Langerak-de Jong B.V.;1;;;;;;;;;1
Logistiekconcurrent;;1;;;;;;;;1
Lyreco Nederland B.V.;;1;;;;;1;;;1
M&L Professional B.V.;;;;;;;1;;;1
M+ Group B.V.;;;;;;;1;;;1
Maison van den Boer;1;;;;;;;;;1
Manutan B.V.;;;;;;;1;1;;1
Mathersoft B.V.;;;;;;;1;;;1
Middelbos B.V.;;;;;;;1;;;1
Middin;;;;;;;1;;;1
Miele Nederland B.V.;;;;;;;1;;;1
Moduli Print B.V.;;;;;1;;;;;1
N.A. van den Hoven & Zonen B.V.;;1;;;;;;;;1
Ninaber van Eyben B.V.;;;;;;;2;;;2
Novagraaf Nederland;;;;;1;;;;;1
Office Depot B.V.;;;;;;;;1;;1
Paagman Den Haag B.V.;;;;;1;;;;;1
Pactechno;;;;;;;;1;;1
Papyrus Groep Nederland B.V.;;;;;1;;;1;;1
Party Rental Company B.V.;;;;;;;1;;;1
Plein 9 A B.V.;1;;;;;;;;;1
Printed Copy en Printservice;;;;;2;;;;;2
Project XXL B.V.;;;;;;;1;;;1
Protinus IT B.V.;;;;;;;1;1;;1
Quantes B.V.;;;;;1;;;;;1
R.J.W. Hulst Agenturen;1;;;;;;;;;1
R.M.G. Guérain Leverancier Horeca Porselein;;;;;;;1;;;1
Raatwerk B.V.;;1;;;;;;;;1
Raffles Furniture B.V.;;;;;;;1;;;1
Rajapack Benelux;;;;;1;;;;;1
Regina Bloemsierkunst;;;;;;;2;;;2
Reisswolf Nederland B.V.;;1;;;;1;;;;1
Renewi Support B.V.;;;;;;1;;;;1
Rentokil pest control;;;2;;;;;;;2
RH Brandbeveiliging B.V.;;1;;;;;;;;1
Richard Bastiaans Grafisch Ontwerp;;;;;1;;;;;1
Rietvelt Herenmode;;;;;;;;1;;1
RL Sales;;;;;;;;1;;1
Ruben Jorksveld Fotografie;;;;;;;;1;;1
Saval B.V.;;1;;;;;;;;1
Schoondergang Van Zwanenburg G.k.t. B.V.;;;;;;;2;;;2
Schoondergang Van Zwanenburg Serv.&Ond. B.V.;;;;;;;2;;;2
ScreenCheck Europe B.V.;;1;;;;;;;;1
Selecta Netherlands B.V.;3;;;;;;;;;3
Semaphore Signs B.V.;;1;;;;;;;;1
Signpost B.V.;;;;;;;1;;;1
Sita Recycling Services;;;;;;1;;;;1
Sitagre B.V.;;1;;;;;;;;1
Sligro;2;;;;;;;1;;2
Sodexo B.V.;3;;;;;;;;;3
Staples Nederland B.V.;;;;;;;1;2;;2
Sticht. Ter Expl. Van Naburige Rechten (Sena);;;;;;;1;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';1;;;;;;;;;1
Stichting The Hague Marketing Bureau;;;;1;;;;;;1
Stichting Videma;;;;;;;1;;;1
Studio Lakmoes;;;;;1;;;;;1
T + T Systems;;;;;;;1;;;1
Textcetera B.V.;;;;;2;;;;;2
Thijs Brand tweewielers Zoetermeer V.O.F.;;;;;;;1;;;1
Things To Make And Do B.V.;;;;;1;;;1;;2
Tinguely Xperts B.V.;;1;;;;;;;;1
Tint, Buro voor Grafische Vormgeving;;;;;1;;;1;;1
Tismo Folie B.V.;;;;;;;1;;;1
Ton van Loon;;;;;;;1;;;1
Topbloemen Nederland B.V.;;;;;;;2;;;2
Transposafe Systems;;1;;;;;;1;;1
Trompenburg B.V.;;;;;;;1;;;1
Uitvaartcentrum Bouwens B.V.;;;;;1;;;;;1
V.S.S. Consultancy B.V.;;;1;;;;;;;1
Vaccinatiezorg B.V.;;1;;;;;;;;1
Van de Vorst Timmer- & Onderhoudswerken;;;;;;;2;;;2
Van Gansewinkel Nederland B.V.;;;2;;;;;;;2
Van Randwijk Paperflow Solutions B.V.;;1;1;;;1;;;;1
Van Schoonhoven Reclamestudio;;1;;;;;;;;1
Veiligheidsinstituut Medi-Select B.V.;;1;;;;;;;;1
Ver. Bedr. Jansen-Wijsmuller & Beuns B.V.;;;;;;;;1;;1
Verhuurbedrijf Paul B.V.;;;;;;;1;;;1
Verhuurbedrijf Zuid-Holland B.V.;;;;;;;1;;;1
Wasserij Ambassade;;;1;;;;;;;1
WebXperience B.V.;;;;;;;;1;;1
Wijnhandel Vles;1;;;;;;;;;1
Wijnkoperij De Gouden Ton;1;;;;;;;;;1
WMF Nederland B.V.;;;;;;;1;;;1
Xerox (Nederland) B.V.;;;;;3;;;2;;3
YD-Fotografie;;;;;;;;1;;1
Ziggo B.V.;;;;;;;1;;;1
Eindtotaal;5;4;5;1;4;1;5;3;1;7
