X,Y,OBJECTID,IDENTIFICATIE,HOOGTE,LOCATIE,X_GEVEL,Y_GEVEL,BRONHOUDER
4.78412440427729,51.61104123348,128,44D0824,1.568,school   zomergemstraat                                                    ,-0044,+0070,Gemeente Breda
4.78012389556148,51.6143823397008,129,44D0825,1.359,ketelhuis  vlaanderenstraat,-0015,+0045,Gemeente Breda
4.81524642527849,51.6113952769735,130,44D0826,3.589,trafo groenstraat  teteringen,+0012,+0033,Gemeente Breda
4.78669704247419,51.604285929273,131,44D0830,1.916,ketelhuis  oostendestraat,-0020,+0054,Gemeente Breda
4.77873822192212,51.6089728946456,132,44D0831,1.86,trafo  a/d  hamdijk,+0015,+0040,Gemeente Breda
4.77048140701879,51.5929835593765,133,44D0832,3.263,schakelstation  a/d  etnastraat,-0038,+0051,Gemeente Breda
4.76842325241361,51.6116244109163,134,44D0833,2.921,trafo a/d  moerlaken  nabij  konijnenberg,+0140,+0048,Gemeente Breda
4.81221810816523,51.5917579866697,135,44D0835,3.766,sch  gastakker,+0008,+0025,Gemeente Breda
4.81343512668029,51.589094299892,136,44D0836,4.509,school  kapelstraat   15,+0010,+0032,Gemeente Breda
4.82034275907709,51.588292026848,137,44D0837,4.859,trafo  hoek  heerbaan  -heusdenhoutsestraat,+0195,+0019,Gemeente Breda
4.82569954646007,51.5903583142364,138,44D0838,5.05,gasdrukregelstation  bisschopshoeve,-0014,+0036,Gemeente Breda
4.78048032851205,51.6060875594988,139,44D0839,1.903,school   namenstraat,+0010,+0054,Gemeente Breda
4.82157544074955,51.5970620324557,140,44D0840,11.812,kant  viaduct  nieuwe kadijk,+0010,-0010,Gemeente Breda
4.8212386882852,51.5974469199758,141,44D0841,5.91,pijler  viaduct a/d posthoorn ,+0010,-0010,Gemeente Breda
4.77026408542893,51.5919846574288,142,44D0843,2.829,trafo  nieuwe prinsenkade,+0011,+0031,Gemeente Breda
4.77053394217029,51.5976130624541,143,44D0844,2.618,minister  kanstraat  2,-0031,+0013,Gemeente Breda
4.82047461870651,51.5939106405757,144,44D0850,5.181,huis  tilburgseweg    231,-0011,,Gemeente Breda
4.81299792102182,51.5996988908049,145,44D0851,4.342,huis  oosterhoutseweg  4,0176,+0053,Gemeente Breda
4.77833299274129,51.5896898574976,146,44D0852,3.519,catharinastraat  ingang  begijnhof,+0047,+0030,Gemeente Breda
4.75219271957085,51.6118340725068,147,44D0854,0.725,duiker  schapenpad   nabij  donkpad,-0028,-0017,Gemeente Breda
4.74476034837265,51.6126474319,148,44D0855,1.559,trafo   witmoeren,-0020,+0019,Gemeente Breda
4.74136476969115,51.6097972663882,149,44D0856,1.626,schuur  de  regenboog  a/d  raaimoeren,+0050,+0027,Gemeente Breda
4.75916881366697,51.6178852197828,150,44D0858,2.707,boerderij  achter  emer,-01.09,+0007,Gemeente Breda
4.7455935211354,51.6037620845818,151,44D0859,2.249,duiker  nabij  eversdonk  20,-0011,-0048,Gemeente Breda
4.73815875666875,51.604826694106,152,44D0860,1.995,basisschool  hoogakkker  a/d  wandelakker,+0020,+0013,Gemeente Breda
4.75706314094386,51.5709433620073,153,50B0840,2.554,N.O. peiler viaduct Zuidelijke Rondweg Aa of Weerijs,+0029,-0162,Gemeente Breda
4.77943996117426,51.5695247407354,154,50B0841,2.144,burgemeester pastoorstraat  trafo,-0022,+0002,Gemeente Breda
4.79547765019423,51.5873688657703,155,50B0842,2.935,NO gedeelte van brug Claudius Prinsenlaan,0020,-0020,Gemeente Breda
4.8207258286738,51.5703163305479,156,50B0843,6.365,energiehuis Wolfslaar Noord ,0006,0020,Gemeente Breda
4.7747027690381,51.5838821151116,157,50B0844,3.329,School Markendaalseweg 75,-0045,0035,Gemeente Breda
4.82845668077199,51.5832524172664,158,50B0845,4.44,"brug Abott, Minervum",+00575,+0029,Gemeente Breda
4.7842917128289,51.5669520946278,159,50B0846,3.948,huis Duivelsbruglaan 14,-00601,+0048,Gemeente Breda
4.74445706619817,51.4964469136625,160,50B0847,6.484,Hazeldonk nummer 6471,0016,0015,Gemeente Breda
4.74562062222182,51.4915453880843,161,50B0848,6.739,Hazeldonk nummer 6252 in Poer bij deur,0017,0015,Gemeente Breda
4.84444568202049,51.5649456689117,162,50B0849,7.182,garage eikbergseweg 7,-0017,0025,Gemeente Breda
4.81610756568057,51.5613410242439,163,50B0850,6.299,Huis Klein Wolfslaar 14 B,0030,0026,Gemeente Breda
4.79952071409966,51.5626341104892,164,50B0851,5.008,Boerderij Wolfslaardreef 51,-0451,0052,Gemeente Breda
4.77698810662577,51.5780962842084,165,50B0852,3.237,Baronielaan 20,-0055,0032,Gemeente Breda
