Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Expo Display Service;;;;;;;;1;1
ExpoStoreOnline;;;;;;;1;;1
Extra;;;;;;;1;;1
ezCompany B.V.;;;;;;;;2;2
F&B V.O.F.;;;;;;;1;;1
Facilion B.V.;;;1;;;;;;1
Familyvoices;;;;;;;1;;1
File2share B.V.;1;;2;2;1;;;;2
FilmService B.V.;;;;;;;1;;1
Finalist IT Group B.V.;;;2;;;;;;2
Finnegan's Apeldoorn B.V.;;;;;1;;;;1
firMM information/service design B.V.;;;;;;;1;;1
FirstService;;;;;;;1;;1
Florijn Consultancy;;;1;;;;;;1
Flowlogics;;;;;;;;3;3
For Conference B.V.;;;;;;2;;1;2
Formzet B.V.;;;;;;;1;;1
Forrester Research B.V.;;;;;3;;;;3
Forsite Media;;;1;;;;;;1
Fortune Factory B.V.;;;;;;;1;;1
Fotogeniek;;;;;;;1;;1
Fox-IT B.V.;3;;2;;;;;;4
Franke Interim Management B.V.;;;;;;;;1;1
Fujitsu Technology Solutions B.V.;1;1;6;;1;;;6;7
Future Produkties;;;;;;;1;;1
Futurecheck;;;;;;;1;;1
Futureproof Document Solutions;;;;;2;;;;2
Gartner Nederland B.V.;;;;;2;;;2;3
Gazmedia;;;2;;;;;;2
GBBO;;;;;;;1;;1
gefeliciTAART B.V.;;;;;;;;1;1
Gemnet B.V.;;;;;;4;;;4
Gemoro B.V.;;;2;;;;;;2
Genesys Webdesign;;;;4;4;;;;5
Geodan B.V.;;;1;;;;;;1
Geschenkbezorgen.nl B.V.;;;;;;;;1;1
Getronics Nederland B.V.;;;2;2;;;;;2
Gobo Image;;;;;;;1;;1
Goodstore Netherlands B.V.;;;;;;;;1;1
Grafisch Buro van Erkelens B.V.;;;1;;;;2;;2
Grapefish;;;;;;;1;;1
GraphiX Visions B.V.;;;;;;;1;;1
Green Valley;;;;;;2;;;2
Greengiving;;;;;;;;1;1
Greenonline B.V.;;;;;;;1;;1
GXS B.V.;;;;;7;;;;7
H.T.A. Systems B.V.;;;;2;;;;;2
Hartman en Jacq Fotografen;;;;;;;1;;1
Hatchfund.nl;;;2;;;;;;2
Havana Orange B.V.;;;;;;;2;;2
Hay Group B.V.;;1;;;;;;;1
HeadFirst B.V.;;;;;;;;1;1
HEC B.V.;2;;;;;;;3;4
Hecla Professional Audio & Video Systems;;;1;;;;;;1
Hega Offset B.V.;;;;;;;1;;1
Helder Hosting B.V.;;;1;;;;;;1
Henriëtte Prast;;;;;;;1;;1
Het Vertaalcollectief;;;;;;;1;;1
Heuvelman Sound & Vision B.V.;;6;5;;;;;;6
Hewlett-Packard Nederland B.V.;;;4;;;;;;4
Hoezee B.V.;;;;;;;;1;1
Holland Service Koeriers C.V.;;;;;;;;1;1
Hollandse Hoogte B.V.;;;1;;;;1;;1
Hollandse Telecommunicatie Maatschappij;;;;;;;1;;1
HSK Interventie B.V.;;;;;;;1;;1
Huiswerk;;;;;;;2;;2
Hulskamp Audiovisueel Den Haag;;3;;;;;;;3
IBM Nederland B.V.;;;;;7;;;;7
ICTroom Company B.V.;;;1;;;;;;1
ID Ware International B.V.;;;;;4;2;1;7;7
Imago B.V.;;;2;;;;;;2
In2Content B.V.;;;;;;;;1;1
in60seconds;;;;;;;2;;2
Indocs;;;;2;;;;;2
Infoprojects;;;2;;;;;;2
Information Builders (Benelux) B.V.;;;2;;;;;;2
ING Bank N.V.;;;1;;;;;;1
InnoValor B.V.;;;;;;;;2;2
Innovero Software Solutions B.V.;;;2;;;;;;2
InsightsWorld B.V.;;;;;2;;;;2
Inspring Media B.V.;;;1;;;;;;1
Intelectric Network Solutions (INS) B.V.;;;;;;;1;;1
Inter Access B.V.;;;;;;;;4;4
Intermax Hosting B.V.;;;;;2;1;;;2
Interned Services;;;2;;1;;;;2
internetpeople.nl;;;1;;;;;;1
Involon B.V.;;;;1;;;;;1
IOVIO BPT B.V.;;;;;;;;2;2
Iris-International;;;1;;;;;;1
IT Management Group;1;;;;;;;;1
Itera B.V.;;;;;1;;;;1
IT-Staffing Nederland B.V.;;;4;;1;;;4;4
IVU Traffic Technologies Benelux B.V.;;;4;;;;;;4
iWelcome B.V.;;;;;2;;;;2
Jaarbeurs B.V.;;;;;;;;1;1
Joules Unlimited B.V.;;;1;;;;;;1
Jumble;;1;;;;;1;;1
Kaliber Interactive B.V.;;;;;;;;7;7
Kapitein Koen;;;;;;;2;;2
KBenP;;;3;;;;;;3
Kijkerd Producties;;;;;;;1;;1
Klarna B.V.;;;;;;;;1;1
Koning & Hartman B.V.;;;1;;;;;;1
Koninklijke Kampert en Helm Rotaform B.V.;;;;;;;;5;5
KPMG Advisory N.V.;;;;;;;;4;4
KPMG N.V.;;;2;;;;;;2
KPN B.V.;5;;3;;1;1;3;;6
KPN BV;;;4;2;1;1;7;;7
KPN Corporate Market;;;;2;7;4;;4;7
KPN Corporate Market B.V.;;;;;;;2;;2
KPN Groningen rek. 4697801;;;;;;;1;;1
KPN Lokale Overheid (Gemnet B.V.);;;1;;2;;1;;2
KPN Telecommerce B.V.;;;;;;1;1;;1
KPN Winkel;;;;;;1;;;1
KSMT;;;2;;;;;;2
Launch Group;;;;;;;;2;2
Leene Communicatie;;;;;;;3;;3
Lexmark International B.V.;;;;1;;;;;1
LimoenGroen B.V.;;;;;;;;1;1
Ljs Automatisering B.V.;;1;;;;;;;1
Lof Media B.V.;;;;;;;1;;1
Login B.V.;;;1;;;;;;1
LPBL B.V.;;;;;;;2;;2
Luna.nl B.V.;;;1;;;;;;1
Lyreco Nederland B.V.;;1;1;;;;;;1
Maarten Balyon Grafische Vormgeving;;;;;;;2;;2
MacTwo;;1;1;;;;;;1
Mahieu Web Development B.V.;;;1;;;;;;1
Management Centrum Partners B.V.;;;;;;;;6;6
Mangrove B.V.;;;;;;;;2;2
Manpower Solutions B.V.;;;;;;;1;;1
Manutan B.V.;;1;1;;;;;;1
Markus Design;;;;;;;1;;1
Marosel B.V.;;;;1;;;;2;2
Maters & Hermsen Journalistiek B.V.;;;;;;;4;;4
Mavim B.V.;2;;;;1;;;;2
Maxd'Oro B.V.;;;;;;;;2;2
Maxmind B.V.;;;;;1;;;;1
MCW Studio's B.V.;;;;;;;2;;2
Media Markt Rijswijk B.V.;;;;;;1;;;1
Metri B.V.;3;;;;;;;;3
Mies/Tekst en Training;;;;;;;2;;2
Mihosnet;;;;;1;;;;1
mijndomein.nl B.V.;;;;1;;;;;1
Milvum;;;2;;;;;;2
Minkels B.V.;;2;;;;;;;2
Misco Nederland B.V.;;;;;;1;;;1
Misco Solutions B.V.;2;8;5;;4;1;1;;8
MMM Interactieve Communicatie;;;;;1;1;;;1
Mogador Productions;;;;;;;1;;1
Mproof Beheer B.V.;;;;;2;;;;2
MSI Communication B.V.;;;;;;;;1;1
Multor Media B.V.;;;;;;;1;;1
myBrand;;2;;;;;;;2
MyCom Apeldoorn;;1;;;;;;;1
MyCom Nederland B.V.;;;;;;;;1;1
N3WSTRATEGY;;;2;;;;;;2
Nationale Beeldbank B.V.;;;;;;;1;;1
NCC Group Escrow Europe B.V.;;;;1;;;;;1
NCCW B.V.;;;;3;;;;;3
NEC Nederland B.V.;;;;;2;;;;2
Nederland ICT;;;;;;2;;;2
Nemesys;;;;;;;;1;1
Netcreators B.V.;;;;;1;2;1;2;3
Nétive VMS B.V.;;;;;5;;;;5
NetQuestionnaires Nederland B.V.;;;;;1;;;;1
Network Operations;;;1;;;;;;1
Networking4all B.V.;;;;1;2;;;;2
New Babylon Meeting Center B.V.;;;;;;;;2;2
New Nexus B.V.;;;;;;;;1;1
Newitera B.V.;;;;1;;;;;1
NH Den Haag;;;;;;;;2;2
Nieman Groep B.V.;;;;;;;1;;1
Noise B.V.;;;3;;;;1;;3
Norisk Keymanagement B.V.;;1;1;;;;;;1
Nota Bene B.V.;;;;;1;;;;1
NowOnline.nl;;;2;;;;;;2
NRC Media Holding B.V.;;;;;;;1;;1
NSD International NL B.V.;;1;;;;;;;1
NubiloSoft B.V.;;;;2;;;;;2
O2 Communicatieadviesbureau B.V.;;;;;;;1;;1
Odyssee;;;;1;;;;;1
OGD ICT-Diensten;;;;;;;;4;4
One Shoe B.V.;;;;;;1;;;1
Onesto Automatisering;;;1;;;;;;1
OpenDoc Society;;;;;;;;2;2
Openindex B.V.;;;1;;;;;;1
Optima Forma B.V.;;;;;;;2;;2
OR.nl Internetdiensten B.V.;;;;;;1;;;1
Oracle Nederland;1;;;7;7;;;;7
Orcavoice B.V.;;;;;;;1;;1
Ordina N.V.;;;;;7;;;6;7
Ordina Nederland B.V.;;;;1;;;;;1
Ordina Technologie & Competenties B.V.;;;;;7;;;4;7
Oribi Software B.V.;;;;;2;;;;2
OSAGE communicatie en ontwerp;;;;;;;1;;1
Ostman International B.V.;;;;;;1;;;1
Otys International B.V.;;;;;2;;;;2
PACT Public Affairs B.V.;;;;;;;1;;1
Panteia B.V.;;;;;;;1;3;3
Paralax B.V.;;;;;3;1;;1;3
Pardon Consult;;;1;;;;;1;1
Pardon Consult B.V.;;;;;1;;;;1
PBLQ HEC;;;;;;;;1;1
PCextreme B.V.;;;1;;;;;;1
PersonnelView;;;;;1;;;;1
Pianohandel Mos en Spetter;;;1;;;;;;1
Pine Digital Security;;;1;;;;;;1
Pink Elephant;;;;;3;;;1;3
PinkRoccade Local Government;;;;1;;;;;1
Plan- en Adviesburo Snijder;;;;;;;1;;1
Planon B.V.;;;;;5;;;;5
Plusport B.V.;;;;1;;;;;1
Poortvliet Fotografie V.O.F.;;;;;;;1;;1
Postcode.NL B.V.;;;;1;;;;;1
PQR B.V.;;7;6;;4;6;;3;8
Pricewaterhousecoopers Advisory N.V.;1;;2;;;;;;2
Pricewaterhousecoopers N.V.;;;;;;;;4;4
PricewaterhouseCoopers Services B.V.;;;;;;;1;;1
PRiMAN Talent Management;;;;;1;;;;1
Prime Contact B.V.;;;;;2;;;2;2
Primera Van der Zwaan;;;;;;;1;;1
Prindustry B.V.;;;;;1;;;;1
Process Express B.V.;;;;;;;;1;1
Procura;;;;;;;1;;1
Protinus IT B.V.;1;8;6;7;5;3;2;4;8
Provarix B.V.;;;1;;;;;;1
Public Cinema;;;;;;;1;;1
Public Creation;;;;;;;3;;3
Publiek Denken;;;;;;;1;;1
Q Delft B.V.;;;2;;2;;;;2
Qi ict;;;;;;3;;;3
QS Solutions;;;1;;;;;;1
QS solutions B.V.;;;1;;;;;;1
Quality Support B.V.;;;;;;;;1;1
QuoVadis Trustlink B.V.;;;;1;2;1;;2;3
Raatwerk B.V.;;;1;;;;;;1
Radio Royaal B.V.;;;;;;;;1;1
RBit Informatica B.V.;;;2;;;;;;2
ReadSpeaker B.V.;;;;;1;;;;1
Rebel Energy B.V.;;;2;;;;;;2
Rebelgroup B.V.;;;1;;;;1;;2
Redrum Bureau B.V.;;;;;;;;2;2
Regardz Meeting Center Eenhoorn Amersfoort;;;;;;;;1;1
Regas IP B.V.;;;;;5;;;;5
Regus;;;;;;;;1;1
Retriever Media Informatie B.V.;;;;;1;;;;1
Ricoh Nederland B.V.;;;4;;;;;;4
Ricu Productions;;;;;;;2;;2
Rikkers Infographics;;;;;;;1;1;1
ROC van Twente;;;;;;;;2;2
ROM B.V.;;;;;;;2;;2
RTV NH;;;;;;;1;;1
Sabel Communicatie B.V.;;;;;;;4;1;4
SAIT B.V.;;;;;;;4;;4
SAP Nederland B.V.;;;;5;7;;;;7
Scan Sys B.V.;;;;;1;;;;1
Scholten Awater B.V.;;7;5;6;7;;;3;8
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;1;;;;;;1
SCOPE marketing technology B.V.;;;;;1;;;;1
Sdu Uitgevers B.V.;;;7;2;;;6;;7
Seats2Meet.com Utrecht B.V.;;;;;;;;1;1
SEEBURGER Benelux;;;;;2;;;;2
SHL Nederland B.V.;;;;;3;;;;3
Sign Display Store Europe B.V.;;;;;;;;1;1
Signet;;;;;;;1;;1
Simac Document Solutions B.V.;;;;2;;;;;2
Sira Consulting B.V.;;;;;2;;;;2
Slem;;;;;;;2;;2
Software AG Nederland B.V.;;;;;1;;;;1
Sogeti Nederland B.V.;;;;2;4;;;7;7
SolidWare Consultancy B.V.;;;;;;;;1;1
Soundfocus;;;;;;;1;;1
Spaces Rode Olifant B.V.;;;;;;;;1;1
SPITZ congres & event B.V.;;;;;;;1;;1
Square Information Solutions B.V.;;;1;;;;;;1
SRC Secure Solutions B.V.;;;1;;;;;;1
Stabiplan B.V.;;;;;2;;;;2
Stad Phone;;1;;;;;1;;1
Star Project;;;;;;;1;;1
Start People B.V.;;;;;;;;1;1
STB Automatisering & Advies B.V.;;;2;;;;;;2
Stedin Meetbedrijf B.V.;;;1;1;;;;;1
Stedin Netbeheer B.V.;;;2;;;;;;2
Stemmenbank.nl;;;;;;;1;;1
Stg. Crow, kennisplatf. infrastruct., verkeer;2;;;;;;;;2
Stg. Standaardbestek Burg.- en Utiliteitsbouw;;;2;2;;;;;2
Sticht. Internet Domeinregistratie Nederland;;;;;1;1;;;1
Stichting Beheer Derdengelden X Pact;;;;;;;1;;1
Stichting Circularity Center;;;;;;;1;;1
Stichting De Ooievaart;;;;;;;;1;1
Stichting Economisch Instituut voor de Bouw;;;;;;;1;;1
Stichting Geonovum;;;;;;;;2;2
stichting government roaming nederland;;;;;;2;;;2
Stichting KdK Conferentiehotel;;;;;;;;1;1
Stichting Nlnet;;;;;;;;2;2
Stichting SOLOS;;;;;;;1;;1
Stichting Stimular;;;2;;;;;;2
Stijlbende;;;;;;;1;;1
Stipte B.V.;;;;;1;;;;1
Stream;;;1;;;;;;1
Stroomt interactions B.V.;;;;;;;;1;1
Studio Noord;;;;;;;1;;1
Studio Prototypes;;;;;;;1;;1
Studio Red187;;;1;;;;;;1
Sumatra Software B.V.;;;;;1;;;;1
Swis B.V.;;;2;;;;;;2
Sysqa B.V.;;;;;;;;2;2
Systeemhuis Compri B.V.;;;;;1;;;;1
T&T Compet&t.b.v.;;;1;;2;1;;;2
Taalsmid;;;;;;;1;;1
Tangram B.V.;;;2;;;;;;2
Tappan Communicatie B.V.;;;;;;;;2;2
TC&O Management voor Mobiliteit B.V.;;;;;1;;;;1
Technosoft B.V.;;;;;1;;;;1
Tele2 Nederland B.V.;;;;;2;;5;;6
Telecom Service Leek B.V.;;1;;;;;;;1
Telegrootgebruik B.V.;1;;;;;;2;;2
Telfort Zakelijk B.V.;;;;;;;1;;1
Telindus-ISIT B.V.;;8;5;4;3;5;1;4;8
Textinfo B.V.;;;;5;;;;;5
Textkernel B.V.;;;;;2;;;;2
The Key Agency;;;;;;;1;;1
Things To Make And Do;;;1;;;;2;;2
Thornstein Groep B.V.;;;;;;;;2;2
THT Elektrotechniek B.V.;;;;;;1;;;1
TimeTell B.V.;;;;;1;;;;1
T-Mobile Netherlands;;;;;;1;;;1
TNO B.V.;;;;;;;;1;1
Tolio B.V.;;;;;2;;;;2
Topbloemen Nederland B.V.;;;;;;;;1;1
TOPdesk Nederland B.V.;;;;;1;;;;1
Total Pre Press B.V.;;;;;;;1;;1
Traject IT Cable Management B.V.;;1;;;;;;;1
TREND FORWARD events & more;;;;;;;;2;2
Trends Telematics Rotterdam B.V.;;;;;;1;;;1
Trimension B.V.;;;1;;;;;;1
TT Film;;;;;;;1;;1
Two Kings B.V.;;;1;;;;;;1
U&I Learning Nederland B.V.;;;;1;;;;;1
Ultimo;;;;1;;;;;1
Upsidedown Design;;;;;;;;2;2
Uptrends B.V.;;;;;1;;;;1
Urbanethics;;;1;;;;;;1
VABI Software B.V.;;;;;;1;;;1
Vakmedianet Management B.V.;;;;;;;1;;1
Valerie Kuypers Fotografie;;;;;;;1;;1
Van Buttingha Wichers Notarissen;;;;3;;;;;3
VAN DORP installaties Heerenveen;;;;;;1;;;1
Van Nelle Ontwerpfabriek Exploitatie B.V.;;;;;;;;2;2
VBdesignit;;;1;;;;;;1
VCD CSS;;;;;1;;;;1
VCK Travel B.V.;;;;;;;;3;3
Ver. v. Autom. i.d. Bouw- en Install.techn.;;;;2;;;;;2
Veranderen met Ruimte;;;;;;;1;;1
Verdonck, Klooster & Associates B.V.;;;2;;;;;5;5
Verheul Communicatie B.V.;;;1;;;;;;1
Verizon Nederland B.V.;;;;;;;4;;4
Vertaalbureau Perfect B.V.;;;;;;;;1;1
vertalen.nl;;;;;;;;1;1
Video Schaay B.V.;;1;;;;;;;1
Vierkante Meter;;;;;;;;1;1
VIP Online;;;1;;;;;;1
Virtu Secure Webservices B.V.;;;;;5;7;;9;9
VisualizeMe B.V.;;;1;;;;;;1
Vitasys B.V.;;2;1;;;;;;2
VKF Renzel B.V.;;;;;;;1;;1
Vodafone;;;;;;;5;;5
Vodafone Libertel B.V.;;;;;;1;7;2;7
Volker Wessels Telecom Infra B.V.;;;;;;2;;;2
Vorm Vijf Ontwerpteam B.V.;;;;;;;;1;1
Vos Olie & Gas B.V.;;2;;;;;;;2
WAREMA Nederland B.V.;;;;;;;;2;2
WE CANTEEN B.V.;;;;;;;;1;1
Webelect;;;;;;;;1;1
WebEx Communications B.V.;;;;;;;1;;1
Webhelp Nederland B.V.;;;;;;2;;7;7
Webscale B.V.;;;;;;;;2;2
Webservices.nl B.V.;;;;;1;;;;1
Westbury Software;;;;;2;;;;2
Westers Architectuur en Stedenbouw B.V.;;;2;;;;;;2
Worldvisuals Film;;;1;;;;;;1
Worth IT Webdevelopment B.V.;;;2;;;;;;2
WWplus B.V.;;;3;;;;;;3
Xerox (Nederland) B.V.;1;;5;;3;;2;2;5
Xolphin B.V.;;;;;;1;;;1
Xperteam Networking B.V.;;2;1;;;;;;2
XS4ALL Internet B.V.;;;;;1;1;1;;1
Yacht;;;;;;;;2;2
Yourhosting Business B.V.;;;1;;;;;;1
Yume;;;2;;;;2;;3
Yune B.V.;;;;;;;1;;1
Zaalverhuur7;;;;;;;;1;1
Zalsman B.V.;;;;;;;3;;3
Zapaday B.V.;;;;;;;1;;1
Ziaja&Dorst;;;;;;;;1;1
Ziggo B.V.;;;;;1;;3;;3
Ziggo Services BV;;;;;;;1;;1
Ziggo Zakelijk Services B.V.;1;;;;;;;;1
Zwaar Contrast;;;;;;;;1;1
Zylon;;;1;;;;;;1
Eindtotaal;8;10;9;9;11;8;9;10;13
