OBJECTID,KDUVORM,KDUHGA1,KDUBOKBO,KDUBOKBE,KDULENGT,KDUBREED,XXXMATER,KDUSOORT,KWKAFSL1,KWKDATUM,KWKOPME,KWKPLAAN,OSMOMSCH,KWKAFSL2,IWS_MEMO,KWKNAAM,IWS_LEGGERSTATUS,IWS_OH_RENOVATIEJAAR,KDUIDENT,IWS_WATERBEHEERFUNCTIE,KERIDENT,IWS_AFST_B,KDUMOEBE,KDUMOEBO,KWKKEREN,OBJECTID_1,KDUIDENT_1,ONDERHOUDSPLICHTIGE_1,ONDERHOUDSVERPLICHTING_1,ONDERHOUDSPLICHTIGE_2,ONDERHOUDSVERPLICHTING_2,GlobalID,Shape__Length
11,1,,3.04,3.06,6.15,0.7,11,,,,,,,,,,,,OV.80.4-D7A,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,c0e2aa3f-7a75-45c1-b454-d5dce58a7d50,6.14619134165144
12,1,,2.79,2.67,68.9,0.7,3,2,,,Voor huispercelen Rijksweg 13 tot en met 16,Rijksweg Uffelte provincie Drenthe,,,,,,,D749784,,,,,,,,,Provincie,Onderhoud hoofdconstructie,Waterschap,Onderhoud doorstroomprofiel duiker,7e25b3b5-207d-4bad-895e-ebd251a6d007,69.9741331515661
13,1,,,,9.7,0.5,98,,,,,,,,,,,,SZ.255.54-D1,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,fe004fb2-19d0-4053-8fb6-c0abccabab8a,9.69840855853609
14,1,,,,6,0.8,3,,,,,,,,,,,,SZ.360-D3,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,0e2cda66-dfd0-47a3-a25c-dd51ea5e87ba,5.9974515422205
15,1,,1.91,0,7.2,0.4,3,,,,,,,,,,,,SZ.270.102-D12,,,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,434f43e7-27cb-4fb4-9bcf-045e237f756b,6.09584989552513
16,1,,1.88,1.9,8,0.6,21,,,,,,,,,,,,SZ.270.104-D4,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,7e1ec2ea-dab2-4d67-916f-7c6c2071e4a1,8.00024516417311
17,1,,,,6,0.4,3,,,,,,,,,,,,SZ.270.102-D1,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,3c64457b-ece9-439f-a7f7-80e288580a0f,5.99838713118306
18,1,,,,6,0.5,3,,,,,,,,,,,,SZ.270.102-D6,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,788a7686-79bb-4f0d-9aac-89f6b4e5ce64,5.9975235242835
19,1,,0.36,0.19,7.44,0.3,20,1,,,,,,,,,,,D759090,,,,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,a90c5feb-dfb9-4d47-acc3-a25079f34b9f,7.4414428227534
20,1,,0.22,0.21,7.43,0.3,20,1,,,,,,,,,,,D759091,,,,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,c820e631-a560-479e-aadc-e5d16e215c6f,7.43544843722953
21,1,,0.23,0.21,7.45,0.3,20,1,,,,,,,,,,,D759092,,,,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,d0d2961c-5da4-4138-ab03-37c2bbf664ff,7.45356342035392
22,1,,,,6,0.5,3,,,,,,,,,,,,SZ.270.102-D13,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,68eb89de-40a0-4fb2-9dc9-00082683c118,5.99644311182164
23,1,,,,5,0.5,3,,,,,,,,,,,,SZ.270.102-D15,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,e499977b-beac-48e2-904b-4b3f18a83db0,4.99704172494785
24,1,,-1.26,-1.26,5.7,0.8,3,,,,,,Dam met duiker,,,,,,D1637,,,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,cd7cc6dd-c47f-46b8-b7f5-6ebafc847a4d,12.3001003181801
25,1,,1,0.98,7.85,0.45,20,,,,,,,,,,,,SZ.270.74-D8,,,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,0d9f5bbf-5a30-4d4e-9eae-ed80183241ba,7.84742556345973
26,1,,-1.57,-1.47,27,0.3,20,2,,,,,Weg met duiker,,,,,,D750414,,,,,,,,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),be194947-f427-49e1-89a0-53dc536378bb,27.0032592199375
27,1,,-1.65,-1.7,10.35,0.5,13,4,,2022,,,Dam met duiker,,,,,,D750415,,,,,,,,,Aangeland,Geheel onderhoud,,,1e0d8580-af15-4800-9b30-d6bcb542b653,10.347683342311
28,2,1.01,0.58,0.58,12,1.6,3,,,,,Leemculeweg,,,,,,,SZ.270-D3,,,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,2c9c9c88-c58b-44c3-8e0d-d976621bd1b0,11.9971484976515
29,1,,1.7,1.7,7.2,0.5,3,,,,Plan Stouwe,,,,,,,,SZ.375.2-D3,,,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,ce59bbc9-9da3-4b19-aab9-88bdf5d2cd6e,7.19653785008229
30,1,,-0.77,-1.76,24.08,0.6,6,2,,2021,,,Weg met duiker,5,,,,,D750732,,,2,,,,,,Waterschap,Geheel onderhoud,,,15658050-c836-46ba-9df9-894380d6f9a6,24.0834825403837
31,1,,,,11.5,0.4,3,,,,,,,,,,,,SZ.375-D10,,,2,,,2,,,Aangeland met vergunning,Gewoon en buitengewoon en constructie,,,fb5590be-a5ba-4253-a2af-5994742862c2,11.498227385275
32,1,,,,7,0.5,3,,,,,,,,,,,,SZ.375-D11,,,2,,,2,,,Aangeland met vergunning,Gewoon en buitengewoon en constructie,,,0f456cfe-a467-4190-8185-63d91e1fdc6d,7.00081819514103
33,1,,,,6,0.4,3,,,,,,,,,,,,SZ.375-D12,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,d5ff412d-3596-4df4-b319-79ca6e378adf,5.99757617744952
34,2,0.9,-0.47,-0.47,9,3,3,2,,,,De Auken,Weg met duiker,,,,,,D1946,,,2,,,2,,,Waterschap,Onderhoud doorstroomprofiel duiker,Gemeente,Onderhoud hoofdconstructie,fb26a494-1687-4dac-8864-1fc21bac23d1,8.97034446320462
35,1,,1.66,1.66,7.2,0.5,3,,,,Plan Stouwe,,,,,,,,SZ.375-D6,,,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,c2610ef0-886e-4f1c-83bf-5e2539f64217,7.19815483218509
36,1,,,,8,0.8,3,,,,,,,,,,,,SZ.375-D2,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,6be0396b-9436-4859-8a84-32d78ee04ceb,7.99559928857654
37,1,,-0.77,-1.76,23.93,0.6,6,2,,2021,,,,5,,,,,D750733,,,2,,,,,,Waterschap,Geheel onderhoud,,,478bb0a6-87cc-46ea-b904-6d47cfcab294,23.9327595744563
38,2,1.6,-2.68,-2.66,10.23,1.75,3,4,,2022,,,Dam met duiker,,,,,,D750734,,,,,,,,,Houder vergunning,Geheel onderhoud,,,296d2a30-b3c0-4c32-88a5-1e3f34679acb,10.2253470086801
39,2,1.5,-2.49,-2.82,5.08,1.5,3,4,,2022,,,Dam met duiker,,,,,,D750735,,,,,,,,,Houder vergunning,Geheel onderhoud,,,2ee927f2-e316-4d09-b4bd-13fd7e0b0559,5.08348617387976
40,1,,,,4,0.4,3,,,,,,,,,,,,OV.110-D128,,,2,,,2,,,Onbekend,Gewoon en buitengewoon en constructie,,,f22f6071-1997-4e05-977b-b01e7ceb313a,3.99849020231016
41,1,,-4.08,-0.08,15.75,0.81,21,4,,,,,aanzuigleiding gemaal,,,,,,D751692,,,,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,3f0c7f8a-e0f0-40d4-8a80-7b42421408f3,13.270462242823
42,1,,-4.08,-0.08,15.75,,21,4,,,,,aanzuigleiding gemaal,,,,,,D751693,,,,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,92aeb48f-0b45-44a7-82f2-f21577052907,12.9977961205339
43,1,,-1.74,-1.82,62.75,0.6,3,2,,,,,Weg met duiker,,,,,,D751695,,,,,,,,,Waterschap,Onderhoud doorstroomprofiel duiker,Gemeente,Onderhoud van de gehele dam (grondlichaam),5196b4c3-96ce-43f1-90c2-63527cb15b5d,62.7463619206456
44,1,,1.39,1.36,12.61,0.5,3,4,,2022,,,Dam met duiker,,,,,,D750736,,,,,,,,,Houder vergunning,Geheel onderhoud,,,35bcad22-af20-45fb-819c-485a1d3dc91b,12.6121544277035
45,1,,-0.43,-0.49,9.5,0.5,3,,,,,,,,,,,,D751696,,,,,,,,,Aangeland,Gewoon en buitengewoon en constructie,,,639af474-11e5-43e6-958a-0864f2d3b126,9.88039579183381
46,1,,2.31,2.59,8.3,0.63,20,,,,,,,,,,,,D752011,,,,,,,,,Waterschap,Geheel onderhoud,,,48255b36-515f-4245-8538-8134846920f2,8.92365194649271
47,1,,0.31,0.29,23.37,0.8,3,,,2021,,,,,,,,,D752027,,,,,,,,,Aangeland,Gewoon en buitengewoon en constructie,,,40ce098a-df56-4287-b683-679dca0ec8e1,25.6510155949209
48,1,,1,1.03,9,0.5,3,,,,,,,,,,,,SZ.375-D602,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,ff8c58cb-f2f6-44fc-a3ff-511c735e6bdb,9.00886919198795
49,1,,0.29,0.27,25.63,0.8,3,,,2021,,,,,,,,,D752028,,,,,,,,,Aangeland,Gewoon en buitengewoon en constructie,,,b1962dd6-186b-4a5c-9674-5fa7de3f170b,23.1306370826174
50,1,,1.91,1.89,,7,3,2,,,,,,,,,,,D752332,,,,,,2,,,Waterschap,Schoonhouden vaarprofiel,Provincie,Gewoon en buitengewoon en constructie,f92ac07c-dfee-456b-873b-e1fd5b41a238,5.29846282405413
51,1,,13,13,2.38,0.5,13,,,2021,,,,5,,,,,D751691,,,2,,,,,,Waterschap,Geheel onderhoud,,,cf4c359e-994a-4dbb-be04-402d0bd8c209,2.37596894282249
52,1,,1.06,1.04,8,0.6,31,,,,,,,,,,,,DV.30.262-D184,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,75731a54-613f-42cb-85bf-c40daf018231,8.0337214906324
53,1,,-0.07,-0.17,8.4,0.8,21,,,,,,,,,,,,SZ.270.36-D601,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,aac34df1-8f4f-4778-bb71-f8d2036e3c3c,8.39631847890298
54,1,,1.01,0.89,7.1,0.5,31,,,,,,,,,,,,SZ.340-D603,,,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,c6a37598-ff87-4397-a5aa-5f7289d6241c,7.09805416860127
55,1,,0.67,0.72,4.4,0.6,3,,,,,,,,,,,,SZ.340-D604,,,2,,,2,,,Onbekend,Onbekend,,,2a48d318-7db8-4dd8-bdd0-1470f7793ea8,4.39572073800711
56,1,,0.18,0.06,8.3,0.45,20,,,,,,,,,,,,SZ.270.24-D605,,,2,,,2,,,Onbekend,Onbekend,,,e16eb830-785b-4410-8ccb-c7d1db41bf69,8.29513963150107
57,1,,1.55,1.55,12,0.4,20,,,,,,,,,,,,DV.30.186-D207,,,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,61d404c8-df46-4f67-a2a1-3e8980dcd85a,12.0399240953393
58,1,,1.8,1.8,7.3,0.5,3,,,,,,,,,,,,DV.30.296-D210,,,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,a64fd38e-3f63-4cba-a47e-cbb0908d0486,7.26416375414987
59,1,,1.2,1.25,8.3,0.5,31,,,,,,,,,,,,DV.30.262-D183,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,3f7abfd9-1d5e-4cc9-8e85-74aadf086be4,8.30866204575916
60,1,,0.83,0.84,9,1,3,,,,,,,,,,,,SZ.370-D4,,,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,e9a0d718-8261-4dc3-a661-71f58a8f770a,8.99675719602911
61,1,,1.53,1.53,9.6,0.5,3,,,,Plan Stouwe,,,,,,,,SZ.270.44-D1097,,,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,d81f2593-6dd9-4464-bdd8-32723fc0bb5c,9.57166968526678
62,1,,1.52,1.52,9.6,0.5,3,,,,Plan Stouwe,,,,,,,,SZ.270.44-D1101,,,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,2663e4e4-4da6-44b2-ad60-4cd7263a5b0e,9.59605507223503
63,1,,1.88,1.84,30,0.8,3,,,,,,,,,,,,SZ.270.44-D1102,,,2,,,2,,,Waterschap,Gewoon en buitengewoon,Aangeland,Gewoon en buitengewoon en constructie,cf871172-fc5b-4abe-ad95-c5735b6b3384,29.9752906895562
64,1,,1.29,1.29,8,0.8,3,,,,,,,,,,,,SW.65.40-D368,,,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,3666c1b1-8206-436d-b4f6-4879660511ab,8.19451829157984
65,1,,4.23,4.23,97.71,0.4,20,4,,,,,Dam met duiker,,,,,,AS.35.12-D362,,,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,ba475b11-43e8-4ce7-8aa2-fa661eb01b1b,92.1133909091226
66,,,,,6.9,,,,,,,,,,,,,,DV.30.320-D926,,,2,,,2,,,Waterschap,Gewoon en buitengewoon,Aangeland,Onderhoud hoofdconstructie,b4d8199d-188b-4559-b3a9-f3e773b29a71,6.87090762647637
67,,,,,8.2,,,,,,,,,,,,,,DV.30.262-D927,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,0397f35b-7963-440c-9ecc-f91be8ab99f8,8.14887953247382
68,1,,2.54,2.45,6.27,0.3,20,4,,,,,Dam met duiker,,,,,,DV.30.298-D930,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,9db39081-2398-4d3d-8324-d2dcb7fd8e7d,6.2733035938016
69,,,,,,,,,,,,,,,,,,,OV.80.38-D104,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,0c6a0f7f-7958-4829-8557-968dc7549efb,5.98864515714528
70,,,,,,,,,,,,,,,,,,,OV.80.38-D105,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,f3c5a262-359b-4069-b8af-25187edf40b0,5.98872173645277
71,,,,,,,,,,,,,,,,,,,SZ.270.102-D1265,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,21aa926f-5634-413e-8e09-352472363839,5.98923402603738
72,,,,,,,,,,,,,,,,,,,SZ.270.70-D1273,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,eb1cec76-f750-4559-ae32-182622108abe,5.98624965300456
73,,,,,,,,,,,,,,,,,,,SZ.270.42-D1281,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,8f8b6d6a-a52a-4cc2-b396-52413a52ba7a,29.8437621372211
74,1,,,2.12,17,0.5,20,,,,,,,,,,,,SZ.270.88-D1284,,,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,ba490a09-c064-4c16-8508-f61ad163af37,16.6242917560163
75,1,,2.8,2.71,66.5,0.7,3,2,,,Voor huispercelen Rijksweg 13 tot en met 16,Rijksweg Uffelte provincie Drenthe,,,,,,,D749785,,,,,,,,,Provincie,Onderhoud hoofdconstructie,Waterschap,Onderhoud doorstroomprofiel duiker,e92d0035-6c9b-48dd-904a-ad2b4c33ace0,64.6487521685003
76,1,,4.54,4.36,8,0.4,20,,,,,,,,,,,,OV.80.46-D36,,,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,9da193d3-35f3-4c15-bb1c-dfbb64a77a1c,7.99630564883989
77,1,,-1.59,-1.72,10.67,0.5,20,4,,2021,,,Dam met duiker,,,,,,D749786,,,,,,,,,Houder vergunning,Geheel onderhoud,,,b13f9c4c-824b-4123-a12e-a77d167490e3,10.6718802669477
78,1,,,,8,0.4,3,,,,,,,,,,,,SZ.270.40-D454,,,2,,,2,,,Niet van toepassing,Gewoon en buitengewoon en constructie,,,3b9eee26-c302-4b98-a703-1e3e7f159135,7.99657758165874
79,1,,2.82,2.71,10.17,0.7,3,2,,,Voor huispercelen Rijksweg 13 tot en met 16,Rijksweg Uffelte provincie Drenthe,,,,,,,D750091,,,,,,,,,Provincie,Onderhoud hoofdconstructie,Waterschap,Onderhoud doorstroomprofiel duiker,ca485a64-d572-4163-8e44-3b466bad740b,10.6730361209898
80,2,1.25,-4.2,-4.21,7.07,1.5,3,4,,2022,,,Dam met duiker,,,,,,D750411,,,,,,,,,Houder vergunning,Geheel onderhoud,,,8bb09b24-afa5-440a-a9a0-d31add60a3e0,7.0715017975232
81,1,,2.2,2.28,5.16,0.3,3,4,,,,,Dam met duiker,,,,,,DV.30.298-D124,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,a73e9eff-bab5-4464-8be7-5592d0a9e0df,5.16433897147118
82,1,,2.13,2.13,5.3,0.3,20,4,,,,,Dam met duiker,,,,,,DV.30.298-D126,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,7fae44fe-7cfd-40ce-b7b3-1492e6410965,5.2989977332594
83,1,,3.66,3.54,23.51,1,3,2,,,,,,,,,,,D750092,,,,,,,,,Waterschap,Onderhoud doorstroomprofiel duiker,Aangeland,Onderhoud hoofdconstructie,93d710d4-46e9-4879-afaa-759d84e99724,23.5407630993497
84,1,,1.88,1.84,7.46,0.6,3,4,,,,,Dam met duiker,,,,,,DV.30.298-D137,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,9b458e5f-dd01-4d92-90c5-7ea4e0917da2,7.46456294609762
85,1,,2.14,2.06,7.12,0.3,20,4,,,,,Dam met duiker,,,,,,DV.30.298-D138,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,3810f49b-051d-48f1-99c3-cddb61476ed1,7.12533318779259
86,1,,2.19,2.07,9.15,0.5,3,,,,,De Stokte,,,,,,,SZ.270.90-D5,,,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,67218440-87f3-469c-9d17-2fe7d86fd139,9.14736238137496
87,1,,,,5,0.3,3,,,,,,,,,,,,SZ.270.96-D2,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,74982b9b-ff25-47a8-8dca-c37ddfa04620,4.99744624605424
88,1,,-2.32,-2.26,12.46,1,13,4,,2022,,,Dam met duiker,,,,,,D750412,,,,,,,,,Houder vergunning,Geheel onderhoud,,,fe7140e2-66b8-4966-9bd0-c455a202fe22,12.4574732060448
89,1,,-1.58,-1.59,6.35,0.3,20,2,,,,,Weg met duiker,,,,,,D750413,,,,,,,,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),31d4376a-b5f3-4ff2-9d48-30fc4b12e296,6.35200725914576
90,1,,3.42,3.07,23,0.8,,,,,,,,,,,,,D750093,,,,,,,,,Waterschap,Onderhoud doorstroomprofiel duiker,Gemeente,Onderhoud hoofdconstructie,25bad476-3a60-49d8-ab54-bda5ead0818f,22.981242577587
91,1,,4.36,4.16,161.48,1,3,4,,,,door sportveldje hoek tripakker-koningskamp,,,,,,,D750095,,,,,,,,,Waterschap,Onderhoud doorstroomprofiel duiker,Gemeente,Onderhoud hoofdconstructie,44bce0ee-aa5b-4f05-bbfa-c38094ba3688,161.986603269591
92,2,2.3,-4.26,-4.36,16.47,2.5,3,4,,2020,,,Dam met duiker,,,,,,D696974,,,,,,,,,Houder vergunning,Gewoon en buitengewoon en constructie,,,4c8b21fc-f208-4308-a044-58eb742988db,19.419104055043
93,1,,,,9,0.5,3,,,,,,,,,,,,SZ.270.98-D1,,,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,6e9ec077-2e22-4613-af12-2b3d7dbeb7b4,8.99843525340244
94,1,,,,20,0.5,3,,,,Met 2 putten,Keizersteeg,,,,,,,SZ.270.90-D2,,,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Gewoon en buitengewoon en constructie,7f543f69-2321-473f-b155-d480ee2e434f,19.9962358456584
95,1,,2.18,2.06,4.55,0.6,3,,,,,,,,,,,,SZ.270.90-D6,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,0366e307-b2ba-49fd-8ef2-aab3e3494556,4.54690807004456
96,1,,2.16,2.13,4.25,0.5,3,,,,,,,,,,,,SZ.270.90-D8,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,20b4bbca-ac4c-4d86-abbb-17002923a087,4.24711337221636
97,1,,,,8,0.3,3,,,,,,,,,,,,SZ.270.94-D10,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,634d44a2-6417-4234-a5d8-64cbe025fe9b,7.99860158166001
98,1,,,,5,0.3,3,,,,,,,,,,,,SZ.270.94-D11,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,19fed2d3-126a-4986-9fa0-d42b925b6e23,4.99731257874927
99,1,,,,6,0.3,3,,,,,,,,,,,,SZ.270.94-D9,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,8d820751-7c3d-4ea1-aad7-d1e65a54fbdb,5.99740059242825
100,1,,,,6,0.5,3,,,,,,,,,,,,SZ.270.92-D4,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,9861fbb9-1be0-4a71-9bc6-0518b7e2c1f8,5.99639625128273
101,1,,,,6,0.3,3,,,,,,,,,,,,SZ.270.92-D6,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,d0642d0c-a760-4fd2-a448-68b568ba37a2,5.99707236922188
102,1,,,,3,0.3,3,,,,,,,,,,,,SZ.270.92-D7,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,89c49283-f29d-4a36-8ecf-9c6d2668b22d,2.99664379063524
103,1,,,,6,0.4,3,,,,,,,,,,,,SZ.270.92-D8,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,3854d3a3-5ba3-40a7-83f9-f9574c36bf38,5.9978577001937
104,1,,1.97,1.95,10.1,0.6,3,,,,,Kampmansweg,,,,,,,SZ.270.90-D11,,,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,0c34f782-7730-422c-ba33-d7ac8b09524a,10.095607956568
105,1,,,,5,0.6,3,,,,,,,,,,,,SZ.270.86-D15,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,a371cbcf-edbd-49ef-ad92-c5ae12681638,4.99696998190611
106,1,,,,4,0.8,3,,,,,,,,,,,,SZ.270.86-D16,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,a14776c9-2608-40f7-b814-d21958b19172,3.9967549340349
107,1,,2.02,2.02,9.5,,3,,,,,,,,,,,,DV.30.231-D991,,,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,9a1a3b79-6e71-4c63-bcbc-3eb8a0d09629,10.1982326098372
108,1,,-0.15,-0.25,7.39,0.3,20,1,,,,,,,,,,,D759063,,,,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,8f7faca1-b8ee-44d0-a4da-19cc67ac056c,7.38693625817301
109,99,,,,10.6,,98,,,,,,,,,,,,SZ.330.4-D1287,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,757ee670-6f10-4f5d-adab-d6017eb2597c,10.5480559806754
110,1,,,,7.2,1,3,,,,,,,,,,,,SZ.255.28-D1292,,,2,,,2,,,Waterschap,Gewoon en buitengewoon,Aangeland,Onderhoud hoofdconstructie,31fdf945-1019-4660-ac13-5c7a04be9030,7.19694184886389
111,1,,-0.42,-0.26,7.5,0.3,20,1,,,,,,,,,,,D759064,,,,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,ea1359e3-1b74-4847-8d35-3d1616fa028b,7.49890037636112
112,1,,4.02,3.99,12,0.35,20,,,2015,,,,,,,,,OV.80.40-D114,,,2,,,2,,,Waterschap,Gewoon en buitengewoon,Ontheffingshouder,Onderhoud hoofdconstructie,7e3ca574-95de-41f9-9d61-2469a0272a9a,12.7785473731191
113,1,,-0.35,-0.1,7.45,0.3,20,1,,,,,,,,,,,D759065,,,,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,143e7252-87a5-47cc-ad49-a0e8a51601c8,7.45352763884237
114,99,,,,,,98,,,,,,,,,,,,OV.110-D118,,,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,135e3de3-f345-4ac8-a0bd-09d866891943,12.3252827892497
