Gemeente,CBS Gemeentecode,Bouwjaar,BAG Pand nummer,Status Pand,Gekoppeld adres,GEOMETRIE
Stichtse Vecht,G1904,1670,0311100000007337,Pand in gebruik,Zandpad 49,"POLYGON ((129141.855 464694.494,129143.209 464690.58,129148.847 464691.671,129147.853 464695.708,129141.855 464694.494))"
Stichtse Vecht,G1904,1670,0311100000002629,Pand in gebruik,Oud Aa 40 Breukelen,"POLYGON ((126555.092 466171.468,126555.287 466166.972,126560.912 466167.216,126567.026 466167.481,126577.376 466167.931,126577.181 466172.427,126555.092 466171.468))"
Stichtse Vecht,G1904,1672,0311100000003523,Pand in gebruik,Herenstraat 30,"POLYGON ((128758.823 465016.112,128759.075 465015.451,128761.993 465007.809,128763.678 465008.34,128765.258 465008.838,128764.562 465011.047,128768.581 465012.313,128767.49 465015.776,128769.841 465016.955,128769.177 465018.278,128772.267 465019.829,128771.393 465021.572,128767.191 465019.461,128765.826 465018.89,128764.142 465018.193,128759.506 465016.373,128758.823 465016.112))"
Stichtse Vecht,G1904,1672,0329100000006233,Pand in gebruik,Dorpsstraat 106 mol Loenen aan de Vecht,"POLYGON ((130422.054 469183.766,130420.356 469185.22,130417.976 469181.604,130419.562 469180.301,130423.392 469177.154,130426.089 469180.31,130422.054 469183.766))"
Stichtse Vecht,G1904,1675,0329100000003617,Pand in gebruik,Rijksstraatweg 15 Nieuwersluis,"POLYGON ((128941.521 467602.268,128943.9 467599.273,128946.102 467601.016,128943.792 467603.985,128941.521 467602.268))"
Stichtse Vecht,G1904,1680,0329100000005642,Pand in gebruik,Dorpsstraat 118 Nigtevecht,"POLYGON ((130555.815 476105.013,130557.137 476099.793,130559.487 476100.388,130558.22 476105.392,130555.815 476105.013))"
Stichtse Vecht,G1904,1680,0329100000005951,Pand in gebruik,Duinkerken 3 Vreeland,"POLYGON ((130737.106 471348.051,130737.12 471340.419,130737.139 471336.622,130744.694 471336.607,130744.701 471340.121,130745.993 471340.111,130745.963 471336.583,130752.816 471336.528,130764.335 471336.222,130764.434 471347.896,130764.435 471347.974,130760.373 471348.007,130744.332 471348.134,130744.309 471345.429,130742.386 471345.425,130742.381 471348.06,130737.106 471348.051))"
Stichtse Vecht,G1904,1688,0329100000005216,Pand in gebruik,Loenenseweg 4 Vreeland,"POLYGON ((130701.407 470880.079,130719.607 470879.002,130719.707 470882.354,130719.804 470885.615,130701.609 470886.661,130701.407 470880.079))"
Stichtse Vecht,G1904,1690,0333100000007814,Pand in gebruik,,"POLYGON ((131554.297 461147.537,131556.451 461141.156,131563.434 461143.514,131561.261 461149.95,131557.778 461148.775,131554.297 461147.537))"
Stichtse Vecht,G1904,1690,0333100000016970,Pand in gebruik,,"POLYGON ((131552.405 461101.008,131553.775 461100.428,131555.96 461101.147,131556.556 461102.532,131555.837 461104.717,131554.473 461105.281,131552.287 461104.479,131551.686 461103.193,131552.405 461101.008))"
Stichtse Vecht,G1904,1695,0329100000002005,Pand in gebruik,Oud Over 8 Loenen aan de Vecht,"POLYGON ((130163.836 468820.057,130163.497 468820.043,130163.675 468813.993,130170.096 468814.263,130170.089 468819.335,130170.072 468820.314,130163.836 468820.057))"
Stichtse Vecht,G1904,1695,0329100000002004,Pand in gebruik,Oud Over 8 Loenen aan de Vecht,"POLYGON ((130173.843 468819.523,130170.089 468819.335,130170.096 468814.263,130174.024 468814.359,130173.843 468819.523))"
Stichtse Vecht,G1904,1700,0333100000016217,Pand in gebruik,,"POLYGON ((134000.231 464953.024,134011.72 464957.129,134008.305 464966.687,133996.816 464962.582,134000.231 464953.024))"
Stichtse Vecht,G1904,1700,0333100000015763,Pand in gebruik,,"POLYGON ((130984.656 462728.757,130989.626 462737.471,130985.365 462739.877,130980.433 462731.143,130984.656 462728.757))"
Stichtse Vecht,G1904,1700,0333100000016376,Pand in gebruik,,"POLYGON ((133978.905 464947.626,133976.193 464955.213,133960.14 464949.477,133962.862 464941.857,133978.905 464947.626))"
Stichtse Vecht,G1904,1700,0329100000005848,Pand in gebruik,Nigtevechtseweg 43 Vreeland,"POLYGON ((131524.626 473557.365,131505.01 473556.404,131505.745 473541.402,131525.381 473542.364,131524.626 473557.365))"
Stichtse Vecht,G1904,1700,0333100000016221,Pand in gebruik,,"POLYGON ((133952.126 464964.661,133951.278 464967.329,133948.226 464966.359,133949.074 464963.691,133952.126 464964.661))"
Stichtse Vecht,G1904,1700,0329100000003379,Pand in gebruik,Rijksstraatweg 202 Loenersloot,"POLYGON ((128471.666 471153.576,128471.794 471150.385,128473.852 471150.513,128473.772 471153.671,128471.666 471153.576))"
Stichtse Vecht,G1904,1700,0333100000017027,Pand in gebruik,,"POLYGON ((130884.277 462782.66,130885.271 462781.511,130886.882 462781.376,130888.119 462782.55,130888.267 462784.158,130887.169 462785.424,130885.972 462785.419,130885.629 462785.417,130885.194 462785.015,130884.408 462784.288,130884.277 462782.66))"
Stichtse Vecht,G1904,1700,0333100000018073,Pand in gebruik,,"POLYGON ((131444.63 462533.384,131439.404 462531.35,131441.834 462525.106,131447.06 462527.14,131444.63 462533.384))"
Stichtse Vecht,G1904,1700,0333100000012406,Pand in gebruik,,"POLYGON ((132856.01 462215.901,132859.978 462210.413,132865.51 462214.816,132861.517 462220.254,132856.01 462215.901))"
Stichtse Vecht,G1904,1700,0329100000003179,Pand in gebruik,Rijksstraatweg 234 Loenersloot,"POLYGON ((128438.069 471426.207,128438.399 471424.234,128438.647 471422.067,128439 471419.849,128447.113 471421.34,128446.574 471424.314,128449.596 471424.965,128449.472 471425.3,128451.52 471425.778,128451.268 471426.873,128453.433 471427.445,128452.929 471429.562,128442.983 471427.275,128439.388 471426.506,128438.069 471426.207))"
Stichtse Vecht,G1904,1700,0329100000004994,Pand in gebruik,Zandpad 28 A Nieuwersluis,"POLYGON ((129264.616 466560.926,129265.462 466560.919,129281.28 466560.434,129281.393 466582.277,129264.762 466582.671,129264.616 466560.926))"
Stichtse Vecht,G1904,1700,0333100000012407,Pand in gebruik,,"POLYGON ((132857.972 462228.113,132858.16 462227.876,132859.012 462226.802,132862.526 462222.372,132874.376 462232.422,132877.664 462228.534,132885.322 462235.006,132882.2 462238.782,132880.619 462237.475,132878.054 462240.578,132872.32 462235.837,132871.692 462236.536,132871.512 462236.736,132871.045 462237.258,132863.661 462231.268,132863.321 462231.696,132862.894 462232.234,132857.972 462228.113))"
Stichtse Vecht,G1904,1714,0333100000007485,Pand in gebruik,,"POLYGON ((131082.12 461462.4,131087.02 461460.54,131088.52 461465.47,131084.03 461466.91,131082.69 461463.79,131082.12 461462.4))"
Stichtse Vecht,G1904,1715,1904100000042027,Pand in gebruik,Oud Over 36 Loenen aan de Vecht,"POLYGON ((130339.331 468999.181,130343.185 468994.954,130344.382 468996.046,130345.056 468995.307,130346.002 468996.169,130341.475 469001.132,130340.29 469000.052,130339.331 468999.181))"
Stichtse Vecht,G1904,1725,0329100000005619,Pand in gebruik,Dorpsstraat 80 Nigtevecht,"POLYGON ((130407.955 476146.167,130410.826 476142.117,130420.367 476148.039,130417.676 476151.958,130417.596 476152.074,130407.955 476146.167))"
Stichtse Vecht,G1904,1730,0329100000003401,Pand in gebruik,Rijksstraatweg 42 Nieuwersluis,"POLYGON ((128944.563 467561.114,128947.124 467557.272,128948.497 467558.187,128945.956 467561.998,128944.563 467561.114))"
Stichtse Vecht,G1904,1730,0329100000005891,Pand in gebruik,Dorpsstraat 154 Nigtevecht,"POLYGON ((130661.163 476184.721,130668.414 476178.838,130670.115 476180.934,130662.864 476186.817,130661.163 476184.721))"
Stichtse Vecht,G1904,1733,0329100000002429,Pand in gebruik,Rijksstraatweg 168 Loenen aan de Vecht,"POLYGON ((129820.241 469550.174,129827.328 469542.568,129831.269 469546.24,129836.358 469550.976,129834.963 469552.382,129847.224 469563.941,129840.464 469571.024,129835.871 469566.965,129828.421 469560.382,129828.919 469559.849,129828.192 469559.206,129829.034 469558.307,129825.895 469555.403,129820.241 469550.174))"
Stichtse Vecht,G1904,1733,0329100000002430,Pand in gebruik,Rijksstraatweg 168 Loenen aan de Vecht,"POLYGON ((129856.855 469554.083,129861.339 469558.251,129859.94 469564.215,129854.127 469565.822,129850.497 469562.378,129850.088 469560.215,129851.171 469555.656,129856.855 469554.083))"
Stichtse Vecht,G1904,1740,0333100000013862,Pand in gebruik,,"POLYGON ((133306.274 459985.207,133311.847 459976.414,133312.633 459975.174,133313.636 459975.811,133317.391 459978.266,133319.643 459979.623,133313.284 459989.637,133306.274 459985.207))"
Stichtse Vecht,G1904,1745,0329100000006236,Pand in gebruik,Bergseweg bij4 Vreeland,"POLYGON ((130807.214 471609.522,130809.094 471609.908,130810.088 471611.386,130809.724 471613.162,130808.312 471614.111,130806.449 471613.729,130805.428 471612.21,130805.781 471610.485,130807.214 471609.522))"
Stichtse Vecht,G1904,1747,1904100000042025,Pand in gebruik,Herenstraat 58 Breukelen,"POLYGON ((128750.561 465088.82,128751.445 465084.216,128754.876 465084.905,128755.812 465086.382,128755.345 465088.344,128753.898 465089.377,128750.561 465088.82))"
Stichtse Vecht,G1904,1749,0329100000003422,Pand in gebruik,Rijksstraatweg 53 Nieuwersluis,"POLYGON ((129569.649 468122.604,129579.358 468117.825,129580.175 468119.486,129581.508 468118.83,129584.252 468124.406,129583.437 468124.808,129585.492 468128.983,129574.137 468134.571,129572.064 468130.358,129571.827 468130.475,129569.043 468124.818,129570.408 468124.146,129569.649 468122.604))"
Stichtse Vecht,G1904,1750,0329100000005561,Pand in gebruik,Boslaan 2 Vreeland,"POLYGON ((130863.783 471017.395,130864.091 471016.308,130863.995 471016.281,130865.499 471010.98,130868.491 471011.829,130866.987 471017.13,130865.765 471016.783,130865.457 471017.87,130863.783 471017.395))"
Stichtse Vecht,G1904,1750,1904100000042142,Pand in gebruik,Dorpsstraat 44a Loenen aan de Vecht,"POLYGON ((130088.887 468991.696,130091.337 468988.579,130090.566 468987.933,130093.225 468984.691,130096.756 468987.548,130091.579 468993.918,130088.887 468991.696))"
Stichtse Vecht,G1904,1750,0333100000020121,Pand in gebruik,,"POLYGON ((131730.63 462615.943,131732.52 462616.68,131733.4 462614.64,131736.96 462616.04,131734.88 462621.28,131733.2 462620.6,131732.84 462621.52,131729.033 462619.973,131725.985 462618.734,131727.565 462614.748,131730.63 462615.943))"
Stichtse Vecht,G1904,1750,0329100000001724,Pand in gebruik,Mijndensedijk 3 Loenen aan de Vecht,"POLYGON ((130019.73 468532.983,130022.166 468532.151,130023.001 468534.717,130020.523 468535.51,130019.73 468532.983))"
Stichtse Vecht,G1904,1750,0333100000020122,Pand in gebruik,,"POLYGON ((131966.232 462728.063,131967.406 462724.049,131978.388 462727.519,131977.215 462731.534,131966.232 462728.063))"
Stichtse Vecht,G1904,1750,0333100000020119,Pand in gebruik,,"POLYGON ((131657.838 462589.887,131659.312 462586.243,131669.145 462589.9,131667.592 462593.739,131657.838 462589.887))"
Stichtse Vecht,G1904,1750,0329100000003796,Pand in gebruik,Sluisje 10 Vreeland,"POLYGON ((131259.553 471285.208,131260.839 471281.421,131266.154 471283.44,131264.804 471286.992,131259.553 471285.208))"
Stichtse Vecht,G1904,1750,0333100000020120,Pand in gebruik,,"POLYGON ((131626.224 462582.08,131627.21 462579.185,131628.376 462579.643,131629.03 462577.792,131639.161 462581.56,131637.478 462586.268,131626.224 462582.08))"
Stichtse Vecht,G1904,1750,1904100000041888,Pand in gebruik,Voorstraat 16 Vreeland,"POLYGON ((130850.876 471404.303,130851.437 471398.572,130853.774 471398.808,130854.714 471398.896,130854.228 471403.364,130854.09 471404.583,130850.876 471404.303))"
Stichtse Vecht,G1904,1750,0329100000003969,Pand in gebruik,Voorstraat 9 Vreeland,"POLYGON ((130834.99 471339.176,130835.097 471334.104,130839.796 471334.289,130842.604 471334.39,130847.376 471334.561,130847.345 471339.651,130844.29 471339.533,130840.252 471339.378,130834.99 471339.176))"
Stichtse Vecht,G1904,1750,0333100000020118,Pand in gebruik,,"POLYGON ((131674.68 462658,131679.92 462659.92,131678.28 462664.44,131673.04 462662.52,131670.507 462661.592,131672.147 462657.072,131674.68 462658))"
Stichtse Vecht,G1904,1750,0329100000005647,Pand in gebruik,Dorpsstraat 126 Nigtevecht,"POLYGON ((130597.393 476113.837,130599.785 476110.377,130601.485 476111.552,130599.093 476115.012,130597.393 476113.837))"
Stichtse Vecht,G1904,1750,0329100000001811,Pand in gebruik,Oud Over 39 Loenen aan de Vecht,"POLYGON ((130388.273 469065.354,130390.601 469062.607,130392.252 469064.03,130389.935 469066.763,130388.273 469065.354))"
Stichtse Vecht,G1904,1750,0333100000017022,Pand in gebruik,,"POLYGON ((130818.142 462271.999,130818.677 462271.726,130818.933 462270.195,130818.36 462269.867,130818.634 462269.39,130819.206 462269.718,130820.756 462268.971,130820.758 462268.311,130821.278 462268.313,130821.275 462268.973,130822.701 462269.893,130823.28 462269.576,130823.544 462270.058,130822.965 462270.375,130822.878 462272.093,130823.466 462272.393,130823.216 462272.883,130822.628 462272.583,130821.186 462273.212,130821.051 462273.271,130821.051 462273.931,130820.501 462273.931,130820.501 462273.271,130818.918 462272.2,130818.384 462272.473,130818.142 462271.999))"
Stichtse Vecht,G1904,1750,0329100000001781,Pand in gebruik,Oud Over 10 Loenen aan de Vecht,"POLYGON ((130176.09 468895.297,130175.63 468893.298,130175.529 468892.858,130184.829 468890.65,130184.955 468891.053,130185.059 468891.028,130185.606 468893.31,130176.38 468895.052,130176.09 468895.297))"
Stichtse Vecht,G1904,1750,0329100000004009,Pand in gebruik,Voorstraat 16 Vreeland,"POLYGON ((130833.052 471403.417,130833.31 471400.716,130839.184 471401.266,130838.889 471403.95,130833.596 471403.467,130833.052 471403.417))"
Stichtse Vecht,G1904,1750,0329100000006232,Pand in gebruik,Dorpsstraat 106 mol Loenen aan de Vecht,"POLYGON ((130420.356 469185.22,130422.054 469183.766,130426.089 469180.31,130428.142 469182.713,130422.273 469187.25,130420.356 469185.22))"
Stichtse Vecht,G1904,1750,1904100000041266,Pand in gebruik,Rijksstraatweg 207a Loenersloot,"POLYGON ((128369.338 471266.459,128370.155 471251.529,128377.375 471251.847,128376.605 471266.8,128369.338 471266.459))"
Stichtse Vecht,G1904,1750,0329100000003405,Pand in gebruik,Rijksstraatweg 45 Nieuwersluis,"POLYGON ((129229.909 467711.821,129234.107 467707.965,129236.489 467710.382,129234.857 467711.929,129233.283 467713.422,129232.334 467714.322,129229.909 467711.821))"
Stichtse Vecht,G1904,1750,0329100000003615,Pand in gebruik,Rijksstraatweg 14 Nieuwersluis,"POLYGON ((128784.489 467012.942,128812.688 467017.063,128811.855 467022.559,128783.685 467018.433,128784.489 467012.942))"
Stichtse Vecht,G1904,1750,0329100000004721,Pand in gebruik,Klapstraat 17 Vreeland,"POLYGON ((130819.427 471549.87,130815.256 471550.36,130814.205 471549.493,130813.984 471547.608,130814.847 471546.561,130819.019 471546.071,130819.427 471549.87))"
Stichtse Vecht,G1904,1750,0333100000014461,Pand in gebruik,,"POLYGON ((130695.068 461855.994,130698.085 461856.416,130697.649 461859.527,130694.633 461859.104,130695.068 461855.994))"
Stichtse Vecht,G1904,1750,0329100000003963,Pand in gebruik,Voorstraat 4 Vreeland,"POLYGON ((130846.387 471285.051,130847.272 471281.208,130852.278 471282.477,130851.359 471286.005,130846.387 471285.051))"
Stichtse Vecht,G1904,1752,0329100000006092,Pand in gebruik,Dorpsstraat 102 E Loenen aan de Vecht,"POLYGON ((130386.343 469149.482,130389.356 469145.348,130392.304 469147.219,130391.823 469147.89,130389.256 469151.474,130388.946 469151.262,130386.343 469149.482))"
Stichtse Vecht,G1904,1755,0333100000007891,Pand in gebruik,Langegracht 41 Maarssen,"POLYGON ((131299.53 461520.926,131302.433 461520.101,131306.065 461519.069,131308.197 461526.572,131304.608 461527.592,131304.345 461526.829,131301.586 461527.883,131299.53 461520.926))"
Stichtse Vecht,G1904,1759,0333100000013989,Pand in gebruik,,"POLYGON ((130965.212 461622.688,130969.251 461619.257,130976.773 461628.114,130972.734 461631.544,130965.212 461622.688))"
Stichtse Vecht,G1904,1760,1904100000040599,Pand in gebruik,Dorpsstraat 26 Loenen aan de Vecht,"POLYGON ((130049.109 468937.044,130051.162 468935.99,130053.053 468936.432,130053.107 468936.499,130053.684 468938.084,130052.958 468939.704,130050.604 468940.912,130049.109 468937.044))"
Stichtse Vecht,G1904,1760,1904100000038862,Pand in gebruik,Oud Over bij 33a Loenen aan de Vecht,"POLYGON ((130256.733 469052.694,130256.943 469052.444,130258.414 469050.682,130258.744 469050.288,130260.509 469050.093,130262.942 469052.126,130263.125 469053.788,130261.062 469056.258,130259.362 469056.446,130256.922 469054.408,130256.733 469052.694))"
Stichtse Vecht,G1904,1775,0329100000003167,Pand in gebruik,Rijksstraatweg 210 Loenersloot,"POLYGON ((128440.763 471259.598,128445.614 471259.417,128447.134 471259.357,128447.277 471262.963,128445.721 471263.024,128441.03 471263.209,128440.763 471259.598))"
Stichtse Vecht,G1904,1776,0329100000006099,Pand in gebruik,Rijksstraatweg 53 Nieuwersluis,"POLYGON ((129560.634 467984.403,129561.302 467982.575,129563.002 467981.713,129563.27 467981.577,129565.11 467982.231,129565.273 467982.595,129565.998 467984.221,129565.36 467986.021,129563.417 467986.987,129561.599 467986.365,129561.083 467985.403,129560.634 467984.403))"
Stichtse Vecht,G1904,1776,0329100000005507,Pand in gebruik,Dorpsstraat 39 Nigtevecht,"POLYGON ((130490.538 476163.598,130491.432 476166.439,130495.283 476165.227,130496.446 476168.922,130493.706 476169.784,130495.33 476174.946,130491.395 476176.184,130488.621 476167.37,130488.157 476167.516,130487.25 476164.633,130490.538 476163.598))"
Stichtse Vecht,G1904,1780,0333100000015737,Pand in gebruik,,"POLYGON ((133495.483 459973.268,133495.594 459973.101,133498.51 459968.7,133503.378 459971.925,133502.286 459973.573,133500.352 459976.494,133499.443 459975.892,133496.901 459974.208,133495.9 459973.544,133495.483 459973.268))"
Stichtse Vecht,G1904,1780,0333100000020847,Pand in gebruik,Zandweg 31 Maarssen,"POLYGON ((131626.292 461235.528,131627.808 461230.075,131650.173 461236.612,131651.435 461236.978,131655.461 461238.181,131653.849 461243.004,131650.032 461241.872,131649.894 461242.478,131626.292 461235.528))"
Stichtse Vecht,G1904,1780,0333100000015224,Pand in gebruik,,"POLYGON ((131594.681 461223.593,131595.681 461220.501,131606.515 461224.003,131609.632 461225.011,131611.186 461225.513,131616.013 461227.074,131616.205 461227.136,131615.205 461230.229,131594.681 461223.593))"
Stichtse Vecht,G1904,1780,0329100000006098,Pand in gebruik,Oud Over 1 Loenen aan de Vecht,"POLYGON ((130016.544 468691.085,130017.426 468689.646,130020.302 468688.943,130021.741 468689.779,130021.778 468689.925,130022.418 468692.458,130022.467 468692.653,130021.6 468694.096,130018.729 468694.848,130017.219 468693.981,130016.544 468691.085))"
Stichtse Vecht,G1904,1780,0333100000015739,Pand in gebruik,,"POLYGON ((133537.397 459911.52,133539.367 459908.25,133543.893 459911.731,133541.681 459914.827,133537.397 459911.52))"
Stichtse Vecht,G1904,1786,0333100000019465,Pand in gebruik,,"POLYGON ((130989.521 462152.538,130986.868 462148.742,130988.928 462146.919,130992.089 462150.411,130989.521 462152.538))"
Stichtse Vecht,G1904,1790,0329100000002002,Pand in gebruik,Oud Over 7 Loenen aan de Vecht,"POLYGON ((130115.637 468919.241,130120.254 468914.658,130123.309 468917.589,130123.488 468917.761,130123.333 468917.914,130119.825 468921.396,130118.834 468922.38,130115.637 468919.241))"
Stichtse Vecht,G1904,1800,0311100000007521,Pand in gebruik,Straatweg 40,"POLYGON ((129788.851 463370.846,129791.541 463367.848,129800.501 463375.748,129800.755 463376.003,129798.013 463379.067,129788.851 463370.846))"
Stichtse Vecht,G1904,1800,0333100000015912,Pand in gebruik,,"POLYGON ((130628.637 461534.826,130633.409 461529.674,130637.913 461533.655,130633.142 461538.807,130628.637 461534.826))"
Stichtse Vecht,G1904,1800,0311100000007624,Pand in gebruik,Straatweg 27 Breukelen,"POLYGON ((128959.25 464202.556,128960.795 464200.482,128960.191 464200.032,128961.976 464197.636,128962.543 464198.058,128966.329 464192.977,128969.991 464195.84,128963.025 464205.309,128961.058 464203.877,128959.25 464202.556))"
Stichtse Vecht,G1904,1800,0329100000002063,Pand in gebruik,Oud Over 112 Loenen aan de Vecht,"POLYGON ((130773.984 469859.569,130774.922 469845.241,130784.782 469846.24,130783.336 469860.517,130773.984 469859.569))"
Stichtse Vecht,G1904,1800,0311100000007550,Pand in gebruik,Scheendijk 1,"POLYGON ((130442.619 464163.505,130444.706 464157.222,130460.478 464162.463,130458.391 464168.745,130442.619 464163.505))"
Stichtse Vecht,G1904,1800,0333100000013257,Pand in gebruik,,"POLYGON ((135338.232 460362.009,135328.115 460368.941,135311.157 460344.193,135321.094 460337.384,135338.232 460362.009))"
Stichtse Vecht,G1904,1800,0333100000012454,Pand in gebruik,,"POLYGON ((130867.537 461133.85,130869.598 461132.304,130887.606 461156.311,130884.006 461159.012,130877.998 461163.518,130859.991 461139.511,130867.537 461133.85))"
Stichtse Vecht,G1904,1800,0333100000016219,Pand in gebruik,,"POLYGON ((133971.916 465020.755,133972.83 465018.332,133978.67 465020.172,133977.902 465022.304,133977.792 465022.609,133971.99 465020.778,133971.916 465020.755))"
Stichtse Vecht,G1904,1800,1904100000039790,Pand in gebruik,Herenstraat 42 Breukelen,"POLYGON ((128760.647 465055.056,128761.956 465051.05,128768.226 465053.099,128766.917 465057.105,128760.647 465055.056))"
Stichtse Vecht,G1904,1800,0311100000007623,Pand in gebruik,Straatweg 27,"POLYGON ((128970.052 464206.27,128976.92 464211.689,128968.345 464222.559,128961.544 464217.194,128970.052 464206.27))"
Stichtse Vecht,G1904,1800,0333100000015716,Pand in gebruik,,"POLYGON ((130761.334 462636.177,130771.782 462631.877,130775.981 462642.079,130765.542 462646.402,130764.11 462642.922,130761.334 462636.177))"
Stichtse Vecht,G1904,1800,0329100000005075,Pand in gebruik,Lindengracht 6 Vreeland,"POLYGON ((130940.393 471295.95,130946.212 471296.38,130945.695 471299.824,130940.052 471299.239,130940.393 471295.95))"
Stichtse Vecht,G1904,1800,0311100000008246,Pand in gebruik,Portengen 79,"POLYGON ((125148.043 464333.822,125150.725 464327.62,125167.98 464335.082,125165.298 464341.284,125148.043 464333.822))"
