FID,wegdeelltr,kmtr,wegnummer,fk_veld4,ibn,gdb_geomattr_data,shape
lichtmasten_kenmerk.32,R,245.01600647,015,PKK0000084630,I,,POINT (243068.5507999994 461450.7373000011)
lichtmasten_kenmerk.33,R,146.13499451,015,PKK0000084605,I,,POINT (172829.52899999917 436995.30310000107)
lichtmasten_kenmerk.34,R,63.9980011,007,PKK0000084117,I,,POINT (131248.0150000006 549166.0709000006)
lichtmasten_kenmerk.35,R,105.19999695,007,PKK0000084125,I,,POINT (158880.15790000185 566941.4899000004)
lichtmasten_kenmerk.36,R,142.19000244,007,PKK0000084130,I,,POINT (189264.81929999962 553542.2932999991)
lichtmasten_kenmerk.37,R,180.59300232,007,PKK0000084136,I,,POINT (218269.2083999999 576328.0500999987)
lichtmasten_kenmerk.38,R,184.29499817,007,PKK0000084138,I,,POINT (221508.17280000076 578157.5581)
lichtmasten_kenmerk.39,R,232.47200012,007,PKK0000084140,I,,POINT (262960.77380000055 577097.6873999983)
lichtmasten_kenmerk.40,R,12.875,017,PKK0000084720,I,,POINT (94394.54300000146 404081.6132000014)
lichtmasten_kenmerk.41,R,17.2859993,017,PKK0000084726,I,,POINT (92841.40790000185 399986.0357999988)
lichtmasten_kenmerk.42,R,19.30500031,017,PKK0000084727,I,,POINT (91433.06929999962 398303.26029999927)
lichtmasten_kenmerk.43,R,24.06999969,017,PKK0000084729,I,,POINT (88725.46330000088 394199.9455999993)
lichtmasten_kenmerk.44,R,9.93200016,067,PKK0000087014,I,,POINT (150366.79179999977 375904.5976999998)
lichtmasten_kenmerk.45,R,113.99500275,027,PKK0000084856,I,,POINT (151477.5736999996 484659.02439999953)
lichtmasten_kenmerk.46,R,44.07500076,057,PKK0000085368,I,,POINT (46939.32070000097 417300.5927999988)
lichtmasten_kenmerk.47,R,60.27399826,057,PKK0000085369,I,,POINT (38821.62420000136 406545.2688000016)
lichtmasten_kenmerk.48,R,60.99200058,057,PKK0000085370,I,,POINT (38666.16899999976 406719.18400000036)
lichtmasten_kenmerk.49,R,60.625,057,PKK0000085371,I,,POINT (38516.324799999595 406485.3016999997)
lichtmasten_kenmerk.50,R,53.15999985,028,PKK0000084967,I,,POINT (172548.26419999823 483349.6440999992)
lichtmasten_kenmerk.51,R,53.13499832,028,PKK0000084968,I,,POINT (172600.80519999936 483244.8341999985)
lichtmasten_kenmerk.52,R,145.05999756,058,PKK0000085455,I,,POINT (54272.18780000135 388505.53449999914)
lichtmasten_kenmerk.53,R,167.27000427,058,PKK0000085462,I,,POINT (33279.95580000058 389086.39719999954)
lichtmasten_kenmerk.54,R,168.01499939,058,PKK0000085467,I,,POINT (33399.430300001055 388866.4195000008)
lichtmasten_kenmerk.55,R,152.09199524,028,PKK0000088142,I,,POINT (227569.7606999986 536886.6570999995)
lichtmasten_kenmerk.56,R,152.16000366,028,PKK0000088143,I,,POINT (227348.39570000023 537036.3244000003)
lichtmasten_kenmerk.57,R,0.124,037,PKK0000088153,I,,POINT (227557.3925999999 525036.0870000012)
lichtmasten_kenmerk.58,R,14.84399986,067,PKK0000088205,I,,POINT (154608.12590000033 378399.7622999996)
lichtmasten_kenmerk.59,R,15.31000042,031,PKK0000085054,I,,POINT (158111.65929999948 576157.8533999994)
lichtmasten_kenmerk.60,R,15.40200043,031,PKK0000085055,I,,POINT (158203.3674999997 576189.4631999992)
lichtmasten_kenmerk.61,R,35.19900131,031,PKK0000085059,I,,POINT (177034.47520000115 580187.9193999991)
lichtmasten_kenmerk.62,R,43.04499817,031,PKK0000085060,I,,POINT (178489.82550000027 579836.4459000006)
lichtmasten_kenmerk.63,R,66.54399872,031,PKK0000085072,I,,POINT (197632.67819999903 573332.5998999998)
lichtmasten_kenmerk.64,R,70.88999939,031,PKK0000085073,I,,POINT (201659.87370000035 572205.9164999984)
lichtmasten_kenmerk.65,R,70.88500214,031,PKK0000085074,I,,POINT (201859.60159999877 572385.3139999993)
lichtmasten_kenmerk.66,R,25.21100044,032,PKK0000085077,I,,POINT (202694.2553000003 535556.3310999982)
lichtmasten_kenmerk.67,R,25.28899956,032,PKK0000085078,I,,POINT (202675.95050000027 535703.1554000005)
lichtmasten_kenmerk.68,R,35.33800125,032,PKK0000085079,I,,POINT (198016.12409999967 544132.3005999997)
lichtmasten_kenmerk.69,R,38.68500137,032,PKK0000085081,I,,POINT (196283.99500000104 547079.0357000008)
lichtmasten_kenmerk.70,R,39.06999969,032,PKK0000085082,I,,POINT (196171.87680000067 546946.0185999982)
lichtmasten_kenmerk.71,R,45.16699982,032,PKK0000085083,I,,POINT (192234.61730000004 551802.1077999994)
lichtmasten_kenmerk.72,R,46.73300171,032,PKK0000085085,I,,POINT (191679.3911000006 553208.5340000018)
lichtmasten_kenmerk.73,R,58.02199936,032,PKK0000085088,I,,POINT (185689.16149999946 562398.2087999992)
lichtmasten_kenmerk.74,R,58.08800125,032,PKK0000085089,I,,POINT (185806.750500001 562509.4112000018)
lichtmasten_kenmerk.75,R,65.40699768,032,PKK0000085092,I,,POINT (183492.82840000093 569450.050999999)
lichtmasten_kenmerk.76,R,126.83200073,015,PKK0000083178,I,,POINT (154775.9437999986 433612.9813000001)
lichtmasten_kenmerk.77,R,70.04499817,001,PKK0000082793,I,,POINT (181837.99109999835 467802.6035999991)
lichtmasten_kenmerk.78,R,215.93499756,002,PKK0000081865,I,,POINT (189464.32840000093 352981.03510000184)
lichtmasten_kenmerk.79,R,43.42900085,031,PKK0000081963,I,,POINT (178771.27419999987 579903.306499999)
lichtmasten_kenmerk.80,R,238.36500549,015,PKK0000082443,I,,POINT (240201.74480000138 456007.4558000006)
lichtmasten_kenmerk.81,R,61.10300064,035,PKK0000085150,I,,POINT (248960.03200000152 473264.02849999815)
lichtmasten_kenmerk.82,R,66.72100067,035,PKK0000085151,I,,POINT (253209.05169999972 469887.4840000011)
lichtmasten_kenmerk.83,R,66.67700195,035,PKK0000085153,I,,POINT (253139.44429999962 469537.1693999991)
lichtmasten_kenmerk.84,R,4.52199984,036,PKK0000085154,I,,POINT (238502.56549999863 485402.04850000143)
lichtmasten_kenmerk.85,R,12.53600025,036,PKK0000085157,I,,POINT (240144.16000000015 491375.81980000064)
lichtmasten_kenmerk.86,R,4.17000008,037,PKK0000085168,I,,POINT (231330.45820000023 526182.9912)
lichtmasten_kenmerk.87,R,18.78000069,037,PKK0000085169,I,,POINT (245667.80999999866 527268.3759999983)
lichtmasten_kenmerk.88,R,100.23500061,027,PKK0000086132,I,,POINT (145686.48050000146 473561.5865999982)
lichtmasten_kenmerk.89,R,7.85500002,076,PKK0000086167,I,,POINT (187449.10429999977 328278.36080000177)
lichtmasten_kenmerk.90,R,79.56700134,001,PKK0000086181,I,,POINT (191096.1009999998 465989.2441999987)
lichtmasten_kenmerk.91,R,102.40299988,006,PKK0000086218,I,,POINT (174639.85570000112 517493.65249999985)
lichtmasten_kenmerk.92,R,183.92300415,007,PKK0000086223,I,,POINT (221301.05590000004 578038.1262000017)
lichtmasten_kenmerk.93,R,147.69999695,028,PKK0000086261,I,,POINT (226455.17110000178 532414.5155000016)
lichtmasten_kenmerk.94,R,147.7480011,028,PKK0000086262,I,,POINT (226446.12139999866 532489.569699999)
lichtmasten_kenmerk.95,R,147.7539978,028,PKK0000086263,I,,POINT (226569.2837000005 532499.6273000017)
lichtmasten_kenmerk.96,R,185.53500366,028,PKK0000086267,I,,POINT (236651.74720000103 566664.9624999985)
lichtmasten_kenmerk.97,R,185.89900208,028,PKK0000086268,I,,POINT (236389.9637000002 566655.9796999991)
lichtmasten_kenmerk.98,R,23.35000038,031,PKK0000086272,I,,POINT (165355.21920000017 579507.9582000002)
lichtmasten_kenmerk.99,R,10.20400047,032,PKK0000086276,I,,POINT (210565.17799999937 524457.6121000014)
lichtmasten_kenmerk.100,R,18.95499992,037,PKK0000086282,I,,POINT (245913.5962000005 527119.8517000005)
lichtmasten_kenmerk.101,R,28.99500084,037,PKK0000086284,I,,POINT (255679.2490000017 527131.2635999992)
lichtmasten_kenmerk.102,R,100.45500183,027,PKK0000084853,I,,POINT (145378.60759999976 473919.80640000105)
lichtmasten_kenmerk.103,R,138.87800598,050,PKK0000085316,I,,POINT (173501.2142000012 422026.87040000036)
lichtmasten_kenmerk.104,R,190.94200134,015,PKK0000092417,I,,POINT (207645.75989999995 437721.6543999985)
lichtmasten_kenmerk.105,R,101.97499847,059,PKK0000090696,I,,POINT (119758.7415000014 410703.9017999992)
lichtmasten_kenmerk.106,R,102.45300293,059,PKK0000090697,I,,POINT (119759.27160000056 410696.570700001)
lichtmasten_kenmerk.107,R,49.61000061,067,PKK0000090704,I,,POINT (188122.40560000017 378222.47030000016)
lichtmasten_kenmerk.108,R,49.625,067,PKK0000090705,I,,POINT (188183.9759999998 378235.8073000014)
lichtmasten_kenmerk.109,R,58.38499832,067,PKK0000090706,I,,POINT (196607.48110000044 376583.0859999992)
lichtmasten_kenmerk.110,R,73.84500122,067,PKK0000090707,I,,POINT (211549.3546999991 378052.8020000011)
lichtmasten_kenmerk.111,R,13.37199974,079,PKK0000090740,I,,POINT (191359.21379999816 321243.46240000054)
lichtmasten_kenmerk.112,R,7.44299984,835,PKK0000090761,I,,POINT (208699.12249999866 499743.5687999986)
lichtmasten_kenmerk.113,R,251.19200134,050,PKK0000091496,I,,POINT (188632.55440000072 507643.3559000008)
lichtmasten_kenmerk.114,R,268.16799927,050,PKK0000091497,I,,POINT (181420.1966000013 522685.44260000065)
lichtmasten_kenmerk.115,R,55.23799896,057,PKK0000092866,I,,POINT (40171.011700000614 411273.2917999998)
lichtmasten_kenmerk.116,R,151.48899841,015,PKK0000093127,I,,POINT (178159.13720000163 436475.89079999924)
lichtmasten_kenmerk.117,R,282.73400879,006,PKK0000091538,I,,POINT (180853.53440000117 526508.8007999994)
lichtmasten_kenmerk.118,R,51.06299973,028,PKK0000091617,I,,POINT (170780.58999999985 482524.59479999915)
lichtmasten_kenmerk.119,R,240.79400635,004,PKK0000089794,I,,POINT (80206.71950000152 384352.49170000106)
lichtmasten_kenmerk.120,R,241.6499939,004,PKK0000089795,I,,POINT (80297.24469999969 383950.3894999996)
lichtmasten_kenmerk.121,R,12.95800018,017,PKK0000089834,I,,POINT (94641.17689999938 403805.4305999987)
lichtmasten_kenmerk.122,R,12.49800014,017,PKK0000089835,I,,POINT (94630.9571999982 403813.5826999992)
lichtmasten_kenmerk.123,R,13.33500004,017,PKK0000089836,I,,POINT (94408.41490000114 404074.8942999989)
lichtmasten_kenmerk.124,R,17.25499916,017,PKK0000089837,I,,POINT (92986.97360000014 399933.5945999995)
lichtmasten_kenmerk.125,R,19.72500038,017,PKK0000089838,I,,POINT (91535.04080000147 398008.28979999945)
lichtmasten_kenmerk.126,R,87.29000092,058,PKK0000091668,I,,POINT (94397.26370000094 395667.77439999953)
lichtmasten_kenmerk.127,R,44.47000122,057,PKK0000091720,I,,POINT (47309.14050000161 417250.62150000036)
lichtmasten_kenmerk.128,R,60.76499939,057,PKK0000091721,I,,POINT (38415.961599998176 406391.0892000012)
lichtmasten_kenmerk.129,R,170.47599792,058,PKK0000091742,I,,POINT (31353.920000001788 387262.9134999998)
lichtmasten_kenmerk.130,R,233.16999817,004,PKK0000091973,I,,POINT (80086.81670000032 391685.69619999826)
lichtmasten_kenmerk.131,R,310.97399902,006,PKK0000089032,I,,POINT (183833.61780000106 552374.5898000002)
lichtmasten_kenmerk.132,R,311.13598633,006,PKK0000089034,I,,POINT (184112.0824000016 552349.8258000016)
lichtmasten_kenmerk.133,R,100.85900116,007,PKK0000089036,I,,POINT (154717.97250000015 567522.8658999987)
lichtmasten_kenmerk.134,R,100.91200256,007,PKK0000089037,I,,POINT (154782.97069999948 567523.1636999995)
lichtmasten_kenmerk.135,R,105.05699921,007,PKK0000089039,I,,POINT (158635.9611000009 566838.2171999998)
lichtmasten_kenmerk.136,R,105.20500183,007,PKK0000089040,I,,POINT (158829.75719999894 567001.3159000017)
lichtmasten_kenmerk.137,R,105.03800201,007,PKK0000089041,I,,POINT (158688.0502000004 566775.9770999998)
lichtmasten_kenmerk.138,R,115.2519989,007,PKK0000089044,I,,POINT (167524.13049999997 562316.5247999988)
lichtmasten_kenmerk.139,R,115.39499664,007,PKK0000089045,I,,POINT (167587.79800000042 562165.9244000018)
lichtmasten_kenmerk.140,R,161.16099548,007,PKK0000089047,I,,POINT (201880.1699000001 567082.0691)
lichtmasten_kenmerk.141,R,161.6000061,007,PKK0000089048,I,,POINT (201747.69269999862 567311.5934000015)
lichtmasten_kenmerk.142,R,221.66799927,007,PKK0000092270,I,,POINT (253492.82389999926 576812.6356999986)
lichtmasten_kenmerk.143,R,201.57400513,015,PKK0000092316,I,,POINT (218305.87079999968 440206.8280999996)
lichtmasten_kenmerk.144,R,235.397995,015,PKK0000092317,I,,POINT (240181.16800000146 453529.2039999999)
lichtmasten_kenmerk.145,R,253.98800659,015,PKK0000092318,I,,POINT (248763.72439999878 466966.0573000014)
lichtmasten_kenmerk.146,R,34.86000061,032,PKK0000088968,I,,POINT (197749.51399999857 543984.8942000009)
lichtmasten_kenmerk.147,R,38.66799927,032,PKK0000088969,I,,POINT (196319.24020000175 547046.7065000013)
lichtmasten_kenmerk.148,R,42.49000168,032,PKK0000088971,I,,POINT (193683.39970000088 549541.6229000017)
lichtmasten_kenmerk.149,R,45.22000122,032,PKK0000088972,I,,POINT (192351.43050000072 551949.6559000015)
lichtmasten_kenmerk.150,R,4.40399981,077,PKK0000091068,I,,POINT (193433.53510000184 408114.43719999865)
lichtmasten_kenmerk.151,R,69.50299835,001,PKK0000090419,I,,POINT (181690.0439000018 468077.1273000017)
lichtmasten_kenmerk.152,R,79.62799835,001,PKK0000090420,I,,POINT (191128.2210999988 466266.47040000185)
lichtmasten_kenmerk.153,R,83.80699921,001,PKK0000090421,I,,POINT (195665.39389999956 465225.70219999924)
lichtmasten_kenmerk.154,R,84.52500153,001,PKK0000090422,I,,POINT (195665.6398999989 465624.3222000003)
lichtmasten_kenmerk.155,R,98.06500244,058,PKK0000090060,I,,POINT (86054.2404000014 391679.96240000054)
lichtmasten_kenmerk.156,R,98.66500092,058,PKK0000090061,I,,POINT (86044.04210000113 391292.1068999991)
lichtmasten_kenmerk.157,R,100.80599976,058,PKK0000090062,I,,POINT (83884.1708999984 391260.50780000165)
lichtmasten_kenmerk.158,R,100.5739975,058,PKK0000090063,I,,POINT (83680.13599999994 391507.0333000012)
lichtmasten_kenmerk.159,R,60.0719986,059,PKK0000090065,I,,POINT (90587.42000000179 406668.2873999998)
lichtmasten_kenmerk.160,R,60.06999969,059,PKK0000090066,I,,POINT (90636.14620000124 406772.69860000163)
lichtmasten_kenmerk.161,R,60.0909996,059,PKK0000090067,I,,POINT (90642.26559999958 406647.0480999984)
lichtmasten_kenmerk.162,R,60.12400055,059,PKK0000090068,I,,POINT (90690.11659999937 406751.6468999982)
lichtmasten_kenmerk.163,R,287.22399902,006,PKK0000089436,I,,POINT (180501.4312000014 530971.8586000018)
lichtmasten_kenmerk.164,R,152.32499695,028,PKK0000089466,I,,POINT (227559.91270000115 536848.0175999999)
lichtmasten_kenmerk.165,R,152.48500061,028,PKK0000089467,I,,POINT (227362.92550000176 537065.2716999985)
lichtmasten_kenmerk.166,R,169.35499573,028,PKK0000089468,I,,POINT (232840.83989999816 552763.6768999994)
lichtmasten_kenmerk.167,R,123.33599854,001,PKK0000091078,I,,POINT (228026.0047999993 475367.18569999933)
lichtmasten_kenmerk.168,R,124.46800232,001,PKK0000091079,I,,POINT (227918.87409999967 475633.9849999994)
lichtmasten_kenmerk.169,R,131.39900208,001,PKK0000091080,I,,POINT (234779.38289999962 478064.188099999)
lichtmasten_kenmerk.170,R,131.49099731,001,PKK0000091081,I,,POINT (234878.9710999988 477922.0645000003)
lichtmasten_kenmerk.171,R,176.04299927,001,PKK0000089505,I,,POINT (265581.49010000005 481534.0978000015)
lichtmasten_kenmerk.172,R,93.34600067,059,PKK0000089491,I,,POINT (111373.05680000037 407750.751600001)
lichtmasten_kenmerk.173,R,93.37599945,059,PKK0000089492,I,,POINT (111457.93910000101 407610.9048999995)
lichtmasten_kenmerk.174,R,96.46600342,059,PKK0000089493,I,,POINT (114156.72580000013 409106.45899999887)
lichtmasten_kenmerk.175,R,107.41200256,059,PKK0000089495,I,,POINT (124646.00499999896 411708.44370000064)
lichtmasten_kenmerk.176,R,72.81700134,006,PKK0000089548,I,,POINT (160633.5784999989 497638.1180000007)
lichtmasten_kenmerk.177,R,282.73999023,006,PKK0000089550,I,,POINT (180991.60229999945 526505.7204000019)
lichtmasten_kenmerk.178,R,180.6289978,007,PKK0000089566,I,,POINT (218251.7146999985 576523.7679000013)
lichtmasten_kenmerk.179,R,232.52600098,007,PKK0000089567,I,,POINT (262932.9541000016 576964.7349999994)
lichtmasten_kenmerk.180,R,176.63000488,002,PKK0000090449,I,,POINT (165796.9250999987 373334.19000000134)
lichtmasten_kenmerk.181,R,100.97000122,007,PKK0000090511,I,,POINT (154758.376600001 567749.7600999996)
lichtmasten_kenmerk.182,R,112.54199982,007,PKK0000090512,I,,POINT (164964.58410000056 563261.4164999984)
lichtmasten_kenmerk.183,R,112.54799652,007,PKK0000090513,I,,POINT (164947.90100000054 563189.3062999994)
lichtmasten_kenmerk.184,R,169.59300232,007,PKK0000090514,I,,POINT (208350.40630000085 571824.0117000006)
lichtmasten_kenmerk.185,R,142.58999634,012,PKK0000090534,I,,POINT (202818.17969999835 439476.50730000064)
lichtmasten_kenmerk.186,R,28.25300026,028,PKK0000089629,I,,POINT (158256.81650000066 464706.1603000015)
lichtmasten_kenmerk.187,R,190.68699646,028,PKK0000089633,I,,POINT (236689.9578000009 571637.4305000007)
lichtmasten_kenmerk.188,R,190.36000061,028,PKK0000089634,I,,POINT (236721.13049999997 571612.1579999998)
lichtmasten_kenmerk.189,R,42.35499954,032,PKK0000089640,I,,POINT (193579.74709999934 549349.5810000002)
lichtmasten_kenmerk.190,R,46.39599991,032,PKK0000089641,I,,POINT (191810.11230000108 553358.7800999992)
lichtmasten_kenmerk.191,R,118.96499634,015,PKK0000090579,I,,POINT (147611.89070000127 429897.8707999997)
lichtmasten_kenmerk.192,R,127.13999939,015,PKK0000090581,I,,POINT (154660.54659999907 433732.78830000013)
lichtmasten_kenmerk.193,R,130.86000061,015,PKK0000090582,I,,POINT (158177.74460000172 434667.3236999996)
lichtmasten_kenmerk.194,R,202.06300354,015,PKK0000090588,I,,POINT (218421.3627000004 439945.54839999974)
lichtmasten_kenmerk.195,R,253.91200256,015,PKK0000090590,I,,POINT (248711.24049999937 466771.8020000011)
lichtmasten_kenmerk.196,R,17.24500084,017,PKK0000090604,I,,POINT (92940.49069999903 399995.28830000013)
lichtmasten_kenmerk.197,R,17.23500061,017,PKK0000090605,I,,POINT (92855.4710999988 400036.1532999985)
lichtmasten_kenmerk.198,R,114.00900269,027,PKK0000090615,I,,POINT (151641.68780000135 484783.9180999994)
lichtmasten_kenmerk.199,R,72.41500092,028,PKK0000090619,I,,POINT (189169.1112000011 491518.63489999995)
lichtmasten_kenmerk.200,R,72.45500183,028,PKK0000090620,I,,POINT (189237.21819999814 491466.5073999986)
lichtmasten_kenmerk.201,R,82.02500153,028,PKK0000090621,I,,POINT (195863.82290000096 497863.12689999864)
lichtmasten_kenmerk.202,R,190.83900452,028,PKK0000090623,I,,POINT (236962.26419999823 571810.8040000014)
lichtmasten_kenmerk.203,R,190.3500061,028,PKK0000090624,I,,POINT (236951.91270000115 571814.0982999988)
lichtmasten_kenmerk.204,R,15.06200027,030,PKK0000090626,I,,POINT (169273.13100000098 455448.30310000107)
lichtmasten_kenmerk.205,R,19.4470005,030,PKK0000090627,I,,POINT (166924.2137000002 459347.7254000008)
lichtmasten_kenmerk.206,R,22.71100044,030,PKK0000090628,I,,POINT (167007.29529999942 462435.7960000001)
lichtmasten_kenmerk.207,R,5.88999987,031,PKK0000090640,I,,POINT (154709.0436999984 567750.0001999997)
lichtmasten_kenmerk.208,R,17.72400093,031,PKK0000090641,I,,POINT (159990.9759999998 577401.8068999983)
lichtmasten_kenmerk.209,R,23.27199936,031,PKK0000090642,I,,POINT (165262.2188999988 579231.2529999986)
lichtmasten_kenmerk.210,R,61.31499863,031,PKK0000090643,I,,POINT (192829.8984999992 574964.558699999)
lichtmasten_kenmerk.211,R,63,032,PKK0000090647,I,,POINT (184185.02309999987 567127.6895999983)
