FID,aanlegjaar,categorie,leeftijd_doelgroep,max_valhoogte,omschrijving,toesteltype,geometrie
O10002_Speelobjecten_OD.38,2008,speeltoestel,6-12 jaar,190 cm,speelvoorziening,Glijbaan,MULTIPOINT ((172573.636 508712.718))
O10002_Speelobjecten_OD.39,2011,speeltoestel,6-12 jaar,130 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((171930.013 509018.259))
O10002_Speelobjecten_OD.40,2005,speeltoestel,0-6 jaar,70 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((172144.822 508268.144))
O10002_Speelobjecten_OD.41,2011,speeltoestel,0-6 jaar,135 cm,speelvoorziening,Glijbaan,MULTIPOINT ((171702.457 509193.392))
O10002_Speelobjecten_OD.42,2003,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Schommel,MULTIPOINT ((172077.775 509022.216))
O10002_Speelobjecten_OD.43,2011,speeltoestel,0-6 jaar,100 cm,speelvoorziening,Glijbaan,MULTIPOINT ((171926.811 509023.231))
O10002_Speelobjecten_OD.44,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Duikeltoestel,MULTIPOINT ((172075.477 509596.381))
O10002_Speelobjecten_OD.45,2011,speeltoestel,0-6 jaar,90 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((172366.27 508421.823))
O10002_Speelobjecten_OD.46,2016,speeltoestel,6-12 jaar,215 cm,speelvoorziening,Vogelnestschommel,MULTIPOINT ((171915.977 508746.743))
O10002_Speelobjecten_OD.47,2008,speeltoestel,6-12 jaar,215 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((172440.955 508878.603))
O10002_Speelobjecten_OD.48,2003,speeltoestel,0-6 jaar,12 cm,speelvoorziening,Zandbak,MULTIPOINT ((171919.737 509216.926))
O10002_Speelobjecten_OD.49,2005,speeltoestel,6-12 jaar,125 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((172136.135 509227.816))
O10002_Speelobjecten_OD.50,2008,speeltoestel,6-12 jaar,98 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((172573.339 508703.355))
O10002_Speelobjecten_OD.51,2002,speeltoestel,0-6 jaar,40 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((171882.793 509189.733))
O10002_Speelobjecten_OD.52,2011,speeltoestel,Niet ingevuld,Niet ingevuld,speelvoorziening,Fantasiespeelstruc.,MULTIPOINT ((172245.108 509532.267))
O10002_Speelobjecten_OD.53,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((172071.237 509593.606))
O10002_Speelobjecten_OD.54,2011,speeltoestel,6-12 jaar,220 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((172359.072 508417.372))
O10002_Speelobjecten_OD.55,2011,speeltoestel,0-6 jaar,Niet ingevuld,speelvoorziening,Combinatietoestel,MULTIPOINT ((172537.657 509143.414))
O10002_Speelobjecten_OD.56,2010,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Combinatietoestel,MULTIPOINT ((172765.18 508777.338))
O10002_Speelobjecten_OD.57,2010,speeltoestel,0-6 jaar,130 cm,speelvoorziening,Schommel,MULTIPOINT ((172622.879 508566.619))
O10002_Speelobjecten_OD.58,2007,speeltoestel,0-6 jaar,50 cm,speelvoorziening,Veertoestel,MULTIPOINT ((172622.3 508562.128))
O10002_Speelobjecten_OD.59,2014,speeltoestel,12-18 jaar,Niet ingevuld,speelvoorziening,Skatetoestel,MULTIPOINT ((172147.884 509191.76))
O10002_Speelobjecten_OD.60,2008,speeltoestel,0-6 jaar,40 cm,speelvoorziening,Veertoestel,MULTIPOINT ((172576.503 508708.053))
O10002_Speelobjecten_OD.61,2011,speeltoestel,0-6 jaar,55 cm,speelvoorziening,Stappalen,MULTIPOINT ((172364.31 508409.277))
O10002_Speelobjecten_OD.62,2011,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Schommel,MULTIPOINT ((172380.786 508403.658))
O10002_Speelobjecten_OD.63,2010,speeltoestel,0-6 jaar,144 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((172631.283 508562.925))
O10002_Speelobjecten_OD.64,2011,speeltoestel,0-6 jaar,52 cm,speelvoorziening,Speelhuisje,MULTIPOINT ((177939.312 503649.655))
O10002_Speelobjecten_OD.65,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Duikeltoestel,MULTIPOINT ((178344.123 503699.399))
O10002_Speelobjecten_OD.66,2001,speeltoestel,6-12 jaar,90 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((178138.751 503677.809))
O10002_Speelobjecten_OD.67,2008,speeltoestel,6-12 jaar,126 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((178019.085 503774.254))
O10002_Speelobjecten_OD.68,1999,speeltoestel,0-6 jaar,40 cm,speelvoorziening,Zandbak,MULTIPOINT ((177941.095 503635.741))
O10002_Speelobjecten_OD.69,2011,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Bokspringpaal,MULTIPOINT ((177963.08 503693.263))
O10002_Speelobjecten_OD.70,2006,speeltoestel,0-6 jaar,54 cm,speelvoorziening,Veertoestel,MULTIPOINT ((178037.295 503372.77))
O10002_Speelobjecten_OD.71,2012,speeltoestel,6-12 jaar,55 cm,speelvoorziening,Trimparcours,MULTIPOINT ((178310.865 503467.7))
O10002_Speelobjecten_OD.72,2011,speeltoestel,6-12 jaar,230 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((177952.265 503685.951))
O10002_Speelobjecten_OD.73,2011,speeltoestel,0-6 jaar,142 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((177941.53 503661.192))
O10002_Speelobjecten_OD.74,2004,speeltoestel,6-12 jaar,131 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((176201.455 505207.301))
O10002_Speelobjecten_OD.75,2010,speeltoestel,6-12 jaar,220 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((176762.167 504762.003))
O10002_Speelobjecten_OD.76,2013,speeltoestel,6-12 jaar,100 cm,speelvoorziening,Kabelbaan,MULTIPOINT ((176364.76 496065.936))
O10002_Speelobjecten_OD.77,2013,speeltoestel,0-6 jaar,Niet ingevuld,speelvoorziening,Fantasiespeelstruc.,MULTIPOINT ((176344.123 496081.083))
O10002_Speelobjecten_OD.78,2013,speeltoestel,0-6 jaar,40 cm,speelvoorziening,Klimelement,MULTIPOINT ((176365.396 496075.633))
O10002_Speelobjecten_OD.79,2013,speeltoestel,0-6 jaar,60 cm,speelvoorziening,Zandbak,MULTIPOINT ((175716.23 496595.212))
O10002_Speelobjecten_OD.80,2013,speeltoestel,6-12 jaar,50 cm,speelvoorziening,Speelprikkels,MULTIPOINT ((175658.659 496535.405))
O10002_Speelobjecten_OD.81,2010,speeltoestel,6-12 jaar,168 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((175639.884 496273.751))
O10002_Speelobjecten_OD.82,2012,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((175957.867 496285.507))
O10002_Speelobjecten_OD.83,2008,speeltoestel,6-12 jaar,150 cm,speelvoorziening,Vogelnestschommel,MULTIPOINT ((176126.543 495782.084))
O10002_Speelobjecten_OD.84,2007,speeltoestel,0-6 jaar,96 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((175553.136 495970.055))
O10002_Speelobjecten_OD.85,2011,speeltoestel,0-6 jaar,37 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((175853.294 496130.607))
O10002_Speelobjecten_OD.86,2011,speeltoestel,0-6 jaar,37 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((175848.878 496126.939))
O10002_Speelobjecten_OD.87,2008,speeltoestel,0-6 jaar,150 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((176112.829 495789.98))
O10002_Speelobjecten_OD.88,2008,speeltoestel,6-12 jaar,120 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((175832.728 495902.966))
O10002_Speelobjecten_OD.89,2008,speeltoestel,6-12 jaar,100 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((176133.397 495792.539))
O10002_Speelobjecten_OD.90,2012,speeltoestel,0-6 jaar,46 cm,speelvoorziening,Veertoestel,MULTIPOINT ((175953.59 496284.568))
O10002_Speelobjecten_OD.91,2011,speeltoestel,6-12 jaar,100 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((175844.162 496129.783))
O10002_Speelobjecten_OD.92,2004,speeltoestel,12-18 jaar,120 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((177686.353 502726.272))
O10002_Speelobjecten_OD.93,2011,speeltoestel,6-12 jaar,150 cm,speelvoorziening,Schommel,MULTIPOINT ((177767.627 502753.092))
O10002_Speelobjecten_OD.94,2008,speeltoestel,6-12 jaar,115 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((176131.605 505275.518))
O10002_Speelobjecten_OD.95,2004,speeltoestel,6-12 jaar,60 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((176342.802 505263.721))
O10002_Speelobjecten_OD.96,2005,speeltoestel,6-12 jaar,34 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((176724.829 505157.918))
O10002_Speelobjecten_OD.97,2010,speeltoestel,0-6 jaar,0 cm,speelvoorziening,Speelprikkels,MULTIPOINT ((176454.459 504901.233))
O10002_Speelobjecten_OD.98,2004,speeltoestel,6-12 jaar,130 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((175958.342 505174.837))
O10002_Speelobjecten_OD.99,2004,speeltoestel,6-12 jaar,96 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((176196.212 505210.641))
O10002_Speelobjecten_OD.100,2010,speeltoestel,6-12 jaar,60 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((176450.259 504904.558))
O10002_Speelobjecten_OD.101,2008,speeltoestel,6-12 jaar,55 cm,speelvoorziening,Draaiveertoestel,MULTIPOINT ((176120.408 505266.596))
O10002_Speelobjecten_OD.102,2004,speeltoestel,0-6 jaar,85 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((175957.667 505182.75))
O10002_Speelobjecten_OD.103,2010,speeltoestel,0-6 jaar,120 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((176451.834 504898.025))
O10002_Speelobjecten_OD.104,2005,speeltoestel,6-12 jaar,61 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((176731.237 505157.324))
O10002_Speelobjecten_OD.105,2004,speeltoestel,6-12 jaar,200 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((175946.993 505179.315))
O10002_Speelobjecten_OD.106,2015,speeltoestel,0-6 jaar,120 cm,speelvoorziening,Fantasiespeelstruc.,MULTIPOINT ((175962.145 505172.69))
O10002_Speelobjecten_OD.107,2008,speeltoestel,0-6 jaar,48 cm,speelvoorziening,Veertoestel,MULTIPOINT ((176352.039 505259.471))
O10002_Speelobjecten_OD.108,2004,speeltoestel,6-12 jaar,146 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((176198.231 505201.774))
O10002_Speelobjecten_OD.109,2008,speeltoestel,6-12 jaar,70 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((176117.009 505260.671))
O10002_Speelobjecten_OD.110,2010,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Klimtoestel,MULTIPOINT ((176349.854 505251.711))
O10002_Speelobjecten_OD.111,2005,speeltoestel,6-12 jaar,81 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((176726.157 505164.326))
O10002_Speelobjecten_OD.112,2004,speeltoestel,6-12 jaar,50 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((176344.753 505259.688))
O10002_Speelobjecten_OD.113,2010,speeltoestel,6-12 jaar,200 cm,speelvoorziening,Glijbaan,MULTIPOINT ((176667.31 505158.087))
O10002_Speelobjecten_OD.114,2004,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Schommel,MULTIPOINT ((176191.337 505205.699))
O10002_Speelobjecten_OD.115,2004,speeltoestel,6-12 jaar,126 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((176356.809 505255.221))
O10002_Speelobjecten_OD.116,2010,speeltoestel,6-12 jaar,36 cm,speelvoorziening,Stappalen,MULTIPOINT ((176771.403 504767.275))
O10002_Speelobjecten_OD.117,2005,speeltoestel,6-12 jaar,80 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((176734.52 505160.919))
O10002_Speelobjecten_OD.118,2008,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Draaitoestel,MULTIPOINT ((176390.021 504697.38))
O10002_Speelobjecten_OD.119,2010,speeltoestel,6-12 jaar,125 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((176763.606 504766.699))
O10002_Speelobjecten_OD.120,2010,speeltoestel,0-6 jaar,0 cm,speelvoorziening,Speelprikkels,MULTIPOINT ((176455.451 504903.683))
O10002_Speelobjecten_OD.121,2008,speeltoestel,6-12 jaar,43 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((176125.113 505271.324))
O10002_Speelobjecten_OD.122,2011,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Vogelnestschommel,MULTIPOINT ((174964.377 505655.753))
O10002_Speelobjecten_OD.123,2010,speeltoestel,6-12 jaar,200 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((175334.688 505581.074))
O10002_Speelobjecten_OD.124,2011,speeltoestel,6-12 jaar,30 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((175709.087 504769.82))
O10002_Speelobjecten_OD.125,2009,speeltoestel,0-6 jaar,70 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((175563.1 505120.443))
O10002_Speelobjecten_OD.126,2009,speeltoestel,0-6 jaar,42 cm,speelvoorziening,Stappalen,MULTIPOINT ((175555.071 505122.776))
O10002_Speelobjecten_OD.127,2012,speeltoestel,6-12 jaar,120 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((175794.018 505297.249))
O10002_Speelobjecten_OD.128,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Duikeltoestel,MULTIPOINT ((177793.497 503125.355))
O10002_Speelobjecten_OD.129,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Schommel,MULTIPOINT ((177786.091 503123.923))
O10002_Speelobjecten_OD.130,2005,speeltoestel,6-12 jaar,130 cm,speelvoorziening,Kabelbaan,MULTIPOINT ((177844.234 503322.815))
O10002_Speelobjecten_OD.131,2016,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((177823.633 502745.801))
O10002_Speelobjecten_OD.132,2011,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Speelprikkels,MULTIPOINT ((177817.532 502806.711))
O10002_Speelobjecten_OD.133,2022,speeltoestel,6-12 jaar,130 cm,speelvoorziening,Schommel,MULTIPOINT ((175549.926 495968.009))
O10002_Speelobjecten_OD.134,2008,speeltoestel,0-6 jaar,46 cm,speelvoorziening,Veertoestel,MULTIPOINT ((175555.788 495968.588))
O10002_Speelobjecten_OD.135,2011,speeltoestel,6-12 jaar,39 cm,speelvoorziening,Speelprikkels,MULTIPOINT ((176256.371 496530.668))
O10002_Speelobjecten_OD.136,2004,speeltoestel,12-18 jaar,91 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((175387.147 496123.308))
O10002_Speelobjecten_OD.137,2011,speeltoestel,6-12 jaar,120 cm,speelvoorziening,Schommel,MULTIPOINT ((175852.471 496135.921))
O10002_Speelobjecten_OD.138,2008,speeltoestel,0-6 jaar,40 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((176115.313 495792.268))
O10002_Speelobjecten_OD.139,2010,speeltoestel,0-6 jaar,200 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((176169.943 496037.178))
O10002_Speelobjecten_OD.140,2010,speeltoestel,6-12 jaar,90 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((176171.498 496046.178))
O10002_Speelobjecten_OD.141,2007,speeltoestel,6-12 jaar,150 cm,speelvoorziening,Kabelbaan,MULTIPOINT ((176264.662 496304.222))
O10002_Speelobjecten_OD.142,2010,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Schommel,MULTIPOINT ((175634.624 496283.483))
O10002_Speelobjecten_OD.143,2011,speeltoestel,6-12 jaar,143 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((175860.031 496130.831))
O10002_Speelobjecten_OD.144,2008,speeltoestel,0-6 jaar,45 cm,speelvoorziening,Veertoestel,MULTIPOINT ((175831.386 495916.658))
O10002_Speelobjecten_OD.145,2011,speeltoestel,6-12 jaar,60 cm,speelvoorziening,Trimparcours,MULTIPOINT ((178234.202 504688.63))
O10002_Speelobjecten_OD.146,2012,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Glijbaan,MULTIPOINT ((177937.048 504382.598))
O10002_Speelobjecten_OD.147,2001,speeltoestel,0-6 jaar,Niet ingevuld,speelvoorziening,Fantasiespeelstruc.,MULTIPOINT ((177778.254 504256.932))
O10002_Speelobjecten_OD.148,1999,speeltoestel,0-6 jaar,80 cm,speelvoorziening,Zandbak,MULTIPOINT ((177928.889 504385.974))
O10002_Speelobjecten_OD.149,2011,speeltoestel,6-12 jaar,35 cm,speelvoorziening,Trimparcours,MULTIPOINT ((178208.297 504694.059))
O10002_Speelobjecten_OD.150,2011,speeltoestel,6-12 jaar,50 cm,speelvoorziening,Trimparcours,MULTIPOINT ((178220.488 504699.392))
O10002_Speelobjecten_OD.151,2011,speeltoestel,6-12 jaar,45 cm,speelvoorziening,Trimparcours,MULTIPOINT ((178226.773 504698.345))
O10002_Speelobjecten_OD.152,2012,speeltoestel,6-12 jaar,250 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((177963.002 504405.176))
O10002_Speelobjecten_OD.153,2003,speeltoestel,0-6 jaar,25 cm,speelvoorziening,Zandbak,MULTIPOINT ((177860.473 504268.939))
O10002_Speelobjecten_OD.154,2001,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Fantasiespeelstruc.,MULTIPOINT ((177774.519 504265.69))
O10002_Speelobjecten_OD.155,2011,speeltoestel,6-12 jaar,60 cm,speelvoorziening,Trimparcours,MULTIPOINT ((178181.059 504709.869))
O10002_Speelobjecten_OD.156,2011,speeltoestel,6-12 jaar,54 cm,speelvoorziening,Trimparcours,MULTIPOINT ((178189.44 504708.916))
O10002_Speelobjecten_OD.157,2011,speeltoestel,6-12 jaar,190 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((177893.357 504722.754))
O10002_Speelobjecten_OD.158,2012,speeltoestel,6-12 jaar,30 cm,speelvoorziening,Bokspringpaal,MULTIPOINT ((178023.288 504398.6))
O10002_Speelobjecten_OD.159,2012,speeltoestel,6-12 jaar,150 cm,speelvoorziening,Schommel,MULTIPOINT ((177933.684 504403.908))
O10002_Speelobjecten_OD.160,2011,speeltoestel,6-12 jaar,35 cm,speelvoorziening,Trimparcours,MULTIPOINT ((178164.964 504709.678))
O10002_Speelobjecten_OD.161,2012,speeltoestel,6-12 jaar,50 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((178022.212 504392.902))
O10002_Speelobjecten_OD.162,2012,speeltoestel,6-12 jaar,52 cm,speelvoorziening,Stappalen,MULTIPOINT ((177955.675 504387.964))
O10002_Speelobjecten_OD.163,2011,speeltoestel,0-6 jaar,41 cm,speelvoorziening,Veertoestel,MULTIPOINT ((177896.417 504720.359))
O10002_Speelobjecten_OD.164,2012,speeltoestel,6-12 jaar,200 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((177743.099 504284.599))
O10002_Speelobjecten_OD.165,2011,speeltoestel,6-12 jaar,275 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((178014.041 504684.037))
O10002_Speelobjecten_OD.166,2008,speeltoestel,6-12 jaar,60 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((177245.423 503116.151))
O10002_Speelobjecten_OD.167,2010,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Skatetoestel,MULTIPOINT ((176477.343 503084.648))
O10002_Speelobjecten_OD.168,2001,speeltoestel,0-6 jaar,31 cm,speelvoorziening,Zandbak,MULTIPOINT ((176528.89 503118.144))
O10002_Speelobjecten_OD.169,2012,speeltoestel,6-12 jaar,187 cm,speelvoorziening,Ruimtenet,MULTIPOINT ((176095.227 502930.032))
O10002_Speelobjecten_OD.170,2010,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Skatetoestel,MULTIPOINT ((176471.581 503084.229))
O10002_Speelobjecten_OD.171,2008,speeltoestel,0-6 jaar,40 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((176901.258 502979.164))
O10002_Speelobjecten_OD.172,2008,speeltoestel,6-12 jaar,145 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((176893.695 502973.323))
O10002_Speelobjecten_OD.173,2009,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((177440.932 503877.509))
O10002_Speelobjecten_OD.174,2009,speeltoestel,6-12 jaar,40 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((177435.458 503853.953))
O10002_Speelobjecten_OD.175,2012,speeltoestel,6-12 jaar,0 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((175784.849 503379.58))
O10002_Speelobjecten_OD.176,2008,speeltoestel,6-12 jaar,135 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((176984.241 502734.437))
O10002_Speelobjecten_OD.177,2009,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Vogelnestschommel,MULTIPOINT ((177437.956 503867.687))
O10002_Speelobjecten_OD.178,2008,speeltoestel,0-6 jaar,75 cm,speelvoorziening,Bokspringpaal,MULTIPOINT ((176996.618 502742.652))
