;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
Better Places International B.V.;;;;1;1
Bigoli;;;;1;1
Bisnez Management B.V.;;;1;;1
BKFF bas kijzers fotografie en film;;;1;1;1
Blauw Research B.V.;;;;3;3
Blommestijn;;;;1;1
BloomingData;;;1;;1
Bobbe International B.V.;4;;;;4
Boca Systems Europe B.V.;;;;1;1
Boekhandel Het Verboden Rijk;1;;;;1
Boom uitgevers Amsterdam B.V.;1;;;;1
Boom uitgevers Den Haag;6;;;;6
Borgerpark Media V.O.F.;1;;;;1
Boudewijn European Affairs;;;1;;1
Bourgonje Geluid- en Lichtservice B.V.;;;2;2;2
Bronsheim Music;1;;;;1
Bureau Zuidema B.V.;;;1;;1
CafÃ© Restaurant Rootz B.V.;;;1;;1
CAJA Media;;;;1;1
Calumet Photographic B.V.;;;;3;3
Captains;;;;2;2
Cargonaut Nederland B.V.;;;;1;1
Carlton Ambassador Hotel B.V.;;;1;;1
Catch;1;;;;1
CE Delft;;;2;;2
Centoanni B.V.;;;1;;1
Centrum Hoger Onderwijs Informatie B.V.;;;;1;1
Cialona Expo B.V.;;;;2;2
Cifra Media;;;;1;1
Cine Meta Digital B.V.;;;;1;1
Clarity Creator;;;;1;1
Clou, voor Marketing, Informatie en Research;1;;;;1
Cloud 365 BV;;;;1;1
Coach in' Company;;;2;;2
Comic House;;;;1;1
Commedia Consult;;;1;;1
Communicatie Bureau Podium B.V.;;;;2;2
Company Webcast B.V.;;;;4;4
Company.Info B.V.;4;;;;4
COMPAREX Nederland B.V.;;;;1;1
Con4RM;;;1;;1
Conduite;;;2;;2
Conrad Electronic Benelux B.V.;;;1;;1
Contrelex;;;1;;1
Coolblue B.V.;;;;1;1
Cracco;;;;1;1
Creative Soup;;;;1;1
D. Monica;;;1;;1
D.C. Houbolt;1;;;;1
Dafne van Baarle;;;1;;1
Dandies and Dudes;;;;1;1
Danielle Kelder Teksten & Vertaling;;;;1;1
Davilex Software B.V.;;;;1;1
De Booij Party- en Congresarchitekten;;;;1;1
De Drukkerij B.V.;1;;;;1
De Graaf Communicatie;;;;1;1
De Hosting Makelaar B.V.;;;;2;2
De Issuemakers BV;;;;3;3
De Nieuwe Pelgrim;;;1;;1
de Persgroep Nederland B.V.;2;;;;2
De Podium Groep B.V.;;;;2;2
De Resolutie Rijswijk B.V.;;;;1;1
De Winter Information Solutions;;;;1;1
De Woordenwisseling;;;;1;1
Decisive Facts B.V.;;;1;;1
Dedicon B.V.;2;;;;2
Deducet;;;1;;1
Denksport;1;;;;1
Dijkgraaf Strategisch Advies B.V.;;;1;;1
Dog Training Dick Staal;2;;;;2
Donatello Piras;;;1;;1
Don't be Shy;;;;1;1
DPI Animation House B.V.;;;;4;4
DPS (Digital Photo Systems) B.V.;;;;1;1
Drukkerij De Ballonnerie B.V.;;;;1;1
Dubbel E. Acteerservice B.V.;;;1;;1
Duo Market Research B.V.;;;;1;1
Dutch Climate Projects;;;1;;1
Dutch Clutch Media B.V.;;;;1;1
Dutchital Media B.V.;;;;1;1
e-Conomics;;;1;;1
EDG Educatie Distributie BV;1;;;;1
EDG Educatieve Distributie B.V.;;;;4;4
Educatie Support BV;1;;;;1
Eisma Bouwmedia B.V.;1;;;;1
Elma Media B.V.;;;;1;1
Elsevier Business Information;4;;;;4
EM-Cultuur B.V.;;;;1;1
Emerce B.V.;1;;;;1
EMMA Communicatie B.V.;;;;2;2
Energeia B.V.;3;;;;3
ENTERTAIN-ME;;;;1;1
Ergo B.V.;;;;2;2
Eric Fecken Fotografie;;;;1;1
ESB B.V.;2;;;;2
Euroforum;1;;;1;1
Evite Services B.V.;;;1;;1
EWP Nordic;3;;;;3
Extend Limits B.V.;;;1;;1
F&L Media B.V.;1;;;;1
F&L Media Life B.V.;1;;;;1
Facilicom Solutions B.V.;;;;1;1
Favier A.V.;;;;1;1
FD Mediagroep B.V.;6;;;;6
FD/IP Nederland B.V.;2;;;;2
FEMDiplo;;;1;;1
Fiducio Beheer;;;1;;1
FIRST Maastricht;;;;1;1
Flash Rental Services B.V.;;;1;;1
FlyermanNL B.V.;;;;1;1
Follow The Money B.V.;;;;1;1
Forrester Research B.V.;5;;;;5
Fotografie : Paul Voorham;;;;1;1
Fox-IT;;;2;;2
Frabema B.V.;;;;1;1
Freese Arbeidsmarktonderzoek;;;1;;1
Freutel & Van de Wiel Artworks;;;;1;1
Frontwise;;;;1;1
Futureconsult B.V.;;;;2;2
General Promotions;1;;;;1
GERJORLEN International B.V.;2;;;;2
Gerser Media;;;;1;1
get the laugh flow;;;1;;1
Gouw uitgevers B.V.;1;;;;1
Graydon Nederland B.V.;2;;;;2
Gunfactor 10;;;;1;1
H.R. Guest Fotografie;;;1;1;1
Haags Historisch Museum;;;;1;1
Hamled;;;1;;1
Hans de Bruijn Training & Advies;;;1;;1
Hans Roggen Fotografie;;;;1;1
Happy Copy B.V.;;;;1;1
HC Producties;;;;1;1
Hein Dop Unlimited;;;1;;1
Het Financieele Dagblad B.V.;5;;;;5
Het Stormt B.V.;;;;1;1
hetfotomoment.nl;;;;1;1
Hi Brilliance;;;2;;2
Hilde Speet;;;;1;1
Hoezo Proj.manag. & Congresorganisatie B.V.;;;;1;1
Hofje van Pauw: praktijk voor haptonomie;;;;1;1
Hogrefe Uitgevers B.V.;2;;;;2
Hollandse Hoogte B.V.;;;;1;1
Homepage (Internet Sites);;;;1;1
Hotel Contact B.V.;;;3;1;3
House of Lords B.V.;;;2;;2
Houser Advies;;;1;;1
I.B.I. Intercultural Bus. Improvement B.V.;;;1;;1
Iacom;;;;1;1
Imageselect B.V.;;;;1;1
in60seconds B.V.;;;;2;2
In'funancials B.V.;2;;;;2
Inscene Company B.V.;;;1;;1
Inside Media;;;;1;1
Interplay B.V.;1;;;;1
INTK B.V.;;;;1;1
i-POS.nl B.V.;;1;;;1
ISM Computer Graphics;;;;1;1
JD Knowledge B.V.;1;;;;1
Jesse Creations;1;;;;1
JKS B.V.;;;1;1;1
Job Boersma Producties;;;2;;2
Josje Deekens Fotografie;;;;1;1
Kamera Express;;;;2;2
Kapitein Xpand Trainingen;;;2;;2
Keesing Reference Systems B.V.;1;;;;1
Kèk Media;;;;1;1
Kerckebosch Holding B.V.;1;;;;1
Kessels & Smit, the Learning Company B.V.;2;;;;2
Kesselskramer;;;;5;5
Kevin Somers Events;;;;1;1
Kick Smeets Fotografie;;;;1;1
Klimbie Public Affairs;;;1;;1
Kloosterhof Neer B.V.;1;;;;1
Koninklijke Rijnja B.V.;;;1;;1
KPMG N.V.;;;1;;1
Kriekenbeek Communicatie;;;;1;1
Krista Izelaar;;;;1;1
Kriton Learning B.V.;;;1;;1
Kronenburg Promotie & Begeleiding B.V.;;;1;2;2
KSG Trainers & Consultants;;;3;;3
Kuijpers t.h.o.d.n. Run2Day Den Haag;;;1;;1
Kyrgyz Forum Limited Liability Compabu;;;;1;1
L.W. van der Lee;;;;1;1
Leeuwendaal Advies B.V.;;;1;;1
Leo van de Wouw Regisseur/Programmamaker;;;;2;2
LessonUp B.V.;;;;1;1
Lettow Studios;;;;2;2
Lexicon Trainingen;;;;1;1
LexisNexis Benelux;7;;;;7
Leya Traductions;;;1;;1
Lianne Concepts, Events, Sales;;;2;;2
Licent Fiscale en Juridische Uitgevers B.V.;1;;;;1
LinQuake B.V.;;;;1;1
Livewords;;;;1;1
Loyals Online B.V.;;;;2;2
LRS Solutions B.V.;;;;1;1
LucaNocti;;;;1;1
M. Shahran;;;1;;1
M.M. de Jonge Coaching en Mediation;;;1;;1
Maatschap voor Communicatie;;;;3;3
Madlé Design;;;;2;2
Mainpress B.V.;6;;;;6
Manutan B.V.;;;;1;1
Marcel Israel Fotografie;;;;1;1
Marjon van den Broek Visagie;;;;1;1
Mark Mieras journalistiek;;;;1;1
Marketingman;;;;1;1
Marketresponse Nederland B.V.;;;;2;2
Martijn Beekman Fotografie;;;;1;1
Marvel, The Databadge Company B.V.;;;;1;1
Max;;;;3;3
Maximum Alliances B.V.;;;;5;5
Maxlead Services B.V.;;;;1;1
Media Groep Limburg B.V.;1;;;;1
Media Info Groep B.V.;;;;1;1
Medialijn B.V.;;;;1;1
Medical Workshop B.V.;1;;;;1
MeeÃ¹s AssurantiÃ«n B.V.;;;1;;1
Meere reclamemakers;;;;1;1
Meetingselect B.V.;;;;2;2
Melissa;;;;1;1
Mendes Paint;;;;1;1
MEVIN grafisch ontwerp;;;;1;1
Million Miles Media & Entertainment;;;;1;1
Minderman Research;;;1;;1
Misset Uitgeverij;1;;;;1
MOCuitgevers BV.;1;;;;1
Monday.com Ltd;;;;1;1
Monique Mosies Artdirector;;;;1;1
MonkiWorks;;;;2;2
Moodles B.V.;;;;1;1
Motif concept & design;;;;2;2
Motivaction International B.V.;;;;2;2
Multi-Voice Internationaal Stemmenburo B.V.;;;;1;1
Munckhof Reizen B.V.;;;1;1;1
Museum Catering B.V.;;;1;;1
Musicshopeurope;1;;;;1
MWAMMedia;1;;;;1
MWM2 / BUREAU VOOR ONLINE ONDERZOEK;;;;1;1
Nardinck Media;;;;1;1
NARIS Risk Academy B.V.;;;1;;1
Nationale Beeldbank B.V.;;;;1;1
NDC mediagroep B.V.;1;;;;1
Neon Time Holding B.V.;;;;1;1
NHG B.V.;;;;1;1
North-Holland (Publishing);6;;;;6
Novagraaf Nederland B.V.;;;;1;1
NRC Handelsblad Weekeditie voor buitenland;1;;;;1
NXTLVLLABS B.V.;;;;1;1
OECD;;;2;;2
Old Trecastle Farm;;;;1;1
Oom Holding N.V.;;;1;;1
OrganiTief;;;1;;1
OSAGE communicatie en ontwerp;;;;7;7
Otemba Films;;;;1;1
Otter Audio-Visueel;;;1;;1
OVMedia;;;;1;1
Paagman B.V.;1;;;;1
Pearson Benelux B.V.;2;;;;2
Pen Shop;1;;;;1
People & Print Group;;;;1;1
Phil Nijhuis Fotografie;;;1;1;1
Pijper Media B.V.;1;;;;1
Piktsjers;;;;1;1
Pino Evenementen & Congressen B.V.;;;;1;1
Poldervondsten B.V.;1;;;;1
portalengroep.nl;;;;1;1
Presenter B.V.;;;;1;1
Privacy Management Partners Coöperatie UA;;;1;;1
Prodoc;;;;1;1
Pro-Moois Vormgeving;;;;1;1
Quint Result Onderzoek & Advies B.V.;;;;1;1
Radicand Economics;;;1;;1
Radio Rijnmond;;;;1;1
RDMG Uitgeverij B.V.;1;;;;1
ReadSpeaker B.V.;;;;1;1
Reclamestudio Guthschmidt B.V.;;;;1;1
RedWire Media;;;;1;1
RegieZaken;;;;1;1
Rendement Uitgeverij B.V.;5;;;;5
Renée Broekmeulen Tekst & Training;;;1;;1
Reuters Nederland B.V.;;;;2;2
Rob Meerman;;;;1;1
Rodeo;;;1;;1
Roel Dijkstra Persfotografie;;;;1;1
Roorda Reclamebureau B.V.;;;;7;7
Royal Press Europe;;;;1;1
RTVmonitor,;;;;2;2
Ruud van Tuil;;;;1;1
S Dzafic;;;1;;1
S. Balci;;;1;;1
Sammen Coöperatie UA;;;;1;1
Sanoma Media Netherlands B.V.;;;;1;1
SCOPE Maastricht;;;;1;1
Sdu Uitgevers B.V.;8;;;4;8
Security Press B.V.;1;;;;1
Segment B.V.;1;;;;1
Siem Onderzoekt;;;;1;1
Sjoerd van der Hucht Fotografie;;;;1;1
Skyvision;;;;1;1
Snel-Braber Bathmen B.V.;;;;3;3
SolBeach B.V.;;;1;;1
Soundfocus B.V.;;;;1;1
Spotler Nederland B.V.;;;;1;1
Square Information Solutions B.V.;;;;1;1
Starsound Productions Exploitatie B.V.;;;;2;2
Start to Train;;;;1;1
Steam Advertising;;;;1;1
Stefan Holla Finance Solutions;1;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;1;;1
Stg. Crow, kennisplatf. infrastruct., verkeer;4;;;;4
Stg. Nat. Instituut voor Budgetvoorlichting;1;;;;1
Stg. Nederlandsch Maandblad voor Philatelie;1;;;;1
Stg. ProDemos - Huis voor dem. en rechtsstaat;;;1;;1
Sticht. Int. Belasting Documentatie Bureau;1;;;;1
Stichting ARS Aequi;3;;;;3
Stichting Dag van de Architectuur Den Haag;;;1;;1
Stichting Discussiëren Kun Je Leren;;;;2;2
Stichting Europees Instituut;;;1;;1
Stichting Hoger Beroepsonderwijs Haaglanden;;;1;;1
Stichting Instituut voor Bouwrecht;3;;;;3
Stichting Koninklijke Nederlandse Jaarbeurs;;;;1;1
Stichting Pensioenfonds ABP;;;;1;1
Stichting Reprorecht;5;;;;5
Stichting Woonwagennieuws Nederland;1;;;;1
Struttenmusic;;;;1;1
STS B.V.;1;;;;1
Studio La Meul;;;;1;1
Studio Lizix;;;;1;1
Studio Louter B.V.;;;;1;1
Studio Oostrum;;;;1;1
Studio Pastijn;;;;1;1
Studio Roodenburch;;;;1;1
Studio Vier B.V.;;;;1;1
studystore;1;;;;1
Suntana Fruits B.V.;;;2;;2
Swallow International B.V.;;;;1;1
Taalstrategie;;;;1;1
TAK H.;;;;1;1
Tante Toos Suikerloos;;;;1;1
Tek Tok;;;1;;1
The Inside B.V.;;;;1;1
The video Content Agency;;;;2;2
ThiemeMeulenhoff B.V.;1;;;;1
Tilkema Horeca B.V.;;;;1;1
Tint, Buro voor Grafische Vormgeving;;;1;2;2
TMG Landelijke Media B.V.;1;;;;1
Toeika B.V.;;;;1;1
Tonco Modderman Training & Advies;;;1;;1
Travelex N.V.;;;2;;2
Trimensy;;;1;;1
Triple Audio B.V.;;;;1;1
Trois Cannetons B.V.;;;2;;2
Tsunagari B.V.;;;;1;1
TT EC;;;1;;1
Uitgeverij De Oude Stad B.V.;1;;;;1
Uitgeverij Den Hollander B.V.;4;;;;4
Uitgeverij Kerckebosch B.V.;1;;;;1
Uitgeverij Paris B.V.;4;;;;4
Uitgeverij Verloren B.V.;1;;;;1
United Customer Service Center B.V.;4;;;;4
Universtiteit Antwerpen;;;1;;1
V.O.F. Alpina-van Houweninge & IJsselstijn;;;;1;1
V.O.F.Tars Visuele Presentatie;;;;1;1
Vakfoto Henri van der Beek;;;;1;1
Vakmedianet Assurantie B.V.;1;;;;1
Vakmedianet Food & Horeca B.V.;6;;;;6
Valerie Kuypers Fotografie;;;;1;1
VAN DER-it B.V.;;;;1;1
Van Dugteren;;;;1;1
Van Esch B.V.;;;1;;1
Van Vlier Media B.V.;;;;2;2
VCK Travel B.V.;;;4;;4
Veen media;4;;;;4
Verhuurbedrijf Paul B.V.;;;1;;1
Victor ! grafisch ontwerp;;;;1;1
Videonieuwsbericht B.V.;;;;1;1
Vocas Sales & Services B.V.;;;;1;1
Vocxo B.V.;;;;1;1
Voorraedt BV;;;;2;2
Vorm Vijf Ontwerpteam B.V.;;;;1;1
Webbridge B.V.;;;;2;2
WebHare B.V.;;;;3;3
Webmaster te huur;;;;2;2
Weustink&Partners B.V.;;;;1;1
Wiegel Art Promotion;;;;1;1
Wilma van der Leer Letterkunst & Kalligrafie;;;;1;1
Wirtz, Film & Experience Agency B.V.;;;;2;2
Wist u dat Uitgeverij;1;;;;1
Wolfram Publications;2;;;;2
Wolters Kluwer Nederland B.V.;9;;;;9
Worcflow;;;;1;1
Wouter Kurpershoek Media;;;;1;1
WOZdataBV;2;;;;2
Xerox (Nederland) B.V.;;;1;5;5
Young Professionals United;;;;1;1
Zicht op Haaglanden;1;;;;1
Zilver Personal Touch;;;1;;1
Zoom Media B.V.;;;;1;1
Zorg voor Party;;;1;;1
Eindtotaal;10;1;6;8;10
