Handelsnaam;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Holland Mast B.V.;;1;;;;1
Hollander Techniek B.V.;;1;;;;1
Hollandse Visveiling IJmuiden;;;;;1;1
Horeca Adviescentrum HTC;;1;;;;1
Hotel Baars;;;;;1;1
Hotel New York B.V.;;;;;1;1
Hotel Pillows Zwolle BV.;;;;;1;1
Hotel Prinsenhof (Groningen);;;;;1;1
Hotel restaurant Fidder (Best Western);;;;;1;1
Hotelexpl.mij. Stationsstraat Amersfoort B.V.;;;;;1;1
Hurricane Textile & Sportswear B.V.;;;;;1;1
Hydrozorg Interieurbeplanting;1;;;;;1
Iedema Projectstoffering Wateringen B.V.;;1;;;;1
Imtech Nederland B.V.;;;;;1;1
Intexso Adviesbureau B.V.;;1;;;1;1
Intrum Justitia Nederland B.V.;;;1;;;1
ISKRA ISD;;1;;;;1
J.P. van Eesteren B.V.;;5;;;5;6
Jaarbeurs Ontwikkeling B.V.;;;;;1;1
Jaspersons Vastgoed B.V.;;;;;1;1
JooSign;;1;;;;1
Joulz Infradiensten B.V.;;1;;;;1
Kaap Doorn B.V.;;;;;1;1
KABA Nederland B.V.;;1;;;;1
Kardex Systemen B.V.;;1;;;;1
Kenter;;;1;;;1
Klimarent;4;;;;;4
Klynos Nederland B.V.;;1;;;;1
Koeman Reklame;;1;;;;1
Kolpia Klimaatonderzoek B.V.;1;;;;;1
Krämer Bouw B.V.;;5;;;4;6
Kroon B.V.;;1;;;;1
Kropman Installatietechniek;;2;;;;2
Lammers & van Damme Bouw- en Onderh.bedr.;;;;2;;2
Landgoed Avegoor B.V.;;;;;1;1
Landgoed De Klinze B.V.;;;;;1;1
Le Strasbourg;;;;;2;2
Liander N.V.;;;3;;;3
Linea Recta;;;;;1;1
Logitime Nederland B.V.;;1;;;;1
Maasmond B.V.;;2;;;;2
Maasmond Leeuwarden B.V.;;2;;;2;3
Maatschap 'De Twentsche Poort';;;;;1;1
Machinefabriek-Scheepswerf Hunfeld;;;;;1;1
Manutan B.V.;;1;;;1;1
Marne Verhuur Bolsward;;;;;1;1
Math Slabbers Timmerwerken B.V.;;1;;;;1
Modern BV;;;;1;;1
Mondial Movers B.V.;;;;;1;1
Mooirivier Congreshotel B.V.;;;;;1;1
N.V. PWN Waterleidingbedrijf Noord-Holland;;;1;;;1
N.V. Waterbedrijf Groningen;;;1;;;1
N.V. Waterleidingmaatschappij Drenthe;;;1;;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;1;1
Neerlands Glas B.V.;;1;;;;1
Neopost Finance B.V.;;;;;1;1
Noorderpoortcollege;;;;;1;1
NS Vastgoed B.V.;;;;;2;2
NUON Business;;;2;;;2
Oasen N.V.;;;1;;;1
OLON;;;;;1;1
Overstag;;;;;1;1
Park Plaza Utrecht;;;;;1;1
PASS toegangssystemen B.V.;;1;;;;1
Pensioenfonds Metaal en Techniek;;;;;2;2
PHB De Combi Nijmegen B.V.;;1;;;;1
PingProperties B.V.;;;;;4;4
Plant E B.V.;;;;;4;4
POL Heteren B.V.;;;;;1;1
Pranger-Rosier Installaties B.V.;;2;;;;2
Promosana B.V.;;;;;1;1
Property FiveFour B.V.;;;;;3;3
Property-Telecom B.V.;;;1;;2;2
Protinus IT B.V.;;1;;;3;3
R.B.A. Frijlink thodn de Gelderse IJzerhandel;;1;;;1;1
Rederij Lovers B.V.;;;;;1;1
Restaurant 'Hermans Dijkstra';;;;;1;1
'Rietland';;;;;1;1
Rijwielhuis Luuk Westerkamp;;1;;;;1
RIKILT;;;;;6;6
RRS Nederland B.V.;;1;;;;1
Ruys Handelsvereniging B.V.;;1;;;;1
Sandfirden Technics B.V.;;1;;;;1
Satellietkantoor Utrecht;;1;2;;;2
Saval B.V.;;1;;;;1
Schürgers Sleutelservice V.O.F.;;1;;;;1
Seats2Meet.com International B.V.;;;;;1;1
Secumar Benelux B.V.;;1;;;1;1
Sensz B.V.;;;;;1;1
Servex Rijswijk;;;;;1;1
SHI B.V.;;1;;;;1
Shurgard Self-Storage Amersfoort;;;;;1;1
SIGHT Landscaping B.V.;;1;;;;1
Sitex Electronics B.V.;;1;;;;1
Sleutelspecialist Fa. Havekes;;1;;;;1
Smeva Koeling B.V.;;1;;;;1
Sogeti Nederland B.V.;;1;;;;1
SPIE TB Zwolle;;1;;;;1
Spiering Beveiligingstechniek;;1;;;;1
St Groninger Museum voor Stad en Lande;;;;;1;1
St.Laurentius;;;1;;2;2
Stadscafé De Observant;;;;;1;1
Stanley Security Nederland B.V.;;2;;;3;4
Staples Nederland B.V.;;1;;;;1
STB;;1;;;;1
Stedin;;;2;;;2
Stedin Meetbedrijf B.V.;;;1;;;1
Stedin Netbeheer B.V.;;;1;;;1
Steegman Elektrotechniek B.V.;;2;;;;2
Ster Airconditioning B.V.;;1;;;;1
Stichting De Hengelose Woningcorporatie;;;;;1;1
Stichting Domesta;;;1;;1;1
Stichting Dorpshuis 't Zandt (Gr.);;;;;1;1
Stichting Videma;;;1;;;1
Stichting VU;;1;;;2;2
'Stichting Woonplus Schiedam';;;;;1;1
Struweel Beheer B.V.;;;;;1;1
Syncasso Gerechtsdeurwaarders B.V.;;;1;;;1
T & G Terrein- en Groenvoorziening B.V.;;4;;;;4
T & M Systems B.V.;;1;;;;1
't Schoutenhuis B.V.;;1;;;3;3
Talis;;;;;1;1
Technisch Installatiebedrijf Bakker;;2;;;;2
Technische Unie B.V.;;1;;;;1
Theater Buitensoos;;;;;1;1
Thesis Bouw Nieuwegein B.V.;;1;;;;1
Thole Access Systems B.V.;;1;;;;1
THT Beveiligingstechniek B.V.;;1;;;2;2
TL Besparen B.V.;;1;;;;1
Top Movers Nederland B.V.;1;;;5;;5
Trigion Beveiligingstechniek B.V.;;1;;;;1
Truckparq Nieuwland;;;;;1;1
Tuin Totaal Twente;;1;;;;1
Uniglas B.V.;;1;;;;1
UTS Abbink Den Haag;;;;1;;1
Van Bergeijk Beheer BV;;;1;;1;1
Van Bon Installaties - Technisch Beheer B.V.;;;;;1;1
Van der Heide Opleidingen & Inspecties;;1;;;;1
Van der Plas Meubel en Projekt B.V.;;1;;;;1
Van der Velden Rioleringsbeheer Nijmegen B.V.;;1;;;;1
Van Dorp installaties B.V.;;2;;;;2
Van Enckevort Groothandel B.V.;;1;;;;1
Van Hoek Verhuizingen B.V.;;;;2;;2
Van Melis B.V.;;1;;;;1
Van Swinden Laboratorium;;1;;;;1
VBT Groep B.V.;;2;;;;2
Vereniging tot Behoud van Natuurmonumenten;;;;;2;2
Vereniging van Eigenaars;;;;;1;1
Vereniging van Eigenaren Trivium;;;;;1;1
Verheij Groenvoorzieningen B.V.;;1;;;;1
VG Verf en Wonen V.O.F.;;1;;;;1
Vinitex Laboratoriuminrichtingen B.V.;;1;;1;;1
Visafslag Den Oever Beheer B.V.;;;;;1;1
Visafslag Lauwersoog B.V.;;;;;1;1
Visveiling Urk;;;;;2;2
VNU Media B.V.;;1;;;;1
Voorberg Bouwkunde B.V.;;;;;1;1
Vreugdenhil Berging B.V.;;;;1;;1
Walas Projects B.V.;;;;;1;1
Westvlietbewaking B.V.;;;;;1;1
Wiko Isolatietechniek en Steigerbouw;1;;;;;1
Wildkamp B.V.;;1;;;;1
Wildthout Hotel & Restaurant;;;;;1;1
Woningstichting Rochdale;;;;;1;1
Woningstichting SWS;;;1;;1;1
Worldmeetings;;;;;4;4
Xerox (Nederland) B.V.;;1;;;1;1
Yearth B.V.;;;;;1;1
Zandfoort aan de Eem;;;;;1;1
Zeegroen;;1;;;;1
Zeehaven IJmuiden N.V.;;;1;;;1
Zeeuwse Visveiling Breskens N.V.;;;1;;;1
Zeeuwse Visveiling Vlissingen B.V.;;;;;1;1
Ziggo B.V.;;1;;;1;1
Ziggo Services B.V.;;;;;1;1
Zomers-Groningen lunch, diner & banqueting;;;;;1;1
Zuidkoop B.V.;;1;;;;1
Eindtotaal;4;7;7;5;8;8
