FID,omschr,aant_dgk,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,vnrwol,gdb_geomattr_data,shape
doelgroepstroken_wegvak.18,Busstrook,1 -> 1,H,282353049,2021-10-01T00:00:00,51,86,028235304920211001,KLK0008047254,L,I,2,,"LINESTRING (141187.46389999986 476996.8894999996, 141189.5203000009 476997.76000000164, 141196.6689000018 476999.87970000133, 141201.51399999857 477000.58879999816, 141208.09149999917 477000.8137000017, 141213.01159999892 477000.3590000011, 141220.11829999834 476998.78079999983, 141221.629900001 476998.2215999998)"
doelgroepstroken_wegvak.19,Busstrook,1 -> 1,H,600405365,2021-10-01T00:00:00,0,4,060040536520211001,KLK0008046773,L,I,3,,"LINESTRING (127740.31199999899 483539.63489999995, 127736.93930000067 483541.78539999947)"
doelgroepstroken_wegvak.20,Busstrook,1 -> 1,H,282353049,2021-10-01T00:00:00,86,197,028235304920211001,KLK0008047253,L,I,3,,"LINESTRING (141221.629900001 476998.2215999998, 141224.7954000011 476997.0507000014, 141231.36360000074 476993.5562000014, 141235.37950000167 476990.6986999996, 141238.8786999993 476987.62779999897, 141242.34600000083 476984.0137999989, 141246.14829999954 476979.3531000018, 141248.9576999992 476975.42660000175, 141251.6079000011 476971.18560000136, 141254.29410000145 476966.2137000002, 141256.43100000173 476961.7699000016, 141258.36320000142 476957.1583000012, 141259.7848000005 476953.26850000024, 141255.1656000018 476903.34270000085)"
doelgroepstroken_wegvak.21,Busstrook,1 -> 1,H,255367026,2021-10-01T00:00:00,134,225,025536702620211001,KLK0008046796,R,I,4,,"LINESTRING (127771.57730000094 483403.3000999987, 127779.50600000098 483394.8158, 127786.58729999885 483387.74240000173, 127793.86430000141 483380.882100001, 127798.59690000117 483376.62680000067, 127839.15700000152 483343.09600000083)"
doelgroepstroken_wegvak.22,Busstrook,1 -> 1,H,211346008,2022-02-01T00:00:00,0,737,021134600820220201,KLK0008064608,L,I,8,,"LINESTRING (105668.35069999844 473222.2776999995, 105759.39139999822 473324.16789999977, 106160.39919999987 473771.4895000011)"
doelgroepstroken_wegvak.23,Busstrook,1 -> 1,H,173228011,2021-10-01T00:00:00,2245,2281,017322801120211001,KLK0008065717,L,I,4,,"LINESTRING (87473.04259999841 416172.85130000114, 87476.34849999845 416183.49720000103, 87483.5075000003 416207.52600000054)"
doelgroepstroken_wegvak.24,Busstrook,1 -> 1,H,174232004,2021-10-01T00:00:00,0,456,017423200420211001,KLK0008065716,L,I,4,,"LINESTRING (87499.12579999864 416263.5403999984, 87503.99769999832 416282.92990000173, 87513.28020000085 416321.84230000153, 87521.3359999992 416358.2479999997, 87525.29179999977 416377.8533000015, 87532.53779999912 416417.20219999924, 87535.89669999853 416436.9316000007, 87540.81949999928 416468.4015999995, 87543.61630000174 416488.2054999992, 87548.68569999933 416527.88390000165, 87552.50230000168 416561.3011999987, 87554.45320000127 416581.21169999987, 87557.7798999995 416621.07499999925, 87564.70839999989 416714.47019999847)"
doelgroepstroken_wegvak.25,Busstrook,1 -> 1,H,600105970,2021-10-01T00:00:00,0,78,060010597020211001,KLK0008065715,R,I,4,,"LINESTRING (87507.6895999983 416349.62519999966, 87503.40419999883 416330.1033000015, 87498.90320000052 416310.61510000005, 87494.20589999855 416291.17449999973, 87489.78959999979 416273.71229999885)"
doelgroepstroken_wegvak.26,Busstrook,1 -> 1,H,339523010,2021-10-01T00:00:00,0,61,033952301020211001,KLK0008071971,R,I,4,,"LINESTRING (169786.14660000056 561628.1556000002, 169845.6812000014 561614.8654000014)"
doelgroepstroken_wegvak.27,Busstrook,1 -> 1,H,339523010,2021-10-01T00:00:00,172,213,033952301020211001,KLK0008071975,R,I,4,,"LINESTRING (169954.01469999924 561590.6816000007, 169993.56120000035 561581.8533999994)"
doelgroepstroken_wegvak.28,Busstrook,1 -> 1,H,600139470,2021-10-01T00:00:00,0,295,060013947020211001,KLK0008071976,L,I,4,,"LINESTRING (170123.75 561573.5577000007, 169835.78350000083 561637.9890000001)"
doelgroepstroken_wegvak.29,Busstrook,1 -> 1,T,600125990,2021-10-01T00:00:00,301,479,060012599020211001,KLK0008079624,L,I,1,,"LINESTRING (128788.45069999993 483071.4989, 128783.83049999923 483069.9787000008, 128762.42179999873 483061.5025999993, 128753.87240000069 483056.3081, 128743.69240000099 483049.4670000002, 128735.72019999847 483043.4301000014, 128723.26440000162 483033.5164999999, 128718.65459999815 483030.3737999983, 128714.2137000002 483028.28770000115, 128708.10300000012 483026.7072999999, 128703.42399999872 483026.2798999995, 128698.92830000073 483026.441300001, 128694.15790000185 483027.3407999985, 128690.17509999871 483028.63800000027, 128685.87480000034 483030.74920000136, 128682.06670000032 483033.3658999987, 128678.72830000147 483036.4261999987, 128672.61659999937 483044.8794, 128669.6436999999 483057.0318999998, 128671.3227000013 483069.0406000018, 128675.2201000005 483077.7501000017, 128678.4149999991 483085.5689999983)"
doelgroepstroken_wegvak.30,Busstrook,1 -> 1,T,231361069,2021-10-01T00:00:00,39,40,023136106920211001,KLK0008080069,R,I,1,,"LINESTRING (115831.18560000136 480948.34319999814, 115830.78730000183 480949.60920000076)"
doelgroepstroken_wegvak.31,Busstrook,1 -> 1,T,600191955,2021-10-01T00:00:00,0,35,060019195520211001,KLK0008080069,R,I,1,,"LINESTRING (115830.78730000183 480949.60920000076, 115829.36510000005 480956.5405000001, 115828.74810000136 480961.5207999982, 115828.94159999862 480968.8311999999, 115829.5212999992 480973.80150000006, 115830.85139999911 480981.3577999994, 115831.45030000061 480983.71660000086)"
doelgroepstroken_wegvak.32,Busstrook,1 -> 1,T,600123873,2021-10-01T00:00:00,0,9,060012387320211001,KLK0008080047,R,I,1,,"LINESTRING (115792.77529999986 481102.34530000016, 115784.80710000172 481106.5293999985)"
doelgroepstroken_wegvak.33,Busstrook,1 -> 1,T,600225752,2021-10-01T00:00:00,30,105,060022575220211001,KLK0008081749,R,I,1,,"LINESTRING (118089.60920000076 488439.27600000054, 118090.08439999819 488454.1638999991, 118090.84789999947 488469.15040000156, 118092.24639999866 488489.1015000008, 118093.59659999982 488504.44099999964, 118094.5837999992 488513.70430000126)"
doelgroepstroken_wegvak.34,Busstrook,1 -> 1,H,600423633,2021-10-01T00:00:00,364,482,060042363320211001,KLK0008080832,L,I,5,,"LINESTRING (124735.92810000107 491267.20589999855, 124729.08769999817 491271.71660000086, 124715.70089999959 491279.78660000116, 124680.97040000185 491299.63639999926, 124677.66099999845 491301.883200001, 124632.96299999952 491324.5804999992)"
doelgroepstroken_wegvak.35,Busstrook,2 -> 2,H,600259740,2021-10-01T00:00:00,0,63,060025974020211001,KLK0008084367,L,I,6,,"LINESTRING (91910.1548999995 451566.55790000036, 91850.84519999847 451575.55799999833, 91847.86450000107 451575.9860999994)"
doelgroepstroken_wegvak.36,Busstrook,1 -> 1,T,269305053,2021-10-01T00:00:00,367,470,026930505320211001,KLK0008087926,R,I,2,,"LINESTRING (134926.4574000016 452340.24980000034, 134929.19999999925 452339.8542000018, 134944.14460000023 452338.56599999964, 134950.55600000173 452338.31859999895, 134955.65399999917 452338.3016999997, 134965.64990000054 452338.62370000035, 134979.31019999832 452339.6385000013, 134987.997299999 452340.6345000006, 134993.01199999824 452341.3916000016, 135000.64460000023 452342.94790000096, 135005.5687999986 452344.22780000046, 135015.1462999992 452347.1068999991, 135024.63529999927 452350.2670000009, 135027.7707999982 452351.3597000018)"
doelgroepstroken_wegvak.37,Busstrook,1 -> 1,H,600426752,2021-10-01T00:00:00,0,67,060042675220211001,KLK0008088839,L,I,3,,"LINESTRING (196873.69959999993 442658.71930000186, 196924.63179999962 442615.18879999965)"
doelgroepstroken_wegvak.38,Busstrook,1 -> 1,H,600426750,2021-10-01T00:00:00,31,33,060042675020211001,KLK0008088839,L,I,3,,"LINESTRING (196872.47839999944 442659.7903999984, 196873.69959999993 442658.71930000186)"
doelgroepstroken_wegvak.39,Busstrook,1 -> 1,H,600147079,2021-10-01T00:00:00,111,131,060014707920211001,KLK0008088869,R,I,2,,"LINESTRING (196809.20659999922 442418.2382000014, 196809.04569999874 442418.32389999926, 196805.00389999896 442421.50079999864, 196797.8728 442429.5993999988, 196795.22399999946 442432.4428000003)"
doelgroepstroken_wegvak.40,Busstrook,1 -> 1,H,600147079,2021-10-01T00:00:00,131,279,060014707920211001,KLK0008088870,R,I,4,,"LINESTRING (196795.22399999946 442432.4428000003, 196791.36899999902 442436.58100000024, 196782.86190000176 442446.9783000015, 196735.4140000008 442505.9376000017, 196702 442548)"
doelgroepstroken_wegvak.41,Busstrook,1 -> 1,T,269305053,2021-10-01T00:00:00,470,525,026930505320211001,KLK0008087929,R,I,3,,"LINESTRING (135027.7707999982 452351.3597000018, 135079.7349999994 452369.4690000005)"
doelgroepstroken_wegvak.42,Busstrook,1 -> 1,T,600114588,2021-10-01T00:00:00,77,253,060011458820211001,KLK0008098953,R,I,1,,"LINESTRING (97107.38230000064 434582.2905000001, 97107.00239999965 434582.366799999, 97101.7547999993 434583.58029999956, 97096.95789999887 434585.02259999886, 97092.26539999992 434586.75549999997, 97087.68070000038 434588.7553999983, 97083.72100000083 434590.70540000126, 97079.37170000002 434593.1842, 97075.1997999996 434595.94029999897, 97068.9162000008 434600.75829999894, 97065.19260000065 434604.0819000006, 97061.6345999986 434607.59970000014, 97058.29329999909 434611.3211000003, 97055.1239 434615.20380000025, 97052.03750000149 434619.4935000017, 97049.39919999987 434623.63980000094, 97046.98900000006 434628.0207000002, 97044.83139999956 434632.5425999984, 97042.97199999914 434637.01370000094, 97041.34809999913 434641.56870000064, 97039.89449999854 434646.36360000074, 97038.74309999868 434651.2292000018, 97037.96920000017 434655.99379999936, 97037.38569999859 434660.92159999907, 97037.07669999823 434665.92660000175, 97036.97890000045 434670.9364, 97038.41389999911 434689.20529999956, 97040.73200000077 434697.48429999873, 97045.3957999982 434708.4400999993, 97047.35520000011 434712.38639999926, 97050.26080000028 434721.94750000164)"
doelgroepstroken_wegvak.43,Vracht- en busstrook,1 -> 1,H,600115165,2021-10-01T00:00:00,0,3807,060011516520211001,KLK0008099935,L,I,3,,"LINESTRING (97226.21279999986 434779.75979999825, 97210.69819999859 434796.7276000008, 97200.96429999918 434807.96990000084, 97185.42550000176 434826.5386000015, 97172.89249999821 434842.1226999983, 97160.7349999994 434857.79190000147, 97145.94009999931 434877.9604000002, 97134.43710000068 434894.3346000016, 97123.26289999858 434910.92379999906, 97107.3599999994 434935.60489999875, 97097.0551000014 434952.7719999999, 97089.11769999936 434966.5214000009, 97079.36930000037 434984.03649999946, 97070.05310000107 435001.7371999994, 97061.02569999918 435019.58399999887, 97052.28500000015 435037.57559999824, 97038.19469999894 435068.6506000012, 97014.52019999921 435123.7917000018, 96982.99399999902 435197.90469999984, 96629.93039999902 436029.7221000008, 96606.7349999994 436085.05790000036, 96576.26940000057 436158.70329999924, 96538.65700000152 436251.3680999987, 96494.54619999975 436362.96709999815, 96461.20939999819 436448.7008999996, 96416.40469999984 436566.3531000018, 96409.46909999847 436585.1121000014, 96402.72890000045 436603.94299999997, 96396.27109999955 436622.8779999986, 96389.43890000135 436643.82550000027, 96383.56480000168 436662.99859999865, 96378.15439999849 436682.25879999995, 96371.16490000114 436709.8524999991, 96366.54969999939 436729.89169999957, 96362.49469999969 436749.49500000104, 96360.51819999889 436759.91530000046, 96357.09329999983 436779.6363000013, 96355.03610000014 436792.86410000175, 96352.26790000126 436812.682599999, 96349.81599999964 436832.5322000012, 96347.26729999855 436858.8924999982, 96345.79679999873 436878.84519999847, 96344.70710000023 436898.8159000017, 96343.99489999935 436918.80469999835, 96343.78139999881 436943, 96344.05620000139 436963, 96344.85680000111 436988, 96345.53860000148 437001.0229999982, 96346.9915000014 437021.000599999, 96348.74780000001 437040.9246999994, 96349.83689999953 437051.14119999856, 96352.28680000082 437071.0192000009, 96355.08029999956 437090.8231999986, 96358.93120000139 437114.19750000164, 96362.60229999945 437133.91860000044, 96366.63190000132 437153.5128000006, 96371.13159999996 437173.00019999966, 96376.08619999886 437192.3841999993, 96378.67760000005 437202.35060000047, 96384.08139999956 437221.66270000115, 96389.84970000014 437240.81280000135, 96395.98020000011 437259.8528999984, 96403.37159999833 437281.21489999816, 96410.39860000089 437299.96460000053, 96417.78860000148 437318.55139999837, 96427.54360000044 437341.5240999982, 96480.77789999917 437464.75079999864, 96495.36250000075 437499.8524999991, 96517.57840000093 437555.59690000117, 96531.99670000002 437592.9079999998, 96539.02569999918 437611.6336000003, 96550.87660000101 437644.0445000008, 96564.309799999 437681.7270999998, 96577.52479999885 437719.48580000177, 96590.20109999925 437757.4241000004, 96599.5438000001 437786.5461000018, 96605.3033999987 437805.6860000007, 96610.76689999923 437824.9283000007, 96617.22500000149 437849.1103999987, 96622.00800000131 437868.5368000008, 96626.38289999962 437888.05270000175, 96629.3498999998 437902.564100001, 96633.00829999894 437922.3159000017, 96636.34310000017 437942.03869999945, 96639.21909999847 437961.8313000016, 96641.73460000008 437981.67880000174, 96643.16209999844 437994.75510000065, 96644.96860000119 438014.75939999893, 96646.42960000038 438034.70600000024, 96647.8284999989 438061.881000001, 96648.10599999875 438081.91380000114, 96647.95459999889 438101.9530999996, 96647.5251000002 438122.00780000165, 96647.07519999892 438133.86879999936, 96645.98900000006 438153.62629999965, 96644.5802000016 438173.63280000165, 96642.8227000013 438193.58850000054, 96640.55480000004 438213.4695000015, 96637.90839999914 438233.29520000145, 96633.07779999822 438264.33260000125, 96629.76619999856 438284.08579999954, 96626.21770000085 438303.76889999956, 96618.39930000156 438344.86499999836)"
doelgroepstroken_wegvak.44,Busstrook,1 -> 1,H,195268051,2021-10-01T00:00:00,326,471,019526805120211001,KLK0008099980,R,I,6,,"LINESTRING (98132.47659999877 433958.5716999993, 98138.83579999954 433943.2628999986, 98146.11690000072 433924.6314999983, 98157.39710000157 433893.0362999998, 98163.66629999876 433874.0346000008, 98169.61809999868 433854.93879999965, 98175.14869999886 433835.7179000005, 98179.09209999815 433821.32400000095)"
doelgroepstroken_wegvak.45,Busstrook,1 -> 1,H,196267068,2022-01-01T00:00:00,0,34,019626706820220101,KLK0008099980,R,I,6,,"LINESTRING (98179.09209999815 433821.32400000095, 98187.65159999952 433788.41910000145)"
doelgroepstroken_wegvak.46,Vracht- en busstrook,1 -> 1,H,600115168,2021-10-01T00:00:00,602,2137,060011516820211001,KLK0008099935,L,I,3,,"LINESTRING (98230.30759999901 433699.32660000026, 98215.91919999942 433758.7316999994, 98206.3542000018 433797.5716000013, 98198.37669999897 433828.4926000014, 98192.97850000113 433847.7534000017, 98187.30559999868 433866.9321000017, 98181.29199999943 433886.00890000165, 98174.85520000011 433904.95910000056, 98168.71979999915 433921.8988999985, 98161.90480000153 433939.9622000009, 98154.47439999878 433958.53009999916, 98144.55350000039 433981.79239999875, 98136.31500000134 434000.03119999915, 98127.69570000097 434018.0971000008, 98118.68769999966 434035.9145000018, 98109.37310000136 434053.6420000009, 98099.71750000119 434071.1570000015, 98089.67069999874 434088.4545999989, 98083.40909999982 434098.8335000016, 98072.82400000095 434115.8550999984, 98061.16550000012 434133.74329999834, 98049.88589999825 434150.2773000002, 98037.99329999834 434166.995099999, 98026.58069999889 434182.46979999915, 98014.33549999818 434198.2974999994, 98001.75829999894 434213.8482999988, 97981.7061999999 434237.6294, 97968.37249999866 434252.6141999997, 97954.7212000005 434267.2355000004, 97936.64660000056 434285.86129999906, 97922.42610000074 434299.9349000007, 97907.99940000102 434313.81109999865, 97889.53069999814 434330.8355999999, 97874.50389999896 434344.03390000015, 97864.43019999936 434352.53539999947, 97846.1136999987 434367.5150000006, 97830.38540000096 434379.8911000006, 97814.44139999896 434391.9695000015, 97798.32290000096 434403.809799999, 97786.49980000034 434412.16270000115, 97769.89400000125 434423.438000001, 97753.18349999934 434434.42720000073, 97736.316300001 434445.17709999904, 97704.61989999935 434464.693500001, 97687.50950000063 434474.97150000185, 97652.97670000046 434495.18299999833, 97412.6083999984 434633.0020000003, 97395.43320000172 434643.22300000116, 97378.39310000092 434653.69640000165, 97361.62170000002 434664.59540000185, 97339.09679999948 434680.15150000155, 97321.76280000061 434693.01150000095, 97306.06839999929 434705.3460999988, 97290.6697999984 434718.11199999973, 97281.19330000132 434726.3288999982, 97266.42509999871 434739.7093999982, 97251.88369999826 434753.45230000094, 97237.23050000146 434768.21829999983, 97226.21279999986 434779.75979999825)"
doelgroepstroken_wegvak.47,Busstrook,1 -> 1,H,600124135,2021-10-01T00:00:00,39,289,060012413520211001,KLK0008106927,L,I,2,,"LINESTRING (124982.80090000108 429024.6325000003, 124956.18149999902 428934.32730000094, 124912.60660000145 428784.6895999983)"
doelgroepstroken_wegvak.48,Busstrook,1 -> 1,H,600404012,2021-10-01T00:00:00,180,306,060040401220211001,KLK0008136276,L,I,3,,"LINESTRING (108448.52329999954 398950.4252000004, 108490.47789999843 398973.32550000027, 108506.3599999994 398982.4941000007, 108514.8049999997 398987.8905000016, 108523.74370000139 398994.1030000001, 108552.81760000065 399020.74439999834)"
doelgroepstroken_wegvak.49,Busstrook,1 -> 1,H,600404013,2020-08-01T00:00:00,0,13,060040401320200801,KLK0008136276,L,I,3,,"LINESTRING (108552.81760000065 399020.74439999834, 108561.62099999934 399030.8269999996)"
doelgroepstroken_wegvak.50,Busstrook,1 -> 1,H,91227011,2021-10-01T00:00:00,0,109,009122701120211001,KLK0008138424,R,I,2,,"LINESTRING (45874 413552, 45910.79969999939 413536.3081, 45973.697000000626 413507.95059999824)"
doelgroepstroken_wegvak.51,Busstrook,1 -> 1,H,600421380,2021-10-01T00:00:00,0,26,060042138020211001,KLK0008149788,L,I,3,,"LINESTRING (111200.21860000119 488875.6471000016, 111219.80160000175 488871.5850000009, 111225.64990000054 488870.24379999936)"
doelgroepstroken_wegvak.52,Busstrook,1 -> 1,H,176323056,2018-04-01T00:00:00,32,38,017632305620180401,KLK0005425060,L,I,5,,"LINESTRING (88407.61459999904 461911.5225000009, 88412.90199999884 461915.07499999925)"
doelgroepstroken_wegvak.53,Busstrook,1 -> 1,H,176323056,2018-04-01T00:00:00,11,32,017632305620180401,KLK0005425061,L,I,4,,"LINESTRING (88390.18360000104 461899.810899999, 88407.61459999904 461911.5225000009)"
doelgroepstroken_wegvak.54,Busstrook,1 -> 1,H,176323056,2018-04-01T00:00:00,0,11,017632305620180401,KLK0005356418,L,I,5,,"LINESTRING (88381.1559999995 461893.52800000086, 88386 461897, 88390.18360000104 461899.810899999)"
doelgroepstroken_wegvak.55,Busstrook,1 -> 1,H,600199975,2020-02-01T00:00:00,160,292,060019997520200201,KLK0006570460,R,I,2,,"LINESTRING (142912.4459999986 485056.53449999914, 142925.95380000025 485057.75510000065, 142960.7463000007 485058.62689999864, 142990.78570000082 485061.6308999993, 143020.18140000105 485070.2135999985, 143039.92119999975 485082.0709999986)"
doelgroepstroken_wegvak.56,Busstrook,1 -> 1,T,600126778,2021-08-01T00:00:00,8,212,060012677820210801,KLK0007949171,R,I,1,,"LINESTRING (132843.87249999866 448213.6656000018, 132843.7890000008 448206.52270000055, 132841.65579999983 448184.5342999995, 132836.71609999985 448167.0461000018, 132828.0234999992 448150.55469999835, 132815.5544999987 448133.28819999844, 132802.9224999994 448118.3616000004, 132792.69289999828 448109.16209999844, 132783.18710000068 448102.91369999945, 132769.94900000095 448096.0240000002, 132717 448075)"
doelgroepstroken_wegvak.57,Busstrook,1 -> 1,H,600429846,2021-08-01T00:00:00,0,81,060042984620210801,KLK0007949255,L,I,3,,"LINESTRING (134143.29729999974 444583.80700000003, 134127.07710000128 444622.1607999988, 134113.82009999827 444659.1966999993)"
doelgroepstroken_wegvak.58,Busstrook,1 -> 1,H,600429850,2021-08-01T00:00:00,0,8,060042985020210801,KLK0007949249,L,I,2,,"LINESTRING (134026.68930000067 444865.22150000185, 134023.3038999997 444871.373399999, 134022.78200000152 444872.2006999999)"
doelgroepstroken_wegvak.59,Busstrook,1 -> 1,T,600429917,2021-06-01T00:00:00,192,256,060042991720210601,KLK0007824786,L,I,1,,"LINESTRING (97862.0850000009 434520.86730000004, 97849.17370000109 434526.65839999914, 97841.25549999997 434529.9653999992, 97823.08999999985 434537.5520000011, 97809.58909999952 434543.19040000066, 97802.7377000004 434546.0518999994)"
doelgroepstroken_wegvak.60,Busstrook,1 -> 1,H,600429917,2021-06-01T00:00:00,0,39,060042991720210601,KLK0007824795,L,I,2,,"LINESTRING (98010.40799999982 434403.0181999989, 98002.5271999985 434413.3949000016, 97997.9459999986 434419.123399999, 97996.98070000112 434420.27870000154, 97995.8339000009 434421.6512000002, 97988.83269999921 434430.0533000007, 97988.70470000058 434430.18400000036, 97988.1559999995 434430.8407000005, 97985.89840000123 434433.3365000002)"
doelgroepstroken_wegvak.61,Busstrook,1 -> 1,H,600227561,2021-10-01T00:00:00,91,171,060022756120211001,KLK0008112259,L,I,2,,"LINESTRING (155629.0989000015 460729.12849999964, 155627.9530000016 460728.0931000002, 155617.28799999878 460719.6160000004, 155605.35830000043 460710.52219999954, 155585.00919999927 460695.9545000009, 155564.40419999883 460682.14339999855)"
doelgroepstroken_wegvak.62,Busstrook,1 -> 1,H,600227561,2021-10-01T00:00:00,7,91,060022756120211001,KLK0008112260,L,I,3,,"LINESTRING (155691.63450000063 460784.8493999988, 155683.61450000107 460780.33399999887, 155657.3093000017 460755.2642999999, 155639.0826999992 460738.1497000009, 155629.0989000015 460729.12849999964)"
doelgroepstroken_wegvak.63,Busstrook,1 -> 1,H,600114528,2021-10-01T00:00:00,383,505,060011452820211001,KLK0008114505,R,I,3,,"LINESTRING (93441.75860000029 426039.75890000165, 93351.03090000153 425958.86630000174)"
