NAAM,AFKORTING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,STATUS,EVENEMENT,GROOTTE,BEHEERDER,KMLINT,KMLINT_OMSCHRIJVING,LATITUDE,LONGITUDE,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NR,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,X,Y,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,PUIC,ID
Deventer,Dv,503,c,503,503_c,Deventer,43.551,"43,551000",Gerealiseerd/vastgesteld,N,groot,ProRail,Ah-Zl,Arnhem - Zwolle ,52.2570705097366,6.16129214862116,Noord-Oost,NO,31,IJsselstreek,BASIS,Veluwe,207852.397,474619.591,BASIS,Noord-Oost,NO,1d94ef95-ca4f-450e-afd9-01b0e746ac05,56
Goor,Go,031,a,31,031_a,Zutphen - Hengelo,30.143,"30,143000",Gerealiseerd/vastgesteld,N,klein,ProRail,Zp-Esg,Zutphen - Enschede Grens ,52.2302777501358,6.58485190679254,Noord-Oost,NO,32,Twente,BASIS,Twente,236819.502,472032.153,BASIS,Noord-Oost,NO,658a2f65-3b88-4e7a-aa95-b50e8bdba77b,57
Nijmegen,Nm,514,a,514,514_a,Nijmegen,16.98,"16,980000",Gerealiseerd/vastgesteld,N,groot,ProRail,Ah-Vl,Arnhem - Venlo ,51.8437258687936,5.85279204609248,Noord-Oost,NO,28,Maas en Waal,BASIS,Gelre,187084.218,428451.992,BASIS,Noord-Oost,NO,0a6688e7-d64b-4239-b7b7-9d1047781c64,58
Helmond Brandevoort,Hmbv,055,,55,055__,Blerick - Eindhoven,42.3,"42,300000",Gerealiseerd/vastgesteld,N,klein,ProRail,Vl-Ehv,Venlo - Eindhoven ,51.4624657837438,5.6088696767684,Zuid,Z,24,Eindhoven,BASIS,De Peel,170404.6,385956.3,BASIS,Zuid,Z,6e762368-7bc7-48fb-b4e7-da28690512cf,59
Almere Muziekwijk,Almm,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,13.051,"13,051000",Gerealiseerd/vastgesteld,N,klein,ProRail,Wp-Llso,Weesp - Lelystad Opstel. ,52.36761680184,5.19047092515817,Randstad Noord,RN,11,Weesp,BASIS,Amstelsepoort,141600.862,486655.266,BASIS,Randstad Noord,RN,1ffef8b7-eb1d-45d2-9f57-263382024e83,60
Doetinchem De Huet,Dtch,212,,212,212__,Winterswijk - Zevenaar,36.061,"36,061000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ww-Zv,Winterswijk-Zevenaar ,51.9591474170402,6.26001692063264,Noord-Oost,NO,30,Achterhoek,BASIS,Gelre,214991.504,441551.046,BASIS,Noord-Oost,NO,d8070a0f-35b0-4b1e-a125-9b192bfb4d5b,61
Wijchen,Wc,047,,47,047__,s Hertogenbosch - Nijmegen,56.401,"56,401000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ht-Nm,s-Hertogenbosch - Nijmegen ,51.8116296300363,5.73116272088351,Noord-Oost,NO,28,Maas en Waal,BASIS,Gelre,178719.578,424834.471,BASIS,Noord-Oost,NO,358631cb-d94d-483e-8f95-c279649b2253,62
Castricum,Cas,075,,75,075__,Alkmaar - Uitgeest,53.802,"53,802000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hdr-Zd,Den Helder - Zaandam ,52.5458822274002,4.65863539596374,Randstad Noord,RN,7,Alkmaar,BASIS,Hollands Noorderkwartier,105578.629,506720.819,BASIS,Randstad Noord,RN,1e3c1367-0438-4066-bfda-bfc3efa17951,63
Geleen Oost,Gln,064,,64,064__,Sittard - Heerlen,4.119,"4,119000",Gerealiseerd/vastgesteld,N,klein,ProRail,Std-Hz,Sittard - Herzogenrath (D) ,50.9671515606185,5.84324631742111,Zuid,Z,26,Maastricht,BASIS,Limburg,187036.485,330929.023,BASIS,Zuid,Z,1b1ed1f1-14b0-464d-a590-346eef159760,65
Harderwijk,Hd,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,49.053,"49,053000",Gerealiseerd/vastgesteld,N,middel,ProRail,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,52.3374382237207,5.61920643958972,Noord-Oost,NO,33,Gelderland,BASIS,Veluwe,170811.981,483304.65,BASIS,Noord-Oost,NO,9496808a-aed0-4516-bc90-e530e9e43af1,66
Tiel Passewaaij,Tpsw,043,,43,043__,Kesteren - Geldermalsen,35.7,"35,700000",Gerealiseerd/vastgesteld,N,klein,ProRail,Est-Gdm,Elst - Geldermalsen ,51.873311845591,5.39105775712433,Zuid,Z,22,Geldermalsen,BASIS,Betuwe,155265.498,431640.803,BASIS,Zuid,Z,8cac5267-a314-4080-87a4-f8a7bd50bc51,68
Gorinchem,Gr,118,,118,118__,Geldermalsen - Dordrecht,70.456,"70,456000",Gerealiseerd/vastgesteld,N,klein,ProRail,Gdm-Ddr,Geldermalsen - Dordrecht ,51.8337683853611,4.96744512138662,Randstad Zuid,RZ,5,Dordrecht,BASIS,Dordrecht,126067.719,427324.816,BASIS,Randstad Zuid,RZ,f0d767ec-ddce-4c64-99d0-48aa40909621,72
Roosendaal,Rsd,545,b,545,545_b,Roosendaal,23.003,"23,003000",Gerealiseerd/vastgesteld,N,middel,ProRail,Zlw-Np,Lage Zwaluwe - Nispen ,51.5403582670075,4.45855565028579,Zuid,Z,19,Roosendaal,BASIS,Zeeland,90576.443,395008.933,BASIS,Zuid,Z,d6f1bddd-547f-409c-b45f-49e191f05a15,73
Bunnik,Bnk,035,,35,035__,Lunetten - De Haar Aansl.,42.095,"42,095000",Gerealiseerd/vastgesteld,N,klein,ProRail,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,52.0631976410673,5.19539366691623,Randstad Noord,RN,15,Driebergen,BASIS,Neerlands Midden,141846.64,452784.29,BASIS,Randstad Noord,RN,a569b541-3eff-470d-9406-1f484dae2625,75
Deinum,Dei,001,a,1,001_a,Harlingen Haven - Leeuwarden,21.834,"21,834000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hlg-Nscg,Harlingen - Nieuweschans Grens ,53.1886584802539,5.72742423997497,Noord-Oost,NO,36,Friesland,BASIS,Wadden,177741.272,578052.979,BASIS,Noord-Oost,NO,5d73c965-09ef-4a47-b1e9-ab5ec1bb13b1,76
Kropswolde,Kw,004,,4,004__,Waterhuizen Aansl. - Zuidbroek,92.413999,"92,413999",Gerealiseerd/vastgesteld,N,klein,ProRail,Hlg-Nscg,Harlingen - Nieuweschans Grens ,53.1616598259821,6.72249500926477,Noord-Oost,NO,35,Drenthe,BASIS,Drenthe,244307.55,575822.247,BASIS,Noord-Oost,NO,22bea15c-dbbd-4edf-b8e9-fb27cbd7ad54,77
Overveen,Ovn,083,,83,083__,Haarlem - Zandvoort aan Zee,2.31,"2,310000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hlmjl-Zvt,Haarlem Julianalaan - Zandvoort aan Zee ,52.3912391849558,4.60580477580859,Randstad Noord,RN,8,Haarlem,BASIS,Kennemerland,101809.375,489552.215,BASIS,Randstad Noord,RN,e7538078-3355-4bcf-b46b-922493de5df1,79
Feanwalden,Fwd,002,,2,002__,Leeuwarden - Groningen,40.229,"40,229000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hlg-Nscg,Harlingen - Nieuweschans Grens ,53.2351033704606,5.98993727909115,Noord-Oost,NO,37,Groningen,BASIS,Wadden,195245.068,583336.554,BASIS,Noord-Oost,NO,e677f7a0-c4aa-4306-823a-787ee40d9703,80
Wezep,Wz,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,78.722,"78,722000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,52.453663770087,6.00192626923504,Noord-Oost,NO,33,Gelderland,BASIS,Veluwe,196785.957,496388.655,BASIS,Noord-Oost,NO,13c90994-0f61-4de7-a2c2-fbf3a91cf825,81
Diemen,Dmn,587,a,587,587_a,Diemen,6.737,"6,737000",Gerealiseerd/vastgesteld,N,klein,ProRail,Asd-Zp,Amsterdam Centraal - Zutphen ,52.3450933320989,4.96789700606401,Randstad Noord,RN,11,Weesp,BASIS,Amstelsepoort,126427.363,484213.646,BASIS,Randstad Noord,RN,b113fe5d-d786-46bd-ba07-cc872c014a56,82
Hilversum,Hvs,528,b,528,528_b,Hilversum,28.419,"28,419000",Gerealiseerd/vastgesteld,N,middel,ProRail,Asd-Zp,Amsterdam Centraal - Zutphen ,52.2260229966248,5.18208960422598,Randstad Noord,RN,12,Amersfoort,BASIS,Eemland,140985.483,470902.709,BASIS,Randstad Noord,RN,739f0153-37f1-4afc-beae-d9fddde5ff1d,83
Workum,Wk,008,,8,008__,Leeuwarden - Stavoren,37.434,"37,434000",Gerealiseerd/vastgesteld,N,klein,ProRail,Lw-Stv,Leeuwarden - Stavoren ,52.9716272412612,5.45596912340749,Noord-Oost,NO,36,Friesland,BASIS,Wadden,159619.372,553849.11,BASIS,Noord-Oost,NO,80dc55df-e9b5-4fc5-899d-42aec209d960,84
Deventer Colmschate,Dvc,024,,24,024__,Deventer - Wierden,3.787001,"3,787001",Gerealiseerd/vastgesteld,N,klein,ProRail,Dv-Aml,Deventer - Almelo ,52.2503036985447,6.21403932733827,Noord-Oost,NO,31,IJsselstreek,BASIS,Veluwe,211462.296,473906.503,BASIS,Noord-Oost,NO,4fdc8a74-1e2c-4ee8-b257-bb5cf8da174a,85
Boxtel,Btl,617,a,617,617_a,Boxtel,39.2,"39,200000",Gerealiseerd/vastgesteld,N,middel,ProRail,Bd-Ehv,Breda - Eindhoven ,51.584235596323,5.31930670409058,Zuid,Z,23,Boxtel,BASIS,Brabant,150294.356,399482.13,BASIS,Zuid,Z,2f7dde9f-60cf-4c1e-a775-a9dd5623fd3e,86
Baarn,Brn,509,a,509,509_a,Baarn,35.627,"35,627000",Gerealiseerd/vastgesteld,N,klein,ProRail,Asd-Zp,Amsterdam Centraal - Zutphen ,52.2082825304997,5.28105187626058,Randstad Noord,RN,12,Amersfoort,BASIS,Eemland,147744.235,468914.383,BASIS,Randstad Noord,RN,4e190e4b-f133-43cd-838d-336a2da5c644,89
Houten,Htn,117,,117,117__,Lunetten - Geldermalsen,7.3,"7,300000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ut-Btl,Utrecht Centraal - Boxtel ,52.0347129314961,5.16767615057855,Randstad Noord,RN,15,Driebergen,BASIS,Neerlands Midden,139936.337,449620.516,BASIS,Randstad Noord,RN,e4e0883a-82e7-4730-87c8-b843edd764ba,90
Amsterdam Amstel,Asa,096,b,96,096_b,Amsterdam Muiderpoort - Duivendrecht,105.827994,"105,827994",Gerealiseerd/vastgesteld,N,middel,ProRail,Asdm-Asa,Amsterdam Muiderpoort - Amsterdam Amstel ,52.3466785836993,4.91742059998196,Randstad Noord,RN,10,Duivendrecht,BASIS,Amstelsepoort,122988.95,484411.119,BASIS,Randstad Noord,RN,92be1550-59d5-47c9-9013-1520e47309a6,91
