GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,FYSIEK_VOORKOMEN,OPPERVLAKTE,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,PUIC,RELATIEVEHOOGTELIGGING,STATUS,TIJDSTIP_REGISTRATIE,ID,Shape__Area,Shape__Length
586,,586,586__,Amsterdam Centraal,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,80.700249,"80,700249",Randstad Noord,RN,gesloten verharding,21.821032,121794.381896,488091.297,52.3796826248927,4.89952670698987,Prorail,L0004,bestaand,,283,013742ab15824160a46e1c6e66292ce4,0,gerealiseerd,2021/02/01 17:55:36+00,303517,0,0
,,,,,,,,,,,gesloten verharding,13.517639,112391.4805,480344.987078,52.3094159255593,4.76241770429362,Prorail,L0004,bestaand,,283,bbef7f55bb414e988b762ba83d4570f9,-1,gerealiseerd,2020/12/04 12:36:31+00,303678,0,0
586,,586,586__,Amsterdam Centraal,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,80.869515,"80,869515",Randstad Noord,RN,gesloten verharding,5.970876,121946.317772,488016.5375,52.3790199078052,4.90176540606797,Prorail,L0004,bestaand,,283,896e5d7d798d46fb9a16051198aed2cf,0,gerealiseerd,2021/02/01 17:54:09+00,303842,0,0
586,,586,586__,Amsterdam Centraal,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,80.78856,"80,788560",Randstad Noord,RN,gesloten verharding,20.491331,121849.094393,488010.0615,52.3789558444583,4.9003382348852,Prorail,L0004,bestaand,,283,32f9401ecba9437ba88bd4a7e9f52bc7,0,gerealiseerd,2021/02/01 17:54:40+00,303897,0,0
144,a,144,144_a,Duivendrecht - Amsterdam Riekerpolder,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,155.248499,"155,248499",Randstad Noord,RN,gesloten verharding,30.878739,119965.296769,483545.7795,52.3387170571193,4.87313816113278,Prorail,L0004,bestaand,,283,7d652c8b18954d05a6d9283f5a5b7ea5,0,gerealiseerd,2021/01/22 19:01:21+00,303910,0,0
096,b,96,096_b,Amsterdam Muiderpoort - Duivendrecht,Asdm-Asa,Amsterdam Muiderpoort - Amsterdam Amstel ,105.839541,"105,839541",Randstad Noord,RN,gesloten verharding,18.330479,123002.3655,484403.709997,52.3466127775495,4.91761817948083,Prorail,L0004,bestaand,,283,19ed64d4a2a54e29bbbb1b522cf53dd2,0,gerealiseerd,2021/02/01 17:54:53+00,303978,0,0
,,,,,,,,,,,gesloten verharding,13.517929,112376.5875,480356.910718,52.3095219324657,4.76219782725689,Prorail,L0004,bestaand,,283,ad3170b1028a49089e4a3da24360c86e,-1,gerealiseerd,2020/12/04 12:39:43+00,304043,0,0
145,,145,145__,Amsterdam Sloterdijk - Amsterdam Riekerpolder,Sgra-Asra,Amsterdam Singelgracht Aansl. - Amsterdam Riekerpolder Aansl. ,54.298299,"54,298299",Randstad Noord,RN,open verharding,26.710498,117418.9485,487362.712238,52.3728526089476,4.83535064081974,Prorail,L0004,bestaand,,283,a1d0de01b2244e648e49be8b985bc1af,0,gerealiseerd,2015/09/22 13:09:41+00,304117,0,0
586,,586,586__,Amsterdam Centraal,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,80.705122,"80,705122",Randstad Noord,RN,gesloten verharding,18.141448,121758.638612,488019.6415,52.3790364735518,4.89900886717216,Prorail,L0004,bestaand,,283,6b62a141c9514e34a540512239afdd71,0,gerealiseerd,2021/02/01 17:53:37+00,304188,0,0
526,a,526,526_a,Amsterdam Muiderpoort,Asd-Zp,Amsterdam Centraal - Zutphen ,3.70032,"3,700320",Randstad Noord,RN,gesloten verharding,8.538206,123977.756,485974.287667,52.36078405887,4.93178741154707,Prorail,L0004,bestaand,,283,e3c3b8b8fc18466fbbd8c585b5b113ba,0,gerealiseerd,2021/02/01 17:52:09+00,304264,0,0
586,,586,586__,Amsterdam Centraal,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,80.705303,"80,705303",Randstad Noord,RN,gesloten verharding,24.726954,121788.850003,488071.6365,52.3795055957729,4.89944740848456,Prorail,L0004,bestaand,,283,dd63a714b6e14026886da1dbd75ad0e5,0,gerealiseerd,2021/02/01 17:54:31+00,304341,0,0
,,,,,,,,,Randstad Noord,RN,gesloten verharding,26.820846,117601.971344,489159.8055,52.3890159619934,4.83783804350073,Prorail,L0004,bestaand,,283,207d01dd877b40688a753509f7ae4cf6,0,gerealiseerd,2022/12/01 10:09:02+00,304353,0,0
586,,586,586__,Amsterdam Centraal,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,80.700283,"80,700283",Randstad Noord,RN,gesloten verharding,21.81724,121795.299891,488092.82,52.3796963680478,4.89954003822801,Prorail,L0004,bestaand,,283,818bd3bec5c34adcabe967288627c273,0,gerealiseerd,2021/02/01 17:55:14+00,304358,0,0
586,,586,586__,Amsterdam Centraal,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,80.788258,"80,788258",Randstad Noord,RN,gesloten verharding,21.271169,121839.493065,487994.0245,52.3788111355256,4.90019881393415,Prorail,L0004,bestaand,,283,0459520d0307491f8295675ef86e0afe,0,gerealiseerd,2021/02/01 17:55:21+00,304651,0,0
,,,,,,,,,,,gesloten verharding,8.034966,97475.91,429987.37723,51.8554824135444,4.55221563480967,Prorail,L0004,bestaand,,283,22f50410d691439790b2380599a8d7ed,-1,gerealiseerd,2020/04/21 17:06:20+00,315478,0,0
542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,29.509778,"29,509778",Randstad Zuid,RZ,gesloten verharding,47.733878,105322.814585,424537.8615,51.8072580034333,4.66689090935976,Prorail,L0004,bestaand,,283,01c4d12bc71346b9887867d12d43fca0,0,,2015/11/03 13:15:04+00,315653,0,0
116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,Bd-Rtd,Breda - Rotterdam Centraal ,31.558654,"31,558654",Randstad Zuid,RZ,gesloten verharding,7.289565,103519.8955,425475.0435,51.8155177916885,4.64061147987857,Prorail,L0004,bestaand,,283,f25a78dd9f894cf1a73d61865aa55ac2,0,gerealiseerd,2020/04/21 17:02:27+00,316370,0,0
542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,29.509949,"29,509949",Randstad Zuid,RZ,gesloten verharding,48.89518,105325.794,424553.751,51.8074010802817,4.66693182597128,Prorail,L0004,bestaand,,283,50e13628ed7b4779968a05da7421d831,0,,2015/11/03 13:15:04+00,316485,0,0
116,b,116,116_b,Dordrecht - Rotterdam Barendrecht,Zwd-Zwdi,Zwijndrecht - Zwijndrecht Groote Lindt ,99.94215,"99,942150",Randstad Zuid,RZ,gesloten verharding,7.287307,103511.980977,425462.269,51.8154022474658,4.6404986104691,Prorail,L0004,bestaand,,283,8e4d7a6cdb054da6855e22f8639388c3,0,gerealiseerd,2021/12/23 10:46:29+00,316500,0,0
542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,29.521894,"29,521894",Randstad Zuid,RZ,gesloten verharding,13.20652,105320.2665,424586.785016,51.8076974915186,4.66684694076815,Prorail,L0004,bestaand,,283,973c349d39824b79996fb52b5dc87bfe,0,gerealiseerd,2021/11/17 13:28:15+00,318807,0,0
508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,91.92914,"91,929140",Noord-Oost,NO,gesloten verharding,11.537514,190327.806029,444165.905,51.9847657470532,5.90147374047006,Prorail,L0004,bestaand,,283,d6d2fe4fb8e348e5812d60c2df9425d7,0,gerealiseerd,2015/10/26 13:21:58+00,355499,0,0
508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,91.889035,"91,889035",Noord-Oost,NO,gesloten verharding,11.462324,190290.329612,444170.5235,51.9848096418118,5.9009286886462,Prorail,L0004,bestaand,,283,83d6b03b817843669949450140d52bf5,0,gerealiseerd,2015/10/26 13:21:58+00,355510,0,0
508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,91.926068,"91,926068",Noord-Oost,NO,gesloten verharding,11.603106,190329.070035,444185.643,51.9849430692599,5.90149417496013,Prorail,L0004,bestaand,,283,61186573437c4528af388429742229d0,0,gerealiseerd,2015/10/26 13:21:58+00,355681,0,0
508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,91.891915,"91,891915",Noord-Oost,NO,gesloten verharding,21.075335,190287.708911,444147.022,51.9845985798931,5.90088812016244,Prorail,L0004,bestaand,,283,c81b490dc2b34648bb9e2076d4368560,0,gerealiseerd,2015/10/26 13:21:58+00,355730,0,0
508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,91.881587,"91,881587",Noord-Oost,NO,gesloten verharding,12.217971,190292.443838,444211.8335,51.9851807964851,5.90096371905592,Prorail,L0004,bestaand,,283,66094a785310415096ad57a0fc7181db,0,gerealiseerd,2015/10/26 13:21:58+00,355833,0,0
508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,91.923051,"91,923051",Noord-Oost,NO,gesloten verharding,11.431158,190330.447352,444205.6805,51.9851230761134,5.9015162899178,Prorail,L0004,bestaand,,283,f8b8e3c22d064f8996f87ce813c51337,0,gerealiseerd,2015/10/26 13:21:58+00,356499,0,0
508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,91.885631,"91,885631",Noord-Oost,NO,gesloten verharding,11.584307,190291.60356,444190.6885,51.9849908013053,5.90094930969776,Prorail,L0004,bestaand,,283,8bce77a6b22f4ea29403cad1745e51e6,0,gerealiseerd,2015/10/26 13:21:58+00,356821,0,0
508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,91.891938,"91,891938",Noord-Oost,NO,gesloten verharding,20.734225,190288.707257,444151.089,51.9846350701056,5.90090307140305,Prorail,L0004,bestaand,,283,8d3a3ac6d33441d1a7757abd66a0d4ff,0,gerealiseerd,2015/10/26 13:21:58+00,357219,0,0
,,,,,,,,,,,gesloten verharding,8.475942,155155.940829,391215.557,51.5099502083744,5.38944744827715,Prorail,L0004,bestaand,,283,5640e3036f0f419b8615e5b449a06b72,-1,gerealiseerd,2020/07/24 14:18:44+00,366820,0,0
,,,,,,,,,,,gesloten verharding,8.936805,155138.944571,391202.726,51.5098348800149,5.38920261540287,Prorail,L0004,bestaand,,283,c7440ebc94c14e7f9a371245f23fe655,-1,gerealiseerd,2020/07/24 14:18:27+00,367095,0,0
614,c,614,614_c,s Hertogenbosch,Ut-Btl,Utrecht Centraal - Boxtel ,47.933192,"47,933192",Zuid,Z,gesloten verharding,40.137279,148556.9455,411285.820339,51.6903161932799,5.29402118011163,Prorail,L0004,bestaand,,283,c63b3812845f4dd4af664e2396b6783e,0,gerealiseerd,2020/12/18 15:01:10+00,367140,0,0
614,c,614,614_c,s Hertogenbosch,Ut-Btl,Utrecht Centraal - Boxtel ,47.899742,"47,899742",Zuid,Z,gesloten verharding,21.351983,148541.3045,411324.551776,51.6906641502483,5.29379425981928,Prorail,L0004,bestaand,,283,c3a9b42a32304417a4e86ef4e463529a,0,gerealiseerd,2015/05/26 10:22:00+00,367627,0,0
614,c,614,614_c,s Hertogenbosch,Ut-Btl,Utrecht Centraal - Boxtel ,47.89968,"47,899680",Zuid,Z,gesloten verharding,22.469289,148537.1375,411325.688215,51.690674317115,5.29373397445094,Prorail,L0004,bestaand,,283,998962c80234479c8de0d5d54a85e5c4,0,gerealiseerd,2015/05/26 10:22:00+00,367863,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.945662,"83,945662",Randstad Zuid,RZ,gesloten verharding,26.508803,91885.51358,437771.159,51.9248330056411,4.46965219525248,Prorail,L0004,bestaand,,283,a4c8de13e62445b098e6013816e8bf91,0,gerealiseerd,2015/08/03 08:57:54+00,391062,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.905048,"83,905048",Randstad Zuid,RZ,gesloten verharding,25.469794,91847.853165,437755.763,51.9246903626411,4.46910758709937,Prorail,L0004,bestaand,,283,82da3711926b416d816668f51bcb6b29,0,gerealiseerd,2015/08/03 08:57:54+00,391147,0,0
,,,,,,,,,,,open verharding,36.344665,81958.78,450406.8295,52.0371738414172,4.32266934576947,Prorail,L0004,bestaand,,283,9080c1bec137427ab6bfc352b15e2ecd,-1,gerealiseerd,2015/07/29 11:09:42+00,391438,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.944506,"83,944506",Randstad Zuid,RZ,gesloten verharding,26.501192,91872.198496,437813.4065,51.9252111860103,4.46945089105042,Prorail,L0004,bestaand,,283,c83379520ef84bafaeba9817624e2d93,0,gerealiseerd,2015/08/03 08:57:54+00,391537,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.904428,"83,904428",Randstad Zuid,RZ,gesloten verharding,25.469794,91840.532165,437779.051,51.9248988278533,4.46899689190196,Prorail,L0004,bestaand,,283,e8a105ebc5244d288d1c6977870fd581,0,gerealiseerd,2015/08/03 08:57:54+00,391793,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.902745,"83,902745",Randstad Zuid,RZ,gesloten verharding,25.469794,91820.747835,437841.948,51.9254618557154,4.46869774985972,Prorail,L0004,bestaand,,283,40c80159aee94960838e7fc7b32a28ad,0,gerealiseerd,2015/08/03 08:57:54+00,391800,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.902699,"83,902699",Randstad Zuid,RZ,gesloten verharding,25.466651,91820.2445,437843.537,51.9254760793748,4.46869014131887,Prorail,L0004,bestaand,,283,a1b77431ca4148509f4312ccd6b4cdb0,0,gerealiseerd,2015/08/03 08:57:54+00,391884,0,0
,,,,,,,,,,,gesloten verharding,13.193654,84262.806,447028.334,52.0071102556398,4.35694231144882,Prorail,L0004,bestaand,,283,2649d6380e6c4570a2bce2ba31a525b8,-2,gerealiseerd,2015/07/30 09:30:07+00,391957,0,0
,,,,,,,,,,,open verharding,36.430847,81946.3315,450397.239909,52.0370860211968,4.32248999481549,Prorail,L0004,bestaand,,283,d2d11bc532494b96ab3734e9bd503f5c,-1,gerealiseerd,2015/07/29 11:09:09+00,392033,0,0
107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,Gd-Gvc,Gouda - Den Haag Centraal ,13.923967,"13,923967",Randstad Zuid,RZ,gesloten verharding,7.250569,92560.874484,451433.2275,52.0476936234617,4.4769810733239,Prorail,L0004,bestaand,,283,ce30ebb1cf7f4f56b30bac13c12041f0,0,gerealiseerd,2020/09/18 15:57:18+00,392109,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.902791,"83,902791",Randstad Zuid,RZ,gesloten verharding,25.469794,91821.251165,437840.359,51.925447632055,4.46870535834156,Prorail,L0004,bestaand,,283,61b4b413cbd6463bbd674a47d8985331,0,gerealiseerd,2015/08/03 08:57:54+00,392185,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.945029,"83,945029",Randstad Zuid,RZ,gesloten verharding,26.500153,91878.192041,437794.399,51.9250410399154,4.46954150318555,Prorail,L0004,bestaand,,283,439e4055145d429899348db47526f349,0,gerealiseerd,2015/08/03 08:57:54+00,392189,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.904337,"83,904337",Randstad Zuid,RZ,gesloten verharding,25.469794,91839.525835,437782.229,51.9249272752519,4.46898168011511,Prorail,L0004,bestaand,,283,e71f1e27fef74c3d859c33a0f2048340,0,gerealiseerd,2015/08/03 08:57:54+00,392255,0,0
536,,536,536__,Den Haag HS,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,61.077684,"61,077684",Randstad Zuid,RZ,gesloten verharding,14.713966,82012.074,454012.1055,52.0695808187772,4.32267572655744,Prorail,L0004,bestaand,,283,ee607abd12d846148d71ca0fe2bbe82b,0,gerealiseerd,2015/07/30 13:42:49+00,392286,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.94387,"83,943870",Randstad Zuid,RZ,gesloten verharding,26.494098,91864.85958,437836.6975,51.9254196764604,4.46933993516966,Prorail,L0004,bestaand,,283,d319aeaf3bdd41daa070fbb7b01bd49a,0,gerealiseerd,2015/08/03 08:57:54+00,392294,0,0
536,,536,536__,Den Haag HS,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,61.077705,"61,077705",Randstad Zuid,RZ,gesloten verharding,14.98103,82013.3755,454010.2885,52.0695646612663,4.32269509427176,Prorail,L0004,bestaand,,283,09e2937a41294b2dbe98ab469d14dbc3,0,gerealiseerd,2015/07/30 13:42:49+00,392360,0,0
536,,536,536__,Den Haag HS,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,61.07502,"61,075020",Randstad Zuid,RZ,gesloten verharding,15.112881,81997.903277,454035.993,52.0697936233825,4.32246397243072,Prorail,L0004,bestaand,,283,e50fc158fe84497cbb6afd630bd3f059,0,gerealiseerd,2015/07/30 13:42:49+00,392626,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.903923,"83,903923",Randstad Zuid,RZ,gesloten verharding,25.466651,91834.5555,437798.064,51.9250690248744,4.46890652234519,Prorail,L0004,bestaand,,283,cd82b26f61dc4d448b5bfe42f10b09eb,0,gerealiseerd,2015/08/03 08:57:54+00,392691,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.905002,"83,905002",Randstad Zuid,RZ,gesloten verharding,25.469794,91847.349835,437757.352,51.9247045863296,4.46909997887444,Prorail,L0004,bestaand,,283,69fd227e47904397b7159b7c269f0cc1,0,gerealiseerd,2015/08/03 08:57:54+00,392785,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.903877,"83,903877",Randstad Zuid,RZ,gesloten verharding,25.469794,91834.052165,437799.653,51.9250832485484,4.46889891393766,Prorail,L0004,bestaand,,283,574757da419d455799b18badc3b1816d,0,gerealiseerd,2015/08/03 08:57:54+00,392870,0,0
536,,536,536__,Den Haag HS,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,61.075157,"61,075157",Randstad Zuid,RZ,gesloten verharding,14.508991,82001.967737,454030.195,52.0697420536106,4.32252448287337,Prorail,L0004,bestaand,,283,0ac5fcb8df9d4ccbac670ce4cabb0407,0,gerealiseerd,2015/07/30 13:42:49+00,392878,0,0
,,,,,,,,,,,open verharding,31.24787,84487.970229,453669.8865,52.0668260486738,4.35885164919446,Prorail,L0004,bestaand,,283,066e82cae71440a6b2b43781bd36847c,1,gerealiseerd,2019/07/24 10:45:00+00,392957,0,0
555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.903212,"83,903212",Randstad Zuid,RZ,gesloten verharding,25.469794,91826.227165,437824.532,51.9253059551133,4.4687805982706,Prorail,L0004,bestaand,,283,707b962ebb6a45cfbbdb66c65c2c233d,0,gerealiseerd,2015/08/03 08:57:54+00,393105,0,0
