Kenteken,As nummer,Aantal assen,Aangedreven as,Hefas,Plaatscode as,Spoorbreedte,Weggedrag code,Wettelijk toegestane maximum aslast,Technisch toegestane maximum aslast,Geremde as indicator,Afstand tot volgende as voertuig,Afstand tot volgende as voertuig minimum,Afstand tot volgende as voertuig maximum,Maximum last as technisch maximum,Maximum last as technisch minimum
0009PH,2,2,,,A,,,,,,,,,,
0009PT,1,2,,,V,,,,,,,,,,
0009PT,2,2,,,A,,,,,,,,,,
0009SL,1,2,,,V,,,,,,,,,,
0009SL,2,2,,,A,,,,,,,,,,
0009WH,1,1,,N,A,,,760,760,,,,,,
0009WR,1,1,,N,A,,,1700,1700,,,,,,
0009WU,1,1,,N,A,,,2000,2000,,,,,,
0010HX,1,2,,,V,,,,,,,,,,
0010HX,2,2,,,A,,,,,,,,,,
0010JZ,1,2,,,V,,,,,,,,,,
0010JZ,2,2,,,A,,,,,,,,,,
0010UT,1,2,,,V,,,,,,,,,,
0010UT,2,2,,,A,,,,,,,,,,
0010WE,1,1,,N,A,,,800,800,,,,,,
0010WF,1,1,,N,A,,,800,800,,,,,,
0010WP,1,1,,N,A,,,1300,1300,,,,,,
0010WR,1,1,,N,A,,,2000,2000,,,,,,
0010WS,1,1,,N,A,,,850,850,,,,,,
0011AF,1,2,,,V,,,,,,,,,,
0011AF,2,2,,,A,,,,,,,,,,
0011EE,1,2,,,V,,,,,,,,,,
0011EE,2,2,,,A,,,,,,,,,,
0011JK,1,2,,,V,,,,,,,,,,
0011JK,2,2,,,A,,,,,,,,,,
0011UE,1,2,,,V,,,,,,,,,,
0011UE,2,2,,,A,,,,,,,,,,
0011US,1,2,,,V,,,,,,,,,,
0011US,2,2,,,A,,,,,,,,,,
0011VK,1,2,,,V,,,,,,,,,,
0011VK,2,2,,,A,,,,,,,,,,
0011WF,1,1,,N,A,,,800,800,,,,,,
0011WH,1,1,,N,A,,,760,760,,,,,,
0011WK,1,1,,N,A,,,990,990,,,,,,
0011WU,1,1,,N,A,,,2000,2000,,,,,,
0011WV,1,1,,N,A,,,1300,1300,,,,,,
0011WX,1,2,,N,A,,,1000,1000,,,,,,
0011WX,2,2,,N,A,,,1000,1000,,,,,,
0011WZ,1,1,,N,A,,,900,900,,,,,,
0011ZX,1,2,,,V,,,,,,,,,,
0011ZX,2,2,,,A,,,,,,,,,,
0011ZZ,1,5,,N,A,,,9000,10000,,,,,,
