FID,nummer,bwid_code,donarcode,eu_naam,x_coörd,y_coörd,etrs_89_ea,etrs_89_no,rws_dienst,provincie,zwp_naam,zwp_datum,zwp_period,zwp_kwal,zwp_beoord,blauw_vlag,zout_zoet,eu_2012,eu_2013,eu_2014,eu_2015,eu_actueel,blauwalg,krw_code,krw_systee,se_anno_cad_data,gdb_geomattr_data,shape
zwemlocaties_rws_2016.16,16,NLBW92_WOLDSD,WOLDSD,WOLDSTRAND,165998,482170,673664.939,5800506.995,Midden Nederland,FLEVOLAND,WOLDSTRAND,2011,2007-2010,uitstekend,2011,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Goed,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (165998 482170)
zwemlocaties_rws_2016.17,17,NLBW92_ZILVSD,ZILVSD,ZILVERSTRAND,138799,482374,646473.852,5799813.875,Midden Nederland,FLEVOLAND,Zilverstrand,2013,2009-2012,goed,2012,nee,zoet,Goed,Uitstekend,Gesloten,Gesloten,Gesloten,nee,NL92_RANDMEREN_ZUID,Randmeren-Zuid,,,POINT (138799 482374)
zwemlocaties_rws_2016.18,18,NLBW92_ZWOLSHBSD,ZWOLSHBSD,STRAND ZWOLSE HOEK,173005,514239,679608.641,5832792.014,Midden Nederland,FLEVOLAND,Strand Zwolse Hoek,2016,2012-2015,aanvaardbaar,2015,nee,zoet,Slecht,Slecht,Slecht,Aanvaardbaar,Goed,nee,NL92_KETELMEER_VOSSEMEER,Ketelmeer + Vossemeer,,,POINT (173005 514239)
zwemlocaties_rws_2016.19,19,NLBW81_BURBSD,BURBSD,"BADSTRAND BUREN, BUREN",183034,608653,686486.198,5927491.047,Noord Nederland,FRYSLÂN,Buren Badstrand,2008,2004-2007,uitstekend,2012,ja,zout,Uitstekend,Goed,Goed,Uitstekend,Uitstekend,nee,NL95_4A,Waddenkust (kustwater),,,POINT (183034 608653)
zwemlocaties_rws_2016.20,20,NLBW81_HARLGSBSD,HARLGSBSD,"HARLINGERSTRAND, HARLINGEN",156835.822,575568.637,661409.868,5893550.62,Noord Nederland,FRYSLÂN,"Harlingerstrand, Harlingen",2016,2012-2015,goed,2015,nee,zout,Slecht,Aanvaardbaar,Aanvaardbaar,Goed,Uitstekend,nee,NL81_10,Waddenzee vastelandskust,,,POINT (156835.82200000063 575568.6369999982)
zwemlocaties_rws_2016.21,21,NLBW81_HOLLBSD,HOLLBSD,"BADSTRAND HOLLUM, HOLLUM",170000,607104,673512.034,5925506.203,Noord Nederland,FRYSLÂN,Ameland West,2008,2004-2007,uitstekend,2016,ja,zout,Uitstekend,Uitstekend,Goed,Goed,Goed,nee,NL81_1,Waddenzee,,,POINT (170000 607104)
zwemlocaties_rws_2016.22,22,NLBW81_HOORNTSLG,HOORNTSLG,"BADSTRAND HOORN, HOORN",151999,603342,655648.837,5921144.245,Noord Nederland,FRYSLÂN,"Badstrand Hoorn, Hoorn",2014,2010-2013,uitstekend,2013,nee,zout,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL95_4A,Waddenkust (kustwater),,,POINT (151999 603342)
zwemlocaties_rws_2016.23,23,NLBW81_NESBSD,NESBSD,"BADSTRAND NES, NES",180969,608500,684427.552,5927268.89,Noord Nederland,FRYSLÂN,Ameland NES,2008,2004-2007,uitstekend,2012,ja,zout,Uitstekend,Goed,Goed,Uitstekend,Uitstekend,nee,NL95_4A,Waddenkust (kustwater),,,POINT (180969 608500)
zwemlocaties_rws_2016.24,24,NLBW81_SCHIERMNOBSD,SCHIERMNOBSD,"BADSTRAND PRINS BERNARDWEG, SCHIERMONNIKOOG",208275,613380,711555.071,5933062.694,Noord Nederland,FRYSLÂN,Schiermonnikoog De Grilk,2008,2004-2007,uitstekend,n.a.n.,nee,zout,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL95_4A,Waddenkust (kustwater),,,POINT (208275 613380)
zwemlocaties_rws_2016.50,50,NLBW93_CIJSSCHER,SCHERPHF,RECREATIEPARK DE SCHERPENHOF,203610,479150,711361.253,5798728.831,Oost Nederland,GELDERLAND,IJSSEL DE SCHERPENHOF,2009,2004-2007,goed,2013,nee,zoet,Goed,Goed,Uitstekend,Uitstekend,Uitstekend,nee,NL93_IJSSEL,IJssel,,,POINT (203610 479150)
zwemlocaties_rws_2016.25,25,NLBW81_TERSLPL8,TERSLPL8,"BADSTRAND WEST AAN ZEE, WEST-TERSCHELLING",145994,602113,649689.141,5919715.334,Noord Nederland,FRYSLÂN,"Badstrand West aan Zee, West-Terschelling",2014,2010-2013,uitstekend,2013,nee,zout,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL95_4A,Waddenkust (kustwater),,,POINT (145994 602113)
zwemlocaties_rws_2016.26,26,NLBW81_VLIELBSD,VLIELBSD,"BADSTRAND BADHUIS, OOST-VLIELAND",132643,590997,636719.037,5908161.525,Noord Nederland,FRYSLÂN,Vlieland strand hotel dam 50,2008,2004-2007,uitstekend,2013,nee,zout,Aanvaardbaar,Goed,Goed,Goed,Uitstekend,nee,NL95_4A,Waddenkust (kustwater),,,POINT (132643 590997)
zwemlocaties_rws_2016.27,27,NLBW92_HINDLPBPVJN,HINDLPBPVJN,BADPAVILJOEN HINDELOOPEN,156084.133799,549598,661523.443,5867570.648,Midden Nederland,FRYSLÂN,BADPAVILJOEN HINDELOOPEN,2016,2012-2015,goed,2015,nee,zoet,Goed,Goed,Goed,Goed,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,,POINT (156084.13379999995 549598)
zwemlocaties_rws_2016.28,28,NLBW92_HOGGZN,HOGGZN,"DE HEGE GERZEN, OUDEMIRDUM",165637.052874,538444.773831,671441.538,5856741.163,Midden Nederland,FRYSLÂN,Hoge grazen,2008,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,,POINT (165637.0529000014 538444.7738000005)
zwemlocaties_rws_2016.29,29,NLBW92_HOLLPTE,HOLLPTE,"DE HOLLE POARTE, MAKKUM",154383.652837,562886.500546,659381.832,5880794.591,Midden Nederland,FRYSLÂN,"DE HOLLE POARTE, MAKKUM",2008,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,,POINT (154383.6528000012 562886.500500001)
zwemlocaties_rws_2016.30,30,NLBW92_KLIF,KLIF,"MIRNSER KLIF, MIRNS",161283.247469,540365.107408,667026.343,5858515.828,Midden Nederland,FRYSLÂN,Mirnser Klif,2011,2007-2010,goed,2015,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,,POINT (161283.24749999866 540365.1074000001)
zwemlocaties_rws_2016.31,31,NLBW92_LEMMBSD,LEMMBSD,"LEMSTERSTRAND, LEMMER",176078.347639,539511.682403,681842.044,5858154.361,Midden Nederland,FRYSLÂN,Het strand Lemmer,2008,2004-2007,uitstekend,2016,nee,zoet,Goed,Goed,Goed,Aanvaardbaar,Goed,nee,NL92_IJSSELMEER,IJsselmeer,,,POINT (176078.34760000184 539511.6823999994)
zwemlocaties_rws_2016.32,32,NLBW92_MOLKWRBSD,MOLKWRBSD,"MOLKWERUM, MOLKWERUM",155637.774144,546528.588407,661179.37,5864488.198,Midden Nederland,FRYSLÂN,Molkwerum,2008,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,,POINT (155637.77409999818 546528.5883999988)
zwemlocaties_rws_2016.33,33,NLBW92_SOAL,SOAL,"IT SOAL, WORKUM",156618,553187,661937.655,5871175.293,Midden Nederland,FRYSLÂN,"IT SOAL, WORKUM",2014,2010-2013,aanvaardbaar,2013,nee,zoet,Aanvaardbaar,Aanvaardbaar,Goed,Goed,Goed,ja,NL92_IJSSELMEER,IJsselmeer,,,POINT (156618 553187)
zwemlocaties_rws_2016.34,34,NLBW92_STAVRBSD,STAVRBSD,"IT SUDERSTRAND, STAVOREN",153846.015669,542775.65485,659513.355,5860677.938,Midden Nederland,FRYSLÂN,Stavoren suderstrand,2008,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_IJSSELMEER,IJsselmeer,,,POINT (153846.01579999924 542775.6548999995)
zwemlocaties_rws_2016.35,35,NLBW91_CKRKDCA1,KERKDCPDBDSD,CAMPING MAASZICHT,151525,421053,661207.323,5738945.465,Zuid Nederland,GELDERLAND,Camping Maaszicht D2,2009,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL94_5,Beneden Maas,,,POINT (151525 421053)
zwemlocaties_rws_2016.36,36,NLBW91_CKRKDZA1,KERKDZMRWZDE,ZANDMEREN WEST,152240,419446,661974.53,5737362.728,Zuid Nederland,GELDERLAND,Zandmeren West Kerkdriel,2008,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL94_5,Beneden Maas,,,POINT (152240 419446)
zwemlocaties_rws_2016.37,37,NLBW91_CKRKDZA2,KERKDZMRND,ZANDMEREN NOORD,152238,419704,661964.088,5737620.524,Zuid Nederland,GELDERLAND,Zandmeren Noord Kerkdriel,2008,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL94_5,Beneden Maas,,,POINT (152238 419704)
zwemlocaties_rws_2016.38,38,NLBW91_CPPLGOU1,GOUDHMTP,DE GOUDEN HAM DE MAASTERP,166522,427353,675990.402,5745733.335,Zuid Nederland,GELDERLAND,GOUDEN HAM,2010,2007-2009,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,,,POINT (166522 427353)
zwemlocaties_rws_2016.39,39,NLBW91_CPPLGOU2,GOUDHHZLD,DE GOUDEN HAM HANZELAND,165993,426411,675492.508,5744774.457,Zuid Nederland,GELDERLAND,GOUDEN HAM,2010,2007-2009,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,,,POINT (165993 426411)
zwemlocaties_rws_2016.40,40,NLBW91_CPPLGOU3,GOUDHHSST,DE GOUDEN HAM DE MAASLANDEN,167070,426870,676553.964,5745268.516,Zuid Nederland,GELDERLAND,GOUDEN HAM,2010,2007-2009,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,,,POINT (167070 426870)
zwemlocaties_rws_2016.41,41,NLBW91_CSCHGRE1,GREFFLNZDE,CAMPING 'T ZONNESTRAND,162466,427476,671932.326,5745723.404,Zuid Nederland,GELDERLAND,De Greffeling,2008,2004-2007,uitstekend,2012,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL91BM,Bedijkte Maas,,,POINT (162466 427476)
zwemlocaties_rws_2016.42,42,NLBW92_ELBVELWSOT,ELBVELWSOT,RECREATIEOORD VELUWE STRANDBAD,184545,496250,691738.667,5815192.934,Midden Nederland,GELDERLAND,RECREATIEOORD VELUWE STRANDBAD,2015,2011-2014,aanvaardbaar,2014,nee,zoet,Slecht,Slecht,Aanvaardbaar,Goed,Goed,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (184545 496250)
zwemlocaties_rws_2016.43,43,NLBW92_HARDWVLWSD,HARDWVLWSD,DOLFINARIUM,170503.738722,485298.739714,678065.314,5803782.864,Midden Nederland,GELDERLAND,DOLFINARIUM,2015,2011-2014,uitstekend,2014,nee,zoet,Aanvaardbaar,Goed,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (170503.7388000004 485298.7397999987)
zwemlocaties_rws_2016.44,44,NLBW92_HOOPHZN,HOOPHZN,DROOMPARK BAD HOOPHUIZEN,176735.676056,488592.028169,684185.684,5807280.289,Midden Nederland,GELDERLAND,Hoophuizen,2008,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (176735.67610000074 488592.0282999985)
zwemlocaties_rws_2016.45,45,NLBW92_HORSTBSD,HORSTBSD,STRAND HORST,166654.082244,480139.922367,674387.65,5798499.542,Midden Nederland,GELDERLAND,Strand Horst,2008,2004-2007,uitstekend,2012,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (166654.0822999999 480139.92240000144)
zwemlocaties_rws_2016.46,46,NLBW92_NULDBSD,NULDBSD,STRAND NULDE,165424.747442,476546.29074,673277.369,5794867.125,Midden Nederland,GELDERLAND,Strand Nulde,2008,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (165424.7474000007 476546.2908000015)
zwemlocaties_rws_2016.47,47,NLBW92_OUDPL,OUDPL,DE OUDE POL,178088.444591,489452.403694,685509.442,5808184.945,Midden Nederland,GELDERLAND,DE OUDE POL,2016,2012-2015,goed,2015,nee,zoet,Slecht,Slecht,Goed,Goed,Aanvaardbaar,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (178088.44460000098 489452.4037999995)
zwemlocaties_rws_2016.48,48,NLBW93_CBVRBIJLA,BIJLND,DE BIJLAND,202688.615,430955.134,712024.704,5750518.861,Oost Nederland,GELDERLAND,DE BIJLAND,2016,2012-2015,aanvaardbaar,2015,nee,zoet,Aanvaardbaar,Aanvaardbaar,Aanvaardbaar,Aanvaardbaar,Goed,nee,NL93_8,"Bovenrijn, Waal",,,POINT (202688.61499999836 430955.1339999996)
zwemlocaties_rws_2016.49,49,NLBW93_CIJSGIESS,RHEDLGSKP,RHEDERLAAG GIESE KOP,201100,445100,709972.646,5764607.133,Oost Nederland,GELDERLAND,RHEDERLAAG GIESE KOP,2016,2012-2015,uitstekend,2015,nee,zoet,Goed,Goed,Goed,Uitstekend,Uitstekend,ja,NL93_IJSSEL,IJssel,,,POINT (201100 445100)
zwemlocaties_rws_2016.51,51,NLBW93_CIJSSTRAN,DOESBFTWD,CAMPING IJSSELSTRAND,208005,449455,716732.494,5769187.58,Oost Nederland,GELDERLAND,IJSSELSTRAND,2009,2004-2007,goed,2013,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_IJSSEL,IJssel,,,POINT (208005 449455)
zwemlocaties_rws_2016.52,52,NLBW93_CNDRMAURI,EILDMAURK,STRAND EILAND VAN MAURIK,157354,442980,666314.555,5761052.02,Oost Nederland,GELDERLAND,EILAND VAN MAURIK,2013,2009-2012,uitstekend,2012,ja,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_7,Nederrijn/Lek,,,POINT (157354 442980)
zwemlocaties_rws_2016.53,53,NLBW93_CNDRZWANE,ZWANWTR,ZWANENBAD,193615,438878,702694.372,5758141.595,Oost Nederland,GELDERLAND,ZWANEWATER,2009,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_7,Nederrijn/Lek,,,POINT (193615 438878)
zwemlocaties_rws_2016.54,54,NLBW93_CWALBEMME,BEMMSWD,BEMMELSE WAARD,190280,432695,699563.305,5751851.463,Oost Nederland,GELDERLAND,BEMMELSE WAARD,2009,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_8,"Bovenrijn, Waal",,,POINT (190280 432695)
zwemlocaties_rws_2016.55,55,NLBW93_CWALBISOS,BISBOT,DE BISONBAAI,192581,431072,701916.646,5750304.456,Oost Nederland,GELDERLAND,BISONBAAI,2008,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL93_8,"Bovenrijn, Waal",,,POINT (192581 431072)
zwemlocaties_rws_2016.56,56,NLBW94_DENWDNBSD,DENWDNBSD,DE NESWAARDEN,136230,421925,645892.441,5739316.278,Zuid Nederland,GELDERLAND,"De Neswaarden, badstrand",2014,2010-2013,goed,2013,nee,zoet,Slecht,Goed,Goed,Goed,Goed,ja,NL94_5,Beneden Maas,,,POINT (136230 421925)
zwemlocaties_rws_2016.57,57,NLBW94_DERSCPBSD,DERSCPBSD,DE RIETSCHOOF,136972,420929,646666.615,5738345.157,Zuid Nederland,GELDERLAND,De Rietschoof,2016,2012-2015,goed,2015,nee,zoet,Slecht,Slecht,Slecht,Goed,Goed,nee,NL94_5,Beneden Maas,,,POINT (136972 420929)
zwemlocaties_rws_2016.58,58,NLBW94_WELLBSD,WELLBSD,STRANDBAD WELL,141102,417666,650901.011,5735219.233,Zuid Nederland,GELDERLAND,Well badstrand-einde Dode arm,2008,2004-2007,uitstekend,2013,nee,zoet,Goed,Goed,Goed,Goed,Uitstekend,nee,NL94_5,Beneden Maas,,,POINT (141102 417666)
zwemlocaties_rws_2016.59,59,NLBW94_RHEDLNOVR,RHEDLNOVR,RHEDERLAAG NOORDOEVER,200290,446195,709126.952,5765675.182,Oost Nederland,GELDERLAND,RHEDERLAAG NOORDOEVER,2010,2006-2009,uitstekend,2016,nee,zoet,geen,Nieuw,Uitstekend,Uitstekend,Uitstekend,ja,NL93_IJSSEL,IJssel,,,POINT (200290 446195)
zwemlocaties_rws_2016.60,60,NLBW94_RHEDLBSSD,RHEDLBSSD,RHEDERLAAG BAHRSE STRAND,199966,444530,708857.727,5764000.088,Oost Nederland,GELDERLAND,RHEDERLAAG BAHRSESTRAND,2010,2008-2009,geen,2016,nee,zoet,geen,Nieuw,Uitstekend,Uitstekend,Uitstekend,ja,NL93_IJSSEL,IJssel,,,POINT (199966 444530)
zwemlocaties_rws_2016.61,61,NLBW91_GOUDGNELD,GOUDGNELD,DE GOUDEN HAM HET GROENE EILAND,166126,427343,675594.917,5745710.367,Zuid Nederland,GELDERLAND,GOUDEN HAM GROENE EILAND,2010,2007-2009,uitstekend,n.a.n.,nee,zoet,geen,Nieuw,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,,,POINT (166126 427343)
zwemlocaties_rws_2016.62,62,NLBW93_DORDBH,DORDBH,DORADO BEACH,206386,449956,715097.509,5769635.234,Oost Nederland,GELDERLAND,DORADOBEACH,2010,2004-2007,uitstekend,n.a.n.,nee,zoet,geen,Nieuw,Uitstekend,Uitstekend,Uitstekend,nee,NL93_IJSSEL,IJssel,,,POINT (206386 449956)
zwemlocaties_rws_2016.63,63,NLBW81_DELFZBSD,DELFZBSD,"ZEESTRAND EEMSHOTEL, DELFZIJL",257864,595370,761732.14,5916725.833,Noord Nederland,GRONINGEN,"Zeestrand Eemshotel, Delfzijl",2016,2012-2015,aanvaardbaar,2015,nee,zout,Slecht,Slecht,Slecht,Aanvaardbaar,Goed,nee,NL81_2,Eems-Dollard,,,POINT (257864 595370)
zwemlocaties_rws_2016.64,64,NLBW81_TERMTZBSD,TERMTZBSD,TERMUNTERZIJL STRAND,264616,591963,768597.365,5913546.464,Noord Nederland,GRONINGEN,Termunterzijl strand,2016,2012-2015,slecht,2015,nee,zout,Slecht,Slecht,Slecht,Slecht,Wijziging,nee,NL81_2,Eems-Dollard,,,POINT (264616 591963)
zwemlocaties_rws_2016.65,65,NLBW91_CBRAND50,DAGSDKSZZ,"DE KIS ZUID, PLAS EILAND",187932,349851,699916.024,5668963.603,Zuid Nederland,LIMBURG,"De Kis Zuid, Plas Eiland",2014,2010-2013,Goed,2013,nee,zoet,Uitstekend,Goed,Goed,Uitstekend,Uitstekend,ja,NL91GM,Grensmaas,,,POINT (187932 349851)
zwemlocaties_rws_2016.66,66,NLBW91_CBRAND80,DAGSDKSNZ,"DE KIS NOORD, PLAS BRANDT",188053,350023,700031.399,5669139.45,Zuid Nederland,LIMBURG,BRANDT DAGSTRAND DE KIS NOORDZ. D2,2010,2004-2007,uitstekend,2012,nee,zoet,Uitstekend,Goed,Uitstekend,Uitstekend,Uitstekend,ja,NL91GM,Grensmaas,,,POINT (188053 350023)
