FID,ZAKRECHT,NAAM,NAAM_UPPER,GEOMETRIE
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d33,Eigendom (recht van),Stichting Portaal,STICHTING PORTAAL,"POLYGON ((186612.913 427831.815, 186616.083 427827.484, 186616.191 427827.337, 186633.758 427840.317, 186632.562 427841.962, 186630.486 427844.8, 186612.913 427831.815))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d34,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((189527.726 427254.524, 189526.913 427248.861, 189557.817 427244.5, 189558.772 427250.141, 189527.726 427254.524))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d35,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((189527.726 427254.524, 189558.772 427250.141, 189559.522 427254.571, 189547.639 427257.586, 189545.894 427257.833, 189543.804 427258.116, 189528.538 427260.178, 189527.726 427254.524))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d36,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((188719.599 430791.807, 188717.475 430796.526, 188711.221 430795.102, 188705.927 430793.828, 188704.605 430793.508, 188705.177 430791.113, 188704.41 430790.876, 188705.038 430788.453, 188719.599 430791.807))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d37,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((182253.219 427128.073, 182251.572 427128.97, 182251.299 427128.468, 182249.603 427129.404, 182248.794 427129.846, 182248.471 427130.022, 182235.197 427105.604, 182239.67 427103.158, 182252.678 427127.079, 182253.219 427128.073))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d38,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((185942.541 426953.643, 185937.513 426951.673, 185944.839 426933.021, 185949.864 426934.998, 185942.541 426953.643))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d39,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((186055.359 425480.692, 186051.262 425485.115, 186052.363 425486.151, 186034.713 425505.373, 186014.369 425527.553, 186011.486 425530.696, 186001.03 425521.413, 185986.718 425508.684, 185982.858 425512.599, 185968.668 425499.006, 185960.631 425491.303, 185955.624 425486.504, 185976.389 425465.644, 185990.465 425466.684, 185995.01 425472.011, 185996.046 425473.041, 185997.137 425474.012, 185998.278 425474.923, 185999.468 425475.771, 186001.187 425476.836, 186002.926 425477.869, 186004.684 425478.867, 186006.52 425479.423, 186008.377 425479.91, 186010.25 425480.325, 186012.138 425480.669, 186013.415 425480.685, 186014.692 425480.643, 186015.965 425480.542, 186017.232 425480.383, 186018.491 425480.167, 186019.739 425479.894, 186021.786 425479.53, 186023.825 425479.124, 186024.837 425478.875, 186025.831 425478.559, 186026.8 425478.176, 186027.742 425477.729, 186028.829 425477.149, 186029.888 425476.519, 186030.918 425475.841, 186031.915 425475.117, 186032.877 425474.347, 186033.935 425473.377, 186034.945 425472.358, 186035.905 425471.291, 186036.813 425470.18, 186038.856 425470.343, 186041.732 425470.573, 186043.748 425470.916, 186045.754 425471.315, 186047.748 425471.769, 186049.729 425472.278, 186051.695 425472.841, 186053.645 425473.458, 186055.204 425473.994, 186055.686 425474.246, 186056.127 425474.563, 186056.518 425474.94, 186056.852 425475.369, 186057.052 425475.75, 186057.19 425476.157, 186057.263 425476.581, 186057.269 425477.011, 186057.149 425477.852, 186056.9 425478.665, 186056.739 425479.034, 186056.536 425479.38, 186056.292 425479.7, 186056.012 425479.988, 186055.359 425480.692))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d3a,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((183743.133 425241.638, 183742.519 425244.681, 183742.717 425244.709, 183742.629 425245.333, 183742.448 425246.087, 183742.01 425246.91, 183741.334 425247.609, 183740.552 425248.062, 183739.775 425248.279, 183738.829 425248.292, 183736.218 425247.924, 183736.992 425242.689, 183740.89 425243.266, 183741.173 425241.348, 183743.133 425241.638))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d3b,Eigendom (recht van),Stichting Portaal,STICHTING PORTAAL,"POLYGON ((186160.286 432474.241, 186178.116 432459.691, 186179.587 432461.441, 186181.613 432463.807, 186163.799 432478.385, 186160.286 432474.241))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d3c,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((183181.508 426785.258, 183172.997 426795.632, 183167.277 426802.556, 183165.606 426804.571, 183160.732 426800.598, 183162.42 426798.564, 183168.119 426791.63, 183176.632 426781.252, 183181.508 426785.258))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d3d,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((183181.508 426785.258, 183186.319 426789.21, 183170.501 426808.588, 183165.606 426804.571, 183167.277 426802.556, 183172.997 426795.632, 183181.508 426785.258))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d3e,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((184198.658 424720.702, 184198.637 424720.695, 184195.833 424719.61, 184198.148 424713.624, 184200.973 424714.717, 184198.658 424720.702))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d3f,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((182612.51 426854.48, 182622.11 426849.27, 182624.82 426847.78, 182635.7 426841.83, 182641.44 426852.09, 182657.54 426856.8, 182678.06 426845.64, 182690.018 426867.494, 182657.38 426885.35, 182624.07 426875.62, 182612.51 426854.48))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d40,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((186436.814 431961.553, 186439.901 431960.026, 186445.499 431957.268, 186451.661 431955.011, 186450.908 431952.819, 186456.672 431950.855, 186463.347 431948.977, 186469.223 431947.716, 186475.025 431946.758, 186480.963 431945.881, 186485.713 431945.129, 186491.662 431944.252, 186507.078 431941.924, 186516.835 431940.469, 186517.636 431945.908, 186518.073 431948.876, 186518.511 431951.844, 186520.182 431963.183, 186495.969 431966.859, 186481.088 431969.109, 186478.706 431969.467, 186475.717 431969.951, 186473.615 431970.302, 186472.303 431970.528, 186470.91 431970.811, 186469.12 431971.239, 186467.585 431971.64, 186465.294 431972.267, 186463.251 431972.9, 186461.414 431973.508, 186459.48 431974.207, 186457.892 431974.814, 186456.364 431975.424, 186454.399 431976.271, 186451.895 431977.444, 186449.983 431978.41, 186447.099 431979.855, 186444.858 431975.866, 186444.57 431976.027, 186443.117 431973.441, 186443.405 431973.28, 186436.814 431961.553))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d41,Eigendom (recht van),Stichting Portaal,STICHTING PORTAAL,"POLYGON ((186261.826 427534.463, 186260.312 427545.026, 186257.118 427544.578, 186254.225 427544.156, 186254.61 427544.341, 186254.954 427544.595, 186255.246 427544.907, 186255.474 427545.268, 186255.632 427545.665, 186255.714 427546.085, 186255.717 427546.512, 186255.641 427546.932, 186255.489 427547.332, 186255.265 427547.696, 186254.978 427548.012, 186254.637 427548.271, 186254.255 427548.461, 186253.844 427548.578, 186252.152 427548.563, 186250.461 427548.627, 186248.774 427548.77, 186247.096 427548.991, 186245.431 427549.29, 186243.781 427549.667, 186242.15 427550.12, 186240.543 427550.649, 186238.962 427551.252, 186237.41 427551.929, 186235.892 427552.677, 186234.411 427553.495, 186232.969 427554.381, 186231.57 427555.333, 186230.217 427556.35, 186228.612 427557.501, 186229.345 427558.348, 186228.123 427559.432, 186226.952 427560.571, 186225.834 427561.762, 186224.772 427563.003, 186223.768 427564.291, 186222.824 427565.625, 186221.943 427567, 186221.125 427568.414, 186220.373 427569.864, 186219.688 427571.346, 186219.071 427572.859, 186218.525 427574.399, 186218.05 427575.961, 186217.647 427577.544, 186217.317 427579.144, 186217.06 427580.757, 186216.878 427582.381, 186216.771 427584.011, 186216.738 427585.644, 186216.78 427587.277, 186216.897 427588.906, 186217.088 427590.528, 186217.353 427592.14, 186217.692 427593.738, 186218.104 427595.318, 186218.588 427596.878, 186219.143 427598.415, 186219.768 427599.924, 186208.925 427615.241, 186205.441 427620.207, 186201.245 427617.048, 186201.137 427616.967, 186206.228 427612.229, 186199.415 427581.06, 186193.273 427552.382, 186193.158 427551.847, 186194.278 427550.083, 186195.459 427548.36, 186195.373 427548.339, 186195.331 427548.261, 186195.362 427548.178, 186195.445 427548.146, 186195.523 427548.187, 186195.545 427548.273, 186197.253 427545.992, 186199.019 427543.757, 186200.844 427541.568, 186202.725 427539.428, 186201.718 427538.495, 186202.436 427535.401, 186203.431 427531.016, 186205.731 427527.215, 186207.88 427525.693, 186210.067 427524.227, 186212.292 427522.818, 186214.552 427521.467, 186216.847 427520.175, 186219.174 427518.943, 186221.532 427517.771, 186223.92 427516.661, 186226.336 427515.613, 186226.277 427515.565, 186226.276 427515.488, 186226.334 427515.438, 186226.41 427515.452, 186226.448 427515.518, 186226.421 427515.59, 186228.502 427514.851, 186230.605 427514.178, 186232.728 427513.571, 186234.869 427513.031, 186237.025 427512.558, 186239.196 427512.154, 186241.379 427511.818, 186243.57 427511.551, 186245.769 427511.353, 186247.974 427511.224, 186250.181 427511.164, 186250.221 427513.664, 186250.255 427516.007, 186250.337 427515.996, 186250.403 427516.047, 186250.414 427516.129, 186250.363 427516.195, 186251.656 427516.152, 186252.814 427516.142, 186252.89 427519.77, 186252.944 427522.521, 186257.867 427523.217, 186263.295 427523.947, 186261.826 427534.463))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d42,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((189238.076 427380.697, 189238.551 427380.678, 189239.022 427380.739, 189239.476 427380.877, 189239.901 427381.088, 189240.286 427381.367, 189240.618 427381.706, 189240.89 427382.095, 189241.094 427382.524, 189241.223 427382.981, 189246.515 427404.115, 189242.03 427405.196, 189241.796 427404.494, 189225.491 427408.608, 189225.629 427409.355, 189224.916 427409.534, 189219.94 427410.79, 189208.163 427413.675, 189202.763 427415.029, 189202.51 427414.005, 189197.366 427393.436, 189197.398 427392.952, 189197.498 427392.478, 189197.664 427392.022, 189197.892 427391.595, 189198.179 427391.204, 189198.518 427390.857, 189198.903 427390.562, 189199.325 427390.324, 189199.777 427390.148, 189238.076 427380.697))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d43,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((186971.54 431158.379, 186994.798 431166.287, 186990.483 431179.791, 186989.865 431181.693, 186989.194 431183.578, 186985.526 431193.601, 186982.633 431195.154, 186980.178 431201.682, 186966.6 431182.25, 186971.35 431171.508, 186957.841 431169.712, 186940.939 431145.519, 186943.346 431145.78, 186947.057 431146.213, 186950.766 431146.674, 186954.47 431147.164, 186962.397 431148.286, 186964.621 431148.589, 186966.841 431148.926, 186969.054 431149.298, 186971.262 431149.705, 186972.652 431149.974, 186971.54 431158.379))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d44,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((187864.749 425289.404, 187858.508 425289.438, 187846.072 425289.505, 187843.833 425289.517, 187843.795 425282.998, 187857.469 425282.914, 187860.422 425282.937, 187871.758 425282.88, 187871.733 425287.407, 187871.728 425289.129, 187871.727 425289.366, 187864.749 425289.404))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d45,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((187864.749 425289.404, 187864.769 425292.565, 187864.793 425296.294, 187864.765 425305.108, 187864.788 425312.997, 187864.797 425315.989, 187858.679 425316.025, 187858.66 425313.037, 187858.609 425305.148, 187858.508 425289.438, 187864.749 425289.404))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d46,Eigendom (recht van),Stichting Portaal,STICHTING PORTAAL,"POLYGON ((183769.147 426116.187, 183777.044 426110.627, 183788.492 426127.164, 183792.471 426127.829, 183791.421 426133.563, 183788.706 426148.38, 183774.613 426146.024, 183774.526 426145.249, 183774.212 426144.738, 183774.442 426144.534, 183774.818 426144.201, 183773.24 426142.002, 183773.061 426142.13, 183762.211 426126.924, 183761.622 426126.074, 183754.013 426115.431, 183757.035 426113.263, 183767.953 426114.46, 183769.147 426116.187))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d47,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((184630.26 427120.163, 184631.986 427117.637, 184636.835 427120.948, 184635.109 427123.475, 184630.26 427120.163))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d48,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((185960.512 426877.762, 185965.537 426879.744, 185957.794 426899.674, 185952.767 426897.702, 185960.512 426877.762))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d49,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((188666.638 428096.5, 188671.132 428102.667, 188672.766 428102.217, 188678.855 428115.031, 188679.116 428114.903, 188680.79 428118.425, 188680.525 428118.553, 188683.678 428125.201, 188683.416 428125.328, 188684.357 428127.311, 188661.57 428138.188, 188655.319 428124.904, 188652.614 428115.193, 188649.049 428108.947, 188651.892 428106.967, 188651.804 428106.842, 188658.083 428102.465, 188657.923 428102.236, 188661.111 428100.013, 188661.272 428100.243, 188666.638 428096.5))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d4a,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((187899.812 425251.027, 187899.29 425251.029, 187899.279 425247.307, 187899.211 425238.899, 187899.188 425226.103, 187905.325 425226.079, 187905.367 425249.824, 187899.804 425249.895, 187899.812 425251.027))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d4b,Eigendom (recht van),Stichting Portaal,STICHTING PORTAAL,"POLYGON ((186390.875 427448.942, 186432.822 427404.582, 186434.984 427402.296, 186437.359 427399.785, 186448.343 427408.181, 186453.601 427412.764, 186454.685 427413.708, 186445.458 427423.631, 186443.712 427425.509, 186442.755 427426.654, 186442.698 427426.6, 186426.699 427443.806, 186425.582 427442.493, 186416.274 427452.588, 186406.152 427463.307, 186390.875 427448.942))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d4c,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((189283.235 427300.376, 189256.459 427305.287, 189256.248 427304.177, 189255.393 427299.626, 189282.194 427294.712, 189283.235 427300.376))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d4d,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((186600.342 424831.709, 186606.023 424830.119, 186614.754 424827.676, 186626.798 424824.306, 186627.666 424827.744, 186628.393 424830.623, 186622.865 424832.063, 186619.261 424833.002, 186616.358 424833.761, 186608.592 424835.913, 186601.944 424837.755, 186600.342 424831.709))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d4e,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((189475.298 427719.866, 189475.055 427718.999, 189475.536 427718.864, 189475.779 427719.731, 189475.298 427719.866))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d4f,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((183895.933 424447.911, 183893.75 424453.537, 183882.885 424449.35, 183871.721 424444.816, 183873.874 424439.247, 183875.542 424439.901, 183885.054 424443.72, 183895.933 424447.911))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d50,Eigendom (recht van),Stichting Sshn,STICHTING SSHN,"POLYGON ((187947.22 429091.57, 187934.301 429094.373, 187928.978 429095.541, 187926.939 429083.673, 187930.797 429082.814, 187931.471 429082.664, 187931.988 429082.548, 187931.94 429082.334, 187933.095 429082.046, 187933.15 429082.29, 187934.252 429082.044, 187934.2 429081.81, 187940.093 429080.302, 187940.187 429080.722, 187944.93 429079.66, 187945.9 429085.6, 187947.22 429091.57))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d51,Eigendom (recht van),Stichting Mooiland,STICHTING MOOILAND,"POLYGON ((185966.234 425425.724, 185936.119 425398.507, 185933.447 425401.447, 185911.776 425381.883, 185928.593 425363.403, 185949.885 425382.882, 185953.184 425379.246, 185983.291 425407.225, 185966.234 425425.724))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d52,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((182273.157 427138.446, 182299.142 427124.219, 182302.36 427130.1, 182276.401 427144.389, 182273.157 427138.446))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d53,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((188915.149 427177.714, 188918.641 427179.441, 188917.015 427182.744, 188918.194 427186.485, 188916.436 427189.947, 188912.707 427191.188, 188909.231 427189.385, 188908.028 427185.638, 188904.757 427184.028, 188906.537 427180.546, 188907.523 427180.993, 188908.337 427179.416, 188913.022 427177.898, 188914.644 427178.686, 188915.149 427177.714))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d54,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((183259.996 424579.172, 183316.921 424600.692, 183313.407 424610.215, 183256.307 424589.025, 183259.996 424579.172))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d55,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((185645.37 424556.234, 185631.649 424572.139, 185627.263 424568.353, 185635.669 424558.609, 185640.981 424552.45, 185645.37 424556.234))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d56,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((185918.924 424338.284, 185831.109 424262.419, 185830.88 424258.413, 185879.199 424202.467, 185884.371 424201.844, 185950.519 424259.06, 185924.117 424289.749, 185945.184 424307.898, 185918.924 424338.284))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d57,Eigendom (recht van),Stichting Portaal,STICHTING PORTAAL,"POLYGON ((186798.9 428284.42, 186792.81 428260.66, 186795.73 428259.88, 186814.2 428255.15, 186814.82 428257.6, 186816.3 428257.23, 186817.48 428256.95, 186816.75 428254.07, 186811.32 428232.98, 186809.19 428233.52, 186807.141 428225.451, 186809.27 428224.91, 186815.203 428221.06, 186825.77 428214.2, 186833.74 428229.12, 186834.638 428231.323, 186835.36 428233.59, 186839.51 428249.77, 186838.31 428250.08, 186841.07 428260.67, 186844.03 428272.3, 186833.345 428275.008, 186820.07 428278.371, 186820.28 428279.13, 186798.9 428284.42))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d58,Eigendom (recht van),Stichting Portaal,STICHTING PORTAAL,"POLYGON ((186056.107 428042.947, 186048.827 428050.451, 186047.786 428051.335, 186028.851 428032.269, 186022.743 428038.121, 186021.133 428037.026, 186007.402 428054.828, 185994.023 428044.747, 186020.829 428008.753, 186028.465 428014.452, 186027.869 428015.48, 186032.041 428018.553, 186056.107 428042.947))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d59,Eigendom (recht van),Stichting Portaal,STICHTING PORTAAL,"POLYGON ((186056.107 428042.947, 186056.821 428043.67, 186056.524 428043.921, 186048.827 428050.451, 186056.107 428042.947))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d5a,Eigendom (recht van),Stichting Portaal,STICHTING PORTAAL,"POLYGON ((187931.149 431850.336, 187926.516 431848.777, 187921.104 431846.956, 187915.701 431845.138, 187910.299 431843.32, 187904.896 431841.502, 187901.768 431840.45, 187899.495 431839.685, 187894.866 431838.127, 187894.835 431838.064, 187894.585 431838.189, 187895.177 431836.426, 187895.248 431836.214, 187896.802 431831.582, 187898.425 431826.747, 187900.023 431821.986, 187901.647 431817.147, 187903.271 431812.304, 187904.889 431807.481, 187906.527 431802.598, 187908.139 431797.793, 187909.473 431793.818, 187913.47 431795.16, 187922.152 431797.757, 187932.539 431800.746, 187926.189 431821.949, 187926.982 431823.327, 187938.073 431826.518, 187931.149 431850.336))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d5b,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((187871.683 425263.922, 187871.683 425263.883, 187871.671 425257.587, 187899.86 425257.492, 187899.907 425263.814, 187894.992 425263.826, 187886.463 425263.847, 187871.683 425263.922))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d5c,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((185209.802 423813.04, 185191.471 423797.16, 185194.081 423794.15, 185195.277 423792.768, 185204.827 423800.992, 185210.501 423805.921, 185213.632 423808.622, 185212.937 423809.424, 185209.802 423813.04))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d5d,Eigendom (recht van),Stichting Portaal,STICHTING PORTAAL,"POLYGON ((185105.053 424005.189, 185131.233 423974.649, 185166.613 424005.114, 185166.741 424005.224, 185165.964 424006.122, 185165.684 424005.791, 185141.047 423984.521, 185140.51 423984.093, 185139.927 423983.729, 185139.307 423983.435, 185138.657 423983.213, 185137.985 423983.068, 185137.302 423983.001, 185136.615 423983.013, 185135.934 423983.103, 185135.268 423983.271, 185134.626 423983.515, 185134.016 423983.83, 185133.446 423984.214, 185132.924 423984.66, 185122.146 423996.955, 185121.806 423997.382, 185121.514 423997.844, 185121.275 423998.335, 185121.091 423998.849, 185120.965 423999.38, 185120.897 423999.922, 185120.89 424000.468, 185120.695 424005.575, 185114.209 424013.228, 185106.391 424006.372, 185105.053 424005.189))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d5e,Eigendom (recht van),Stichting Portaal,STICHTING PORTAAL,"POLYGON ((183459.608 424033.397, 183470.094 424015.11, 183474.867 424013.366, 183500 424027.66, 183506.461 424031.384, 183506.494 424031.403, 183499.938 424042.74, 183494.03 424052.955, 183461.339 424034.381, 183459.608 424033.397))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d5f,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((188766.523 430784.229, 188766.477 430794.759, 188765.034 430800.816, 188764.346 430802.462, 188763.625 430803.967, 188762.83 430805.433, 188761.961 430806.858, 188761.021 430808.235, 188760.014 430809.565, 188758.94 430810.842, 188757.802 430812.062, 188756.605 430813.224, 188755.295 430814.372, 188753.778 430815.399, 188752.29 430816.312, 188750.761 430817.155, 188749.194 430817.927, 188747.596 430818.626, 188745.966 430819.253, 188744.309 430819.803, 188742.629 430820.277, 188740.928 430820.673, 188739.1 430821.013, 188733.179 430821.166, 188729.25 430820.316, 188733.95 430800.289, 188736.73 430795.753, 188740.043 430790.347, 188742.702 430777.905, 188753.494 430765.159, 188769.618 430779.361, 188767.024 430782.473, 188766.513 430783.321, 188766.523 430784.229))"
