Leverancier;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Keizer Kijk op Kleur;1;;;;;1
Kenter;;;2;;;2
KijkDaan B.V.;1;;;;;1
King Nederland B.V.;1;;;;;1
Klaassen Hekwerk;2;;;;;2
Klimcentrum Nijmegen B.V.;1;;;;;1
Koninklijke Gazelle N.V.;4;;;;;4
Koninklijke Van Twist B.V.;;;1;;;1
Kringapotheek Velperweg;1;;;;;1
Kwint B.V.;4;;;;;4
Landal GreenParks Beheer en Projecten B.V.;;1;;;;1
Lasaulec B.V.;2;;;;;2
Laska Computers;1;;;;;1
Lensli B.V.;1;;;;;1
Lex Lijstenmakerij;1;;;;;1
Liander N.V.;;;7;;;7
Linden Bedrijfskleding B.V.;1;;;;;1
Lopital Nederland B.V.;1;;;;;1
Manutan B.V.;2;;;;;2
Maxifleur B.V.;1;;;;;1
Merkenbureau Knijff & Partners B.V.;3;;;;;3
Miele Nederland B.V.;1;;;;;1
Moesman's Antieke/Oude/Nwe. Stijl Meubelmak.;1;;;;;1
Mo-Tech Industries;2;;;;;2
Muta Sport Nederland B.V.;1;;;;;1
N.V. Rendo;;;3;;;3
N.V. Waterbedrijf Groningen;;;2;;;2
NAMA;1;;;;;1
Neerlandia Textielreiniging B.V.;1;;;;;1
NetComputers;1;;;;;1
Netstar;1;;;;;1
NH Groningen;1;;;;;1
Niehoff AV distribution & support;2;;;;;2
Nilfisk B.V.;1;;;;;1
Nooter Technische Installaties B.V.;2;;;;;2
Nyink B.V.;1;;;;;1
Office Depot B.V.;1;;;;;1
Officefood;1;;;;;1
Oostdam Flextent International B.V.;1;;;;;1
Osma;1;;;;;1
P&M Vastgoed B.V.;2;;;;;2
Pactechno;1;;;;;1
Pagid Benelux B.V.;;;1;;;1
Pasma Biljarts;1;;;;;1
Pictogrammenwinkel;1;;;;;1
Powertec Diesel Services B.V.;1;;;;;1
Resort Brunssummerheide B.V.;;1;;;4;4
Ricas Inst. v. Risico-Adv. en Veiligheidsopl.;4;;;;;4
Rijkaart;1;;;;;1
ROHDE & GRAHL B.V.;1;;;;;1
Roompot Service B.V.;;1;;;;1
Rotterdam Airport Vastgoed B.V.;;;2;;;2
Salomo Vastgoed B.V.;;;;;4;4
Schuiteman Woninginrichting;4;;;;;4
Scratch no More B.V.;1;;;;;1
Servall B.V.;1;;;;;1
SIGHT Landscaping B.V.;1;;;;;1
Sligro B.V.;1;;;;;1
Snel-Braber Bathmen;1;;;;;1
Speed Clean Mobile B.V.;1;;;;;1
Speed Clean Mobile Franchise B.V.;5;;;;;5
Stedin;;;7;;;7
Stichting Waternet;;;2;;;2
Storm Plastificeren;1;;;;;1
Story Sound;1;;;;;1
Stoverink Interieurbouw & Interieurmontage BV;;;;;2;2
Strijbosch B.V.;2;;;;;2
t Rijwielhuis;1;;;;;1
Tapijtcentrum Nederland B.V.;1;;;;;1
TASKoffice Working WELL;1;;;;;1
TCS Fietsen;1;;;;;1
Technisch Bureau Magema B.V.;2;;;;;2
Technische Unie B.V.;1;;;;;1
Tentenverhuur De Weerd Voorst;1;;;;;1
Top Movers Nederland B.V.;;;;7;;7
TRConsult B.V.;1;;;;;1
Trenton B.V.;;;2;;;2
tshirtdeal;1;;;;;1
Tweewielergroothandel Kik-Goes;1;;;;;1
v. Dongen met de Kroon Borduurprof. B.V.;1;;;;;1
Van der Bijl Diervoeders B.V.;1;;;;;1
Van der Garde's Warenhuis;1;;;;;1
Van Dijk IJzerhandel B.V.;1;;;;;1
Van Melzen 2wielers;1;;;;;1
Van Vugt Event Products B.V.;2;;;;;2
Van Wiefferen B.V.;2;;;;;2
Vattenfall Sales Nederland N.V.;;;10;;;10
Veluws Rijwielhuis Dickhof B.V.;1;;;;;1
Ver. Bedr. Jansen-Wijsmuller & Beuns B.V.;1;;;;;1
Verdoes Fietsen B.V.;1;;;;;1
Verschoor Bouwservice B.V.;;4;;;;4
Vink Lisse B.V.;1;;;;;1
Visit Arnhem Nijmegen B.V.;1;;;;;1
Visser Woninginrichting B.V.;2;;;;;2
Vitens N.V.;;;6;;;6
VKF Renzel B.V.;1;;;;;1
Vliek Tweewielers B.V.;1;;;;;1
Vromans Interieur B.V.;1;;;;;1
Wansink's Woninginrichting V.O.F.;1;;;;;1
Westland Infra Netbeheer B.V.;;;4;;;4
Wiba Zevenaar B.V.;1;;;;;1
Wienet BHV-Brandweeropleidingen;1;;;;;1
Wooncentrum Snoeken Ruinen B.V.;2;;;;;2
WTTP B.V.;;;2;;;2
Eindtotaal;7;5;11;7;5;11
