Handelsnaam;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Gerechtsdeurw.kant. Noord-Holland-Noord B.V.;;;;;;;;1;1
Giarte Services B.V.;;;;;;;;4;4
Global Knowledge Network Netherlands B.V.;;;;;1;;;;1
Gridline B.V.;;;;;;;;2;2
Gullimex B.V.;;;;;;;1;;1
GW Cross Media B.V.;;;1;;;;;;1
H.R. Guest Fotografie;;;;;;;;1;1
Hamburgisches WeltWirtschafts Institut HWWI;;;;;1;;;;1
Hampshire Exploitatie I B.V.;;1;;;;;;;1
Haver Analytics;1;;;;;;;;1
HeadFirst B.V.;;;;;6;;;3;6
Het Kookplein;;;;;;;;1;1
Hippo B.V.;;;1;1;;;;;2
Homij Technische Installaties B.V.;1;;;;;;;;1
Hoogendoorn Automatisering B.V.;;;;;;;;1;1
Hotel Contact B.V.;;;;1;;;1;1;1
Houben Mediatechniek B.V.;;;;;;;;1;1
HTA Software;;;;;;;;2;2
Huygens XC B.V.;;;;6;;;;5;7
IBM Nederland B.V.;;1;;1;2;;;7;7
ICATT Interactive Media B.V.;;;;;1;;;;1
ICreative;;;;;1;;;1;1
Ikoula B.V.;;;;;;1;;;1
In2Content B.V.;;;;;;;;1;1
In2ergo B.V.;1;;;;;;;;1
Infotheek Projektpartners;;;;;;;;1;1
Infrastructure Services & Projects B.V.;;;;;;;3;;3
Ingenico e-Commerce Solutions B.V.;;;;;1;;;;1
Inmarsat Solutions B.V.;;;;;;;4;;4
Innovero Software Solutions B.V.;1;;;;1;;;;1
InsightsWorld B.V.;;;;;;;;1;1
Inter Access O.P. B.V.;;;;;1;;;5;5
Intermax outsourcing;;;2;;2;2;1;2;3
Internedservices;;1;3;;1;4;;1;4
Intrum Justitia Nederland B.V.;;;;;1;1;;;1
ItaQ;;;;;2;;;;2
IT-Staffing Nederland B.V.;;;;;5;;;4;6
IV Software;;;;1;;;;;1
iWelcome B.V.;;;;;;;;4;4
JetBrains s.r.o.;;;;;;;;1;1
Jouve;;;;;2;;;;2
Juricas B.V.;;;;1;1;;;1;2
Kabel-Mania;;1;;;;;;;1
Kamera Express;;1;;;;;;;1
Kiwa Register B.V.;;;;;;;;1;1
KommaGo.nl;;;;;;;1;;1
Kools & Ravenhorst Brandkasten B.V.;;;;;;;2;;2
KPN B.V.;1;1;;;;;5;;5
KPN Consulting B.V.;;;;;;5;5;2;6
KPN Corporate Market;;;;;1;;1;;1
KPN Critical Communications;;;;;;;2;;2
KPN XL;;;;;;;2;;2
L & M Software B.V.;;;;;;1;;1;1
Labvantage Solutions Lmtd;;;;;;;;1;1
Lead Solutions B.V.;;;1;;;;;1;2
Leaseplan Nederland N.V.;;;;;;1;;;1
Leunig GmbH;;1;;;;;;;1
Level Up B.V.;;;;;;;;2;2
Locatus;2;;;;;;;;2
Log*in Consultants Nederland B.V.;;;;1;;;;;1
Logan ICT Services B.V.;;;;;;;;2;2
LS telcom AG;;;;;4;;;;4
Lucom Benelux B.V.;;;;;;;;3;3
Lumenz;;;;;;;;1;1
Maakum B.V.;1;;;;;;;;1
Manutan B.V.;;;;;;;1;;1
MapGear B.V.;;;;;;;;1;1
Maptive;;;;;;;;1;1
Marktplaats B.V.;;;;;2;;;;2
Marnecs Management;;;;;;;;2;2
Marosel B.V.;;;;;;;;1;1
Mattmo Creative B.V.;;;;;;;;3;3
MCW Studio's B.V.;;;;;;;;1;1
Medien Aktiv Service GmbH;;;;;;;;1;1
Metis IT Support B.V.;;;;;;;;6;6
Microsoft B.V.;;;;;;;;5;5
Microsoft Ireland Operations Ltd;;;;;1;;;;1
Mini-Circuits Europe;;1;;;;;;;1
Misco Nederland B.V.;;;;;;;;1;1
Misco Nederland BV;;1;;;;;;;1
Misco Solutions B.V.;;5;2;6;2;8;1;7;9
Momice B.V.;;;;;1;;;;1
National Institute of Economic and Social Research;;;;;2;;;;2
National Physical laboratory;;;;;2;;;;2
NCC Group Escrow Europe B.V.;1;;;;;;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;1;;;;1
Ned-IT B.V.;1;;;;;;;;1
Netrex Internet Solutions;;;;;;;;1;1
NewTelco B.V.;;;;;;;1;;1
NIVO Plus;;1;;;;;;;1
NMI Certin B.V.;;;;;;2;;;2
Numerical Algorithms Group Ltd.;;;;;1;;;;1
Nxs Internet B.V.;;;;;;2;;1;2
NXTE;;;;;;;;3;3
OCLC B.V.;1;;;;2;;;;2
Odura;;;;;;;;2;2
Oldenburger Automatisering;;;;;;;;1;1
Ombits-Telecom;;1;;;;;;;1
Onsight Solutions B.V.;4;;;1;1;;;;4
Ontwerpwerk B.V.;;;;;;;;2;2
Opensesame ICT B.V.;;;;;2;;;;2
Operator Groep Delft B.V.;;;;;;;;2;2
Oracle Nederland;;;6;3;8;;;7;8
Orcavoice B.V.;;;;;;;1;;1
Ordina Beheer & Outsourcing;;;;4;4;1;;7;7
Paraben Corporation;;;;;;;;1;1
Paradigit Computers;;1;;;;;;;1
Paragin B.V.;;;;;;;;3;3
Paralax B.V.;;;;;;;;1;1
Perceptive Security B.V.;;;;1;1;;;;2
Perfectview;3;;;;2;;;;3
PerkinElmer Nederland B.V.;;;;;;;;1;1
Planon B.V.;;;;;;;;2;2
PQR B.V.;7;;;;;;;;7
Pree E-RF-Tech;;;;1;;;;;1
PressPage;;;;;;;;1;1
Pricewaterhousecoopers Advisory N.V.;;;;;;;;3;3
Priority;;1;1;;;;;;1
Pro_Install automatisering;;;;;2;;;;2
Prolocation B.V.;;;;;;3;;;3
Protinus IT B.V.;5;6;4;2;4;3;4;2;7
QuoVadis Trustlink B.V.;;;;1;1;;;1;1
R.G. IT B.V.;;;;;;;;1;1
Repromat B.V.;;1;;;;;;;1
Restaurant & Catering Mennega;;;;1;;;;;1
Richardson RFPD;;1;;;;;;;1
Ritom Beveiligingstechniek B.V.;;;;;;1;;1;1
Rohde & Schwarz Benelux B.V.;;;;2;2;1;2;;3
SAMR Interim Solutions B.V.;;;;2;;;;;2
SAP Nederland B.V.;;;;;7;;;;7
Sas Institute B.V.;;;;;3;;;;3
Satcomm.;;;;;;;2;2;2
Satpower Nederland;;;;;;;1;;1
SCC Services B.V.;7;;;;;;;;7
Schiphol Telematics B.V.;;;;;;;2;;2
Scholten Awater B.V.;;7;;5;;;1;;7
Schoonderbeek Installatie B.V.;;;;;;;;1;1
Schuberg Philis B.V.;;1;;;;;;1;2
Scrumwise;;;;;;;;1;1
Sectra Communications B.V.;;;;;2;;;;2
SecureLink Nederland B.V.;;;;;;;;2;2
Semsys;;;;;1;;;;1
Sendrata B.V.;;;;;;1;;1;2
Siers' Leiding-Montage ProjektenOldenzaal BV;;;;;1;;;;1
Simac Electronics B.V.;;2;;;;;;;2
Sira Consulting B.V.;;;;;;;;2;2
Sitebytes B.V.;;;;;;1;;;1
Siteimprove B.V.;;;;;2;;;;2
SLTN IT Products B.V.;;;;;2;;;;2
SLTN IT Professionals B.V.;;;;;2;;;;2
SmartDocuments Nederland B.V.;;;;;;;;1;1
smartphonehoesjes.nl;;;;;;;1;;1
Smidswater B.V.;;;;;;;;1;1
SMT Simple Management Technologies B.V.;;;;;;;;1;1
Snelpas Business Service B.V.;1;;;;;;;;1
Softcrow B.V.;;;;;2;;;;2
SoftwareONE B.V.;;4;4;6;10;1;;6;10
Sogeti Nederland B.V.;;;;;6;;;7;7
Solvinity B.V.;1;;;;;;;1;1
Square Information Solutions B.V.;1;;;;;;;;1
Stanley Security Nederland B.V.;;;;;;3;1;2;3
Start People;;;;;;;;1;1
StartReady;;;;1;2;;;;2
Stellar Data Recovery B.V.;;;;;;;;1;1
Stg. Pens.fonds Benelux-Bur. Intell. Eigendom;;;;;;;;5;5
Stichting Accessibility;;;;;;;;1;1
Stichting Akvo;;;;;;;;1;1
Stichting Kwaliteits-Controle-Bureau;;;;;;;;2;2
Stichting Videma;1;;;;;;;;1
Stoneridge Electronics Limited;;;;;;;;1;1
SURFmarket;2;3;;;;;;;3
SURFnet B.V.;;;;;4;;;;4
SurveyMonkey Europe;;;;;1;;;;1
Symantec Limited;;;;;1;;;;1
T&T Compet&t.b.v.;;;;;2;;;;2
Tableau Software;;;;;;;;1;1
Tailermade Techn. Team 'Triple T' Serv. B.V.;;;;;;1;;2;2
Tangelo Software B.V.;;;;;2;;;4;4
TCN SIG Telehousing Exploitatie B.V.;;;;;;6;;;6
Tele2 Nederland B.V.;;;;1;2;;6;;6
Telegrootgebruik B.V.;;4;;;;7;7;1;7
Teleknowledge Call Center Solutions;;;;;2;;;;2
Telepage B.V.;;;;;;;1;;1
Telfort Zakelijk B.V.;;;;;;;1;;1
Telindus-ISIT B.V.;5;7;1;7;3;;;;7
The MathWorks B.V.;;;;;2;;;;2
The Pebbles Group Lokale Overheid B.V.;;;;;;;;1;1
Thin Scale Technology;1;;;;;;;;1
Thomson Reuters Netherlands B.V.;;;;;2;;;;2
Tie Nederland B.V.;;;;;;;;1;1
TOPdesk Nederland B.V.;1;1;;;2;;;1;2
Tot Z Diensten B.V.;;;;;1;;;;1
Transformation Technologies B.V.;;;;;;;;2;2
Triple P Nederland B.V.;;;;;;2;2;1;3
Turning Technologies Europe B.V.;;;;;;;1;;1
TWS Technologies B.V.;;;;;1;;;;1
Uniscape B.V.;;;4;;;;2;;4
Unisys Nederland N.V.;;;;;4;;;1;4
Unit 4 Agresso Enterprise Solutions B.V.;;;;;3;;;;3
United Nations Industrial Development Organization UNIDO;1;;;;;;;;1
Uselab B.V.;;;;;3;;;;3
UTS Van der Lee/Cors De Jongh B.V.;;;;;;;;1;1
Van der Ent Verhuizingen;;;;;;;;2;2
Van Dijk Zakelijk B.V.;;;;;;;;1;1
Vanberkel Interim Professionals B.V.;;;;;;;;2;2
VCK Travel B.V.;;;;;;;;1;1
Verdonck, Klooster & Associates B.V.;;;;;;;;3;3
Verint Netherlands B.V.;;;;;;3;;;3
VEVIDA B.V.;;;;;;1;;;1
Vicrea Solutions B.V.;;;;;3;;;3;4
Vivon Nederland B.V.;;;;;;;1;;1
Vodafone;3;1;;;;;7;3;7
Volker Wessels Telecom Netwerk Solutions B.V.;;;;;2;;;;2
Vosko Networking B.V.;;2;2;;1;;;;2
Vrieservice B.V.;;;;;;;1;;1
VSN International Limited;;;;;;;;1;1
Wärtsilä SAM Electronics Nederland B.V.;;;;;;;;1;1
Weber Installatietechnieken B.V.;;;;;1;;;;1
Webservices.nl B.V.;;;;;;;;1;1
Wedomedia B.V.;1;;;;;;;;1
WHC;;;;;;;;1;1
WiesWeb Application Development;;;;;;;;1;1
Wireless Innovation Limited;;;;;;;1;;1
Xerox (Nederland) B.V.;4;3;5;;;;;1;6
Xolphin B.V.;;;;;1;;;;1
XS4ALL Internet B.V.;1;;;;;;2;;2
Ymor E-Services B.V.;;;;;;;;2;2
ZEPCAM B.V.;;;;;;;1;;1
Zet Solutions B.V.;;;;1;;;;1;1
Zilt & Co B.V.;;;;;;;;1;1
Zylab Benelux B.V.;;;;;1;;;;1
Eindtotaal;7;8;7;8;11;9;8;10;12
