BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;ONDERWIJSTYPE VO EN LEER- OF VERBLIJFSJAAR;VMBO SECTOR;AFDELING;ELEMENTCODE;OPLEIDINGSNAAM;LEER- OF VERBLIJFSJAAR 1 - MAN;LEER- OF VERBLIJFSJAAR 1 - VROUW;LEER- OF VERBLIJFSJAAR 2 - MAN;LEER- OF VERBLIJFSJAAR 2 - VROUW;LEER- OF VERBLIJFSJAAR 3 - MAN;LEER- OF VERBLIJFSJAAR 3 - VROUW;LEER- OF VERBLIJFSJAAR 4 - MAN;LEER- OF VERBLIJFSJAAR 4 - VROUW;LEER- OF VERBLIJFSJAAR 5 - MAN;LEER- OF VERBLIJFSJAAR 5 - VROUW;LEER- OF VERBLIJFSJAAR 6 - MAN;LEER- OF VERBLIJFSJAAR 6 - VROUW;TOTAAL
01UH;00;Maartenscollege;HAREN;VMBO uitbest. aan VAVO;N.v.t.;N.v.t.;4040;VMBO-TL naar VAVO;0;0;0;0;0;0;0;1;0;0;0;0;1
01UH;00;Maartenscollege;HAREN;VMBO uitbest. aan VAVO;N.v.t.;N.v.t.;4045;VMBO-TL naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;1;0;0;0;0;0;1
01UH;00;Maartenscollege;HAREN;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0173;VWO-ATH Prf Cul/Maat;0;0;0;0;0;0;0;8;0;4;2;3;17
01UH;00;Maartenscollege;HAREN;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0273;VWO-GYM Prf Cul/Maat;0;0;0;0;0;0;0;1;0;1;0;1;3
01UH;00;Maartenscollege;HAREN;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0172;VWO-ATH Prf Ec/Maat;0;0;0;0;0;0;24;8;13;13;17;12;87
01UH;00;Maartenscollege;HAREN;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0272;VWO-GYM Prf Ec/Maat;0;0;0;0;0;0;0;3;0;0;0;1;4
01UH;00;Maartenscollege;HAREN;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0171;VWO-ATH Prf Nat/Gezond;0;0;0;0;0;0;16;25;13;28;15;24;121
01UH;00;Maartenscollege;HAREN;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0271;VWO-GYM Prf Nat/Gezond;0;0;0;0;0;0;1;6;0;4;2;6;19
01UH;00;Maartenscollege;HAREN;VWO lj 4-6;N.v.t.;Natuur en Techniek;0170;VWO-ATH Prf Nat/Tech;0;0;0;0;0;0;5;4;14;4;11;1;39
01UH;00;Maartenscollege;HAREN;VWO lj 4-6;N.v.t.;Natuur en Techniek;0270;VWO-GYM Prf Nat/Tech;0;0;0;0;0;0;0;1;0;0;3;1;5
01UH;00;Maartenscollege;HAREN;VWO uitbest. aan VAVO;N.v.t.;N.v.t.;4011;VWO-ATH NW naar VAVO;0;0;0;0;0;0;0;0;0;0;1;0;1
01UH;00;Maartenscollege;HAREN;VWO uitbest. aan VAVO;N.v.t.;N.v.t.;4016;VWO-ATH NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;0;0;0;2;2
02CR;00;Willem Lodewijkgymnasium;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0200;VWO-GYMNASIUMSTROOM;80;59;71;65;0;0;0;0;0;0;0;0;275
02CR;00;Willem Lodewijkgymnasium;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0200;VWO-GYMNASIUMSTROOM;0;0;0;0;61;68;0;0;0;0;0;0;129
02CR;00;Willem Lodewijkgymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0273;VWO-GYM Prf Cul/Maat;0;0;0;0;0;0;4;8;3;8;1;7;31
02CR;00;Willem Lodewijkgymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0272;VWO-GYM Prf Ec/Maat;0;0;0;0;0;0;17;4;18;5;11;17;72
02CR;00;Willem Lodewijkgymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Economie en Maatschappij / Cultuur en Maatschappij;0279;VWO-GYM Prf Ec/Maat & Cul/Maat;0;0;0;0;0;0;0;0;0;0;1;1;2
02CR;00;Willem Lodewijkgymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0271;VWO-GYM Prf Nat/Gezond;0;0;0;0;0;0;19;40;8;22;15;18;122
02CR;00;Willem Lodewijkgymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Techniek;0270;VWO-GYM Prf Nat/Tech;0;0;0;0;0;0;27;5;28;12;35;10;117
02CR;00;Willem Lodewijkgymnasium;GRONINGEN;VWO uitbest. aan VAVO;N.v.t.;N.v.t.;4026;VWO-GYM NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;0;0;5;0;5
02UV;00;Gomarus College;GRONINGEN;HAVO lj 4-5;N.v.t.;Cultuur en Maatschappij;0373;HAVO Prf Cul/Maat;0;0;0;0;0;0;4;26;5;27;0;0;62
02UV;00;Gomarus College;GRONINGEN;HAVO lj 4-5;N.v.t.;Economie en Maatschappij;0372;HAVO Prf Ec/Maat;0;0;0;0;0;0;53;48;40;39;0;0;180
02UV;00;Gomarus College;GRONINGEN;HAVO lj 4-5;N.v.t.;Economie en Maatschappij / Cultuur en Maatschappij;0379;HAVO Prf Ec/Maat & Cul/Maat;0;0;0;0;0;0;0;0;0;1;0;0;1
02UV;00;Gomarus College;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Gezondheid;0371;HAVO Prf Nat/Gezond;0;0;0;0;0;0;17;21;10;26;0;0;74
02UV;00;Gomarus College;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Techniek;0370;HAVO Prf Nat/Tech;0;0;0;0;0;0;16;6;23;4;0;0;49
02UV;00;Gomarus College;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Techniek / Natuur en Gezondheid;0374;HAVO Prf Nat/Tech & Nat/Gezond;0;0;0;0;0;0;0;0;1;1;0;0;2
02UV;00;Gomarus College;GRONINGEN;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4031;HAVO NW naar VAVO;0;0;0;0;0;0;0;1;0;0;0;0;1
02UV;00;Gomarus College;GRONINGEN;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4036;HAVO NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;1;6;0;0;7
02UV;00;Gomarus College;GRONINGEN;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0173;VWO-ATH Prf Cul/Maat;0;0;0;0;0;0;5;10;4;9;8;22;58
02UV;00;Gomarus College;GRONINGEN;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0273;VWO-GYM Prf Cul/Maat;0;0;0;0;0;0;3;1;0;2;1;5;12
02UV;00;Gomarus College;GRONINGEN;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0172;VWO-ATH Prf Ec/Maat;0;0;0;0;0;0;28;12;29;15;17;18;119
02UV;00;Gomarus College;GRONINGEN;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0272;VWO-GYM Prf Ec/Maat;0;0;0;0;0;0;4;6;8;1;0;0;19
02UV;00;Gomarus College;GRONINGEN;VWO lj 4-6;N.v.t.;Economie en Maatschappij / Cultuur en Maatschappij;0179;VWO-ATH Prf Ec/Maat & Cul/Maat;0;0;0;0;0;0;0;0;0;0;0;1;1
02UV;00;Gomarus College;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0171;VWO-ATH Prf Nat/Gezond;0;0;0;0;0;0;7;23;10;22;4;15;81
02UV;00;Gomarus College;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0271;VWO-GYM Prf Nat/Gezond;0;0;0;0;0;0;2;5;3;6;0;3;19
02UV;00;Gomarus College;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Techniek;0170;VWO-ATH Prf Nat/Tech;0;0;0;0;0;0;20;2;16;3;13;4;58
02UV;00;Gomarus College;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Techniek;0270;VWO-GYM Prf Nat/Tech;0;0;0;0;0;0;2;1;4;2;6;0;15
02UV;00;Gomarus College;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Techniek / Natuur en Gezondheid;0174;VWO-ATH Prf Nat/Tech & Nat/Gezond;0;0;0;0;0;0;0;0;2;0;0;0;2
02UV;00;Gomarus College;GRONINGEN;VWO uitbest. aan VAVO;N.v.t.;N.v.t.;4016;VWO-ATH NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;0;0;1;4;5
02UV;08;Gomarus College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0013;Ljvb op VMBO-Th/Gm Lw;22;18;20;17;0;0;0;0;0;0;0;0;77
02UV;08;Gomarus College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0017;Ljvb op VWO;22;10;7;21;0;0;0;0;0;0;0;0;60
02UV;08;Gomarus College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0031;Ljvb op VMBO-BBg Lw;0;8;3;2;0;0;0;0;0;0;0;0;13
02UV;08;Gomarus College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0032;Ljvb op VMBO-Kbg Lw;17;12;12;18;0;0;0;0;0;0;0;0;59
02UV;08;Gomarus College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0300;HAVO;18;18;28;18;0;0;0;0;0;0;0;0;82
02UV;08;Gomarus College;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0017;Ljvb op VWO;0;0;0;0;16;15;0;0;0;0;0;0;31
02UV;08;Gomarus College;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0300;HAVO;0;0;0;0;23;18;0;0;0;0;0;0;41
02UV;10;Gomarus College;GRONINGEN;Praktijkonderwijs alle vj;N.v.t.;N.v.t.;0090;Praktijkonderwijs;8;9;8;3;7;5;10;4;7;1;4;4;70
02UV;17;Gomarus College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0013;Ljvb op VMBO-Th/Gm Lw;22;14;16;14;0;0;0;0;0;0;0;0;66
02UV;17;Gomarus College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0031;Ljvb op VMBO-BBg Lw;12;3;5;2;0;0;0;0;0;0;0;0;22
02UV;17;Gomarus College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0032;Ljvb op VMBO-Kbg Lw;19;9;27;7;0;0;0;0;0;0;0;0;62
02UV;17;Gomarus College;GRONINGEN;VMBO BL lj 3-4;Economie;Economie en ondernemen;6411;VMBO BB Economie en ondernemen;0;0;0;0;1;0;2;0;0;0;0;0;3
02UV;17;Gomarus College;GRONINGEN;VMBO BL lj 3-4;Economie;Economie en ondernemen;6455;LWOO BB Economie en ondernemen;0;0;0;0;1;0;3;1;0;0;0;0;5
02UV;17;Gomarus College;GRONINGEN;VMBO BL lj 3-4;Techniek;Bouwen, wonen en interieur;6011;VMBO BB Bouwen, wonen en interieur;0;0;0;0;5;0;3;0;0;0;0;0;8
02UV;17;Gomarus College;GRONINGEN;VMBO BL lj 3-4;Techniek;Bouwen, wonen en interieur;6055;LWOO BB Bouwen, wonen en interieur;0;0;0;0;0;0;1;0;0;0;0;0;1
02UV;17;Gomarus College;GRONINGEN;VMBO BL lj 3-4;Techniek;Produceren, installeren en energie;6111;VMBO BB Produceren, installeren en energie;0;0;0;0;3;0;1;0;0;0;0;0;4
02UV;17;Gomarus College;GRONINGEN;VMBO BL lj 3-4;Techniek;Produceren, installeren en energie;6155;LWOO BB Produceren, installeren en energie;0;0;0;0;1;0;4;0;0;0;0;0;5
02UV;17;Gomarus College;GRONINGEN;VMBO BL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6611;VMBO BB Zorg en welzijn;0;0;0;0;1;9;2;1;0;0;0;0;13
02UV;17;Gomarus College;GRONINGEN;VMBO BL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6655;LWOO BB Zorg en welzijn;0;0;0;0;0;0;1;5;0;0;0;0;6
02UV;17;Gomarus College;GRONINGEN;VMBO GL lj 3-4;Economie;Economie en ondernemen;6431;VMBO GL Economie en ondernemen;0;0;0;0;14;14;9;3;0;0;0;0;40
02UV;17;Gomarus College;GRONINGEN;VMBO GL lj 3-4;Techniek;Bouwen, wonen en interieur;6031;VMBO GL Bouwen, wonen en interieur;0;0;0;0;0;0;5;0;0;0;0;0;5
02UV;17;Gomarus College;GRONINGEN;VMBO GL lj 3-4;Techniek;Produceren, installeren en energie;6131;VMBO GL Produceren, installeren en energie;0;0;0;0;11;0;10;0;0;0;0;0;21
02UV;17;Gomarus College;GRONINGEN;VMBO GL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6631;VMBO GL Zorg en welzijn;0;0;0;0;11;33;12;21;0;0;0;0;77
02UV;17;Gomarus College;GRONINGEN;VMBO KL lj 3-4;Economie;Economie en ondernemen;6421;VMBO KB Economie en ondernemen;0;0;0;0;6;6;4;2;0;0;0;0;18
02UV;17;Gomarus College;GRONINGEN;VMBO KL lj 3-4;Economie;Economie en ondernemen;6465;LWOO KB Economie en ondernemen;0;0;0;0;0;0;1;0;0;0;0;0;1
02UV;17;Gomarus College;GRONINGEN;VMBO KL lj 3-4;Techniek;Bouwen, wonen en interieur;6021;VMBO KB Bouwen, wonen en interieur;0;0;0;0;6;1;15;0;0;0;0;0;22
02UV;17;Gomarus College;GRONINGEN;VMBO KL lj 3-4;Techniek;Produceren, installeren en energie;6121;VMBO KB Produceren, installeren en energie;0;0;0;0;25;0;19;0;0;0;0;0;44
02UV;17;Gomarus College;GRONINGEN;VMBO KL lj 3-4;Techniek;Produceren, installeren en energie;6165;LWOO KB Produceren, installeren en energie;0;0;0;0;0;0;3;0;0;0;0;0;3
02UV;17;Gomarus College;GRONINGEN;VMBO KL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6621;VMBO KB Zorg en welzijn;0;0;0;0;7;33;12;31;0;0;0;0;83
02UV;17;Gomarus College;GRONINGEN;VMBO KL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6665;LWOO KB Zorg en welzijn;0;0;0;0;0;4;4;12;0;0;0;0;20
02UV;17;Gomarus College;GRONINGEN;VMBO TL lj 3-4;N.v.t.;N.v.t.;0400;MAVO/Theor Lw-VMBO;0;0;0;0;0;0;18;24;0;0;0;0;42
02UV;17;Gomarus College;GRONINGEN;VMBO uitbest. aan VAVO;N.v.t.;N.v.t.;4045;VMBO-TL naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;1;0;0;0;0;0;1
02UV;18;Gomarus College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0015;Ljvb op VWO/HAVO;20;31;20;19;0;0;0;0;0;0;0;0;90
02UV;18;Gomarus College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0017;Ljvb op VWO;31;19;32;26;0;0;0;0;0;0;0;0;108
02UV;18;Gomarus College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0100;VWO-ATHENEUMSTROOM;14;10;16;17;0;0;0;0;0;0;0;0;57
02UV;18;Gomarus College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0200;VWO-GYMNASIUMSTROOM;0;0;4;5;0;0;0;0;0;0;0;0;9
02UV;18;Gomarus College;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0017;Ljvb op VWO;0;0;0;0;31;21;0;0;0;0;0;0;52
02UV;18;Gomarus College;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0100;VWO-ATHENEUMSTROOM;0;0;0;0;6;14;0;0;0;0;0;0;20
02UV;18;Gomarus College;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0200;VWO-GYMNASIUMSTROOM;0;0;0;0;4;8;0;0;0;0;0;0;12
02UV;18;Gomarus College;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0300;HAVO;0;0;0;0;27;28;0;0;0;0;0;0;55
05OP;00;Praktijkschool De Bolster;GRONINGEN;Praktijkonderwijs alle vj;N.v.t.;N.v.t.;0090;Praktijkonderwijs;39;11;44;17;32;16;31;22;24;13;2;2;253
13ZU;00;Reitdiepcollege;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0011;Ljvb op HAVO/VMBO-Th/Gm Lw;74;65;0;0;0;0;0;0;0;0;0;0;139
13ZU;00;Reitdiepcollege;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0015;Ljvb op VWO/HAVO;44;35;0;0;0;0;0;0;0;0;0;0;79
13ZU;00;Reitdiepcollege;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0017;Ljvb op VWO;29;13;33;42;0;0;0;0;0;0;0;0;117
13ZU;00;Reitdiepcollege;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0300;HAVO;0;0;49;69;0;0;0;0;0;0;0;0;118
13ZU;00;Reitdiepcollege;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0400;MAVO/Theor Lw-VMBO;0;0;38;25;0;0;0;0;0;0;0;0;63
13ZU;00;Reitdiepcollege;GRONINGEN;HAVO lj 4-5;N.v.t.;Cultuur en Maatschappij;0373;HAVO Prf Cul/Maat;0;0;0;0;0;0;3;4;1;4;0;0;12
13ZU;00;Reitdiepcollege;GRONINGEN;HAVO lj 4-5;N.v.t.;Economie en Maatschappij;0372;HAVO Prf Ec/Maat;0;0;0;0;0;0;34;16;31;21;0;0;102
13ZU;00;Reitdiepcollege;GRONINGEN;HAVO lj 4-5;N.v.t.;Economie en Maatschappij / Cultuur en Maatschappij;0379;HAVO Prf Ec/Maat & Cul/Maat;0;0;0;0;0;0;0;0;0;4;0;0;4
13ZU;00;Reitdiepcollege;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Gezondheid;0371;HAVO Prf Nat/Gezond;0;0;0;0;0;0;19;13;5;12;0;0;49
13ZU;00;Reitdiepcollege;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Techniek;0370;HAVO Prf Nat/Tech;0;0;0;0;0;0;5;1;3;2;0;0;11
13ZU;00;Reitdiepcollege;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Techniek / Natuur en Gezondheid;0374;HAVO Prf Nat/Tech & Nat/Gezond;0;0;0;0;0;0;9;6;3;4;0;0;22
13ZU;00;Reitdiepcollege;GRONINGEN;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4031;HAVO NW naar VAVO;0;0;0;0;0;0;2;1;0;0;0;0;3
13ZU;00;Reitdiepcollege;GRONINGEN;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4036;HAVO NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;4;3;0;0;7
13ZU;00;Reitdiepcollege;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0100;VWO-ATHENEUMSTROOM;0;0;0;0;31;51;0;0;0;0;0;0;82
13ZU;00;Reitdiepcollege;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0300;HAVO;0;0;0;0;40;22;0;0;0;0;0;0;62
13ZU;00;Reitdiepcollege;GRONINGEN;VMBO uitbest. aan VAVO;N.v.t.;N.v.t.;4040;VMBO-TL naar VAVO;0;0;0;0;0;0;4;9;0;0;0;0;13
13ZU;00;Reitdiepcollege;GRONINGEN;VMBO uitbest. aan VAVO;N.v.t.;N.v.t.;4045;VMBO-TL naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;1;0;0;0;0;1
13ZU;00;Reitdiepcollege;GRONINGEN;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0173;VWO-ATH Prf Cul/Maat;0;0;0;0;0;0;1;2;2;2;0;5;12
13ZU;00;Reitdiepcollege;GRONINGEN;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0172;VWO-ATH Prf Ec/Maat;0;0;0;0;0;0;8;9;7;5;13;7;49
13ZU;00;Reitdiepcollege;GRONINGEN;VWO lj 4-6;N.v.t.;Economie en Maatschappij / Cultuur en Maatschappij;0179;VWO-ATH Prf Ec/Maat & Cul/Maat;0;0;0;0;0;0;0;0;0;0;1;0;1
13ZU;00;Reitdiepcollege;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0171;VWO-ATH Prf Nat/Gezond;0;0;0;0;0;0;6;11;7;7;7;4;42
13ZU;00;Reitdiepcollege;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Techniek;0170;VWO-ATH Prf Nat/Tech;0;0;0;0;0;0;1;1;0;2;2;0;6
13ZU;00;Reitdiepcollege;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Techniek / Natuur en Gezondheid;0174;VWO-ATH Prf Nat/Tech & Nat/Gezond;0;0;0;0;0;0;8;4;6;1;3;6;28
13ZU;00;Reitdiepcollege;GRONINGEN;VWO uitbest. aan VAVO;N.v.t.;N.v.t.;4011;VWO-ATH NW naar VAVO;0;0;0;0;0;0;0;0;0;0;0;1;1
13ZU;02;Reitdiepcollege;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0024;Ljvb op VWO/HAVO/VMBO-Alle Lw;85;82;79;67;0;0;0;0;0;0;0;0;313
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO BL lj 3-4;Economie;Economie en ondernemen;6411;VMBO BB Economie en ondernemen;0;0;0;0;1;4;1;0;0;0;0;0;6
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO BL lj 3-4;Economie;Economie en ondernemen;6455;LWOO BB Economie en ondernemen;0;0;0;0;0;0;2;0;0;0;0;0;2
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO BL lj 3-4;Techniek;Produceren, installeren en energie;6111;VMBO BB Produceren, installeren en energie;0;0;0;0;3;1;4;0;0;0;0;0;8
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO BL lj 3-4;Techniek;Produceren, installeren en energie;6155;LWOO BB Produceren, installeren en energie;0;0;0;0;0;0;1;0;0;0;0;0;1
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO BL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6611;VMBO BB Zorg en welzijn;0;0;0;0;1;3;6;1;0;0;0;0;11
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO BL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6655;LWOO BB Zorg en welzijn;0;0;0;0;0;0;1;2;0;0;0;0;3
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO GL lj 3-4;Economie;Economie en ondernemen;6431;VMBO GL Economie en ondernemen;0;0;0;0;0;0;7;1;0;0;0;0;8
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO GL lj 3-4;Techniek;Produceren, installeren en energie;6131;VMBO GL Produceren, installeren en energie;0;0;0;0;0;1;2;0;0;0;0;0;3
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO GL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6631;VMBO GL Zorg en welzijn;0;0;0;0;0;0;2;9;0;0;0;0;11
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO KL lj 3-4;Economie;Economie en ondernemen;6421;VMBO KB Economie en ondernemen;0;0;0;0;16;12;13;7;0;0;0;0;48
