Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;Eindtotaal
Hostnet B.V.;;;;;1;1
i3 groep;7;8;2;3;;8
IBM Nederland B.V.;7;7;9;9;;10
Ideal Systems N.V.;;;;1;;1
Infopact Netwerkdiensten B.V.;;;;;2;2
INFORM.ENGINEERING TECHN.Ltd.;;;;3;;3
Insight Enterprises Netherlands B.V.;;;;7;;7
InsightsWorld B.V.;;;1;;;1
Intermax outsourcing;;;;;1;1
Internedservices;;;;1;1;2
IPS B.V.;;;1;;;1
IT ON DEMAND;;;;2;;2
iText Software BVBA;;;;1;;1
iWelcome B.V.;;;;4;;4
Kaliber Interactive B.V.;;;;2;;2
KERN Nederland B.V.;2;2;;;;3
Key Business NV;;;2;;;2
Koning & Hartman B.V.;;4;;;1;5
KPN B.V.;;;1;;4;4
KPN Consulting B.V.;;;;;6;6
KPN Corporate Market;;3;3;1;9;9
KPN XL;;;;;1;1
LeaseWeb Netherlands B.V.;;1;;;;1
Live Presence B.V.;;;;2;;2
Loyals Online B.V.;;;;;1;1
Lucom Benelux B.V.;;;2;1;;2
MAN Roland Nederland B.V.;;1;;;;1
Maximum Alliances B.V.;;;;2;;2
Mensys B.V.;;;1;1;;2
Micro Focus N.V.;;;;1;;1
Misco Solutions B.V.;4;;;;2;5
MMM Interactieve Communicatie;;;1;;;1
MSC Information Retrieval Technologies B.V.;;;1;;;1
NCC Group Escrow Europe B.V.;;;1;1;;1
Ned. Ver. van Bedr.telecomm. Grootgebruikers;;;;;1;1
One Shoe B.V.;;;;4;;4
Optelec Nederland B.V.;;4;;;;4
Oracle Nederland;;;1;7;;7
Orcavoice B.V.;;;;1;;1
OSN Nederland B.V.;2;5;;;;5
Pactechno;;1;;;;1
Parabots;;;;1;;1
PITNEY BOWES;;;;3;;3
PNA TopTrainees B.V.;;;;2;;2
PQR B.V.;;2;;;;2
PQR Holding;7;5;;;;7
Prime Contact B.V.;;;4;;;4
PrimeKey support;;2;;;;2
Prosperius B.V.;;;1;;;1
Protinus IT B.V.;2;1;4;3;2;5
Q42;;;;1;;1
Qpr Costcontrol B.V.;;;2;2;;2
QSM Nederland B.V.;;;2;;;2
QuoVadis Trustlink B.V.;1;;2;;1;3
Réseaux IP Européens Network Coord. Centre;;;;;1;1
RAINCODE S.P.R.L.;;;;1;;1
Ricoh Nederland B.V.;;2;;1;;2
Safetyfreaks B.V.;;;;;1;1
SAIT B.V.;;;;;2;2
SAP Global Marketing Inc.;;;;1;;1
SAP Nederland B.V.;;;2;8;;8
Schiphol Telematics B.V.;;;;;5;5
Scholten Awater B.V.;9;6;7;4;;9
SDL Netherlands B.V.;;;;2;;2
Sdu Uitgevers B.V.;;;3;;;3
Sectra Communications B.V.;;;;;2;2
Secupro Government B.V.;;;;;1;1
SecureLink Nederland B.V.;5;5;4;6;;7
Sidekiq;;;1;;;1
SLTN IT Products B.V.;;;;6;;6
SmartDC B.V.;;;;;1;1
SoftwareONE B.V.;;;7;7;;7
Sonova Nederland B.V.;1;;;;;1
SRC System Integrators B.V.;;;;1;;1
Stg. Routerings (Int.)Nat. Informatiestromen;;;;;2;2
Sticht. Internet Domeinregistratie Nederland;;;;;1;1
Stichting Beheer Derdengelden X Pact;;;2;;1;2
Syslogic V.O.F.;;;2;;;2
Talentsoft Holding B.V.;;;;;3;3
Tectrade B.V.;;2;;;;2
Tele2 Nederland B.V.;;;;;7;7
Telecats B.V.;;;;;2;2
Telegrootgebruik B.V.;;;;;8;8
Telfort Zakelijk;;;;;1;1
Telindus-ISIT B.V.;8;7;4;;;9
Tensing Safety & Security B.V.;;3;;;;3
The Backbone B.V.;;;;2;;2
Total Identity;;;;1;;1
Trend-IT SA;;2;;;;2
Unisys Nederland N.V.;;3;;;;3
UNIT4 Business Software B.V.;;;1;;;1
United Electric Automation B.V.;;;2;3;;3
Usabilla B.V.;;;;2;;2
Verificatie Informatie Systemen B.V.;;;;1;;1
Vicus eBusiness Solutions B.V.;;;;1;;1
Vodafone;6;5;;;5;7
WebGenerator B.V.;;;;;1;1
Wolters Kluwer Tax and Accounting;;;4;;;4
XEROX BELGI�;;;;1;;1
Xolphin SSL Certificaten;;;1;;;1
XS4ALL Internet B.V.;;;1;;1;1
Your Hosting B.V.;;;;;1;1
Ziggo B.V.;;;;;1;1
Zylab Benelux B.V.;;;2;;;2
Anoniem 256;;;;;1;1
Anoniem 257;;;;2;;2
Anoniem 258;2;;;;;2
Anoniem 7;;;1;;;1
Eindtotaal;10;10;9;11;9;13
