PLAATSNAAM_INSTELLING;INSTELLINGSKENMERKEN;SCHOOLSOORT;TELLING_2018;PROGNOSE_2019;PROGNOSE_2020;PROGNOSE_2021;PROGNOSE_2022;PROGNOSE_2023;PROGNOSE_2024;PROGNOSE_2025;PROGNOSE_2026;PROGNOSE_2027;PROGNOSE_2028;PROGNOSE_2029;PROGNOSE_2030;PROGNOSE_2031;PROGNOSE_2032;PROGNOSE_2033;PROGNOSE_2034;PROGNOSE_2035;PROGNOSE_2036;PROGNOSE_2037;PROGNOSE_2038
GRONINGEN;17SG - Heyerdahl College Openbare School voor Praktijkonderwijs - GRONINGEN;ONDERBOUW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;17SG - Heyerdahl College Openbare School voor Praktijkonderwijs - GRONINGEN;PRO;158;164;172;182;185;188;196;200;198;196;196;201;205;202;205;209;212;214;213;220;222
GRONINGEN;17SG - Heyerdahl College Openbare School voor Praktijkonderwijs - GRONINGEN;VMBO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;17SG - Heyerdahl College Openbare School voor Praktijkonderwijs - GRONINGEN;HAVO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;17SG - Heyerdahl College Openbare School voor Praktijkonderwijs - GRONINGEN;VWO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;20BV - Praedinius Gymnasium - GRONINGEN;ONDERBOUW;298;309;310;308;304;301;303;294;291;292;296;296;296;298;298;301;308;312;315;324;325
GRONINGEN;20BV - Praedinius Gymnasium - GRONINGEN;PRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;20BV - Praedinius Gymnasium - GRONINGEN;VMBO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;20BV - Praedinius Gymnasium - GRONINGEN;HAVO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;20BV - Praedinius Gymnasium - GRONINGEN;VWO;580;554;568;595;593;600;602;587;587;583;575;570;564;567;566;568;568;571;580;582;595
GRONINGEN;20EM - H. N. Werkman College voor Ath Havo en Mavo - GRONINGEN;ONDERBOUW;898;884;931;984;984;972;966;948;936;932;943;943;947;950;944;950;969;997;1008;1007;1012
GRONINGEN;20EM - H. N. Werkman College voor Ath Havo en Mavo - GRONINGEN;PRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;20EM - H. N. Werkman College voor Ath Havo en Mavo - GRONINGEN;VMBO;307;274;263;266;274;290;292;286;284;279;276;275;275;279;278;277;275;278;285;289;291
GRONINGEN;20EM - H. N. Werkman College voor Ath Havo en Mavo - GRONINGEN;HAVO;516;470;439;444;461;481;496;501;495;492;485;480;478;479;481;480;475;477;484;492;496
GRONINGEN;20EM - H. N. Werkman College voor Ath Havo en Mavo - GRONINGEN;VWO;644;632;605;601;621;647;665;671;670;660;652;647;642;643;641;643;637;639;648;656;664
GRONINGEN;20ER - Zernike College voor ATHENEUM HAVO MAVO VBO - GRONINGEN;ONDERBOUW;1219;1196;1177;1193;1201;1203;1193;1170;1164;1169;1186;1187;1176;1164;1170;1186;1209;1224;1241;1261;1276
GRONINGEN;20ER - Zernike College voor ATHENEUM HAVO MAVO VBO - GRONINGEN;PRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;20ER - Zernike College voor ATHENEUM HAVO MAVO VBO - GRONINGEN;VMBO;523;502;509;490;477;482;476;483;481;474;467;464;474;477;468;465;467;472;485;489;494
GRONINGEN;20ER - Zernike College voor ATHENEUM HAVO MAVO VBO - GRONINGEN;HAVO;705;668;659;672;661;653;649;656;662;667;652;640;642;650;647;641;637;638;650;662;667
GRONINGEN;20ER - Zernike College voor ATHENEUM HAVO MAVO VBO - GRONINGEN;VWO;883;886;875;866;879;870;858;869;869;871;864;845;843;847;843;841;837;835;847;862;871
