X,Y,STD_BOOMTYPE,STD_STANDPLAATS,STD_ONTWIKKELINGSSTADIUM,NEDBOOMSOORT,LATBOOMSOORT,AANLEGJAAR,BIJZONDERE_BOOM,BINNEN_BOSWET,OPENBARE_RUIMTE,BUURT,WIJK,WOONPLAATS,OBJECTID,GlobalID
6.08728614554262,52.5922405118256,Straat- / laanboom,Gras,Eindfase,Zomereik,Quercus robur,1965,Waardevolle boom,Y,Justitie Bastion,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271110,e493e4d8-12c5-470e-9dd7-efef22cdbee7
6.08723054167738,52.5922778497455,Straat- / laanboom,Gras,Eindfase,Zomereik,Quercus robur,1965,Waardevolle boom,Y,Justitie Bastion,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271111,d249b732-e628-4847-8698-de579518c3d0
6.09300676412097,52.5918701922071,Straat- / laanboom,Beplanting,Eindfase,Beuk,Fagus sylvatica,1920,Waardevolle boom,Y,Wilhelminalaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271112,9226ffde-464f-4a7e-b614-1ac2efb0eb40
6.03816779144583,52.6294936426168,Straat- / laanboom,Beplanting,Jong,Appel,Malus 'Lemoinei',2006,Waardevolle boom,Y,Veerweg,Genemuiden Kern,Wijk 00 Genemuiden,Genemuiden,271113,fd2029e1-e118-4dfa-9875-d2e01c1e6288
6.09152375996577,52.5916220366506,Lei- / vormboom,Verharding,Volwas,Grootbladige linde,Tilia platyphyllos,1950,Waardevolle boom,Y,Baangracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271114,310502d6-2be8-46a4-95fd-a61495fac6c7
6.09269958589009,52.5922194171179,Straat- / laanboom,Gras,Eindfase,Beuk,Fagus sylvatica,1920,Waardevolle boom,Y,Wilhelminalaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271115,4bb8dbd9-8f97-422c-979b-2afb5f7d1053
6.0919653706128,52.5910838923594,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1970,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271116,73eb65ad-bc14-4e51-8a76-c818e9e0a262
6.09202109023566,52.591043064371,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1970,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271117,70cc75ea-b3a3-4581-9543-21c42214c2b4
6.09209539498493,52.5909583393208,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1970,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271118,5ad7b666-8264-40d9-96e7-62f74cb4819e
6.09157213310677,52.5915637809013,Lei- / vormboom,Verharding,Volwas,Grootbladige linde,Tilia platyphyllos,1950,Waardevolle boom,Y,Baangracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271119,d3d68025-dd6d-46ce-bd76-90a60ff69861
6.09143481035411,52.5917222525967,Lei- / vormboom,Verharding,Volwas,Grootbladige linde,Tilia platyphyllos,1950,Waardevolle boom,Y,Baangracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271120,98ab4582-5a1e-425e-ae38-bc6446f31e1e
6.09147875077571,52.5916737924996,Lei- / vormboom,Verharding,Volwas,Grootbladige linde,Tilia platyphyllos,1950,Waardevolle boom,Y,Baangracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271121,e3994b41-744f-49ed-8067-a4b32f84b521
6.09133967203564,52.5918313937227,Lei- / vormboom,Verharding,Volwas,Grootbladige linde,Tilia platyphyllos,1950,Waardevolle boom,Y,Baangracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271122,021fd9fb-e172-478c-a94e-35928fc03c43
6.091287811869,52.5918875759732,Lei- / vormboom,Verharding,Volwas,Grootbladige linde,Tilia platyphyllos,1950,Waardevolle boom,Y,Baangracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271123,c1530cc5-20ff-42c0-8bb4-4583724b3b29
6.09111958746712,52.5920803916541,Lei- / vormboom,Verharding,Volwas,Grootbladige linde,Tilia platyphyllos,1950,Waardevolle boom,Y,Baangracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271124,97f3aab9-3281-4f8e-8808-20766fc1aa19
6.09741511281922,52.5878984327603,Straat- / laanboom,Gras,Eindfase,Witte paardekastanje,Aesculus hippocastanum,1955,Waardevolle boom,Y,Sportlaan,Hasselt Dedemsvaart-Zuid,Wijk 02 Hasselt,Hasselt,271125,3a7a2bce-d79a-4fa5-a235-a2537846d31c
6.0923515471506,52.5906640084394,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1970,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271126,bafb18ee-457c-4426-b7b3-451eb159ab11
6.09241015718589,52.5905779474059,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1950,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271127,56ba17fc-2b08-49ee-9dad-1819ee32adf1
6.03677780684382,52.6254884246977,Straat- / laanboom,Beplanting,Jong,Perzisch ijzerhout,Parrotia persica,2015,Toekomstboom,Y,Lisdodde,Greente,Wijk 00 Genemuiden,Genemuiden,271128,5a4ada11-e625-4ad2-a746-0de8f0830a63
6.03784497716743,52.6245762864576,Straat- / laanboom,Gras,Jong,Koningslinde,Tilia vulgaris 'Pallida',2014,Toekomstboom,Y,Blokhuisweg,Genemuiden Kern,Wijk 00 Genemuiden,Genemuiden,271129,33509c38-a15f-4504-8553-39d60b59fc6a
6.03776035688762,52.6249909276508,Straat- / laanboom,Gras,Eindfase,Gewone esdoorn,Acer pseudoplatanus,1955,Waardevolle boom,Y,Blokhuisweg,Genemuiden Kern,Wijk 00 Genemuiden,Genemuiden,271130,46146eff-79e1-4795-8332-7b01644862ea
6.03781122084055,52.6251467862254,Straat- / laanboom,Beplanting,Eindfase,Gewone esdoorn,Acer pseudoplatanus,1955,Waardevolle boom,Y,Blokhuisweg,Genemuiden Kern,Wijk 00 Genemuiden,Genemuiden,271131,c37c6f72-ea0c-46c6-be44-d8bb3740abd8
6.09244470200732,52.5904571041759,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1950,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271132,f609318b-e2c3-41a1-83ea-6428d7510e3c
6.09246659031466,52.590324607511,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1950,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271133,6be1828b-1580-427d-b7f5-a8bd4d279310
6.09244948415543,52.5901871117244,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1950,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271134,7b83b6e5-18bc-45b5-b776-a8d8f22923fb
6.09243371643422,52.5901341256644,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1950,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271135,2091a0fe-0a3c-450e-8841-cc73f0bc6753
6.09230558699671,52.5899655077596,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1950,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271136,d638b891-4bfb-4131-9b0a-4e1cf46818e9
6.03727064855881,52.625108222978,Straat- / laanboom,Gras,Eindfase,Populier 'Euramericana',Populus euramericana,1900,Waardevolle boom,Y,Blokhuisweg,Genemuiden Kern,Wijk 00 Genemuiden,Genemuiden,271137,f3cff520-71ae-49f1-b06f-bbc430241f2f
6.08787427306673,52.5908956983934,Straat- / laanboom,Gras,Halfwas,Eenstijlige meidoorn,Crataegus monogyna,2002,Waardevolle boom,Y,Justitie Bastion,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271138,60e2df9a-ccf4-411a-98d7-573edaf387d0
6.08785714139671,52.590942174549,Straat- / laanboom,Gras,Halfwas,Eenstijlige meidoorn,Crataegus monogyna,2002,Waardevolle boom,Y,Justitie Bastion,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271139,e31566fc-6982-4941-82b2-aced0304ac1e
6.08936717747807,52.5902320584645,Straat- / laanboom,Verharding,Eindfase,Gewone es,Fraxinus excelsior,1935,Waardevolle boom,Y,Markt,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271140,8f4228d6-547a-4bc2-907f-48ee84252779
6.08934295184225,52.5902657247433,Straat- / laanboom,Verharding,Eindfase,Beuk,Fagus sylvatica,1935,Waardevolle boom,Y,Markt,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271141,64995141-fb4f-425d-8d9b-c0be135498c5
6.09515562164373,52.5890077782298,Straat- / laanboom,Beplanting,Eindfase,Zomereik,Quercus robur,1960,Waardevolle boom,Y,Eikenlaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271142,9d3debeb-5ea4-416f-a21b-13f867aa7b1a
6.09216524805828,52.5908803991882,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1970,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271143,9888d01e-3740-4231-8cd8-722e876d096d
6.09223227752576,52.5908049293407,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1970,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271144,3020c92d-4a47-4989-980c-917756c366b9
6.09228962120426,52.59073561043,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1998,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271145,8e938bd1-cec6-449e-8132-d487bbff9058
6.0933350694175,52.5918071711812,Straat- / laanboom,Gras,Eindfase,Beuk,Fagus sylvatica,1920,Waardevolle boom,Y,Wilhelminalaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271146,911ba0d8-512e-4f48-a473-87614c656238
6.0381794771131,52.6258427540634,Straat- / laanboom,Beplanting,Eindfase,Hollandse linde,Tilia vulgaris 'Europaea',1960,Waardevolle boom,Y,Blokhuisweg,Genemuiden Kern,Wijk 00 Genemuiden,Genemuiden,271147,32bd0b38-4e7b-4dde-b53d-9f3981031f17
6.09608301119641,52.5895850627336,Straat- / laanboom,Beplanting,Eindfase,Noorse esdoorn,Acer platanoides,1945,Waardevolle boom,Y,Eikenlaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271148,2bdba1e1-43cc-41ca-b3d2-a5aa88bb96c5
6.09565587099268,52.5898389807188,Straat- / laanboom,Beplanting,Eindfase,Noorse esdoorn,Acer platanoides,1945,Waardevolle boom,Y,Eikenlaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271149,a0425475-6f3d-43c9-a613-c61f849842c8
6.03829300257493,52.6258421321426,Straat- / laanboom,Beplanting,Eindfase,Hollandse linde,Tilia vulgaris 'Europaea',1960,Waardevolle boom,Y,Blokhuisweg,Genemuiden Kern,Wijk 00 Genemuiden,Genemuiden,271150,dda50bd1-7a28-4f71-a6a2-62e3d9bc3d94
6.07603118391893,52.6396159202888,Straat- / laanboom,Verharding,Eindfase,Grootbladige linde,Tilia platyphyllos,1950,Waardevolle boom,Y,De Nieuwesluis,De Nieuwesluis,Wijk 04 Zwartsluis,Zwartsluis,271151,c198f5e5-1a5f-4141-a192-52e5584460b4
6.07598093214354,52.6394079926547,Straat- / laanboom,Verharding,Eindfase,Grootbladige linde,Tilia platyphyllos,1950,Waardevolle boom,Y,De Nieuwesluis,De Nieuwesluis,Wijk 04 Zwartsluis,Zwartsluis,271152,38843465-874d-4d63-b9d9-a24a69d443a4
6.0730045731116,52.6401634654024,Straat- / laanboom,Verharding,Eindfase,Kleinbladige linde,Tilia cordata,1975,Waardevolle boom,Y,Handelskade,Zwartsluis Kern,Wijk 04 Zwartsluis,Zwartsluis,271153,440e33b9-a25a-4af9-9d63-0e1b9a098f43
6.07173908632665,52.6408187373772,Lei- / vormboom,Gras,Volwas,Zilverlinde,Tilia tomentosa,1960,Waardevolle boom,Y,Baanstraat,Zwartsluis Kern,Wijk 04 Zwartsluis,Zwartsluis,271154,23e3ac49-773f-4a56-a795-f93adfde0a17
