crebo-nr.;crossover ;niveau;domein 1;domein 2;domein 3;domein 4;domein 5;crebo 1;crebo 1 omschrijving;crebo 2 ;crebo 2 omschrijving;crebo 3;crebo 3 omschrijving;crebo 4;crebo 4 omschrijving;crebo 5;crebo 5 omschrijving;crebo 6;crebo 6 omschrijving;crebo 7;crebo 7 omschrijving;crebo 8;crebo 8 omschrijving;crebo 9;crebo 9 omschrijving
26010; E-commercemanager;4;Media en vormgeving;Economie en administratie;;;;25201;Mediavormgever;25137;Vestigingsmanager groothandel ;;;;;;;;;;;;;;
26011;Vitaliteitsbegeleider in zorg en welzijn ;3;Zorg en welzijn;Veiligheid en Sport;;;;25475;Begeleider gehandicaptenzorg;25476;Begeleider specifieke doelgroepen;25491;Verzorgende-IG ;25415;Sport- en bewegingsleider ;;;;;;;;;;
26012;Allround hospitality medewerker ;3;Horeca en Bakkerij;Toerisme en recreatie;;;;25171;Zelfstandig werkend gastheer/vrouw;25353;Zelfstandig medewerker Leisure & hospitality ;25354;Zelfstandig medewerker travel & hospitality ;;;;;;;;;;;;
26013;AV-mediatechnoloog ;4;Informatie- en communicatietechnologie;Media en vormgeving;;;;25190;Netwerk- en mediabeheerder;25194;AV-specialist;;;;;;;;;;;;;;
26014;Eventproducer;4;Economie en administratie;Toerisme en recreatie;;;;25147;Medewerker evenementenorganisatie;25353;Zelfstandig medewerker Leisure & hospitality ;25354;Zelfstandig medewerker travel & hospitality ;;;;;;;;;;;;
26015;Voorman jachtbouw;4;Handel en ondernemerschap;Bouw en Infra;Afbouw, hout en onderhoud;;;25161;Technisch leidinggevende;25119;Uitvoerder bouw/infra;25011;Vakkracht industrieel lakverwerker;25017;Allround meubelmaker /(scheeps)interieurbouwer;;;;;;;;;;
26016;Vakexpert industrieel produceren van levensmiddelen;4;Techniek en procesindustrie;Voedsel, natuur en leefomgeving;;;;25303;Operator C;25463;Vakexpert voeding en technologie;;;;;;;;;;;;;;
26017;Keukenmonteur;2;Afbouw, hout en onderhoud;Bouw en Infra;Techniek en procesindustrie;Handel en ondernemerschap;;25018;Meubelmaker/(scheeps)interieurbouwer ;25128;Timmerman;25278;Isolatiemonteur;25158;Interieuradviseur;;;;;;;;;;
26018;Persoonlijk begeleider zorgboerderij;4;Zorg en welzijn;Voedsel, natuur en leefomgeving;;;;25477;Persoonlijk begeleider gehandicaptenzorg ;25478;Persoonlijk begeleider specifieke doelgroepen ;25536;Vakbekwaam medewerker teelt ;25579;Vakbekwaam medewerker dierverzorging ;;;;;;;;;;
26019;Business support;3;Zorg en welzijn;Economie en administratie;Toerisme en recreatie;;;25573;Office assistant;25134;Commercieel medewerker;25146;Medewerker human resource management;25499;Medewerker facilitaire dienstverlening ;25139;Financieel administratief medewerker ;25148;Medewerker marketing en communicatie ;25353;Zelfstandig medewerker Leisure & hospitality;25353;Zelfstandig medewerker Leisure & hospitality ;;
26020;Creatief technoloog ;4;Techniek en procesindustrie;ICT en Creatieve industrie;;;;25265;Technicus human technology crebo ;25297;Technicus engineering;25201;Mediavormgever ;;;;;;;;;;;;
26021;Beauty professional in de zorg;3;Zorg en welzijn;Uiterlijke verzorging;;;;25491;Verzorgende IG;25404;Schoonheidsspecialist ;25406;Pedicure;;;;;;;;;;;;
26022;Allround keukenmonteur;3;Afbouw, hout en onderhoud;Bouw en Infra;Techniek en procesindustrie;Handel en ondernemerschap;;25018;Meubelmaker/(scheeps)interieurbouwer ;25128;Timmerman;25278;Isolatiemonteur;25158;Interieuradviseur;25017;Allround meubelmaker / (scheeps)interieurbouwer;25024;Servicemedewerker gebouwen;25020;Kwalificatie Werkvoorbereider meubelindustrie/(scheeps)interieurbouw;25158;Interieuradviseur;25023;Allround vakkracht onderhoud- en klussenbedrijf
26023;Junior business controller;4;Economie en administratie;Informatie- en communicatietechnologie;Transport, scheepsvaart en logistiek;;;25201;Mediavormgever;25137;Vestigingsmanager groothandel ;;;;;;;;;;;;;;
26024;Voeding- en leefstijladviseur;4;Veiligheid en sport;Voedsel, natuur en leefomgeving ;Horeca en bakkerij ;;;25413;Coördinator sport, bewegen en gezondheid ;25464;Vakexpert voeding en voorlichting ;25182;Zelfstandig werkend kok ;;;;;;;;;;;;
26025;Vakman fundering;2;Bouw en infra;Mobiliteit en voertuigen ;Techniek en procesindustrie;;;25097;Vakman GWW;25246;Monteur mobiele wektuigen;25290;basislasser;;;;;;;;;;;;
26026; E-commercemanager;4;Media en vormgeving;Economie en administratie;;;;25201;Mediavormgever;25137;Vestigingsmanager groothandel ;;;;;;;;;;;;;;
26027;Werkbegeleider zorgbedrijf dierhouderij;3;Zorg en welzijn;Voedsel, natuur en leefomgeving ;;;;25475;Begeleider gehandicaptenzorg;25476;Begeleider specifieke doelgroepen;25579;Vakbekwaam medewerker dierverzorging ;;;;;;;;;;;;
26028;Medewerker Food & Hospitality;2;Horeca en Bakkerij;Voedsel, natuur en leefomgeving ;;;;25180;Kok;25178;Medewerker fastservice ;25423;medewerker vers ;;;;;;;;;;;;
26029;International creative business developer;4;Economie en administratie;Media en vormgeving;;;;25148;Medewerker marketing en communicatie ;25212;Ruimtelijk vormgever ;;;;;;;;;;;;;;
26030;Medewerker kinderopvang, onderwijs en bewegen;4;Zorg en welzijn;Veiligheid en Sport;;;;25603;Pedagogisch medewerker kinderopvang ;25484;Gespecialiseerd pedagogisch medewerker ;25485;Onderwijsassistent;25415;Kwalificaties: Sport- en bewegingsleider ;25411;Coördinator Buurt Onderwijs en Sport;25413;Coördinator Sport Bewegen en gezondheid;25412;Coördinator Sport en bewegingsagogie ;25414;Coördinator Sportinstructie, training en coaching ;;
;Specialist made-to-measure;4;Economie en administratie;Toerisme en recreatie ;Handel en ondernemerschap ;;;25133;Assistent-manager internationale handel ;25646;Leidinggevende Leisure & hospitality ;25164;Specialist mode/maatkleding ;;;;;;;;;;;;
