FID,gis_code,id__oud_,code_paustabel,gebied_uiterwaard,naam_maatregel,tranche,waterlichaam,fase,gerealiseerd,deelprogramma,jaar_van_oplevering,type_doelbereik,hoeveelheid_doelbereik,hoevlh_doelbereik_op_basis,gdb_geomattr_data,shape
rws_on_lijnmaatregelen.12,YS923a,Y58,x2307-b,Reuversweerd (Cortenoever),KRW eenzijdig aangetakte strang ,1,IJssel,Gereed,Ja,KRW1-WVV,2016,STEA,1.4,MIRT 4,,"LINESTRING (211420.46460000053 458405.2754999995, 211353.82519999892 458442.00239999965, 211306.4765000008 458466.997299999, 211270.29879999906 458478.2292000018, 211233.61800000072 458490.4576999992, 211206.004900001 458515.9283999987, 211172.59980000183 458518.0278999992, 211143.08419999853 458521.67119999975, 211104.8412999995 458530.001600001, 211036.7675999999 458541.25780000165, 210970.2963999994 458544.9796999991, 210886.48409999907 458553.8896000013, 210816.63379999995 458577.24120000005, 210786.86829999834 458584.4886999987, 210753.6735999994 458593.001699999, 210690.39180000126 458603.1735999994, 210638.83350000158 458613.22459999844, 210576.88529999927 458625.5454999991, 210518.03649999946 458637.3049999997, 210484.95289999992 458638.2773000002, 210456.56450000033 458635.54630000144, 210435.20059999824 458631.0304000005, 210406.69700000063 458629.875500001, 210371.22819999978 458630.9549999982, 210335.58080000058 458631.9272999987, 210300.76680000126 458630.16120000184, 210262.5636 458627.52600000054, 210241.09259999916 458628.43079999834, 210222.47520000115 458631.2049999982, 210195.1662000008 458636.00719999894, 210175.21130000055 458641.4919999987, 210152.84329999983 458647.0086000003, 210124.01419999823 458659.02600000054, 210104.71020000055 458673.6031999998, 210090.78379999846 458686.98589999974, 210083.71550000086 458698.85649999976, 210074.44049999863 458720.9028999992)"
rws_on_lijnmaatregelen.13,YS941a,Y67,Y3032,De Weerd en Yperenberg (Wilpse klei),KRW 2-zijdig aantakken geïsoleerde strangen door bestaande zandput,2,IJssel,Planstudie,Nee,RWS-KRW2,,NTWE,3.2,MIRT 3,,"MULTILINESTRING ((207969.61439999938 471390.71130000055, 207966.9686000012 471414.5238999985), (207966.9686000012 471414.5238999985, 208047.0938999988 471308.40019999817, 208786.6262000017 471023.99920000136, 208856.07939999923 470971.0824000016, 208908.996199999 470934.7021000013, 209044.59540000185 470842.0978000015, 209084.28299999982 470809.02479999885, 209127.27789999917 470756.1079999991, 209150.4290000014 470723.03500000015, 209180.87929999828 470671.4400999993, 209246.34059999883 470610.58689999953, 209302.83619999886 470482.8528999984, 209321.90260000154 470472.07620000094, 209711.37000000104 470152.4589000009, 209774.870099999 470173.625599999), (207966.9686000012 471414.5238999985, 207964.32279999927 471438.3363999985, 207959.0311000012 471470.0865000002, 207956.38529999927 471496.5449000001, 207895.5309999995 471538.8783, 207887.5934999995 471578.5659000017, 207877.0100999996 471612.96180000156, 207855.84340000153 471668.52439999953, 207829.38500000164 471713.5036999993, 207832.03079999983 471750.5454000011, 207813.51000000164 471790.2329999991, 207789.69739999995 471806.1079999991, 207789.69739999995 471848.44139999896, 207800.28079999983 471901.35819999874, 207789.69739999995 471930.46240000054, 207765.88489999995 471978.0874999985, 207752.65569999814 472041.5876000002, 207752.65569999814 472089.21269999817, 207760.59319999814 472118.31700000167, 207773.82239999995 472155.35869999975, 207787.05160000175 472202.98380000144, 207800.28079999983 472221.50470000133, 207808.21829999983 472226.79630000144))"
rws_on_lijnmaatregelen.14,YS959b,Y86,,IJsseluiterwaarden Olst; Oenerwaard/Hoge Waard,Aangetakte strang ,1,IJssel,Gereed,Ja,NURG-SBB,2011,STEA,1.5,MIRT 3,,"LINESTRING (203054.1997999996 485173.70109999925, 203027.31980000064 485194.7692000009, 202980.32730000094 485220.3247999996, 202904.25939999893 485223.632100001, 202838.11349999905 485260.0124000013, 202761.31760000065 485304.8621999994, 202743.1554000005 485360.8016999997, 202690.84840000048 485433.4503999986, 202620.37920000032 485535.88489999995, 202571.47439999878 485638.8462000005, 202547.00409999862 485686.9941000007, 202529.5683999993 485723.318500001, 202508.50030000135 485740.02760000154, 202483.0731999986 485756.7368000001, 202458.37269999832 485777.80490000173, 202424.22780000046 485822.8471000008, 202352.30570000038 485918.74329999834, 202290.55429999903 486002.28929999843, 202257.13589999825 486074.2113999985, 202222.99109999835 486145.4070999995, 202216.45270000026 486179.5520000011, 202210.64079999924 486203.52600000054)"
rws_on_lijnmaatregelen.15,VZ014a,,x2300b,Zwarte Water,"Optimalisatie oevers, oost",2,Vecht - Zwarte water,Realisatie,Nee,RWS,,NVO,0.8,MIRT 3 KRW toets mrt 2021 en PpWw okt 2021,,"LINESTRING (201799.97590000182 515689.1279999986, 201766.63830000162 515574.8277999982, 201749.1757999994 515439.8900000006, 201734.9653000012 515342.35610000044, 201726.95069999993 515276.3772, 201745.20699999854 515177.1581999995, 201770.60709999874 515027.93290000036, 201808.70710000023 514908.07649999857, 201849.1884999983 514822.35130000114)"
rws_on_lijnmaatregelen.16,VZ012a,,x2300b,Zwarte Water,"Optimalisatie oevers, west; 
gaat deze nog door? Waarschijnlijk afgevallen",2,Vecht - Zwarte water,Planstudie,Nee,RWS,,NVO,2.3,MIRT 2,,"MULTILINESTRING ((202642.72740000114 513055.6656999998, 202607.8024000004 513020.74060000107), (202662.33999999985 513816.07770000026, 202755.47349999845 513690.9294999987, 202790.3986000009 513612.34809999913, 202828.23409999907 513513.3936999999, 202823.42080000043 513452.4250999987, 202819.50279999897 513327.126699999, 202767.11520000175 513236.90359999985, 202729.27969999984 513164.1429999992, 202655.42749999836 513071.5406999998), (202147.19519999996 514235.17859999835, 202315.99969999865 514112.9408, 202543.01260000095 513923.7633000016, 202636.14620000124 513842.27149999887))"
rws_on_lijnmaatregelen.17,VZ011b,,x2300b,Zwarte Water,"Optimalisatie oevers, oost",2,Vecht - Zwarte water,Realisatie,Nee,RWS,,NVO,0.3,KRW toets mrt 2021 en PpWw okt 2021,,"MULTILINESTRING ((202356.33540000021 512548.5817000009, 202419.83559999987 512672.4070000015, 202512.17540000007 512783.9448999986, 202557.58159999922 512820.14499999955), (202571.07539999858 512834.43250000104, 202568.69409999996 512828.87629999965), (202576.63170000166 512843.16380000114, 202574.25039999932 512834.43250000104), (202566.31289999932 512824.1138000004, 202559.96290000156 512822.52629999816))"
rws_on_lijnmaatregelen.18,NL941a,NL143a,x2337,Steenwaard,Eenzijdig aantakken strang,2,Nederrijn en Lek,Planstudie,Nee,Overig,,STEA,0.5,MIRT 2,,"LINESTRING (141775.85119999945 441543.80790000036, 141778.49700000137 441588.78720000014, 141799.66369999945 441607.30799999833, 141879.0388999991 441689.3289999999, 142739.6774000004 441785.16120000184)"
rws_on_lijnmaatregelen.19,YS991d,Y103,Y3043,"Onderdijkse waard (Reevediep, IJsseldelta Zuid)",nevengeul,2,IJssel,Realisatie,Nee,RWS-RvdR,,NTWE,1.6,MIRT 3,,"MULTILINESTRING ((193689.5876000002 504646.86840000004, 193643.28539999947 504689.8632999994, 193620.13430000097 504729.5509000011, 193593.67590000108 504775.8530000001, 193583.75400000066 504815.5406000018, 193567.2175000012 504898.22309999913, 193557.29560000077 504954.4470999986, 193537.45179999992 505017.2857999988, 193517.60810000077 505090.0463999994, 193477.92049999908 505159.4996000007, 193405.15989999846 505242.1821000017, 193335.70659999922 505331.4792000018, 193296.01909999922 505367.8594000004, 193233.18039999902 505404.23970000073, 193114.11769999936 505483.6149000004, 193057.8935999982 505513.38060000166, 192935.5236000009 505562.98999999836, 192826.38269999996 505602.67760000005, 192706.60069999844 505626.43180000037), (192706.60069999844 505626.43180000037, 192712.31870000064 505615.75829999894))"
rws_on_lijnmaatregelen.20,YS988a,Y101,Y3032,De Zande,KRW 2-zijdig aantakken bestaande 1-zijdige strang,1,IJssel,Gereed,Ja,KRW1-WVV,2015,NTWE,2.9,MIRT 3,,"LINESTRING (195281.04239999875 503865.742899999, 195295.60960000008 503832.02859999985, 195200.35940000042 503683.8616000004, 195129.04239999875 503518.54289999977, 195079.442400001 503480.14290000126, 195033.04239999875 503328.14290000126, 195074.64240000024 503286.54289999977, 195082.64240000024 503113.742899999, 194796.24240000173 502973.3429000005, 194648.24240000173 502947.742899999, 194415.8423999995 502993.3429000005, 194163.04239999875 503089.742899999, 193937.8423999995 503231.3429000005, 193674.20549999923 503605.54740000144, 193633.8423999995 503778.9428999983, 193652.24240000173 503996.14290000126)"
rws_on_lijnmaatregelen.21,YS978a,Y94,x9936,Scheller- en Oldeneler buitenwaarden,Aantakken strangen en uiterwaardverlaging,1,IJssel,Gereed,Ja,RvdR,2016,NTWE,2,MIRT 3,,"LINESTRING (202247.78950000182 499313.74430000037, 202244.18950000033 499399.74430000037, 202195.2049999982 499457.804299999, 202127.47150000185 499514.95439999923, 202089.37150000036 499591.15459999815, 202034.33799999952 499667.3546999991, 201989.88789999858 499756.254900001, 201924.27109999955 499851.50510000065, 201860.77100000158 499938.2886000015, 201759.17080000043 500025.0720999986, 201697.78730000183 500088.5722000003, 201621.58720000088 500128.7890000008, 201467.07019999996 500228.2725000009, 201380.28669999912 500266.37260000035, 201348.64660000056 500276.4054999985, 201275.88599999994 500322.7076999992, 201185.55299999937 500378.5562000014, 201083.95279999822 500446.2895999998, 201022.56929999962 500518.2564000003, 200959.06920000166 500596.5733000003, 200893.4523999989 500653.7234000005, 200827.83559999987 500687.59010000154)"
rws_on_lijnmaatregelen.22,YS965c,Y88,x2307-b,Vorchterwaarden,KRW eenzijdig aangetakte strang ,1,IJssel,Gereed,Ja,KRW1-WVV,2016,STEA,0.99,MIRT 4,,"LINESTRING (205176.9085999988 489543.568500001, 205154.63819999993 489520.46460000053, 205143.16450000182 489504.4466999993, 205138.04080000147 489486.2617999986, 205134.2864000015 489467.0689000003, 205133.74659999833 489426.8773000017, 205139.16000000015 489400.9732000008, 205143.38269999996 489370.7710000016, 205144.8273999989 489341.5489999987, 205143.74390000105 489322.64180000126, 205142.6768000014 489300.84230000153, 205144.7558999993 489262.71759999916, 205146.5934999995 489238.28979999945, 205138.87420000136 489192.82770000026, 205126.13850000128 489111.36100000143, 205119.13760000095 489056.8819000013, 205100.2265000008 489004.74430000037, 205090.1259999983 488943.5183000006, 205088.43710000068 488882.7998000011, 205089.22509999946 488850.68510000035, 205079.1603000015 488805.5879999995, 205069.88529999927 488751.18030000106, 205056.4312000014 488711.7109999992, 205046.4695999995 488673.4640999995, 205026.44729999825 488587.27059999853)"
rws_on_lijnmaatregelen.23,YS955a,Y190,x2308-b,Hengforderwaarden,KRW Oever,1,IJssel,Gereed,Ja,KRW1-WVV,2016,NVO,0.68,MIRT 4,,"LINESTRING (203233.35009999946 482614.6451999992, 203249.78669999912 482503.8348999992, 203259.16090000048 482468.004900001, 203266.8841000013 482368.9684999995, 203264.53860000148 482267.4754999988, 203261.27629999816 482238.71119999886, 203256.00979999825 482188.74060000107, 203244.27809999883 482140.2463000007, 203233.45529999956 482105.3966999985, 203208.59899999946 482015.5599000007, 203185.00070000067 481951.01199999824, 203181.39310000092 481940.0423000008, 203167.21669999883 481937.11740000173)"
rws_on_lijnmaatregelen.24,YS971a,Y188,x2308-b,Tichelgaten Herxen,KRW Oever,1,IJssel,Gereed,Ja,KRW1-WVV,2016,NVO,0.85,MIRT 4,,"MULTILINESTRING ((204203.7210999988 495028.08729999885, 204255.31500000134 494995.0142999999, 204279.12750000134 494969.87889999896, 204296.32550000027 494950.03510000184, 204318.8150999993 494931.51419999823, 204342.627700001 494906.378800001, 204363.79439999908 494879.9204000011, 204370.40900000185 494868.01410000026, 204396.86740000173 494845.5245000012, 204435.23200000077 494800.54520000145, 204461.69040000066 494768.79509999976, 204492.1174999997 494733.0762999989, 204510.22819999978 494708.7435999997, 204515.4375 494701.1033000015, 204516.47940000147 494699.01960000023, 204518.56309999898 494694.504900001), (203826.15029999986 495290.3839999996, 203873.77540000156 495245.40469999984, 203904.20259999856 495214.9776000008, 203929.33810000122 495196.4567000009, 203955.7963999994 495172.6440999992, 203992.83819999918 495152.80040000007, 204031.20279999822 495125.0190999992, 204053.69249999896 495110.4668999985, 204089.4112999998 495087.97729999945, 204122.48429999873 495073.4252000004, 204137.0364000015 495065.4877000004))"
rws_on_lijnmaatregelen.25,YS970a,Y187,,Herxer Uiterwaarden,"KRW Oever; onzeker
Was ooit gekoppeld aan een nevengeulaanleg",2,IJssel,Planstudie,Nee,,,NVO,0.7,MIRT 3,,"LINESTRING (204577.05029999837 494612.52010000125, 204637.90459999815 494530.49909999967, 204686.8526000008 494452.44689999893, 204738.4464999996 494394.2384000011, 204772.8423999995 494334.70710000023, 204817.8216000013 494272.52980000153, 204864.1237999983 494201.09219999984, 204907.78009999916 494146.8524999991, 204930.2697999999 494096.5815999992, 204943.4990000017 494092.6127999984, 204938.2072999999 494080.70650000125, 204965.98860000074 494029.1127000004, 205004.35319999978 493986.7793000005, 205005.6761999987 493984.13340000063, 205009.6449000016 493977.5188000016)"
rws_on_lijnmaatregelen.26,YS965b,Y186,x2308-b,Wijhe-noord,KRW Oever,1,IJssel,Gereed,Ja,KRW1-WVV,2016,NVO,0.48,MIRT 4,,"LINESTRING (205301.52569999918 489564.2692999989, 205304.19469999894 489525.12150000036, 205294.4129000008 489510.2765999995, 205305.65720000118 489499.36030000076, 205315.4182999991 489436.00499999896, 205312.66919999942 489418.9952000007, 205319.67480000108 489413.9070000015, 205333.49399999902 489346.70800000057, 205326.1629000008 489336.4450000003, 205335.4763999991 489325.16750000045, 205343.61239999905 489279.7074000016, 205347.8172999993 489256.63500000164, 205344.41919999942 489241.19480000064, 205352.97670000046 489231.2329999991, 205354.67330000177 489198.7446999997, 205357.9197999984 489168.0403999984, 205357.11930000037 489145.94469999894, 205367.8396999985 489090.992899999, 205354.32569999993 489065.60179999843)"
rws_on_lijnmaatregelen.27,YS965a,Y185,x2308-b,Wijhe-zuid,KRW Oever,1,IJssel,Gereed,Ja,KRW1-WVV,2016,NVO,0.55,MIRT 4,,"LINESTRING (205381.94090000167 488892.58740000054, 205379.2950000018 488823.79560000077, 205372.20050000027 488797.4877000004, 205367.438000001 488768.91270000115, 205359.45120000094 488731.191300001, 205352.35669999942 488706.2063000016, 205349.18169999868 488682.3936999999, 205331.6699000001 488631.9723000005, 205321.40040000156 488606.9873000011, 205313.46290000156 488585.5560000017, 205290.65940000117 488540.6909000017, 205281.71290000156 488519.6746999994, 205275.36279999837 488498.24340000004, 205259.48779999837 488466.49329999834, 205242.02529999986 488437.9182000011, 205228.5315000005 488413.311900001, 205211.8627000004 488387.9118999988, 205203.1314000003 488381.561900001, 205192.01889999956 488368.06810000166)"
rws_on_lijnmaatregelen.28,YS912a,Y167,x2308-b,Spankerense weilanden,KRW Oever,1,IJssel,Gereed,Ja,KRW1-WVV,2017,NVO,1.22,MIRT 4,,"LINESTRING (205087.63679999858 451610.870099999, 205101.88080000132 451627.52380000055, 205113.98550000042 451643.79569999874, 205136.6074000001 451670.38639999926, 205169.65780000016 451703.4743999988, 205227.86620000005 451756.39119999856, 205270.19959999993 451782.84959999844, 205317.185899999 451823.18360000104, 205358.8579000011 451852.5524000004, 205391.7985999994 451871.60240000114, 205431.59580000117 451896.6206, 205497.74179999903 451931.0164999999, 205550.65850000083 451949.5373999998, 205693.53379999846 452002.45419999957, 205762.32559999824 452042.14180000126, 205810.89939999953 452067.2622000016, 205855.74639999866 452096.23409999907, 205861.4288999997 452100.39279999956, 205916.46840000153 452139.0967000015, 205951.79030000046 452168.06870000064, 206108.5562000014 452284.3533000015)"
rws_on_lijnmaatregelen.29,YS933e,Y168,x2308-b,Rammelwaard,KRW Oever,1,IJssel,Gereed,Ja,KRW1-WVV,2016,NVO,0.23,MIRT 4,,"MULTILINESTRING ((209558.58520000055 466038.3944000006, 209531.59760000184 466058.6350999996, 209510.96009999886 466061.41319999844, 209499.45069999993 466066.5725999996, 209493.10060000047 466068.95380000025, 209489.5287999995 466070.14449999854, 209484.76630000025 466072.5256999992, 209478.81309999898 466076.8913999982), (209260.18679999933 466157.9946000017, 209282.41189999878 466135.76949999854, 209317.8936999999 466130.32730000094, 209324.0837999992 466123.0694999993, 209334.00569999963 466115.5289000012, 209341.94319999963 466100.4475999996, 209356.6275999993 466094.49439999834, 209366.1526999995 466092.9068999998, 209370.91519999877 466093.7006999999, 209373.45960000157 466094.90399999917, 209379.57140000165 466096.77650000155, 209382.74639999866 466100.3484000005, 209381.7045999989 466098.9096999988, 209382.20069999993 466099.5546000004, 209382.8456000015 466100.4475999996, 209382.7960000001 466100.6955999993, 209382.9448999986 466100.94370000064, 209383.04410000145 466101.4398000017, 209383.2424999997 466101.8365999982, 209383.61520000175 466102.03510000184))"
rws_on_lijnmaatregelen.30,YS951c,Y182,x2308-b,Slichtenbreesweerd,KRW Oever,1,IJssel,Gereed,Ja,KRW1-WVV,2016,NVO,0.34,MIRT 4,,"LINESTRING (203901.49069999903 478702.7934000008, 203897.42269999906 478691.6094000004, 203908.3526000008 478635.43560000136, 203917.47340000048 478617.06799999997, 203922.5588000007 478603.99120000005, 203934.90900000185 478564.03449999914, 203940.72089999914 478553.86360000074, 203947.25930000097 478542.9662999995, 203953.79769999906 478530.61609999835, 203979.95120000094 478486.30040000007, 203984.31010000035 478476.12959999964, 203991.57499999925 478465.9587999992, 203997.32820000127 478453.92449999973, 204026.4787000008 478422.9285000004, 204035.16420000046 478424.5491000004)"
rws_on_lijnmaatregelen.31,YS950a,Y181,x2308-b,Keizerswaarden,KRW Oever,1,IJssel,Gereed,Ja,KRW1-WVV,2016,NVO,0.47,MIRT 4,,"LINESTRING (204358.76309999824 478278.2076999992, 204401.91930000111 478229.4237000011, 204436.05070000142 478165.71719999984, 204433.05139999837 478150.7320000008, 204448.8220999986 478140.0315000005, 204456.40249999985 478124.9501999989, 204466.86410000175 478098.7562999986, 204474.07930000126 478077.4679999985, 204468.47459999844 478070.16149999946, 204473.2685999982 478068.0454000011, 204485.96869999915 478004.5452999994, 204487.92269999906 477995.1475000009, 204489.31179999933 477986.1180000007, 204490.7311999984 477980.73270000145, 204495.4937000014 477921.995099999, 204496.25759999827 477913.8823999986, 204498.6686999984 477904.5326000005, 204499.55680000037 477877.4173000008, 204503.4312000014 477848.9699999988, 204503.4312000014 477833.09490000084, 204499.73039999977 477826.36609999835, 204497.64669999853 477826.36609999835, 204494.86840000004 477820.8095000014)"
rws_on_lijnmaatregelen.44,NL885a,NL120,"y3040, y3041, y3042",Meinerswijk,"Aanleg eenzijdige strang, Plas van Bruil ",1,Nederrijn en Lek,Gereed,Ja,RvdR,2015,STEA,0.6,MIRT 3,,"LINESTRING (188495.3022999987 443372.945700001, 188696.07459999993 443339.35610000044, 188759.05460000038 443387.52430000156, 188855.63960000128 443420.8938000016, 188913.03200000152 443409.99650000036, 188954.8467000015 443400.75349999964, 189027.09039999917 443439.7824999988)"
