Naam;Locatie (straat);Locatie (GPS Latitude);Locatie (GPS Longtitude);Tijdigheid camera;Geplaatst op;Wordt verwijderd op;Eigenaar camera;Afdeling;Doel van de camera;Omschrijving;
UTR-CM-518;Vredenburgplein / Hollandse Toren;52.09234;5,11401;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-519;Mariastraat / Mariaplaats;52.09011;5,11742;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-521;Mariaplaats / Zadelstraat / Springweg;52.08949;5,11775;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-523;Mariaplaats thv tuin;52.08981;5,11619;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-524;Rijnkade / Mariaplaats;52.08960;5,11532;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-526;Catharijnesingel / Moreelsepark;52.08925;5,11464;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-527;Stationsplein / Moreelsepark;52.08874;5,11306;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-528;Stationsplein / thv Van Sijpesteijntunnel;52.09211;5,11060;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-529;Van Sijpesteijntunnel;52.09147;5,10767;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-530;Van Sijpesteijnkade / Westplein;52.09066;5,10584;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-532;Catharijnesingel / Smakkelaarsveld;52.08425;5,1115;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-533;Vredenburg / St.Jacobsstraat;52.09304;5,11457;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-534;Vredenburg thv Drieharingstraat;52.09195;5,11504;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-535;Drieharingstraat / Oudegracht;52.09210;5,11651;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-536;Viebrug zijde Intersport;52.09332;5,11665;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-537;Breedstraat / Hardebollenstraat;52.09508;5,11933;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-538;Wijde Begijnestraat / Breedstraat;52.09552;5,12133;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-540;Breedstraat / Predikherenkerkhof;52.09513;5,11816;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-541;Lange Jansstraat / Janskerkhof;52.09346;5,12043;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-542;Janskerkhof / Drift / Nobelstraat;52.09322;5,12317;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-543;Janskerkhof / Boothstraat;52.09382;5,12207;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-544;Janskerkhof (plein);52.09381;5,12091;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-545;Oudkerkhof / Korte Jansstraat;52.09207;5,12227;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-547;Voorstraat / Jansveld;52.09518;5,12099;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-548;Oudegracht / Drakenburgstraat;52.09277;5,11714;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-549;Choorstraat / Lijnmarkt / Zadelstraat;52.09033;5,12011;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-567;Leidseweg / Damstraat;52.09029;5,10425;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-570;Vleutenseweg / Damstraat;52.09279;5,10325;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-571;Kanaalstraat / Damstraat;52.09180;5,10358;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-572;Kanaalstraat / Javastraat;52.09149;5,10203;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-574;Lucasbolwerk / Wittevrouwenstraat;52.09493;5,12593;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-575;Lucasbolwerk / Nobel;52.09296;5,12644;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-576;Lucasbolwerk;52.09303;5,12646;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-577;Nijntje Pleintje;52.09636;5,11613;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-578;Ceramstraat / Riouwstraat;52.09046;5,10133;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-579;Lepelenburg;52.08927;5,12866;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-726;Peltlaan / Cruyffcourt;52.07698;5,09064;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-727;Bevinlaan / De Gasperilaan;52.07621;5,09004;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-728;Bernadottelaan / Trumanlaan;52.07476;5,09224;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-730;Bernadottelaan / Marshalllaan;52.07411;5,08994;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-731;Bernadottelaan / Auriollaan;52.07368;5,08876;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-732;Bernadottelaan / Rooseveltlaan;52.07324;5,0879;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-733;Vasco Da Gamalaan / Marco Pololaan;52.06711;5,0992;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-746;Zwanenvechtlaan / Doornburglaan;52.11422;5,08981;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-747;Dr Max Eeuwestraat / Pr Margrietstraat;52.11429;5,08949;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-751;Bemuurdeweerd / Adelaarstraat;52.09848;5,11403;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-756;ASW thv 17 / Berkstraat;52.09602;5,10818;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-757;ASW thv 115 / Tiendstraat;52.09748;5,10561;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-758;ASW thv 179 / Anjelierstraat;52.09932;5,10241;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-759;ASW thv 218 / Goudsbloemstraat;52.09979;5,11489;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-760;ASW thv 284 / Mimosastraat;52.11064;5,09927;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-761;ASW thv 322 / Egelantierstraat;52.10229;5,09718;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-762;ASW thv 421 / Marnixlaan;52.18074;5,15659;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-783;Voortrekkersdreef;52.120164;5,111323;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-801;Herculeslaan / Herculesplein;52.07942;5,14366;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;Specifiek bij voetbalwedstrijden FC Utrecht;
UTR-CM-802;Stadionlaan;52.07950;5,14238;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;Specifiek bij voetbalwedstrijden FC Utrecht;
UTR-CM-803;Waterlinieweg;52.07746;5,1412;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;Specifiek bij voetbalwedstrijden FC Utrecht;
UTR-CM-661;Hieronymusplantsoen;52.09157;5,12714;Tijdelijk;6-jul-22;7-okt-22;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-656;Nijverheidskade;52.09984;5,08508;Tijdelijk;6-jul-22;7-okt-22;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-660;Hieronymusplantsoen;52.09269;5,12669;Tijdelijk;6-jul-22;7-okt-22;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-654;Hondsrug thv WC Lunetten;52.06437;5,13658;Tijdelijk;6-apr-22;7-okt-22;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-655;Zevenwouden thv WC Lunetten;52.06520;5,13674;Tijdelijk;6-apr-22;7-okt-22;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-657;Boisotstraat / Van der Marckstraat;52.11184;5,09758;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-658;JS de Rijkstraat / Van der Marckstraat;52.11153;5,09731;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-659;Tiberdreef;52.11103;5,12442;Tijdelijk;6-jul-22;7-okt-22;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-531;Jaarbeursplein;52.08883;5,10794;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-550;Daalsesingel / Knipstraat;52.09423;5,10994;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-554;Catharijnesingel / Spoorstraat;52.09024;5,11411;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-555;Moreelsepark thv inktpot;52.08812;5,1151;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-556;Laan van Puntenburg / Moreelsepark;52.08647;5,11462;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-558;Jaarbeursplein trapopgang;52.08908;5,106838;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-559;Jaarbeursplein / Skatebaan;52.08884;5,10628;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-561;Plateau Mineurslaan;52.08809;5,10863;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-562;Jaarbeursplein thv Beatrixgebouw;52.08823;5,1063;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-563;Croeselaan / Mineurslaan thv Rabobank;52.08661;5,10781;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-564;Croeselaan / Mineurslaan thv Beatrixgebou;52.08747;5,10684;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-566;Croeselaan thv Hojel;52.08871;5,10502;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-568;Kanonstraat / Kanaalstraat;52.09171;5,10486;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-569;Kanonstraat / Vleutenseweg;52.09255;5,10462;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-580;Bollendak uitgang CS;52.09092;5,11133;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-CM-581;Bollendank ingang HC;52.09073;5,11066;Vast;;;Gemeente Utrecht;;Centraal Toezicht Openbaar Vervoer;nvt;
UTR-SB-101;Paranadreef 10;52.11543;5,10358;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Zwembad De Kwakel;
UTR-SB-102;Kennedylaan 5;52.08097;5,08451;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Zwembad den Hommel;
UTR-SB-103;Weg naar Rhijnauwen 3;52.08241;5,15721;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Zwembad Kromme Rijn;
UTR-SB-104;Esdoornlaan 5;52.09237;5,02703;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Zwembad Fletiomare;
UTR-SB-105;Grebbeberglaan 13;52.07921;5,09828;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Multifuctionele Accommodaties / Buurtcentra: Nieuw Welgelegen;
UTR-SB-106;Teunisbloemlaan 48;52.09619;5,00218;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Multifuctionele Accommodaties / Buurtcentra: Weide Wereld;
UTR-SB-107;Trumanlaan 60;52.07651;5,0913;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Multifuctionele Accommodaties / Buurtcentra: Hart van Noord;
UTR-SB-108;Verlengde Hoogravenseweg 203;52.06793;5,11664;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Binnensport: Hoograven;
UTR-SB-109;Schooneggendreef 27;52.12059;5,11876;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Binnensport: Dreef;
UTR-SB-110;Burg. Norbruislaan 680;52.12272;5,06464;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Binnensport: Zuilen;
UTR-SB-111;Herculesplein 341;52.07787;5,14473;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Binnensport: Galgenwaard;
UTR-SB-112;Europaweg 50a;52.08769;5,02231;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Binnensport: Europahal;
UTR-SB-113;Maartvlinder 11;52.09220;5,06129;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Binnensport: Sportcampus;
UTR-SB-114;Parkzichtlaan 203;52.09347;5,03579;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Binnensport: Paperclip;
UTR-SB-115;Voor de Burchten 2;52.09434;5,0125;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Binnensport: Cultuurcampus;
UTR-SB-116;Tractieweg 2;52.10705;5,07805;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Locaties Oude Stadswerken: Tractieweg 2;
UTR-SB-117;Koploperstraat;52.0998;5,0891;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Locaties Oude Stadswerken: Koploperstraat;
UTR-SB-118;Van Swindenstraat;52.10194;5,12479;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Locaties Oude Stadswerken: Van Swindenstraat;
UTR-SB-119;Mostperenlaan 2;52.09076;5,00396;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Locaties Oude Stadswerken: Mostperenlaan;
UTR-SB-120;Wittevrouwensingel 96;52.09809;5,12611;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: Garage Grifthoek;
UTR-SB-121;Baden Powelweg 103;52.07798;5,12327;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: Vaartse Rijn;
UTR-SB-122;Griffioenlaan 1bis;52.05719;5,10563;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: P+R Westraven;
UTR-SB-123;Mercatorlaan;52.06960;5,08307;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: P+R Papendorp;
UTR-SB-124;Vleutenseweg 44;52.09323;5,09806;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: Garage Kop van Lombok;
UTR-SB-125;Vredenburg 46;52.09277;5,11421;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: Vredenburg;
UTR-SB-126;Stationsplein 69;52.08974;5,11249;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: Hoog Catharijne;
UTR-SB-127;Catharijnesingel 28;52.09168;5,11194;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: Laag Catharijne;
UTR-SB-128;Stationsplein 7;52.08905;5,11307;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: Jaarbeursplein;
UTR-SB-129;LangeKoestraat 14;52.09348;5,11366;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: Lange koestraat;
UTR-SB-130;Smakkelaarsveld;52.09249;5,10996;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: Smakkelaarsveld;
UTR-SB-131;Korte Minrebroederstraat 2;52.09188;5,11929;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: Stadhuis;
UTR-SB-132;Mariaplaats 2;52.08990;5,1184;Vast;;;Gemeente Utrecht;VgE;Bescherming eigendommen / personen;Bereikbaarheid: Zadelstraat;
UTR-SB-133;BC Hoogtstraat;52.10643;5,10736;Vast;;;Gemeente Utrecht;BOR;Veilig gebruik brug;Bruggen: Roode Brug;
UTR-SB-134;David van Mollemstraat;52.10080;5,11161;Vast;;;Gemeente Utrecht;BOR;Veilig gebruik brug;Bruggen: David van Mollembrug;
UTR-SB-135;Weerdsluis;52.0985;5,11387;Vast;;;Gemeente Utrecht;BOR;Veilig gebruik brug;Bruggen: Stenen brug (Weerdsluis);
UTR-SB-136;Vondellaan;52.07803;5,12195;Vast;;;Gemeente Utrecht;BOR;Veilig gebruik brug;Bruggen: Vondelbrug;
UTR-SB-137;Jutphaseweg;52.07313;5,11927;Vast;;;Gemeente Utrecht;BOR;Veilig gebruik brug;Bruggen: Oranjebrug;
UTR-SB-138;t Goylaan;52.0669;5,11557;Vast;;;Gemeente Utrecht;BOR;Veilig gebruik brug;Bruggen: Zuiderbrug;
UTR-SB-139;Liesbosch / Noordersluis;52.05501;5,10871;Vast;;;Gemeente Utrecht;BOR;Veilig gebruik brug;Bruggen: Liesboschbrug;
UTR-SB-140;Bedrijventerrein lage Weide;52.10069;5,06926;Vast;;;Gemeente Utrecht;BOR;Veilig gebruik brug;Bruggen: Lage Weide (haven);
UTR-SB-141;BFA Vredenburg                                   ;52.092.757;5114827;Vast;;;Gemeente Utrecht;BOR;Operantioneel beheer van goederen;Beweegbare Fysieke afsluiting;
UTR-SB-142;BFA Hellingbaan -Stationsplein            ;52.892.278;51124322;Vast;;;Gemeente Utrecht;BOR;Operantioneel beheer van goederen;Beweegbare Fysieke afsluiting;
UTR-SB-143;BFA Mariaplaats                                   ;52.090.091;51174727;Vast;;;Gemeente Utrecht;BOR;Operantioneel beheer van goederen;Beweegbare Fysieke afsluiting;
UTR-SB-144;BFA Amelisweerd                                 ;520.648.913;51698543;Vast;;;Gemeente Utrecht;BOR;Operantioneel beheer van goederen;Beweegbare Fysieke afsluiting;
UTR-SB-145;Camera 101, Linker buis SBN-MBN-0.04-CAM-001;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-146;Camera 102, Linker buis SBN-BBR-0.09-CAM-001;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-147;Camera 103, Linker buis SBT-GWL-1.12-CAM-001;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-148;Camera 104, Linker buis SBT-GWL-1.13-CAM-001;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-149;Camera 105, Linker buis SBT-GWL-1.14-CAM-001;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-150;Camera 106, Linker buis SBT-GWL-1.16-CAM-001;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-151;Camera 107, Linker buis SBT-GWL-1.17-CAM-001;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-152;Camera 108, Linker buis SBT-GWL-1.18-CAM-001;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-153;Camera 109, Linker buis SBT-GWL-1.19-CAM-001;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-154;Camera 110, Linker buis SBT-GWL-1.21-CAM-001;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-155;Camera 111, Linker buis SBT-GWL-1.21-CAM-002;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-156;Camera 112, Linker buis SBZ-MBZ-0.23-CAM-001;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-157;Camera 113, Linker buis SBZ-MBZ-0.24-CAM-001;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-158;Camera 114, Linker buis SBZ-MBZ-0.24-CAM-002;52.100.711;5.065.001;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-159;Camera 201, Rechter buis SBN-BBR-0.01-CAM-001;52.100.678;5.064.851;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-160;Camera 202, Rechter buis SBN-BBR-0.01-CAM-002;52.100.678;5.064.851;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-161;Camera 204, Rechter buis SBN-BBR-0.08-CAM-001;52.100.678;5.064.851;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-162;Camera 205, Rechter buis SBN-MBN-0.10-CAM-001;52.100.678;5.064.851;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-163;Camera 206, Rechter buis SBN-MBN-0.10-CAM-002;52.100.678;5.064.851;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-164;Camera 207, Rechter buis SBT-GWR-1.12-CAM-001;52.100.678;5.064.851;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
UTR-SB-165;Camera 208, Rechter buis SBT-GWR-1.13-CAM-001;52.100.678;5.064.851;Vast;;;Gemeente Utrecht;BOR;tunnelbeheer stadsbaantunnel;GPS is ingeschat mbv google maps vanuit noordingang (vanuit Amsterdam);
