FID,length,br_links,br_rechts,vliegdatum,filenaam,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2008.127,2952.912,130.30000305,-217.5,24-6-2008,vlieland_ar7_09,,,"LINESTRING (135965.2030000016 590993.125, 133041.688000001 591408.75)"
vlieglijnen_kust_2008.128,3487.609,251.1000061,-365.1000061,24-6-2008,vlieland_ar7_10,,,"LINESTRING (135986.3440000005 590865.686999999, 132525.7340000011 591298.813000001)"
vlieglijnen_kust_2008.129,3385.729,358.5,-335.6000061,24-6-2008,vlieland_ar7_11,,,"LINESTRING (135969.936999999 590722.5, 132604.0159999989 591088.188000001)"
vlieglijnen_kust_2008.130,2664.605,377.70001221,-347.1000061,24-6-2008,vlieland_ar7_12,,,"LINESTRING (135942.5159999989 590483.875, 133289.0940000005 590727.75)"
vlieglijnen_kust_2008.131,2556.102,387.70001221,-385.20001221,24-6-2008,vlieland_ar7_13,,,"LINESTRING (135785.375 590181.188000001, 133278.4530000016 590680.186999999)"
vlieglijnen_kust_2008.132,1996.032,324.6000061,-350.5,24-6-2008,vlieland_ar7_14,,,"LINESTRING (135688.813000001 590113.625, 133693.1090000011 590149.875)"
vlieglijnen_kust_2008.133,7413.221,100.30000305,-232,24-6-2008,vlieland_ar8_04,,,"LINESTRING (131520.3440000005 590679.938000001, 125363.79699999839 586550.438000001)"
vlieglijnen_kust_2008.134,17396.688,223.1000061,-383.6000061,24-6-2008,vlieland_ar8_05,,,"LINESTRING (132974.313000001 591481.75, 118543.64799999818 581765.75)"
vlieglijnen_kust_2008.135,17997.506,336.1000061,-424,24-6-2008,vlieland_ar8_06,,,"LINESTRING (133532.2340000011 591718.5, 118732.97700000182 581476.811999999)"
vlieglijnen_kust_2008.136,18434.516,354.70001221,-371.8999939,24-6-2008,vlieland_ar8_07,,,"LINESTRING (133970.6090000011 591694.438000001, 118750.36699999869 581293.686999999)"
vlieglijnen_kust_2008.137,10455.644,372.3999939,-342.8999939,24-6-2008,vlieland_ar8_08,,,"LINESTRING (118754.5940000005 581071.813000001, 127400.13300000131 586951.875)"
vlieglijnen_kust_2008.138,2948.209,347.5,-366.3999939,24-6-2008,vlieland_ar8_09,,,"LINESTRING (134173.2340000011 591416.811999999, 131681.6559999995 589840.75)"
vlieglijnen_kust_2008.139,10902.59,362,-350.8999939,24-6-2008,vlieland_ar8_10,,,"LINESTRING (127503.42199999839 586691.063000001, 118482.8909999989 580567.625)"
vlieglijnen_kust_2008.140,2221.903,352.5,-392.3999939,24-6-2008,vlieland_ar8_11,,,"LINESTRING (134805.186999999 591467.436999999, 132878.688000001 590360.436999999)"
vlieglijnen_kust_2008.141,9904.272,330.6000061,-339.1000061,24-6-2008,vlieland_ar8_12,,,"LINESTRING (118595.45300000161 580348.25, 126808.9690000005 585882.936999999)"
vlieglijnen_kust_2008.142,11259.08,338.1000061,-357.8999939,24-6-2008,vlieland_ar8_13,,,"LINESTRING (128064.00800000131 586408.438000001, 118725.3440000005 580119.063000001)"
